gid	gname	chr	start	end	logCPM	logFC.XY46.XX46
TRINITY_DN121666_c1_g3_i2	NA	NA	NA	NA	4.816067562	0.415748219
TRINITY_DN121668_c0_g1_i1	NA	NA	NA	NA	4.04800905	-1.207906282
TRINITY_DN121669_c0_g1_i1	NA	NA	NA	NA	5.01021755	0.232399137
TRINITY_DN121669_c0_g2_i1	NA	NA	NA	NA	5.802053235	-0.167534384
TRINITY_DN121671_c0_g1_i1	NA	NA	NA	NA	7.831835029	0.000475887
TRINITY_DN121671_c1_g1_i1	NA	NA	NA	NA	1.621827332	0.832313112
TRINITY_DN121671_c1_g2_i1	NA	NA	NA	NA	1.894254139	0.691801713
TRINITY_DN121675_c2_g1_i3	NA	NA	NA	NA	3.38996486	1.616696404
TRINITY_DN121677_c0_g1_i4	LOC100490784	Chr02	4283216	4283216	3.183189752	-0.292858468
TRINITY_DN121678_c0_g2_i4	NA	NA	NA	NA	6.734764904	-0.455772371
TRINITY_DN121679_c0_g1_i1	NA	NA	NA	NA	4.163903002	0.307733646
TRINITY_DN121679_c0_g4_i1	NA	NA	NA	NA	5.503813092	0.596927822
TRINITY_DN121680_c0_g1_i1	NA	NA	NA	NA	0.052203922	-1.623734031
TRINITY_DN121681_c0_g3_i1	NA	NA	NA	NA	1.7653129	-0.568744847
TRINITY_DN121682_c0_g4_i1	pcgf3	Chr01	98517274	98517274	6.079227054	-1.964224771
TRINITY_DN121684_c0_g1_i1	zbtb18	Chr05	60606752	60606752	5.091814552	0.441194429
TRINITY_DN121684_c0_g2_i1	NA	NA	NA	NA	2.380244792	0.35235527
TRINITY_DN121684_c0_g3_i1	NA	NA	NA	NA	1.278208082	0.702408318
TRINITY_DN121685_c0_g1_i1	NA	NA	NA	NA	2.30384269	-0.25311409
TRINITY_DN121689_c0_g1_i2	NA	NA	NA	NA	2.275130442	0.412618684
TRINITY_DN121690_c0_g1_i2	NA	NA	NA	NA	2.221810683	0.610654537
TRINITY_DN121691_c3_g3_i1	NA	NA	NA	NA	3.793225636	-1.846213303
TRINITY_DN121691_c3_g4_i1	abcb9	Chr01	152805475	152805475	1.907018144	-3.005308688
TRINITY_DN121692_c2_g1_i1	NA	NA	NA	NA	3.431522361	0.372104526
TRINITY_DN121692_c2_g4_i1	NA	NA	NA	NA	2.002875594	0.910771018
TRINITY_DN121695_c0_g1_i1	NA	NA	NA	NA	2.182589322	0.849904317
TRINITY_DN121696_c1_g1_i1	NA	NA	NA	NA	0.630316726	1.378442421
TRINITY_DN121697_c0_g2_i1	NA	NA	NA	NA	2.452381668	0.607694903
TRINITY_DN121702_c0_g2_i4	NA	NA	NA	NA	6.133559949	-0.572981213
TRINITY_DN121703_c0_g1_i1	NA	NA	NA	NA	0.421678799	-0.42340933
TRINITY_DN121703_c0_g2_i1	NA	NA	NA	NA	2.407706593	-0.606539818
TRINITY_DN121704_c3_g2_i1	NA	NA	NA	NA	2.472214256	0.81920014
TRINITY_DN121704_c7_g2_i1	arfgef1	Chr06	104425399	104425399	1.732535317	-1.841339721
TRINITY_DN121705_c0_g1_i3	NA	NA	NA	NA	1.145171847	1.069545442
TRINITY_DN121706_c0_g1_i2	rdh7	Chr02	135656638	135656638	6.002696033	0.658742195
TRINITY_DN121707_c0_g2_i1	NA	NA	NA	NA	4.316891238	-0.431488988
TRINITY_DN121708_c0_g1_i1	NA	NA	NA	NA	3.647160546	-4.324157075
TRINITY_DN121709_c1_g1_i1	tmbim4	Chr03	47972194	47972194	1.61569174	-7.831340113
TRINITY_DN121709_c1_g3_i3	NA	NA	NA	NA	2.651867821	-7.990003635
TRINITY_DN121710_c0_g1_i1	rasd1	Chr09	9929017	9929017	5.413038307	-0.433648933
TRINITY_DN121711_c0_g1_i2	NA	NA	NA	NA	3.579407484	-1.780536374
TRINITY_DN121712_c0_g1_i1	NA	NA	NA	NA	4.012748541	-0.756726787
TRINITY_DN121714_c0_g1_i5	NA	NA	NA	NA	0.837626857	0.357031842
TRINITY_DN121715_c0_g1_i1	NA	NA	NA	NA	4.462807057	-1.084808344
TRINITY_DN121716_c0_g1_i1	NA	NA	NA	NA	4.463158255	-0.368383047
TRINITY_DN121724_c0_g6_i1	myoz1	Chr07	52868617	52868617	2.371262026	0.634838889
TRINITY_DN121726_c0_g1_i1	eefsec	Chr04	124531006	124531006	4.582993088	-1.466583911
TRINITY_DN121728_c2_g2_i3	Xetrov90019333m	Chr07	106777086	106777086	4.370141569	-2.932248779
TRINITY_DN121728_c3_g5_i2	NA	NA	NA	NA	8.492788744	0.332762482
TRINITY_DN121728_c3_g9_i1	NA	NA	NA	NA	0.141890415	0.439310007
TRINITY_DN121729_c0_g1_i1	NA	NA	NA	NA	0.622705192	0.857722384
TRINITY_DN121730_c0_g2_i1	stard5-like	Chr03	96765343	96765343	6.536769377	0.744781072
TRINITY_DN121731_c2_g1_i3	NA	NA	NA	NA	3.025003153	-0.003823061
TRINITY_DN121732_c0_g1_i1	myf6	Chr03	43029921	43029921	0.748369652	-4.663305461
TRINITY_DN121733_c0_g1_i3	NA	NA	NA	NA	3.420316075	-6.400531811
TRINITY_DN121734_c0_g1_i2	NA	NA	NA	NA	0.155460948	-0.188643293
TRINITY_DN121735_c0_g1_i1	NA	NA	NA	NA	0.399120517	0.331083115
TRINITY_DN121738_c0_g2_i3	NA	NA	NA	NA	9.87274866	0.634863205
TRINITY_DN121738_c1_g1_i3	NA	NA	NA	NA	9.703907431	0.616562887
TRINITY_DN121739_c0_g1_i5	NA	NA	NA	NA	2.540222588	-0.540228896
TRINITY_DN121741_c0_g1_i3	NA	NA	NA	NA	4.912694178	-1.051729458
TRINITY_DN121742_c2_g1_i3	NA	NA	NA	NA	3.328211122	-0.842909633
TRINITY_DN121743_c2_g1_i1	NA	NA	NA	NA	6.202816986	0.447040323
TRINITY_DN121743_c2_g3_i1	gadd45a	Chr04	80098648	80098648	3.268917218	0.443904615
TRINITY_DN121746_c0_g1_i1	NA	NA	NA	NA	2.303684734	0.353069235
TRINITY_DN121748_c0_g1_i3	NA	NA	NA	NA	0.63869235	-0.121552658
TRINITY_DN121751_c0_g1_i5	NA	NA	NA	NA	4.902462031	0.241632407
TRINITY_DN121752_c1_g1_i3	NA	NA	NA	NA	2.442042252	0.194279878
TRINITY_DN121755_c3_g1_i4	NA	NA	NA	NA	3.530297957	-0.712686552
TRINITY_DN121756_c0_g1_i1	lhfpl4	Chr04	128447356	128447356	4.774686113	-0.322239882
TRINITY_DN121758_c0_g2_i1	Xetrov90001129m	Chr01	61281695	61281695	2.938823889	-0.691079893
TRINITY_DN121759_c0_g1_i1	NA	NA	NA	NA	4.316382474	-0.38504762
TRINITY_DN121762_c0_g1_i2	mier2-like	Chr01	86231434	86231434	6.519806748	0.306107839
TRINITY_DN121768_c0_g1_i1	NA	NA	NA	NA	5.366683076	0.89467827
TRINITY_DN121769_c0_g1_i2	NA	NA	NA	NA	1.699798108	0.394657593
TRINITY_DN121771_c0_g1_i1	NA	NA	NA	NA	4.279071457	-1.013360432
TRINITY_DN121773_c0_g1_i2	NA	NA	NA	NA	3.550668034	-0.027968492
TRINITY_DN121777_c0_g3_i3	NA	NA	NA	NA	6.523438896	-0.524607642
TRINITY_DN121780_c0_g2_i1	NA	NA	NA	NA	3.982826462	-0.84957479
TRINITY_DN121781_c0_g1_i1	NA	NA	NA	NA	6.111307165	-0.660087298
TRINITY_DN121783_c1_g4_i1	NA	NA	NA	NA	1.361836562	0.207345743
TRINITY_DN121783_c1_g5_i2	NA	NA	NA	NA	0.741882771	0.336190591
TRINITY_DN121784_c0_g5_i1	NA	NA	NA	NA	0.669875133	0.160525637
TRINITY_DN121785_c0_g1_i1	NA	NA	NA	NA	2.362874073	0.500404508
TRINITY_DN121785_c0_g2_i1	NA	NA	NA	NA	5.005807282	-0.533789322
TRINITY_DN121787_c0_g1_i1	NA	NA	NA	NA	2.237083489	-2.743928365
TRINITY_DN121788_c0_g1_i1	NA	NA	NA	NA	6.016379918	-6.902349676
TRINITY_DN121789_c0_g1_i2	NA	NA	NA	NA	5.858477797	-0.337924288
TRINITY_DN121790_c0_g1_i3	NA	NA	NA	NA	4.428314884	0.807104553
TRINITY_DN121790_c0_g6_i1	NA	NA	NA	NA	2.816097965	0.823030038
TRINITY_DN121791_c0_g1_i1	NA	NA	NA	NA	0.256863442	-1.33117894
TRINITY_DN121794_c0_g1_i2	NA	NA	NA	NA	2.08815155	0.378158681
TRINITY_DN121795_c0_g2_i1	NA	NA	NA	NA	1.925311081	0.763224987
TRINITY_DN121796_c1_g1_i1	NA	NA	NA	NA	3.166320148	-0.070365136
TRINITY_DN121796_c1_g2_i1	bora-like	Chr02	123954623	123954623	4.437014815	-0.080287395
TRINITY_DN121797_c0_g1_i2	NA	NA	NA	NA	5.182957973	1.302370042
TRINITY_DN121801_c0_g1_i2	NA	NA	NA	NA	3.507585895	0.892009586
TRINITY_DN121802_c5_g4_i3	NA	NA	NA	NA	1.773462653	-0.364260629
TRINITY_DN121805_c0_g1_i2	NA	NA	NA	NA	5.491066754	-1.480803117
TRINITY_DN121806_c0_g1_i1	tubd1	Chr02	87400017	87400017	4.794307922	0.500196207
TRINITY_DN121808_c0_g1_i1	NA	NA	NA	NA	4.650952686	0.057813168
TRINITY_DN121809_c4_g6_i1	NA	NA	NA	NA	6.172182933	0.70691001
TRINITY_DN121812_c0_g1_i2	NA	NA	NA	NA	5.417605277	0.8766398
TRINITY_DN121812_c0_g2_i2	NA	NA	NA	NA	7.340415835	0.690480375
TRINITY_DN121813_c0_g2_i2	cpt1b	Chr03	80241473	80241473	0.092595308	0.430103326
TRINITY_DN121814_c0_g1_i1	NA	NA	NA	NA	0.616053765	0.620277761
TRINITY_DN121815_c5_g2_i6	NA	NA	NA	NA	5.54600296	-2.224157781
TRINITY_DN121816_c0_g1_i2	NA	NA	NA	NA	2.219841238	0.40855532
TRINITY_DN121816_c1_g1_i1	NA	NA	NA	NA	0.216903626	-0.054708016
TRINITY_DN121816_c2_g2_i3	NA	NA	NA	NA	1.328965999	0.047670634
TRINITY_DN121817_c0_g1_i2	pip4k2b	Chr06	18313391	18313391	2.229299745	0.218409844
TRINITY_DN121818_c2_g2_i4	il10ra	Chr07	84695100	84695100	6.378729752	0.495374393
TRINITY_DN121818_c3_g1_i1	NA	NA	NA	NA	1.4637595	0.052690305
TRINITY_DN121819_c0_g1_i1	NA	NA	NA	NA	5.862873134	0.169918617
TRINITY_DN121820_c0_g1_i2	NA	NA	NA	NA	3.308687879	-1.894693437
TRINITY_DN121821_c2_g2_i4	Xetrov90024299m	Chr09	63365151	63365151	5.133823571	0.207510779
TRINITY_DN121821_c2_g3_i1	NA	NA	NA	NA	3.490261389	0.272719458
TRINITY_DN121821_c2_g4_i2	NA	NA	NA	NA	4.475531685	0.740324836
TRINITY_DN121823_c0_g1_i2	NA	NA	NA	NA	3.662065603	-1.962206507
TRINITY_DN121824_c0_g1_i3	lrrc14b	Chr01	74050331	74050331	1.946319696	0.340344827
TRINITY_DN121826_c1_g2_i4	NA	NA	NA	NA	5.003170221	0.918848373
TRINITY_DN121826_c2_g12_i1	NA	NA	NA	NA	2.025280077	0.580009158
TRINITY_DN121826_c2_g14_i2	Xetrov90021648m	Chr08	86951927	86951927	6.700383958	-0.033187355
TRINITY_DN121826_c2_g3_i1	slitrk6	Chr02	120966407	120966407	1.1473609	0.358871005
TRINITY_DN121826_c2_g4_i1	LOC100488795-like	Chr08	8617034	8617034	2.528612183	0.476045495
TRINITY_DN121828_c1_g1_i1	NA	NA	NA	NA	2.633382949	0.672035743
TRINITY_DN121829_c0_g3_i3	NA	NA	NA	NA	3.877486295	0.611044348
TRINITY_DN121830_c0_g1_i1	NA	NA	NA	NA	3.596698864	-1.227749336
TRINITY_DN121831_c0_g1_i1	NA	NA	NA	NA	2.473501375	0.574040549
TRINITY_DN121835_c0_g1_i2	NA	NA	NA	NA	1.65441122	0.004496883
TRINITY_DN121837_c1_g2_i1	NA	NA	NA	NA	1.161283911	0.822033712
TRINITY_DN121839_c0_g1_i1	NA	NA	NA	NA	5.757317267	0.803952917
TRINITY_DN121839_c0_g3_i3	NA	NA	NA	NA	6.611518526	0.679153459
TRINITY_DN121840_c0_g1_i3	nup153	Chr06	48727254	48727254	0.502918288	-1.531546426
TRINITY_DN121841_c0_g2_i2	NA	NA	NA	NA	5.09759462	-0.415559888
TRINITY_DN121842_c0_g1_i5	NA	NA	NA	NA	1.871939534	0.206189631
TRINITY_DN121843_c0_g1_i2	NA	NA	NA	NA	3.628468749	0.373518309
TRINITY_DN121844_c0_g2_i1	NA	NA	NA	NA	3.856639106	-0.530881929
TRINITY_DN121845_c0_g1_i1	NA	NA	NA	NA	0.218908895	-0.166444145
TRINITY_DN121846_c0_g2_i2	NA	NA	NA	NA	1.333035837	1.485717146
TRINITY_DN121847_c0_g1_i2	NA	NA	NA	NA	5.603919517	0.565583575
TRINITY_DN121849_c0_g1_i5	NA	NA	NA	NA	1.524904879	0.591183574
TRINITY_DN121851_c0_g1_i1	NA	NA	NA	NA	4.963514063	-0.667030474
TRINITY_DN121855_c0_g1_i2	NA	NA	NA	NA	0.989361884	-1.079718727
TRINITY_DN121856_c0_g1_i1	NA	NA	NA	NA	3.387800287	-0.293201777
TRINITY_DN121858_c0_g2_i2	NA	NA	NA	NA	1.96026012	0.412660363
TRINITY_DN121862_c1_g1_i1	stip1	Chr04	40410607	40410607	2.748668456	-3.061218653
TRINITY_DN121862_c1_g2_i3	NA	NA	NA	NA	1.754971262	0.401635158
TRINITY_DN121866_c0_g1_i1	NA	NA	NA	NA	2.090170279	-2.010818748
TRINITY_DN121870_c0_g1_i1	fibp	Chr04	37846662	37846662	5.905200083	-1.001647419
TRINITY_DN121872_c1_g2_i3	NA	NA	NA	NA	1.663262699	-0.266499877
TRINITY_DN121873_c0_g1_i4	eef1b2	Chr09	48465675	48465675	4.147218349	-0.859553984
TRINITY_DN121874_c0_g1_i1	NA	NA	NA	NA	1.964923612	0.165672056
TRINITY_DN121875_c0_g1_i1	NA	NA	NA	NA	4.091729458	-1.148764655
TRINITY_DN121879_c1_g1_i5	NA	NA	NA	NA	8.0562059	-0.92860238
TRINITY_DN121880_c0_g4_i1	NA	NA	NA	NA	3.568866203	0.002364535
TRINITY_DN121881_c0_g1_i1	NA	NA	NA	NA	4.725485278	-1.483692228
TRINITY_DN121882_c0_g1_i1	NA	NA	NA	NA	4.870679988	-1.260351988
TRINITY_DN121883_c0_g1_i1	eme2	Chr09	15582944	15582944	1.320915303	0.021835945
TRINITY_DN121884_c1_g2_i2	NA	NA	NA	NA	3.556100478	0.443404967
TRINITY_DN121887_c2_g1_i1	NA	NA	NA	NA	5.753070816	0.934411975
TRINITY_DN121888_c0_g2_i1	NA	NA	NA	NA	3.455338527	-2.07505699
TRINITY_DN121889_c0_g2_i1	NA	NA	NA	NA	3.091499265	-1.696086827
TRINITY_DN121893_c0_g1_i6	NA	NA	NA	NA	5.385737356	-0.934085674
TRINITY_DN121893_c1_g1_i1	NA	NA	NA	NA	5.328701082	-1.687595362
TRINITY_DN121894_c0_g2_i1	kat2a	Chr10	2470905	2470905	1.834971307	-0.298146187
TRINITY_DN121896_c0_g2_i5	NA	NA	NA	NA	2.369677437	-0.085494324
TRINITY_DN121897_c0_g2_i1	ccnb3	Chr08	18281290	18281290	1.752607529	0.450071822
TRINITY_DN121898_c0_g1_i1	NA	NA	NA	NA	2.268788065	-0.823738431
TRINITY_DN121900_c0_g1_i2	NA	NA	NA	NA	1.938168023	0.223607586
TRINITY_DN121901_c0_g1_i3	LOC100497391	Chr04	80333838	80333838	4.805452779	-2.50678449
TRINITY_DN121902_c0_g1_i2	NA	NA	NA	NA	5.477695884	-0.053514761
TRINITY_DN121903_c1_g10_i1	NA	NA	NA	NA	4.531670549	-1.127837329
TRINITY_DN121903_c1_g4_i1	NA	NA	NA	NA	2.616124316	-0.56815878
TRINITY_DN121904_c1_g2_i5	NA	NA	NA	NA	6.944795792	-0.146065194
TRINITY_DN121906_c0_g1_i2	tgfbr1	Chr06	69927305	69927305	6.874861973	1.190229339
TRINITY_DN121908_c1_g2_i2	tmem39a	Chr02	2077667	2077667	2.202635429	0.545767379
TRINITY_DN121909_c0_g2_i1	NA	NA	NA	NA	2.353082744	1.802803359
TRINITY_DN121909_c0_g4_i1	NA	NA	NA	NA	2.41718955	1.496626725
TRINITY_DN121912_c1_g2_i1	tor1b	Chr08	4491463	4491463	5.527999001	-0.626161227
TRINITY_DN121912_c2_g1_i2	NA	NA	NA	NA	0.058909235	1.632990135
TRINITY_DN121913_c1_g1_i1	NA	NA	NA	NA	6.05518825	-0.584605392
TRINITY_DN121916_c2_g5_i1	rsbn1l	Chr03	68752572	68752572	0.244234412	0.036044741
TRINITY_DN121918_c0_g1_i1	NA	NA	NA	NA	4.069884347	-3.123084109
TRINITY_DN121919_c8_g3_i5	Xetrov90008110m	Chr03	55515910	55515910	5.052373563	-1.814009474
TRINITY_DN121919_c9_g3_i2	NA	NA	NA	NA	2.595068598	0.367558873
TRINITY_DN121921_c1_g2_i1	NA	NA	NA	NA	2.273439084	0.470642898
TRINITY_DN121922_c0_g1_i8	NA	NA	NA	NA	2.624615522	0.538340235
TRINITY_DN121924_c0_g2_i2	pcnxl4	Chr08	82445145	82445145	0.59844867	0.675944066
TRINITY_DN121925_c0_g1_i1	LOC100488434	scaffold_534	9662	9662	5.545060756	0.332756902
TRINITY_DN121927_c0_g2_i19	NA	NA	NA	NA	1.130051883	0.45540949
TRINITY_DN121929_c0_g1_i1	NA	NA	NA	NA	1.463367989	0.816440298
TRINITY_DN121930_c2_g3_i1	tmem132b	Chr01	151093537	151093537	3.232498463	0.32677503
TRINITY_DN121930_c2_g6_i2	NA	NA	NA	NA	4.249188811	0.687712879
TRINITY_DN121931_c0_g1_i1	NA	NA	NA	NA	3.189859627	-3.030071008
TRINITY_DN121932_c0_g1_i1	NA	NA	NA	NA	1.403234785	-0.515261166
TRINITY_DN121933_c2_g2_i1	NA	NA	NA	NA	2.806059766	0.227230341
TRINITY_DN121933_c2_g4_i3	NA	NA	NA	NA	5.73867884	-0.202838317
TRINITY_DN121933_c2_g6_i1	NA	NA	NA	NA	1.787406052	0.949697115
TRINITY_DN121933_c2_g7_i1	NA	NA	NA	NA	3.95554125	-0.224865394
TRINITY_DN121933_c2_g8_i2	gclm	Chr04	93684285	93684285	1.96814746	-0.444037112
TRINITY_DN121935_c3_g1_i3	NA	NA	NA	NA	2.438950514	-0.591865379
TRINITY_DN121938_c0_g2_i1	NA	NA	NA	NA	3.860707455	-2.022872365
TRINITY_DN121939_c0_g1_i1	lix1	Chr01	173196046	173196046	3.703774427	-0.629378321
TRINITY_DN121941_c0_g10_i1	NA	NA	NA	NA	3.638899273	1.03335564
TRINITY_DN121941_c0_g2_i2	NA	NA	NA	NA	5.719484341	0.088718047
TRINITY_DN121941_c0_g8_i2	NA	NA	NA	NA	1.787969068	0.106677517
TRINITY_DN121943_c0_g1_i2	NA	NA	NA	NA	5.434120432	-2.107392613
TRINITY_DN121944_c0_g4_i1	NA	NA	NA	NA	5.041139395	-1.095314117
TRINITY_DN121944_c1_g4_i7	NA	NA	NA	NA	4.581668857	-0.410511771
TRINITY_DN121947_c0_g1_i2	rad51ap1-like	Chr03	2445488	2445488	5.49076052	-0.039882996
TRINITY_DN121948_c0_g1_i1	NA	NA	NA	NA	3.717502367	-0.260161082
TRINITY_DN121950_c0_g1_i1	NA	NA	NA	NA	1.015833733	0.852407843
TRINITY_DN121951_c0_g1_i1	NA	NA	NA	NA	3.125014662	0.55789857
TRINITY_DN121953_c0_g1_i3	NA	NA	NA	NA	2.764516388	-0.880888055
TRINITY_DN121956_c0_g1_i6	NA	NA	NA	NA	3.778301953	-2.688899482
TRINITY_DN121957_c0_g1_i4	NA	NA	NA	NA	0.430577928	-1.737467554
TRINITY_DN121959_c0_g1_i5	NA	NA	NA	NA	2.098791541	0.787678276
TRINITY_DN121960_c3_g2_i1	NA	NA	NA	NA	2.927638629	0.504491343
TRINITY_DN121960_c4_g1_i1	NA	NA	NA	NA	1.183268088	0.495827061
TRINITY_DN121964_c1_g2_i5	NA	NA	NA	NA	0.978038113	0.783363394
TRINITY_DN121967_c1_g1_i1	nap1l1	Chr03	51790555	51790555	2.558286047	0.503621681
TRINITY_DN121967_c1_g2_i1	NA	NA	NA	NA	0.587905798	1.000955275
TRINITY_DN121967_c2_g4_i1	NA	NA	NA	NA	2.672865717	-0.427757359
TRINITY_DN121968_c0_g2_i2	NA	NA	NA	NA	4.562133212	-0.128426845
TRINITY_DN121969_c1_g1_i1	NA	NA	NA	NA	2.687866491	0.496362173
TRINITY_DN121970_c0_g1_i6	NA	NA	NA	NA	7.426691562	-0.582406374
TRINITY_DN121972_c0_g2_i1	NA	NA	NA	NA	1.308699179	0.442821491
TRINITY_DN121972_c0_g3_i1	NA	NA	NA	NA	2.645569913	0.710104568
TRINITY_DN121973_c0_g1_i2	katna1	Chr05	61731653	61731653	4.865040647	-3.414786356
TRINITY_DN121976_c0_g1_i1	NA	NA	NA	NA	3.928974422	0.334136384
TRINITY_DN121979_c0_g4_i2	pam-like	Chr01	137311916	137311916	4.016129208	0.391098085
TRINITY_DN121980_c0_g1_i4	NA	NA	NA	NA	0.265764009	0.588971282
TRINITY_DN121981_c0_g1_i2	NA	NA	NA	NA	4.414558776	-1.650133906
TRINITY_DN121983_c0_g2_i3	NA	NA	NA	NA	5.101552592	-0.810945405
TRINITY_DN121985_c0_g1_i2	NA	NA	NA	NA	1.495993371	0.051009835
TRINITY_DN121986_c0_g1_i2	NA	NA	NA	NA	3.761267039	-0.373925574
TRINITY_DN121988_c0_g1_i2	nxph1	Chr06	47089455	47089455	3.945244507	0.463532984
TRINITY_DN121989_c0_g1_i2	erlin2	Chr03	115049200	115049200	0.968553848	0.715431146
TRINITY_DN121990_c1_g1_i1	NA	NA	NA	NA	1.409225809	-3.152405277
TRINITY_DN121996_c0_g2_i1	NA	NA	NA	NA	1.641833359	-0.003155399
TRINITY_DN121998_c0_g1_i2	NA	NA	NA	NA	1.187559926	0.512144848
TRINITY_DN122000_c1_g3_i2	NA	NA	NA	NA	3.651292227	-1.443053992
TRINITY_DN122002_c0_g1_i2	NA	NA	NA	NA	2.491123885	0.95376197
TRINITY_DN122003_c2_g1_i5	NA	NA	NA	NA	0.754126556	0.114510497
TRINITY_DN122008_c0_g1_i2	LOC100486741	Chr04	55269403	55269403	0.800234729	1.12846138
TRINITY_DN122009_c0_g1_i1	rwdd2b	Chr02	12557111	12557111	4.549223929	-4.182374261
TRINITY_DN122013_c0_g1_i2	NA	NA	NA	NA	2.417958029	0.502636389
TRINITY_DN122014_c0_g1_i1	NA	NA	NA	NA	1.455529242	0.833121708
TRINITY_DN122017_c0_g1_i4	NA	NA	NA	NA	1.626928131	0.521973617
TRINITY_DN122019_c1_g5_i3	NA	NA	NA	NA	0.296513378	1.199306256
TRINITY_DN122021_c0_g1_i1	NA	NA	NA	NA	5.1918774	0.377688303
TRINITY_DN122021_c0_g2_i1	NA	NA	NA	NA	6.875213107	0.467327515
TRINITY_DN122021_c2_g11_i2	NA	NA	NA	NA	0.491546833	0.759877538
TRINITY_DN122021_c2_g12_i1	LOC100489904-like	Chr04	61880658	61880658	8.875210361	0.084362819
TRINITY_DN122021_c2_g13_i1	NA	NA	NA	NA	12.63035354	0.446187847
TRINITY_DN122022_c0_g1_i1	NA	NA	NA	NA	1.648590343	0.867361023
TRINITY_DN122023_c2_g1_i1	NA	NA	NA	NA	0.252976848	0.031011784
TRINITY_DN122023_c2_g2_i2	NA	NA	NA	NA	6.256453972	-0.40252895
TRINITY_DN122024_c0_g1_i1	NA	NA	NA	NA	4.583562067	-0.488589901
TRINITY_DN122025_c0_g1_i3	NA	NA	NA	NA	4.279289314	-2.072273129
TRINITY_DN122027_c0_g1_i2	kiaa1033-like	Chr03	40774166	40774166	5.959921956	-2.16545497
TRINITY_DN122029_c0_g1_i1	NA	NA	NA	NA	3.739262645	0.426655262
TRINITY_DN122030_c1_g3_i2	NA	NA	NA	NA	2.664363864	0.185321441
TRINITY_DN122030_c1_g4_i2	NA	NA	NA	NA	3.159951223	0.441636782
TRINITY_DN122033_c1_g1_i8	NA	NA	NA	NA	4.085792197	-0.03468978
TRINITY_DN122034_c0_g3_i2	nme6	Chr03	79910503	79910503	5.797331634	-1.940538598
TRINITY_DN122038_c0_g1_i2	NA	NA	NA	NA	2.229405475	1.138242624
TRINITY_DN122039_c0_g3_i1	NA	NA	NA	NA	0.621701762	-0.968618182
TRINITY_DN122040_c4_g2_i1	NA	NA	NA	NA	0.379366186	-0.111895026
TRINITY_DN122042_c0_g1_i1	NA	NA	NA	NA	7.639844331	-0.141204272
TRINITY_DN122042_c0_g2_i1	NA	NA	NA	NA	7.993304906	-0.203779202
TRINITY_DN122044_c0_g3_i2	NA	NA	NA	NA	3.618408778	0.4699796
TRINITY_DN122046_c0_g1_i1	NA	NA	NA	NA	1.925332038	0.304347404
TRINITY_DN122047_c4_g2_i1	LOC101731854	scaffold_230	123591	123591	2.548246426	-0.278873501
TRINITY_DN122048_c0_g2_i2	vps13b	Chr06	113372992	113372992	7.065172938	-0.415913366
TRINITY_DN122049_c0_g1_i1	NA	NA	NA	NA	6.364771001	-0.115595205
TRINITY_DN122050_c0_g1_i3	aurka	scaffold_113	346610	346610	8.910627128	0.737866323
TRINITY_DN122052_c1_g1_i2	NA	NA	NA	NA	1.737243253	0.700521316
TRINITY_DN122053_c1_g2_i1	NA	NA	NA	NA	5.358691281	0.951201669
TRINITY_DN122055_c1_g1_i1	NA	NA	NA	NA	3.950112805	-0.388612986
TRINITY_DN122062_c1_g1_i1	NA	NA	NA	NA	0.520481534	0.744389164
TRINITY_DN122066_c0_g1_i1	agpat3	scaffold_724	1289	1289	4.839098611	0.098993331
TRINITY_DN122068_c0_g1_i1	NA	NA	NA	NA	1.265092425	-2.114377384
TRINITY_DN122069_c0_g1_i6	NA	NA	NA	NA	3.550631726	-3.599316361
TRINITY_DN122070_c0_g1_i1	maz	scaffold_472	41013	41013	2.318465413	-0.867121554
TRINITY_DN122071_c0_g1_i3	NA	NA	NA	NA	0.123444758	-0.213190384
TRINITY_DN122072_c1_g1_i1	lrrtm1	Chr01	3694236	3694236	6.601071043	-1.107656369
TRINITY_DN122072_c1_g3_i3	NA	NA	NA	NA	4.546550596	0.137263419
TRINITY_DN122073_c0_g1_i1	myo15a-like.1	Chr05	67620050	67620050	3.407306275	-0.916663758
TRINITY_DN122073_c0_g2_i6	NA	NA	NA	NA	5.221124565	-2.250573314
TRINITY_DN122074_c0_g1_i2	NA	NA	NA	NA	2.724850836	-3.64983123
TRINITY_DN122075_c3_g2_i3	NA	NA	NA	NA	2.780104407	1.035822313
TRINITY_DN122077_c0_g1_i1	NA	NA	NA	NA	4.834869272	0.738095536
TRINITY_DN122077_c1_g1_i2	NA	NA	NA	NA	3.690060545	0.325398739
TRINITY_DN122077_c2_g1_i1	NA	NA	NA	NA	1.402032738	0.42420291
TRINITY_DN122079_c1_g1_i2	NA	NA	NA	NA	0.54200578	0.475054547
TRINITY_DN122080_c0_g3_i2	stk38-like	Chr02	66512882	66512882	7.55366077	-0.363781442
TRINITY_DN122080_c1_g1_i1	NA	NA	NA	NA	4.770765648	0.428899178
TRINITY_DN122082_c0_g1_i3	NA	NA	NA	NA	2.979612834	0.70647856
TRINITY_DN122083_c0_g2_i2	NA	NA	NA	NA	2.999205522	-1.410334067
TRINITY_DN122084_c1_g1_i1	NA	NA	NA	NA	4.61914385	0.111394959
TRINITY_DN122085_c0_g1_i6	NA	NA	NA	NA	4.096062726	0.425612901
