gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.XXliver	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN119804_c0_g1_i1	gnpda2	Chr01	28546622	28546622	0.308633323	0.308633323	unbias	0.200295036	Ovary_mean	0.0188	0.0309	1.6437
TRINITY_DN119807_c0_g1_i4	NA	NA	NA	NA	-0.100736369	0.100736369	unbias	0.362314987	Ovary_mean	0.2361	0.4637	1.9643
TRINITY_DN119817_c0_g1_i1	NA	NA	NA	NA	-0.712073274	0.712073274	unbias	0.554732884	Brain_mean	0.1175	0.1984	1.6882
TRINITY_DN119822_c0_g1_i1	NA	NA	NA	NA	-0.199856863	0.199856863	unbias	0.163792106	G43_M_mean	0.0615	0.1026	1.6689
TRINITY_DN119829_c0_g1_i1	NA	NA	NA	NA	0.653008625	0.653008625	unbias	0.409975273	Liver_mean	0.0684	0.0986	1.4422
TRINITY_DN119831_c1_g1_i3	NA	NA	NA	NA	-0.199092052	0.199092052	unbias	0.592066164	Brain_mean	0.0653	0.0832	1.2746
TRINITY_DN119848_c2_g3_i3	hand1	Chr03	9256025	9256025	-1.155833169	1.155833169	unbias	0.618551123	Brain_mean	0.0521	0.0761	1.4605
TRINITY_DN119857_c0_g1_i1	Xetrov90012402m	Chr04	110209451	110209451	1.076078581	1.076078581	unbias	0.452829462	Ovary_mean	0.0842	0.1667	1.9809
TRINITY_DN119863_c0_g2_i2	NA	NA	NA	NA	-0.612954465	0.612954465	unbias	0.357855251	Ovary_mean	0.0394	0.0519	1.3166
TRINITY_DN119866_c0_g1_i1	NA	NA	NA	NA	-0.146640282	0.146640282	unbias	0.607609404	G27_mean	0.0609	0.0889	1.4606
TRINITY_DN119869_c0_g1_i1	NA	NA	NA	NA	0.335713625	0.335713625	unbias	0.214493646	Brain_mean	0.0046	0.0079	1.7125
TRINITY_DN119874_c0_g1_i1	NA	NA	NA	NA	0.43300222	0.43300222	unbias	0.465433379	Ovary_mean	0.111	0.1071	0.9653
TRINITY_DN119883_c0_g5_i1	mfap3-like	Chr03	3512366	3512366	-0.065884344	0.065884344	unbias	0.232739946	Ovary_mean	0.1512	0.2858	1.8909
TRINITY_DN119888_c0_g1_i1	LOC100485773	Chr01	190259195	190259195	0.063954129	0.063954129	unbias	0.55309564	Brain_mean	0.0804	0.1337	1.6636
TRINITY_DN119893_c0_g3_i1	cgref1	scaffold_864	84831	84831	0.113193491	0.113193491	unbias	0.483309537	Ovary_mean	0.1517	0.2156	1.4212
TRINITY_DN119913_c1_g1_i3	NA	NA	NA	NA	-0.014096704	0.014096704	unbias	0.366606229	G43_M_mean	0.0672	0.1091	1.6242
TRINITY_DN119914_c0_g1_i4	NA	NA	NA	NA	0.458871615	0.458871615	unbias	0.48280773	Ovary_mean	0.085	0.1568	1.8436
TRINITY_DN119920_c0_g1_i1	NA	NA	NA	NA	-0.331535744	0.331535744	unbias	0.549131964	Liver_mean	0.1271	0.2334	1.837
TRINITY_DN119929_c0_g1_i1	NA	NA	NA	NA	1.239136209	1.239136209	unbias	0.256156365	Ovary_mean	0.0323	0.0356	1.102
TRINITY_DN119936_c0_g1_i1	NA	NA	NA	NA	0.123534859	0.123534859	unbias	0.393325169	Ovary_mean	0.0183	0.0204	1.1113
TRINITY_DN119941_c0_g1_i2	NA	NA	NA	NA	-0.319964087	0.319964087	unbias	0.516059475	Ovary_mean	0.0186	0.0194	1.0406
TRINITY_DN119946_c0_g1_i2	NA	NA	NA	NA	0.132126734	0.132126734	unbias	0.322745985	Ovary_mean	0.0421	0.0735	1.7452
TRINITY_DN119947_c0_g1_i3	adat2	Chr05	67567102	67567102	-0.048571281	0.048571281	unbias	0.1822783	Ovary_mean	0.0943	0.1552	1.6452
TRINITY_DN119963_c0_g1_i6	NA	NA	NA	NA	0.557549049	0.557549049	unbias	0.279099677	Testis_mean	0.097	0.1272	1.3123
TRINITY_DN119972_c0_g1_i1	NA	NA	NA	NA	-0.14843976	0.14843976	unbias	0.299165041	Testis_mean	0.1861	0.2847	1.53
TRINITY_DN119978_c0_g1_i1	NA	NA	NA	NA	0.299195178	0.299195178	unbias	0.166625558	Ovary_mean	0.0567	0.0669	1.1803
TRINITY_DN119988_c0_g1_i3	tceb1	Chr06	106531813	106531813	-0.135386717	0.135386717	unbias	0.21095976	Ovary_mean	0.001	0.001	1.0218
TRINITY_DN119992_c0_g1_i3	aldh8a1	Chr05	34673287	34673287	0.55102044	0.55102044	unbias	0.514326496	Ovary_mean	0.1133	0.1534	1.3549
TRINITY_DN120005_c0_g1_i1	NA	NA	NA	NA	0.236965266	0.236965266	unbias	0.153417234	Ovary_mean	0.0539	0.0865	1.6041
TRINITY_DN120007_c0_g1_i4	NA	NA	NA	NA	0.166555917	0.166555917	unbias	0.381637263	Ovary_mean	0.2292	0.2006	0.875
TRINITY_DN120025_c0_g1_i4	arvcf	Chr01	146462404	146462404	0.191310199	0.191310199	unbias	0.661860138	Ovary_mean	0.1759	0.3173	1.8041
TRINITY_DN120026_c0_g2_i2	NA	NA	NA	NA	0.448155218	0.448155218	unbias	0.196774922	Ovary_mean	0.0895	0.1166	1.3037
TRINITY_DN120030_c0_g1_i1	NA	NA	NA	NA	0.267406439	0.267406439	unbias	0.493780628	Ovary_mean	0.1534	0.2069	1.3486
TRINITY_DN120038_c0_g2_i1	NA	NA	NA	NA	0.230906955	0.230906955	unbias	0.119451458	G27_mean	0.0754	0.0703	0.9317
TRINITY_DN120048_c0_g1_i1	NA	NA	NA	NA	0.050446968	0.050446968	unbias	0.483880249	Brain_mean	0.001	0.0012	1.2349
TRINITY_DN120049_c0_g1_i1	LOC100145489	scaffold_443	58654	58654	0.57937409	0.57937409	unbias	0.274320076	G43_F_mean	0.0896	0.1138	1.2697
TRINITY_DN120052_c0_g1_i4	wdr74	Chr04	41212496	41212496	0.844068155	0.844068155	unbias	0.549688463	Ovary_mean	0.158	0.1681	1.0643
TRINITY_DN120058_c3_g1_i3	atp6v1b1	Chr03	119006995	119006995	-0.094494376	0.094494376	unbias	0.299207016	G43_M_mean	0.0634	0.0831	1.3107
TRINITY_DN120059_c0_g2_i1	NA	NA	NA	NA	-0.164011764	0.164011764	unbias	0.348035909	Ovary_mean	0.1576	0.1686	1.0701
TRINITY_DN120061_c0_g2_i3	NA	NA	NA	NA	-0.343676453	0.343676453	unbias	0.235138692	Ovary_mean	0.0449	0.0561	1.2502
TRINITY_DN120063_c0_g1_i4	NA	NA	NA	NA	0.920426496	0.920426496	unbias	0.568958968	Liver_mean	0.0849	0.1641	1.9345
TRINITY_DN120079_c0_g1_i1	NA	NA	NA	NA	0.285950112	0.285950112	unbias	0.486393561	Brain_mean	0.0709	0.101	1.4257
TRINITY_DN120080_c0_g1_i1	NA	NA	NA	NA	-0.308644387	0.308644387	unbias	0.475945203	Testis_mean	0.1509	0.143	0.9479
TRINITY_DN120090_c0_g1_i1	NA	NA	NA	NA	-0.042666017	0.042666017	unbias	0.402824605	Testis_mean	0.1908	0.3549	1.8601
TRINITY_DN120101_c0_g1_i1	NA	NA	NA	NA	0.047118245	0.047118245	unbias	0.173033823	Testis_mean	0.0295	0.0549	1.86
TRINITY_DN120102_c0_g1_i2	NA	NA	NA	NA	0.131184618	0.131184618	unbias	0.358764887	Ovary_mean	0.0393	0.0491	1.2491
TRINITY_DN120105_c0_g1_i1	NA	NA	NA	NA	0.711146346	0.711146346	unbias	0.517338323	Brain_mean	0.2068	0.2488	1.203
TRINITY_DN120113_c0_g1_i3	NA	NA	NA	NA	-0.42786845	0.42786845	unbias	0.752654854	Ovary_mean	0.0758	0.1338	1.7657
TRINITY_DN120130_c0_g1_i3	cbx7	Chr04	110324224	110324224	0.071573844	0.071573844	unbias	0.298774036	Ovary_mean	0.1144	0.1632	1.426
TRINITY_DN120132_c0_g1_i1	NA	NA	NA	NA	0.144173466	0.144173466	unbias	0.380474997	Ovary_mean	0.0339	0.0646	1.9066
TRINITY_DN120136_c0_g1_i2	fam134b	Chr06	59028073	59028073	-0.03404807	0.03404807	unbias	0.310893154	Ovary_mean	0.1483	0.2627	1.7712
TRINITY_DN120141_c0_g1_i3	NA	NA	NA	NA	-0.544839591	0.544839591	unbias	0.438302016	G23_mean	0.1487	0.2137	1.437
TRINITY_DN120148_c0_g1_i3	tmem39b	Chr02	82395230	82395230	-0.281386554	0.281386554	unbias	0.486663098	Ovary_mean	0.0797	0.1576	1.9775
TRINITY_DN120153_c0_g1_i3	sod3	Chr01	21082217	21082217	-0.169187935	0.169187935	unbias	0.265481229	G43_M_mean	0.0362	0.0266	0.7347
TRINITY_DN120154_c9_g2_i1	NA	NA	NA	NA	-0.468296597	0.468296597	unbias	0.68228224	Brain_mean	0.0558	0.0894	1.6017
TRINITY_DN120161_c0_g2_i9	NA	NA	NA	NA	-0.078395552	0.078395552	unbias	0.387213762	Ovary_mean	0.0296	0.0511	1.7244
TRINITY_DN120162_c0_g4_i3	NA	NA	NA	NA	-0.120483721	0.120483721	unbias	0.490946837	G27_mean	0.125	0.175	1.4003
TRINITY_DN120165_c0_g1_i1	NA	NA	NA	NA	0.338172784	0.338172784	unbias	0.188380312	G23_mean	0.0593	0.103	1.736
TRINITY_DN120166_c0_g2_i5	NA	NA	NA	NA	0.04708281	0.04708281	unbias	0.356705465	G43_M_mean	0.1303	0.199	1.527
TRINITY_DN120169_c0_g1_i1	NA	NA	NA	NA	0.207241945	0.207241945	unbias	0.450398818	G27_mean	0.1201	0.1984	1.6516
TRINITY_DN120176_c0_g1_i1	NA	NA	NA	NA	0.194998345	0.194998345	unbias	0.422049999	Ovary_mean	0.0963	0.1701	1.7664
TRINITY_DN120189_c2_g3_i1	NA	NA	NA	NA	0.417221168	0.417221168	unbias	0.474734783	Ovary_mean	0.0786	0.1239	1.5753
TRINITY_DN120199_c0_g1_i2	p2ry10	Chr08	44313302	44313302	-0.532279003	0.532279003	unbias	0.396015177	Ovary_mean	0.0726	0.1153	1.5867
TRINITY_DN120219_c0_g4_i3	NA	NA	NA	NA	0.569789733	0.569789733	unbias	0.14239959	Testis_mean	0.0514	0.0921	1.7902
TRINITY_DN120223_c0_g1_i5	NA	NA	NA	NA	-0.708744949	0.708744949	unbias	0.370960128	Ovary_mean	0.0312	0.0607	1.9441
TRINITY_DN120230_c0_g1_i2	NA	NA	NA	NA	-1.706267531	1.706267531	unbias	0.460734543	Ovary_mean	0.1176	0.1587	1.3502
TRINITY_DN120234_c0_g1_i1	NA	NA	NA	NA	-0.775630664	0.775630664	unbias	0.409941368	Brain_mean	0.0978	0.1676	1.7141
TRINITY_DN120236_c2_g1_i2	NA	NA	NA	NA	-0.222614571	0.222614571	unbias	0.321050356	Ovary_mean	0.1735	0.2432	1.402
TRINITY_DN120237_c0_g2_i1	brsk1-like	Chr07	105976371	105976371	1.768689816	1.768689816	male	0.581115922	Liver_mean	0.2336	0.2762	1.182
TRINITY_DN120254_c0_g1_i1	NA	NA	NA	NA	-0.368746846	0.368746846	unbias	0.776175423	Ovary_mean	0.1973	0.3413	1.7303
TRINITY_DN120270_c0_g1_i1	NA	NA	NA	NA	-0.648263645	0.648263645	unbias	0.662915558	Brain_mean	0.0295	0.0543	1.8374
TRINITY_DN120272_c0_g3_i2	NA	NA	NA	NA	-0.806864353	0.806864353	unbias	0.551349238	Ovary_mean	0.1323	0.1997	1.51
TRINITY_DN120281_c0_g2_i2	grpr	Chr02	32487402	32487402	-0.072689038	0.072689038	unbias	0.38230943	Brain_mean	0.0845	0.1038	1.229
TRINITY_DN120302_c0_g1_i4	ampd3	scaffold_203	311729	311729	-0.626589557	0.626589557	unbias	0.792824777	Ovary_mean	0.1629	0.2242	1.3763
TRINITY_DN120313_c1_g1_i1	NA	NA	NA	NA	0.317820082	0.317820082	unbias	0.392230208	G27_mean	0.0659	0.1028	1.5594
TRINITY_DN120320_c0_g1_i2	NA	NA	NA	NA	-0.304598219	0.304598219	unbias	0.278444582	Brain_mean	0.2003	0.1931	0.9644
TRINITY_DN120323_c0_g1_i1	NA	NA	NA	NA	0.478705808	0.478705808	unbias	0.250495633	Liver_mean	0.0817	0.138	1.6886
TRINITY_DN120326_c0_g1_i2	NA	NA	NA	NA	0.960126439	0.960126439	unbias	0.625964847	G43_M_mean	0.2927	0.3972	1.3573
TRINITY_DN120337_c0_g1_i1	NA	NA	NA	NA	-0.095116705	0.095116705	unbias	0.278318972	Ovary_mean	0.0531	0.0649	1.2216
TRINITY_DN120342_c3_g4_i1	NA	NA	NA	NA	-0.762401516	0.762401516	unbias	0.583130168	Testis_mean	0.0553	0.0896	1.6208
TRINITY_DN120352_c0_g1_i4	NA	NA	NA	NA	0.758906515	0.758906515	unbias	0.11088648	G46_F_mean	0.0451	0.0569	1.2616
TRINITY_DN120355_c0_g1_i3	NA	NA	NA	NA	-0.719102325	0.719102325	unbias	0.260371039	Ovary_mean	0.0457	0.0357	0.7805
TRINITY_DN120368_c0_g1_i2	ccdc6	Chr07	8097857	8097857	-0.052400977	0.052400977	unbias	0.331038682	Ovary_mean	0.0724	0.1104	1.5237
TRINITY_DN120384_c0_g1_i7	NA	NA	NA	NA	-0.033807397	0.033807397	unbias	0.295219471	Ovary_mean	0.0904	0.1702	1.8819
TRINITY_DN120387_c2_g5_i2	NA	NA	NA	NA	0.027984181	0.027984181	unbias	0.325442007	Brain_mean	0.0269	0.0333	1.2387
TRINITY_DN120399_c3_g2_i5	NA	NA	NA	NA	-0.281303278	0.281303278	unbias	0.643313815	Liver_mean	0.0859	0.1165	1.3564
TRINITY_DN120402_c0_g1_i4	NA	NA	NA	NA	0.438635754	0.438635754	unbias	0.443942401	Ovary_mean	0.1004	0.1787	1.7801
TRINITY_DN120404_c0_g1_i1	NA	NA	NA	NA	-0.254311945	0.254311945	unbias	0.181435836	Brain_mean	0.0109	0.0186	1.7137
TRINITY_DN120407_c0_g2_i1	sec24d-like.2	Chr07	52754568	52754568	-0.287202396	0.287202396	unbias	0.467053359	Ovary_mean	0.0462	0.0353	0.7636
TRINITY_DN120415_c0_g1_i1	NA	NA	NA	NA	-0.226599716	0.226599716	unbias	0.310701232	Ovary_mean	0.0178	0.0282	1.5811
TRINITY_DN120418_c0_g1_i1	NA	NA	NA	NA	0.121726373	0.121726373	unbias	0.15728218	G23_mean	0.0524	0.066	1.261
TRINITY_DN120421_c0_g1_i1	NA	NA	NA	NA	0.635252552	0.635252552	unbias	0.495183045	Brain_mean	0.1681	0.2635	1.5677
TRINITY_DN120428_c0_g1_i2	NA	NA	NA	NA	0.171764082	0.171764082	unbias	0.307178594	Ovary_mean	0.0587	0.0947	1.6136
TRINITY_DN120431_c0_g2_i2	NA	NA	NA	NA	-0.187989314	0.187989314	unbias	0.328422319	Testis_mean	0.0318	0.0532	1.6702
TRINITY_DN120437_c2_g1_i2	ube4a	Chr07	84933924	84933924	0.446031866	0.446031866	unbias	0.496558837	Ovary_mean	0.0658	0.0651	0.9894
TRINITY_DN120445_c0_g1_i1	LOC100486129-like	Chr05	89417639	89417639	-0.796936766	0.796936766	unbias	0.489289778	Ovary_mean	0.0615	0.0779	1.2665
TRINITY_DN120452_c0_g1_i2	NA	NA	NA	NA	-0.37551079	0.37551079	unbias	0.130141416	Liver_mean	0.1181	0.2116	1.792
TRINITY_DN120457_c0_g1_i2	NA	NA	NA	NA	-0.34032698	0.34032698	unbias	0.455658186	Ovary_mean	0.1659	0.3262	1.9664
TRINITY_DN120459_c0_g2_i2	ccdc102a	Chr04	28198371	28198371	-0.875071598	0.875071598	unbias	0.316636741	Ovary_mean	0.0742	0.1207	1.6259
TRINITY_DN120464_c0_g1_i1	NA	NA	NA	NA	-0.270602993	0.270602993	unbias	0.32760711	Ovary_mean	0.0051	0.0096	1.8981
TRINITY_DN120467_c0_g2_i3	bace2	Chr02	6794337	6794337	0.384140484	0.384140484	unbias	0.195382559	Brain_mean	0.1021	0.1408	1.3792
TRINITY_DN120470_c0_g1_i5	NA	NA	NA	NA	0.331982083	0.331982083	unbias	0.445039688	Brain_mean	0.037	0.0658	1.7766
TRINITY_DN120473_c0_g1_i2	NA	NA	NA	NA	-0.352469039	0.352469039	unbias	0.699730233	Ovary_mean	0.1284	0.2082	1.6209
TRINITY_DN120475_c3_g4_i2	NA	NA	NA	NA	-0.488728607	0.488728607	unbias	0.123537145	G46_M_mean	0.0916	0.0988	1.0782
TRINITY_DN120483_c0_g1_i3	NA	NA	NA	NA	0.079776996	0.079776996	unbias	0.20481594	Testis_mean	0.0911	0.1652	1.8126
TRINITY_DN120500_c0_g1_i2	NA	NA	NA	NA	0.646459141	0.646459141	unbias	0.15075187	G23_mean	0.0434	0.0388	0.8937
TRINITY_DN120513_c0_g1_i1	NA	NA	NA	NA	0.704371569	0.704371569	unbias	0.13698112	G23_mean	0.0386	0.0604	1.5641
TRINITY_DN120516_c0_g1_i1	NA	NA	NA	NA	-0.55173415	0.55173415	unbias	0.372855282	G23_mean	0.0365	0.0592	1.6213
TRINITY_DN120518_c0_g1_i4	NA	NA	NA	NA	0.529573558	0.529573558	unbias	0.351447491	Ovary_mean	0.1087	0.11	1.0114
TRINITY_DN120533_c0_g4_i1	NA	NA	NA	NA	-0.829445645	0.829445645	unbias	0.678437223	Brain_mean	0.0129	0.0113	0.8829
TRINITY_DN120538_c0_g1_i1	NA	NA	NA	NA	1.156713182	1.156713182	unbias	0.353558437	Liver_mean	0.0603	0.0762	1.2648
TRINITY_DN120543_c0_g1_i1	NA	NA	NA	NA	-0.218117002	0.218117002	unbias	0.588350922	Liver_mean	0.1822	0.2466	1.3533
TRINITY_DN120545_c4_g1_i4	NA	NA	NA	NA	-1.026286102	1.026286102	unbias	0.465976041	Ovary_mean	0.0586	0.0774	1.3213
TRINITY_DN120546_c0_g1_i1	NA	NA	NA	NA	0.250560133	0.250560133	unbias	0.26596762	Ovary_mean	0.0797	0.1172	1.4706
TRINITY_DN120551_c0_g1_i1	NA	NA	NA	NA	0.510862774	0.510862774	unbias	0.512677779	G43_M_mean	0.0963	0.1924	1.9974
TRINITY_DN120562_c0_g1_i1	nrf1-like	Chr03	77458182	77458182	0.320679042	0.320679042	unbias	0.137516316	G23_mean	0.0202	0.0228	1.1276
TRINITY_DN120566_c0_g1_i2	NA	NA	NA	NA	0.246284278	0.246284278	unbias	0.13087926	Testis_mean	0.001	0.001	1.0266
TRINITY_DN120579_c0_g2_i2	NA	NA	NA	NA	0.473287552	0.473287552	unbias	0.219904578	G23_mean	0.0178	0.0201	1.1318
TRINITY_DN120583_c0_g3_i3	NA	NA	NA	NA	-0.810124941	0.810124941	unbias	0.381278221	Ovary_mean	0.1604	0.2435	1.5178
TRINITY_DN120592_c0_g2_i3	NA	NA	NA	NA	-0.874635048	0.874635048	unbias	0.405441003	Brain_mean	0.0813	0.1184	1.4566
TRINITY_DN120594_c0_g1_i5	NA	NA	NA	NA	0.061399186	0.061399186	unbias	0.511759758	Ovary_mean	0.0604	0.1086	1.7985
TRINITY_DN120595_c0_g1_i1	NA	NA	NA	NA	0.774143689	0.774143689	unbias	0.21747309	Ovary_mean	0.145	0.1745	1.2032
TRINITY_DN120603_c0_g1_i1	NA	NA	NA	NA	-0.256469643	0.256469643	unbias	0.401708116	Ovary_mean	0.2103	0.3841	1.8263
TRINITY_DN120616_c0_g1_i3	NA	NA	NA	NA	0.269281841	0.269281841	unbias	0.351954566	Ovary_mean	0.0367	0.055	1.501
TRINITY_DN120617_c0_g1_i1	NA	NA	NA	NA	0.428223259	0.428223259	unbias	0.137596536	G23_mean	0.0301	0.0326	1.0835
TRINITY_DN120621_c0_g2_i1	btrc	Chr07	22238310	22238310	0.303950181	0.303950181	unbias	0.685649972	Brain_mean	0.0469	0.0647	1.3797
TRINITY_DN120623_c0_g1_i1	NA	NA	NA	NA	-0.230172974	0.230172974	unbias	0.380666668	Ovary_mean	0.0618	0.0996	1.6117
TRINITY_DN120624_c0_g3_i6	msln-like.1	Chr09	10595136	10595136	0.316204548	0.316204548	unbias	0.501943756	G43_M_mean	0.0996	0.1422	1.4267
TRINITY_DN120626_c2_g4_i1	LOC100490298	Chr03	57160004	57160004	0.132039603	0.132039603	unbias	0.301061622	Ovary_mean	0.0814	0.138	1.6963
TRINITY_DN120636_c0_g8_i1	NA	NA	NA	NA	0.315265493	0.315265493	unbias	0.383621979	Ovary_mean	0.1104	0.1748	1.584
TRINITY_DN120641_c0_g1_i1	NA	NA	NA	NA	-1.081430265	1.081430265	unbias	0.47473172	Ovary_mean	0.0744	0.1097	1.4731
TRINITY_DN120649_c0_g2_i1	NA	NA	NA	NA	-0.42589035	0.42589035	unbias	0.437616057	G27_mean	0.1223	0.1986	1.6238
TRINITY_DN120651_c0_g3_i4	NA	NA	NA	NA	-0.900664539	0.900664539	unbias	0.527195818	G23_mean	0.1011	0.0555	0.549
TRINITY_DN120651_c0_g5_i1	NA	NA	NA	NA	-0.390885078	0.390885078	unbias	0.451943329	G23_mean	0.0644	0.0385	0.5981
TRINITY_DN120658_c0_g1_i3	NA	NA	NA	NA	0.040218647	0.040218647	unbias	0.244443832	G46_M_mean	0.0608	0.0751	1.2353
TRINITY_DN120663_c1_g1_i1	NA	NA	NA	NA	0.801773753	0.801773753	unbias	0.235843528	G27_mean	0.0941	0.1668	1.772
TRINITY_DN120666_c1_g1_i1	NA	NA	NA	NA	-0.268735009	0.268735009	unbias	0.547699035	Ovary_mean	0.0429	0.0292	0.6818
TRINITY_DN120670_c0_g4_i2	NA	NA	NA	NA	0.309704596	0.309704596	unbias	0.438651921	G43_M_mean	0.0583	0.0766	1.3145
TRINITY_DN120688_c2_g1_i2	NA	NA	NA	NA	0.02083149	0.02083149	unbias	0.343675164	Ovary_mean	0.0202	0.0266	1.3142
TRINITY_DN120701_c0_g1_i1	NA	NA	NA	NA	3.234448704	3.234448704	unbias	0.7589253	Brain_mean	0.0309	0.0556	1.8031
TRINITY_DN120702_c0_g1_i1	fkbp1b	Chr05	141521362	141521362	-0.117002921	0.117002921	unbias	0.271610996	Brain_mean	0.0704	0.1315	1.8685
TRINITY_DN120707_c0_g1_i4	NA	NA	NA	NA	0.024292404	0.024292404	unbias	0.454489687	Ovary_mean	0.0159	0.016	1.0092
TRINITY_DN120710_c1_g1_i1	med18	Chr02	52484983	52484983	-0.356541523	0.356541523	unbias	0.336471748	Brain_mean	0.0969	0.1658	1.7103
TRINITY_DN120735_c0_g1_i1	NA	NA	NA	NA	-0.551918708	0.551918708	unbias	0.314661981	Ovary_mean	0.1266	0.2179	1.7216
TRINITY_DN120743_c0_g1_i1	NA	NA	NA	NA	-0.355659165	0.355659165	unbias	0.496337331	Ovary_mean	0.183	0.1508	0.8241
TRINITY_DN120746_c0_g3_i1	NA	NA	NA	NA	0.062284478	0.062284478	unbias	0.148140175	Ovary_mean	0.0163	0.0217	1.3315
TRINITY_DN120753_c3_g1_i2	NA	NA	NA	NA	0.217437654	0.217437654	unbias	0.286244598	Ovary_mean	0.0981	0.1633	1.6659
TRINITY_DN120763_c0_g1_i1	NA	NA	NA	NA	-0.238020411	0.238020411	unbias	0.344788899	Ovary_mean	0.0202	0.035	1.7282
TRINITY_DN120764_c2_g1_i1	NA	NA	NA	NA	-0.217169497	0.217169497	unbias	0.724560439	Brain_mean	0.0361	0.0578	1.6014
TRINITY_DN120766_c0_g2_i1	NA	NA	NA	NA	-0.298935361	0.298935361	unbias	0.32329603	Ovary_mean	0.0858	0.1237	1.4414
TRINITY_DN120772_c0_g1_i1	NA	NA	NA	NA	1.103316609	1.103316609	unbias	0.67825741	Ovary_mean	0.049	0.0726	1.4823
TRINITY_DN120777_c0_g1_i2	NA	NA	NA	NA	0.013537999	0.013537999	unbias	0.592044765	Ovary_mean	0.0719	0.1054	1.4653
TRINITY_DN120778_c0_g1_i5	NA	NA	NA	NA	0.28234465	0.28234465	unbias	0.192557555	Ovary_mean	0.0092	0.0158	1.7165
TRINITY_DN120796_c0_g1_i3	NA	NA	NA	NA	-0.00404671	0.00404671	unbias	0.439161437	Brain_mean	0.1461	0.1573	1.0766
TRINITY_DN120797_c1_g4_i1	NA	NA	NA	NA	0.041194763	0.041194763	unbias	0.222166647	Ovary_mean	0.0222	0.0331	1.4914
TRINITY_DN120811_c0_g1_i1	NA	NA	NA	NA	0.451264012	0.451264012	unbias	0.276993441	Ovary_mean	0.0242	0.0369	1.5244
TRINITY_DN120819_c1_g2_i4	trim63	Chr02	51080256	51080256	-0.156533981	0.156533981	unbias	0.431932402	Testis_mean	0.0826	0.1506	1.8236
TRINITY_DN120824_c0_g2_i4	lphn1-like	Chr03	123924922	123924922	-0.313146526	0.313146526	unbias	0.360076825	Testis_mean	0.1	0.1707	1.7063
TRINITY_DN120830_c0_g4_i1	f2r	Chr01	165004711	165004711	-1.390762849	1.390762849	unbias	0.521447401	G43_F_mean	0.1032	0.182	1.7629
TRINITY_DN120836_c0_g1_i1	NA	NA	NA	NA	-0.301419839	0.301419839	unbias	0.298068141	Brain_mean	0.0381	0.0719	1.8845
TRINITY_DN120845_c0_g1_i1	NA	NA	NA	NA	-0.428110622	0.428110622	unbias	0.54444057	Ovary_mean	0.0393	0.0664	1.6893
TRINITY_DN120852_c0_g1_i3	NA	NA	NA	NA	-0.047768192	0.047768192	unbias	0.328679406	Ovary_mean	0.0528	0.0334	0.6332
TRINITY_DN120856_c0_g1_i2	NA	NA	NA	NA	1.421852506	1.421852506	unbias	0.330488139	G27_mean	0.0938	0.1586	1.6908
TRINITY_DN120860_c0_g1_i1	NA	NA	NA	NA	-0.035445262	0.035445262	unbias	0.453694973	Ovary_mean	0.1222	0.2372	1.9401
TRINITY_DN120861_c0_g3_i1	NA	NA	NA	NA	0.203560691	0.203560691	unbias	0.322880328	Brain_mean	0.0116	0.0228	1.9731
TRINITY_DN120863_c0_g1_i1	NA	NA	NA	NA	-0.330475545	0.330475545	unbias	0.398862821	Ovary_mean	0.0421	0.0839	1.9944
TRINITY_DN120864_c0_g2_i1	NA	NA	NA	NA	-1.5147524	1.5147524	unbias	0.490523876	Brain_mean	0.0599	0.11	1.8361
TRINITY_DN120868_c0_g1_i2	idua	Chr01	90466017	90466017	-0.206734144	0.206734144	unbias	0.409304342	Ovary_mean	0.0942	0.13	1.3803
TRINITY_DN120883_c0_g1_i1	NA	NA	NA	NA	-0.722358685	0.722358685	unbias	0.266666394	G23_mean	0.1262	0.2198	1.7415
TRINITY_DN120901_c0_g1_i1	NA	NA	NA	NA	0.685109299	0.685109299	unbias	0.14880417	Testis_mean	0.1062	0.1118	1.053
TRINITY_DN120903_c0_g1_i3	NA	NA	NA	NA	0.529084339	0.529084339	unbias	0.628123805	G31_mean	0.1424	0.1836	1.2895
TRINITY_DN120904_c0_g2_i3	NA	NA	NA	NA	0.070083894	0.070083894	unbias	0.168476844	G23_mean	0.0293	0.0548	1.873
TRINITY_DN120909_c0_g4_i5	NA	NA	NA	NA	0.242722324	0.242722324	unbias	0.296655158	Testis_mean	0.1279	0.1635	1.2785
TRINITY_DN120911_c2_g1_i2	NA	NA	NA	NA	-0.424356556	0.424356556	unbias	0.464216028	Ovary_mean	0.0195	0.0314	1.6106
TRINITY_DN120916_c0_g2_i3	NA	NA	NA	NA	0.205000857	0.205000857	unbias	0.217644462	Testis_mean	0.1286	0.1899	1.4771
TRINITY_DN120918_c0_g1_i1	ddc	Chr06	68654441	68654441	0.592613468	0.592613468	unbias	0.202137156	Brain_mean	0.0952	0.1152	1.2102
TRINITY_DN120925_c0_g1_i5	NA	NA	NA	NA	0.806788046	0.806788046	unbias	0.476556812	Ovary_mean	0.1431	0.2072	1.4481
TRINITY_DN120929_c0_g2_i4	NA	NA	NA	NA	0.935562398	0.935562398	unbias	0.174963705	G27_mean	0.0396	0.049	1.237
