gid	gname	chr	start	end	logFC.XYliver.XXliver	bias
TRINITY_DN122821_c0_g1_i2	NA	NA	NA	NA	0.244494232	unbias
TRINITY_DN122823_c0_g1_i1	NA	NA	NA	NA	-0.535051154	unbias
TRINITY_DN122824_c1_g1_i2	NA	NA	NA	NA	-0.271839089	unbias
TRINITY_DN122829_c0_g2_i1	LOC548945	Chr02	62242740	62242740	-0.961040912	unbias
TRINITY_DN122829_c0_g4_i1	NA	NA	NA	NA	0.449424004	unbias
TRINITY_DN122834_c0_g1_i2	mreg	Chr09	53806422	53806422	0.046535482	unbias
TRINITY_DN122835_c0_g2_i1	crtap	Chr10	9089682	9089682	0.354236759	unbias
TRINITY_DN122838_c0_g1_i3	NA	NA	NA	NA	-0.12796039	unbias
TRINITY_DN122839_c0_g1_i1	NA	NA	NA	NA	0.63636275	unbias
TRINITY_DN122842_c2_g2_i1	NA	NA	NA	NA	0.326280836	unbias
TRINITY_DN122842_c2_g3_i4	NA	NA	NA	NA	0.599828552	unbias
TRINITY_DN122843_c0_g1_i1	NA	NA	NA	NA	0.704871065	unbias
TRINITY_DN122849_c0_g1_i2	NA	NA	NA	NA	-0.169909089	unbias
TRINITY_DN122850_c0_g1_i1	NA	NA	NA	NA	-0.183201389	unbias
TRINITY_DN122851_c0_g1_i1	NA	NA	NA	NA	-0.988998509	unbias
TRINITY_DN122851_c0_g2_i1	NA	NA	NA	NA	-0.63458432	unbias
TRINITY_DN122852_c0_g1_i1	NA	NA	NA	NA	0.015424359	unbias
TRINITY_DN122854_c0_g2_i7	NA	NA	NA	NA	-0.545587488	unbias
TRINITY_DN122854_c0_g3_i3	NA	NA	NA	NA	-0.605917728	unbias
TRINITY_DN122856_c0_g1_i4	NA	NA	NA	NA	-0.410505778	unbias
TRINITY_DN122857_c0_g1_i1	NA	NA	NA	NA	0.272258642	unbias
TRINITY_DN122861_c0_g1_i3	NA	NA	NA	NA	0.404515966	unbias
TRINITY_DN122863_c3_g1_i1	NA	NA	NA	NA	1.251273622	unbias
TRINITY_DN122864_c1_g1_i1	rasgrf2	Chr01	167830062	167830062	-0.320856274	unbias
TRINITY_DN122865_c0_g1_i1	NA	NA	NA	NA	0.111571118	unbias
TRINITY_DN122866_c0_g1_i1	NA	NA	NA	NA	-0.278371335	unbias
TRINITY_DN122868_c1_g1_i4	gps1	Chr10	19431228	19431228	0.236408158	unbias
TRINITY_DN122869_c1_g2_i2	LOC100489521	Chr01	102150360	102150360	0.110009917	unbias
TRINITY_DN122871_c1_g3_i3	NA	NA	NA	NA	0.181012495	unbias
TRINITY_DN122874_c0_g2_i4	NA	NA	NA	NA	1.232118392	unbias
TRINITY_DN122876_c3_g1_i10	ccdc127	Chr06	69837431	69837431	0.871223399	unbias
TRINITY_DN122880_c0_g1_i3	NA	NA	NA	NA	-0.200898425	unbias
TRINITY_DN122882_c0_g1_i2	NA	NA	NA	NA	0.784381021	unbias
TRINITY_DN122883_c0_g1_i1	NA	NA	NA	NA	0.552344755	unbias
TRINITY_DN122887_c3_g3_i1	NA	NA	NA	NA	0.090909566	unbias
TRINITY_DN122887_c4_g1_i2	NA	NA	NA	NA	-0.27743402	unbias
TRINITY_DN122887_c4_g3_i2	NA	NA	NA	NA	-0.329898543	unbias
TRINITY_DN122888_c0_g2_i6	rab26	Chr09	13294193	13294193	0.339004284	unbias
TRINITY_DN122888_c0_g3_i1	NA	NA	NA	NA	-0.403596471	unbias
TRINITY_DN122889_c8_g1_i4	NA	NA	NA	NA	-0.875156945	unbias
TRINITY_DN122889_c9_g2_i2	ispd	Chr06	44776464	44776464	0.393017494	unbias
TRINITY_DN122890_c2_g1_i1	NA	NA	NA	NA	-0.960136569	unbias
TRINITY_DN122891_c0_g2_i5	Xetrov90011013m	Chr04	37736758	37736758	-0.461376622	unbias
TRINITY_DN122895_c0_g1_i2	NA	NA	NA	NA	-0.697621861	unbias
TRINITY_DN122896_c0_g1_i2	NA	NA	NA	NA	0.037065886	unbias
TRINITY_DN122897_c0_g1_i1	NA	NA	NA	NA	-0.105185871	unbias
TRINITY_DN122898_c0_g1_i1	NA	NA	NA	NA	-0.030019821	unbias
TRINITY_DN122900_c0_g1_i1	NA	NA	NA	NA	0.812812135	unbias
TRINITY_DN122902_c1_g1_i4	NA	NA	NA	NA	-0.556586506	unbias
TRINITY_DN122909_c4_g1_i3	capn15	Chr09	15306899	15306899	-0.652256329	unbias
TRINITY_DN122909_c5_g4_i5	NA	NA	NA	NA	-0.337224948	unbias
TRINITY_DN122909_c5_g5_i1	NA	NA	NA	NA	0.348067352	unbias
TRINITY_DN122910_c0_g1_i2	NA	NA	NA	NA	-0.188494823	unbias
TRINITY_DN122911_c0_g2_i2	NA	NA	NA	NA	0.145627113	unbias
TRINITY_DN122912_c3_g2_i1	NA	NA	NA	NA	0.595922771	unbias
TRINITY_DN122913_c0_g1_i2	NA	NA	NA	NA	-0.069710433	unbias
TRINITY_DN122914_c0_g1_i2	NA	NA	NA	NA	-0.563572034	unbias
TRINITY_DN122922_c0_g1_i2	NA	NA	NA	NA	-0.09794449	unbias
TRINITY_DN122924_c0_g1_i1	NA	NA	NA	NA	-0.486773752	unbias
TRINITY_DN122928_c0_g1_i3	NA	NA	NA	NA	-0.166065392	unbias
TRINITY_DN122930_c0_g3_i10	NA	NA	NA	NA	0.235220555	unbias
TRINITY_DN122933_c2_g3_i2	NA	NA	NA	NA	0.108083852	unbias
TRINITY_DN122933_c2_g4_i2	NA	NA	NA	NA	-0.098407694	unbias
TRINITY_DN122933_c3_g1_i6	NA	NA	NA	NA	-0.026852392	unbias
TRINITY_DN122933_c4_g1_i1	NA	NA	NA	NA	0.348131711	unbias
TRINITY_DN122933_c4_g2_i2	NA	NA	NA	NA	0.04121988	unbias
TRINITY_DN122934_c0_g3_i1	NA	NA	NA	NA	-0.210619502	unbias
TRINITY_DN122935_c0_g1_i1	NA	NA	NA	NA	-0.070406469	unbias
TRINITY_DN122938_c2_g2_i1	NA	NA	NA	NA	0.425162016	unbias
TRINITY_DN122939_c2_g3_i10	NA	NA	NA	NA	0.152113001	unbias
TRINITY_DN122940_c0_g4_i1	hps4	Chr01	140208335	140208335	-0.318485943	unbias
TRINITY_DN122941_c0_g1_i6	inhbc.1	Chr02	137032708	137032708	-0.23367627	unbias
TRINITY_DN122942_c2_g1_i7	NA	NA	NA	NA	-0.733747646	unbias
TRINITY_DN122954_c0_g2_i1	kcnmb4	Chr03	49996161	49996161	-0.300185876	unbias
TRINITY_DN122956_c0_g1_i1	tspo	scaffold_214	91976	91976	0.566093628	unbias
TRINITY_DN122956_c3_g1_i1	NA	NA	NA	NA	-0.186879431	unbias
TRINITY_DN122956_c4_g4_i1	NA	NA	NA	NA	-0.692779741	unbias
TRINITY_DN122956_c4_g7_i1	NA	NA	NA	NA	0.205516283	unbias
TRINITY_DN122956_c5_g1_i1	NA	NA	NA	NA	-0.873251832	unbias
TRINITY_DN122956_c5_g2_i1	NA	NA	NA	NA	0.691243451	unbias
TRINITY_DN122957_c0_g2_i1	NA	NA	NA	NA	0.015161286	unbias
TRINITY_DN122960_c3_g1_i1	NA	NA	NA	NA	-0.092872476	unbias
TRINITY_DN122960_c4_g2_i1	NA	NA	NA	NA	0.385886389	unbias
TRINITY_DN122960_c4_g4_i2	NA	NA	NA	NA	-1.027694505	unbias
TRINITY_DN122961_c6_g7_i3	NA	NA	NA	NA	0.45437297	unbias
TRINITY_DN122962_c1_g2_i1	NA	NA	NA	NA	-1.60917554	unbias
TRINITY_DN122963_c2_g1_i3	LOC594879	Chr01	96973380	96973380	1.384341083	unbias
TRINITY_DN122963_c2_g3_i2	srpx2	Chr08	43439873	43439873	0.046662543	unbias
TRINITY_DN122964_c0_g1_i2	NA	NA	NA	NA	-0.627466482	unbias
TRINITY_DN122965_c0_g2_i3	NA	NA	NA	NA	-0.672038603	unbias
TRINITY_DN122974_c0_g2_i2	NA	NA	NA	NA	-0.336281802	unbias
TRINITY_DN122976_c0_g2_i2	NA	NA	NA	NA	0.296876914	unbias
TRINITY_DN122977_c0_g1_i1	NA	NA	NA	NA	0.495389999	unbias
TRINITY_DN122979_c0_g1_i1	NA	NA	NA	NA	0.590138768	unbias
TRINITY_DN122979_c0_g3_i1	NA	NA	NA	NA	1.296968795	unbias
TRINITY_DN122980_c1_g4_i2	NA	NA	NA	NA	-0.899503929	unbias
TRINITY_DN122981_c1_g1_i4	NA	NA	NA	NA	0.203630954	unbias
TRINITY_DN122985_c0_g1_i4	NA	NA	NA	NA	-0.51167852	unbias
TRINITY_DN122987_c5_g3_i1	NA	NA	NA	NA	-0.246796283	unbias
TRINITY_DN122990_c0_g1_i2	NA	NA	NA	NA	-0.176958187	unbias
TRINITY_DN122990_c0_g2_i8	NA	NA	NA	NA	0.18006663	unbias
TRINITY_DN122991_c3_g1_i1	NA	NA	NA	NA	-0.655520169	unbias
TRINITY_DN122991_c3_g7_i1	parp11	Chr03	3161161	3161161	0.008221422	unbias
TRINITY_DN122993_c0_g1_i2	NA	NA	NA	NA	-0.215605072	unbias
TRINITY_DN122994_c0_g1_i1	NA	NA	NA	NA	0.204751136	unbias
TRINITY_DN122995_c0_g1_i2	NA	NA	NA	NA	0.419957029	unbias
TRINITY_DN122996_c0_g5_i1	NA	NA	NA	NA	0.114775833	unbias
TRINITY_DN122997_c0_g1_i2	NA	NA	NA	NA	-0.47007948	unbias
TRINITY_DN122999_c2_g1_i4	ppp2r5b	Chr04	38324330	38324330	-0.708713272	unbias
TRINITY_DN123001_c0_g1_i3	lace1	Chr05	75491884	75491884	0.316534931	unbias
TRINITY_DN123003_c0_g1_i7	NA	NA	NA	NA	-0.085381394	unbias
TRINITY_DN123005_c4_g3_i3	mif4gd	Chr10	35794316	35794316	-0.081940358	unbias
TRINITY_DN123006_c2_g4_i2	LOC100494115	Chr04	54642687	54642687	-0.09458606	unbias
TRINITY_DN123006_c2_g6_i1	LOC100495255	Chr06	16749115	16749115	0.297861684	unbias
TRINITY_DN123008_c3_g1_i2	NA	NA	NA	NA	0.370415807	unbias
TRINITY_DN123010_c0_g2_i1	NA	NA	NA	NA	-0.772264945	unbias
TRINITY_DN123011_c1_g2_i1	brsk2-like	Chr04	12360097	12360097	0.353991094	unbias
TRINITY_DN123012_c1_g2_i1	NA	NA	NA	NA	0.274837869	unbias
TRINITY_DN123015_c0_g1_i1	kiaa0513	Chr04	67775963	67775963	-0.529146833	unbias
TRINITY_DN123016_c0_g3_i2	c6orf57	Chr05	91327971	91327971	0.33338067	unbias
TRINITY_DN123018_c10_g2_i5	NA	NA	NA	NA	-0.269341944	unbias
TRINITY_DN123019_c0_g1_i7	NA	NA	NA	NA	0.575509164	unbias
TRINITY_DN123019_c0_g2_i4	NA	NA	NA	NA	-0.361879808	unbias
TRINITY_DN123020_c0_g1_i1	NA	NA	NA	NA	-0.273567984	unbias
TRINITY_DN123021_c0_g1_i2	NA	NA	NA	NA	-0.649077127	unbias
TRINITY_DN123023_c0_g1_i3	NA	NA	NA	NA	-0.211176975	unbias
TRINITY_DN123024_c0_g2_i1	NA	NA	NA	NA	0.004907946	unbias
TRINITY_DN123025_c0_g1_i3	NA	NA	NA	NA	-0.157620346	unbias
TRINITY_DN123026_c2_g2_i1	LOC100490589	Chr05	124435446	124435446	0.115308241	unbias
TRINITY_DN123027_c0_g2_i7	Xetrov90002803m	Chr01	139222545	139222545	-1.11828225	unbias
TRINITY_DN123028_c3_g1_i2	NA	NA	NA	NA	0.156535809	unbias
TRINITY_DN123030_c1_g1_i2	NA	NA	NA	NA	0.472056647	unbias
TRINITY_DN123030_c2_g2_i1	tm4sf4	Chr05	118990886	118990886	0.020247357	unbias
TRINITY_DN123031_c0_g1_i1	NA	NA	NA	NA	-0.149322742	unbias
TRINITY_DN123034_c0_g1_i1	Xetrov90016634m	Chr06	89441383	89441383	-0.304625361	unbias
TRINITY_DN123037_c0_g2_i2	NA	NA	NA	NA	-0.414305309	unbias
TRINITY_DN123038_c0_g1_i1	NA	NA	NA	NA	0.534371736	unbias
TRINITY_DN123039_c0_g1_i1	NA	NA	NA	NA	0.35540515	unbias
TRINITY_DN123041_c6_g1_i2	NA	NA	NA	NA	0.291348891	unbias
TRINITY_DN123044_c0_g1_i2	NA	NA	NA	NA	-0.455626459	unbias
TRINITY_DN123045_c0_g1_i2	NA	NA	NA	NA	0.157438307	unbias
TRINITY_DN123048_c0_g1_i8	Xetrov90023677m	Chr09	30862685	30862685	-0.507828007	unbias
TRINITY_DN123049_c0_g1_i1	NA	NA	NA	NA	0.244989268	unbias
TRINITY_DN123049_c0_g4_i3	NA	NA	NA	NA	0.541020411	unbias
TRINITY_DN123049_c0_g6_i1	bcl2l11	Chr05	50451157	50451157	0.385608569	unbias
TRINITY_DN123049_c1_g1_i1	kitlg	Chr03	45198473	45198473	0.016786917	unbias
TRINITY_DN123050_c0_g2_i1	NA	NA	NA	NA	-0.355780661	unbias
TRINITY_DN123055_c5_g1_i1	NA	NA	NA	NA	-0.143845297	unbias
TRINITY_DN123055_c7_g1_i4	ipo7	Chr04	379257	379257	-0.124177215	unbias
TRINITY_DN123056_c8_g3_i2	NA	NA	NA	NA	-0.441523708	unbias
TRINITY_DN123057_c1_g2_i1	Xetrov90025606m	Chr10	36888393	36888393	-0.815004661	unbias
TRINITY_DN123059_c0_g3_i4	llgl2	Chr10	35985692	35985692	0.193858014	unbias
TRINITY_DN123060_c0_g1_i1	Xetrov90010767m	Chr04	27490127	27490127	0.538954577	unbias
TRINITY_DN123061_c0_g2_i1	NA	NA	NA	NA	-0.030114609	unbias
TRINITY_DN123064_c3_g1_i1	otud7b	Chr08	107679289	107679289	-0.238208865	unbias
TRINITY_DN123064_c5_g4_i1	cdh17	Chr06	112826513	112826513	-0.323273916	unbias
TRINITY_DN123064_c5_g6_i2	NA	NA	NA	NA	0.289790661	unbias
TRINITY_DN123069_c0_g1_i3	NA	NA	NA	NA	-0.107897892	unbias
TRINITY_DN123070_c0_g1_i1	NA	NA	NA	NA	-0.101151009	unbias
TRINITY_DN123074_c1_g1_i1	NA	NA	NA	NA	-0.407644953	unbias
TRINITY_DN123075_c0_g1_i9	lrrc19	Chr04	75237596	75237596	-0.252264146	unbias
TRINITY_DN123078_c0_g1_i1	NA	NA	NA	NA	0.290749208	unbias
TRINITY_DN123082_c3_g1_i1	rnf217-like	Chr05	48383371	48383371	0.312790271	unbias
TRINITY_DN123083_c11_g5_i4	NA	NA	NA	NA	-0.744976758	unbias
TRINITY_DN123083_c7_g1_i1	NA	NA	NA	NA	0.05936771	unbias
TRINITY_DN123084_c6_g1_i1	NA	NA	NA	NA	-0.352046169	unbias
TRINITY_DN123085_c0_g1_i1	NA	NA	NA	NA	-0.04566422	unbias
TRINITY_DN123086_c0_g1_i1	LOC101733469	Chr09	4112565	4112565	0.734739256	unbias
TRINITY_DN123087_c0_g1_i1	NA	NA	NA	NA	-0.673225187	unbias
TRINITY_DN123087_c0_g2_i2	ireb2	Chr03	81320355	81320355	-0.665912149	unbias
TRINITY_DN123088_c0_g1_i20	crispld1	Chr06	106843050	106843050	0.314217371	unbias
TRINITY_DN123090_c3_g1_i4	NA	NA	NA	NA	-0.924447903	unbias
TRINITY_DN123092_c0_g2_i1	NA	NA	NA	NA	0.2615932	unbias
TRINITY_DN123096_c0_g1_i2	NA	NA	NA	NA	-0.57111671	unbias
TRINITY_DN123098_c0_g1_i1	NA	NA	NA	NA	-0.196227202	unbias
TRINITY_DN123101_c0_g1_i2	NA	NA	NA	NA	-0.078965909	unbias
TRINITY_DN123103_c0_g1_i1	neurod2	Chr10	3159935	3159935	0.393640683	unbias
TRINITY_DN123106_c0_g3_i8	NA	NA	NA	NA	-0.513209428	unbias
TRINITY_DN123107_c2_g3_i1	NA	NA	NA	NA	0.533544161	unbias
TRINITY_DN123108_c2_g1_i1	NA	NA	NA	NA	0.322422352	unbias
TRINITY_DN123108_c2_g3_i1	NA	NA	NA	NA	0.167656414	unbias
TRINITY_DN123108_c4_g5_i4	rab14	scaffold_124	455290	455290	-0.029848582	unbias
TRINITY_DN123112_c0_g1_i4	NA	NA	NA	NA	0.403182614	unbias
TRINITY_DN123115_c0_g1_i2	tbc1d1-like	Chr01	25964030	25964030	0.138170979	unbias
TRINITY_DN123118_c0_g1_i1	NA	NA	NA	NA	-0.721768486	unbias
TRINITY_DN123119_c7_g4_i2	NA	NA	NA	NA	-0.393899154	unbias
TRINITY_DN123119_c7_g8_i1	NA	NA	NA	NA	0.281658066	unbias
TRINITY_DN123121_c0_g2_i3	NA	NA	NA	NA	-0.087042616	unbias
TRINITY_DN123122_c0_g1_i3	ascc1	Chr07	34985505	34985505	0.72319216	unbias
TRINITY_DN123123_c2_g1_i6	NA	NA	NA	NA	0.408577408	unbias
TRINITY_DN123123_c3_g2_i1	NA	NA	NA	NA	-0.68724568	unbias
TRINITY_DN123123_c3_g5_i1	NA	NA	NA	NA	0.178066211	unbias
TRINITY_DN123125_c0_g1_i1	stx11	Chr05	55567762	55567762	1.004524216	unbias
TRINITY_DN123125_c7_g1_i1	lrp12-like	Chr06	117915783	117915783	-1.231787239	unbias
TRINITY_DN123125_c7_g2_i1	NA	NA	NA	NA	1.166577766	unbias
TRINITY_DN123125_c7_g5_i1	NA	NA	NA	NA	0.485093912	unbias
TRINITY_DN123128_c0_g2_i1	NA	NA	NA	NA	0.281352058	unbias
TRINITY_DN123129_c1_g1_i3	NA	NA	NA	NA	-0.504354685	unbias
TRINITY_DN123130_c1_g1_i1	NA	NA	NA	NA	-0.311247035	unbias
TRINITY_DN123133_c0_g1_i1	NA	NA	NA	NA	0.265419446	unbias
TRINITY_DN123134_c0_g1_i8	NA	NA	NA	NA	-0.317784335	unbias
TRINITY_DN123135_c0_g1_i1	NA	NA	NA	NA	1.014109256	unbias
TRINITY_DN123136_c0_g1_i4	NA	NA	NA	NA	-0.031043732	unbias
TRINITY_DN123137_c0_g1_i3	NA	NA	NA	NA	-0.356018787	unbias
TRINITY_DN123138_c0_g1_i2	NA	NA	NA	NA	1.238758878	unbias
TRINITY_DN123140_c4_g15_i2	NA	NA	NA	NA	0.055240157	unbias
TRINITY_DN123142_c0_g1_i2	znf281	Chr10	10668990	10668990	-0.386100456	unbias
TRINITY_DN123145_c1_g2_i1	NA	NA	NA	NA	0.365307096	unbias
TRINITY_DN123148_c0_g1_i2	narfl	Chr09	10863035	10863035	1.087656476	unbias
TRINITY_DN123149_c0_g1_i2	LOC100489904-like	Chr04	61880658	61880658	0.119525647	unbias
TRINITY_DN123155_c2_g3_i10	LOC100145599	Chr01	178928228	178928228	-0.335797851	unbias
TRINITY_DN123156_c0_g1_i3	slc27a6	Chr01	158933233	158933233	-0.416776222	unbias
TRINITY_DN123158_c0_g1_i7	LOC100490994	Chr02	145155702	145155702	-0.488286846	unbias
TRINITY_DN123159_c2_g5_i1	NA	NA	NA	NA	0.6961417	unbias
TRINITY_DN123159_c2_g8_i6	ribc2	scaffold_419	87452	87452	0.520685452	unbias
TRINITY_DN123159_c3_g1_i1	NA	NA	NA	NA	-0.158199989	unbias
TRINITY_DN123160_c3_g1_i1	NA	NA	NA	NA	-0.615726623	unbias
TRINITY_DN123160_c6_g3_i3	NA	NA	NA	NA	0.197901287	unbias
TRINITY_DN123160_c9_g3_i6	NA	NA	NA	NA	-0.342245307	unbias
TRINITY_DN123161_c0_g1_i2	NA	NA	NA	NA	-0.039977109	unbias
TRINITY_DN123162_c0_g1_i1	LOC101731220	Chr05	101527351	101527351	0.442341974	unbias
TRINITY_DN123163_c0_g1_i1	otud3	scaffold_788	58568	58568	0.50289554	unbias
TRINITY_DN123163_c0_g2_i3	NA	NA	NA	NA	0.657140063	unbias
TRINITY_DN123164_c1_g1_i2	NA	NA	NA	NA	-0.532127582	unbias
TRINITY_DN123165_c5_g5_i2	NA	NA	NA	NA	-0.772632405	unbias
TRINITY_DN123166_c4_g2_i2	NA	NA	NA	NA	-0.272676632	unbias
TRINITY_DN123166_c4_g4_i2	NA	NA	NA	NA	-0.412785802	unbias
TRINITY_DN123166_c4_g6_i1	ankrd50	Chr01	55884569	55884569	0.226496431	unbias
TRINITY_DN123168_c0_g1_i1	NA	NA	NA	NA	-0.844146809	unbias
TRINITY_DN123172_c3_g2_i2	NA	NA	NA	NA	-0.332837464	unbias
TRINITY_DN123172_c4_g1_i2	NA	NA	NA	NA	-0.391525726	unbias
TRINITY_DN123177_c0_g1_i11	LOC101734526	Chr02	277107	277107	0.254049543	unbias
TRINITY_DN123178_c0_g1_i3	NA	NA	NA	NA	-0.292553667	unbias
TRINITY_DN123181_c0_g1_i1	NA	NA	NA	NA	-0.25058156	unbias
TRINITY_DN123184_c1_g1_i1	NA	NA	NA	NA	-0.241773536	unbias
TRINITY_DN123184_c1_g2_i1	NA	NA	NA	NA	-0.593429314	unbias
TRINITY_DN123187_c0_g1_i1	LOC100488382	Chr07	59717190	59717190	-1.773814705	unbias
TRINITY_DN123188_c6_g3_i2	LOC101734171	Chr07	67692509	67692509	0.495695019	unbias
TRINITY_DN123189_c1_g1_i1	tyms	Chr06	93060621	93060621	-1.376631479	unbias
TRINITY_DN123189_c2_g1_i2	fgf2	Chr01	56473227	56473227	0.146838396	unbias
TRINITY_DN123189_c2_g4_i1	NA	NA	NA	NA	-0.211037679	unbias
TRINITY_DN123189_c2_g7_i4	NA	NA	NA	NA	-0.132389304	unbias
TRINITY_DN123189_c3_g1_i1	NA	NA	NA	NA	-0.788988077	unbias
TRINITY_DN123192_c0_g2_i7	NA	NA	NA	NA	0.282687152	unbias
TRINITY_DN123193_c0_g2_i5	NA	NA	NA	NA	-0.800675522	unbias
TRINITY_DN123195_c0_g1_i1	NA	NA	NA	NA	0.178261408	unbias
TRINITY_DN123196_c0_g2_i1	NA	NA	NA	NA	0.138634162	unbias
TRINITY_DN123196_c2_g1_i5	LOC101730373-like	Chr07	96657638	96657638	0.526386897	unbias
TRINITY_DN123198_c0_g2_i4	NA	NA	NA	NA	0.163886715	unbias
TRINITY_DN123200_c1_g1_i1	purg	Chr01	78613871	78613871	-1.635747745	unbias
TRINITY_DN123201_c0_g1_i2	rhob	Chr05	139277672	139277672	-0.396801333	unbias
TRINITY_DN123202_c0_g1_i2	ash2l	Chr03	121811170	121811170	-0.1438762	unbias
TRINITY_DN123203_c0_g2_i2	NA	NA	NA	NA	0.044395448	unbias
TRINITY_DN123204_c4_g1_i3	NA	NA	NA	NA	-0.650433497	unbias
TRINITY_DN123204_c5_g4_i1	NA	NA	NA	NA	-0.615815348	unbias
TRINITY_DN123204_c6_g1_i3	NA	NA	NA	NA	-0.379062607	unbias
TRINITY_DN123204_c7_g1_i2	NA	NA	NA	NA	-0.433114466	unbias
TRINITY_DN123205_c1_g4_i1	NA	NA	NA	NA	-0.040476272	unbias
TRINITY_DN123206_c0_g1_i1	c17orf62	Chr10	37572544	37572544	-0.14283575	unbias
TRINITY_DN123210_c0_g1_i2	NA	NA	NA	NA	-1.299077854	unbias
TRINITY_DN123212_c2_g1_i1	NA	NA	NA	NA	1.2985229	unbias
TRINITY_DN123212_c3_g2_i1	NA	NA	NA	NA	-0.140849059	unbias
TRINITY_DN123212_c7_g1_i3	NA	NA	NA	NA	0.25990653	unbias
TRINITY_DN123212_c7_g2_i1	LOC100497239	scaffold_383	79504	79504	0.016279896	unbias
TRINITY_DN123213_c1_g3_i6	NA	NA	NA	NA	-0.176703403	unbias
TRINITY_DN123214_c0_g1_i1	NA	NA	NA	NA	-0.386829825	unbias
TRINITY_DN123217_c0_g2_i1	NA	NA	NA	NA	0.032930659	unbias
TRINITY_DN123217_c1_g1_i1	NA	NA	NA	NA	-1.045690086	unbias
TRINITY_DN123217_c1_g3_i1	kcnj16	Chr10	21363670	21363670	0.200306047	unbias
TRINITY_DN123217_c1_g4_i1	NA	NA	NA	NA	-0.085806722	unbias
TRINITY_DN123219_c2_g2_i1	NA	NA	NA	NA	0.757021249	unbias
TRINITY_DN123220_c1_g1_i2	NA	NA	NA	NA	-0.124311927	unbias
TRINITY_DN123221_c0_g3_i3	NA	NA	NA	NA	-0.192975467	unbias
TRINITY_DN123227_c2_g1_i1	NA	NA	NA	NA	0.271526657	unbias
TRINITY_DN123229_c0_g1_i4	NA	NA	NA	NA	0.008558765	unbias
TRINITY_DN123229_c0_g2_i1	tfap2c	scaffold_113	203060	203060	-0.85608492	unbias
TRINITY_DN123229_c1_g2_i1	rpa1	Chr02	28428042	28428042	-0.090847344	unbias
TRINITY_DN123232_c1_g1_i4	chmp2b	Chr02	18650651	18650651	0.391587034	unbias
TRINITY_DN123233_c2_g1_i1	NA	NA	NA	NA	-0.544434226	unbias
TRINITY_DN123233_c3_g1_i1	NA	NA	NA	NA	0.165113226	unbias
TRINITY_DN123233_c4_g1_i1	NA	NA	NA	NA	-0.106775732	unbias
TRINITY_DN123234_c0_g3_i1	NA	NA	NA	NA	-0.370074161	unbias
TRINITY_DN123235_c11_g1_i1	NA	NA	NA	NA	-0.541261408	unbias
TRINITY_DN123235_c11_g2_i1	NA	NA	NA	NA	-0.755502683	unbias
TRINITY_DN123235_c5_g1_i2	NA	NA	NA	NA	0.997236383	unbias
TRINITY_DN123236_c2_g6_i1	NA	NA	NA	NA	0.272436643	unbias
TRINITY_DN123237_c3_g1_i1	NA	NA	NA	NA	0.277816118	unbias
TRINITY_DN123239_c0_g1_i2	etv2	scaffold_278	305963	305963	0.122077955	unbias
TRINITY_DN123245_c0_g1_i2	NA	NA	NA	NA	0.259591338	unbias
TRINITY_DN123246_c3_g3_i1	wnt4	Chr07	68744600	68744600	-0.053510242	unbias
TRINITY_DN123249_c0_g1_i1	NA	NA	NA	NA	0.162008712	unbias
TRINITY_DN123250_c4_g2_i2	NA	NA	NA	NA	-0.011115278	unbias
TRINITY_DN123251_c6_g3_i2	NA	NA	NA	NA	0.227109847	unbias
TRINITY_DN123251_c6_g6_i1	fam49a	Chr05	137216553	137216553	-0.340904823	unbias
TRINITY_DN123252_c0_g1_i2	NA	NA	NA	NA	-1.185185108	unbias
TRINITY_DN123256_c1_g1_i2	NA	NA	NA	NA	-0.021666203	unbias
TRINITY_DN123260_c1_g3_i2	NA	NA	NA	NA	-0.511060512	unbias
TRINITY_DN123263_c0_g1_i4	NA	NA	NA	NA	-0.027725015	unbias
TRINITY_DN123266_c0_g1_i1	NA	NA	NA	NA	-0.938624025	unbias
TRINITY_DN123267_c1_g2_i1	NA	NA	NA	NA	0.698991777	unbias
TRINITY_DN123268_c0_g1_i2	ttc22	Chr04	87529624	87529624	0.291096917	unbias
TRINITY_DN123269_c0_g1_i1	nup50	scaffold_419	595	595	0.244555475	unbias
TRINITY_DN123270_c0_g3_i6	NA	NA	NA	NA	-0.030546519	unbias
TRINITY_DN123271_c8_g1_i1	NA	NA	NA	NA	-0.589062346	unbias
TRINITY_DN123272_c4_g4_i2	NA	NA	NA	NA	0.461598587	unbias
TRINITY_DN123273_c4_g1_i1	NA	NA	NA	NA	-0.509550505	unbias
TRINITY_DN123275_c2_g1_i2	NA	NA	NA	NA	-0.630970597	unbias
TRINITY_DN123276_c0_g1_i2	NA	NA	NA	NA	-0.745932094	unbias
TRINITY_DN123280_c0_g1_i1	Xetrov90007542m	Chr03	27463505	27463505	-1.12257046	unbias
TRINITY_DN123281_c2_g3_i1	slc25a20.2	Chr04	126048075	126048075	-1.080454377	unbias
TRINITY_DN123281_c5_g2_i1	chrnb2	scaffold_553	555	555	-0.115422778	unbias
TRINITY_DN123283_c0_g1_i2	NA	NA	NA	NA	0.471827974	unbias
TRINITY_DN123284_c0_g1_i2	NA	NA	NA	NA	-0.63510382	unbias
TRINITY_DN123285_c1_g3_i8	NA	NA	NA	NA	0.101406349	unbias
