gid	gname	chr	start	end	logFC.XY43.XX43
TRINITY_DN111853_c0_g1_i1	NA	NA	NA	NA	-0.324691722
TRINITY_DN111859_c0_g1_i1	NA	NA	NA	NA	-0.46095966
TRINITY_DN111860_c0_g1_i1	NA	NA	NA	NA	-0.304767337
TRINITY_DN111861_c0_g1_i1	cpeb2-like	Chr01	17123704	17123704	-0.24395746
TRINITY_DN111870_c0_g2_i1	NA	NA	NA	NA	-0.385995056
TRINITY_DN111882_c0_g2_i2	NA	NA	NA	NA	-0.126239969
TRINITY_DN111884_c1_g3_i1	setdb2	Chr02	146344296	146344296	-0.033413962
TRINITY_DN111891_c0_g1_i4	NA	NA	NA	NA	-0.72657426
TRINITY_DN111898_c0_g1_i2	NA	NA	NA	NA	0.138597347
TRINITY_DN111903_c0_g1_i1	NA	NA	NA	NA	-0.656820156
TRINITY_DN111910_c0_g1_i1	atxn2	Chr01	154471748	154471748	0.400385773
TRINITY_DN111933_c0_g1_i1	irx1	Chr06	37230616	37230616	0.198630837
TRINITY_DN111935_c0_g1_i1	NA	NA	NA	NA	0.002582698
TRINITY_DN111937_c0_g2_i1	NA	NA	NA	NA	0.407970957
TRINITY_DN111938_c0_g1_i1	krr1	Chr03	51659592	51659592	0.726854118
TRINITY_DN111942_c0_g2_i1	prdm8	Chr01	76503565	76503565	-0.613947956
TRINITY_DN111958_c0_g1_i1	NA	NA	NA	NA	1.275719466
TRINITY_DN111960_c0_g1_i1	NA	NA	NA	NA	0.242700706
TRINITY_DN111963_c1_g2_i1	NA	NA	NA	NA	0.044710498
TRINITY_DN111968_c1_g1_i1	c2cd4c	Chr01	86414425	86414425	0.679615864
TRINITY_DN111974_c0_g1_i2	NA	NA	NA	NA	-0.192496739
TRINITY_DN111980_c0_g1_i1	NA	NA	NA	NA	0.020746403
TRINITY_DN111983_c0_g2_i1	NA	NA	NA	NA	-0.059772877
TRINITY_DN111984_c0_g1_i1	NA	NA	NA	NA	-0.194269448
TRINITY_DN111985_c0_g1_i1	NA	NA	NA	NA	0.798241575
TRINITY_DN111985_c0_g2_i1	NA	NA	NA	NA	0.480826881
TRINITY_DN112005_c0_g1_i1	etnppl	Chr01	57862643	57862643	-0.077208744
TRINITY_DN112006_c0_g1_i1	NA	NA	NA	NA	0.016773657
TRINITY_DN112007_c0_g1_i2	NA	NA	NA	NA	-0.037052555
TRINITY_DN112009_c0_g1_i2	ctgfl	Chr08	52884217	52884217	0.241043451
TRINITY_DN112014_c0_g1_i1	NA	NA	NA	NA	0.074106482
TRINITY_DN112020_c0_g1_i2	Xetrov90027058m	scaffold_2042	4731	4731	-0.405600707
TRINITY_DN112021_c0_g1_i1	NA	NA	NA	NA	-1.142434135
TRINITY_DN112022_c0_g1_i1	NA	NA	NA	NA	-0.998495838
TRINITY_DN112022_c0_g2_i2	bcor	Chr02	70642485	70642485	-0.126486192
TRINITY_DN112023_c0_g1_i2	NA	NA	NA	NA	0.114359786
TRINITY_DN112025_c0_g1_i2	NA	NA	NA	NA	0.121491696
TRINITY_DN112037_c2_g3_i1	NA	NA	NA	NA	0.180645966
TRINITY_DN112043_c0_g1_i1	NA	NA	NA	NA	-0.14335164
TRINITY_DN112046_c0_g1_i2	NA	NA	NA	NA	-0.371593484
TRINITY_DN112048_c0_g1_i1	NA	NA	NA	NA	-0.176196967
TRINITY_DN112051_c0_g1_i2	NA	NA	NA	NA	-0.345295568
TRINITY_DN112056_c0_g3_i3	LOC100495084-like	Chr08	71593101	71593101	-0.165408595
TRINITY_DN112060_c0_g1_i2	NA	NA	NA	NA	-0.292244332
TRINITY_DN112061_c0_g1_i1	NA	NA	NA	NA	-0.103385204
TRINITY_DN112067_c0_g1_i2	NA	NA	NA	NA	0.726433706
TRINITY_DN112070_c0_g1_i2	NA	NA	NA	NA	-0.098945697
TRINITY_DN112072_c0_g1_i1	rpa2	Chr02	53686182	53686182	0.530838934
TRINITY_DN112075_c0_g1_i1	NA	NA	NA	NA	-0.191708458
TRINITY_DN112076_c0_g2_i1	NA	NA	NA	NA	0.989843312
TRINITY_DN112081_c0_g3_i7	NA	NA	NA	NA	0.296376843
TRINITY_DN112086_c0_g1_i1	NA	NA	NA	NA	-0.061794639
TRINITY_DN112088_c0_g1_i1	NA	NA	NA	NA	0.276731439
TRINITY_DN112089_c0_g1_i1	NA	NA	NA	NA	0.362014833
TRINITY_DN112092_c0_g1_i1	NA	NA	NA	NA	0.08999931
TRINITY_DN112095_c0_g2_i1	NA	NA	NA	NA	0.454366485
TRINITY_DN112096_c1_g1_i1	NA	NA	NA	NA	-0.567159429
TRINITY_DN112096_c1_g2_i2	NA	NA	NA	NA	0.118712109
TRINITY_DN112100_c0_g1_i1	NA	NA	NA	NA	-0.290754603
TRINITY_DN112101_c0_g1_i1	NA	NA	NA	NA	0.150604478
TRINITY_DN112103_c0_g1_i1	NA	NA	NA	NA	-0.277888724
TRINITY_DN112107_c0_g1_i1	NA	NA	NA	NA	0.15540376
TRINITY_DN112113_c0_g2_i1	NA	NA	NA	NA	0.633613094
TRINITY_DN112115_c0_g1_i1	NA	NA	NA	NA	0.449428753
TRINITY_DN112117_c1_g1_i4	nnt	Chr01	181902473	181902473	-0.134715195
TRINITY_DN112121_c0_g1_i1	NA	NA	NA	NA	-0.730086538
TRINITY_DN112123_c0_g3_i2	NA	NA	NA	NA	-0.128041846
TRINITY_DN112124_c0_g2_i1	arl2bp	Chr04	53778260	53778260	-6.880641607
TRINITY_DN112136_c0_g1_i1	NA	NA	NA	NA	0.794655327
TRINITY_DN112144_c0_g1_i4	NA	NA	NA	NA	0.273426574
TRINITY_DN112147_c0_g1_i2	txndc5	Chr06	83529560	83529560	0.364312941
TRINITY_DN112152_c0_g2_i1	NA	NA	NA	NA	-0.136111093
TRINITY_DN112158_c0_g1_i1	NA	NA	NA	NA	-1.325495806
TRINITY_DN112160_c0_g1_i1	LOC100497991-like	Chr06	52244459	52244459	-0.182086897
TRINITY_DN112161_c0_g1_i1	NA	NA	NA	NA	-0.074665314
TRINITY_DN112164_c0_g1_i1	NA	NA	NA	NA	-0.042386457
TRINITY_DN112165_c1_g1_i2	NA	NA	NA	NA	-0.289703741
TRINITY_DN112166_c0_g2_i1	NA	NA	NA	NA	-0.251502088
TRINITY_DN112168_c0_g1_i1	NA	NA	NA	NA	0.067186466
TRINITY_DN112170_c0_g1_i1	NA	NA	NA	NA	-0.714554318
TRINITY_DN112175_c1_g1_i1	NA	NA	NA	NA	-0.407509739
TRINITY_DN112180_c0_g1_i1	NA	NA	NA	NA	0.653125689
TRINITY_DN112181_c1_g1_i7	flrt3	Chr05	32933285	32933285	0.002948325
TRINITY_DN112193_c0_g1_i1	NA	NA	NA	NA	0.257841023
TRINITY_DN112196_c0_g2_i1	NA	NA	NA	NA	0.555967808
TRINITY_DN112199_c0_g1_i2	NA	NA	NA	NA	-0.036532257
TRINITY_DN112201_c0_g1_i1	Xetrov90028133m	scaffold_331	101028	101028	0.064652967
TRINITY_DN112212_c0_g3_i1	NA	NA	NA	NA	-0.126640715
TRINITY_DN112219_c0_g1_i1	NA	NA	NA	NA	-0.253754306
TRINITY_DN112226_c0_g2_i2	NA	NA	NA	NA	-0.070758517
TRINITY_DN112227_c0_g1_i2	tulp3	Chr03	1815971	1815971	-0.386940531
TRINITY_DN112232_c0_g1_i1	LOC100495088-like	Chr02	34325227	34325227	-0.031451608
TRINITY_DN112232_c0_g2_i1	NA	NA	NA	NA	-0.43653763
TRINITY_DN112235_c0_g1_i1	NA	NA	NA	NA	-0.115848698
TRINITY_DN112236_c0_g1_i1	NA	NA	NA	NA	-0.442612575
TRINITY_DN112238_c0_g6_i1	NA	NA	NA	NA	0.626840343
TRINITY_DN112238_c0_g7_i3	NA	NA	NA	NA	0.348639927
TRINITY_DN112243_c0_g3_i1	cbx5-like	Chr02	142436217	142436217	0.103774556
TRINITY_DN112246_c1_g5_i1	NA	NA	NA	NA	-0.392083986
TRINITY_DN112266_c0_g1_i1	NA	NA	NA	NA	-0.275643243
TRINITY_DN112269_c0_g1_i1	NA	NA	NA	NA	-0.244634225
TRINITY_DN112271_c0_g1_i2	LOC101734821	scaffold_135	395031	395031	0.52476236
TRINITY_DN112272_c0_g1_i1	NA	NA	NA	NA	-5.163111735
TRINITY_DN112278_c0_g1_i1	NA	NA	NA	NA	0.079489734
TRINITY_DN112279_c0_g1_i1	NA	NA	NA	NA	-0.06710009
TRINITY_DN112280_c0_g1_i1	NA	NA	NA	NA	-0.032134057
TRINITY_DN112282_c1_g3_i1	NA	NA	NA	NA	-0.272214598
TRINITY_DN112282_c1_g4_i1	NA	NA	NA	NA	-0.306945722
TRINITY_DN112287_c0_g1_i1	NA	NA	NA	NA	-0.799893843
TRINITY_DN112291_c0_g1_i1	NA	NA	NA	NA	0.033084547
TRINITY_DN112291_c0_g2_i1	NA	NA	NA	NA	-0.335351159
TRINITY_DN112298_c0_g1_i1	NA	NA	NA	NA	-0.212216183
TRINITY_DN112301_c0_g2_i1	NA	NA	NA	NA	-0.053613951
TRINITY_DN112303_c0_g2_i1	mcf2	Chr08	48850181	48850181	-0.132640351
TRINITY_DN112304_c0_g1_i1	NA	NA	NA	NA	-0.103228644
TRINITY_DN112306_c0_g1_i1	NA	NA	NA	NA	-0.354390528
TRINITY_DN112315_c0_g1_i1	lrrc31	Chr05	107900065	107900065	-0.327715278
TRINITY_DN112321_c0_g1_i1	NA	NA	NA	NA	-0.172384678
TRINITY_DN112325_c0_g1_i1	NA	NA	NA	NA	0.106575318
TRINITY_DN112327_c0_g1_i1	NA	NA	NA	NA	-0.167398939
TRINITY_DN112333_c0_g1_i1	LOC100498557	scaffold_2562	2638	2638	-0.229624069
TRINITY_DN112337_c1_g3_i1	pus1	Chr01	148124216	148124216	0.253665465
TRINITY_DN112341_c0_g1_i1	NA	NA	NA	NA	-0.189148566
TRINITY_DN112350_c0_g1_i1	NA	NA	NA	NA	0.837705422
TRINITY_DN112351_c0_g1_i2	allc	Chr05	131431919	131431919	-0.2452876
TRINITY_DN112353_c0_g1_i1	ugt8	Chr01	60230590	60230590	0.749764546
TRINITY_DN112362_c1_g2_i1	NA	NA	NA	NA	0.538155724
TRINITY_DN112377_c0_g1_i1	scara3-like	scaffold_786	771	771	-0.003623063
TRINITY_DN112380_c0_g2_i1	NA	NA	NA	NA	-0.16561985
TRINITY_DN112380_c0_g3_i2	gramd4	Chr03	64876625	64876625	-0.058479745
TRINITY_DN112392_c0_g2_i1	NA	NA	NA	NA	0.18877794
TRINITY_DN112396_c1_g1_i1	NA	NA	NA	NA	-0.126039941
TRINITY_DN112399_c0_g1_i1	NA	NA	NA	NA	-0.409558612
TRINITY_DN112409_c0_g1_i1	NA	NA	NA	NA	-0.048885782
TRINITY_DN112417_c1_g1_i1	wdr81	Chr02	28579429	28579429	0.391265035
TRINITY_DN112419_c0_g2_i1	NA	NA	NA	NA	0.161647708
TRINITY_DN112429_c0_g1_i1	NA	NA	NA	NA	-1.117550069
TRINITY_DN112429_c0_g2_i1	NA	NA	NA	NA	0.073009284
TRINITY_DN112430_c0_g1_i1	NA	NA	NA	NA	-0.462828387
TRINITY_DN112430_c0_g2_i1	NA	NA	NA	NA	-0.299541219
TRINITY_DN112434_c0_g1_i1	LOC101731408	Chr08	55043	55043	0.362745576
TRINITY_DN112438_c0_g1_i1	NA	NA	NA	NA	-0.452385891
TRINITY_DN112444_c0_g1_i3	NA	NA	NA	NA	0.280053841
TRINITY_DN112450_c1_g1_i1	NA	NA	NA	NA	-0.113446114
TRINITY_DN112453_c0_g1_i2	NA	NA	NA	NA	0.371766383
TRINITY_DN112453_c0_g3_i1	NA	NA	NA	NA	-0.269170241
TRINITY_DN112460_c0_g2_i1	NA	NA	NA	NA	0.11869209
TRINITY_DN112465_c0_g1_i1	NA	NA	NA	NA	0.021091216
TRINITY_DN112467_c0_g1_i1	NA	NA	NA	NA	0.087641056
TRINITY_DN112471_c0_g1_i1	NA	NA	NA	NA	0.191143688
TRINITY_DN112473_c1_g1_i1	NA	NA	NA	NA	0.293057991
TRINITY_DN112473_c1_g2_i2	NA	NA	NA	NA	0.470974228
TRINITY_DN112477_c0_g2_i1	NA	NA	NA	NA	0.362431852
TRINITY_DN112481_c0_g1_i5	NA	NA	NA	NA	-0.230743683
TRINITY_DN112489_c0_g2_i2	NA	NA	NA	NA	-0.01078526
TRINITY_DN112492_c0_g1_i2	NA	NA	NA	NA	0.496511495
TRINITY_DN112494_c0_g1_i1	NA	NA	NA	NA	-0.690724847
TRINITY_DN112494_c0_g2_i2	NA	NA	NA	NA	-0.191743634
TRINITY_DN112499_c0_g1_i1	NA	NA	NA	NA	0.188381284
TRINITY_DN112500_c0_g1_i1	NA	NA	NA	NA	0.421289282
TRINITY_DN112501_c0_g1_i7	NA	NA	NA	NA	-0.559429782
TRINITY_DN112517_c0_g1_i1	NA	NA	NA	NA	-0.419473643
TRINITY_DN112522_c0_g1_i1	klhl40	Chr06	2588402	2588402	-0.600285848
TRINITY_DN112522_c0_g2_i1	NA	NA	NA	NA	-0.147959659
TRINITY_DN112525_c0_g1_i1	NA	NA	NA	NA	-0.341250966
TRINITY_DN112529_c0_g1_i1	NA	NA	NA	NA	-0.092201918
TRINITY_DN112530_c0_g1_i2	NA	NA	NA	NA	-0.320562683
TRINITY_DN112533_c0_g1_i1	NA	NA	NA	NA	0.25306533
TRINITY_DN112546_c0_g1_i2	NA	NA	NA	NA	0.685812844
TRINITY_DN112551_c0_g1_i2	NA	NA	NA	NA	-0.199773314
TRINITY_DN112556_c0_g1_i1	NA	NA	NA	NA	-0.298857134
TRINITY_DN112557_c0_g2_i1	NA	NA	NA	NA	-0.150017144
TRINITY_DN112559_c0_g1_i1	NA	NA	NA	NA	-0.097833197
TRINITY_DN112566_c0_g1_i1	fam132a	Chr07	69547299	69547299	-0.634864933
TRINITY_DN112574_c0_g1_i2	NA	NA	NA	NA	0.281385603
TRINITY_DN112578_c0_g1_i1	NA	NA	NA	NA	0.393083776
TRINITY_DN112582_c0_g2_i1	Xetrov90027433m	scaffold_24	350840	350840	0.497599113
TRINITY_DN112586_c1_g1_i2	NA	NA	NA	NA	0.770318425
TRINITY_DN112586_c1_g2_i1	NA	NA	NA	NA	-0.250308994
TRINITY_DN112588_c0_g1_i2	NA	NA	NA	NA	-0.667840744
TRINITY_DN112592_c0_g1_i1	NA	NA	NA	NA	0.356355888
TRINITY_DN112593_c0_g1_i1	prmt8	Chr03	13801562	13801562	1.733532546
TRINITY_DN112598_c0_g2_i1	NA	NA	NA	NA	-1.27468563
TRINITY_DN112601_c0_g1_i1	NA	NA	NA	NA	-0.188489322
TRINITY_DN112602_c0_g1_i1	NA	NA	NA	NA	-0.062212996
TRINITY_DN112603_c0_g1_i1	sigirr	Chr04	13992438	13992438	-0.496140424
TRINITY_DN112607_c0_g1_i1	NA	NA	NA	NA	-0.075310438
TRINITY_DN112610_c0_g1_i2	NA	NA	NA	NA	0.215126028
TRINITY_DN112613_c0_g1_i1	NA	NA	NA	NA	-0.151470689
TRINITY_DN112614_c0_g1_i1	NA	NA	NA	NA	0.891188847
TRINITY_DN112632_c0_g2_i1	NA	NA	NA	NA	-0.366947488
TRINITY_DN112641_c0_g1_i2	NA	NA	NA	NA	0.77449998
TRINITY_DN112652_c0_g1_i1	NA	NA	NA	NA	0.062077197
TRINITY_DN112655_c0_g1_i3	NA	NA	NA	NA	-0.400278407
TRINITY_DN112665_c0_g1_i1	NA	NA	NA	NA	-0.0767638
TRINITY_DN112672_c0_g3_i1	NA	NA	NA	NA	0.377909168
TRINITY_DN112675_c0_g1_i2	NA	NA	NA	NA	-0.254921279
TRINITY_DN112678_c0_g1_i2	NA	NA	NA	NA	-0.494782365
TRINITY_DN112693_c0_g1_i1	NA	NA	NA	NA	0.355612561
TRINITY_DN112693_c0_g2_i1	NA	NA	NA	NA	-0.975994523
TRINITY_DN112698_c1_g2_i1	NA	NA	NA	NA	0.9643526
TRINITY_DN112698_c1_g3_i1	NA	NA	NA	NA	-0.381025353
TRINITY_DN112699_c0_g1_i1	NA	NA	NA	NA	-2.246650439
TRINITY_DN112699_c0_g2_i1	NA	NA	NA	NA	-1.119140701
TRINITY_DN112699_c0_g3_i1	NA	NA	NA	NA	-2.645837599
TRINITY_DN112700_c1_g2_i2	NA	NA	NA	NA	0.341888618
TRINITY_DN112704_c0_g1_i1	NA	NA	NA	NA	-0.700368428
TRINITY_DN112707_c0_g3_i1	NA	NA	NA	NA	-0.051685401
TRINITY_DN112708_c0_g1_i1	NA	NA	NA	NA	0.514375272
TRINITY_DN112709_c1_g3_i1	NA	NA	NA	NA	0.40247117
TRINITY_DN112713_c0_g1_i3	NA	NA	NA	NA	0.208051755
TRINITY_DN112714_c0_g1_i1	NA	NA	NA	NA	-0.180883644
TRINITY_DN112721_c0_g1_i1	NA	NA	NA	NA	0.781987261
TRINITY_DN112732_c0_g1_i5	cpped1	Chr09	28992863	28992863	-0.152959055
TRINITY_DN112734_c0_g2_i8	NA	NA	NA	NA	1.099461056
TRINITY_DN112737_c0_g1_i1	NA	NA	NA	NA	-0.689097735
TRINITY_DN112737_c0_g2_i3	NA	NA	NA	NA	-0.396320916
TRINITY_DN112749_c0_g3_i7	NA	NA	NA	NA	-0.540752175
TRINITY_DN112751_c0_g1_i1	NA	NA	NA	NA	-0.266625544
TRINITY_DN112753_c0_g1_i1	NA	NA	NA	NA	-0.213786199
TRINITY_DN112756_c0_g1_i1	NA	NA	NA	NA	-0.30424341
TRINITY_DN112759_c0_g4_i2	NA	NA	NA	NA	-0.22306952
TRINITY_DN112760_c0_g1_i2	arpc4	Chr04	128058767	128058767	1.071364629
TRINITY_DN112760_c0_g3_i1	NA	NA	NA	NA	0.657258662
TRINITY_DN112763_c0_g2_i1	dcakd	Chr10	6650376	6650376	-0.216153755
TRINITY_DN112766_c1_g1_i1	NA	NA	NA	NA	-0.16272326
TRINITY_DN112768_c1_g1_i2	NA	NA	NA	NA	0.849379611
TRINITY_DN112773_c0_g1_i1	Xetrov90002881m	Chr01	143481864	143481864	-0.472787119
TRINITY_DN112790_c0_g1_i1	NA	NA	NA	NA	-0.218499331
TRINITY_DN112791_c0_g1_i1	NA	NA	NA	NA	0.367044985
TRINITY_DN112796_c0_g1_i1	nedd9	Chr06	84814727	84814727	0.116743912
TRINITY_DN112797_c0_g1_i1	pax8	Chr03	108467162	108467162	-0.414923708
TRINITY_DN112798_c0_g1_i1	NA	NA	NA	NA	-1.202642631
TRINITY_DN112799_c0_g1_i1	ppp1r9a	scaffold_73	192812	192812	0.346927259
TRINITY_DN112800_c0_g1_i2	NA	NA	NA	NA	0.190806774
TRINITY_DN112803_c0_g1_i1	NA	NA	NA	NA	0.97192263
TRINITY_DN112806_c0_g1_i1	NA	NA	NA	NA	-0.33574822
TRINITY_DN112809_c1_g1_i1	NA	NA	NA	NA	0.363577156
TRINITY_DN112810_c0_g1_i1	NA	NA	NA	NA	-0.289107428
TRINITY_DN112813_c0_g1_i1	NA	NA	NA	NA	-0.01384539
TRINITY_DN112819_c0_g1_i1	NA	NA	NA	NA	-0.37437896
TRINITY_DN112822_c0_g1_i1	NA	NA	NA	NA	0.058182348
TRINITY_DN112823_c0_g1_i1	lyrm1	Chr09	18538524	18538524	0.153655421
TRINITY_DN112827_c0_g1_i2	NA	NA	NA	NA	0.16098181
TRINITY_DN112841_c0_g1_i1	NA	NA	NA	NA	-0.479438532
TRINITY_DN112843_c0_g1_i1	NA	NA	NA	NA	0.48314912
TRINITY_DN112845_c0_g1_i1	NA	NA	NA	NA	-0.710352796
TRINITY_DN112847_c0_g1_i1	NA	NA	NA	NA	-0.28019225
TRINITY_DN112849_c0_g1_i1	NA	NA	NA	NA	-0.388361316
TRINITY_DN112851_c0_g1_i1	NA	NA	NA	NA	-0.303989
TRINITY_DN112859_c0_g2_i1	tmc8	Chr10	15221476	15221476	0.911355056
TRINITY_DN112875_c0_g1_i1	NA	NA	NA	NA	-0.437869007
TRINITY_DN112876_c0_g1_i1	NA	NA	NA	NA	1.249001514
TRINITY_DN112881_c0_g1_i2	NA	NA	NA	NA	0.328486128
TRINITY_DN112883_c0_g1_i1	NA	NA	NA	NA	-0.233231254
TRINITY_DN112885_c0_g1_i1	cyld	Chr04	53729930	53729930	-0.423494536
TRINITY_DN112889_c0_g1_i1	kti12	Chr03	81085984	81085984	0.386131506
TRINITY_DN112892_c0_g2_i2	NA	NA	NA	NA	0.165875091
TRINITY_DN112907_c0_g2_i1	NA	NA	NA	NA	-0.622395089
TRINITY_DN112909_c0_g1_i1	NA	NA	NA	NA	-0.279594375
TRINITY_DN112910_c0_g1_i2	NA	NA	NA	NA	0.210345354
TRINITY_DN112911_c0_g1_i2	NA	NA	NA	NA	-0.320656451
TRINITY_DN112914_c0_g3_i1	NA	NA	NA	NA	0.450278228
TRINITY_DN112928_c0_g1_i2	etfdh	Chr01	43724131	43724131	0.156021998
TRINITY_DN112933_c0_g1_i1	NA	NA	NA	NA	-0.13120269
TRINITY_DN112933_c0_g2_i1	loh12cr1	scaffold_41	66521	66521	-0.35710529
TRINITY_DN112935_c0_g1_i1	LOC100493471	Chr04	45705683	45705683	-0.228981243
TRINITY_DN112943_c0_g1_i2	NA	NA	NA	NA	-0.000842054
TRINITY_DN112947_c0_g1_i2	NA	NA	NA	NA	-0.215005081
TRINITY_DN112953_c0_g1_i2	apc2	Chr01	80479519	80479519	-0.308453538
TRINITY_DN112971_c0_g1_i3	NA	NA	NA	NA	0.953720019
TRINITY_DN112975_c0_g1_i1	NA	NA	NA	NA	0.095479023
TRINITY_DN112976_c0_g1_i1	dpp3	Chr04	37618002	37618002	-0.453856141
TRINITY_DN112978_c0_g2_i3	NA	NA	NA	NA	0.414616095
TRINITY_DN112979_c0_g1_i1	NA	NA	NA	NA	-0.033427511
TRINITY_DN112986_c0_g1_i1	NA	NA	NA	NA	-0.556896747
TRINITY_DN112994_c1_g1_i1	NA	NA	NA	NA	-1.058481071
TRINITY_DN112997_c0_g1_i3	NA	NA	NA	NA	0.987039771
TRINITY_DN113000_c0_g1_i1	NA	NA	NA	NA	-0.985213936
TRINITY_DN113003_c0_g1_i1	cmtm7	Chr06	74063815	74063815	-0.329339459
TRINITY_DN113011_c0_g1_i1	NA	NA	NA	NA	-0.431502895
TRINITY_DN113011_c0_g5_i1	gtf3c1	Chr09	36866880	36866880	0.363611181
TRINITY_DN113014_c0_g1_i1	NA	NA	NA	NA	0.118304943
TRINITY_DN113022_c0_g1_i1	NA	NA	NA	NA	-1.115535994
TRINITY_DN113022_c0_g5_i1	NA	NA	NA	NA	-0.019906569
TRINITY_DN113038_c0_g2_i1	NA	NA	NA	NA	0.808858042
TRINITY_DN113040_c0_g2_i2	NA	NA	NA	NA	-0.406045329
TRINITY_DN113045_c0_g1_i2	NA	NA	NA	NA	0.013989543
TRINITY_DN113047_c0_g1_i1	NA	NA	NA	NA	-0.427963737
TRINITY_DN113062_c0_g1_i2	ccdc22	Chr08	7716533	7716533	-0.448475218
TRINITY_DN113064_c0_g1_i1	siah3	Chr02	130899696	130899696	-0.194616626
TRINITY_DN113065_c0_g1_i1	NA	NA	NA	NA	0.254692559
TRINITY_DN113066_c0_g1_i2	NA	NA	NA	NA	0.080719419
TRINITY_DN113079_c0_g1_i1	NA	NA	NA	NA	-0.13681011
TRINITY_DN113081_c0_g1_i1	NA	NA	NA	NA	-0.331922041
TRINITY_DN113088_c0_g1_i3	NA	NA	NA	NA	-0.238965709
TRINITY_DN113089_c0_g1_i1	NA	NA	NA	NA	-0.191822649
TRINITY_DN113100_c0_g1_i2	NA	NA	NA	NA	-0.025507406
TRINITY_DN113102_c0_g1_i3	NA	NA	NA	NA	-0.070358584
TRINITY_DN113114_c0_g2_i1	NA	NA	NA	NA	-0.331371374
TRINITY_DN113115_c0_g1_i3	LOC100486092	Chr04	9434685	9434685	-0.124901132
TRINITY_DN113123_c0_g3_i2	NA	NA	NA	NA	0.54787027
TRINITY_DN113124_c0_g1_i3	parvg	scaffold_220	208402	208402	-0.375525938
TRINITY_DN113129_c0_g2_i2	grik1-like	Chr02	12204231	12204231	-0.342005283
TRINITY_DN113131_c0_g1_i5	NA	NA	NA	NA	0.103467542
TRINITY_DN113141_c0_g2_i1	NA	NA	NA	NA	-1.037017666
TRINITY_DN113143_c0_g1_i2	NA	NA	NA	NA	0.07531462
TRINITY_DN113145_c0_g1_i1	NA	NA	NA	NA	-1.277221363
TRINITY_DN113152_c0_g1_i1	NA	NA	NA	NA	-0.198549626
TRINITY_DN113153_c0_g1_i2	NA	NA	NA	NA	0.029647825
TRINITY_DN113156_c0_g1_i1	timp3	Chr03	1585183	1585183	-0.177557554
TRINITY_DN113171_c0_g1_i1	NA	NA	NA	NA	2.042432655
TRINITY_DN113174_c0_g1_i1	morf4l1	Chr03	116099861	116099861	0.521325094
TRINITY_DN113177_c0_g1_i2	NA	NA	NA	NA	0.265232665
TRINITY_DN113178_c0_g1_i2	NA	NA	NA	NA	-0.352766169
TRINITY_DN113179_c0_g1_i1	NA	NA	NA	NA	0.617682229
TRINITY_DN113182_c0_g1_i2	NA	NA	NA	NA	-0.406206299
TRINITY_DN113183_c0_g1_i2	NA	NA	NA	NA	-0.524396733
TRINITY_DN113194_c0_g1_i2	NA	NA	NA	NA	-0.575493191
TRINITY_DN113197_c0_g2_i1	NA	NA	NA	NA	0.152816978
TRINITY_DN113202_c0_g1_i1	NA	NA	NA	NA	0.49010271
TRINITY_DN113204_c0_g2_i1	NA	NA	NA	NA	-0.403423892
TRINITY_DN113212_c0_g2_i2	NA	NA	NA	NA	-0.211307915
TRINITY_DN113215_c0_g1_i1	NA	NA	NA	NA	0.69445352
TRINITY_DN113217_c0_g1_i1	NA	NA	NA	NA	0.119434402
TRINITY_DN113218_c0_g1_i1	NA	NA	NA	NA	-0.013687728
TRINITY_DN113222_c0_g1_i1	NA	NA	NA	NA	0.39916505
TRINITY_DN113230_c0_g1_i1	NA	NA	NA	NA	0.490516755
TRINITY_DN113233_c0_g2_i1	smtn	Chr01	131544498	131544498	-0.439933268
TRINITY_DN113238_c0_g1_i1	NA	NA	NA	NA	-0.372029022
TRINITY_DN113238_c0_g2_i1	surf4.2	scaffold_2303	1626	1626	0.108713232
TRINITY_DN113238_c0_g3_i1	npc1-like	Chr06	94029643	94029643	-0.740809709
TRINITY_DN113247_c0_g1_i1	NA	NA	NA	NA	-0.697706741
TRINITY_DN113248_c0_g1_i1	NA	NA	NA	NA	0.259522274
TRINITY_DN113250_c1_g3_i2	NA	NA	NA	NA	0.594085212
TRINITY_DN113251_c0_g1_i2	NA	NA	NA	NA	0.169393196
TRINITY_DN113259_c0_g1_i1	NA	NA	NA	NA	-0.576214355
TRINITY_DN113262_c0_g5_i1	tspan31	Chr02	138418876	138418876	-0.217771132
TRINITY_DN113267_c0_g1_i2	NA	NA	NA	NA	0.185312625
TRINITY_DN113268_c0_g1_i1	NA	NA	NA	NA	-0.776361388
TRINITY_DN113271_c0_g1_i2	thap7	Chr07	94861977	94861977	0.640838242
TRINITY_DN113273_c0_g1_i1	NA	NA	NA	NA	-0.153594859
TRINITY_DN113277_c0_g1_i2	NA	NA	NA	NA	0.333151839
TRINITY_DN113283_c0_g1_i1	NA	NA	NA	NA	-0.241523795
TRINITY_DN113286_c0_g1_i2	hey2	Chr05	48710732	48710732	0.088694814
TRINITY_DN113292_c0_g1_i3	NA	NA	NA	NA	0.324119538
TRINITY_DN113301_c1_g1_i1	ramp2	Chr10	11565045	11565045	0.303550925
TRINITY_DN113304_c0_g1_i2	LOC100485552-like	Chr02	39531157	39531157	-0.40043083
TRINITY_DN113314_c0_g3_i1	NA	NA	NA	NA	0.261078774
