gid	gname	chr	start	end	logFC.XY43.XX43	
TRINITY_DN118994_c0_g1_i1	NA	NA	NA	NA	-0.422806692	unbias
TRINITY_DN118995_c0_g1_i2	dbt	Chr04	98799493	98799493	0.14513106	unbias
TRINITY_DN118997_c0_g1_i2	NA	NA	NA	NA	-0.094865312	unbias
TRINITY_DN118998_c1_g1_i2	NA	NA	NA	NA	0.192408817	unbias
TRINITY_DN119003_c0_g1_i1	NA	NA	NA	NA	-0.393830185	unbias
TRINITY_DN119004_c0_g1_i1	samd13	Chr04	29765143	29765143	0.080305689	unbias
TRINITY_DN119005_c4_g1_i1	Xetrov90007531m	Chr03	26718674	26718674	-0.054592822	unbias
TRINITY_DN119006_c0_g1_i2	NA	NA	NA	NA	0.319710451	unbias
TRINITY_DN119008_c0_g1_i1	NA	NA	NA	NA	-0.254899343	unbias
TRINITY_DN119009_c0_g2_i2	NA	NA	NA	NA	-0.151985107	unbias
TRINITY_DN119012_c0_g1_i4	NA	NA	NA	NA	0.01351566	unbias
TRINITY_DN119019_c0_g1_i2	NA	NA	NA	NA	-0.085763399	unbias
TRINITY_DN119020_c0_g1_i2	NA	NA	NA	NA	0.127986672	unbias
TRINITY_DN119021_c0_g1_i3	NA	NA	NA	NA	-0.668445645	unbias
TRINITY_DN119023_c10_g1_i3	NA	NA	NA	NA	0.19934114	unbias
TRINITY_DN119023_c7_g1_i1	NA	NA	NA	NA	0.021792737	unbias
TRINITY_DN119023_c8_g1_i2	NA	NA	NA	NA	-0.454681759	unbias
TRINITY_DN119023_c9_g1_i1	NA	NA	NA	NA	0.064815108	unbias
TRINITY_DN119027_c0_g1_i5	NA	NA	NA	NA	-1.446101011	unbias
TRINITY_DN119032_c0_g1_i2	NA	NA	NA	NA	-0.647074062	unbias
TRINITY_DN119033_c0_g1_i2	NA	NA	NA	NA	-0.564524494	unbias
TRINITY_DN119034_c0_g1_i1	NA	NA	NA	NA	0.217044969	unbias
TRINITY_DN119035_c0_g1_i2	NA	NA	NA	NA	-0.368696259	unbias
TRINITY_DN119038_c0_g1_i1	NA	NA	NA	NA	0.836922244	unbias
TRINITY_DN119040_c0_g1_i1	NA	NA	NA	NA	0.014694521	unbias
TRINITY_DN119041_c0_g1_i1	NA	NA	NA	NA	0.012124281	unbias
TRINITY_DN119042_c2_g1_i1	NA	NA	NA	NA	-0.265666356	unbias
TRINITY_DN119044_c0_g1_i2	NA	NA	NA	NA	0.154566556	unbias
TRINITY_DN119046_c0_g1_i1	LOC101733741	Chr02	140228574	140228574	-0.542159292	unbias
TRINITY_DN119047_c0_g1_i1	NA	NA	NA	NA	-0.004499653	unbias
TRINITY_DN119048_c1_g1_i1	NA	NA	NA	NA	0.289647877	unbias
TRINITY_DN119048_c1_g2_i1	NA	NA	NA	NA	-0.122870578	unbias
TRINITY_DN119049_c0_g1_i1	NA	NA	NA	NA	0.06892329	unbias
TRINITY_DN119050_c1_g1_i1	ddx60	Chr01	41320214	41320214	-0.22462103	unbias
TRINITY_DN119052_c0_g1_i1	NA	NA	NA	NA	-1.174005278	unbias
TRINITY_DN119053_c0_g1_i1	NA	NA	NA	NA	-0.213811417	unbias
TRINITY_DN119054_c1_g1_i1	NA	NA	NA	NA	0.348581784	unbias
TRINITY_DN119054_c1_g2_i1	dlx4	Chr10	9695052	9695052	0.16040119	unbias
TRINITY_DN119055_c0_g2_i1	NA	NA	NA	NA	-0.431442327	unbias
TRINITY_DN119056_c0_g1_i5	NA	NA	NA	NA	0.412582067	unbias
TRINITY_DN119059_c0_g1_i2	ank1	Chr03	120028510	120028510	-0.428115127	unbias
TRINITY_DN119060_c0_g1_i4	NA	NA	NA	NA	-0.113341869	unbias
TRINITY_DN119062_c0_g1_i1	NA	NA	NA	NA	-0.37924327	unbias
TRINITY_DN119065_c0_g1_i2	NA	NA	NA	NA	-0.024825543	unbias
TRINITY_DN119066_c0_g1_i1	NA	NA	NA	NA	0.088392112	unbias
TRINITY_DN119069_c0_g1_i2	cygb	Chr10	36782332	36782332	-0.39448992	unbias
TRINITY_DN119070_c0_g1_i1	mrpl28	Chr09	33362691	33362691	-0.957907369	unbias
TRINITY_DN119072_c0_g2_i2	lrp2	Chr09	63677200	63677200	0.175055778	unbias
TRINITY_DN119076_c0_g1_i1	glrx3	Chr07	13876176	13876176	-0.278978914	unbias
TRINITY_DN119079_c0_g1_i1	gtf2f1	Chr03	129733271	129733271	0.133965436	unbias
TRINITY_DN119080_c0_g1_i1	NA	NA	NA	NA	0.496776189	unbias
TRINITY_DN119082_c0_g1_i2	NA	NA	NA	NA	-0.357139828	unbias
TRINITY_DN119083_c0_g1_i2	NA	NA	NA	NA	-0.351874852	unbias
TRINITY_DN119088_c0_g4_i2	NA	NA	NA	NA	-0.13180046	unbias
TRINITY_DN119089_c4_g1_i1	NA	NA	NA	NA	0.367985785	unbias
TRINITY_DN119090_c0_g3_i1	LOC100497154	Chr02	138395702	138395702	0.090647818	unbias
TRINITY_DN119091_c0_g1_i1	NA	NA	NA	NA	0.124715281	unbias
TRINITY_DN119092_c1_g2_i3	NA	NA	NA	NA	-0.543381485	unbias
TRINITY_DN119093_c1_g1_i3	NA	NA	NA	NA	-0.005116289	unbias
TRINITY_DN119095_c0_g2_i1	NA	NA	NA	NA	0.211625601	unbias
TRINITY_DN119097_c0_g1_i1	NA	NA	NA	NA	0.171948654	unbias
TRINITY_DN119100_c0_g1_i2	topbp1-like	Chr06	71585794	71585794	-0.001821549	unbias
TRINITY_DN119101_c0_g1_i1	NA	NA	NA	NA	-0.573869	unbias
TRINITY_DN119102_c2_g1_i1	NA	NA	NA	NA	0.012552781	unbias
TRINITY_DN119102_c3_g7_i5	NA	NA	NA	NA	-0.084673213	unbias
TRINITY_DN119103_c0_g1_i2	b4galnt1	Chr02	137910815	137910815	-0.090265169	unbias
TRINITY_DN119104_c0_g1_i1	arhgap17-like	Chr09	14157183	14157183	-0.231036636	unbias
TRINITY_DN119105_c0_g2_i1	gpm6b-like	Chr02	102224504	102224504	-0.085156505	unbias
TRINITY_DN119106_c0_g2_i2	stradb	Chr09	49103370	49103370	0.392959391	unbias
TRINITY_DN119107_c1_g1_i4	NA	NA	NA	NA	-0.151911289	unbias
TRINITY_DN119110_c0_g1_i1	slc39a7	Chr08	50935122	50935122	-2.307959395	unbias
TRINITY_DN119113_c0_g1_i1	ttc29-like	Chr01	48527193	48527193	0.199131763	unbias
TRINITY_DN119113_c0_g2_i1	NA	NA	NA	NA	-0.20529734	unbias
TRINITY_DN119114_c0_g1_i1	NA	NA	NA	NA	0.480727129	unbias
TRINITY_DN119114_c0_g2_i2	NA	NA	NA	NA	-0.34486493	unbias
TRINITY_DN119115_c0_g2_i1	NA	NA	NA	NA	-0.380616618	unbias
TRINITY_DN119117_c1_g1_i1	NA	NA	NA	NA	0.290539187	unbias
TRINITY_DN119118_c0_g1_i13	NA	NA	NA	NA	0.027275072	unbias
TRINITY_DN119120_c0_g1_i1	NA	NA	NA	NA	-0.599154471	unbias
TRINITY_DN119122_c0_g1_i3	polr3b	Chr03	12206598	12206598	-0.546345837	unbias
TRINITY_DN119127_c1_g1_i1	polr1b-like	Chr05	39090670	39090670	0.705591898	unbias
TRINITY_DN119128_c0_g1_i1	NA	NA	NA	NA	-0.099346189	unbias
TRINITY_DN119132_c6_g10_i1	NA	NA	NA	NA	-0.23052637	unbias
TRINITY_DN119132_c6_g2_i1	NA	NA	NA	NA	-0.139043463	unbias
TRINITY_DN119132_c6_g7_i1	NA	NA	NA	NA	-0.679665065	unbias
TRINITY_DN119135_c1_g1_i2	vasn	Chr09	14484729	14484729	-0.159366026	unbias
TRINITY_DN119136_c0_g1_i2	NA	NA	NA	NA	0.227299649	unbias
TRINITY_DN119137_c0_g1_i1	ngf	Chr02	66181231	66181231	0.384393631	unbias
TRINITY_DN119138_c2_g2_i1	NA	NA	NA	NA	0.182841688	unbias
TRINITY_DN119138_c2_g3_i1	NA	NA	NA	NA	0.794908025	unbias
TRINITY_DN119139_c0_g1_i1	nipbl	Chr01	184093608	184093608	0.485840203	unbias
TRINITY_DN119141_c0_g1_i1	spryd7	Chr02	146554790	146554790	-0.266524747	unbias
TRINITY_DN119141_c0_g2_i1	mis12	Chr02	98088458	98088458	-0.402051879	unbias
TRINITY_DN119142_c0_g2_i5	MGC89520	Chr06	114214653	114214653	-0.344649148	unbias
TRINITY_DN119148_c0_g1_i1	NA	NA	NA	NA	-0.149456017	unbias
TRINITY_DN119150_c0_g2_i1	ndufaf3	Chr04	126273422	126273422	-0.148124428	unbias
TRINITY_DN119152_c0_g1_i4	NA	NA	NA	NA	-0.040564023	unbias
TRINITY_DN119153_c0_g1_i11	NA	NA	NA	NA	-0.152898548	unbias
TRINITY_DN119155_c0_g1_i2	NA	NA	NA	NA	-0.142389336	unbias
TRINITY_DN119156_c0_g1_i2	NA	NA	NA	NA	-0.11687291	unbias
TRINITY_DN119158_c0_g1_i1	NA	NA	NA	NA	0.132212938	unbias
TRINITY_DN119165_c0_g1_i1	gzf1	Chr05	20804045	20804045	-0.28346693	unbias
TRINITY_DN119168_c0_g1_i2	NA	NA	NA	NA	-0.196419546	unbias
TRINITY_DN119169_c0_g1_i1	NA	NA	NA	NA	-0.138667992	unbias
TRINITY_DN119171_c0_g1_i1	NA	NA	NA	NA	-0.268439099	unbias
TRINITY_DN119172_c0_g2_i1	NA	NA	NA	NA	-0.237600022	unbias
TRINITY_DN119176_c0_g1_i2	lims1	Chr02	105759095	105759095	1.21659139	unbias
TRINITY_DN119177_c0_g1_i4	kal1	Chr02	28711469	28711469	-0.344096071	unbias
TRINITY_DN119178_c0_g1_i1	NA	NA	NA	NA	-0.187772313	unbias
TRINITY_DN119181_c1_g1_i7	NA	NA	NA	NA	0.312946981	unbias
TRINITY_DN119189_c1_g1_i5	NA	NA	NA	NA	0.637792602	unbias
TRINITY_DN119189_c2_g1_i2	NA	NA	NA	NA	-0.252733605	unbias
TRINITY_DN119194_c0_g3_i2	NA	NA	NA	NA	-0.446992072	unbias
TRINITY_DN119203_c1_g1_i2	NA	NA	NA	NA	0.464440474	unbias
TRINITY_DN119204_c0_g1_i3	NA	NA	NA	NA	-0.345731843	unbias
TRINITY_DN119206_c2_g1_i3	NA	NA	NA	NA	-0.192494737	unbias
TRINITY_DN119209_c1_g2_i1	NA	NA	NA	NA	-1.551848332	unbias
TRINITY_DN119211_c0_g2_i1	NA	NA	NA	NA	-0.236238299	unbias
TRINITY_DN119212_c0_g1_i2	NA	NA	NA	NA	-0.007402923	unbias
TRINITY_DN119213_c0_g1_i1	NA	NA	NA	NA	-0.412853456	unbias
TRINITY_DN119214_c0_g1_i2	NA	NA	NA	NA	0.626318926	unbias
TRINITY_DN119216_c0_g1_i2	NA	NA	NA	NA	0.030589482	unbias
TRINITY_DN119217_c1_g2_i1	LOC101734526	Chr02	277107	277107	-0.700459598	unbias
TRINITY_DN119222_c0_g1_i1	NA	NA	NA	NA	-0.21211344	unbias
TRINITY_DN119223_c0_g1_i2	NA	NA	NA	NA	-0.538863366	unbias
TRINITY_DN119224_c0_g1_i1	NA	NA	NA	NA	0.564589797	unbias
TRINITY_DN119227_c0_g1_i4	apoa5	Chr07	83939838	83939838	0.547650728	unbias
TRINITY_DN119228_c0_g1_i3	NA	NA	NA	NA	0.680623192	unbias
TRINITY_DN119230_c0_g1_i2	NA	NA	NA	NA	0.750815548	unbias
TRINITY_DN119232_c0_g1_i3	NA	NA	NA	NA	-0.05325228	unbias
TRINITY_DN119236_c0_g1_i1	NA	NA	NA	NA	0.162361425	unbias
TRINITY_DN119238_c0_g2_i1	NA	NA	NA	NA	0.615452647	unbias
TRINITY_DN119240_c1_g2_i1	NA	NA	NA	NA	-0.235689224	unbias
TRINITY_DN119241_c0_g3_i2	terf2	Chr04	62289959	62289959	1.021670517	unbias
TRINITY_DN119242_c0_g1_i2	kifap3	Chr04	108205774	108205774	-0.211507739	unbias
TRINITY_DN119243_c0_g1_i3	cldn6.1	Chr09	7060698	7060698	-0.345077204	unbias
TRINITY_DN119247_c0_g1_i1	NA	NA	NA	NA	-0.515506317	unbias
TRINITY_DN119249_c0_g1_i1	NA	NA	NA	NA	-0.318408102	unbias
TRINITY_DN119252_c0_g2_i8	NA	NA	NA	NA	-0.264672823	unbias
TRINITY_DN119254_c0_g1_i1	NA	NA	NA	NA	0.076669797	unbias
TRINITY_DN119254_c0_g5_i1	NA	NA	NA	NA	0.00387006	unbias
TRINITY_DN119254_c0_g7_i2	NA	NA	NA	NA	0.137328921	unbias
TRINITY_DN119255_c0_g1_i1	upf3a-like	Chr02	108294130	108294130	0.678340433	unbias
TRINITY_DN119257_c0_g1_i1	NA	NA	NA	NA	-0.283506774	unbias
TRINITY_DN119258_c0_g2_i1	NA	NA	NA	NA	-0.174481239	unbias
TRINITY_DN119260_c0_g1_i2	tbpl1	Chr05	35109984	35109984	-0.2487436	unbias
TRINITY_DN119262_c0_g1_i1	NA	NA	NA	NA	0.125531236	unbias
TRINITY_DN119263_c1_g1_i3	NA	NA	NA	NA	0.156406302	unbias
TRINITY_DN119264_c0_g1_i1	NA	NA	NA	NA	-0.301788964	unbias
TRINITY_DN119265_c0_g2_i1	NA	NA	NA	NA	-0.903836786	unbias
TRINITY_DN119267_c0_g2_i2	NA	NA	NA	NA	0.437076091	unbias
TRINITY_DN119268_c0_g2_i1	NA	NA	NA	NA	-0.19525065	unbias
TRINITY_DN119270_c1_g1_i1	NA	NA	NA	NA	-0.297487895	unbias
TRINITY_DN119271_c0_g1_i1	ttl	Chr05	39070097	39070097	0.089370199	unbias
TRINITY_DN119271_c0_g2_i1	NA	NA	NA	NA	0.023093265	unbias
TRINITY_DN119273_c0_g1_i1	NA	NA	NA	NA	0.139634955	unbias
TRINITY_DN119274_c0_g1_i1	NA	NA	NA	NA	0.114117764	unbias
TRINITY_DN119278_c0_g1_i1	NA	NA	NA	NA	0.568883947	unbias
TRINITY_DN119279_c0_g1_i1	NA	NA	NA	NA	0.915088876	unbias
TRINITY_DN119281_c1_g1_i1	NA	NA	NA	NA	0.521497155	unbias
TRINITY_DN119283_c0_g1_i2	pradc1	Chr01	10441921	10441921	-0.566566218	unbias
TRINITY_DN119285_c0_g1_i1	NA	NA	NA	NA	0.093601742	unbias
TRINITY_DN119290_c0_g1_i1	NA	NA	NA	NA	-0.093670637	unbias
TRINITY_DN119291_c0_g1_i2	NA	NA	NA	NA	-0.35333455	unbias
TRINITY_DN119292_c0_g1_i1	LOC101732487	Chr02	147038977	147038977	-0.394200387	unbias
TRINITY_DN119294_c0_g1_i1	NA	NA	NA	NA	-0.02181588	unbias
TRINITY_DN119297_c0_g1_i1	fkbpl	Chr08	54065238	54065238	-0.040275459	unbias
TRINITY_DN119299_c0_g2_i1	NA	NA	NA	NA	-0.422878423	unbias
TRINITY_DN119304_c0_g1_i2	NA	NA	NA	NA	0.322636127	unbias
TRINITY_DN119306_c0_g1_i2	NA	NA	NA	NA	0.194235357	unbias
TRINITY_DN119309_c0_g1_i1	cd276	Chr03	82918756	82918756	-0.219856865	unbias
TRINITY_DN119310_c1_g1_i5	NA	NA	NA	NA	0.376603664	unbias
TRINITY_DN119313_c0_g1_i1	sertad1	Chr08	57074571	57074571	0.621153732	unbias
TRINITY_DN119314_c0_g1_i1	NA	NA	NA	NA	-0.455280249	unbias
TRINITY_DN119319_c0_g1_i2	Xetrov90004183m	Chr02	22324793	22324793	-0.519128748	unbias
TRINITY_DN119323_c0_g1_i3	NA	NA	NA	NA	-0.563891523	unbias
TRINITY_DN119324_c1_g1_i1	nfe2l2	Chr09	60569577	60569577	0.223922834	unbias
TRINITY_DN119326_c0_g2_i2	vegt	Chr01	144396774	144396774	0.495530785	unbias
TRINITY_DN119327_c0_g1_i2	NA	NA	NA	NA	-0.345606378	unbias
TRINITY_DN119328_c0_g1_i4	NA	NA	NA	NA	-0.037438064	unbias
TRINITY_DN119328_c0_g2_i2	LOC100495837-like	Chr07	99385982	99385982	-0.594849444	unbias
TRINITY_DN119332_c0_g1_i1	cib1	Chr03	98304318	98304318	-0.031352662	unbias
TRINITY_DN119335_c0_g2_i1	rab28	Chr01	17543756	17543756	0.271276002	unbias
TRINITY_DN119338_c0_g1_i1	NA	NA	NA	NA	-0.38281812	unbias
TRINITY_DN119340_c0_g1_i1	NA	NA	NA	NA	-0.278153341	unbias
TRINITY_DN119345_c0_g1_i1	NA	NA	NA	NA	0.008463687	unbias
TRINITY_DN119347_c0_g1_i2	znf592	Chr03	80986093	80986093	-0.056289101	unbias
TRINITY_DN119348_c0_g2_i1	NA	NA	NA	NA	0.561190867	unbias
TRINITY_DN119350_c0_g1_i1	NA	NA	NA	NA	-0.232867774	unbias
TRINITY_DN119352_c0_g2_i1	metap1d	Chr09	62341331	62341331	-0.090483408	unbias
TRINITY_DN119352_c0_g4_i1	NA	NA	NA	NA	0.27194547	unbias
TRINITY_DN119352_c0_g5_i1	NA	NA	NA	NA	0.194465648	unbias
TRINITY_DN119353_c1_g1_i2	bend2-like	Chr02	91183509	91183509	-0.201432529	unbias
TRINITY_DN119354_c2_g3_i1	NA	NA	NA	NA	0.058972816	unbias
TRINITY_DN119356_c0_g1_i1	NA	NA	NA	NA	-0.343396679	unbias
TRINITY_DN119358_c1_g1_i1	NA	NA	NA	NA	0.333938337	unbias
TRINITY_DN119358_c1_g2_i4	NA	NA	NA	NA	0.316376894	unbias
TRINITY_DN119361_c0_g1_i4	NA	NA	NA	NA	0.392036809	unbias
TRINITY_DN119365_c0_g1_i2	tsr2-like	Chr08	8271903	8271903	0.555884137	unbias
TRINITY_DN119366_c0_g1_i1	NA	NA	NA	NA	-0.679531987	unbias
TRINITY_DN119366_c0_g2_i1	NA	NA	NA	NA	-0.791953831	unbias
TRINITY_DN119368_c0_g1_i2	NA	NA	NA	NA	0.128306941	unbias
TRINITY_DN119370_c0_g3_i1	LOC100494705-like	Chr03	5814946	5814946	0.9148088	unbias
TRINITY_DN119374_c0_g1_i2	NA	NA	NA	NA	-0.497242366	unbias
TRINITY_DN119376_c0_g3_i2	ppp1r1c-like	Chr09	57292934	57292934	0.416449394	unbias
TRINITY_DN119377_c0_g1_i1	prr11-like	Chr02	91406127	91406127	-0.087136253	unbias
TRINITY_DN119379_c0_g1_i1	NA	NA	NA	NA	-0.34016863	unbias
TRINITY_DN119381_c0_g1_i7	NA	NA	NA	NA	0.089836201	unbias
TRINITY_DN119386_c0_g1_i2	NA	NA	NA	NA	-0.075038975	unbias
TRINITY_DN119389_c0_g1_i1	NA	NA	NA	NA	-0.465918962	unbias
TRINITY_DN119389_c0_g2_i4	NA	NA	NA	NA	-0.108748691	unbias
TRINITY_DN119393_c0_g1_i1	NA	NA	NA	NA	0.574567494	unbias
TRINITY_DN119394_c0_g1_i1	hint3	Chr05	47292791	47292791	-0.280329427	unbias
TRINITY_DN119395_c0_g1_i3	LOC100489846	Chr03	17774556	17774556	0.452146118	unbias
TRINITY_DN119397_c0_g3_i4	NA	NA	NA	NA	-0.338676551	unbias
TRINITY_DN119399_c0_g1_i1	NA	NA	NA	NA	-0.094180033	unbias
TRINITY_DN119403_c0_g1_i1	plaa	Chr01	110007093	110007093	-0.0337804	unbias
TRINITY_DN119407_c0_g1_i6	NA	NA	NA	NA	-0.046779738	unbias
TRINITY_DN119407_c0_g2_i1	LOC100145748	Chr07	106345024	106345024	-0.151589091	unbias
TRINITY_DN119408_c2_g1_i1	NA	NA	NA	NA	0.026070076	unbias
TRINITY_DN119411_c1_g1_i1	NA	NA	NA	NA	-0.306977037	unbias
TRINITY_DN119415_c0_g2_i1	NA	NA	NA	NA	0.449140836	unbias
TRINITY_DN119416_c2_g1_i1	NA	NA	NA	NA	2.211860867	unbias
TRINITY_DN119417_c0_g1_i1	hspb2	Chr07	74665677	74665677	0.263017611	unbias
TRINITY_DN119418_c0_g1_i1	NA	NA	NA	NA	-0.04258561	unbias
TRINITY_DN119418_c0_g2_i1	NA	NA	NA	NA	-0.406704563	unbias
TRINITY_DN119422_c0_g2_i1	NA	NA	NA	NA	-1.081248326	unbias
TRINITY_DN119429_c0_g1_i1	NA	NA	NA	NA	-0.16982722	unbias
TRINITY_DN119430_c1_g1_i1	NA	NA	NA	NA	0.200315567	unbias
TRINITY_DN119432_c0_g1_i1	NA	NA	NA	NA	-0.253548604	unbias
TRINITY_DN119433_c0_g1_i1	NA	NA	NA	NA	-0.25724332	unbias
TRINITY_DN119436_c0_g1_i1	NA	NA	NA	NA	-0.037010591	unbias
TRINITY_DN119438_c0_g1_i2	NA	NA	NA	NA	0.046258029	unbias
TRINITY_DN119439_c1_g2_i3	NA	NA	NA	NA	-0.169997608	unbias
TRINITY_DN119440_c0_g1_i2	bmf	Chr08	93964574	93964574	-0.27078353	unbias
TRINITY_DN119443_c0_g1_i1	NA	NA	NA	NA	0.109399831	unbias
TRINITY_DN119444_c0_g2_i4	NA	NA	NA	NA	-0.304723035	unbias
TRINITY_DN119445_c0_g1_i2	NA	NA	NA	NA	-0.33525342	unbias
TRINITY_DN119446_c0_g1_i3	NA	NA	NA	NA	-0.216612838	unbias
TRINITY_DN119447_c0_g1_i2	ggnbp2	Chr02	64060624	64060624	0.540672439	unbias
TRINITY_DN119448_c0_g1_i1	NA	NA	NA	NA	0.167723055	unbias
TRINITY_DN119451_c0_g1_i1	NA	NA	NA	NA	-0.026758511	unbias
TRINITY_DN119453_c0_g1_i1	NA	NA	NA	NA	-0.534458616	unbias
TRINITY_DN119455_c0_g1_i1	NA	NA	NA	NA	0.218259572	unbias
TRINITY_DN119455_c0_g2_i5	NA	NA	NA	NA	0.130538653	unbias
TRINITY_DN119455_c0_g3_i1	NA	NA	NA	NA	0.460437826	unbias
TRINITY_DN119456_c0_g1_i1	ube4a	Chr07	84933924	84933924	-0.938399692	unbias
TRINITY_DN119457_c1_g1_i2	NA	NA	NA	NA	-0.198329445	unbias
TRINITY_DN119457_c1_g3_i1	NA	NA	NA	NA	-0.408676829	unbias
TRINITY_DN119459_c0_g1_i1	tmem19	Chr03	50539201	50539201	0.001677412	unbias
TRINITY_DN119460_c0_g3_i1	NA	NA	NA	NA	-0.04633696	unbias
TRINITY_DN119463_c0_g1_i1	NA	NA	NA	NA	-0.138203318	unbias
TRINITY_DN119465_c0_g1_i1	ntm-like	Chr07	48334596	48334596	0.03294918	unbias
TRINITY_DN119467_c0_g1_i2	NA	NA	NA	NA	-0.230103521	unbias
TRINITY_DN119469_c0_g1_i1	ing1	Chr02	113523911	113523911	0.076422539	unbias
TRINITY_DN119470_c0_g1_i1	NA	NA	NA	NA	0.161835469	unbias
TRINITY_DN119471_c0_g1_i1	NA	NA	NA	NA	-0.219567623	unbias
TRINITY_DN119473_c0_g1_i1	NA	NA	NA	NA	-0.032170717	unbias
TRINITY_DN119475_c1_g2_i1	NA	NA	NA	NA	-1.758488702	unbias
TRINITY_DN119476_c0_g1_i1	NA	NA	NA	NA	1.532169888	unbias
TRINITY_DN119477_c0_g1_i1	NA	NA	NA	NA	0.716997648	unbias
TRINITY_DN119478_c4_g1_i3	NA	NA	NA	NA	-0.022457217	unbias
TRINITY_DN119479_c0_g1_i1	NA	NA	NA	NA	0.362630282	unbias
TRINITY_DN119480_c0_g1_i1	clpp	Chr03	129787873	129787873	0.799515848	unbias
TRINITY_DN119481_c0_g1_i4	NA	NA	NA	NA	0.308635908	unbias
TRINITY_DN119484_c0_g1_i2	NA	NA	NA	NA	0.231751727	unbias
TRINITY_DN119487_c0_g1_i1	NA	NA	NA	NA	-0.337764026	unbias
TRINITY_DN119488_c0_g1_i1	NA	NA	NA	NA	-0.13613188	unbias
TRINITY_DN119489_c0_g3_i1	NA	NA	NA	NA	0.145452378	unbias
TRINITY_DN119492_c0_g2_i1	NA	NA	NA	NA	-0.422378451	unbias
TRINITY_DN119496_c0_g1_i1	NA	NA	NA	NA	-0.406082766	unbias
TRINITY_DN119498_c1_g1_i2	LOC100145516	Chr06	22527723	22527723	-0.013629756	unbias
TRINITY_DN119499_c0_g1_i1	NA	NA	NA	NA	-0.460503854	unbias
TRINITY_DN119503_c0_g1_i1	NA	NA	NA	NA	-0.04597448	unbias
TRINITY_DN119505_c0_g1_i1	NA	NA	NA	NA	-0.202488721	unbias
TRINITY_DN119506_c0_g1_i1	bambi	Chr06	15893169	15893169	0.797863842	unbias
TRINITY_DN119507_c0_g1_i1	NA	NA	NA	NA	0.336456681	unbias
TRINITY_DN119509_c1_g3_i5	lrrc18	Chr07	37100259	37100259	-0.235425399	unbias
TRINITY_DN119509_c1_g4_i1	NA	NA	NA	NA	-0.035641524	unbias
TRINITY_DN119512_c0_g1_i1	NA	NA	NA	NA	0.037459529	unbias
TRINITY_DN119516_c0_g2_i1	LOC100496810	Chr09	3622510	3622510	-0.389737365	unbias
TRINITY_DN119517_c0_g1_i1	NA	NA	NA	NA	-0.486894808	unbias
TRINITY_DN119518_c0_g1_i1	NA	NA	NA	NA	-0.247746084	unbias
TRINITY_DN119519_c0_g1_i2	NA	NA	NA	NA	-0.157642459	unbias
TRINITY_DN119521_c0_g1_i2	NA	NA	NA	NA	-0.039158326	unbias
TRINITY_DN119521_c1_g1_i5	racgap1.2	Chr09	78223466	78223466	-0.039855529	unbias
TRINITY_DN119523_c1_g12_i2	pax6	Chr04	9859219	9859219	-0.187164828	unbias
TRINITY_DN119526_c0_g1_i4	mov10	Chr02	74100790	74100790	-0.188777916	unbias
TRINITY_DN119528_c0_g1_i3	NA	NA	NA	NA	-0.450917572	unbias
TRINITY_DN119529_c1_g1_i1	NA	NA	NA	NA	0.011311934	unbias
TRINITY_DN119534_c0_g3_i1	Xetrov90001129m	Chr01	61281695	61281695	-0.035116934	unbias
TRINITY_DN119535_c0_g1_i1	NA	NA	NA	NA	-0.161020676	unbias
TRINITY_DN119536_c0_g1_i3	NA	NA	NA	NA	-0.31404931	unbias
TRINITY_DN119537_c0_g3_i2	NA	NA	NA	NA	0.536919583	unbias
TRINITY_DN119538_c0_g1_i1	erf	Chr07	99060020	99060020	-0.067714471	unbias
TRINITY_DN119539_c0_g1_i2	NA	NA	NA	NA	0.140776076	unbias
TRINITY_DN119539_c0_g2_i1	NA	NA	NA	NA	-1.002263745	unbias
TRINITY_DN119540_c0_g1_i1	NA	NA	NA	NA	-0.313366948	unbias
TRINITY_DN119544_c1_g1_i1	NA	NA	NA	NA	-0.132947899	unbias
TRINITY_DN119545_c0_g1_i2	NA	NA	NA	NA	0.062639834	unbias
TRINITY_DN119547_c0_g1_i1	NA	NA	NA	NA	1.633531327	unbias
TRINITY_DN119549_c0_g1_i1	NA	NA	NA	NA	0.018427895	unbias
TRINITY_DN119551_c0_g1_i2	NA	NA	NA	NA	-0.096771046	unbias
TRINITY_DN119552_c0_g1_i1	NA	NA	NA	NA	-0.050350564	unbias
TRINITY_DN119554_c2_g4_i2	NA	NA	NA	NA	-0.699116307	unbias
TRINITY_DN119556_c0_g11_i1	NA	NA	NA	NA	0.363912959	unbias
TRINITY_DN119556_c0_g16_i1	NA	NA	NA	NA	-1.386408497	unbias
TRINITY_DN119556_c0_g17_i1	NA	NA	NA	NA	0.380946268	unbias
TRINITY_DN119556_c0_g19_i1	mfsd2a	Chr02	86727590	86727590	2.680315482	unbias
TRINITY_DN119561_c0_g1_i1	NA	NA	NA	NA	-0.381436715	unbias
TRINITY_DN119562_c0_g1_i1	NA	NA	NA	NA	0.639492842	unbias
TRINITY_DN119563_c0_g1_i2	satb1	Chr06	79099235	79099235	0.226032425	unbias
TRINITY_DN119564_c1_g1_i1	gusb	Chr02	94082979	94082979	0.444405569	unbias
TRINITY_DN119565_c0_g1_i1	NA	NA	NA	NA	-0.099214083	unbias
TRINITY_DN119568_c0_g1_i2	LOC100487982-like	Chr09	16630152	16630152	-0.109781868	unbias
