gid	gene name	chr	start	end
TRINITY_DN119759_c0_g1_i1	tmem150a	Chr03	108538960	108538960
TRINITY_DN125620_c9_g6_i1	LOC100495353	Chr03	108605399	108605399
TRINITY_DN128159_c1_g1_i2	ggcx	Chr03	108659188	108659188
TRINITY_DN125999_c6_g2_i9	mat2a	Chr03	108673606	108673606
TRINITY_DN126051_c2_g2_i3	polm	Chr03	108743474	108743474
TRINITY_DN114223_c0_g2_i3	h2afv	Chr03	108757140	108757140
TRINITY_DN110248_c0_g1_i1	LOC100495008	Chr03	108786817	108786817
TRINITY_DN121349_c0_g1_i1	npy4r	Chr03	108807728	108807728
TRINITY_DN144974_c0_g1_i1	cox5b.1	Chr03	108818677	108818677
TRINITY_DN128156_c1_g2_i4	sema4c	Chr03	108947934	108947934
TRINITY_DN122523_c0_g1_i1	ankrd39	Chr03	108996988	108996988
TRINITY_DN123639_c0_g1_i1	cnnm3-like	Chr03	109009418	109009418
TRINITY_DN122940_c0_g4_i1	cnnm2	Chr03	109022729	109022729
TRINITY_DN120969_c2_g1_i2	lman2l	Chr03	109055216	109055216
TRINITY_DN114715_c1_g1_i2	LOC100158552	Chr03	109073349	109073349
TRINITY_DN118891_c0_g1_i1	neurl3	Chr03	109107208	109107208
TRINITY_DN135197_c0_g2_i1	nup133	Chr03	109169358	109169358
TRINITY_DN133855_c0_g1_i1	snrnp200	Chr03	109176866	109176866
TRINITY_DN130857_c4_g1_i2	ciao1	Chr03	109207090	109207090
TRINITY_DN120404_c0_g1_i1	tmem127	Chr03	109216416	109216416
TRINITY_DN133323_c0_g1_i1	stard7	Chr03	109225178	109225178
TRINITY_DN133440_c0_g2_i2	LOC101730245	Chr03	109238284	109238284
TRINITY_DN124391_c0_g1_i1	adra2b	Chr03	109252431	109252431
TRINITY_DN123296_c1_g1_i2	gpat2	Chr03	109286340	109286340
TRINITY_DN120595_c0_g1_i1	fahd2a	Chr03	109320888	109320888
TRINITY_DN130060_c4_g2_i1	kcnip3	Chr03	109340910	109340910
TRINITY_DN133029_c0_g2_i7	prom2	Chr03	109404863	109404863
TRINITY_DN135951_c2_g1_i1	prnp	Chr03	111112720	111112720
TRINITY_DN132533_c5_g5_i1	rassf2	Chr03	111144801	111144801
TRINITY_DN129632_c2_g5_i4	slc23a2	Chr03	111166200	111166200
TRINITY_DN129905_c0_g1_i2	tmem230	Chr03	111234392	111234392
TRINITY_DN133633_c4_g1_i9	pcna	Chr03	111252130	111252130
TRINITY_DN135165_c0_g1_i3	cds2	Chr03	111271933	111271933
TRINITY_DN133643_c0_g1_i3	Xetrov90009157m	Chr03	111309439	111309439
TRINITY_DN115112_c0_g1_i1	bmp10	Chr03	111376568	111376568
TRINITY_DN114085_c0_g1_i1	LOC100486889	Chr03	111412175	111412175
TRINITY_DN108566_c0_g3_i1	gkn1.2	Chr03	111426207	111426207
TRINITY_DN99158_c0_g1_i1	LOC100486730	Chr03	111451498	111451498
TRINITY_DN131906_c3_g1_i1	antxr1	Chr03	111471325	111471325
TRINITY_DN136398_c3_g2_i4	gfpt1	Chr03	111623642	111623642
TRINITY_DN78872_c0_g1_i1	nfu1	Chr03	111667417	111667417
TRINITY_DN124884_c2_g1_i4	aak1	Chr03	111690906	111690906
TRINITY_DN116539_c0_g4_i5	anxa4	Chr03	111802940	111802940
TRINITY_DN119100_c0_g1_i2	gmcl1	Chr03	111833197	111833197
TRINITY_DN23129_c0_g1_i1	LOC101730435	Chr03	111931023	111931023
TRINITY_DN62383_c0_g1_i1	mxd1	Chr03	111953768	111953768
TRINITY_DN131441_c4_g1_i1	tgfa	Chr03	112052377	112052377
TRINITY_DN135855_c0_g1_i2	tia1	Chr03	112185368	112185368
TRINITY_DN123973_c0_g1_i2	nif	Chr03	112220786	112220786
TRINITY_DN124132_c1_g3_i4	add2	Chr03	112328178	112328178
TRINITY_DN125285_c2_g1_i3	figla	Chr03	112374241	112374241
TRINITY_DN126034_c3_g1_i2	LOC100485269	Chr03	112449968	112449968
TRINITY_DN125809_c2_g2_i1	tacr1	Chr03	112525310	112525310
TRINITY_DN113277_c0_g1_i2	LOC101730599	Chr03	112813926	112813926
TRINITY_DN122959_c0_g1_i3	slc4a5	Chr03	112917024	112917024
TRINITY_DN127243_c3_g1_i2	mthfd2	Chr03	112964722	112964722
TRINITY_DN113815_c0_g1_i1	mob1a	Chr03	112987550	112987550
TRINITY_DN105635_c0_g1_i1	bola3	Chr03	113001654	113001654
TRINITY_DN127218_c0_g2_i1	tet3	Chr03	113017906	113017906
TRINITY_DN122832_c0_g1_i1	dusp26	Chr03	113180077	113180077
TRINITY_DN130800_c1_g3_i5	unc5d-like.1	Chr03	113915548	113915548
TRINITY_DN119386_c0_g1_i2	znf703	Chr03	114950704	114950704
TRINITY_DN120288_c1_g1_i2	erlin2	Chr03	115049200	115049200
TRINITY_DN118702_c0_g1_i1	brf2	Chr03	115193216	115193216
TRINITY_DN127794_c2_g3_i1	Xetrov90009217m	Chr03	115209826	115209826
TRINITY_DN130290_c0_g1_i1	LOC100493271	Chr03	115266609	115266609
TRINITY_DN124919_c0_g1_i1	LOC100492776	Chr03	115572224	115572224
TRINITY_DN115659_c0_g1_i2	fah	Chr03	115608174	115608174
TRINITY_DN132963_c1_g4_i2	zfand6	Chr03	115629862	115629862
TRINITY_DN135274_c7_g1_i1	mthfs	Chr03	115637860	115637860
TRINITY_DN132361_c0_g3_i1	kiaa1024	Chr03	115651364	115651364
TRINITY_DN134966_c0_g2_i2	blm	Chr03	115834056	115834056
TRINITY_DN134475_c0_g2_i1	frmd5	Chr03	115876028	115876028
TRINITY_DN127879_c2_g4_i2	casc4	Chr03	115905807	115905807
TRINITY_DN132888_c0_g1_i1	ctdspl2	Chr03	115925040	115925040
TRINITY_DN124890_c0_g1_i3	eif3j-like	Chr03	115982238	115982238
TRINITY_DN125390_c0_g4_i3	morf4l1	Chr03	116099861	116099861
TRINITY_DN130211_c0_g1_i4	Xetrov90009252m	Chr03	116173102	116173102
TRINITY_DN129950_c0_g1_i1	paqr5	Chr03	116199709	116199709
TRINITY_DN127244_c6_g1_i1	nox5	Chr03	116288882	116288882
TRINITY_DN99588_c1_g1_i1	anp32a	Chr03	116332508	116332508
TRINITY_DN129266_c5_g5_i1	coro2b-like	Chr03	116353747	116353747
TRINITY_DN128959_c2_g1_i1	itga11	Chr03	116446174	116446174
TRINITY_DN129868_c0_g1_i1	fem1b	Chr03	116484220	116484220
TRINITY_DN100099_c0_g1_i1	cln6	Chr03	116488040	116488040
TRINITY_DN104748_c0_g2_i1	calml4	Chr03	116497001	116497001
TRINITY_DN119535_c0_g1_i1	map2k5	Chr03	116591915	116591915
TRINITY_DN116115_c0_g1_i2	LOC100488454-like	Chr03	116678017	116678017
TRINITY_DN128001_c0_g1_i1	aagab-like	Chr03	116739985	116739985
TRINITY_DN128112_c3_g1_i2	LOC101730859	Chr03	116757680	116757680
TRINITY_DN112271_c0_g1_i2	lctl-like	Chr03	116978631	116978631
TRINITY_DN121063_c0_g1_i2	zwilch	Chr03	116985753	116985753
TRINITY_DN193361_c0_g1_i1	rpl4	Chr03	117016299	117016299
TRINITY_DN120861_c0_g3_i1	map2k1	Chr03	117034148	117034148
TRINITY_DN121367_c0_g2_i1	tipin	Chr03	117055186	117055186
TRINITY_DN129747_c1_g3_i1	dis3l	Chr03	117066135	117066135
TRINITY_DN129546_c5_g6_i3	rab11a	Chr03	117367989	117367989
TRINITY_DN117622_c0_g1_i3	dennd4a	Chr03	117409938	117409938
TRINITY_DN115525_c0_g1_i1	slc24a1-like	Chr03	117451370	117451370
TRINITY_DN132817_c1_g1_i3	vwa9	Chr03	117485743	117485743
TRINITY_DN128497_c1_g1_i1	ptplad1-like	Chr03	117499404	117499404
TRINITY_DN130941_c4_g3_i1	LOC101730786	Chr03	117512368	117512368
TRINITY_DN125972_c14_g4_i1	igdcc4-like	Chr03	117551918	117551918
TRINITY_DN113806_c0_g1_i5	igdcc3	Chr03	117606209	117606209
TRINITY_DN103544_c0_g1_i2	parp16-like	Chr03	117692116	117692116
TRINITY_DN127277_c0_g2_i2	cilp	Chr03	117793133	117793133
TRINITY_DN125062_c0_g1_i2	mtfmt	Chr03	117834191	117834191
TRINITY_DN136445_c16_g1_i1	slc51b-like	Chr03	117845889	117845889
TRINITY_DN44598_c0_g1_i1	ubap1l-like	Chr03	117895179	117895179
TRINITY_DN101042_c0_g2_i1	clpx	Chr03	117918294	117918294
TRINITY_DN128755_c0_g3_i1	spg21	Chr03	117949090	117949090
TRINITY_DN120354_c0_g2_i1	ankdd1a-like	Chr03	117969742	117969742
TRINITY_DN123494_c0_g1_i3	plekho2	Chr03	118017713	118017713
TRINITY_DN127519_c0_g4_i1	LOC100487086	Chr03	118553173	118553173
TRINITY_DN50226_c0_g2_i1	mak16	Chr03	118694219	118694219
TRINITY_DN136200_c5_g6_i1	tti2	Chr03	118704775	118704775
TRINITY_DN133266_c1_g1_i2	LOC100487393	Chr03	118718028	118718028
TRINITY_DN84461_c0_g1_i1	atp6v1b1	Chr03	119006995	119006995
TRINITY_DN107137_c0_g1_i1	lzts1	Chr03	119041962	119041962
TRINITY_DN128820_c3_g1_i1	dok2	Chr03	119175682	119175682
TRINITY_DN130498_c1_g3_i1	xpo7	Chr03	119193706	119193706
TRINITY_DN130526_c13_g1_i2	pbdc1	Chr03	119216851	119216851
TRINITY_DN97559_c0_g1_i1	npm2	Chr03	119223238	119223238
TRINITY_DN131156_c0_g1_i6	dmtn	Chr03	119239830	119239830
TRINITY_DN130793_c4_g3_i1	fam160b2	Chr03	119266877	119266877
TRINITY_DN125655_c4_g1_i1	nudt18-like	Chr03	119286463	119286463
TRINITY_DN133392_c2_g3_i1	reep4	Chr03	119292551	119292551
TRINITY_DN135640_c2_g9_i1	sftpc	Chr03	119317068	119317068
TRINITY_DN128128_c0_g3_i1	bmp1	Chr03	119335522	119335522
TRINITY_DN129543_c4_g3_i1	phyhip	Chr03	119387027	119387027
TRINITY_DN135324_c0_g1_i3	polr3d	Chr03	119411158	119411158
TRINITY_DN123710_c0_g1_i1	piwil2	Chr03	119422089	119422089
TRINITY_DN129623_c0_g2_i3	slc39a14	Chr03	119498210	119498210
TRINITY_DN108791_c0_g2_i1	ppp3cb	Chr03	119526997	119526997
TRINITY_DN120523_c0_g1_i2	LOC100488554	Chr03	119641032	119641032
TRINITY_DN135951_c4_g1_i1	bin3	Chr03	119680504	119680504
TRINITY_DN124701_c0_g1_i1	egr3	Chr03	119738250	119738250
TRINITY_DN116740_c0_g1_i2	pebp4-like	Chr03	119770922	119770922
TRINITY_DN127874_c6_g4_i6	rhobtb2	Chr03	119826757	119826757
TRINITY_DN123842_c8_g2_i6	gins4	Chr03	119921003	119921003
TRINITY_DN99366_c0_g2_i1	ppp1r3c.2	Chr03	119934945	119934945
TRINITY_DN129549_c2_g1_i1	agpat6	Chr03	119958954	119958954
TRINITY_DN123497_c0_g2_i3	inpp5a.2	Chr03	119974505	119974505
TRINITY_DN116460_c1_g2_i1	nkx6-3	Chr03	120005120	120005120
TRINITY_DN117375_c0_g1_i1	ank1	Chr03	120028510	120028510
TRINITY_DN127229_c2_g1_i1	ap3m2	Chr03	120222199	120222199
TRINITY_DN131881_c0_g1_i6	plat	Chr03	120239365	120239365
TRINITY_DN124661_c0_g1_i1	ikbkb	Chr03	120293061	120293061
TRINITY_DN125800_c1_g1_i2	vdac3	Chr03	120313438	120313438
TRINITY_DN131812_c1_g1_i2	polb	Chr03	120320652	120320652
TRINITY_DN124481_c0_g1_i1	vps41	Chr03	120434600	120434600
TRINITY_DN134037_c0_g1_i3	letm2	Chr03	120751874	120751874
TRINITY_DN131519_c3_g2_i3	ppapdc1b	Chr03	120898571	120898571
TRINITY_DN124071_c0_g1_i1	Xetrov90009440m	Chr03	120909399	120909399
TRINITY_DN125462_c0_g1_i2	LOC100490929-like.1	Chr03	121476859	121476859
TRINITY_DN128885_c0_g1_i1	LOC100490929-like.2	Chr03	121486111	121486111
TRINITY_DN134514_c0_g1_i2	adam9	Chr03	121500578	121500578
TRINITY_DN109864_c0_g1_i1	tm2d2	Chr03	121541631	121541631
TRINITY_DN128213_c0_g1_i1	LOC100488607	Chr03	121555822	121555822
TRINITY_DN124423_c0_g1_i3	plekha2	Chr03	121580427	121580427
TRINITY_DN111800_c0_g2_i1	LOC100491437-like	Chr03	121658493	121658493
TRINITY_DN133926_c0_g2_i3	tacc1-like	Chr03	121675517	121675517
TRINITY_DN126269_c1_g1_i1	ash2l	Chr03	121811170	121811170
TRINITY_DN120629_c3_g5_i1	LOC100492318	Chr03	121826014	121826014
TRINITY_DN120845_c0_g1_i1	grk5	Chr03	121849051	121849051
TRINITY_DN130050_c7_g2_i1	lsm1	Chr03	121884322	121884322
TRINITY_DN134638_c5_g1_i2	bag4-like	Chr03	121892087	121892087
TRINITY_DN132650_c6_g5_i5	stxbp2	Chr03	122196657	122196657
TRINITY_DN119216_c0_g1_i2	pcp2-like	Chr03	122233234	122233234
TRINITY_DN132782_c2_g1_i2	camsap3-like	Chr03	122253978	122253978
TRINITY_DN136112_c0_g1_i2	notch2	Chr03	122318854	122318854
TRINITY_DN127974_c1_g2_i3	ephx3	Chr03	122421833	122421833
TRINITY_DN128082_c2_g8_i1	brd4	Chr03	122447696	122447696
TRINITY_DN129597_c1_g3_i3	akap8l	Chr03	122504322	122504322
TRINITY_DN126184_c0_g2_i2	pglyrp2	Chr03	122627053	122627053
TRINITY_DN121903_c1_g6_i2	tgfbr3l-like	Chr03	123717102	123717102
TRINITY_DN133592_c2_g3_i4	map2k7	Chr03	123730902	123730902
TRINITY_DN108557_c0_g1_i1	LOC100490082	Chr03	123767024	123767024
TRINITY_DN134346_c1_g1_i1	lrrc8e	Chr03	123775664	123775664
TRINITY_DN131792_c1_g4_i4	prkaca	Chr03	123844129	123844129
TRINITY_DN120763_c0_g1_i1	asf1b	Chr03	123901977	123901977
TRINITY_DN134126_c1_g2_i1	lphn1-like	Chr03	123924922	123924922
TRINITY_DN128623_c0_g1_i5	cd97	Chr03	124227397	124227397
TRINITY_DN124708_c2_g1_i1	ddx39a	Chr03	124267947	124267947
TRINITY_DN132767_c0_g1_i1	pkn1-like	Chr03	124282059	124282059
TRINITY_DN120132_c0_g1_i1	gipc1	Chr03	124363426	124363426
TRINITY_DN123535_c1_g1_i1	dnajb1	Chr03	124380329	124380329
TRINITY_DN134535_c3_g1_i4	tecr	Chr03	124418269	124418269
TRINITY_DN120657_c0_g1_i5	lpar2	Chr03	124503911	124503911
TRINITY_DN133337_c5_g1_i2	gmip	Chr03	124571429	124571429
TRINITY_DN113455_c0_g2_i2	nxnl1	Chr03	124621269	124621269
TRINITY_DN118658_c0_g1_i1	pgls	Chr03	124643401	124643401
TRINITY_DN128105_c2_g6_i1	LOC100488616	Chr03	124659745	124659745
TRINITY_DN123469_c0_g1_i1	LOC100490939	Chr03	124736616	124736616
TRINITY_DN130577_c0_g2_i5	LOC100496285-like.1	Chr03	124947022	124947022
TRINITY_DN134264_c3_g2_i1	atp13a1	Chr03	125355675	125355675
TRINITY_DN122270_c0_g1_i2	lmx1b.2	Chr03	125401035	125401035
TRINITY_DN118874_c0_g1_i1	LOC100497637	Chr03	125614579	125614579
TRINITY_DN106923_c0_g1_i1	fbxl12	Chr03	125633549	125633549
TRINITY_DN125092_c6_g5_i2	LOC100487901-like	Chr03	125708136	125708136
TRINITY_DN135766_c1_g8_i1	pin1	Chr03	126320129	126320129
TRINITY_DN124276_c5_g2_i2	LOC100495309-like	Chr03	126346244	126346244
TRINITY_DN107659_c0_g1_i1	c19orf66	Chr03	126350905	126350905
TRINITY_DN136544_c4_g1_i3	col11a1-like	Chr03	126454353	126454353
TRINITY_DN104942_c0_g1_i2	ppan	Chr03	126589980	126589980
TRINITY_DN116702_c3_g1_i2	p2ry11	Chr03	126607737	126607737
TRINITY_DN133971_c0_g2_i1	eif3s4	Chr03	126624707	126624707
TRINITY_DN92997_c0_g1_i1	dnmt1	Chr03	126639545	126639545
TRINITY_DN67257_c0_g2_i1	s1pr2	Chr03	126673962	126673962
TRINITY_DN134148_c3_g3_i1	mrpl4	Chr03	126796661	126796661
TRINITY_DN132793_c0_g1_i2	LOC100494903	Chr03	126850329	126850329
TRINITY_DN118355_c0_g1_i1	LOC100497688	Chr03	126940253	126940253
TRINITY_DN133319_c2_g2_i1	raver1	Chr03	127107754	127107754
TRINITY_DN124580_c0_g5_i1	tyk2	Chr03	127122974	127122974
TRINITY_DN96694_c0_g1_i1	cdc37	Chr03	127172519	127172519
TRINITY_DN111707_c0_g2_i2	LOC100488846-like	Chr03	127235495	127235495
TRINITY_DN134791_c3_g2_i1	spc24	Chr03	127283472	127283472
TRINITY_DN135139_c4_g1_i2	keap1	Chr03	127293989	127293989
TRINITY_DN110737_c0_g1_i1	s1pr5	Chr03	127323105	127323105
TRINITY_DN120145_c0_g6_i1	cdkn2d	Chr03	127441224	127441224
TRINITY_DN135619_c1_g3_i1	ap1m2	Chr03	127486391	127486391
TRINITY_DN133809_c1_g9_i4	slc44a2	Chr03	127514312	127514312
TRINITY_DN123447_c0_g2_i1	ilf3	Chr03	127568278	127568278
TRINITY_DN122395_c2_g1_i1	Xetrov90009718m	Chr03	127818300	127818300
TRINITY_DN33377_c0_g1_i1	LOC101732879-like	Chr03	127926234	127926234
TRINITY_DN131814_c4_g1_i4	dnm2	Chr03	127992323	127992323
TRINITY_DN126676_c0_g1_i1	tmed1	Chr03	128049225	128049225
TRINITY_DN121031_c1_g3_i1	carm1	Chr03	128083755	128083755
TRINITY_DN123976_c0_g1_i1	yipf2	Chr03	128104370	128104370
TRINITY_DN131516_c0_g1_i2	c19orf52	Chr03	128110457	128110457
TRINITY_DN118691_c0_g1_i1	LOC100495666	Chr03	128127747	128127747
TRINITY_DN135964_c2_g1_i2	kank2	Chr03	128217345	128217345
TRINITY_DN134419_c0_g2_i4	dock7	Chr03	128261352	128261352
TRINITY_DN118541_c0_g1_i2	tspan16	Chr03	128328675	128328675
TRINITY_DN129655_c0_g1_i1	Xetrov90009743m	Chr03	128362811	128362811
TRINITY_DN127957_c0_g2_i3	ccdc151-like	Chr03	128395671	128395671
TRINITY_DN118198_c0_g3_i1	prkcsh	Chr03	128407665	128407665
TRINITY_DN130764_c2_g2_i4	elavl3	Chr03	128424552	128424552
TRINITY_DN125285_c1_g1_i1	Xetrov90009750m	Chr03	128488263	128488263
TRINITY_DN114112_c0_g1_i2	Xetrov90009752m	Chr03	128536853	128536853
TRINITY_DN127899_c0_g2_i1	cnn2	Chr03	128570048	128570048
TRINITY_DN155344_c0_g1_i1	lyl1	Chr03	128647055	128647055
TRINITY_DN133497_c2_g1_i1	gadd45gip1	Chr03	128854910	128854910
TRINITY_DN127031_c0_g2_i3	calr	Chr03	128889207	128889207
TRINITY_DN121292_c0_g1_i1	farsa	Chr03	128909319	128909319
TRINITY_DN118178_c0_g2_i1	syce2	Chr03	128929147	128929147
TRINITY_DN128821_c6_g1_i1	gcdh	Chr03	128936177	128936177
TRINITY_DN131869_c0_g5_i1	rab3d	Chr03	129159765	129159765
TRINITY_DN120567_c0_g1_i3	LOC100485784-like	Chr03	129195330	129195330
TRINITY_DN125622_c2_g6_i1	LOC100170436	Chr03	129212470	129212470
TRINITY_DN126768_c0_g2_i6	epor	Chr03	129216492	129216492
TRINITY_DN135259_c1_g4_i2	dnase2	Chr03	129243394	129243394
TRINITY_DN108339_c0_g1_i1	thibz	Chr03	129283334	129283334
TRINITY_DN117153_c0_g1_i1	LOC100486093-like	Chr03	129295398	129295398
TRINITY_DN135096_c3_g2_i1	dhps	Chr03	129388806	129388806
TRINITY_DN114656_c0_g2_i1	wdr83	Chr03	129405207	129405207
TRINITY_DN126570_c0_g1_i1	Xetrov90009819m	Chr03	129426265	129426265
TRINITY_DN114109_c0_g1_i1	nacc1	Chr03	129466666	129466666
TRINITY_DN109991_c0_g1_i2	Xetrov90009822m	Chr03	129480934	129480934
TRINITY_DN101833_c0_g1_i1	ier2	Chr03	129491240	129491240
TRINITY_DN135977_c2_g2_i1	cacna1a-like	Chr03	129506774	129506774
TRINITY_DN179808_c0_g1_i1	surf4.1	Chr03	129713766	129713766
TRINITY_DN113697_c0_g1_i2	ccdc130	Chr03	129727207	129727207
TRINITY_DN107449_c0_g1_i2	gtf2f1	Chr03	129733271	129733271
TRINITY_DN135880_c8_g3_i1	alkbh7-like	Chr03	129763682	129763682
TRINITY_DN128589_c4_g2_i2	LOC100036665	Chr03	129774814	129774814
TRINITY_DN108061_c0_g1_i1	clpp	Chr03	129787873	129787873
TRINITY_DN116219_c0_g1_i1	LOC100491128	Chr03	129815391	129815391
TRINITY_DN106130_c0_g1_i1	rln3	Chr03	129925810	129925810
TRINITY_DN118597_c0_g2_i1	rfx1	Chr03	129940552	129940552
TRINITY_DN122676_c4_g8_i4	Xetrov90009847m	Chr03	129966306	129966306
TRINITY_DN117754_c0_g1_i4	cc2d1a	Chr03	129985300	129985300
TRINITY_DN110958_c0_g2_i1	LOC101733512-like	Chr03	130035353	130035353
TRINITY_DN52067_c0_g1_i1	mri1	Chr03	130097509	130097509
TRINITY_DN166447_c0_g1_i1	khsrp	Chr03	130108411	130108411
TRINITY_DN132410_c0_g4_i1	slc25a23	Chr03	130136709	130136709
TRINITY_DN127221_c0_g1_i4	dennd1c	Chr03	130164332	130164332
TRINITY_DN136407_c5_g1_i3	c3	Chr03	130629789	130629789
TRINITY_DN118818_c0_g1_i3	ddx27	Chr03	131222064	131222064
TRINITY_DN120208_c0_g1_i2	LOC100491797	Chr03	131357536	131357536
TRINITY_DN133719_c0_g1_i3	ache	Chr03	131371299	131371299
TRINITY_DN124958_c0_g2_i3	kcnab3	Chr03	131426617	131426617
TRINITY_DN113981_c2_g1_i1	LOC101731170	Chr03	131687981	131687981
TRINITY_DN112552_c0_g4_i1	LOC100489603-like	Chr03	131712409	131712409
TRINITY_DN129872_c3_g5_i2	aurkb	Chr03	131830242	131830242
TRINITY_DN131412_c4_g1_i4	Xetrov90009919m	Chr03	131868671	131868671
TRINITY_DN136805_c0_g1_i1	LOC100494672	Chr03	133812524	133812524
TRINITY_DN129651_c0_g4_i5	LOC394444	Chr03	134065551	134065551
TRINITY_DN109236_c0_g1_i1	pld2	Chr03	134157196	134157196
TRINITY_DN125654_c0_g1_i1	LOC100490786	Chr03	134493531	134493531
TRINITY_DN119101_c0_g1_i1	Xetrov90010065m	Chr03	134507933	134507933
TRINITY_DN125251_c3_g1_i1	LOC100490446-like	Chr03	134527436	134527436
TRINITY_DN134646_c3_g1_i1	LOC101731130	Chr03	134544347	134544347
TRINITY_DN132521_c2_g3_i2	cldn15.1	Chr03	134630221	134630221
TRINITY_DN122101_c0_g1_i1	fis1	Chr03	134716060	134716060
TRINITY_DN135704_c0_g2_i7	LOC101732180	Chr03	135536298	135536298
TRINITY_DN104155_c0_g1_i1	znhit1	Chr03	136889253	136889253
TRINITY_DN125036_c2_g3_i1	rnf167	Chr03	136903393	136903393
TRINITY_DN134665_c2_g7_i10	pacsin3	Chr04	36084	36084
TRINITY_DN133941_c0_g1_i10	lrp4	Chr04	82502	82502
TRINITY_DN122956_c5_g2_i1	c11orf49	Chr04	151653	151653
TRINITY_DN134034_c2_g1_i2	arfgap2	Chr04	260796	260796
TRINITY_DN127398_c4_g2_i1	arntl	Chr04	289234	289234
TRINITY_DN126911_c6_g1_i1	btbd10-like	Chr04	305910	305910
TRINITY_DN132754_c0_g2_i1	ipo7	Chr04	379257	379257
TRINITY_DN120223_c0_g1_i5	znf143	Chr04	430159	430159
TRINITY_DN119481_c0_g1_i4	swap70	Chr04	503551	503551
TRINITY_DN125272_c0_g1_i3	adm	Chr04	765602	765602
TRINITY_DN117357_c0_g2_i3	lrrc4c	Chr04	2033736	2033736
TRINITY_DN194844_c0_g1_i1	sycp3	Chr04	2810834	2810834
TRINITY_DN122757_c0_g1_i4	api5	Chr04	3008865	3008865
TRINITY_DN133747_c2_g5_i2	ttc17	Chr04	3025002	3025002
TRINITY_DN134850_c2_g14_i1	hsd17b12	Chr04	3164366	3164366
TRINITY_DN126042_c0_g1_i1	alkbh3-like	Chr04	3217718	3217718
TRINITY_DN133624_c1_g2_i2	accs	Chr04	3277600	3277600
TRINITY_DN108558_c2_g1_i2	prdm11-like	Chr04	3376670	3376670
TRINITY_DN128441_c2_g5_i3	cd82	Chr04	3606094	3606094
TRINITY_DN133615_c4_g2_i1	ext2	Chr04	3813662	3813662
TRINITY_DN123160_c3_g1_i1	traf6	Chr04	3893971	3893971
TRINITY_DN113903_c0_g1_i1	prr5l-like	Chr04	3920488	3920488
TRINITY_DN129059_c3_g1_i4	commd9	Chr04	3965526	3965526
TRINITY_DN124147_c0_g1_i1	trim44	Chr04	4071206	4071206
TRINITY_DN122573_c0_g3_i1	fjx1	Chr04	4140356	4140356
TRINITY_DN96721_c0_g1_i1	cd44	Chr04	4237196	4237196
TRINITY_DN94658_c0_g3_i1	Xetrov90010199m	Chr04	4316979	4316979
TRINITY_DN128882_c4_g2_i1	apip	Chr04	4357356	4357356
TRINITY_DN49812_c0_g1_i1	ehf	Chr04	4396195	4396195
TRINITY_DN108509_c0_g1_i2	fgf4	Chr04	4847534	4847534
TRINITY_DN133593_c0_g1_i1	oraov1	Chr04	4920115	4920115
TRINITY_DN127370_c1_g7_i1	f2	Chr04	4968822	4968822
TRINITY_DN133598_c0_g1_i1	znf408-like	Chr04	4986739	4986739
TRINITY_DN134385_c4_g1_i9	LOC100497319-like	Chr04	5017215	5017215
TRINITY_DN132034_c1_g4_i11	atg13	Chr04	5025521	5025521
TRINITY_DN129924_c11_g1_i1	chrm4	Chr04	5263538	5263538
TRINITY_DN121743_c2_g1_i1	mdk	Chr04	5269582	5269582
TRINITY_DN128203_c2_g1_i10	dgkz-like	Chr04	5305165	5305165
TRINITY_DN121773_c0_g1_i2	Xetrov90010241m	Chr04	5408849	5408849
TRINITY_DN125387_c0_g2_i5	gyltl1b	Chr04	5589270	5589270
TRINITY_DN122777_c0_g2_i2	pex16	Chr04	5615746	5615746
TRINITY_DN116622_c0_g1_i1	mapk8ip1	Chr04	5628393	5628393
TRINITY_DN126384_c1_g6_i1	cry2	Chr04	5667696	5667696
TRINITY_DN97009_c0_g2_i3	slc35c1	Chr04	5695930	5695930
TRINITY_DN103926_c0_g2_i1	chst1	Chr04	5762341	5762341
TRINITY_DN114828_c1_g1_i2	tpcn2	Chr04	6061992	6061992
TRINITY_DN131878_c1_g4_i1	nadsyn1	Chr04	6088304	6088304
TRINITY_DN116003_c0_g1_i1	ccnd1	Chr04	6410332	6410332
TRINITY_DN127386_c0_g1_i14	ppfia1	Chr04	6462279	6462279
TRINITY_DN133619_c5_g2_i1	cttn	Chr04	6538844	6538844
TRINITY_DN125200_c0_g2_i6	LOC100495258-like	Chr04	6929917	6929917
TRINITY_DN133595_c5_g1_i1	fbxo3	Chr04	7063002	7063002
TRINITY_DN86297_c0_g2_i1	tfip11	Chr04	7081158	7081158
TRINITY_DN131853_c5_g11_i2	abtb2-like.2	Chr04	7156837	7156837
TRINITY_DN130956_c0_g2_i1	nat10	Chr04	7175772	7175772
TRINITY_DN109193_c0_g1_i1	rdm1-like	Chr04	7325430	7325430
TRINITY_DN124490_c5_g3_i1	cat.2	Chr04	7382030	7382030
TRINITY_DN134542_c1_g3_i2	ddb2	Chr04	7403232	7403232
TRINITY_DN130529_c4_g2_i2	acp2	Chr04	7415420	7415420
TRINITY_DN118545_c0_g2_i1	mybpc3	Chr04	7610620	7610620
TRINITY_DN132189_c0_g1_i2	slc39a13-like	Chr04	7747215	7747215
TRINITY_DN126356_c1_g3_i1	tmem178.2	Chr04	7766390	7766390
