gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain	stage 
TRINITY_DN122476_c2_g2_i3	sart1	Chr04	36468103	36468103	7.219039328	-1.084628176	1.41402E-07	5.72989E-07	Gonad
TRINITY_DN122484_c1_g1_i1	pycard	Chr02	143639437	143639437	4.34560532	1.429831471	0.000131649	0.000347278	Gonad
TRINITY_DN122487_c1_g1_i6	gatad2b	scaffold_750	15336	15336	4.78035469	3.446732419	2.4938E-21	4.27206E-20	Gonad
TRINITY_DN122487_c2_g1_i1	prss16	Chr08	58389591	58389591	6.994584845	1.87727371	4.07084E-09	2.05374E-08	Gonad
TRINITY_DN122491_c2_g1_i1	rasgrp1	Chr08	90457231	90457231	4.269848277	-1.900589225	0.000950076	0.002142182	Gonad
TRINITY_DN122495_c0_g1_i9	ngef-like	Chr05	123131367	123131367	0.331924438	4.303234826	3.3983E-06	1.13126E-05	Gonad
TRINITY_DN122501_c0_g1_i2	sepsecs	Chr01	20963028	20963028	5.804033509	-1.80565765	1.57624E-09	8.44622E-09	Gonad
TRINITY_DN122513_c0_g2_i2	scrn2	Chr10	4533528	4533528	4.365148885	1.446665528	6.51945E-05	0.000180823	Gonad
TRINITY_DN122514_c0_g2_i1	fnta	Chr01	77054648	77054648	7.87924865	-1.1580479	3.83834E-09	1.94324E-08	Gonad
TRINITY_DN122525_c0_g1_i4	bcar1	Chr04	51234279	51234279	4.4412201	2.501216642	8.56307E-06	2.68078E-05	Gonad
TRINITY_DN122528_c0_g2_i1	LOC100490937	Chr02	132435515	132435515	3.140508657	3.299889262	7.32873E-10	4.07197E-09	Gonad
TRINITY_DN122559_c1_g2_i1	htt	Chr01	16029872	16029872	6.214007755	1.405935134	1.88207E-05	5.63838E-05	Gonad
TRINITY_DN122561_c0_g1_i3	LOC100496770-like	Chr04	109104280	109104280	2.624197659	-1.031486865	0.028183595	0.046352481	Gonad
TRINITY_DN122561_c0_g3_i2	ppapdc2	Chr04	109088322	109088322	3.9835374	-2.14351898	4.15821E-09	2.09363E-08	Gonad
TRINITY_DN122562_c0_g1_i2	haus2	Chr08	85314231	85314231	5.645671612	-1.443874019	3.29767E-06	1.09975E-05	Gonad
TRINITY_DN122569_c0_g3_i1	mtmr9	scaffold_13	512829	512829	3.613472188	1.321057347	0.002466218	0.005142414	Gonad
TRINITY_DN122573_c0_g3_i1	fjx1	Chr04	4140356	4140356	3.861425029	2.042372589	7.47662E-05	0.000205556	Gonad
TRINITY_DN122579_c1_g1_i2	otop3	Chr10	35680840	35680840	1.121154754	-3.600136044	3.40847E-07	1.31667E-06	Gonad
TRINITY_DN122582_c0_g1_i1	ubap1	Chr01	194575893	194575893	8.028270168	-1.912824214	4.86248E-19	6.91995E-18	Gonad
TRINITY_DN122588_c2_g3_i1	cxxc1	scaffold_316	186791	186791	6.175690389	-1.147168187	2.81723E-07	1.10092E-06	Gonad
TRINITY_DN122590_c2_g1_i1	zdhhc8	Chr01	146921265	146921265	5.768268602	-1.316019778	6.72287E-06	2.13246E-05	Gonad
TRINITY_DN122602_c0_g2_i3	LOC100498149	Chr02	113538054	113538054	5.690280876	-2.305257552	1.64477E-14	1.54522E-13	Gonad
TRINITY_DN122603_c0_g1_i1	ccdc66-like	scaffold_49	198869	198869	6.599053088	-2.565735691	7.53115E-27	1.96355E-25	Gonad
TRINITY_DN122604_c0_g1_i1	znhit3	Chr02	64557539	64557539	7.852315681	-1.142890576	7.31446E-09	3.58615E-08	Gonad
TRINITY_DN122608_c0_g2_i2	mthfr	Chr07	54101219	54101219	4.263108519	-1.064243218	0.00867612	0.016127865	Gonad
TRINITY_DN122610_c1_g2_i3	npas2	Chr02	106739627	106739627	2.426182838	3.268716308	3.30186E-08	1.46058E-07	Gonad
TRINITY_DN122613_c0_g1_i3	ell	Chr01	87372118	87372118	5.940161724	-1.42731364	1.78739E-09	9.51408E-09	Gonad
TRINITY_DN122615_c0_g2_i1	prdm8	Chr01	76503565	76503565	1.870965215	-2.737703758	0.008705256	0.016179045	Gonad
TRINITY_DN122622_c0_g3_i14	prpf39.1	Chr08	71643706	71643706	6.742978004	1.890073933	1.11861E-16	1.30032E-15	Gonad
TRINITY_DN122628_c3_g3_i1	vps39	Chr08	93710368	93710368	6.979962869	-1.621838492	2.38412E-15	2.46726E-14	Gonad
TRINITY_DN122642_c0_g1_i1	thnsl1	Chr06	17403512	17403512	2.145160313	1.228446018	0.012691433	0.022717148	Gonad
TRINITY_DN122654_c7_g8_i1	blvra	Chr06	65709874	65709874	3.575064209	-2.351552216	5.5188E-05	0.00015468	Gonad
TRINITY_DN122657_c4_g1_i1	rad17-like	Chr01	167485640	167485640	7.326557791	-1.477894444	1.21658E-12	9.30655E-12	Gonad
TRINITY_DN122664_c1_g1_i1	dnajc6	Chr04	79208191	79208191	2.656210768	1.817753986	0.000232887	0.000589372	Gonad
TRINITY_DN122671_c3_g1_i1	mxi1	scaffold_76	49145	49145	4.244307108	4.637967938	1.95216E-12	1.46231E-11	Gonad
TRINITY_DN122683_c0_g1_i2	nsmf	Chr08	264114	264114	1.423609089	-1.321620975	0.019483505	0.033433429	Gonad
TRINITY_DN122686_c1_g1_i1	tmem246	Chr07	60205133	60205133	5.853031645	-1.633378379	1.45847E-10	8.85435E-10	Gonad
TRINITY_DN122691_c0_g1_i1	LOC100485840	Chr07	70482714	70482714	4.581903907	-2.322281226	7.50135E-13	5.86734E-12	Gonad
TRINITY_DN122694_c0_g1_i1	Xetrov90019859m	Chr08	5692611	5692611	2.237645793	-3.972547362	2.22275E-05	6.57894E-05	Gonad
TRINITY_DN122698_c3_g2_i1	emc7	Chr08	98084890	98084890	7.031501861	1.227153127	2.10637E-07	8.34769E-07	Gonad
TRINITY_DN122708_c1_g6_i3	LOC100487364	Chr08	53092821	53092821	6.378754615	-5.57971909	3.11483E-49	2.08137E-47	Gonad
TRINITY_DN122709_c0_g1_i1	smad9	Chr02	148846284	148846284	2.406035823	4.879947131	3.85113E-16	4.2375E-15	Gonad
TRINITY_DN122712_c0_g1_i1	LOC101731913	Chr05	99819264	99819264	5.265845143	1.801142369	4.77532E-10	2.70843E-09	Gonad
TRINITY_DN122714_c15_g1_i1	ubl7	Chr03	83237845	83237845	6.920440917	-1.586149968	6.08466E-11	3.8637E-10	Gonad
TRINITY_DN122717_c0_g1_i1	dgcr14	Chr01	144991316	144991316	6.137600751	-2.364039239	5.89717E-22	1.06254E-20	Gonad
TRINITY_DN122720_c0_g1_i1	ism2	Chr08	61808235	61808235	3.315995473	1.602670484	0.000320984	0.000790512	Gonad
TRINITY_DN122722_c0_g1_i2	Xetrov90001095m	Chr01	59253600	59253600	7.225448966	-1.127142246	4.13457E-07	1.57921E-06	Gonad
TRINITY_DN122727_c0_g1_i1	sphk1	Chr10	36648006	36648006	4.338315268	-3.935697745	9.98452E-24	2.08148E-22	Gonad
TRINITY_DN122731_c0_g2_i1	irf5	Chr03	78077134	78077134	6.092576506	-3.263016373	3.09145E-39	1.49248E-37	Gonad
TRINITY_DN122734_c0_g1_i1	LOC101734175	Chr01	82296754	82296754	2.227196949	5.413625076	5.33495E-12	3.82041E-11	Gonad
TRINITY_DN122739_c0_g2_i7	rnf2	Chr04	103844739	103844739	3.80191459	2.259277865	1.19278E-08	5.67161E-08	Gonad
TRINITY_DN122746_c3_g1_i3	LOC100135223	Chr07	110601456	110601456	7.724451658	4.321405532	3.02539E-30	9.50973E-29	Gonad
TRINITY_DN122749_c0_g1_i3	larp6	Chr03	88251258	88251258	7.911753612	-1.615650492	5.27779E-08	2.26415E-07	Gonad
TRINITY_DN122753_c0_g1_i3	gprin3	Chr01	69220445	69220445	2.919900078	2.666843916	1.97616E-07	7.875E-07	Gonad
TRINITY_DN122757_c0_g1_i4	api5	Chr04	3008865	3008865	7.927185531	1.22332038	8.22551E-08	3.43098E-07	Gonad
TRINITY_DN122759_c0_g1_i2	LOC100489859	Chr05	27660308	27660308	3.015722135	1.426571847	0.020731854	0.035329236	Gonad
TRINITY_DN122760_c0_g2_i1	spag6	Chr06	18446435	18446435	4.457712112	3.333702332	7.5721E-18	9.82037E-17	Gonad
TRINITY_DN122768_c0_g1_i2	ppp2r2b	Chr03	32050129	32050129	6.237864014	-1.64114787	1.12277E-10	6.92855E-10	Gonad
TRINITY_DN122777_c0_g3_i1	bcl2	Chr06	52586637	52586637	3.211695686	-1.178053655	0.01694782	0.029498621	Gonad
TRINITY_DN122781_c7_g1_i1	lyz	Chr03	49462801	49462801	3.054650011	1.322029256	0.011968831	0.021572973	Gonad
TRINITY_DN122781_c9_g2_i2	eapp	Chr08	87866313	87866313	6.108713076	-1.082118709	0.00391995	0.00785703	Gonad
TRINITY_DN122791_c2_g1_i3	mgll	Chr04	124360506	124360506	1.849092952	2.149240516	3.44024E-05	9.94612E-05	Gonad
TRINITY_DN122798_c0_g1_i4	Xetrov90029321m	scaffold_5290	1055	1055	4.127810679	1.703673362	6.82037E-07	2.52541E-06	Gonad
TRINITY_DN122805_c0_g1_i2	lman2	Chr03	38152854	38152854	8.132318129	-1.18625169	2.33073E-08	1.05837E-07	Gonad
TRINITY_DN122807_c0_g1_i1	LOC101732511	Chr02	107285706	107285706	1.175189899	-1.673637486	0.025259623	0.042071574	Gonad
TRINITY_DN122808_c0_g2_i1	blzf1	Chr02	68585745	68585745	7.563419441	-2.009187887	5.33427E-23	1.05328E-21	Gonad
TRINITY_DN122809_c0_g1_i2	lhx6	Chr08	16228747	16228747	1.257379386	1.136185799	0.025475304	0.042395813	Gonad
TRINITY_DN122809_c1_g1_i1	ndnf	Chr01	62015214	62015214	3.283478749	-1.795730833	0.000384205	0.000932107	Gonad
TRINITY_DN122819_c0_g1_i4	LOC100487071	Chr07	74007168	74007168	6.254523951	2.069122912	3.65326E-10	2.10276E-09	Gonad
TRINITY_DN122821_c0_g1_i2	endov	Chr10	19188783	19188783	1.966470846	2.813943994	1.89809E-06	6.55206E-06	Gonad
TRINITY_DN122824_c1_g1_i2	eif5b-like	Chr02	109082024	109082024	7.896186909	1.369220017	1.09827E-05	3.39094E-05	Gonad
TRINITY_DN122829_c0_g4_i1	prkx-like	Chr02	33832090	33832090	4.206303261	2.591205728	4.6397E-09	2.33024E-08	Gonad
TRINITY_DN122831_c0_g1_i3	sbk1	Chr07	95496307	95496307	2.581762129	-3.367301216	9.54529E-05	0.000257519	Gonad
TRINITY_DN122851_c0_g2_i1	abhd17b	Chr01	118177523	118177523	6.351484704	-2.920772478	4.50667E-20	6.9636E-19	Gonad
TRINITY_DN122853_c0_g1_i1	LOC100491544	Chr04	21296463	21296463	0.78124719	4.991922994	1.15579E-10	7.11526E-10	Gonad
TRINITY_DN122857_c0_g1_i1	slc2a13	Chr03	65776902	65776902	2.997264327	-1.344647247	0.001231758	0.002721358	Gonad
TRINITY_DN122871_c1_g3_i3	syvn1	Chr04	35384294	35384294	7.546206476	-1.149319484	3.65777E-09	1.85742E-08	Gonad
TRINITY_DN122876_c3_g1_i10	sgk1	Chr05	35035159	35035159	6.332980852	2.455425618	1.23156E-09	6.6917E-09	Gonad
TRINITY_DN122879_c0_g1_i3	krt222-like	scaffold_39	1105070	1105070	0.797752304	2.802711799	0.000355363	0.000869661	Gonad
TRINITY_DN122882_c0_g1_i2	acy3	Chr02	89816169	89816169	4.237054292	1.393909217	0.000531152	0.001258647	Gonad
TRINITY_DN122883_c0_g1_i1	slc27a2-like	Chr03	95097236	95097236	1.326268213	2.603359067	0.022741444	0.038352193	Gonad
TRINITY_DN122887_c4_g3_i2	polr3f	Chr05	38753458	38753458	6.181082662	-1.399515865	5.26695E-09	2.62308E-08	Gonad
TRINITY_DN122889_c9_g2_i2	plekhg5	Chr07	91076172	91076172	3.581798394	3.971720265	3.20787E-16	3.54906E-15	Gonad
TRINITY_DN122891_c0_g2_i5	hace1	Chr05	77925972	77925972	5.306915802	1.180493871	0.000320362	0.000789215	Gonad
TRINITY_DN122892_c0_g1_i1	gba3	Chr01	22342374	22342374	3.020842471	-2.770077875	1.32782E-09	7.18374E-09	Gonad
TRINITY_DN122895_c0_g1_i2	pvrl3	Chr02	50722106	50722106	4.937931155	-1.009129336	0.000481648	0.001149984	Gonad
TRINITY_DN122897_c0_g1_i1	ctu1	Chr01	61090188	61090188	6.329886958	-2.348838373	4.16732E-20	6.44912E-19	Gonad
TRINITY_DN122912_c3_g2_i1	Xetrov90028828m	scaffold_440	79277	79277	3.468424682	2.764874495	5.8066E-07	2.17397E-06	Gonad
TRINITY_DN122919_c1_g3_i3	Xetrov90006764m	Chr02	155127743	155127743	5.620714221	1.69304382	5.00484E-06	1.61807E-05	Gonad
TRINITY_DN122923_c0_g1_i8	slc35f4-like	Chr08	83473917	83473917	1.666593419	-1.383566137	0.028915035	0.047462616	Gonad
TRINITY_DN122933_c3_g1_i6	ttc30a	Chr06	71349761	71349761	5.563064391	-1.377932407	6.80801E-06	2.15608E-05	Gonad
TRINITY_DN122938_c2_g2_i1	bco2	Chr07	73975568	73975568	7.338305557	1.275030301	3.71577E-07	1.42882E-06	Gonad
TRINITY_DN122939_c2_g3_i10	mapk11	Chr03	62017111	62017111	7.048119333	-1.572948322	3.35342E-13	2.70905E-12	Gonad
TRINITY_DN122949_c0_g1_i1	dnah3	Chr09	18554647	18554647	2.317837296	-1.509796292	0.000716052	0.001654068	Gonad
TRINITY_DN122954_c0_g2_i1	Xetrov90021832m	Chr08	95483687	95483687	4.670619182	-1.007849932	0.001520431	0.00330557	Gonad
TRINITY_DN122956_c5_g2_i1	c11orf49	Chr04	151653	151653	6.082598959	-3.287884105	5.52734E-26	1.35366E-24	Gonad
TRINITY_DN122959_c0_g1_i3	slc4a5	Chr03	112917024	112917024	1.351273707	2.495773847	5.62995E-05	0.000157532	Gonad
TRINITY_DN122960_c3_g1_i1	mllt6	Chr10	4404205	4404205	2.950949766	1.555506468	0.000365698	0.000892141	Gonad
TRINITY_DN122960_c4_g2_i1	LOC100145523	Chr09	56186239	56186239	5.558898759	3.151638282	3.67445E-15	3.71868E-14	Gonad
TRINITY_DN122961_c6_g7_i3	nudt13	Chr07	35269190	35269190	4.752850224	1.417372879	0.002885696	0.005936121	Gonad
TRINITY_DN122964_c0_g1_i2	c3orf52-like	Chr02	49092078	49092078	3.781098666	-2.911092567	5.86108E-09	2.90749E-08	Gonad
TRINITY_DN122965_c0_g2_i3	tbc1d7	Chr06	84585783	84585783	6.6462506	-1.947453276	3.54574E-13	2.85983E-12	Gonad
TRINITY_DN122968_c0_g1_i1	tk1	Chr10	18332035	18332035	5.491790901	-3.487031549	8.92005E-26	2.14294E-24	Gonad
TRINITY_DN122970_c0_g1_i2	wdr16	Chr10	39025432	39025432	2.819467083	2.270391563	3.36752E-07	1.30235E-06	Gonad
TRINITY_DN122980_c0_g2_i2	rgs6-like	Chr08	86249503	86249503	3.015055721	2.493563005	4.06591E-06	1.33285E-05	Gonad
TRINITY_DN122981_c1_g1_i4	kiaa0408	Chr05	46558353	46558353	4.113235684	2.137463567	1.20216E-06	4.27106E-06	Gonad
TRINITY_DN122990_c0_g2_i8	ptpn13	Chr01	88284804	88284804	6.590972747	-1.027262334	0.000555707	0.001313749	Gonad
TRINITY_DN122996_c0_g5_i1	wbscr16	Chr02	98122517	98122517	6.472461827	-1.178884077	2.25674E-06	7.70576E-06	Gonad
TRINITY_DN123005_c4_g3_i3	tgm1	Chr01	127013618	127013618	8.651003073	5.419112577	4.38583E-53	3.40408E-51	Gonad
TRINITY_DN123006_c2_g6_i1	apex1	Chr01	130621237	130621237	6.425918273	1.578896879	3.68924E-09	1.87246E-08	Gonad
TRINITY_DN123011_c1_g2_i1	cdc34	Chr01	86547485	86547485	6.622656827	1.910881502	6.72367E-14	5.88394E-13	Gonad
TRINITY_DN123016_c0_g3_i2	alkbh2	Chr01	138133029	138133029	4.737890815	-1.574684497	0.000176262	0.000455437	Gonad
TRINITY_DN123024_c0_g1_i1	Xetrov90028482m	scaffold_389	45183	45183	10.28332958	1.96978873	1.74051E-07	6.95913E-07	Gonad
TRINITY_DN123030_c1_g1_i2	igf2	Chr04	12745346	12745346	5.428756514	4.474808144	1.45644E-21	2.53808E-20	Gonad
TRINITY_DN123034_c0_g1_i1	mtrf1	Chr02	129102323	129102323	6.221066383	-2.424402844	1.63684E-24	3.61394E-23	Gonad
TRINITY_DN123041_c6_g1_i2	ghitm	Chr07	42411779	42411779	8.270198324	1.018974788	3.43116E-05	9.92558E-05	Gonad
TRINITY_DN123043_c0_g1_i1	chrna2-like	Chr05	146456801	146456801	3.974788781	-4.006537017	1.37425E-19	2.04214E-18	Gonad
TRINITY_DN123046_c0_g1_i1	fam84a	Chr05	135915687	135915687	6.489214286	-4.41193365	1.21012E-54	9.61423E-53	Gonad
TRINITY_DN123048_c0_g1_i8	fbxw7-like	Chr01	46276113	46276113	6.9401151	-1.450531083	1.52529E-10	9.21014E-10	Gonad
TRINITY_DN123051_c5_g1_i6	scel-like	Chr02	122671865	122671865	0.946288893	3.924947229	1.99484E-07	7.9369E-07	Gonad
TRINITY_DN123052_c0_g1_i2	mcm6	Chr06	67893106	67893106	6.746324048	-9.175426565	2.3379E-139	1.8146E-136	Gonad
TRINITY_DN123054_c2_g2_i2	tmem125-like	Chr04	75284214	75284214	5.246778788	1.670472863	9.29324E-09	4.48225E-08	Gonad
TRINITY_DN123059_c0_g3_i4	Xetrov90000734m	Chr01	35206850	35206850	2.142560052	1.577295655	0.001850736	0.003962216	Gonad
TRINITY_DN123063_c0_g1_i4	LOC100486129-like	Chr05	89417639	89417639	1.172757269	2.083339412	0.001845211	0.003951227	Gonad
TRINITY_DN123067_c1_g1_i1	maml2-like	Chr02	161136896	161136896	2.922290698	1.397421063	0.00101314	0.002273706	Gonad
TRINITY_DN123078_c0_g1_i1	etfb	Chr07	113400394	113400394	8.534654377	3.00531082	4.32091E-21	7.23018E-20	Gonad
TRINITY_DN123085_c0_g1_i1	MGC107851	Chr07	79125147	79125147	6.305716341	-1.735875371	1.9449E-13	1.60853E-12	Gonad
TRINITY_DN123093_c0_g2_i1	sez6l	Chr01	140069924	140069924	1.514479894	-1.535900573	0.00304832	0.006236323	Gonad
TRINITY_DN123115_c0_g1_i2	tnfaip8	Chr01	162017162	162017162	7.291973075	-1.682630924	6.03853E-11	3.83924E-10	Gonad
TRINITY_DN123122_c0_g1_i3	LOC100492982	scaffold_5588	1188	1188	5.977993325	1.130146934	0.000102076	0.000273849	Gonad
TRINITY_DN123123_c2_g1_i6	tmem171	Chr01	166721771	166721771	5.70123691	-4.761939301	1.30518E-51	9.61262E-50	Gonad
TRINITY_DN123134_c0_g1_i8	braf-like	scaffold_584	33703	33703	5.833646214	-1.81036104	1.39691E-10	8.51137E-10	Gonad
TRINITY_DN123138_c0_g1_i2	tmcc2	Chr02	64572430	64572430	3.286849552	2.122744834	4.00432E-06	1.31522E-05	Gonad
TRINITY_DN123142_c0_g1_i2	arl6	Chr02	16603699	16603699	6.708253938	-1.920496181	8.41245E-09	4.08674E-08	Gonad
TRINITY_DN123147_c0_g1_i1	kcnk7	Chr08	83453752	83453752	6.904748266	-7.000971634	1.01529E-64	1.01429E-62	Gonad
TRINITY_DN123158_c0_g1_i7	tcf4	Chr01	189635978	189635978	4.576258057	2.657057882	2.09082E-13	1.72638E-12	Gonad
TRINITY_DN123168_c0_g1_i1	mblac1	scaffold_48	521139	521139	4.04222467	-1.162785777	0.001755713	0.003769982	Gonad
TRINITY_DN123172_c4_g1_i2	fam124a	Chr02	146987689	146987689	3.167329689	-1.870816374	0.000600161	0.001413545	Gonad
TRINITY_DN123173_c2_g1_i4	lrrc56	Chr04	39496375	39496375	2.165293015	1.111197778	0.016120523	0.028165555	Gonad
TRINITY_DN123178_c0_g1_i3	nab1	Chr09	29807938	29807938	5.907970971	2.061159391	4.08835E-11	2.67519E-10	Gonad
TRINITY_DN123183_c0_g1_i1	LOC733753	Chr05	34081989	34081989	5.577604757	-1.404549027	4.23732E-05	0.000120605	Gonad
TRINITY_DN123189_c2_g7_i4	brd3	scaffold_19	447826	447826	6.172693805	-1.158644518	4.81685E-07	1.8271E-06	Gonad
TRINITY_DN123204_c5_g4_i1	akt1	Chr08	78802992	78802992	5.840615023	-1.542421809	1.05281E-10	6.5051E-10	Gonad
TRINITY_DN123229_c1_g2_i1	rab33b	Chr01	51662085	51662085	4.593147992	-1.736705373	2.74566E-06	9.25616E-06	Gonad
TRINITY_DN123244_c1_g1_i7	LOC100492739-like	Chr10	2674405	2674405	1.638073804	-1.2029225	0.022163096	0.037470784	Gonad
TRINITY_DN123247_c0_g2_i5	LOC100493251	Chr05	42364186	42364186	1.988007417	2.651914873	2.35402E-07	9.28015E-07	Gonad
TRINITY_DN123251_c6_g3_i2	pld3	Chr08	56757738	56757738	5.288367835	1.543556224	1.30365E-05	3.99206E-05	Gonad
TRINITY_DN123252_c0_g1_i2	xylt1	Chr09	27227494	27227494	2.44550234	2.324286165	1.53016E-06	5.37207E-06	Gonad
TRINITY_DN123254_c0_g1_i2	amotl1	Chr02	161793839	161793839	2.337041787	2.183125028	4.4759E-06	1.45636E-05	Gonad
TRINITY_DN123256_c1_g1_i2	proc	Chr05	122176502	122176502	1.924153877	2.501118415	4.19917E-05	0.000119587	Gonad
TRINITY_DN123263_c0_g1_i4	thoc1	Chr06	93207095	93207095	8.072005155	-1.587353932	1.53711E-14	1.45084E-13	Gonad
TRINITY_DN123267_c1_g2_i1	apoa1bp	Chr08	111805654	111805654	7.510177232	1.481828431	2.4169E-08	1.09465E-07	Gonad
TRINITY_DN123268_c0_g1_i2	LOC100124801	Chr01	114558042	114558042	5.375947599	2.04992178	2.31048E-12	1.7205E-11	Gonad
TRINITY_DN123269_c0_g1_i1	sdha	Chr06	69857545	69857545	7.031085407	1.800128148	1.01502E-11	7.09246E-11	Gonad
TRINITY_DN123270_c0_g3_i6	37134	Chr01	145941070	145941070	4.692274913	1.412810659	2.44054E-06	8.28964E-06	Gonad
TRINITY_DN123277_c3_g1_i2	vgll3	Chr02	18767405	18767405	3.201233736	2.19534453	8.70525E-07	3.16983E-06	Gonad
TRINITY_DN123280_c0_g1_i1	hydin	Chr04	27332597	27332597	3.067666935	2.311002494	3.60308E-06	1.19345E-05	Gonad
TRINITY_DN123287_c0_g1_i4	gpr153	Chr07	90623178	90623178	2.131668059	2.281163517	0.000239185	0.000603798	Gonad
TRINITY_DN123295_c1_g1_i2	phex-like	Chr02	40942729	40942729	6.122265643	2.85136432	1.42279E-10	8.65857E-10	Gonad
TRINITY_DN123296_c1_g1_i2	gpat2	Chr03	109286340	109286340	6.932505854	1.646052105	2.03209E-11	1.36874E-10	Gonad
TRINITY_DN123299_c0_g1_i4	pnpt1	Chr05	25900332	25900332	7.433792564	-2.024499549	2.00217E-19	2.9406E-18	Gonad
TRINITY_DN123309_c0_g1_i3	LOC100495642-like	Chr08	75335064	75335064	4.726123188	-2.238982303	2.13627E-08	9.77106E-08	Gonad
TRINITY_DN123314_c1_g1_i1	LOC101731089	scaffold_69	336706	336706	6.694786979	1.571139751	3.68886E-06	1.21915E-05	Gonad
TRINITY_DN123315_c1_g2_i1	mdh1	Chr05	28656970	28656970	9.600098676	-1.234895789	3.31515E-05	9.62033E-05	Gonad
TRINITY_DN123319_c3_g3_i2	drg2	Chr09	23342434	23342434	8.048557314	1.89002624	9.45403E-14	8.1184E-13	Gonad
TRINITY_DN123319_c3_g4_i1	unc119	Chr02	27086420	27086420	6.655425117	-3.991023156	2.8059E-49	1.88744E-47	Gonad
TRINITY_DN123320_c0_g3_i7	setd7	Chr01	51619256	51619256	4.416819465	-1.105464614	0.000337578	0.000827944	Gonad
TRINITY_DN123327_c0_g1_i1	dync1li2	Chr04	60573744	60573744	5.628120554	1.384970722	1.04567E-05	3.23544E-05	Gonad
TRINITY_DN123342_c1_g1_i1	fzd10	Chr01	149678661	149678661	2.729650247	1.79235809	0.000240412	0.000606441	Gonad
TRINITY_DN123349_c1_g3_i1	aloxe3	scaffold_440	14897	14897	8.508685112	-8.987401403	9.2186E-151	1.5503E-147	Gonad
TRINITY_DN123350_c0_g1_i1	lrrc19	Chr04	75237596	75237596	2.447448846	2.616989426	5.14085E-07	1.94129E-06	Gonad
TRINITY_DN123354_c0_g1_i1	slc7a9	Chr04	21135349	21135349	1.123718123	-2.477435044	0.00043418	0.001043812	Gonad
TRINITY_DN123361_c0_g1_i1	ikbkap	Chr01	75561155	75561155	6.89581498	-1.23133084	3.05403E-08	1.35929E-07	Gonad
TRINITY_DN123367_c1_g1_i4	zc3h7b	Chr04	111450430	111450430	6.55112248	-1.350579542	1.10546E-08	5.27381E-08	Gonad
TRINITY_DN123377_c2_g3_i1	fem1c-like	Chr01	163440311	163440311	6.023841727	-1.693858204	2.65743E-09	1.38E-08	Gonad
TRINITY_DN123378_c6_g4_i9	LOC101732243	Chr10	3271302	3271302	5.655149862	1.065256669	5.99297E-06	1.90935E-05	Gonad
TRINITY_DN123383_c0_g1_i2	epm2a	Chr05	56194084	56194084	3.1233957	-1.576834219	0.002589657	0.005376469	Gonad
TRINITY_DN123385_c0_g1_i3	vps52	Chr08	50961947	50961947	6.549881404	1.423845997	2.90047E-07	1.12951E-06	Gonad
TRINITY_DN123387_c2_g2_i2	ocln	Chr01	167368970	167368970	6.444361562	-3.578211096	1.15086E-19	1.73316E-18	Gonad
TRINITY_DN123390_c0_g1_i5	scml2	Chr02	91303520	91303520	5.564208469	1.149653061	0.002036165	0.004324332	Gonad
TRINITY_DN123392_c3_g2_i1	ankrd52	Chr02	134115229	134115229	2.877733384	2.187992515	5.83027E-06	1.86163E-05	Gonad
TRINITY_DN123392_c3_g4_i2	zfhx4	Chr06	107681540	107681540	2.844741266	1.641073246	0.001620758	0.003505504	Gonad
TRINITY_DN123398_c5_g1_i5	slc35b3	Chr06	83735985	83735985	6.312273587	-2.700978911	1.84583E-25	4.36168E-24	Gonad
TRINITY_DN123413_c0_g1_i1	pik3cg	Chr03	67101566	67101566	3.311812007	2.009218144	3.66486E-06	1.21201E-05	Gonad
TRINITY_DN123418_c0_g1_i3	usp22	Chr09	33185113	33185113	8.265264048	-1.7242877	1.26992E-13	1.07495E-12	Gonad
TRINITY_DN123422_c0_g1_i2	LOC100485014	Chr02	94313267	94313267	1.356084732	-2.418148568	5.37847E-05	0.000151082	Gonad
TRINITY_DN123427_c1_g1_i1	esco2	Chr05	145188248	145188248	6.771674388	1.01693706	6.63063E-05	0.000183547	Gonad
TRINITY_DN123435_c1_g1_i1	glis2-like	Chr09	14536981	14536981	3.590904633	1.381403637	0.000907568	0.002052299	Gonad
TRINITY_DN123437_c0_g1_i2	abhd5	Chr06	73335028	73335028	4.0694815	1.258088258	0.006559721	0.012523668	Gonad
TRINITY_DN123439_c0_g1_i1	slc26a2.2	Chr03	34656473	34656473	2.667883914	2.036434287	4.15947E-05	0.00011859	Gonad
TRINITY_DN123442_c0_g2_i1	MGC89871	Chr05	109031074	109031074	7.336150507	-1.436191108	3.83059E-09	1.94029E-08	Gonad
TRINITY_DN123449_c1_g4_i2	tnnc2	Chr10	16545216	16545216	1.394088682	2.725051754	4.18529E-05	0.000119292	Gonad
TRINITY_DN123455_c2_g2_i1	gbx2.1	Chr09	54726150	54726150	0.346637707	-1.623139448	0.006884047	0.013093314	Gonad
TRINITY_DN123455_c4_g1_i1	hoxb7	Chr10	5094212	5094212	2.494417935	1.515140224	0.010496369	0.019165465	Gonad
TRINITY_DN123455_c4_g5_i1	hoxd8	Chr09	59950845	59950845	0.127270467	5.275277844	3.2051E-09	1.6441E-08	Gonad
TRINITY_DN123456_c0_g7_i2	LOC100496842	Chr08	22566961	22566961	2.310381881	5.229516234	1.58495E-15	1.67035E-14	Gonad
