gid	gname	chr	logFC.XY43.XX43	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN133821_c8_g2_i1	NA	NA	-0.10357299	0.394455494	G27_mean	unbias	0.0585	0.1013	1.7337	G43
TRINITY_DN133832_c0_g5_i5	NA	NA	0.438848904	0.267239269	Brain_mean	unbias	0.0632	0.1	1.5826	G43
TRINITY_DN133848_c9_g2_i5	NA	NA	0.268579434	0.27144571	G23_mean	unbias	0.0365	0.0491	1.3432	G43
TRINITY_DN133851_c1_g1_i8	NA	NA	0.119415239	0.223871036	G23_mean	unbias	0.0909	0.1364	1.5	G43
TRINITY_DN133866_c1_g3_i9	NA	NA	-0.202312673	0.283813094	Ovary_mean	unbias	0.0224	0.0336	1.5002	G43
TRINITY_DN133897_c1_g2_i1	NA	NA	0.182343673	0.38705275	Ovary_mean	unbias	0.0396	0.0577	1.4562	G43
TRINITY_DN133916_c0_g2_i1	NA	NA	0.287339195	0.329328068	Ovary_mean	unbias	0.0367	0.0715	1.9475	G43
TRINITY_DN133926_c0_g2_i3	NA	NA	0.867227788	0.546895346	Brain_mean	unbias	0.1251	0.2216	1.772	G43
TRINITY_DN133927_c0_g2_i4	NA	NA	-0.001322529	0.379821197	Brain_mean	unbias	0.0356	0.038	1.067	G43
TRINITY_DN133957_c0_g1_i1	cdkn2c	Chr04	0.112257628	0.486506375	Ovary_mean	unbias	0.0387	0.0381	0.9839	G43
TRINITY_DN133959_c0_g2_i8	NA	NA	0.293998062	0.367990052	Brain_mean	unbias	0.0194	0.0257	1.3247	G43
TRINITY_DN133991_c3_g2_i2	NA	NA	-0.375002722	0.136766811	G27_mean	unbias	0.037	0.0607	1.6414	G43
TRINITY_DN133994_c4_g2_i1	NA	NA	0.156930298	0.137226782	G43_M_mean	unbias	0.1163	0.1857	1.5963	G43
TRINITY_DN134000_c4_g2_i1	leo1	Chr03	-0.011532797	0.423857211	G46_M_mean	unbias	0.2866	0.5151	1.7976	G43
TRINITY_DN134012_c6_g2_i5	NA	NA	0.268920586	0.350628586	Brain_mean	unbias	0.0611	0.0914	1.4946	G43
TRINITY_DN134012_c7_g2_i6	NA	NA	0.720555471	0.579079928	Brain_mean	unbias	0.0432	0.0347	0.8027	G43
TRINITY_DN134017_c3_g3_i1	ddah1	Chr04	0.255512885	0.256751453	G43_M_mean	unbias	0.0309	0.0569	1.8453	G43
TRINITY_DN134021_c1_g2_i4	Xetrov90024992m	Chr10	0.145687364	0.368587219	Brain_mean	unbias	0.0303	0.0282	0.9301	G43
TRINITY_DN134025_c1_g2_i2	NA	NA	0.032259696	0.392584763	Brain_mean	unbias	0.0484	0.0936	1.933	G43
TRINITY_DN134056_c3_g4_i3	NA	NA	0.192925457	0.369224913	Ovary_mean	unbias	0.0446	0.0802	1.798	G43
TRINITY_DN134058_c0_g1_i11	NA	NA	0.030453187	0.363939726	Brain_mean	unbias	0.0783	0.1434	1.8311	G43
TRINITY_DN134102_c3_g2_i1	NA	NA	0.150400004	0.408824377	Brain_mean	unbias	0.0501	0.0596	1.1893	G43
TRINITY_DN134109_c0_g3_i3	NA	NA	-0.168767307	0.186393961	G23_mean	unbias	0.0297	0.0556	1.8715	G43
TRINITY_DN134120_c0_g4_i12	NA	NA	0.16508411	0.377872454	Brain_mean	unbias	0.0213	0.0284	1.3296	G43
TRINITY_DN134122_c6_g1_i1	NA	NA	-0.428540262	0.317595378	Brain_mean	unbias	0.0504	0.0941	1.8657	G43
TRINITY_DN134147_c3_g2_i1	NA	NA	0.470234286	0.363680954	G43_M_mean	unbias	0.0924	0.1653	1.7877	G43
TRINITY_DN134148_c3_g3_i1	NA	NA	-0.52252019	0.226526446	Ovary_mean	unbias	0.1031	0.1609	1.5603	G43
TRINITY_DN134156_c10_g2_i4	NA	NA	-0.092482737	0.187583551	Brain_mean	unbias	0.0747	0.1487	1.9912	G43
TRINITY_DN134158_c0_g1_i3	NA	NA	0.560926585	0.292386592	Ovary_mean	unbias	0.0245	0.0383	1.5638	G43
TRINITY_DN134197_c7_g2_i4	NA	NA	0.033389348	0.112694245	G23_mean	unbias	0.0713	0.0979	1.3725	G43
TRINITY_DN134209_c5_g3_i2	NA	NA	0.390828121	0.321133298	Ovary_mean	unbias	0.101	0.1573	1.5569	G43
TRINITY_DN134237_c0_g2_i1	NA	NA	0.395579489	0.21704185	Ovary_mean	unbias	0.1001	0.1115	1.1142	G43
TRINITY_DN134243_c5_g2_i1	LOC733728	Chr07	0.268602566	0.750318313	Brain_mean	unbias	0.0115	0.0204	1.7712	G43
TRINITY_DN134253_c0_g1_i9	NA	NA	0.261658968	0.346302742	Brain_mean	unbias	0.0762	0.1224	1.6055	G43
TRINITY_DN134287_c0_g1_i1	NA	NA	-0.195997131	0.321032214	Ovary_mean	unbias	0.1093	0.1887	1.7273	G43
TRINITY_DN134320_c1_g4_i1	NA	NA	0.432391581	0.417333449	Ovary_mean	unbias	0.2076	0.3488	1.6802	G43
TRINITY_DN134349_c4_g7_i1	NA	NA	-0.272582827	0.062362611	Testis_mean	unbias	0.0838	0.1233	1.4709	G43
TRINITY_DN134399_c4_g2_i2	ckap4	Chr03	0.10352208	0.269574565	Ovary_mean	unbias	0.0534	0.0763	1.4291	G43
TRINITY_DN134400_c0_g2_i4	NA	NA	0.10469195	0.220786568	Brain_mean	unbias	0.0136	0.0205	1.5152	G43
TRINITY_DN134410_c0_g2_i3	zfhx4	Chr06	0.386490121	0.183563464	G27_mean	unbias	0.0796	0.1498	1.882	G43
TRINITY_DN134419_c0_g1_i3	NA	NA	0.307542566	0.228334489	Brain_mean	unbias	0.0539	0.0631	1.1718	G43
TRINITY_DN134421_c3_g2_i3	NA	NA	0.59973561	0.489671497	Ovary_mean	unbias	0.0173	0.0211	1.2166	G43
TRINITY_DN134442_c4_g4_i2	NA	NA	0.049823488	0.314916235	Ovary_mean	unbias	0.0072	0.006	0.8303	G43
TRINITY_DN134444_c1_g1_i2	NA	NA	0.077742455	0.74450675	Brain_mean	unbias	0.079	0.1092	1.3815	G43
TRINITY_DN134450_c4_g1_i2	NA	NA	0.360499042	0.227677134	G23_mean	unbias	0.0273	0.0498	1.8215	G43
TRINITY_DN134453_c2_g1_i11	NA	NA	0.301378184	0.719488783	Brain_mean	unbias	0.0142	0.0117	0.8275	G43
TRINITY_DN134455_c1_g1_i6	NA	NA	-0.385501753	0.081870959	G27_mean	unbias	0.0293	0.0339	1.1552	G43
TRINITY_DN134460_c0_g1_i5	NA	NA	0.129819235	0.51211165	Brain_mean	unbias	0.013	0.0078	0.5988	G43
TRINITY_DN134460_c1_g1_i1	NA	NA	0.076331046	0.734237394	Brain_mean	unbias	0.0494	0.0689	1.3934	G43
TRINITY_DN134468_c2_g1_i1	NA	NA	-0.244393861	0.218019959	G31_mean	unbias	0.2789	0.5082	1.8224	G43
TRINITY_DN134485_c8_g1_i1	NA	NA	-0.368403047	0.242493451	Brain_mean	unbias	0.0157	0.0163	1.0356	G43
TRINITY_DN134489_c4_g1_i1	NA	NA	0.281377749	0.313333427	Brain_mean	unbias	0.0432	0.0431	0.9983	G43
TRINITY_DN134489_c4_g2_i3	NA	NA	0.289342023	0.656633651	Brain_mean	unbias	0.0777	0.0655	0.8427	G43
TRINITY_DN134490_c0_g1_i3	NA	NA	-0.022991452	0.193977559	G23_mean	unbias	0.0699	0.1016	1.4522	G43
TRINITY_DN134500_c0_g1_i1	NA	NA	0.052041423	0.348657016	Brain_mean	unbias	0.0543	0.065	1.1968	G43
TRINITY_DN134505_c1_g3_i1	NA	NA	-0.155012755	0.24363141	Ovary_mean	unbias	0.0521	0.0622	1.1935	G43
TRINITY_DN134514_c0_g1_i2	NA	NA	0.5092503	0.518355322	Ovary_mean	unbias	0.139	0.1792	1.2895	G43
TRINITY_DN134518_c0_g1_i1	NA	NA	0.298640702	0.173764604	Brain_mean	unbias	0.036	0.0657	1.8256	G43
TRINITY_DN134519_c0_g1_i3	NA	NA	-0.200483884	0.319163328	G27_mean	unbias	0.2266	0.2194	0.9682	G43
TRINITY_DN134519_c1_g6_i6	NA	NA	-0.032300936	0.331212211	Ovary_mean	unbias	0.1341	0.2351	1.7531	G43
TRINITY_DN134521_c1_g1_i1	NA	NA	0.472038328	0.462346622	G27_mean	unbias	0.0566	0.0816	1.4424	G43
TRINITY_DN134527_c2_g1_i1	MGC147475	Chr07	0.092032696	0.311193117	Liver_mean	unbias	0.066	0.0758	1.1489	G43
TRINITY_DN134529_c3_g1_i2	NA	NA	-0.124505813	0.385445486	G27_mean	unbias	0.0602	0.085	1.4114	G43
TRINITY_DN134533_c0_g2_i6	higd1b	Chr10	0.108984199	0.224603635	G23_mean	unbias	0.0748	0.112	1.4972	G43
TRINITY_DN134535_c3_g1_i4	NA	NA	-0.44979314	0.060740835	G43_F_mean	unbias	0.0237	0.0257	1.0825	G43
TRINITY_DN134542_c1_g3_i2	NA	NA	0.62955719	0.594821467	Brain_mean	unbias	0.0701	0.1346	1.9193	G43
TRINITY_DN134556_c5_g1_i1	acsm3	Chr09	-0.571149018	0.442365585	Ovary_mean	unbias	0.1191	0.1659	1.3928	G43
TRINITY_DN134567_c2_g3_i2	Xetrov90004957m	Chr02	-0.01967373	0.247706343	Ovary_mean	unbias	0.1122	0.1797	1.6023	G43
TRINITY_DN134584_c5_g1_i1	mark3	Chr08	0.441917515	0.817465334	Brain_mean	unbias	0.0511	0.0698	1.364	G43
TRINITY_DN134595_c0_g1_i2	NA	NA	0.532613013	0.290555841	Testis_mean	unbias	0.098	0.1398	1.4272	G43
TRINITY_DN134607_c1_g3_i5	slc35a1	Chr05	0.280181302	0.433717358	Brain_mean	unbias	0.0215	0.0286	1.3303	G43
TRINITY_DN134608_c3_g5_i2	NA	NA	0.184238374	0.12732373	Brain_mean	unbias	0.0642	0.1043	1.6241	G43
TRINITY_DN134620_c2_g1_i1	NA	NA	-0.323371679	0.405394123	Liver_mean	unbias	0.0607	0.0732	1.2066	G43
TRINITY_DN134624_c1_g6_i1	NA	NA	0.248130406	0.740593804	Brain_mean	unbias	0.021	0.0221	1.0502	G43
TRINITY_DN134630_c1_g1_i1	NA	NA	0.687283897	0.60287132	Brain_mean	unbias	0.1284	0.1652	1.2868	G43
TRINITY_DN134638_c4_g1_i1	NA	NA	0.168131705	0.487749519	Brain_mean	unbias	0.0942	0.135	1.433	G43
TRINITY_DN134638_c5_g1_i2	skap1	Chr10	0.330849098	0.276411268	Brain_mean	unbias	0.1792	0.2355	1.3145	G43
TRINITY_DN134642_c6_g2_i1	NA	NA	0.511246844	0.429629859	Brain_mean	unbias	0.0167	0.0258	1.5413	G43
TRINITY_DN134648_c0_g1_i1	NA	NA	0.113243104	0.532998359	Ovary_mean	unbias	0.123	0.1863	1.5151	G43
TRINITY_DN134651_c6_g4_i2	NA	NA	0.561837521	0.434766963	Brain_mean	unbias	0.0969	0.1799	1.8573	G43
TRINITY_DN134672_c3_g2_i1	NA	NA	-0.069587366	0.450361769	Brain_mean	unbias	0.1245	0.1307	1.05	G43
TRINITY_DN134676_c2_g2_i2	NA	NA	0.32831539	0.300504351	Brain_mean	unbias	0.0722	0.1019	1.411	G43
TRINITY_DN134691_c0_g1_i1	NA	NA	0.121714904	0.467419206	Brain_mean	unbias	0.0447	0.0809	1.8104	G43
TRINITY_DN134714_c3_g1_i2	fam227b	Chr03	-0.042772343	0.24384507	Brain_mean	unbias	0.032	0.0489	1.5295	G43
TRINITY_DN134717_c3_g1_i3	fzd1	Chr06	0.699203744	0.411278959	Brain_mean	unbias	0.1522	0.1645	1.0807	G43
TRINITY_DN134726_c2_g5_i2	NA	NA	0.507923338	0.334301209	Brain_mean	unbias	0.0946	0.0931	0.984	G43
TRINITY_DN134735_c2_g3_i2	NA	NA	-1.458061109	0.391006979	G27_mean	unbias	0.0719	0.0542	0.7541	G43
TRINITY_DN134735_c4_g2_i4	NA	NA	0.64397155	0.493436966	G23_mean	unbias	0.0961	0.0965	1.0036	G43
TRINITY_DN134774_c1_g2_i2	NA	NA	-0.382887802	0.381697843	Liver_mean	unbias	0.1943	0.383	1.9714	G43
TRINITY_DN134781_c1_g12_i2	Xetrov90008836m	Chr03	-0.321741571	0.107021197	G27_mean	unbias	0.0357	0.0463	1.2969	G43
TRINITY_DN134789_c0_g2_i6	bloc1s1	Chr02	0.047915991	0.565838308	G23_mean	unbias	0.0749	0.1349	1.8018	G43
TRINITY_DN134790_c1_g1_i4	NA	NA	0.32757385	0.190135194	G43_M_mean	unbias	0.0758	0.1134	1.4949	G43
TRINITY_DN134802_c8_g5_i2	NA	NA	0.285756206	0.208788467	G23_mean	unbias	0.064	0.1233	1.9269	G43
TRINITY_DN134824_c3_g6_i5	NA	NA	0.768539046	0.501112623	Ovary_mean	unbias	0.0794	0.1548	1.9479	G43
TRINITY_DN134829_c6_g2_i1	dr1	Chr04	0.406060203	0.673632101	Brain_mean	unbias	0.0244	0.0462	1.8943	G43
TRINITY_DN134835_c6_g3_i1	NA	NA	-0.226459857	0.375395681	Liver_mean	unbias	0.0622	0.1196	1.9248	G43
TRINITY_DN134844_c1_g6_i1	NA	NA	0.171461411	0.536601922	Brain_mean	unbias	0.0469	0.0893	1.9049	G43
TRINITY_DN134850_c2_g14_i1	NA	NA	-0.016022162	0.221668362	Brain_mean	unbias	0.0826	0.1317	1.5939	G43
TRINITY_DN134873_c3_g2_i6	c6orf165	Chr05	0.569988975	0.524614128	Brain_mean	unbias	0.2053	0.345	1.6807	G43
TRINITY_DN134877_c3_g1_i4	NA	NA	0.636160542	0.567431617	Liver_mean	unbias	0.037	0.0685	1.8516	G43
TRINITY_DN134890_c1_g1_i1	NA	NA	0.142184367	0.714703178	Brain_mean	unbias	0.0797	0.1194	1.4982	G43
TRINITY_DN134915_c0_g1_i2	NA	NA	0.281406997	0.29698631	Testis_mean	unbias	0.1256	0.1816	1.4459	G43
TRINITY_DN134924_c0_g2_i1	NA	NA	0.091555017	0.511269222	G43_M_mean	unbias	0.2134	0.3664	1.7169	G43
TRINITY_DN134984_c0_g1_i1	NA	NA	-0.676678627	0.53496871	G46_M_mean	unbias	0.1267	0.2206	1.7406	G43
TRINITY_DN134987_c3_g1_i5	NA	NA	0.177725618	0.402017405	Brain_mean	unbias	0.0505	0.0809	1.6017	G43
TRINITY_DN134998_c0_g3_i2	mbtd1	Chr10	0.062950046	0.561130111	G46_M_mean	unbias	0.1289	0.2311	1.793	G43
TRINITY_DN135015_c6_g6_i1	NA	NA	0.601282756	0.306087776	Brain_mean	unbias	0.035	0.0409	1.1689	G43
TRINITY_DN135033_c2_g1_i1	poll	Chr07	0.422266271	0.228690658	Ovary_mean	unbias	0.0481	0.0533	1.1078	G43
TRINITY_DN135037_c6_g3_i7	NA	NA	0.195307053	0.467494091	Brain_mean	unbias	0.0056	0.0088	1.57	G43
TRINITY_DN135038_c3_g2_i1	NA	NA	0.413768976	0.263526687	Brain_mean	unbias	0.008	0.0067	0.8483	G43
TRINITY_DN135062_c1_g1_i2	NA	NA	-0.251473384	0.223450501	Ovary_mean	unbias	0.0258	0.0413	1.6004	G43
TRINITY_DN135063_c4_g1_i1	NA	NA	0.602262282	0.429736669	Ovary_mean	unbias	0.0392	0.0704	1.7965	G43
TRINITY_DN135097_c0_g3_i1	NA	NA	0.128191155	0.525074968	Brain_mean	unbias	0.0296	0.0399	1.3457	G43
TRINITY_DN135129_c0_g4_i2	LOC100492996	Chr10	0.298590132	0.254105051	G23_mean	unbias	0.0085	0.0118	1.3859	G43
TRINITY_DN135150_c2_g1_i1	NA	NA	0.421470958	0.572806613	Brain_mean	unbias	0.0996	0.1559	1.5647	G43
TRINITY_DN135168_c1_g1_i7	NA	NA	0.052691098	0.364256219	G46_M_mean	unbias	0.0811	0.1298	1.6018	G43
TRINITY_DN135208_c0_g1_i4	NA	NA	0.253597103	0.230897332	G46_M_mean	unbias	0.0966	0.1687	1.747	G43
TRINITY_DN135210_c0_g3_i3	mios	scaffold_73	0.131809868	0.296756624	G23_mean	unbias	0.082	0.1138	1.3882	G43
TRINITY_DN135216_c1_g1_i3	ddost	scaffold_278	0.403162294	0.411139179	Brain_mean	unbias	0.0766	0.078	1.0185	G43
TRINITY_DN135246_c1_g3_i4	wdr5	scaffold_19	0.258913742	0.395425709	Brain_mean	unbias	0.1593	0.1934	1.2139	G43
TRINITY_DN135247_c0_g4_i2	NA	NA	0.442194168	0.25686473	Ovary_mean	unbias	0.0478	0.0542	1.1354	G43
TRINITY_DN135255_c1_g1_i2	phyhipl	Chr07	0.024513544	0.203277271	Brain_mean	unbias	0.0031	0.0052	1.6533	G43
TRINITY_DN135270_c0_g2_i2	cox6a1	Chr01	0.375095769	0.524920951	Brain_mean	unbias	0.0842	0.1228	1.4581	G43
TRINITY_DN135274_c8_g3_i1	NA	NA	1.146507761	0.420585656	Liver_mean	unbias	0.1988	0.3216	1.6178	G43
TRINITY_DN135275_c0_g8_i2	NA	NA	0.354403321	0.435138751	Ovary_mean	unbias	0.0292	0.0411	1.4091	G43
TRINITY_DN135276_c4_g1_i4	arfgap1	scaffold_2620	0.133516194	0.382506516	Brain_mean	unbias	0.0418	0.0504	1.2061	G43
TRINITY_DN135300_c3_g1_i2	NA	NA	1.553309478	0.581599569	Liver_mean	unbias	0.0839	0.1229	1.4644	G43
TRINITY_DN135308_c2_g5_i1	NA	NA	0.005661916	0.370191565	Brain_mean	unbias	0.0799	0.1413	1.7674	G43
TRINITY_DN135311_c1_g1_i4	otud7a-like	Chr03	0.446789805	0.465374076	Brain_mean	unbias	0.0733	0.1128	1.538	G43
TRINITY_DN135322_c0_g2_i1	NA	NA	0.345989794	0.296322204	Brain_mean	unbias	0.0347	0.0408	1.1753	G43
TRINITY_DN135324_c0_g1_i3	NA	NA	0.042320108	0.38884522	Ovary_mean	unbias	0.0667	0.1156	1.732	G43
TRINITY_DN135333_c1_g3_i1	NA	NA	0.690211174	0.716103667	Brain_mean	unbias	0.0246	0.0233	0.9475	G43
TRINITY_DN135337_c5_g4_i2	NA	NA	-0.416115184	0.082911822	G27_mean	unbias	0.1236	0.13	1.0517	G43
TRINITY_DN135346_c0_g1_i2	cuta	Chr08	0.434270871	0.702446636	Brain_mean	unbias	0.0634	0.0667	1.0519	G43
TRINITY_DN135388_c0_g1_i1	NA	NA	0.619988579	0.484551755	Brain_mean	unbias	0.0385	0.0409	1.063	G43
TRINITY_DN135395_c0_g1_i7	NA	NA	0.510939785	0.671879991	Brain_mean	unbias	0.0235	0.0288	1.2276	G43
TRINITY_DN135424_c2_g12_i1	NA	NA	0.598778104	0.265373061	Ovary_mean	unbias	0.0759	0.0915	1.2057	G43
TRINITY_DN135426_c7_g1_i1	NA	NA	0.605656785	0.208646883	Ovary_mean	unbias	0.0829	0.1372	1.6544	G43
TRINITY_DN135447_c0_g1_i1	NA	NA	0.101002139	0.266973338	G23_mean	unbias	0.0467	0.0602	1.2894	G43
TRINITY_DN135454_c0_g10_i2	NA	NA	0.408008609	0.26215251	Ovary_mean	unbias	0.0644	0.1188	1.8446	G43
TRINITY_DN135491_c5_g1_i2	NA	NA	0.045971536	0.314275841	Brain_mean	unbias	0.1117	0.1308	1.1706	G43
TRINITY_DN135499_c8_g1_i2	NA	NA	0.7238547	0.459683114	Ovary_mean	unbias	0.0476	0.0674	1.4151	G43
TRINITY_DN135508_c5_g1_i1	NA	NA	0.748479623	0.371430798	Ovary_mean	unbias	0.0726	0.0912	1.2567	G43
TRINITY_DN135511_c9_g3_i2	NA	NA	0.003061089	0.186357835	Ovary_mean	unbias	0.001	0.0007	0.6854	G43
TRINITY_DN135515_c5_g1_i1	zbtb38	Chr05	0.069604403	0.226398291	G43_M_mean	unbias	0.1519	0.2169	1.4281	G43
TRINITY_DN135520_c6_g7_i1	NA	NA	0.265834148	0.624604725	Brain_mean	unbias	0.0103	0.0158	1.532	G43
TRINITY_DN135523_c2_g3_i1	NA	NA	0.506339997	0.323602601	Brain_mean	unbias	0.1301	0.2457	1.8885	G43
TRINITY_DN135527_c0_g2_i2	drg1	Chr01	0.753706962	0.527577954	Testis_mean	unbias	0.1844	0.2689	1.4581	G43
TRINITY_DN135545_c1_g1_i6	NA	NA	0.282430996	0.826471048	Brain_mean	unbias	0.0538	0.087	1.616	G43
TRINITY_DN135552_c3_g2_i3	tmem125-like	Chr04	0.263026452	0.254808407	Testis_mean	unbias	0.0806	0.1117	1.3872	G43
TRINITY_DN135562_c3_g3_i4	NA	NA	0.443185765	0.443758522	Brain_mean	unbias	0.0637	0.0882	1.385	G43
TRINITY_DN135570_c1_g2_i2	ralgps2-like	Chr04	0.279142544	0.380881685	Liver_mean	unbias	0.0391	0.0601	1.5381	G43
TRINITY_DN135571_c1_g2_i3	LOC100487194-like	Chr02	-0.211943131	0.534689812	Brain_mean	unbias	0.1025	0.1063	1.0371	G43
TRINITY_DN135572_c0_g1_i1	LOC100496565	Chr05	0.445475262	0.352199039	Liver_mean	unbias	0.0716	0.1212	1.6927	G43
TRINITY_DN135597_c8_g1_i1	NA	NA	0.272388645	0.212416911	Ovary_mean	unbias	0.0437	0.0676	1.5469	G43
TRINITY_DN135612_c2_g36_i1	NA	NA	0.02580565	0.2371607	Ovary_mean	unbias	0.0369	0.0559	1.5158	G43
TRINITY_DN135624_c0_g4_i1	NA	NA	-0.178229086	0.187009541	Ovary_mean	unbias	0.0332	0.0234	0.7041	G43
TRINITY_DN135662_c0_g1_i1	NA	NA	-0.304704607	0.428417655	Ovary_mean	unbias	0.0722	0.1213	1.6791	G43
TRINITY_DN135669_c0_g2_i3	qpctl-like	Chr08	0.177097449	0.543028938	Brain_mean	unbias	0.0462	0.0736	1.5953	G43
TRINITY_DN135689_c0_g1_i1	NA	NA	-0.165704784	0.379681004	G46_F_mean	unbias	0.141	0.2403	1.7039	G43
TRINITY_DN135724_c6_g3_i2	NA	NA	0.515033222	0.789191656	Brain_mean	unbias	0.0411	0.0497	1.2101	G43
TRINITY_DN135725_c0_g1_i4	NA	NA	0.282858772	0.238385847	Ovary_mean	unbias	0.1847	0.3346	1.812	G43
TRINITY_DN135726_c2_g1_i3	NA	NA	0.152565666	0.267911546	Brain_mean	unbias	0.1143	0.1672	1.4635	G43
TRINITY_DN135730_c2_g1_i1	sez6l	Chr01	0.524174937	0.272179318	Testis_mean	unbias	0.1476	0.1705	1.1552	G43
TRINITY_DN135762_c3_g2_i1	wdr86	Chr06	-0.154973617	0.062109372	G31_mean	unbias	0.0087	0.0133	1.5222	G43
TRINITY_DN135768_c6_g1_i1	NA	NA	0.277735263	0.460167688	Ovary_mean	unbias	0.0696	0.1233	1.7707	G43
TRINITY_DN135770_c6_g3_i1	prpf4b	Chr06	0.55368343	0.233840382	G46_M_mean	unbias	0.0514	0.0772	1.5002	G43
TRINITY_DN135770_c7_g1_i5	NA	NA	0.024033767	0.211564306	Ovary_mean	unbias	0.0317	0.0285	0.899	G43
TRINITY_DN135777_c1_g2_i5	NA	NA	0.008186972	0.26781396	G23_mean	unbias	0.0488	0.079	1.6175	G43
TRINITY_DN135789_c1_g3_i3	krt2l	Chr02	0.03804508	0.331738233	G23_mean	unbias	0.1807	0.2647	1.4653	G43
TRINITY_DN135791_c2_g1_i2	NA	NA	0.4837717	0.320551468	Brain_mean	unbias	0.061	0.0967	1.5856	G43
TRINITY_DN135792_c1_g1_i3	NA	NA	0.299655633	0.249973055	Brain_mean	unbias	0.0076	0.0083	1.1045	G43
TRINITY_DN135793_c0_g3_i4	NA	NA	-0.107669511	0.442985387	G23_mean	unbias	0.2174	0.1271	0.5843	G43
TRINITY_DN135794_c6_g1_i6	NA	NA	-0.019786703	0.459144798	Brain_mean	unbias	0.1477	0.1604	1.0864	G43
TRINITY_DN135819_c3_g2_i2	NA	NA	0.426138738	0.702071059	Brain_mean	unbias	0.1051	0.1963	1.8672	G43
TRINITY_DN135846_c0_g1_i1	NA	NA	0.418815289	0.324287472	Brain_mean	unbias	0.0986	0.1766	1.7917	G43
TRINITY_DN135855_c0_g1_i2	NA	NA	0.187652999	0.338488425	Brain_mean	unbias	0.0258	0.0245	0.95	G43
TRINITY_DN135885_c1_g5_i1	NA	NA	-0.061152002	0.196911897	Ovary_mean	unbias	0.0189	0.0231	1.2184	G43
TRINITY_DN135890_c1_g6_i7	NA	NA	0.263567295	0.276231175	G23_mean	unbias	0.0692	0.1005	1.4521	G43
TRINITY_DN135940_c1_g2_i4	NA	NA	0.139555865	0.56752088	G46_M_mean	unbias	0.3175	0.5152	1.6229	G43
TRINITY_DN135967_c0_g3_i5	NA	NA	0.420933084	0.489109188	Brain_mean	unbias	0.0256	0.0315	1.2279	G43
TRINITY_DN135969_c1_g2_i1	NA	NA	0.371724272	0.474984769	Brain_mean	unbias	0.0554	0.0804	1.4516	G43
TRINITY_DN135989_c1_g1_i4	NA	NA	-0.225107404	0.212941861	Ovary_mean	unbias	0.0445	0.0566	1.271	G43
TRINITY_DN136012_c1_g1_i5	NA	NA	0.305533715	0.673241063	Brain_mean	unbias	0.0347	0.0521	1.5013	G43
TRINITY_DN136028_c0_g2_i1	NA	NA	0.534681033	0.393603755	Brain_mean	unbias	0.0798	0.1352	1.6938	G43
TRINITY_DN136031_c6_g1_i4	NA	NA	0.347832393	0.241923941	G27_mean	unbias	0.0755	0.0947	1.2544	G43
TRINITY_DN136037_c0_g3_i3	NA	NA	0.362831077	0.378355704	Ovary_mean	unbias	0.0514	0.0749	1.4594	G43
TRINITY_DN136050_c3_g1_i13	myo1c-like	Chr02	0.244918826	0.238965526	G23_mean	unbias	0.043	0.0746	1.7357	G43
TRINITY_DN136067_c0_g1_i1	NA	NA	0.408707573	0.784473404	Liver_mean	unbias	0.1373	0.2353	1.7137	G43
TRINITY_DN136077_c9_g5_i3	NA	NA	-0.396665963	0.101720701	Brain_mean	unbias	0.1095	0.1384	1.2643	G43
TRINITY_DN136086_c0_g1_i1	NA	NA	0.467840034	0.13033578	G43_M_mean	unbias	0.101	0.1665	1.6484	G43
TRINITY_DN136088_c0_g4_i1	NA	NA	0.21666594	0.456747408	Liver_mean	unbias	0.0913	0.1612	1.7662	G43
TRINITY_DN136089_c6_g1_i1	NA	NA	-0.051299564	0.135274093	G23_mean	unbias	0.0096	0.0087	0.9111	G43
TRINITY_DN136091_c9_g1_i1	NA	NA	0.094640137	0.242775758	Ovary_mean	unbias	0.0452	0.0598	1.3228	G43
TRINITY_DN136100_c3_g1_i2	NA	NA	-0.017759697	0.210397109	G23_mean	unbias	0.001	0.001	0.9545	G43
TRINITY_DN136118_c3_g2_i3	gpr12-like	Chr02	-0.189412681	0.253782605	Ovary_mean	unbias	0.1239	0.1773	1.4309	G43
TRINITY_DN136120_c7_g1_i1	NA	NA	-0.158483977	0.287785549	Brain_mean	unbias	0.1453	0.2148	1.4782	G43
TRINITY_DN136152_c0_g2_i2	Xetrov90017467m	Chr07	0.319144883	0.398774147	Brain_mean	unbias	0.0649	0.1073	1.6543	G43
TRINITY_DN136170_c8_g10_i10	sulf2	Chr10	0.546291414	0.425076777	Brain_mean	unbias	0.032	0.0293	0.9155	G43
TRINITY_DN136172_c1_g1_i3	NA	NA	0.754009923	0.254397753	G23_mean	unbias	0.1469	0.2299	1.5652	G43
TRINITY_DN136176_c0_g1_i4	NA	NA	0.795931329	0.303794968	G46_M_mean	unbias	0.0268	0.0408	1.5206	G43
TRINITY_DN136188_c1_g1_i1	NA	NA	0.346850589	0.567222776	Brain_mean	unbias	0.0701	0.071	1.0125	G43
TRINITY_DN136201_c7_g1_i2	LOC733765	Chr04	0.06011136	0.211661614	Ovary_mean	unbias	0.0379	0.0617	1.6287	G43
TRINITY_DN136201_c8_g1_i1	NA	NA	0.170366176	0.325974436	Brain_mean	unbias	0.0879	0.0902	1.0268	G43
