chr	chrid	trans	dNdS	dN	dS				
Chr02	sexchr	TRINITY_DN126335_c1_g3_i3	0.1354	0.2265	1.6721				
Chr02	sexchr	TRINITY_DN123891_c0_g1_i1	0.0458	0.0766	1.6723				
Chr02	sexchr	TRINITY_DN129034_c7_g7_i3	0.2782	0.4653	1.6724				
Chr02	sexchr	TRINITY_DN128405_c2_g2_i1	0.1094	0.183	1.673				
Chr02	sexchr	TRINITY_DN129474_c1_g1_i2	0.0693	0.1159	1.6738				
Chr02	sexchr	TRINITY_DN121008_c0_g1_i1	0.0699	0.1169	1.6738				
Chr02	sexchr	TRINITY_DN131380_c5_g1_i2	0.1994	0.3338	1.6739				
Chr02	sexchr	TRINITY_DN133955_c2_g1_i1	0.049	0.0821	1.6753				
Chr02	sexchr	TRINITY_DN128278_c6_g9_i1	0.1328	0.2226	1.6767				
Chr02	sexchr	TRINITY_DN123138_c0_g1_i2	0.0302	0.0507	1.6781				
Chr02	sexchr	TRINITY_DN134636_c1_g1_i2	0.0568	0.0954	1.6801				
Chr02	sexchr	TRINITY_DN123295_c1_g1_i2	0.0715	0.1203	1.6819				
Chr02	sexchr	TRINITY_DN119565_c0_g1_i1	0.1046	0.176	1.6821				
Chr02	sexchr	TRINITY_DN119069_c0_g1_i2	0.0675	0.1135	1.6829				
Chr02	sexchr	TRINITY_DN129503_c1_g1_i2	0.1101	0.1858	1.687				
Chr02	sexchr	TRINITY_DN131284_c7_g2_i1	0.065	0.1096	1.6871				
Chr02	sexchr	TRINITY_DN111670_c0_g1_i1	0.1353	0.2288	1.6909				
Chr02	sexchr	TRINITY_DN117619_c0_g1_i1	0.093	0.1574	1.6927				
Chr02	sexchr	TRINITY_DN108539_c0_g1_i2	0.0422	0.0714	1.6932				
Chr02	sexchr	TRINITY_DN122919_c1_g3_i3	0.2328	0.3941	1.6933				
Chr02	sexchr	TRINITY_DN131421_c0_g1_i4	0.0618	0.1046	1.694				
Chr02	sexchr	TRINITY_DN127937_c0_g1_i4	0.2681	0.4545	1.6953				
Chr02	sexchr	TRINITY_DN125935_c1_g1_i2	0.0338	0.0573	1.6954				
Chr02	sexchr	TRINITY_DN168379_c0_g1_i1	0.1207	0.2047	1.6956				
Chr02	sexchr	TRINITY_DN119027_c0_g1_i5	0.0742	0.1257	1.6957				
Chr02	sexchr	TRINITY_DN112907_c0_g2_i1	0.0792	0.1344	1.696				
Chr02	sexchr	TRINITY_DN121282_c0_g1_i1	0.0958	0.1626	1.6979				
Chr02	sexchr	TRINITY_DN124416_c2_g1_i1	0.0201	0.0341	1.6994				
Chr02	sexchr	TRINITY_DN132485_c2_g2_i9	0.0889	0.1511	1.6998				
Chr02	sexchr	TRINITY_DN117883_c0_g1_i1	0.0482	0.082	1.7006				
Chr02	sexchr	TRINITY_DN124538_c2_g6_i1	0.0896	0.1524	1.7012				
Chr02	sexchr	TRINITY_DN136686_c3_g1_i2	0.0925	0.1573	1.7012				
Chr02	sexchr	TRINITY_DN132355_c6_g2_i1	0.1039	0.1767	1.7014				
Chr02	sexchr	TRINITY_DN111362_c0_g1_i1	0.1293	0.2201	1.7016				
Chr02	sexchr	TRINITY_DN132708_c6_g3_i1	0.0937	0.1594	1.7017				
Chr02	sexchr	TRINITY_DN131995_c1_g1_i1	0.0856	0.1457	1.7028				
Chr02	sexchr	TRINITY_DN118271_c0_g1_i1	0.0846	0.1441	1.7034				
Chr02	sexchr	TRINITY_DN129640_c0_g1_i1	0.2208	0.3761	1.7034				
Chr02	sexchr	TRINITY_DN122083_c0_g2_i2	0.088	0.15	1.7046				
Chr02	sexchr	TRINITY_DN131236_c0_g1_i1	0.0797	0.1358	1.7047				
Chr02	sexchr	TRINITY_DN129273_c5_g3_i1	0.051	0.087	1.7053				
Chr02	sexchr	TRINITY_DN114649_c0_g1_i2	0.0012	0.0021	1.7061				
Chr02	sexchr	TRINITY_DN129085_c1_g2_i1	0.1555	0.2657	1.7081				
Chr02	sexchr	TRINITY_DN126098_c0_g2_i6	0.1442	0.2464	1.7091				
Chr02	sexchr	TRINITY_DN102469_c0_g1_i1	0.1875	0.3205	1.7093				
Chr02	sexchr	TRINITY_DN120710_c1_g1_i1	0.0969	0.1658	1.7103				
Chr02	sexchr	TRINITY_DN121856_c0_g1_i1	0.0153	0.0262	1.7108				
Chr02	sexchr	TRINITY_DN118281_c0_g1_i1	0.1003	0.1719	1.7135				
Chr02	sexchr	TRINITY_DN136067_c0_g1_i1	0.1373	0.2353	1.7137				
Chr02	sexchr	TRINITY_DN117151_c0_g2_i3	0.0367	0.0629	1.714				
Chr02	sexchr	TRINITY_DN121465_c4_g2_i1	0.1415	0.2426	1.7147				
Chr02	sexchr	TRINITY_DN123521_c1_g1_i2	0.1448	0.2484	1.7154				
Chr02	sexchr	TRINITY_DN129499_c0_g1_i2	0.0766	0.1314	1.7167				
Chr02	sexchr	TRINITY_DN129327_c0_g1_i2	0.1754	0.3011	1.7168				
Chr02	sexchr	TRINITY_DN130581_c0_g1_i2	0.1353	0.2326	1.7186				
Chr02	sexchr	TRINITY_DN126361_c3_g1_i1	0.0565	0.0971	1.7192				
Chr02	sexchr	TRINITY_DN127721_c0_g1_i2	0.1101	0.1895	1.7206				
Chr02	sexchr	TRINITY_DN125139_c1_g2_i1	0.0233	0.0401	1.7208				
Chr02	sexchr	TRINITY_DN118194_c0_g1_i3	0.0788	0.1357	1.7225				
Chr02	sexchr	TRINITY_DN119209_c1_g2_i1	0.0949	0.1636	1.7242				
Chr02	sexchr	TRINITY_DN125723_c1_g4_i2	0.0318	0.0548	1.7243				
Chr02	sexchr	TRINITY_DN124993_c2_g1_i4	0.1243	0.2145	1.7251				
Chr02	sexchr	TRINITY_DN118280_c0_g1_i2	0.0714	0.1232	1.7263				
Chr02	sexchr	TRINITY_DN130784_c3_g1_i5	0.0597	0.1032	1.7293				
Chr02	sexchr	TRINITY_DN124940_c8_g1_i2	0.1329	0.2301	1.7306				
Chr02	sexchr	TRINITY_DN126273_c0_g2_i4	0.079	0.1368	1.7323				
Chr02	sexchr	TRINITY_DN121407_c0_g1_i1	0.1344	0.233	1.7334				
Chr02	sexchr	TRINITY_DN122261_c0_g1_i1	0.0976	0.1693	1.7336				
Chr02	sexchr	TRINITY_DN122740_c3_g1_i2	0.1105	0.1917	1.734				
Chr02	sexchr	TRINITY_DN93605_c0_g1_i1	0.21	0.3647	1.737				
Chr02	sexchr	TRINITY_DN130367_c5_g5_i2	0.0208	0.0362	1.7379				
Chr02	sexchr	TRINITY_DN116179_c0_g1_i1	0.1107	0.1926	1.7396				
Chr02	sexchr	TRINITY_DN118947_c0_g1_i5	0.0692	0.1204	1.7398				
Chr02	sexchr	TRINITY_DN119938_c1_g2_i1	0.0883	0.1538	1.741				
Chr02	sexchr	TRINITY_DN123119_c7_g4_i2	0.0726	0.1267	1.7448				
Chr02	sexchr	TRINITY_DN129262_c0_g1_i1	0.0512	0.0894	1.7464				
Chr02	sexchr	TRINITY_DN125723_c1_g1_i5	0.0399	0.0698	1.7481				
Chr02	sexchr	TRINITY_DN125361_c0_g2_i1	0.0917	0.1602	1.7484				
Chr02	sexchr	TRINITY_DN132014_c1_g4_i2	0.1462	0.2558	1.75				
Chr02	sexchr	TRINITY_DN127077_c3_g1_i2	0.0875	0.1531	1.7504				
Chr02	sexchr	TRINITY_DN117073_c0_g1_i1	0.0675	0.1184	1.7537				
Chr02	sexchr	TRINITY_DN116290_c0_g1_i1	0.0392	0.0687	1.755				
Chr02	sexchr	TRINITY_DN130683_c3_g1_i1	0.0855	0.1501	1.7554				
Chr02	sexchr	TRINITY_DN128466_c0_g1_i1	0.1246	0.2192	1.7596				
Chr02	sexchr	TRINITY_DN117018_c0_g1_i1	0.0431	0.0758	1.7598				
Chr02	sexchr	TRINITY_DN135068_c0_g3_i4	0.1701	0.2997	1.7625				
Chr02	sexchr	TRINITY_DN113355_c0_g1_i2	0.0768	0.1356	1.7658				
Chr02	sexchr	TRINITY_DN131641_c0_g3_i2	0.0184	0.0325	1.7666				
Chr02	sexchr	TRINITY_DN122882_c0_g1_i2	0.1385	0.2447	1.767				
Chr02	sexchr	TRINITY_DN114776_c0_g1_i3	0.1473	0.2605	1.7677				
Chr02	sexchr	TRINITY_DN118222_c1_g1_i2	0.0709	0.1254	1.768				
Chr02	sexchr	TRINITY_DN103209_c0_g3_i2	0.1141	0.2017	1.7681				
Chr02	sexchr	TRINITY_DN113561_c0_g1_i1	0.1627	0.2879	1.7688				
Chr02	sexchr	TRINITY_DN107787_c0_g1_i1	0.0922	0.1632	1.7702				
Chr02	sexchr	TRINITY_DN118360_c0_g1_i2	0.166	0.2942	1.7725				
Chr02	sexchr	TRINITY_DN132782_c0_g1_i7	0.1599	0.2834	1.7727				
Chr02	sexchr	TRINITY_DN123968_c0_g1_i1	0.0666	0.1181	1.7734				
Chr02	sexchr	TRINITY_DN131632_c1_g1_i1	0.055	0.0979	1.7786				
Chr02	sexchr	TRINITY_DN119519_c0_g1_i2	0.0387	0.0688	1.779				
Chr02	sexchr	TRINITY_DN132942_c0_g1_i5	0.1217	0.2165	1.7795				
Chr02	sexchr	TRINITY_DN117743_c3_g1_i2	0.039	0.0694	1.7797				
Chr02	sexchr	TRINITY_DN131837_c0_g1_i2	0.1502	0.2674	1.78				
Chr02	sexchr	TRINITY_DN131211_c3_g2_i1	0.0425	0.0757	1.7803				
Chr02	sexchr	TRINITY_DN92573_c0_g1_i1	0.0689	0.1227	1.7804				
Chr02	sexchr	TRINITY_DN134521_c1_g11_i1	0.2121	0.3776	1.7804				
Chr02	sexchr	TRINITY_DN116391_c0_g1_i1	0.0535	0.0953	1.7805				
Chr02	sexchr	TRINITY_DN125596_c2_g5_i4	0.128	0.228	1.782				
Chr02	sexchr	TRINITY_DN125827_c1_g1_i1	0.0655	0.1168	1.7822				
Chr02	sexchr	TRINITY_DN121879_c1_g1_i5	0.057	0.1016	1.7828				
Chr02	sexchr	TRINITY_DN117339_c0_g2_i1	0.12	0.214	1.7833				
Chr02	sexchr	TRINITY_DN119613_c0_g2_i1	0.0509	0.0908	1.7846				
Chr02	sexchr	TRINITY_DN126615_c1_g1_i1	0.0762	0.1362	1.7871				
Chr02	sexchr	TRINITY_DN135566_c1_g1_i3	0.0767	0.1373	1.7906				
Chr02	sexchr	TRINITY_DN115612_c0_g2_i2	0.0317	0.0567	1.7925				
Chr02	sexchr	TRINITY_DN92438_c0_g1_i1	0.1061	0.1902	1.7927				
Chr02	sexchr	TRINITY_DN119159_c0_g3_i2	0.0282	0.0506	1.7928				
Chr02	sexchr	TRINITY_DN121611_c0_g1_i3	0.0366	0.0656	1.7937				
Chr02	sexchr	TRINITY_DN130021_c0_g3_i2	0.0812	0.1457	1.7942				
Chr02	sexchr	TRINITY_DN55634_c0_g2_i1	0.1004	0.1801	1.7946				
Chr02	sexchr	TRINITY_DN111569_c0_g1_i1	0.1975	0.3546	1.7958				
Chr02	sexchr	TRINITY_DN136167_c0_g1_i1	0.136	0.2442	1.7964				
Chr02	sexchr	TRINITY_DN131067_c2_g1_i4	0.0548	0.0984	1.7969				
Chr02	sexchr	TRINITY_DN132324_c0_g1_i2	0.0371	0.0667	1.7977				
Chr02	sexchr	TRINITY_DN123821_c0_g1_i1	0.084	0.1512	1.8005				
Chr02	sexchr	TRINITY_DN212712_c0_g1_i1	0.0274	0.0493	1.8015				
Chr02	sexchr	TRINITY_DN126349_c0_g1_i2	0.1078	0.1942	1.8015				
Chr02	sexchr	TRINITY_DN132791_c0_g2_i1	0.0417	0.0751	1.802				
Chr02	sexchr	TRINITY_DN125023_c3_g4_i1	0.0771	0.1391	1.8031				
Chr02	sexchr	TRINITY_DN126113_c4_g2_i1	0.0109	0.0196	1.8058				
Chr02	sexchr	TRINITY_DN130661_c0_g1_i3	0.1035	0.1869	1.8059				
Chr02	sexchr	TRINITY_DN126871_c1_g3_i1	0.0237	0.0428	1.8063				
Chr02	sexchr	TRINITY_DN133929_c5_g3_i4	0.0705	0.1273	1.8065				
Chr02	sexchr	TRINITY_DN125483_c0_g3_i1	0.181	0.3272	1.8077				
Chr02	sexchr	TRINITY_DN134768_c0_g1_i1	0.0516	0.0934	1.8099				
Chr02	sexchr	TRINITY_DN120483_c0_g1_i3	0.0911	0.1652	1.8126				
Chr02	sexchr	TRINITY_DN135721_c0_g1_i2	0.1349	0.2447	1.8135				
Chr02	sexchr	TRINITY_DN123034_c0_g1_i1	0.1239	0.2248	1.8145				
Chr02	sexchr	TRINITY_DN101488_c0_g2_i2	0.0471	0.0856	1.8187				
Chr02	sexchr	TRINITY_DN198004_c0_g1_i1	0.1267	0.2307	1.8211				
Chr02	sexchr	TRINITY_DN129227_c0_g2_i2	0.1168	0.213	1.8241				
Chr02	sexchr	TRINITY_DN124000_c0_g1_i1	0.053	0.0968	1.8251				
Chr02	sexchr	TRINITY_DN85438_c0_g1_i1	0.2485	0.4538	1.8261				
Chr02	sexchr	TRINITY_DN126126_c0_g1_i1	0.0846	0.1546	1.8271				
Chr02	sexchr	TRINITY_DN119065_c0_g1_i2	0.1169	0.2135	1.8274				
Chr02	sexchr	TRINITY_DN129880_c2_g1_i1	0.1399	0.2557	1.8283				
Chr02	sexchr	TRINITY_DN110146_c0_g1_i3	0.0728	0.1335	1.8353				
Chr02	sexchr	TRINITY_DN132185_c3_g10_i3	0.053	0.0974	1.8355				
Chr02	sexchr	TRINITY_DN126536_c5_g1_i1	0.0626	0.115	1.8362				
Chr02	sexchr	TRINITY_DN120270_c0_g1_i1	0.0295	0.0543	1.8374				
Chr02	sexchr	TRINITY_DN107761_c0_g1_i1	0.0647	0.1191	1.8409				
Chr02	sexchr	TRINITY_DN131443_c0_g2_i3	0.0646	0.1189	1.841				
Chr02	sexchr	TRINITY_DN127268_c2_g4_i6	0.158	0.2908	1.8412				
Chr02	sexchr	TRINITY_DN132305_c3_g4_i3	0.1371	0.2527	1.8432				
Chr02	sexchr	TRINITY_DN134432_c1_g1_i2	0.085	0.1569	1.8464				
Chr02	sexchr	TRINITY_DN132328_c1_g1_i1	0.1146	0.2122	1.8521				
Chr02	sexchr	TRINITY_DN125364_c0_g2_i1	0.0244	0.0453	1.8556				
Chr02	sexchr	TRINITY_DN130045_c0_g4_i1	0.098	0.182	1.8561				
Chr02	sexchr	TRINITY_DN114653_c0_g2_i1	0.0612	0.1138	1.858				
Chr02	sexchr	TRINITY_DN134067_c2_g1_i1	0.1048	0.1949	1.8594				
Chr02	sexchr	TRINITY_DN120090_c0_g1_i1	0.1908	0.3549	1.8601				
Chr02	sexchr	TRINITY_DN123426_c1_g4_i1	0.0974	0.1812	1.8611				
Chr02	sexchr	TRINITY_DN112742_c0_g1_i1	0.0243	0.0452	1.8632				
Chr02	sexchr	TRINITY_DN123711_c0_g1_i1	0.1601	0.2984	1.8647				
Chr02	sexchr	TRINITY_DN134122_c6_g1_i1	0.0504	0.0941	1.8657				
Chr02	sexchr	TRINITY_DN131757_c0_g1_i8	0.0977	0.1826	1.8685				
Chr02	sexchr	TRINITY_DN126528_c1_g1_i1	0.0618	0.1155	1.8687				
Chr02	sexchr	TRINITY_DN47241_c0_g1_i1	0.0689	0.1287	1.8687				
Chr02	sexchr	TRINITY_DN93628_c0_g1_i1	0.1214	0.2269	1.8687				
Chr02	sexchr	TRINITY_DN129349_c0_g4_i6	0.0537	0.1003	1.8701				
Chr02	sexchr	TRINITY_DN134124_c1_g1_i1	0.0707	0.1323	1.8704				
Chr02	sexchr	TRINITY_DN130530_c0_g1_i2	0.0903	0.1692	1.874				
Chr02	sexchr	TRINITY_DN132126_c1_g8_i2	0.0067	0.0126	1.8778				
Chr02	sexchr	TRINITY_DN73171_c0_g1_i1	0.0551	0.1035	1.8781				
Chr02	sexchr	TRINITY_DN131239_c1_g1_i1	0.053	0.0996	1.8802				
Chr02	sexchr	TRINITY_DN134410_c0_g2_i3	0.0796	0.1498	1.882				
Chr02	sexchr	TRINITY_DN122976_c0_g2_i2	0.1022	0.1924	1.8824				
Chr02	sexchr	TRINITY_DN132494_c2_g3_i3	0.0726	0.1367	1.8825				
Chr02	sexchr	TRINITY_DN116146_c0_g1_i1	0.0355	0.0668	1.8827				
Chr02	sexchr	TRINITY_DN114942_c0_g1_i1	0.0586	0.1103	1.8842				
Chr02	sexchr	TRINITY_DN130505_c1_g1_i3	0.0855	0.1612	1.8853				
Chr02	sexchr	TRINITY_DN134142_c5_g1_i2	0.0908	0.1712	1.8853				
Chr02	sexchr	TRINITY_DN120071_c0_g1_i2	0.0762	0.1438	1.8866				
Chr02	sexchr	TRINITY_DN119893_c0_g1_i1	0.0808	0.1527	1.8887				
Chr02	sexchr	TRINITY_DN122528_c0_g2_i1	0.1324	0.2502	1.8887				
Chr02	sexchr	TRINITY_DN136634_c8_g12_i2	0.0768	0.1451	1.8889				
Chr02	sexchr	TRINITY_DN133444_c0_g2_i2	0.0221	0.0418	1.8893				
Chr02	sexchr	TRINITY_DN119883_c0_g5_i1	0.1512	0.2858	1.8909				
Chr02	sexchr	TRINITY_DN115635_c0_g1_i1	0.0795	0.1503	1.8919				
Chr02	sexchr	TRINITY_DN134753_c4_g3_i2	0.0551	0.1043	1.893				
Chr02	sexchr	TRINITY_DN124215_c0_g2_i2	0.0714	0.1353	1.8947				
Chr02	sexchr	TRINITY_DN132837_c1_g2_i2	0.0345	0.0653	1.8956				
Chr02	sexchr	TRINITY_DN129648_c0_g1_i3	0.1854	0.3515	1.8961				
Chr02	sexchr	TRINITY_DN136241_c3_g1_i3	0.0741	0.1405	1.8971				
Chr02	sexchr	TRINITY_DN130695_c1_g1_i1	0.0223	0.0423	1.8998				
Chr02	sexchr	TRINITY_DN126600_c0_g1_i1	0.0881	0.1674	1.9005				
Chr02	sexchr	TRINITY_DN125269_c2_g1_i2	0.0455	0.0865	1.9026				
Chr02	sexchr	TRINITY_DN125043_c0_g2_i6	0.0503	0.0958	1.9045				
Chr02	sexchr	TRINITY_DN121119_c0_g1_i1	0.0973	0.1856	1.907				
Chr02	sexchr	TRINITY_DN128032_c3_g1_i2	0.0675	0.1288	1.9078				
Chr02	sexchr	TRINITY_DN116369_c0_g1_i1	0.021	0.0401	1.9085				
Chr02	sexchr	TRINITY_DN126178_c1_g1_i1	0.0806	0.1539	1.9085				
Chr02	sexchr	TRINITY_DN127749_c2_g2_i1	0.0655	0.1251	1.9099				
Chr02	sexchr	TRINITY_DN122348_c0_g1_i1	0.0847	0.1619	1.9114				
Chr02	sexchr	TRINITY_DN132653_c4_g1_i2	0.0908	0.1735	1.9115				
Chr02	sexchr	TRINITY_DN126364_c9_g2_i2	0.095	0.1817	1.9127				
Chr02	sexchr	TRINITY_DN129650_c5_g1_i1	0.0941	0.1803	1.9162				
Chr02	sexchr	TRINITY_DN130616_c1_g1_i3	0.0882	0.169	1.9171				
Chr02	sexchr	TRINITY_DN132365_c2_g1_i2	0.0619	0.1188	1.9184				
Chr02	sexchr	TRINITY_DN125295_c0_g1_i1	0.0184	0.0353	1.9197				
Chr02	sexchr	TRINITY_DN126998_c0_g2_i3	0.1018	0.1954	1.9199				
Chr02	sexchr	TRINITY_DN128317_c0_g1_i1	0.1906	0.3666	1.9233				
Chr02	sexchr	TRINITY_DN108580_c0_g1_i1	0.0568	0.1092	1.9239				
Chr02	sexchr	TRINITY_DN134835_c6_g3_i1	0.0622	0.1196	1.9248				
Chr02	sexchr	TRINITY_DN132634_c3_g4_i2	0.0451	0.087	1.9275				
Chr02	sexchr	TRINITY_DN114886_c0_g1_i1	0.1005	0.194	1.9307				
Chr02	sexchr	TRINITY_DN118203_c0_g1_i1	0.0849	0.1639	1.9314				
Chr02	sexchr	TRINITY_DN130554_c2_g1_i3	0.1056	0.2041	1.9331				
Chr02	sexchr	TRINITY_DN125269_c4_g1_i3	0.06	0.116	1.9352				
Chr02	sexchr	TRINITY_DN130430_c1_g1_i2	0.0939	0.1819	1.9373				
Chr02	sexchr	TRINITY_DN120860_c0_g1_i1	0.1222	0.2372	1.9401				
Chr02	sexchr	TRINITY_DN134910_c0_g3_i1	0.1493	0.2896	1.9402				
Chr02	sexchr	TRINITY_DN128755_c0_g2_i5	0.0682	0.1326	1.9432				
Chr02	sexchr	TRINITY_DN113248_c0_g1_i1	0.0746	0.145	1.9443				
Chr02	sexchr	TRINITY_DN131500_c0_g1_i1	0.0374	0.0728	1.9454				
Chr02	sexchr	TRINITY_DN133322_c0_g2_i1	0.0366	0.0711	1.9464				
Chr02	sexchr	TRINITY_DN127961_c1_g13_i1	0.0382	0.0744	1.9479				
Chr02	sexchr	TRINITY_DN124459_c0_g1_i1	0.0899	0.1753	1.9499				
Chr02	sexchr	TRINITY_DN123707_c0_g2_i3	0.0735	0.1433	1.9502				
Chr02	sexchr	TRINITY_DN94462_c0_g2_i1	0.0536	0.1048	1.9561				
Chr02	sexchr	TRINITY_DN125127_c2_g1_i1	0.1047	0.2048	1.9564				
Chr02	sexchr	TRINITY_DN131952_c0_g2_i1	0.1446	0.2829	1.9571				
Chr02	sexchr	TRINITY_DN126907_c6_g5_i1	0.0644	0.1261	1.9583				
Chr02	sexchr	TRINITY_DN122326_c0_g1_i2	0.0678	0.1328	1.9588				
Chr02	sexchr	TRINITY_DN133835_c0_g1_i1	0.226	0.4428	1.9594				
Chr02	sexchr	TRINITY_DN124339_c3_g2_i2	0.1015	0.199	1.9596				
Chr02	sexchr	TRINITY_DN121132_c2_g1_i5	0.0979	0.1921	1.9622				
Chr02	sexchr	TRINITY_DN114622_c0_g1_i3	0.0309	0.0607	1.9637				
Chr02	sexchr	TRINITY_DN127460_c3_g2_i1	0.027	0.053	1.9646				
Chr02	sexchr	TRINITY_DN125043_c0_g5_i1	0.1244	0.2444	1.9657				
Chr02	sexchr	TRINITY_DN129687_c0_g1_i3	0.0324	0.0638	1.9673				
Chr02	sexchr	TRINITY_DN129322_c1_g3_i1	0.0121	0.0238	1.9685				
Chr02	sexchr	TRINITY_DN125860_c0_g1_i1	0.1021	0.201	1.9692				
Chr02	sexchr	TRINITY_DN126559_c1_g4_i2	0.0604	0.1189	1.9696				
Chr02	sexchr	TRINITY_DN128880_c4_g1_i2	0.1042	0.2052	1.9698				
Chr02	sexchr	TRINITY_DN125515_c1_g3_i2	0.0268	0.0527	1.9701				
Chr02	sexchr	TRINITY_DN132830_c6_g1_i1	0.0716	0.1411	1.9707				
Chr02	sexchr	TRINITY_DN133416_c2_g2_i2	0.0915	0.1804	1.972				
Chr02	sexchr	TRINITY_DN128949_c1_g1_i3	0.0556	0.1097	1.9721				
Chr02	sexchr	TRINITY_DN129243_c2_g1_i1	0.1177	0.2323	1.9726				
Chr02	sexchr	TRINITY_DN120148_c0_g1_i3	0.0797	0.1576	1.9775				
Chr02	sexchr	TRINITY_DN119789_c0_g1_i4	0.0339	0.0671	1.9785				
Chr02	sexchr	TRINITY_DN127182_c0_g1_i1	0.0567	0.1122	1.9792				
Chr02	sexchr	TRINITY_DN109810_c0_g1_i1	0.0305	0.0603	1.9804				
Chr02	sexchr	TRINITY_DN124344_c1_g1_i3	0.0378	0.075	1.9814				
Chr02	sexchr	TRINITY_DN131387_c0_g1_i2	0.0427	0.0847	1.9818				
Chr02	sexchr	TRINITY_DN122225_c0_g1_i5	0.0657	0.1303	1.9828				
Chr02	sexchr	TRINITY_DN128370_c0_g3_i2	0.0309	0.0614	1.983				
Chr02	sexchr	TRINITY_DN124463_c0_g2_i3	0.1253	0.2488	1.985				
Chr02	sexchr	TRINITY_DN134752_c6_g1_i2	0.0698	0.1387	1.9875				
Chr02	sexchr	TRINITY_DN135751_c6_g7_i1	0.1031	0.205	1.9888				
Chr02	sexchr	TRINITY_DN132574_c2_g1_i2	0.068	0.1355	1.9936				
Chr02	sexchr	TRINITY_DN125009_c0_g1_i1	0.0713	0.1424	1.9965				
Chr02	sexchr	TRINITY_DN179456_c0_g1_i1	0.2463	0.4918	1.997				
Chr02	sexchr	TRINITY_DN132628_c0_g1_i2	0.0705	0.1408	1.9986				
Chr02	sexchr	TRINITY_DN131471_c2_g2_i1	0.1064	0.2129	2
Auto	Auto	TRINITY_DN123371_c1_g1_i1	0.0276	0.0079	0.2849
Auto	Auto	TRINITY_DN131611_c1_g1_i1	0.1417	0.0449	0.3168				
Auto	Auto	TRINITY_DN125284_c3_g3_i1	0.001	0.0003	0.321				
Auto	Auto	TRINITY_DN124868_c3_g1_i6	0.0236	0.0087	0.3703				
Auto	Auto	TRINITY_DN127011_c1_g3_i8	0.0145	0.0058	0.3977				
Auto	Auto	TRINITY_DN108466_c0_g1_i1	0.0757	0.0314	0.4149				
Auto	Auto	TRINITY_DN133586_c6_g4_i1	0.001	0.0004	0.4166				
Auto	Auto	TRINITY_DN128822_c3_g1_i1	0.0487	0.0214	0.4395				
Auto	Auto	TRINITY_DN128677_c0_g2_i1	0.0162	0.0071	0.441				
Auto	Auto	TRINITY_DN127701_c2_g6_i3	0.2249	0.1021	0.4538				
Auto	Auto	TRINITY_DN132719_c0_g1_i3	0.0715	0.0334	0.467				
Auto	Auto	TRINITY_DN127185_c2_g2_i3	0.0274	0.0129	0.4685				
Auto	Auto	TRINITY_DN123030_c2_g2_i1	0.1564	0.0742	0.4746				
Auto	Auto	TRINITY_DN132562_c0_g2_i3	0.014	0.0067	0.4777				
Auto	Auto	TRINITY_DN134528_c5_g1_i2	0.0243	0.0117	0.4798				
Auto	Auto	TRINITY_DN114438_c0_g5_i1	0.1004	0.0502	0.4994				
Auto	Auto	TRINITY_DN134570_c1_g1_i5	0.0406	0.0204	0.5026				
Auto	Auto	TRINITY_DN130112_c8_g1_i3	0.0233	0.0118	0.5064				
Auto	Auto	TRINITY_DN132024_c1_g3_i8	0.1107	0.0562	0.508				
Auto	Auto	TRINITY_DN121794_c0_g1_i2	0.0309	0.0158	0.5123				
Auto	Auto	TRINITY_DN114223_c0_g2_i3	0.001	0.0005	0.5139				
Auto	Auto	TRINITY_DN124619_c2_g7_i1	0.0551	0.0283	0.5139				
Auto	Auto	TRINITY_DN131790_c1_g2_i3	0.0294	0.0153	0.5198				
Auto	Auto	TRINITY_DN114398_c0_g1_i2	0.0683	0.0356	0.521				
Auto	Auto	TRINITY_DN127933_c4_g2_i2	0.0914	0.0478	0.5231				
Auto	Auto	TRINITY_DN120962_c4_g1_i2	0.1961	0.1027	0.5237				
Auto	Auto	TRINITY_DN124680_c1_g2_i5	0.006	0.0032	0.5252				
Auto	Auto	TRINITY_DN120808_c0_g1_i3	0.012	0.0063	0.5257				
Auto	Auto	TRINITY_DN129641_c0_g3_i2	0.0271	0.0143	0.5278				
Auto	Auto	TRINITY_DN135391_c1_g1_i3	0.0234	0.0124	0.5289				
Auto	Auto	TRINITY_DN122189_c0_g1_i7	0.0913	0.0487	0.5333				
Auto	Auto	TRINITY_DN134720_c3_g2_i3	0.02	0.0107	0.5353				
Auto	Auto	TRINITY_DN132312_c6_g1_i1	0.001	0.0005	0.5374				
Auto	Auto	TRINITY_DN119814_c0_g1_i3	0.1853	0.1	0.5396				
Auto	Auto	TRINITY_DN122453_c4_g1_i3	0.0429	0.0234	0.5465				
Auto	Auto	TRINITY_DN117730_c0_g1_i1	0.0545	0.0298	0.5467				
Auto	Auto	TRINITY_DN128483_c4_g2_i1	0.0347	0.0191	0.5484				
Auto	Auto	TRINITY_DN120651_c0_g3_i4	0.1011	0.0555	0.549				
Auto	Auto	TRINITY_DN120442_c0_g2_i3	0.022	0.0121	0.5492				
Auto	Auto	TRINITY_DN122889_c8_g1_i4	0.001	0.0006	0.5505				
Auto	Auto	TRINITY_DN119206_c2_g1_i3	0.1377	0.0762	0.5534				
Auto	Auto	TRINITY_DN119680_c0_g1_i1	0.0677	0.038	0.5614				
