gid	gname	chr	start	end	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN118597_c0_g2_i1	NA	NA	NA	NA	1.297632088	1.297632088	male	0.519102625	Brain_fmean	0.0403	0.0706	1.7517
TRINITY_DN118604_c0_g1_i1	NA	NA	NA	NA	-3.125215766	3.125215766	female	0.737984956	Ovary_mean	0.0312	0.0554	1.7774
TRINITY_DN118609_c0_g1_i1	NA	NA	NA	NA	-2.496724862	2.496724862	female	0.566364521	Ovary_mean	0.0515	0.0446	0.867
TRINITY_DN118610_c0_g1_i2	NA	NA	NA	NA	-3.271306515	3.271306515	female	0.889270954	Ovary_mean	0.2508	0.3573	1.4244
TRINITY_DN118628_c0_g2_i3	pard6g	Chr06	29494878	29494878	-1.089318003	1.089318003	female	0.440916319	Ovary_mean	0.09	0.1559	1.732
TRINITY_DN118641_c0_g1_i3	mcm7	scaffold_48	103809	103809	0.309521172	0.309521172	unbias	0.521603929	G23_mmean	0.0993	0.1947	1.9616
TRINITY_DN118644_c0_g1_i1	NA	NA	NA	NA	-5.655909433	5.655909433	female	0.656046678	Ovary_mean	0.2019	0.2975	1.4737
TRINITY_DN118653_c0_g2_i2	frmd8	Chr04	38983942	38983942	0.535661587	0.535661587	unbias	0.150613456	Brain_mmean	0.001	0.001	0.9858
TRINITY_DN118658_c0_g1_i1	NA	NA	NA	NA	-0.067909748	0.067909748	unbias	0.141832094	Brain_fmean	0.073	0.0952	1.3037
TRINITY_DN118659_c0_g1_i1	NA	NA	NA	NA	0.956986681	0.956986681	unbias	0.872070003	Brain_mmean	0.0345	0.0508	1.4713
TRINITY_DN118661_c0_g2_i1	NA	NA	NA	NA	-1.057253615	1.057253615	female	0.430135502	Ovary_mean	0.0467	0.0879	1.8837
TRINITY_DN118667_c1_g1_i2	NA	NA	NA	NA	0.386055863	0.386055863	unbias	0.383338426	Ovary_mean	0.0603	0.0422	0.6995
TRINITY_DN118679_c0_g3_i1	NA	NA	NA	NA	0.748569268	0.748569268	unbias	0.245770505	Testis_mean	0.0716	0.0753	1.0513
TRINITY_DN118686_c0_g1_i1	NA	NA	NA	NA	0.049690267	0.049690267	unbias	0.563589555	Ovary_mean	0.0705	0.1254	1.777
TRINITY_DN118700_c1_g1_i2	atxn2	Chr01	154471748	154471748	-0.005914074	0.005914074	unbias	0.150931159	G23_mmean	0.0165	0.0172	1.0427
TRINITY_DN118716_c0_g1_i1	NA	NA	NA	NA	1.030293067	1.030293067	male	0.55367499	Brain_fmean	0.1779	0.1997	1.1229
TRINITY_DN118738_c0_g1_i3	NA	NA	NA	NA	3.697051963	3.697051963	male	0.418924514	G46_M_mean	0.1001	0.1086	1.0853
TRINITY_DN118755_c0_g1_i1	NA	NA	NA	NA	-2.049121141	2.049121141	female	0.479125054	Ovary_mean	0.1409	0.2128	1.5102
TRINITY_DN118765_c0_g2_i2	NA	NA	NA	NA	3.277696144	3.277696144	male	0.550576905	G23_mmean	0.1219	0.2007	1.6458
TRINITY_DN118790_c0_g2_i1	NA	NA	NA	NA	0.251741445	0.251741445	unbias	0.716884957	Brain_mmean	0.0865	0.0699	0.8073
TRINITY_DN118793_c0_g1_i1	ran	Chr01	149245485	149245485	-1.347573173	1.347573173	female	0.723457136	Ovary_mean	0.0637	0.1054	1.6544
TRINITY_DN118801_c0_g1_i2	NA	NA	NA	NA	-0.360131205	0.360131205	unbias	0.097978909	G27_fmean	0.0469	0.0881	1.8795
TRINITY_DN118816_c0_g1_i1	NA	NA	NA	NA	1.157983899	1.157983899	male	0.078428856	G31_mmean	0.0349	0.0669	1.9172
TRINITY_DN118821_c0_g1_i2	NA	NA	NA	NA	-1.747529859	1.747529859	female	0.318066599	Ovary_mean	0.0066	0.0047	0.7172
TRINITY_DN118826_c0_g1_i1	NA	NA	NA	NA	-0.686429044	0.686429044	unbias	0.630263086	Ovary_mean	0.0703	0.1281	1.8232
TRINITY_DN118842_c0_g1_i2	NA	NA	NA	NA	0.426699974	0.426699974	unbias	0.602387366	Ovary_mean	0.0116	0.0107	0.9185
TRINITY_DN118843_c0_g2_i2	NA	NA	NA	NA	-1.724703991	1.724703991	female	0.686724301	Ovary_mean	0.0915	0.1277	1.3955
TRINITY_DN118847_c0_g1_i1	cul9	scaffold_282	77241	77241	-0.006178222	0.006178222	unbias	0.758810631	Brain_mmean	0.0156	0.0132	0.846
TRINITY_DN118850_c0_g1_i1	NA	NA	NA	NA	2.359562123	2.359562123	male	0.243499143	Brain_mmean	0.0815	0.1512	1.8548
TRINITY_DN118854_c0_g1_i1	NA	NA	NA	NA	0.252424163	0.252424163	unbias	0.202944414	G27_mmean	0.0147	0.0179	1.2165
TRINITY_DN118855_c1_g1_i1	NA	NA	NA	NA	-1.327476445	1.327476445	female	0.751842068	Ovary_mean	0.0574	0.0719	1.2539
TRINITY_DN118861_c0_g1_i3	NA	NA	NA	NA	-0.115325651	0.115325651	unbias	0.397549849	Ovary_mean	0.0691	0.1228	1.7759
TRINITY_DN118875_c0_g2_i1	NA	NA	NA	NA	-3.03923919	3.03923919	female	0.567450876	Ovary_mean	0.0442	0.061	1.3803
TRINITY_DN118885_c0_g1_i1	NA	NA	NA	NA	-1.372004463	1.372004463	female	0.378946439	Ovary_mean	0.0891	0.1273	1.4278
TRINITY_DN118896_c0_g1_i4	NA	NA	NA	NA	-0.94013353	0.94013353	unbias	0.432071881	G23_fmean	0.0204	0.0171	0.8387
TRINITY_DN118898_c0_g1_i3	NA	NA	NA	NA	0.262206074	0.262206074	unbias	0.256207192	G23_mmean	0.091	0.1708	1.8764
TRINITY_DN118905_c0_g1_i1	ccne1	Chr04	23270880	23270880	0.396580705	0.396580705	unbias	0.677018171	Brain_mmean	0.054	0.0628	1.1629
TRINITY_DN118908_c1_g2_i2	NA	NA	NA	NA	-1.274343935	1.274343935	female	0.580336472	Ovary_mean	0.1177	0.2105	1.7876
TRINITY_DN118910_c0_g1_i1	NA	NA	NA	NA	-1.916045932	1.916045932	female	0.622450945	Brain_fmean	0.1428	0.176	1.2325
TRINITY_DN118912_c1_g1_i1	rhobtb2	Chr03	119826757	119826757	-0.400701454	0.400701454	unbias	0.334301262	Ovary_mean	0.0447	0.0829	1.8547
TRINITY_DN118922_c2_g1_i8	NA	NA	NA	NA	-0.666293472	0.666293472	unbias	0.376549744	Ovary_mean	0.0355	0.0601	1.6913
TRINITY_DN118925_c0_g1_i1	NA	NA	NA	NA	-2.34483479	2.34483479	female	0.493852547	Ovary_mean	0.0675	0.1135	1.682
TRINITY_DN118933_c2_g2_i1	NA	NA	NA	NA	-1.367170632	1.367170632	female	0.345499766	Ovary_mean	0.0975	0.095	0.9741
TRINITY_DN118947_c0_g1_i5	NA	NA	NA	NA	0.222447048	0.222447048	unbias	0.341289926	G43_M_mean	0.0692	0.1204	1.7398
TRINITY_DN118957_c0_g2_i1	smg9	Chr07	112954766	112954766	-2.599341209	2.599341209	female	0.562264097	Ovary_mean	0.1317	0.2487	1.8885
TRINITY_DN118958_c0_g1_i1	NA	NA	NA	NA	-1.048351467	1.048351467	female	0.380393933	Ovary_mean	0.0812	0.126	1.5504
TRINITY_DN118968_c0_g1_i1	NA	NA	NA	NA	-1.022412024	1.022412024	female	0.383138807	Ovary_mean	0.0307	0.0534	1.7355
TRINITY_DN118969_c0_g1_i1	NA	NA	NA	NA	-1.264061983	1.264061983	female	0.487285876	Ovary_mean	0.1037	0.1962	1.8911
TRINITY_DN118970_c0_g1_i2	NA	NA	NA	NA	-0.391814349	0.391814349	unbias	0.431783411	G23_mmean	0.0246	0.0432	1.7546
TRINITY_DN118973_c0_g1_i1	NA	NA	NA	NA	2.879214563	2.879214563	male	0.174617815	G43_M_mean	0.0884	0.1043	1.18
TRINITY_DN118973_c1_g2_i1	NA	NA	NA	NA	2.784906329	2.784906329	male	0.561782469	Brain_fmean	0.136	0.1584	1.1642
TRINITY_DN118977_c1_g1_i4	NA	NA	NA	NA	0.545154632	0.545154632	unbias	0.194071741	G31_mmean	0.0881	0.165	1.8738
TRINITY_DN118978_c0_g1_i1	NA	NA	NA	NA	-0.527077838	0.527077838	unbias	0.340701951	Ovary_mean	0.0462	0.0814	1.7601
TRINITY_DN118986_c0_g1_i1	NA	NA	NA	NA	0.060726563	0.060726563	unbias	0.21812032	Brain_mmean	0.0439	0.0751	1.7108
TRINITY_DN118987_c0_g1_i1	NA	NA	NA	NA	-0.176765673	0.176765673	unbias	0.232224044	Ovary_mean	0.1091	0.1336	1.2244
TRINITY_DN118995_c0_g1_i2	NA	NA	NA	NA	-1.646360048	1.646360048	female	0.418298034	Ovary_mean	0.0961	0.1223	1.2731
TRINITY_DN118997_c0_g1_i2	NA	NA	NA	NA	0.081877542	0.081877542	unbias	0.224890766	G23_mmean	0.001	0.0007	0.6742
TRINITY_DN118998_c1_g1_i2	NA	NA	NA	NA	-2.276727919	2.276727919	female	0.367991201	Ovary_mean	0.0508	0.067	1.3205
TRINITY_DN119001_c0_g2_i2	NA	NA	NA	NA	0.289562249	0.289562249	unbias	0.707418523	Brain_mmean	0.082	0.1061	1.294
TRINITY_DN119004_c0_g1_i1	dus4l	Chr03	66862267	66862267	4.378135089	4.378135089	male	0.769965802	Brain_fmean	0.4994	0.437	0.8749
TRINITY_DN119012_c0_g1_i4	NA	NA	NA	NA	3.247240148	3.247240148	male	0.316077429	G43_M_mean	0.0593	0.083	1.3987
TRINITY_DN119019_c0_g1_i2	NA	NA	NA	NA	0.366164766	0.366164766	unbias	0.256166038	Brain_fmean	0.1057	0.185	1.7505
TRINITY_DN119023_c7_g1_i1	NA	NA	NA	NA	-0.453944372	0.453944372	unbias	0.303052659	Ovary_mean	0.0037	0.0043	1.1819
TRINITY_DN119033_c0_g1_i2	Xetrov90016715m	Chr06	95328043	95328043	-1.038812475	1.038812475	female	0.285681838	Ovary_mean	0.0774	0.0929	1.1998
TRINITY_DN119035_c0_g1_i2	NA	NA	NA	NA	-2.050945816	2.050945816	female	0.386777381	Ovary_mean	0.0539	0.0786	1.4578
TRINITY_DN119040_c0_g1_i1	NA	NA	NA	NA	-0.234844936	0.234844936	unbias	0.39824007	Ovary_mean	0.0344	0.0564	1.6402
TRINITY_DN119048_c1_g1_i1	NA	NA	NA	NA	7.670907301	7.670907301	male	0.781239756	Testis_mean	0.0356	0.0364	1.0222
TRINITY_DN119049_c0_g1_i1	NA	NA	NA	NA	-1.282798341	1.282798341	female	0.844369688	Brain_fmean	0.1196	0.1316	1.1
TRINITY_DN119053_c0_g1_i1	NA	NA	NA	NA	0.209755594	0.209755594	unbias	0.257957234	Ovary_mean	0.049	0.0703	1.4356
TRINITY_DN119060_c0_g1_i4	NA	NA	NA	NA	-0.518710113	0.518710113	unbias	0.518117481	Ovary_mean	0.1362	0.2171	1.5941
TRINITY_DN119067_c0_g1_i2	NA	NA	NA	NA	-1.586032788	1.586032788	female	0.854324519	Ovary_mean	0.073	0.1282	1.7561
TRINITY_DN119069_c0_g1_i2	NA	NA	NA	NA	-2.502658505	2.502658505	female	0.595704983	Ovary_mean	0.0675	0.1135	1.6829
TRINITY_DN119082_c0_g1_i2	NA	NA	NA	NA	0.441730233	0.441730233	unbias	0.401455255	Brain_mmean	0.1225	0.1573	1.2843
TRINITY_DN119088_c0_g4_i2	NA	NA	NA	NA	-0.487453012	0.487453012	unbias	0.319002622	Ovary_mean	0.0986	0.1371	1.39
TRINITY_DN119097_c0_g1_i1	NA	NA	NA	NA	-0.680096721	0.680096721	unbias	0.345361525	Brain_mmean	0.0189	0.0249	1.3196
TRINITY_DN119100_c0_g1_i2	cry2	Chr04	5667696	5667696	-1.187874579	1.187874579	female	0.506751596	Ovary_mean	0.0603	0.0853	1.4152
TRINITY_DN119102_c3_g7_i5	NA	NA	NA	NA	-1.237393505	1.237393505	female	0.416879423	Ovary_mean	0.0972	0.1498	1.5404
TRINITY_DN119113_c0_g1_i1	insl5	Chr04	79799768	79799768	-1.991358126	1.991358126	female	0.458366071	Ovary_mean	0.0581	0.0674	1.1597
TRINITY_DN119118_c0_g1_i13	NA	NA	NA	NA	4.309957232	4.309957232	male	0.584020537	Brain_mmean	0.1134	0.1349	1.1898
TRINITY_DN119122_c0_g1_i3	NA	NA	NA	NA	-5.892164338	5.892164338	female	0.431273488	Ovary_mean	0.0297	0.0262	0.8838
TRINITY_DN119127_c1_g1_i1	NA	NA	NA	NA	2.314606393	2.314606393	male	0.840249303	Brain_fmean	0.0128	0.0195	1.5204
TRINITY_DN119136_c0_g1_i2	NA	NA	NA	NA	1.350275197	1.350275197	male	0.380309539	Brain_mmean	0.0864	0.0939	1.087
TRINITY_DN119139_c0_g1_i1	NA	NA	NA	NA	-1.755396783	1.755396783	female	0.686074109	Ovary_mean	0.1273	0.1681	1.3206
TRINITY_DN119148_c0_g1_i1	myl2	Chr01	154883763	154883763	-0.285493946	0.285493946	unbias	0.456724127	Brain_mmean	0.0129	0.0232	1.8002
TRINITY_DN119153_c0_g1_i11	NA	NA	NA	NA	0.384213298	0.384213298	unbias	0.18987968	G23_fmean	0.0985	0.1942	1.9708
TRINITY_DN119178_c0_g1_i1	abhd17a	Chr01	79338399	79338399	-1.446160525	1.446160525	unbias	0.442017791	G43_F_mean	0.0492	0.0728	1.4804
TRINITY_DN119181_c1_g1_i7	NA	NA	NA	NA	1.986515878	1.986515878	male	0.876865295	Brain_fmean	0.1372	0.1105	0.8052
TRINITY_DN119184_c1_g1_i1	NA	NA	NA	NA	0.24320625	0.24320625	unbias	0.663162499	Brain_mmean	0.0695	0.0479	0.6882
TRINITY_DN119189_c1_g1_i5	NA	NA	NA	NA	1.828677462	1.828677462	male	0.576165337	Brain_fmean	0.0816	0.0779	0.955
TRINITY_DN119191_c0_g1_i1	dak	Chr04	14671273	14671273	3.687808264	3.687808264	male	0.60301961	Brain_mmean	0.1834	0.198	1.0796
TRINITY_DN119194_c0_g3_i2	NA	NA	NA	NA	-0.380674764	0.380674764	unbias	0.448835162	G27_fmean	0.0143	0.0154	1.0763
TRINITY_DN119203_c1_g1_i2	NA	NA	NA	NA	-1.508896637	1.508896637	female	0.340079808	Liver_fmean	0.0487	0.028	0.5747
TRINITY_DN119206_c2_g1_i3	NA	NA	NA	NA	1.939294294	1.939294294	male	0.320739086	Brain_fmean	0.1377	0.0762	0.5534
TRINITY_DN119209_c1_g2_i1	NA	NA	NA	NA	-4.494376069	4.494376069	female	0.720086347	Ovary_mean	0.0949	0.1636	1.7242
TRINITY_DN119224_c0_g1_i1	NA	NA	NA	NA	1.283690287	1.283690287	male	0.227782559	Testis_mean	0.1751	0.2553	1.4581
TRINITY_DN119234_c0_g1_i1	NA	NA	NA	NA	-0.216183434	0.216183434	unbias	0.753699294	Brain_fmean	0.0346	0.0508	1.4667
TRINITY_DN119242_c0_g1_i2	kcnq4	Chr02	83795372	83795372	-0.33807332	0.33807332	unbias	0.270765925	Ovary_mean	0.1016	0.1239	1.2196
TRINITY_DN119243_c0_g1_i3	theg-like	Chr01	86248597	86248597	-2.648037423	2.648037423	female	0.445572255	Ovary_mean	0.1055	0.1152	1.0916
TRINITY_DN119255_c0_g1_i1	NA	NA	NA	NA	1.066344995	1.066344995	male	0.673082544	Brain_fmean	0.0355	0.0314	0.8863
TRINITY_DN119257_c0_g1_i1	Xetrov90012961m	Chr05	3797422	3797422	-2.091470455	2.091470455	female	0.342902438	Ovary_mean	0.001	0.0017	1.6701
TRINITY_DN119264_c0_g1_i1	NA	NA	NA	NA	2.198809193	2.198809193	male	0.528362238	G23_mmean	0.3246	0.4991	1.5377
TRINITY_DN119268_c0_g2_i1	tbc1d5	Chr06	79407546	79407546	0.155357362	0.155357362	unbias	0.106381513	G27_fmean	0.0364	0.0596	1.6347
TRINITY_DN119269_c0_g1_i3	NA	NA	NA	NA	0.962504713	0.962504713	unbias	0.632315723	Brain_mmean	0.0458	0.0427	0.9322
TRINITY_DN119274_c0_g1_i1	NA	NA	NA	NA	-2.523292623	2.523292623	female	0.530884133	Ovary_mean	0.1418	0.2242	1.5815
TRINITY_DN119288_c0_g1_i2	NA	NA	NA	NA	-10.30285706	10.30285706	female	0.933037296	Ovary_mean	0.1552	0.1958	1.2617
TRINITY_DN119292_c0_g1_i1	NA	NA	NA	NA	-1.607438135	1.607438135	female	0.369364227	Ovary_mean	0.1132	0.1842	1.6261
TRINITY_DN119304_c0_g1_i2	NA	NA	NA	NA	1.866550872	1.866550872	male	0.249993973	G43_M_mean	0.0846	0.115	1.3604
TRINITY_DN119306_c0_g1_i2	NA	NA	NA	NA	1.15509759	1.15509759	male	0.457814624	Brain_mmean	0.0633	0.1017	1.6049
TRINITY_DN119308_c0_g2_i1	Xetrov90013148m	Chr05	15015580	15015580	1.412478945	1.412478945	male	0.810090835	Brain_fmean	0.0534	0.065	1.2178
TRINITY_DN119323_c0_g1_i3	NA	NA	NA	NA	0.351266714	0.351266714	unbias	0.403554871	Ovary_mean	0.1681	0.19	1.1302
TRINITY_DN119340_c0_g1_i1	NA	NA	NA	NA	0.406427222	0.406427222	unbias	0.179435827	Ovary_mean	0.1052	0.132	1.2547
TRINITY_DN119347_c0_g1_i2	NA	NA	NA	NA	-0.070288088	0.070288088	unbias	0.482220436	Ovary_mean	0.0738	0.1231	1.667
TRINITY_DN119348_c0_g2_i1	NA	NA	NA	NA	0.771297472	0.771297472	unbias	0.323516932	Testis_mean	0.0636	0.0602	0.9478
TRINITY_DN119352_c0_g2_i1	NA	NA	NA	NA	2.375355609	2.375355609	male	0.393633733	G43_M_mean	0.0421	0.0519	1.2322
TRINITY_DN119353_c1_g1_i2	NA	NA	NA	NA	4.262755904	4.262755904	male	0.506849127	Brain_mmean	0.1257	0.1715	1.3647
TRINITY_DN119356_c0_g1_i1	NA	NA	NA	NA	-2.329241319	2.329241319	female	0.655183016	Ovary_mean	0.0632	0.0936	1.4821
TRINITY_DN119358_c1_g1_i1	uggt2	Chr02	118770833	118770833	0.907246839	0.907246839	unbias	0.375564135	Liver_fmean	0.1153	0.2177	1.8884
TRINITY_DN119368_c0_g1_i2	NA	NA	NA	NA	0.145225381	0.145225381	unbias	0.351187597	G43_M_mean	0.0817	0.1196	1.4634
TRINITY_DN119379_c0_g1_i1	LOC100496116	Chr05	141719829	141719829	1.356011065	1.356011065	male	0.334469284	Testis_mean	0.0464	0.0617	1.3298
TRINITY_DN119381_c0_g1_i7	NA	NA	NA	NA	-1.895759968	1.895759968	female	0.442765674	Ovary_mean	0.1361	0.1929	1.4177
TRINITY_DN119386_c0_g1_i2	NA	NA	NA	NA	-0.265611814	0.265611814	unbias	0.31501331	G23_fmean	0.085	0.0745	0.8759
TRINITY_DN119393_c0_g1_i1	NA	NA	NA	NA	0.699102858	0.699102858	unbias	0.456015102	G23_mmean	0.0751	0.1341	1.7851
TRINITY_DN119394_c0_g1_i1	NA	NA	NA	NA	-0.051821528	0.051821528	unbias	0.544774147	Ovary_mean	0.1469	0.2453	1.6698
TRINITY_DN119399_c0_g1_i1	surf1	scaffold_124	372121	372121	1.197126985	1.197126985	male	0.27128256	G23_mmean	0.0528	0.0604	1.1427
TRINITY_DN119403_c0_g1_i1	NA	NA	NA	NA	-2.256952469	2.256952469	female	0.411788709	Ovary_mean	0.1172	0.1376	1.1738
TRINITY_DN119419_c0_g2_i1	LOC100496101	scaffold_7723	725	725	-4.385242368	4.385242368	female	0.967518499	Ovary_mean	0.205	0.3789	1.8482
TRINITY_DN119436_c0_g1_i1	NA	NA	NA	NA	-0.521983237	0.521983237	unbias	0.391756743	Ovary_mean	0.0418	0.0777	1.8565
TRINITY_DN119443_c0_g1_i1	NA	NA	NA	NA	0.198076053	0.198076053	unbias	0.124592094	G23_fmean	0.0345	0.044	1.2736
TRINITY_DN119453_c0_g1_i1	NA	NA	NA	NA	2.366955406	2.366955406	male	0.306343583	Brain_mmean	0.1366	0.1614	1.1816
TRINITY_DN119467_c0_g1_i2	fem1b	Chr03	116484220	116484220	-1.436942754	1.436942754	female	0.396698472	Ovary_mean	0.0429	0.0674	1.5732
TRINITY_DN119473_c0_g1_i1	NA	NA	NA	NA	-1.0306058	1.0306058	female	0.575517682	Brain_mmean	0.0625	0.0731	1.1696
TRINITY_DN119475_c1_g2_i1	NA	NA	NA	NA	-5.541137955	5.541137955	female	0.556218868	Ovary_mean	0.1609	0.1955	1.2153
TRINITY_DN119480_c0_g1_i1	LOC100486306	scaffold_597	77549	77549	-4.764570451	4.764570451	female	0.535414641	Liver_fmean	0.1015	0.1388	1.3673
TRINITY_DN119484_c0_g1_i2	NA	NA	NA	NA	-2.058435801	2.058435801	female	0.456270383	Brain_mmean	0.024	0.0418	1.7402
TRINITY_DN119487_c0_g1_i1	c1orf85	scaffold_359	2523	2523	6.344628426	6.344628426	male	0.58655035	Testis_mean	0.237	0.3209	1.3542
TRINITY_DN119489_c0_g3_i1	NA	NA	NA	NA	0.47859658	0.47859658	unbias	0.179061472	Brain_fmean	0.0845	0.1566	1.8523
TRINITY_DN119494_c0_g1_i1	NA	NA	NA	NA	-4.448778827	4.448778827	female	0.866944018	Ovary_mean	0.1386	0.2642	1.9053
TRINITY_DN119498_c1_g1_i2	NA	NA	NA	NA	-1.44982415	1.44982415	female	0.240887756	Ovary_mean	0.0336	0.0574	1.711
TRINITY_DN119499_c0_g1_i1	NA	NA	NA	NA	-1.044153047	1.044153047	female	0.636281051	Ovary_mean	0.3074	0.3896	1.2674
TRINITY_DN119509_c1_g3_i5	NA	NA	NA	NA	-1.989758529	1.989758529	female	0.525073013	Ovary_mean	0.0336	0.0493	1.4704
TRINITY_DN119518_c0_g1_i1	Xetrov90023056m	Chr09	8313229	8313229	1.031053074	1.031053074	male	0.232063632	G23_fmean	0.0711	0.1127	1.5861
TRINITY_DN119519_c0_g1_i2	NA	NA	NA	NA	-0.384758456	0.384758456	unbias	0.294509093	G43_M_mean	0.0387	0.0688	1.779
TRINITY_DN119521_c1_g1_i5	NA	NA	NA	NA	-1.589337551	1.589337551	female	0.618573487	Brain_fmean	0.0634	0.0559	0.8819
TRINITY_DN119528_c0_g1_i3	NA	NA	NA	NA	-3.475965545	3.475965545	female	0.740422925	Ovary_mean	0.0988	0.1202	1.2166
TRINITY_DN119534_c0_g3_i1	NA	NA	NA	NA	0.537446447	0.537446447	unbias	0.094143887	G23_mmean	0.071	0.0547	0.7705
TRINITY_DN119535_c0_g1_i1	NA	NA	NA	NA	1.223964836	1.223964836	male	0.211481378	Brain_fmean	0.046	0.0469	1.0194
TRINITY_DN119538_c0_g1_i1	NA	NA	NA	NA	0.380977756	0.380977756	unbias	0.217803556	Brain_fmean	0.0296	0.0328	1.1105
TRINITY_DN119547_c0_g1_i1	kiaa1467	Chr04	104061121	104061121	2.149608492	2.149608492	male	0.500339919	G43_M_mean	0.1399	0.1684	1.2038
TRINITY_DN119549_c0_g1_i1	poli	Chr01	190318197	190318197	-0.382776324	0.382776324	unbias	0.184362163	Ovary_mean	0.0631	0.0827	1.3108
TRINITY_DN119562_c0_g1_i1	NA	NA	NA	NA	4.912612113	4.912612113	male	0.77161382	Brain_mmean	0.0488	0.0791	1.6203
TRINITY_DN119585_c0_g1_i1	NA	NA	NA	NA	1.257719996	1.257719996	unbias	0.645072608	Brain_fmean	0.0211	0.0356	1.684
TRINITY_DN119590_c0_g4_i1	NA	NA	NA	NA	-1.18282043	1.18282043	unbias	0.57662696	Brain_fmean	0.0596	0.0593	0.9956
TRINITY_DN119591_c0_g2_i6	NA	NA	NA	NA	-0.800999704	0.800999704	unbias	0.500218918	Ovary_mean	0.1	0.1512	1.5123
TRINITY_DN119599_c0_g1_i2	NA	NA	NA	NA	-0.185505608	0.185505608	unbias	0.231733016	Brain_fmean	0.0915	0.1463	1.5985
TRINITY_DN119605_c0_g2_i2	NA	NA	NA	NA	-0.28891582	0.28891582	unbias	0.357872113	Ovary_mean	0.0758	0.0904	1.1917
TRINITY_DN119606_c0_g1_i1	NA	NA	NA	NA	1.20988195	1.20988195	unbias	0.888999827	Brain_mmean	0.1216	0.2004	1.6481
TRINITY_DN119611_c0_g1_i1	NA	NA	NA	NA	0.43030893	0.43030893	unbias	0.648100432	Brain_fmean	0.0758	0.1117	1.4747
TRINITY_DN119613_c0_g2_i1	NA	NA	NA	NA	0.367067905	0.367067905	unbias	0.270808914	Ovary_mean	0.0509	0.0908	1.7846
TRINITY_DN119617_c0_g1_i1	NA	NA	NA	NA	-1.417317327	1.417317327	female	0.769105118	Ovary_mean	0.043	0.0367	0.8542
TRINITY_DN119631_c0_g1_i1	NA	NA	NA	NA	-0.022928502	0.022928502	unbias	0.195164884	G27_mmean	0.0638	0.1077	1.6875
TRINITY_DN119634_c0_g1_i1	NA	NA	NA	NA	1.531569007	1.531569007	male	0.666591757	Brain_mmean	0.1132	0.1467	1.2956
TRINITY_DN119640_c0_g1_i2	NA	NA	NA	NA	0.885236647	0.885236647	unbias	0.687725606	G27_mmean	0.1177	0.1875	1.5935
TRINITY_DN119647_c0_g2_i1	NA	NA	NA	NA	5.908137973	5.908137973	male	0.568527112	G27_mmean	0.0684	0.1019	1.4906
TRINITY_DN119648_c0_g1_i3	NA	NA	NA	NA	0.689456614	0.689456614	unbias	0.380895585	Liver_mmean	0.1508	0.1898	1.2582
TRINITY_DN119653_c0_g2_i1	trak2	Chr09	49064405	49064405	2.374274849	2.374274849	male	0.503707358	Brain_mmean	0.0305	0.0135	0.4424
TRINITY_DN119668_c0_g1_i3	NA	NA	NA	NA	2.408241385	2.408241385	male	0.222470212	G23_fmean	0.0458	0.0608	1.3276
TRINITY_DN119678_c0_g1_i2	NA	NA	NA	NA	-1.600354925	1.600354925	female	0.639486028	Ovary_mean	0.0902	0.1365	1.5137
TRINITY_DN119683_c0_g3_i1	NA	NA	NA	NA	-3.719214387	3.719214387	female	0.913705317	Ovary_mean	0.076	0.1298	1.7083
TRINITY_DN119703_c0_g1_i2	NA	NA	NA	NA	-2.242387337	2.242387337	female	0.420841326	Ovary_mean	0.1768	0.1723	0.9746
TRINITY_DN119712_c0_g1_i2	NA	NA	NA	NA	2.524852852	2.524852852	male	0.599914269	Brain_fmean	0.1377	0.1004	0.7292
TRINITY_DN119713_c0_g1_i1	c9orf89	scaffold_192	107789	107789	-0.567855206	0.567855206	unbias	0.476225668	G43_M_mean	0.3109	0.3355	1.0792
TRINITY_DN119717_c0_g1_i2	NA	NA	NA	NA	-6.34235663	6.34235663	female	0.924798405	Ovary_mean	0.1653	0.1893	1.1453
TRINITY_DN119718_c0_g1_i1	NA	NA	NA	NA	-0.373714009	0.373714009	unbias	0.738931654	Ovary_mean	0.0896	0.112	1.251
TRINITY_DN119721_c1_g1_i2	NA	NA	NA	NA	2.26202726	2.26202726	male	0.237489147	Brain_mmean	0.1502	0.2234	1.4876
TRINITY_DN119736_c0_g1_i3	NA	NA	NA	NA	-1.895514146	1.895514146	female	0.365481585	Ovary_mean	0.0617	0.0869	1.4081
TRINITY_DN119737_c0_g2_i2	NA	NA	NA	NA	4.204077928	4.204077928	male	0.345735342	G43_M_mean	0.0481	0.0219	0.4547
TRINITY_DN119755_c1_g2_i1	NA	NA	NA	NA	-3.93339813	3.93339813	female	0.570888022	Ovary_mean	0.1276	0.1155	0.9048
TRINITY_DN119759_c0_g1_i1	atxn1l-like	Chr04	63453722	63453722	-1.59844432	1.59844432	female	0.556122676	Ovary_mean	0.049	0.0626	1.2779
TRINITY_DN119760_c0_g1_i4	fer1l6	scaffold_81	358480	358480	-1.763705099	1.763705099	female	0.471955337	Ovary_mean	0.0646	0.1024	1.5836
TRINITY_DN119762_c1_g1_i1	NA	NA	NA	NA	-1.212663504	1.212663504	female	0.3517819	Ovary_mean	0.0914	0.1275	1.3942
