gid	gname	chr	start	end	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	bias	tau	tissue
TRINITY_DN123433_c1_g2_i3	NA	NA	NA	NA	-0.416330818	0.416330818	unbias	0.549667599	G43_M_mean
TRINITY_DN123435_c1_g1_i1	NA	NA	NA	NA	1.190522693	1.190522693	male	0.661805137	Brain_mmean
TRINITY_DN123435_c3_g2_i1	NA	NA	NA	NA	-0.020796597	0.020796597	unbias	0.217239897	Ovary_mean
TRINITY_DN123435_c3_g3_i1	tm2d2	Chr03	121541631	121541631	-0.831566601	0.831566601	unbias	0.389987324	Ovary_mean
TRINITY_DN123436_c4_g2_i1	pcnp	Chr02	101534886	101534886	0.047452215	0.047452215	unbias	0.307998051	G46_F_mean
TRINITY_DN123436_c7_g2_i5	NA	NA	NA	NA	-2.107539058	2.107539058	female	0.613148203	Ovary_mean
TRINITY_DN123436_c8_g2_i10	NA	NA	NA	NA	-1.105343515	1.105343515	female	0.467174093	Ovary_mean
TRINITY_DN123437_c0_g1_i2	NA	NA	NA	NA	1.050305644	1.050305644	unbias	0.39375824	Testis_mean
TRINITY_DN123439_c0_g1_i1	grhl1	Chr05	134174421	134174421	2.083497769	2.083497769	male	0.467453343	Brain_fmean
TRINITY_DN123442_c0_g2_i1	ccdc85c	Chr08	69653399	69653399	-1.58519212	1.58519212	female	0.358132722	Ovary_mean
TRINITY_DN123443_c0_g2_i1	NA	NA	NA	NA	-0.700366387	0.700366387	unbias	0.37839554	G27_mmean
TRINITY_DN123444_c0_g1_i1	NA	NA	NA	NA	2.182900031	2.182900031	male	0.612751099	Brain_mmean
TRINITY_DN123446_c5_g2_i2	rnf219-like	Chr02	122246529	122246529	0.346656763	0.346656763	unbias	0.412634972	Brain_fmean
TRINITY_DN123447_c3_g1_i4	hscb	Chr01	141921629	141921629	1.455936627	1.455936627	unbias	0.41396401	Brain_mmean
TRINITY_DN123448_c1_g4_i1	NA	NA	NA	NA	-3.448641047	3.448641047	female	0.609889234	Brain_mmean
TRINITY_DN123449_c1_g4_i2	NA	NA	NA	NA	2.57145208	2.57145208	male	0.431145041	G43_F_mean
TRINITY_DN123450_c0_g1_i1	pphln1	Chr03	55279330	55279330	-0.200823697	0.200823697	unbias	0.507379973	Liver_fmean
TRINITY_DN123453_c2_g5_i1	NA	NA	NA	NA	1.063314792	1.063314792	unbias	0.425535208	Brain_mmean
TRINITY_DN123453_c2_g6_i4	NA	NA	NA	NA	0.301195343	0.301195343	unbias	0.357134843	G46_M_mean
TRINITY_DN123455_c2_g1_i1	znf654	Chr02	18348580	18348580	0.16302966	0.16302966	unbias	0.660402452	Liver_mmean
TRINITY_DN123455_c4_g1_i1	msantd1	Chr01	16011690	16011690	1.347004142	1.347004142	male	0.42166859	G43_M_mean
TRINITY_DN123456_c0_g1_i2	NA	NA	NA	NA	2.692814729	2.692814729	male	0.532975582	Testis_mean
TRINITY_DN123456_c0_g2_i1	NA	NA	NA	NA	0.066486566	0.066486566	unbias	0.26198105	G43_F_mean
TRINITY_DN123456_c0_g3_i1	NA	NA	NA	NA	-9.330992456	9.330992456	female	0.875464917	Ovary_mean
TRINITY_DN123456_c0_g4_i1	NA	NA	NA	NA	-8.759323186	8.759323186	female	0.698632409	Ovary_mean
TRINITY_DN123456_c0_g5_i1	NA	NA	NA	NA	-3.32468476	3.32468476	female	0.709582457	Ovary_mean
TRINITY_DN123456_c0_g6_i3	NA	NA	NA	NA	-1.115937855	1.115937855	female	0.323338916	Liver_fmean
TRINITY_DN123456_c0_g7_i2	snap91	Chr05	81026676	81026676	5.02135133	5.02135133	male	0.687210217	Testis_mean
TRINITY_DN123457_c1_g1_i1	NA	NA	NA	NA	-0.6557585	0.6557585	unbias	0.581660997	Ovary_mean
TRINITY_DN123458_c0_g1_i1	NA	NA	NA	NA	-2.243298094	2.243298094	female	0.593036787	Ovary_mean
TRINITY_DN123459_c2_g2_i1	NA	NA	NA	NA	1.058602329	1.058602329	male	0.300687761	Brain_fmean
TRINITY_DN123459_c3_g1_i1	NA	NA	NA	NA	0.845489412	0.845489412	unbias	0.270946253	Brain_mmean
TRINITY_DN123460_c0_g1_i1	NA	NA	NA	NA	-0.229177702	0.229177702	unbias	0.476873422	G23_mmean
TRINITY_DN123462_c3_g1_i1	NA	NA	NA	NA	-7.960595989	7.960595989	female	0.943211879	Ovary_mean
TRINITY_DN123462_c3_g2_i2	sema3d	Chr03	71003264	71003264	-1.714118272	1.714118272	female	0.491229254	G46_F_mean
TRINITY_DN123464_c1_g2_i1	NA	NA	NA	NA	1.953794938	1.953794938	male	0.50266789	Brain_fmean
TRINITY_DN123464_c2_g1_i1	mss51	Chr09	8421230	8421230	0.671962576	0.671962576	unbias	0.410042557	Testis_mean
TRINITY_DN123466_c0_g1_i2	NA	NA	NA	NA	-0.516167002	0.516167002	unbias	0.581783384	Ovary_mean
TRINITY_DN123467_c0_g1_i3	NA	NA	NA	NA	1.167033251	1.167033251	male	0.230937857	Brain_fmean
TRINITY_DN123469_c0_g1_i1	NA	NA	NA	NA	1.853417638	1.853417638	male	0.682003058	Brain_mmean
TRINITY_DN123470_c0_g2_i1	NA	NA	NA	NA	-0.873690205	0.873690205	unbias	0.654457252	Brain_fmean
TRINITY_DN123471_c1_g1_i1	NA	NA	NA	NA	2.041708156	2.041708156	male	0.288241693	G43_F_mean
TRINITY_DN123471_c2_g1_i1	NA	NA	NA	NA	2.037490436	2.037490436	male	0.335176092	Brain_mmean
TRINITY_DN123472_c0_g1_i1	NA	NA	NA	NA	3.790443452	3.790443452	male	0.64792008	G43_F_mean
TRINITY_DN123473_c0_g1_i2	epn2	Chr07	96522320	96522320	3.788566196	3.788566196	male	0.430089711	Brain_mmean
TRINITY_DN123476_c2_g13_i1	NA	NA	NA	NA	0.883112294	0.883112294	unbias	0.286755412	Testis_mean
TRINITY_DN123476_c2_g21_i1	NA	NA	NA	NA	1.325344486	1.325344486	male	0.182074923	G43_M_mean
TRINITY_DN123476_c2_g8_i1	LOC100490440	Chr07	110696226	110696226	1.898639633	1.898639633	male	0.285206834	G43_M_mean
TRINITY_DN123476_c2_g9_i1	NA	NA	NA	NA	1.965170117	1.965170117	male	0.464732211	Testis_mean
TRINITY_DN123476_c3_g3_i1	NA	NA	NA	NA	0.728313083	0.728313083	unbias	0.233023731	Brain_mmean
TRINITY_DN123479_c2_g1_i19	NA	NA	NA	NA	2.627918866	2.627918866	male	0.227991123	Brain_mmean
TRINITY_DN123479_c2_g2_i1	NA	NA	NA	NA	-0.562735235	0.562735235	unbias	0.55421467	Brain_mmean
TRINITY_DN123486_c2_g3_i1	sgca	Chr10	13978852	13978852	-1.804856299	1.804856299	female	0.458690987	Ovary_mean
TRINITY_DN123487_c0_g1_i2	NA	NA	NA	NA	0.120401494	0.120401494	unbias	0.407851244	G23_fmean
TRINITY_DN123488_c6_g2_i1	NA	NA	NA	NA	-0.2848167	0.2848167	unbias	0.656683148	G27_fmean
TRINITY_DN123489_c0_g1_i3	NA	NA	NA	NA	-1.788806945	1.788806945	female	0.52681968	Brain_fmean
TRINITY_DN123490_c0_g2_i1	NA	NA	NA	NA	1.146932966	1.146932966	male	0.305464077	Liver_fmean
TRINITY_DN123490_c2_g1_i2	NA	NA	NA	NA	-1.222190933	1.222190933	female	0.297380299	Ovary_mean
TRINITY_DN123491_c0_g2_i4	NA	NA	NA	NA	1.631329692	1.631329692	male	0.325430198	Liver_fmean
TRINITY_DN123492_c0_g1_i1	NA	NA	NA	NA	-1.803605881	1.803605881	female	0.512693354	G23_mmean
TRINITY_DN123492_c0_g2_i1	Xetrov90021139m	Chr08	61430792	61430792	0.301951156	0.301951156	unbias	0.38510131	G23_fmean
TRINITY_DN123492_c0_g4_i1	NA	NA	NA	NA	1.727914566	1.727914566	male	0.280764243	G46_F_mean
TRINITY_DN123493_c0_g1_i1	NA	NA	NA	NA	6.31298988	6.31298988	male	0.569032627	Brain_mmean
TRINITY_DN123494_c0_g1_i3	NA	NA	NA	NA	2.253806206	2.253806206	male	0.341354665	Brain_mmean
TRINITY_DN123495_c0_g2_i3	NA	NA	NA	NA	2.617652304	2.617652304	male	0.403178135	Brain_fmean
TRINITY_DN123497_c0_g2_i3	NA	NA	NA	NA	1.083669397	1.083669397	male	0.395700057	G23_mmean
TRINITY_DN123498_c2_g1_i1	kdelc1	Chr02	116048432	116048432	0.31400091	0.31400091	unbias	0.185916832	G43_M_mean
TRINITY_DN123500_c0_g3_i3	NA	NA	NA	NA	-0.123385077	0.123385077	unbias	0.285191028	G23_mmean
TRINITY_DN123502_c0_g1_i1	NA	NA	NA	NA	1.658588899	1.658588899	unbias	0.739397279	Brain_mmean
TRINITY_DN123503_c0_g1_i1	aldh9a1	Chr04	108880000	108880000	-0.819445746	0.819445746	unbias	0.264666576	G31_mmean
TRINITY_DN123504_c0_g1_i1	NA	NA	NA	NA	0.14655783	0.14655783	unbias	0.399320434	Brain_fmean
TRINITY_DN123506_c0_g2_i1	NA	NA	NA	NA	-0.753444979	0.753444979	unbias	0.392742811	Brain_mmean
TRINITY_DN123506_c0_g3_i2	kcnab3	Chr03	131426617	131426617	-0.271608941	0.271608941	unbias	0.411511592	Brain_mmean
TRINITY_DN123507_c1_g1_i3	NA	NA	NA	NA	3.587088368	3.587088368	male	0.580777038	Testis_mean
TRINITY_DN123508_c2_g3_i2	NA	NA	NA	NA	-0.668493761	0.668493761	unbias	0.530741349	Brain_mmean
TRINITY_DN123509_c1_g1_i6	NA	NA	NA	NA	-0.422311915	0.422311915	unbias	0.499481889	Ovary_mean
TRINITY_DN123515_c0_g2_i1	NA	NA	NA	NA	1.561531276	1.561531276	male	0.418848261	G46_M_mean
TRINITY_DN123516_c0_g2_i1	kif18a	Chr04	11507178	11507178	-0.211399686	0.211399686	unbias	0.252760933	Ovary_mean
TRINITY_DN123516_c0_g3_i4	LOC101733160	Chr03	80890150	80890150	0.041082003	0.041082003	unbias	0.349362793	Ovary_mean
TRINITY_DN123519_c5_g5_i2	NA	NA	NA	NA	0.604480654	0.604480654	unbias	0.640513973	Brain_mmean
TRINITY_DN123520_c0_g1_i1	fam46d	Chr08	43190824	43190824	1.462858576	1.462858576	male	0.414415534	Testis_mean
TRINITY_DN123521_c1_g1_i2	38411	Chr02	138460225	138460225	0.348351584	0.348351584	unbias	0.521695881	Ovary_mean
TRINITY_DN123521_c1_g4_i1	NA	NA	NA	NA	-0.188553604	0.188553604	unbias	0.393740928	G46_F_mean
TRINITY_DN123523_c1_g1_i5	LOC100485066	Chr04	111790084	111790084	6.621271527	6.621271527	male	0.543636433	G23_mmean
TRINITY_DN123524_c0_g1_i2	NA	NA	NA	NA	-0.078747597	0.078747597	unbias	0.716770016	Brain_mmean
TRINITY_DN123525_c0_g1_i5	NA	NA	NA	NA	-1.298914422	1.298914422	female	0.211097602	Ovary_mean
TRINITY_DN123526_c0_g11_i1	NA	NA	NA	NA	-3.815604897	3.815604897	female	0.722450174	Ovary_mean
TRINITY_DN123529_c1_g1_i1	NA	NA	NA	NA	-1.242114782	1.242114782	female	0.590909656	Ovary_mean
TRINITY_DN123530_c0_g2_i3	NA	NA	NA	NA	-0.558097537	0.558097537	unbias	0.549315493	Ovary_mean
TRINITY_DN123531_c5_g2_i1	NA	NA	NA	NA	0.82728918	0.82728918	unbias	0.25913269	Brain_mmean
TRINITY_DN123532_c0_g1_i2	NA	NA	NA	NA	1.329277512	1.329277512	unbias	0.387926957	G43_M_mean
TRINITY_DN123534_c0_g1_i2	NA	NA	NA	NA	1.756022538	1.756022538	male	0.399851587	G23_mmean
TRINITY_DN123535_c1_g1_i1	NA	NA	NA	NA	0.22207605	0.22207605	unbias	0.465411598	Brain_mmean
TRINITY_DN123537_c0_g3_i1	NA	NA	NA	NA	-5.071666604	5.071666604	female	0.636128444	Ovary_mean
TRINITY_DN123539_c0_g1_i1	NA	NA	NA	NA	-2.621034508	2.621034508	female	0.733638263	Brain_fmean
TRINITY_DN123540_c2_g14_i1	NA	NA	NA	NA	0.332640768	0.332640768	unbias	0.306994804	Brain_mmean
TRINITY_DN123540_c2_g1_i1	NA	NA	NA	NA	-0.147274361	0.147274361	unbias	0.541799968	Brain_mmean
TRINITY_DN123540_c2_g5_i1	NA	NA	NA	NA	-0.210993585	0.210993585	unbias	0.449294557	Brain_mmean
TRINITY_DN123540_c2_g7_i2	NA	NA	NA	NA	1.651646055	1.651646055	male	0.373241357	Brain_mmean
TRINITY_DN123541_c0_g1_i1	NA	NA	NA	NA	1.509179611	1.509179611	male	0.624634732	Liver_fmean
TRINITY_DN123543_c0_g1_i1	NA	NA	NA	NA	1.286389826	1.286389826	male	0.690442076	Brain_mmean
TRINITY_DN123544_c6_g1_i1	rlim	Chr08	26291465	26291465	3.180268234	3.180268234	male	0.351091229	Brain_fmean
TRINITY_DN123544_c7_g1_i3	NA	NA	NA	NA	0.338991129	0.338991129	unbias	0.223318323	G23_fmean
TRINITY_DN123547_c1_g1_i1	sacm1l	Chr06	82315216	82315216	2.594207216	2.594207216	male	0.483520003	Brain_mmean
TRINITY_DN123548_c0_g2_i1	NA	NA	NA	NA	-2.955102288	2.955102288	female	0.522696662	G27_mmean
TRINITY_DN123549_c0_g1_i2	NA	NA	NA	NA	1.680841136	1.680841136	male	0.377853419	Brain_mmean
TRINITY_DN123550_c0_g2_i2	prdm8	Chr01	76503565	76503565	6.422686926	6.422686926	male	0.569721304	G27_fmean
TRINITY_DN123550_c0_g6_i7	NA	NA	NA	NA	2.776540551	2.776540551	male	0.5898777	Brain_mmean
TRINITY_DN123552_c0_g1_i1	NA	NA	NA	NA	-0.006004267	0.006004267	unbias	0.750251339	G46_F_mean
TRINITY_DN123553_c0_g1_i1	NA	NA	NA	NA	2.187183539	2.187183539	male	0.114952845	G43_M_mean
TRINITY_DN123553_c1_g1_i1	cfi	Chr01	59181768	59181768	0.645632282	0.645632282	unbias	0.493122742	Brain_mmean
TRINITY_DN123555_c2_g1_i1	NA	NA	NA	NA	2.4034189	2.4034189	male	0.497274151	Liver_fmean
TRINITY_DN123556_c0_g1_i1	NA	NA	NA	NA	-0.130905376	0.130905376	unbias	0.609752274	G23_mmean
TRINITY_DN123557_c0_g2_i1	NA	NA	NA	NA	-1.319905476	1.319905476	female	0.423478909	G23_fmean
TRINITY_DN123558_c0_g1_i1	NA	NA	NA	NA	3.356538957	3.356538957	male	0.181361568	G43_F_mean
TRINITY_DN123561_c2_g1_i3	gpr144	scaffold_22	996827	996827	0.630720294	0.630720294	unbias	0.338591604	Brain_fmean
TRINITY_DN123562_c0_g1_i3	furin	Chr03	97916756	97916756	-2.818478932	2.818478932	female	0.302434353	G43_M_mean
TRINITY_DN123566_c0_g1_i3	NA	NA	NA	NA	-0.504717758	0.504717758	unbias	0.217958438	Ovary_mean
TRINITY_DN123567_c1_g2_i2	supt16h	Chr01	129648747	129648747	0.587456613	0.587456613	unbias	0.319583335	G43_F_mean
TRINITY_DN123569_c2_g1_i3	NA	NA	NA	NA	0.133577006	0.133577006	unbias	0.550930908	Ovary_mean
TRINITY_DN123571_c0_g1_i1	NA	NA	NA	NA	0.89963115	0.89963115	unbias	0.586384398	Testis_mean
TRINITY_DN123572_c2_g1_i2	NA	NA	NA	NA	0.374287249	0.374287249	unbias	0.592721087	Brain_mmean
TRINITY_DN123576_c0_g1_i2	NA	NA	NA	NA	0.808060151	0.808060151	unbias	0.429856754	G43_F_mean
TRINITY_DN123577_c1_g2_i2	dhps	Chr03	129388806	129388806	0.859655	0.859655	unbias	0.535156185	Brain_fmean
TRINITY_DN123579_c0_g3_i1	NA	NA	NA	NA	2.135201607	2.135201607	male	0.365185709	Brain_mmean
TRINITY_DN123581_c0_g1_i2	NA	NA	NA	NA	2.446565844	2.446565844	male	0.285392831	Brain_fmean
TRINITY_DN123582_c0_g1_i2	nbn-like	Chr06	111308346	111308346	0.362575613	0.362575613	unbias	0.353098022	Brain_fmean
TRINITY_DN123582_c0_g2_i1	NA	NA	NA	NA	0.045823649	0.045823649	unbias	0.288510182	Brain_fmean
TRINITY_DN123584_c2_g1_i1	NA	NA	NA	NA	2.396663371	2.396663371	male	0.551707926	G46_F_mean
TRINITY_DN123585_c5_g2_i2	NA	NA	NA	NA	2.127546853	2.127546853	male	0.593440878	G43_M_mean
TRINITY_DN123585_c5_g3_i1	NA	NA	NA	NA	0.712842148	0.712842148	unbias	0.34860082	Brain_fmean
TRINITY_DN123586_c0_g1_i1	NA	NA	NA	NA	2.812699492	2.812699492	male	0.632756913	Liver_fmean
TRINITY_DN123589_c1_g1_i6	NA	NA	NA	NA	-0.192927427	0.192927427	unbias	0.356321482	Brain_fmean
TRINITY_DN123589_c1_g2_i1	NA	NA	NA	NA	2.31524831	2.31524831	male	0.500559622	Brain_fmean
TRINITY_DN123591_c0_g2_i1	NA	NA	NA	NA	-0.050182363	0.050182363	unbias	0.397251671	Ovary_mean
TRINITY_DN123591_c1_g1_i1	eno4	scaffold_163	191149	191149	2.978408331	2.978408331	male	0.677489179	Testis_mean
TRINITY_DN123593_c0_g1_i5	NA	NA	NA	NA	-2.436042418	2.436042418	female	0.626462204	Ovary_mean
TRINITY_DN123593_c0_g5_i2	rbm27	Chr03	30400683	30400683	0.292717465	0.292717465	unbias	0.419110735	Ovary_mean
TRINITY_DN123593_c0_g6_i1	atmin	Chr04	55369701	55369701	-2.239610359	2.239610359	female	0.453359194	Ovary_mean
TRINITY_DN123595_c5_g2_i2	NA	NA	NA	NA	0.068618087	0.068618087	unbias	0.613859358	Ovary_mean
TRINITY_DN123596_c2_g1_i1	neurod6	Chr06	26805528	26805528	-0.555627004	0.555627004	unbias	0.129195703	Ovary_mean
TRINITY_DN123597_c1_g2_i1	NA	NA	NA	NA	0.643231223	0.643231223	unbias	0.192115194	G23_fmean
TRINITY_DN123597_c3_g1_i3	NA	NA	NA	NA	-2.537958668	2.537958668	female	0.665507218	Ovary_mean
TRINITY_DN123599_c6_g1_i3	runx1	Chr02	9819664	9819664	0.285959909	0.285959909	unbias	0.331044949	Brain_mmean
TRINITY_DN123599_c7_g4_i1	ttll4	Chr09	77814176	77814176	0.250640402	0.250640402	unbias	0.361288857	G43_M_mean
TRINITY_DN123599_c7_g5_i1	Xetrov90022255m	Chr08	110007791	110007791	0.301958477	0.301958477	unbias	0.229962131	G46_F_mean
TRINITY_DN123600_c3_g2_i1	NA	NA	NA	NA	-0.225645925	0.225645925	unbias	0.09842279	Brain_mmean
TRINITY_DN123600_c3_g3_i2	NA	NA	NA	NA	-0.401036964	0.401036964	unbias	0.105318676	Brain_fmean
TRINITY_DN123600_c4_g2_i1	LOC100489853	Chr01	14502547	14502547	-0.051897636	0.051897636	unbias	0.357344983	Brain_mmean
TRINITY_DN123601_c1_g5_i1	NA	NA	NA	NA	-2.060207566	2.060207566	female	0.549917467	Ovary_mean
TRINITY_DN123601_c3_g9_i1	NA	NA	NA	NA	-1.420244045	1.420244045	female	0.55388652	Ovary_mean
TRINITY_DN123602_c3_g2_i2	piwil4	Chr02	161869885	161869885	2.120255005	2.120255005	male	0.21401897	Brain_fmean
TRINITY_DN123602_c3_g8_i2	kirrel	Chr08	112021470	112021470	-1.84257715	1.84257715	female	0.413963113	Ovary_mean
TRINITY_DN123604_c0_g5_i1	NA	NA	NA	NA	7.278762114	7.278762114	male	0.554810516	Testis_mean
TRINITY_DN123605_c0_g2_i1	NA	NA	NA	NA	0.359504873	0.359504873	unbias	0.879019373	Brain_mmean
TRINITY_DN123608_c0_g3_i3	NA	NA	NA	NA	2.279195992	2.279195992	male	0.379708885	G46_M_mean
TRINITY_DN123609_c1_g4_i6	mrps24	Chr03	108215277	108215277	-1.067989161	1.067989161	female	0.508755675	Brain_mmean
TRINITY_DN123610_c0_g1_i3	NA	NA	NA	NA	-1.728084282	1.728084282	female	0.420252602	Ovary_mean
TRINITY_DN123611_c3_g1_i3	NA	NA	NA	NA	2.046753139	2.046753139	male	0.34268285	G43_M_mean
TRINITY_DN123611_c3_g3_i2	NA	NA	NA	NA	1.256164438	1.256164438	male	0.533558404	Testis_mean
TRINITY_DN123611_c3_g4_i1	NA	NA	NA	NA	3.423352314	3.423352314	male	0.397612748	G43_M_mean
TRINITY_DN123612_c1_g1_i5	NA	NA	NA	NA	1.518737067	1.518737067	male	0.152238642	G23_fmean
TRINITY_DN123618_c0_g1_i3	NA	NA	NA	NA	-0.446807801	0.446807801	unbias	0.264292607	G43_M_mean
TRINITY_DN123619_c0_g1_i5	NA	NA	NA	NA	-2.245761252	2.245761252	female	0.511877691	Ovary_mean
TRINITY_DN123620_c10_g2_i1	NA	NA	NA	NA	0.669946689	0.669946689	unbias	0.419791713	Brain_mmean
TRINITY_DN123620_c11_g1_i1	NA	NA	NA	NA	1.77371264	1.77371264	male	0.499099969	Brain_mmean
TRINITY_DN123621_c0_g1_i2	NA	NA	NA	NA	0.430626456	0.430626456	unbias	0.232014003	Ovary_mean
TRINITY_DN123621_c0_g3_i1	NA	NA	NA	NA	0.226981328	0.226981328	unbias	0.190048249	Ovary_mean
TRINITY_DN123622_c3_g14_i5	NA	NA	NA	NA	-0.357521223	0.357521223	unbias	0.272920187	Ovary_mean
TRINITY_DN123626_c0_g1_i1	NA	NA	NA	NA	2.462266247	2.462266247	male	0.397727441	G23_fmean
TRINITY_DN123627_c0_g1_i1	NA	NA	NA	NA	-0.001969005	0.001969005	unbias	0.702595189	Brain_fmean
TRINITY_DN123628_c0_g2_i3	NA	NA	NA	NA	-0.528520352	0.528520352	unbias	0.367310306	Ovary_mean
TRINITY_DN123629_c0_g1_i1	LOC100495287	Chr01	90353356	90353356	-0.229639495	0.229639495	unbias	0.225270332	Brain_fmean
TRINITY_DN123632_c1_g1_i2	LOC100490784	Chr02	4283216	4283216	0.959938477	0.959938477	unbias	0.228896329	G43_M_mean
TRINITY_DN123632_c2_g2_i5	NA	NA	NA	NA	-1.421702995	1.421702995	female	0.43319875	Ovary_mean
TRINITY_DN123633_c0_g1_i1	NA	NA	NA	NA	-5.1499522	5.1499522	female	0.738669548	Ovary_mean
TRINITY_DN123634_c0_g2_i1	NA	NA	NA	NA	1.867870619	1.867870619	male	0.382528585	Brain_fmean
TRINITY_DN123634_c1_g1_i1	NA	NA	NA	NA	1.091362889	1.091362889	male	0.556541671	Brain_mmean
TRINITY_DN123636_c0_g2_i1	NA	NA	NA	NA	-1.824887958	1.824887958	female	0.774408102	Ovary_mean
TRINITY_DN123637_c0_g1_i2	NA	NA	NA	NA	5.299864919	5.299864919	male	0.447184007	Brain_fmean
TRINITY_DN123637_c0_g2_i2	myl9	Chr10	31239706	31239706	0.139265064	0.139265064	unbias	0.362582989	Brain_mmean
TRINITY_DN123638_c0_g1_i1	NA	NA	NA	NA	-1.622213585	1.622213585	unbias	0.363916364	Ovary_mean
TRINITY_DN123639_c0_g1_i1	NA	NA	NA	NA	1.494205281	1.494205281	male	0.320338977	Brain_fmean
TRINITY_DN123640_c0_g1_i1	ezh2	Chr06	63743289	63743289	-0.761275357	0.761275357	unbias	0.408468147	Ovary_mean
TRINITY_DN123642_c0_g1_i2	rbl2-like	Chr04	51939710	51939710	-4.214794195	4.214794195	female	0.840756033	G31_mmean
TRINITY_DN123643_c0_g1_i3	NA	NA	NA	NA	-0.320338132	0.320338132	unbias	0.300494469	Ovary_mean
TRINITY_DN123644_c3_g2_i1	NA	NA	NA	NA	-3.104714447	3.104714447	female	0.620475431	Ovary_mean
TRINITY_DN123646_c0_g2_i3	NA	NA	NA	NA	2.049910935	2.049910935	male	0.223865874	Brain_mmean
TRINITY_DN123648_c0_g1_i1	bhlhe40	Chr04	119695583	119695583	0.005605888	0.005605888	unbias	0.262674661	Brain_fmean
TRINITY_DN123648_c0_g2_i1	NA	NA	NA	NA	-0.482331314	0.482331314	unbias	0.200098929	Brain_mmean
TRINITY_DN123648_c1_g1_i3	NA	NA	NA	NA	-1.548006376	1.548006376	female	0.22195561	Ovary_mean
TRINITY_DN123649_c4_g5_i1	NA	NA	NA	NA	1.159889073	1.159889073	male	0.451718677	Brain_fmean
TRINITY_DN123649_c5_g1_i1	NA	NA	NA	NA	-1.429628117	1.429628117	female	0.604822656	Ovary_mean
TRINITY_DN123650_c0_g2_i1	NA	NA	NA	NA	-3.742719582	3.742719582	female	0.761275815	Ovary_mean
TRINITY_DN123654_c2_g1_i6	NA	NA	NA	NA	-1.036877843	1.036877843	female	0.281053683	Liver_mmean
TRINITY_DN123654_c3_g1_i2	dnajb9	Chr03	56040456	56040456	1.181817061	1.181817061	male	0.403084027	G46_M_mean
TRINITY_DN123655_c6_g5_i1	NA	NA	NA	NA	0.608452768	0.608452768	unbias	0.683185492	Testis_mean
TRINITY_DN123655_c7_g1_i1	abcb7	Chr08	26358015	26358015	-1.585869167	1.585869167	female	0.223416062	G27_mmean
TRINITY_DN123658_c2_g1_i1	NA	NA	NA	NA	-0.914673103	0.914673103	unbias	0.447639652	G23_fmean
TRINITY_DN123658_c2_g3_i2	NA	NA	NA	NA	-0.779879377	0.779879377	unbias	0.391465813	G23_fmean
TRINITY_DN123658_c2_g4_i1	LOC100486893	Chr01	95591053	95591053	-2.648544485	2.648544485	female	0.404892086	G23_fmean
TRINITY_DN123658_c3_g1_i2	NA	NA	NA	NA	0.455657145	0.455657145	unbias	0.180438528	Brain_mmean
TRINITY_DN123658_c3_g2_i6	NA	NA	NA	NA	1.182202195	1.182202195	male	0.423292782	Brain_fmean
TRINITY_DN123658_c4_g2_i1	NA	NA	NA	NA	-1.480954324	1.480954324	female	0.500956019	Ovary_mean
TRINITY_DN123659_c0_g2_i1	gpr65	Chr08	64723463	64723463	0.207523608	0.207523608	unbias	0.507143956	Brain_mmean
TRINITY_DN123662_c0_g1_i5	NA	NA	NA	NA	0.30037664	0.30037664	unbias	0.477225987	Brain_mmean
TRINITY_DN123664_c0_g1_i1	NA	NA	NA	NA	0.494825675	0.494825675	unbias	0.6096356	Brain_fmean
TRINITY_DN123670_c1_g3_i1	NA	NA	NA	NA	1.806986967	1.806986967	male	0.324550833	Brain_mmean
TRINITY_DN123670_c2_g1_i1	NA	NA	NA	NA	-1.423047582	1.423047582	female	0.655576054	G46_M_mean
TRINITY_DN123671_c3_g4_i1	NA	NA	NA	NA	0.668067827	0.668067827	unbias	0.264161744	Brain_fmean
TRINITY_DN123671_c4_g1_i1	NA	NA	NA	NA	-1.245680828	1.245680828	female	0.309063017	G23_fmean
TRINITY_DN123671_c4_g5_i1	NA	NA	NA	NA	-0.25823015	0.25823015	unbias	0.081573081	Ovary_mean
TRINITY_DN123671_c5_g1_i1	NA	NA	NA	NA	1.076622796	1.076622796	unbias	0.404535892	Brain_mmean
TRINITY_DN123674_c0_g1_i5	NA	NA	NA	NA	-1.445224898	1.445224898	female	0.457776222	Ovary_mean
TRINITY_DN123675_c0_g1_i1	sema3e	Chr03	70448465	70448465	0.24731551	0.24731551	unbias	0.357022375	Ovary_mean
TRINITY_DN123676_c0_g2_i2	dpep1	Chr04	61678841	61678841	2.845730041	2.845730041	male	0.820984522	Brain_mmean
TRINITY_DN123677_c5_g2_i1	NA	NA	NA	NA	-2.357051684	2.357051684	female	0.339290606	Ovary_mean
TRINITY_DN123677_c7_g1_i2	ubap1	Chr01	194575893	194575893	-1.414879838	1.414879838	female	0.473648144	Ovary_mean
TRINITY_DN123678_c2_g3_i3	sde2	Chr05	4513000	4513000	2.053075428	2.053075428	male	0.271485177	Testis_mean
TRINITY_DN123678_c2_g6_i3	NA	NA	NA	NA	1.307028403	1.307028403	unbias	0.807132216	Brain_fmean
TRINITY_DN123679_c0_g1_i1	NA	NA	NA	NA	-3.238149803	3.238149803	female	0.644195695	Ovary_mean
