gid	direction	gid	gname	chr	logFC.XY46.XX46	tau	tissue	bias
TRINITY_DN121528_c0_g1_i2	female	TRINITY_DN121528_c0_g1_i2	LOC100490871-like	Chr08	-2.731826804	0.529230906	Ovary_mean	female
TRINITY_DN121548_c0_g1_i1	female	TRINITY_DN121548_c0_g1_i1	Xetrov90020821m	Chr08	-10.84046237	0.865504169	Ovary_mean	female
TRINITY_DN121549_c0_g1_i2	female	TRINITY_DN121549_c0_g1_i2	NA	NA	-2.17154966	0.590801454	Ovary_mean	female
TRINITY_DN121554_c1_g10_i1	female	TRINITY_DN121554_c1_g10_i1	ap3s1	Chr01	-4.020864071	0.718149883	Ovary_mean	female
TRINITY_DN121554_c1_g3_i1	female	TRINITY_DN121554_c1_g3_i1	abcc4	Chr02	-3.737656732	0.714662785	Ovary_mean	female
TRINITY_DN121562_c0_g1_i6	female	TRINITY_DN121562_c0_g1_i6	NA	NA	-9.956120636	0.88536071	Ovary_mean	female
TRINITY_DN121564_c0_g1_i2	female	TRINITY_DN121564_c0_g1_i2	txnl4b	Chr02	-1.244677753	0.592131897	Ovary_mean	female
TRINITY_DN121578_c0_g1_i1	female	TRINITY_DN121578_c0_g1_i1	NA	NA	-1.787210898	0.545789082	Ovary_mean	female
TRINITY_DN121615_c0_g1_i1	female	TRINITY_DN121615_c0_g1_i1	LOC100497120-like	Chr02	-3.003759875	0.551282233	Ovary_mean	female
TRINITY_DN121625_c0_g1_i1	female	TRINITY_DN121625_c0_g1_i1	NA	NA	-3.612986315	0.571820673	Ovary_mean	female
TRINITY_DN121668_c0_g1_i1	female	TRINITY_DN121668_c0_g1_i1	NA	NA	-1.207906282	0.467483532	Ovary_mean	female
TRINITY_DN121691_c3_g3_i1	female	TRINITY_DN121691_c3_g3_i1	NA	NA	-1.846213303	0.55732935	Ovary_mean	female
TRINITY_DN121691_c3_g4_i1	female	TRINITY_DN121691_c3_g4_i1	abcb9	Chr01	-3.005308688	0.781050332	Ovary_mean	female
TRINITY_DN121708_c0_g1_i1	female	TRINITY_DN121708_c0_g1_i1	NA	NA	-4.324157075	0.764789595	Ovary_mean	female
TRINITY_DN121709_c1_g1_i1	female	TRINITY_DN121709_c1_g1_i1	tmbim4	Chr03	-7.831340113	0.780527862	Ovary_mean	female
TRINITY_DN121709_c1_g3_i3	female	TRINITY_DN121709_c1_g3_i3	NA	NA	-7.990003635	0.828147909	Ovary_mean	female
TRINITY_DN121715_c0_g1_i1	female	TRINITY_DN121715_c0_g1_i1	NA	NA	-1.084808344	0.359788933	Ovary_mean	female
TRINITY_DN121726_c0_g1_i1	female	TRINITY_DN121726_c0_g1_i1	eefsec	Chr04	-1.466583911	0.410517346	Ovary_mean	female
TRINITY_DN121728_c2_g2_i3	female	TRINITY_DN121728_c2_g2_i3	Xetrov90019333m	Chr07	-2.932248779	0.422473208	Ovary_mean	female
TRINITY_DN121732_c0_g1_i1	female	TRINITY_DN121732_c0_g1_i1	myf6	Chr03	-4.663305461	0.874446296	Ovary_mean	female
TRINITY_DN121733_c0_g1_i3	female	TRINITY_DN121733_c0_g1_i3	NA	NA	-6.400531811	0.830509353	Ovary_mean	female
TRINITY_DN121771_c0_g1_i1	female	TRINITY_DN121771_c0_g1_i1	NA	NA	-1.013360432	0.466828068	Ovary_mean	female
TRINITY_DN121787_c0_g1_i1	female	TRINITY_DN121787_c0_g1_i1	NA	NA	-2.743928365	0.613526658	Ovary_mean	female
TRINITY_DN121815_c5_g2_i6	female	TRINITY_DN121815_c5_g2_i6	NA	NA	-2.224157781	0.359137396	Ovary_mean	female
TRINITY_DN121820_c0_g1_i2	female	TRINITY_DN121820_c0_g1_i2	NA	NA	-1.894693437	0.573146234	Ovary_mean	female
TRINITY_DN121823_c0_g1_i2	female	TRINITY_DN121823_c0_g1_i2	NA	NA	-1.962206507	0.591276153	Ovary_mean	female
TRINITY_DN121840_c0_g1_i3	female	TRINITY_DN121840_c0_g1_i3	nup153	Chr06	-1.531546426	0.52401954	Ovary_mean	female
TRINITY_DN121862_c1_g1_i1	female	TRINITY_DN121862_c1_g1_i1	stip1	Chr04	-3.061218653	0.770344672	Ovary_mean	female
TRINITY_DN121870_c0_g1_i1	female	TRINITY_DN121870_c0_g1_i1	fibp	Chr04	-1.001647419	0.310334368	Ovary_mean	female
TRINITY_DN121882_c0_g1_i1	female	TRINITY_DN121882_c0_g1_i1	NA	NA	-1.260351988	0.764614786	Ovary_mean	female
TRINITY_DN121888_c0_g2_i1	female	TRINITY_DN121888_c0_g2_i1	NA	NA	-2.07505699	0.511359896	Ovary_mean	female
TRINITY_DN121889_c0_g2_i1	female	TRINITY_DN121889_c0_g2_i1	NA	NA	-1.696086827	0.626073867	Ovary_mean	female
TRINITY_DN121901_c0_g1_i3	female	TRINITY_DN121901_c0_g1_i3	LOC100497391	Chr04	-2.50678449	0.536310592	Ovary_mean	female
TRINITY_DN121918_c0_g1_i1	female	TRINITY_DN121918_c0_g1_i1	NA	NA	-3.123084109	0.58059648	Ovary_mean	female
TRINITY_DN121919_c8_g3_i5	female	TRINITY_DN121919_c8_g3_i5	Xetrov90008110m	Chr03	-1.814009474	0.386312192	Ovary_mean	female
TRINITY_DN121931_c0_g1_i1	female	TRINITY_DN121931_c0_g1_i1	NA	NA	-3.030071008	0.656780336	Ovary_mean	female
TRINITY_DN121943_c0_g1_i2	female	TRINITY_DN121943_c0_g1_i2	NA	NA	-2.107392613	0.406134234	Ovary_mean	female
TRINITY_DN121944_c0_g4_i1	female	TRINITY_DN121944_c0_g4_i1	NA	NA	-1.095314117	0.422466945	Ovary_mean	female
TRINITY_DN121956_c0_g1_i6	female	TRINITY_DN121956_c0_g1_i6	NA	NA	-2.688899482	0.452406344	Ovary_mean	female
TRINITY_DN121973_c0_g1_i2	female	TRINITY_DN121973_c0_g1_i2	katna1	Chr05	-3.414786356	0.623110889	Ovary_mean	female
TRINITY_DN121981_c0_g1_i2	female	TRINITY_DN121981_c0_g1_i2	NA	NA	-1.650133906	0.575157794	Ovary_mean	female
TRINITY_DN121990_c1_g1_i1	female	TRINITY_DN121990_c1_g1_i1	NA	NA	-3.152405277	0.794070217	Ovary_mean	female
TRINITY_DN122000_c1_g3_i2	female	TRINITY_DN122000_c1_g3_i2	NA	NA	-1.443053992	0.704582677	Ovary_mean	female
TRINITY_DN122009_c0_g1_i1	female	TRINITY_DN122009_c0_g1_i1	rwdd2b	Chr02	-4.182374261	0.54222645	Ovary_mean	female
TRINITY_DN122073_c0_g2_i6	female	TRINITY_DN122073_c0_g2_i6	NA	NA	-2.250573314	0.563769652	Ovary_mean	female
TRINITY_DN122074_c0_g1_i2	female	TRINITY_DN122074_c0_g1_i2	NA	NA	-3.64983123	0.707725234	Ovary_mean	female
TRINITY_DN122094_c7_g1_i2	female	TRINITY_DN122094_c7_g1_i2	NA	NA	-2.287748074	0.444603273	Ovary_mean	female
TRINITY_DN122094_c7_g2_i1	female	TRINITY_DN122094_c7_g2_i1	NA	NA	-1.81543089	0.378493573	Ovary_mean	female
TRINITY_DN122117_c0_g3_i3	female	TRINITY_DN122117_c0_g3_i3	NA	NA	-1.528403779	0.4695955	Ovary_mean	female
TRINITY_DN122125_c0_g1_i2	female	TRINITY_DN122125_c0_g1_i2	NA	NA	-3.017679711	0.64741183	Ovary_mean	female
TRINITY_DN122131_c0_g1_i1	female	TRINITY_DN122131_c0_g1_i1	NA	NA	-1.615197868	0.570057963	Ovary_mean	female
TRINITY_DN122136_c0_g1_i2	female	TRINITY_DN122136_c0_g1_i2	NA	NA	-1.736463583	0.569486917	Brain_mean	female
TRINITY_DN122144_c0_g2_i1	female	TRINITY_DN122144_c0_g2_i1	NA	NA	-1.253279071	0.520961826	Ovary_mean	female
TRINITY_DN122146_c0_g1_i1	female	TRINITY_DN122146_c0_g1_i1	c10orf32	Chr07	-2.409456723	0.414834366	Ovary_mean	female
TRINITY_DN122146_c0_g4_i1	female	TRINITY_DN122146_c0_g4_i1	NA	NA	-1.602879173	0.446379281	Ovary_mean	female
TRINITY_DN122146_c0_g9_i1	female	TRINITY_DN122146_c0_g9_i1	kiaa0196	Chr06	-1.971308623	0.440195396	Ovary_mean	female
TRINITY_DN122167_c0_g1_i8	female	TRINITY_DN122167_c0_g1_i8	rfx1	Chr03	-3.866850976	0.443012843	Ovary_mean	female
TRINITY_DN122173_c0_g1_i1	female	TRINITY_DN122173_c0_g1_i1	NA	NA	-2.626543943	0.546570931	Ovary_mean	female
TRINITY_DN122182_c0_g1_i2	female	TRINITY_DN122182_c0_g1_i2	NA	NA	-1.251119728	0.488423373	Ovary_mean	female
TRINITY_DN122194_c3_g1_i2	female	TRINITY_DN122194_c3_g1_i2	ttc9b	Chr08	-5.795864638	0.697605689	Ovary_mean	female
TRINITY_DN122199_c0_g1_i2	female	TRINITY_DN122199_c0_g1_i2	NA	NA	-1.257146808	0.50470089	Ovary_mean	female
TRINITY_DN122200_c2_g4_i2	female	TRINITY_DN122200_c2_g4_i2	NA	NA	-1.562909275	0.538859421	Ovary_mean	female
TRINITY_DN122213_c2_g5_i1	female	TRINITY_DN122213_c2_g5_i1	NA	NA	-1.448654244	0.519192738	Ovary_mean	female
TRINITY_DN122218_c0_g2_i1	female	TRINITY_DN122218_c0_g2_i1	NA	NA	-1.64301326	0.309665228	Ovary_mean	female
TRINITY_DN122221_c0_g2_i1	female	TRINITY_DN122221_c0_g2_i1	NA	NA	-1.427085548	0.560831219	Ovary_mean	female
TRINITY_DN122222_c0_g3_i5	female	TRINITY_DN122222_c0_g3_i5	NA	NA	-1.752889227	0.469266644	Ovary_mean	female
TRINITY_DN122225_c0_g1_i5	female	TRINITY_DN122225_c0_g1_i5	NA	NA	-2.23670306	0.473373709	Ovary_mean	female
TRINITY_DN122229_c0_g1_i1	female	TRINITY_DN122229_c0_g1_i1	NA	NA	-1.633904845	0.401513388	Ovary_mean	female
TRINITY_DN122244_c0_g1_i1	female	TRINITY_DN122244_c0_g1_i1	aass	Chr03	-1.299043267	0.416502572	Ovary_mean	female
TRINITY_DN122245_c0_g1_i1	female	TRINITY_DN122245_c0_g1_i1	LOC100490653	Chr07	-4.250962631	0.576031077	Ovary_mean	female
TRINITY_DN122287_c2_g3_i6	female	TRINITY_DN122287_c2_g3_i6	NA	NA	-2.054758365	0.593019482	Ovary_mean	female
TRINITY_DN122293_c0_g1_i1	female	TRINITY_DN122293_c0_g1_i1	NA	NA	-9.264453692	0.842015965	Ovary_mean	female
TRINITY_DN122298_c0_g2_i1	female	TRINITY_DN122298_c0_g2_i1	NA	NA	-1.815928011	0.54871531	Ovary_mean	female
TRINITY_DN122300_c0_g1_i3	female	TRINITY_DN122300_c0_g1_i3	NA	NA	-6.202323295	0.640637195	Ovary_mean	female
TRINITY_DN122308_c0_g2_i4	female	TRINITY_DN122308_c0_g2_i4	NA	NA	-1.213854913	0.524139855	Ovary_mean	female
TRINITY_DN122315_c2_g2_i3	female	TRINITY_DN122315_c2_g2_i3	LOC100487324	Chr04	-3.376073934	0.720606894	Ovary_mean	female
TRINITY_DN122337_c0_g1_i2	female	TRINITY_DN122337_c0_g1_i2	LOC100490440	Chr07	-4.021242899	0.684236494	Ovary_mean	female
TRINITY_DN122337_c0_g3_i1	female	TRINITY_DN122337_c0_g3_i1	NA	NA	-3.530528797	0.6463109	Ovary_mean	female
TRINITY_DN122371_c0_g1_i1	female	TRINITY_DN122371_c0_g1_i1	spop	Chr10	-2.159968041	0.355324287	Ovary_mean	female
TRINITY_DN122373_c0_g1_i2	female	TRINITY_DN122373_c0_g1_i2	NA	NA	-3.568141938	0.628747211	Brain_mean	female
TRINITY_DN122373_c0_g2_i1	female	TRINITY_DN122373_c0_g2_i1	NA	NA	-4.715465903	0.705029662	Ovary_mean	female
TRINITY_DN122374_c1_g1_i4	female	TRINITY_DN122374_c1_g1_i4	cyp21a2.1	Chr08	-1.194830797	0.412407587	Ovary_mean	female
TRINITY_DN122374_c1_g5_i1	female	TRINITY_DN122374_c1_g5_i1	NA	NA	-1.550916607	0.443630173	Ovary_mean	female
TRINITY_DN122379_c0_g2_i1	female	TRINITY_DN122379_c0_g2_i1	NA	NA	-1.409503019	0.280290808	Ovary_mean	female
TRINITY_DN122382_c0_g1_i1	female	TRINITY_DN122382_c0_g1_i1	NA	NA	-2.615173215	0.362626821	Ovary_mean	female
TRINITY_DN122385_c2_g1_i3	female	TRINITY_DN122385_c2_g1_i3	mug1	scaffold_244	-3.397599393	0.626464528	Ovary_mean	female
TRINITY_DN122399_c0_g1_i2	female	TRINITY_DN122399_c0_g1_i2	NA	NA	-1.690325264	0.445297057	Ovary_mean	female
TRINITY_DN122413_c4_g5_i2	female	TRINITY_DN122413_c4_g5_i2	NA	NA	-3.292894718	0.64581193	Ovary_mean	female
TRINITY_DN122414_c0_g1_i3	female	TRINITY_DN122414_c0_g1_i3	NA	NA	-2.829849402	0.668565311	Ovary_mean	female
TRINITY_DN122420_c1_g1_i3	female	TRINITY_DN122420_c1_g1_i3	NA	NA	-1.047747502	0.375404855	Ovary_mean	female
TRINITY_DN122435_c0_g1_i2	female	TRINITY_DN122435_c0_g1_i2	NA	NA	-2.534925097	0.635152583	Ovary_mean	female
TRINITY_DN122436_c6_g1_i1	female	TRINITY_DN122436_c6_g1_i1	NA	NA	-3.103623789	0.633998045	Ovary_mean	female
TRINITY_DN122436_c6_g3_i3	female	TRINITY_DN122436_c6_g3_i3	NA	NA	-2.73288414	0.618071757	Ovary_mean	female
TRINITY_DN122439_c0_g1_i1	female	TRINITY_DN122439_c0_g1_i1	pnpla8	Chr03	-2.289441701	0.605870065	Ovary_mean	female
TRINITY_DN122453_c4_g2_i1	female	TRINITY_DN122453_c4_g2_i1	NA	NA	-2.828986472	0.467525709	Ovary_mean	female
TRINITY_DN122463_c7_g3_i2	female	TRINITY_DN122463_c7_g3_i2	NA	NA	-1.860484974	0.58488018	Ovary_mean	female
TRINITY_DN122469_c0_g1_i1	female	TRINITY_DN122469_c0_g1_i1	LOC101733132	Chr03	-2.39409498	0.463860683	Ovary_mean	female
TRINITY_DN122475_c2_g1_i2	female	TRINITY_DN122475_c2_g1_i2	znf143	Chr04	-2.182808435	0.488141811	Ovary_mean	female
TRINITY_DN122476_c2_g2_i3	female	TRINITY_DN122476_c2_g2_i3	NA	NA	-1.380117089	0.236987189	Ovary_mean	female
TRINITY_DN122501_c0_g1_i2	female	TRINITY_DN122501_c0_g1_i2	NA	NA	-1.403089248	0.571821446	Ovary_mean	female
TRINITY_DN122531_c0_g2_i1	female	TRINITY_DN122531_c0_g2_i1	NA	NA	-1.82366047	0.568535291	Ovary_mean	female
TRINITY_DN122531_c0_g3_i1	female	TRINITY_DN122531_c0_g3_i1	NA	NA	-2.213420966	0.42022092	Ovary_mean	female
TRINITY_DN122562_c0_g1_i2	female	TRINITY_DN122562_c0_g1_i2	NA	NA	-1.536372611	0.638499578	Ovary_mean	female
TRINITY_DN122582_c0_g1_i1	female	TRINITY_DN122582_c0_g1_i1	NA	NA	-1.802525146	0.494544293	Ovary_mean	female
TRINITY_DN122587_c0_g2_i1	female	TRINITY_DN122587_c0_g2_i1	NA	NA	-1.279423209	0.3154127	Ovary_mean	female
TRINITY_DN122590_c2_g1_i1	female	TRINITY_DN122590_c2_g1_i1	trmt11-like	Chr05	-1.283147634	0.537911769	Ovary_mean	female
TRINITY_DN122603_c0_g1_i1	female	TRINITY_DN122603_c0_g1_i1	NA	NA	-1.35319393	0.519239804	Ovary_mean	female
TRINITY_DN122604_c0_g1_i1	female	TRINITY_DN122604_c0_g1_i1	nipal4	Chr03	-2.849617832	0.503557631	Ovary_mean	female
TRINITY_DN122613_c0_g1_i3	female	TRINITY_DN122613_c0_g1_i3	NA	NA	-1.520833045	0.407206546	Ovary_mean	female
TRINITY_DN122615_c0_g2_i1	female	TRINITY_DN122615_c0_g2_i1	ntrk2	Chr01	-1.261502969	0.639075179	Brain_mean	female
TRINITY_DN122628_c3_g3_i1	female	TRINITY_DN122628_c3_g3_i1	dnajb2	Chr09	-1.143827285	0.468963811	Ovary_mean	female
TRINITY_DN122646_c2_g2_i1	female	TRINITY_DN122646_c2_g2_i1	fbp2	Chr01	-1.179659765	0.333049878	Ovary_mean	female
TRINITY_DN122649_c5_g3_i1	female	TRINITY_DN122649_c5_g3_i1	NA	NA	-12.01173182	0.665931115	Ovary_mean	female
TRINITY_DN122657_c4_g1_i1	female	TRINITY_DN122657_c4_g1_i1	LOC100489930	Chr02	-1.746696431	0.515901782	Ovary_mean	female
TRINITY_DN122658_c0_g1_i4	female	TRINITY_DN122658_c0_g1_i4	NA	NA	-8.905277446	0.915059757	Ovary_mean	female
TRINITY_DN122661_c0_g1_i5	female	TRINITY_DN122661_c0_g1_i5	mrpl10	Chr10	-3.892319836	0.711511017	Ovary_mean	female
TRINITY_DN122678_c0_g1_i1	female	TRINITY_DN122678_c0_g1_i1	NA	NA	-3.075439704	0.620005487	Ovary_mean	female
TRINITY_DN122686_c1_g1_i1	female	TRINITY_DN122686_c1_g1_i1	NA	NA	-1.322369959	0.537631135	Ovary_mean	female
TRINITY_DN122708_c1_g6_i3	female	TRINITY_DN122708_c1_g6_i3	NA	NA	-2.303812183	0.558285383	Ovary_mean	female
TRINITY_DN122713_c0_g1_i3	female	TRINITY_DN122713_c0_g1_i3	NA	NA	-1.75825376	0.421464945	Ovary_mean	female
TRINITY_DN122714_c15_g1_i1	female	TRINITY_DN122714_c15_g1_i1	neil3	Chr01	-1.086750625	0.36235471	Ovary_mean	female
TRINITY_DN122717_c0_g1_i1	female	TRINITY_DN122717_c0_g1_i1	NA	NA	-1.488665984	0.543765003	Ovary_mean	female
TRINITY_DN122722_c0_g1_i2	female	TRINITY_DN122722_c0_g1_i2	hmp19	Chr03	-1.23748188	0.353450786	Ovary_mean	female
TRINITY_DN122727_c0_g1_i1	female	TRINITY_DN122727_c0_g1_i1	NA	NA	-1.328213305	0.699857904	Ovary_mean	female
TRINITY_DN122731_c0_g2_i1	female	TRINITY_DN122731_c0_g2_i1	NA	NA	-1.337505353	0.416242538	Ovary_mean	female
TRINITY_DN122749_c0_g1_i3	female	TRINITY_DN122749_c0_g1_i3	NA	NA	-3.539211815	0.391105371	Ovary_mean	female
TRINITY_DN122768_c0_g1_i2	female	TRINITY_DN122768_c0_g1_i2	NA	NA	-2.839811003	0.49716503	Brain_mean	female
TRINITY_DN122784_c0_g1_i2	female	TRINITY_DN122784_c0_g1_i2	NA	NA	-2.733986579	0.433817822	Ovary_mean	female
TRINITY_DN122808_c0_g2_i1	female	TRINITY_DN122808_c0_g2_i1	NA	NA	-2.149686719	0.51806453	Ovary_mean	female
TRINITY_DN122851_c0_g2_i1	female	TRINITY_DN122851_c0_g2_i1	NA	NA	-1.388638535	0.514410923	Ovary_mean	female
TRINITY_DN122865_c0_g1_i1	female	TRINITY_DN122865_c0_g1_i1	f2rl3	Chr01	-1.824179865	0.405898852	Ovary_mean	female
TRINITY_DN122887_c4_g3_i2	female	TRINITY_DN122887_c4_g3_i2	NA	NA	-1.571694233	0.473636288	Ovary_mean	female
TRINITY_DN122895_c0_g1_i2	female	TRINITY_DN122895_c0_g1_i2	atp6v1g2	Chr08	-1.608729399	0.566370597	Ovary_mean	female
TRINITY_DN122897_c0_g1_i1	female	TRINITY_DN122897_c0_g1_i1	NA	NA	-2.311019687	0.595245781	Ovary_mean	female
TRINITY_DN122902_c1_g1_i4	female	TRINITY_DN122902_c1_g1_i4	NA	NA	-1.305659267	0.740440891	Ovary_mean	female
TRINITY_DN122956_c3_g1_i1	female	TRINITY_DN122956_c3_g1_i1	LOC101732964	Chr07	-1.385034204	0.399802092	Ovary_mean	female
TRINITY_DN122956_c5_g2_i1	female	TRINITY_DN122956_c5_g2_i1	atg4a	Chr08	-3.024535677	0.581014116	Ovary_mean	female
TRINITY_DN122965_c0_g2_i3	female	TRINITY_DN122965_c0_g2_i3	NA	NA	-1.100889734	0.475487842	Ovary_mean	female
TRINITY_DN122968_c0_g1_i1	female	TRINITY_DN122968_c0_g1_i1	stard13	Chr02	-2.108117525	0.636385938	Ovary_mean	female
TRINITY_DN122985_c0_g1_i4	female	TRINITY_DN122985_c0_g1_i4	kissr2	Chr04	-1.437345622	0.374153156	Ovary_mean	female
TRINITY_DN122996_c0_g5_i1	female	TRINITY_DN122996_c0_g5_i1	NA	NA	-1.036638835	0.390644628	Ovary_mean	female
TRINITY_DN123010_c0_g2_i1	female	TRINITY_DN123010_c0_g2_i1	NA	NA	-3.101681127	0.607016356	Ovary_mean	female
TRINITY_DN123016_c0_g3_i2	female	TRINITY_DN123016_c0_g3_i2	NA	NA	-1.945061358	0.673340141	Ovary_mean	female
TRINITY_DN123029_c0_g1_i2	female	TRINITY_DN123029_c0_g1_i2	NA	NA	-1.78678995	0.549412326	Ovary_mean	female
TRINITY_DN123029_c0_g2_i2	female	TRINITY_DN123029_c0_g2_i2	NA	NA	-2.226169802	0.652636668	Ovary_mean	female
TRINITY_DN123033_c3_g1_i6	female	TRINITY_DN123033_c3_g1_i6	NA	NA	-1.976117768	0.523609608	Ovary_mean	female
TRINITY_DN123034_c0_g1_i1	female	TRINITY_DN123034_c0_g1_i1	NA	NA	-2.312895156	0.56044083	Ovary_mean	female
TRINITY_DN123043_c0_g1_i1	female	TRINITY_DN123043_c0_g1_i1	NA	NA	-2.312807672	0.603257226	Brain_mean	female
TRINITY_DN123052_c0_g1_i2	female	TRINITY_DN123052_c0_g1_i2	LOC100493992	Chr10	-9.248491012	0.897405605	Ovary_mean	female
TRINITY_DN123057_c1_g1_i1	female	TRINITY_DN123057_c1_g1_i1	NA	NA	-1.888348054	0.657010583	Ovary_mean	female
TRINITY_DN123083_c11_g5_i4	female	TRINITY_DN123083_c11_g5_i4	NA	NA	-1.045353801	0.39705037	Ovary_mean	female
TRINITY_DN123099_c0_g1_i6	female	TRINITY_DN123099_c0_g1_i6	rhoj-like	Chr08	-1.530866332	0.419050838	G23_mean	female
TRINITY_DN123115_c0_g1_i2	female	TRINITY_DN123115_c0_g1_i2	NA	NA	-1.174395024	0.385415731	Ovary_mean	female
TRINITY_DN123123_c2_g1_i6	female	TRINITY_DN123123_c2_g1_i6	NA	NA	-2.336792008	0.642184563	Ovary_mean	female
TRINITY_DN123134_c0_g1_i8	female	TRINITY_DN123134_c0_g1_i8	NA	NA	-1.992558161	0.502492995	Ovary_mean	female
TRINITY_DN123147_c0_g1_i1	female	TRINITY_DN123147_c0_g1_i1	ddx20	Chr02	-12.62014153	0.920710154	Ovary_mean	female
TRINITY_DN123160_c3_g1_i1	female	TRINITY_DN123160_c3_g1_i1	NA	NA	-1.575298346	0.55940613	Ovary_mean	female
TRINITY_DN123168_c0_g1_i1	female	TRINITY_DN123168_c0_g1_i1	NA	NA	-3.036105036	0.571833543	Ovary_mean	female
TRINITY_DN123177_c0_g1_i11	female	TRINITY_DN123177_c0_g1_i11	NA	NA	-1.999981037	0.467264821	Ovary_mean	female
TRINITY_DN123183_c0_g1_i1	female	TRINITY_DN123183_c0_g1_i1	NA	NA	-3.29708741	0.730081704	Ovary_mean	female
TRINITY_DN123184_c1_g1_i1	female	TRINITY_DN123184_c1_g1_i1	NA	NA	-3.03331143	0.575540843	Ovary_mean	female
TRINITY_DN123184_c1_g4_i1	female	TRINITY_DN123184_c1_g4_i1	NA	NA	-2.629945231	0.612631937	Ovary_mean	female
TRINITY_DN123189_c2_g7_i4	female	TRINITY_DN123189_c2_g7_i4	Xetrov90022255m	Chr08	-1.348981747	0.411018252	Ovary_mean	female
TRINITY_DN123193_c0_g2_i5	female	TRINITY_DN123193_c0_g2_i5	NA	NA	-1.20435418	0.276390075	Ovary_mean	female
TRINITY_DN123204_c5_g4_i1	female	TRINITY_DN123204_c5_g4_i1	NA	NA	-1.382492793	0.479189198	Ovary_mean	female
TRINITY_DN123204_c8_g1_i1	female	TRINITY_DN123204_c8_g1_i1	NA	NA	-2.217805331	0.481395352	Ovary_mean	female
TRINITY_DN123229_c1_g2_i1	female	TRINITY_DN123229_c1_g2_i1	NA	NA	-1.958507462	0.562985267	Ovary_mean	female
TRINITY_DN123236_c2_g8_i2	female	TRINITY_DN123236_c2_g8_i2	NA	NA	-3.855642816	0.650691108	Ovary_mean	female
TRINITY_DN123257_c0_g1_i1	female	TRINITY_DN123257_c0_g1_i1	NA	NA	-5.728798659	0.775857667	Brain_mean	female
TRINITY_DN123263_c0_g1_i4	female	TRINITY_DN123263_c0_g1_i4	LOC101733792	Chr05	-1.329280021	0.373991292	Ovary_mean	female
TRINITY_DN123289_c4_g7_i1	female	TRINITY_DN123289_c4_g7_i1	wnt10b	Chr02	-3.50821371	0.754341776	Ovary_mean	female
TRINITY_DN123299_c0_g1_i4	female	TRINITY_DN123299_c0_g1_i4	NA	NA	-1.465227686	0.506005312	Ovary_mean	female
TRINITY_DN123307_c0_g1_i1	female	TRINITY_DN123307_c0_g1_i1	smarcd2	Chr10	-3.168988004	0.611430758	Ovary_mean	female
TRINITY_DN123319_c3_g4_i1	female	TRINITY_DN123319_c3_g4_i1	NA	NA	-2.140574891	0.632303929	Ovary_mean	female
TRINITY_DN123320_c0_g3_i7	female	TRINITY_DN123320_c0_g3_i7	nat8l	Chr01	-1.257939112	0.588122552	Ovary_mean	female
TRINITY_DN123345_c0_g1_i3	female	TRINITY_DN123345_c0_g1_i3	NA	NA	-2.015552876	0.65936994	Brain_mean	female
TRINITY_DN123349_c1_g3_i1	female	TRINITY_DN123349_c1_g3_i1	NA	NA	-7.126563766	0.836335417	Ovary_mean	female
TRINITY_DN123349_c1_g4_i2	female	TRINITY_DN123349_c1_g4_i2	NA	NA	-3.805158848	0.593462508	Ovary_mean	female
TRINITY_DN123354_c0_g1_i1	female	TRINITY_DN123354_c0_g1_i1	ppp1r21-like	Chr05	-1.868653475	0.67858231	G27_mean	female
TRINITY_DN123361_c0_g1_i1	female	TRINITY_DN123361_c0_g1_i1	NA	NA	-1.635210628	0.437081497	Ovary_mean	female
TRINITY_DN123367_c1_g1_i4	female	TRINITY_DN123367_c1_g1_i4	NA	NA	-1.691285377	0.457622753	Ovary_mean	female
TRINITY_DN123377_c2_g3_i1	female	TRINITY_DN123377_c2_g3_i1	NA	NA	-1.09730244	0.468971202	Ovary_mean	female
TRINITY_DN123379_c0_g1_i2	female	TRINITY_DN123379_c0_g1_i2	b4galnt4	Chr04	-1.869276681	0.521662845	Ovary_mean	female
TRINITY_DN123396_c0_g1_i4	female	TRINITY_DN123396_c0_g1_i4	NA	NA	-8.598793806	0.823095922	Ovary_mean	female
TRINITY_DN123402_c0_g1_i1	female	TRINITY_DN123402_c0_g1_i1	NA	NA	-2.905460039	0.375618325	Ovary_mean	female
TRINITY_DN123408_c0_g1_i6	female	TRINITY_DN123408_c0_g1_i6	NA	NA	-1.467061589	0.400632548	Ovary_mean	female
TRINITY_DN123418_c0_g1_i3	female	TRINITY_DN123418_c0_g1_i3	NA	NA	-2.443260776	0.428413363	Ovary_mean	female
TRINITY_DN123436_c7_g2_i5	female	TRINITY_DN123436_c7_g2_i5	c21orf62	Chr02	-2.48081082	0.57067999	Ovary_mean	female
TRINITY_DN123442_c0_g2_i1	female	TRINITY_DN123442_c0_g2_i1	NA	NA	-1.29247125	0.344845534	Ovary_mean	female
TRINITY_DN123448_c1_g4_i1	female	TRINITY_DN123448_c1_g4_i1	NA	NA	-2.03499752	0.564657606	Ovary_mean	female
TRINITY_DN123456_c0_g3_i1	female	TRINITY_DN123456_c0_g3_i1	NA	NA	-9.004878144	0.813946812	Ovary_mean	female
TRINITY_DN123456_c0_g4_i1	female	TRINITY_DN123456_c0_g4_i1	NA	NA	-5.749122073	0.643824539	Ovary_mean	female
