gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN122965_c0_g2_i3	NA	NA	NA	NA	0.075696184	unbias	0.504134094	Ovary_mean	0.0566	0.1061	1.8746
TRINITY_DN122976_c0_g2_i2	NA	NA	NA	NA	-0.174781359	unbias	0.516458729	G27_fmean	0.1022	0.1924	1.8824
TRINITY_DN122980_c0_g2_i2	NA	NA	NA	NA	-0.087234188	unbias	0.636261671	Brain_fmean	0.0215	0.0166	0.7728
TRINITY_DN122985_c0_g1_i4	NA	NA	NA	NA	0.05841363	unbias	0.406768461	Ovary_mean	0.1344	0.2273	1.6914
TRINITY_DN122989_c0_g1_i1	NA	NA	NA	NA	-0.315447471	unbias	0.77715385	Ovary_mean	0.0947	0.1734	1.831
TRINITY_DN122990_c0_g2_i8	NA	NA	NA	NA	0.192739642	unbias	0.476520119	Ovary_mean	0.1071	0.1727	1.6133
TRINITY_DN122993_c0_g1_i2	NA	NA	NA	NA	-0.101177732	unbias	0.50616774	Brain_fmean	0.0512	0.0399	0.7788
TRINITY_DN122994_c0_g1_i1	atxn7l1-like	Chr03	67423295	67423295	0.234982184	unbias	0.308207643	Ovary_mean	0.0472	0.0618	1.3096
TRINITY_DN122996_c0_g5_i1	fhdc1	Chr01	46032260	46032260	0.021915791	unbias	0.403390107	Ovary_mean	0.0833	0.1302	1.5625
TRINITY_DN122997_c0_g1_i2	neil3	Chr01	38056089	38056089	0.033294449	unbias	0.43614001	Brain_mmean	0.0846	0.1459	1.725
TRINITY_DN123001_c0_g1_i3	NA	NA	NA	NA	0.347733956	unbias	0.482028614	Brain_mmean	0.0903	0.138	1.5282
TRINITY_DN123005_c4_g3_i3	s1pr1	Chr04	99065892	99065892	0.395748286	unbias	0.423656257	Testis_mean	0.0979	0.1915	1.9549
TRINITY_DN123006_c2_g6_i1	NA	NA	NA	NA	0.247056123	unbias	0.292399205	G23_mmean	0.0405	0.0789	1.9503
TRINITY_DN123008_c3_g1_i2	fam219b	Chr03	84300642	84300642	-0.093752511	unbias	0.120202404	Ovary_mean	0.1768	0.322	1.8211
TRINITY_DN123011_c1_g2_i1	NA	NA	NA	NA	-0.111130983	unbias	0.333678329	Brain_fmean	0.0522	0.0672	1.2873
TRINITY_DN123012_c1_g2_i1	vps29	Chr01	154178855	154178855	0.640297197	unbias	0.388015216	Ovary_mean	0.0151	0.025	1.6562
TRINITY_DN123019_c0_g1_i7	NA	NA	NA	NA	-0.931760031	unbias	0.228808032	Ovary_mean	0.109	0.1807	1.6574
TRINITY_DN123028_c3_g1_i2	NA	NA	NA	NA	0.05698919	unbias	0.274350858	Brain_mmean	0.0516	0.0821	1.5911
TRINITY_DN123030_c1_g1_i2	NA	NA	NA	NA	-0.006498793	unbias	0.751321262	Liver_fmean	0.1427	0.2161	1.5146
TRINITY_DN123030_c2_g2_i1	NA	NA	NA	NA	-0.068189702	unbias	0.38080654	Brain_fmean	0.1564	0.0742	0.4746
TRINITY_DN123034_c0_g1_i1	asns	scaffold_73	1301040	1301040	-0.257501334	unbias	0.592743175	Ovary_mean	0.1239	0.2248	1.8145
TRINITY_DN123046_c0_g1_i1	NA	NA	NA	NA	0.080624694	unbias	0.5565143	Ovary_mean	0.0473	0.0694	1.4695
TRINITY_DN123048_c0_g1_i8	NA	NA	NA	NA	-0.125395996	unbias	0.356414482	Ovary_mean	0.0115	0.0085	0.7391
TRINITY_DN123049_c1_g1_i1	NA	NA	NA	NA	0.035252347	unbias	0.288982701	Ovary_mean	0.0907	0.1074	1.1833
TRINITY_DN123051_c5_g1_i6	NA	NA	NA	NA	-0.116261157	unbias	0.469033633	G46_M_mean	0.2245	0.366	1.63
TRINITY_DN123054_c2_g2_i2	NA	NA	NA	NA	1.290972973	male 	0.620482085	Brain_mmean	0.1098	0.2139	1.9484
TRINITY_DN123059_c0_g3_i4	pygl	Chr08	75299743	75299743	-0.099026005	unbias	0.508436836	G43_M_mean	0.0487	0.0641	1.316
TRINITY_DN123061_c0_g2_i1	NA	NA	NA	NA	-0.218164411	unbias	0.441516993	Ovary_mean	0.1187	0.237	1.9973
TRINITY_DN123063_c0_g1_i4	NA	NA	NA	NA	-1.171465795	unbias	0.593011414	G27_mmean	0.0979	0.1761	1.7989
TRINITY_DN123067_c1_g1_i1	rab21	Chr03	50572154	50572154	0.370881077	unbias	0.700799534	Brain_mmean	0.1718	0.2831	1.6476
TRINITY_DN123070_c0_g1_i1	ddx4	Chr01	178458618	178458618	-0.363511317	unbias	0.722363024	G43_M_mean	0.1917	0.3333	1.7392
TRINITY_DN123075_c0_g1_i9	NA	NA	NA	NA	-0.108309293	unbias	0.263556774	Testis_mean	0.0615	0.0977	1.5896
TRINITY_DN123076_c0_g1_i1	NA	NA	NA	NA	-0.068654093	unbias	0.803579134	Brain_mmean	0.1293	0.1799	1.3911
TRINITY_DN123085_c0_g1_i1	NA	NA	NA	NA	-0.044857664	unbias	0.425654426	Ovary_mean	0.0378	0.0595	1.5725
TRINITY_DN123090_c3_g1_i4	wdr66	Chr01	153461529	153461529	-0.331222513	unbias	0.256474971	Brain_fmean	0.1679	0.2796	1.6654
TRINITY_DN123093_c0_g2_i1	NA	NA	NA	NA	0.163958402	unbias	0.75291145	Brain_mmean	0.0694	0.082	1.1827
TRINITY_DN123099_c0_g2_i2	NA	NA	NA	NA	-0.727391087	unbias	0.785072736	Brain_fmean	0.2023	0.2959	1.4628
TRINITY_DN123103_c0_g1_i1	NA	NA	NA	NA	0.012721507	unbias	0.535107704	Brain_mmean	0.0424	0.0581	1.3724
TRINITY_DN123108_c0_g3_i1	dusp22	Chr06	51117287	51117287	-0.094381697	unbias	0.839126088	Brain_mmean	0.0124	0.0198	1.591
TRINITY_DN123108_c4_g5_i4	NA	NA	NA	NA	0.047615971	unbias	0.331289579	Brain_mmean	0.0624	0.0363	0.5816
TRINITY_DN123115_c0_g1_i2	NA	NA	NA	NA	-0.057491586	unbias	0.419267078	Ovary_mean	0.0393	0.0494	1.2565
TRINITY_DN123119_c7_g4_i2	rln3	Chr03	129925810	129925810	0.06731474	unbias	0.311653908	G23_mmean	0.0726	0.1267	1.7448
TRINITY_DN123123_c3_g5_i1	jak1	Chr04	79033227	79033227	-0.149475069	unbias	0.090065687	G27_fmean	0.1039	0.1455	1.4003
TRINITY_DN123128_c0_g2_i1	NA	NA	NA	NA	-0.515427485	unbias	0.350977373	G23_fmean	0.0798	0.1308	1.6387
TRINITY_DN123130_c1_g1_i1	NA	NA	NA	NA	-0.240280795	unbias	0.342505345	G46_F_mean	0.0304	0.0208	0.6848
TRINITY_DN123133_c0_g1_i1	bcl7b	Chr02	31784058	31784058	0.076724319	unbias	0.454307784	Ovary_mean	0.0559	0.1116	1.9969
TRINITY_DN123134_c0_g1_i8	NA	NA	NA	NA	0.140257047	unbias	0.556364706	Ovary_mean	0.0307	0.0361	1.1727
TRINITY_DN123135_c0_g1_i1	trpm7	Chr03	94883286	94883286	0.07196588	unbias	0.10252402	G27_fmean	0.0393	0.0712	1.8118
TRINITY_DN123138_c0_g1_i2	NA	NA	NA	NA	0.017383783	unbias	0.692367301	Brain_mmean	0.0302	0.0507	1.6781
TRINITY_DN123142_c0_g1_i2	NA	NA	NA	NA	-0.181018386	unbias	0.516312463	Ovary_mean	0.0189	0.0196	1.0367
TRINITY_DN123148_c0_g1_i2	NA	NA	NA	NA	-0.102857832	unbias	0.400615403	Brain_fmean	0.0688	0.1246	1.8118
TRINITY_DN123155_c2_g3_i10	NA	NA	NA	NA	0.052900424	unbias	0.627029556	Brain_mmean	0.0752	0.0452	0.6011
TRINITY_DN123158_c0_g1_i7	mmp17	Chr01	148212735	148212735	0.103528063	unbias	0.596562186	Brain_mmean	0.0468	0.0488	1.0418
TRINITY_DN123159_c2_g5_i1	NA	NA	NA	NA	0.424618929	unbias	0.461469628	Ovary_mean	0.047	0.0853	1.8148
TRINITY_DN123166_c4_g6_i1	hid1	Chr10	35688243	35688243	0.317516025	unbias	0.195044357	G23_fmean	0.1529	0.1111	0.7271
TRINITY_DN123168_c0_g1_i1	NA	NA	NA	NA	-0.141180729	unbias	0.595389846	Ovary_mean	0.0985	0.1854	1.883
TRINITY_DN123172_c3_g2_i2	NA	NA	NA	NA	0.314262418	unbias	0.633317889	Ovary_mean	0.0329	0.0504	1.532
TRINITY_DN123172_c4_g1_i2	LOC100490649	Chr01	129940491	129940491	0.165872572	unbias	0.631406993	Brain_mmean	0.1095	0.1746	1.5948
TRINITY_DN123173_c2_g1_i4	NA	NA	NA	NA	0.001045157	unbias	0.61890167	Brain_mmean	0.1813	0.2923	1.6121
TRINITY_DN123178_c0_g1_i3	NA	NA	NA	NA	-0.233926445	unbias	0.417188292	Testis_mean	0.0806	0.1316	1.6318
TRINITY_DN123183_c0_g1_i1	NA	NA	NA	NA	-0.428590531	unbias	0.771439657	Ovary_mean	0.1363	0.2473	1.8141
TRINITY_DN123188_c6_g3_i2	NA	NA	NA	NA	0.150726261	unbias	0.539172977	Ovary_mean	0.0526	0.0683	1.2998
TRINITY_DN123189_c2_g7_i4	NA	NA	NA	NA	0.018850934	unbias	0.431177879	Ovary_mean	0.0466	0.082	1.7585
TRINITY_DN123190_c0_g1_i1	NA	NA	NA	NA	0.099951232	unbias	0.793513037	Brain_mmean	0.1317	0.2212	1.6804
TRINITY_DN123193_c0_g2_i5	NA	NA	NA	NA	0.14759213	unbias	0.311356085	Ovary_mean	0.0744	0.1221	1.6402
TRINITY_DN123199_c0_g1_i2	NA	NA	NA	NA	0.085764207	unbias	0.655568932	G46_F_mean	0.0983	0.1001	1.0185
TRINITY_DN123201_c0_g1_i2	NA	NA	NA	NA	-0.048504227	unbias	0.511736363	Ovary_mean	0.0356	0.0644	1.8113
TRINITY_DN123203_c0_g2_i2	NA	NA	NA	NA	-0.185978991	unbias	0.639784964	Ovary_mean	0.1409	0.2628	1.8656
TRINITY_DN123204_c5_g4_i1	efcab1	Chr06	72874026	72874026	-0.2002231	unbias	0.498020029	Ovary_mean	0.0111	0.0104	0.9337
TRINITY_DN123208_c0_g1_i1	adamts9	Chr04	132113275	132113275	0.122041015	unbias	0.764550713	G23_mmean	0.0457	0.0744	1.629
TRINITY_DN123213_c1_g3_i6	NA	NA	NA	NA	0.134160909	unbias	0.384326197	Ovary_mean	0.0483	0.0613	1.2696
TRINITY_DN123217_c0_g2_i1	NA	NA	NA	NA	0.07299476	unbias	0.263870126	Ovary_mean	0.0633	0.0769	1.2155
TRINITY_DN123223_c0_g1_i2	NA	NA	NA	NA	0.366872196	unbias	0.613883347	G43_M_mean	0.1159	0.2124	1.833
TRINITY_DN123229_c1_g2_i1	ccdc57	Chr10	19518785	19518785	-0.372815971	unbias	0.590626677	Ovary_mean	0.0406	0.0602	1.4831
TRINITY_DN123234_c0_g3_i1	NA	NA	NA	NA	-0.676288431	unbias	0.644688311	Brain_fmean	0.001	0.0006	0.6025
TRINITY_DN123239_c0_g1_i2	NA	NA	NA	NA	-0.053410358	unbias	0.150859847	Ovary_mean	0.027	0.0464	1.7174
TRINITY_DN123244_c1_g1_i7	NA	NA	NA	NA	0.122639218	unbias	0.605238106	Brain_mmean	0.0615	0.0647	1.0508
TRINITY_DN123247_c0_g2_i5	NA	NA	NA	NA	-0.004797439	unbias	0.60176479	Brain_mmean	0.0693	0.0871	1.2575
TRINITY_DN123251_c6_g3_i2	NA	NA	NA	NA	0.05612144	unbias	0.241713097	G43_M_mean	0.1331	0.2233	1.6774
TRINITY_DN123252_c0_g1_i2	NA	NA	NA	NA	-0.472101301	unbias	0.700775747	Brain_fmean	0.0608	0.0667	1.0978
TRINITY_DN123254_c0_g1_i2	NA	NA	NA	NA	-0.003938508	unbias	0.690371225	Brain_fmean	0.0848	0.1271	1.4989
TRINITY_DN123263_c0_g1_i4	NA	NA	NA	NA	-0.015078016	unbias	0.394100615	Ovary_mean	0.0487	0.0838	1.7232
TRINITY_DN123266_c0_g1_i1	NA	NA	NA	NA	-0.024920966	unbias	0.795639243	Brain_mmean	0.0438	0.0799	1.8252
TRINITY_DN123268_c0_g1_i2	NA	NA	NA	NA	-0.024494463	unbias	0.281696491	Brain_mmean	0.0632	0.1023	1.6178
TRINITY_DN123270_c0_g3_i6	NA	NA	NA	NA	0.068910302	unbias	0.522655266	Brain_mmean	0.0107	0.0152	1.4191
TRINITY_DN123277_c3_g1_i2	NA	NA	NA	NA	0.91323058	unbias	0.468482131	Testis_mean	0.1215	0.1676	1.3787
TRINITY_DN123280_c0_g1_i1	NA	NA	NA	NA	-0.010774235	unbias	0.445509696	Brain_mmean	0.1015	0.193	1.9016
TRINITY_DN123281_c5_g2_i1	fahd1-like	Chr09	10891007	10891007	0.076484489	unbias	0.156418919	Ovary_mean	0.2039	0.3564	1.7479
TRINITY_DN123287_c0_g1_i4	NA	NA	NA	NA	-0.026673869	unbias	0.678623261	Brain_mmean	0.0602	0.0849	1.4109
TRINITY_DN123288_c6_g1_i1	c9orf9	Chr08	7105686	7105686	0.054041227	unbias	0.200781533	Testis_mean	0.0745	0.0931	1.2489
TRINITY_DN123291_c2_g4_i1	NA	NA	NA	NA	0.104610198	unbias	0.736236078	Brain_mmean	0.1182	0.1934	1.6361
TRINITY_DN123292_c0_g1_i1	NA	NA	NA	NA	0.245304144	unbias	0.858143783	G27_mmean	0.0617	0.1197	1.9405
TRINITY_DN123296_c1_g1_i2	LOC101733204	Chr03	79379822	79379822	0.093855323	unbias	0.866458513	Testis_mean	0.2322	0.308	1.3264
TRINITY_DN123299_c0_g1_i4	loxl4	Chr07	26389328	26389328	0.085565657	unbias	0.528548022	Ovary_mean	0.0586	0.1052	1.7962
TRINITY_DN123302_c0_g3_i3	NA	NA	NA	NA	-0.657129383	unbias	0.789579601	Brain_fmean	0.0487	0.054	1.1093
TRINITY_DN123309_c0_g1_i3	NA	NA	NA	NA	-0.286361302	unbias	0.384152194	Ovary_mean	0.1296	0.2083	1.607
TRINITY_DN123314_c1_g1_i1	gnpat	Chr05	39597598	39597598	0.045884636	unbias	0.432029379	Brain_mmean	0.0554	0.076	1.3713
TRINITY_DN123315_c0_g1_i2	NA	NA	NA	NA	0.02178265	unbias	0.262445756	G23_fmean	0.0509	0.0487	0.9557
TRINITY_DN123315_c1_g2_i1	NA	NA	NA	NA	0.159793908	unbias	0.123932502	Ovary_mean	0.053	0.0977	1.8433
TRINITY_DN123316_c1_g3_i5	NA	NA	NA	NA	0.026577431	unbias	0.656380187	Brain_mmean	0.1363	0.2205	1.6182
TRINITY_DN123319_c3_g3_i2	tenm1	Chr08	27877536	27877536	0.06378241	unbias	0.203791356	G23_fmean	0.0149	0.0208	1.3971
TRINITY_DN123319_c3_g4_i1	tle2	Chr01	102359248	102359248	-0.05690231	unbias	0.668842264	Ovary_mean	0.0191	0.0266	1.3965
TRINITY_DN123320_c0_g2_i10	LOC100487194-like	Chr02	34648527	34648527	0.298386929	unbias	0.666574701	Liver_fmean	0.1531	0.2509	1.6387
TRINITY_DN123320_c0_g3_i7	NA	NA	NA	NA	-0.038409375	unbias	0.612548163	Ovary_mean	0.0884	0.1329	1.5038
TRINITY_DN123323_c0_g4_i2	NA	NA	NA	NA	-0.433067327	unbias	0.42974889	Liver_fmean	0.1362	0.2392	1.7559
TRINITY_DN123327_c0_g1_i1	NA	NA	NA	NA	0.061540363	unbias	0.406997234	Brain_mmean	0.0668	0.1019	1.5254
TRINITY_DN123342_c1_g1_i1	mapk4	Chr01	191581801	191581801	-0.011500902	unbias	0.38881912	Liver_mmean	0.0255	0.0434	1.6987
TRINITY_DN123343_c0_g2_i1	NA	NA	NA	NA	-0.078111147	unbias	0.172110882	Ovary_mean	0.0293	0.0474	1.618
TRINITY_DN123348_c3_g1_i1	NA	NA	NA	NA	-0.496080661	unbias	0.539486584	Brain_fmean	0.1202	0.2252	1.8733
TRINITY_DN123354_c0_g1_i1	42Sp50	Chr06	128138777	128138777	1.168348645	unbias	0.609866088	G27_mmean	0.0531	0.1025	1.9318
TRINITY_DN123360_c0_g2_i1	NA	NA	NA	NA	-1.066345184	unbias	0.369946832	G46_M_mean	0.0869	0.075	0.8635
TRINITY_DN123361_c0_g1_i1	NA	NA	NA	NA	0.175485654	unbias	0.476092844	Ovary_mean	0.1027	0.1833	1.7842
TRINITY_DN123366_c0_g2_i2	NA	NA	NA	NA	-0.0121515	unbias	0.281950468	Brain_mmean	0.0053	0.0053	1.0171
TRINITY_DN123367_c1_g1_i4	NA	NA	NA	NA	0.113597907	unbias	0.497498319	Ovary_mean	0.1063	0.1941	1.8255
TRINITY_DN123370_c0_g2_i1	NA	NA	NA	NA	0.06157358	unbias	0.284677764	Testis_mean	0.1062	0.1939	1.8253
TRINITY_DN123371_c1_g1_i1	NA	NA	NA	NA	0.032862013	unbias	0.319918989	G31_fmean	0.0276	0.0079	0.2849
TRINITY_DN123377_c2_g3_i1	plekhg5	Chr07	91076172	91076172	0.020581204	unbias	0.511575942	Ovary_mean	0.0192	0.0214	1.1146
TRINITY_DN123378_c6_g4_i9	soat1	Chr04	91256047	91256047	-0.044720077	unbias	0.348440268	Brain_fmean	0.0517	0.0793	1.5329
TRINITY_DN123382_c0_g1_i1	spdl1	Chr03	23664410	23664410	-0.12693719	unbias	0.471717566	Ovary_mean	0.0862	0.1249	1.4484
TRINITY_DN123383_c0_g1_i2	LOC496913-like	Chr02	62548925	62548925	-0.283620397	unbias	0.62309487	Brain_fmean	0.0469	0.0799	1.7044
TRINITY_DN123387_c1_g1_i1	NA	NA	NA	NA	-0.053805921	unbias	0.318086465	Ovary_mean	0.0229	0.0274	1.1945
TRINITY_DN123387_c2_g2_i2	NA	NA	NA	NA	0.615440541	unbias	0.421113414	Ovary_mean	0.1027	0.1533	1.493
TRINITY_DN123387_c3_g1_i1	NA	NA	NA	NA	-0.090672248	unbias	0.471131882	Ovary_mean	0.0239	0.0364	1.5233
TRINITY_DN123388_c0_g2_i1	acy3	Chr02	89816169	89816169	0.16052162	unbias	0.812175733	Brain_mmean	0.0561	0.0932	1.6608
TRINITY_DN123389_c0_g1_i4	NA	NA	NA	NA	0.089429181	unbias	0.471532752	Ovary_mean	0.064	0.1214	1.8955
TRINITY_DN123390_c0_g1_i5	pik3r1-like	Chr01	173932735	173932735	0.113937568	unbias	0.460729178	G23_fmean	0.1233	0.1447	1.1735
TRINITY_DN123392_c3_g2_i1	NA	NA	NA	NA	-0.433950892	unbias	0.535451348	G23_fmean	0.0826	0.0453	0.5477
TRINITY_DN123392_c3_g4_i2	sf3b1	Chr09	37507388	37507388	0.15066186	unbias	0.615611784	Brain_mmean	0.0805	0.0668	0.8298
TRINITY_DN123398_c5_g1_i5	NA	NA	NA	NA	0.175636602	unbias	0.507573128	Ovary_mean	0.0556	0.06	1.0809
TRINITY_DN123401_c0_g2_i2	NA	NA	NA	NA	0.053873518	unbias	0.223378066	Brain_mmean	0.0445	0.0768	1.7266
TRINITY_DN123403_c1_g1_i2	NA	NA	NA	NA	-0.440134595	unbias	0.479005063	Brain_fmean	0.0473	0.0596	1.2592
TRINITY_DN123413_c0_g1_i1	NA	NA	NA	NA	0.203258267	unbias	0.72019098	Brain_mmean	0.0498	0.067	1.3474
TRINITY_DN123415_c0_g1_i1	clpp	Chr03	129787873	129787873	-0.096731063	unbias	0.135358191	Brain_fmean	0.0352	0.0595	1.6933
TRINITY_DN123418_c0_g1_i3	zmym3	Chr08	23101453	23101453	-0.0929689	unbias	0.450372635	Ovary_mean	0.033	0.0213	0.6448
TRINITY_DN123426_c1_g2_i8	NA	NA	NA	NA	0.086157543	unbias	0.470643452	Brain_mmean	0.0967	0.1426	1.4749
TRINITY_DN123426_c1_g4_i1	NA	NA	NA	NA	0.17977506	unbias	0.204015646	G23_mmean	0.0974	0.1812	1.8611
TRINITY_DN123435_c1_g1_i1	NA	NA	NA	NA	0.227413075	unbias	0.661805137	Brain_mmean	0.0654	0.07	1.0692
TRINITY_DN123437_c0_g1_i2	NA	NA	NA	NA	-0.225721862	unbias	0.39375824	Testis_mean	0.0957	0.1156	1.2076
TRINITY_DN123439_c0_g1_i1	NA	NA	NA	NA	-0.129874977	unbias	0.467453343	Brain_fmean	0.0729	0.1383	1.8971
TRINITY_DN123442_c0_g2_i1	NA	NA	NA	NA	-0.162221813	unbias	0.358132722	Ovary_mean	0.0114	0.0117	1.0302
TRINITY_DN123443_c0_g2_i1	ddc	Chr06	68654441	68654441	0.16914791	unbias	0.37839554	G27_mmean	0.0683	0.1191	1.7448
TRINITY_DN123449_c1_g4_i2	NA	NA	NA	NA	0.318642762	unbias	0.431145041	G43_F_mean	0.0338	0.0294	0.8696
TRINITY_DN123455_c2_g1_i1	barhl1	Chr08	6934577	6934577	-0.702094949	unbias	0.660402452	Liver_mmean	0.0612	0.0914	1.4924
TRINITY_DN123455_c2_g2_i1	NA	NA	NA	NA	0.313073936	unbias	0.739101159	Brain_mmean	0.0379	0.0387	1.0202
TRINITY_DN123455_c3_g1_i1	NA	NA	NA	NA	0.259042053	unbias	0.596272509	G46_M_mean	0.1049	0.1218	1.1603
TRINITY_DN123457_c1_g1_i1	NA	NA	NA	NA	0.042620284	unbias	0.581660997	Ovary_mean	0.0528	0.0713	1.3514
TRINITY_DN123460_c0_g1_i1	NA	NA	NA	NA	0.732642346	unbias	0.476873422	G23_mmean	0.1651	0.2353	1.4246
TRINITY_DN123469_c0_g1_i1	NA	NA	NA	NA	0.08369289	unbias	0.682003058	Brain_mmean	0.291	0.4108	1.4118
TRINITY_DN123470_c0_g2_i1	NA	NA	NA	NA	-0.085315475	unbias	0.654457252	Brain_fmean	0.0133	0.0123	0.9243
TRINITY_DN123473_c0_g1_i2	NA	NA	NA	NA	0.391851821	unbias	0.430089711	Brain_mmean	0.057	0.0719	1.2617
TRINITY_DN123474_c0_g1_i1	NA	NA	NA	NA	-0.313215762	unbias	0.958828994	Brain_fmean	0.0639	0.0918	1.436
TRINITY_DN123477_c11_g1_i1	NA	NA	NA	NA	0.125724424	unbias	0.736079494	Brain_mmean	0.0889	0.1121	1.2602
TRINITY_DN123487_c0_g1_i2	NA	NA	NA	NA	0.013975584	unbias	0.407851244	G23_fmean	0.1433	0.2208	1.5414
TRINITY_DN123490_c2_g1_i2	tdg	Chr03	40321542	40321542	-0.104121491	unbias	0.297380299	Ovary_mean	0.1059	0.208	1.9646
TRINITY_DN123491_c0_g2_i4	dctd	Chr01	36234709	36234709	-0.45998691	unbias	0.325430198	Liver_fmean	0.1464	0.2223	1.5179
TRINITY_DN123497_c0_g2_i3	LOC100496797-like	Chr10	35410564	35410564	-0.136101048	unbias	0.395700057	G23_mmean	0.1593	0.259	1.6262
TRINITY_DN123502_c0_g1_i1	NA	NA	NA	NA	0.06836661	unbias	0.739397279	Brain_mmean	0.0822	0.1198	1.4573
TRINITY_DN123507_c1_g1_i3	mrpl13	Chr06	123281172	123281172	0.018516486	unbias	0.580777038	Testis_mean	0.161	0.2303	1.4306
TRINITY_DN123513_c0_g1_i2	NA	NA	NA	NA	0.161779099	unbias	0.697189324	G43_M_mean	0.0877	0.1637	1.8656
TRINITY_DN123516_c0_g3_i4	f12	Chr03	36288198	36288198	0.137946002	unbias	0.349362793	Ovary_mean	0.1271	0.2295	1.8062
TRINITY_DN123520_c0_g1_i1	NA	NA	NA	NA	0.235073775	unbias	0.414415534	Testis_mean	0.0674	0.1123	1.6658
TRINITY_DN123521_c1_g1_i2	NA	NA	NA	NA	-0.111460593	unbias	0.521695881	Ovary_mean	0.1448	0.2484	1.7154
TRINITY_DN123523_c1_g1_i5	NA	NA	NA	NA	0.028107385	unbias	0.543636433	G23_mmean	0.1735	0.2524	1.4543
TRINITY_DN123524_c0_g1_i2	gjc1	Chr10	13641781	13641781	0.111519371	unbias	0.716770016	Brain_mmean	0.1087	0.1404	1.2915
TRINITY_DN123529_c1_g1_i1	NA	NA	NA	NA	-0.043640576	unbias	0.590909656	Ovary_mean	0.1143	0.1861	1.6286
TRINITY_DN123534_c0_g1_i2	NA	NA	NA	NA	0.346144597	unbias	0.399851587	G23_mmean	0.0877	0.1646	1.8762
TRINITY_DN123539_c0_g1_i1	NA	NA	NA	NA	-0.077222373	unbias	0.733638263	Brain_fmean	0.0466	0.0742	1.5936
TRINITY_DN123540_c2_g5_i1	NA	NA	NA	NA	0.055936031	unbias	0.449294557	Brain_mmean	0.0518	0.0487	0.9405
TRINITY_DN123543_c0_g1_i1	NA	NA	NA	NA	0.190845405	unbias	0.690442076	Brain_mmean	0.0543	0.1039	1.9153
TRINITY_DN123544_c7_g1_i3	NA	NA	NA	NA	0.049060875	unbias	0.223318323	G23_fmean	0.1414	0.2226	1.5739
TRINITY_DN123545_c0_g1_i1	rbm42	scaffold_37	1057710	1057710	-0.01068829	unbias	0.596438199	Ovary_mean	0.0681	0.1251	1.8367
TRINITY_DN123546_c0_g1_i3	NA	NA	NA	NA	0.236723755	unbias	0.367440107	Ovary_mean	0.0507	0.0488	0.9617
TRINITY_DN123549_c0_g1_i2	NA	NA	NA	NA	0.081287042	unbias	0.377853419	Brain_mmean	0.074	0.1409	1.904
TRINITY_DN123555_c2_g1_i1	NA	NA	NA	NA	-0.056332567	unbias	0.497274151	Liver_fmean	0.261	0.3179	1.2183
TRINITY_DN123556_c0_g1_i1	NA	NA	NA	NA	0.378979727	unbias	0.609752274	G23_mmean	0.1038	0.1385	1.3341
TRINITY_DN123563_c0_g1_i5	NA	NA	NA	NA	0.083117179	unbias	0.209867621	Brain_mmean	0.001	0.0015	1.5403
TRINITY_DN123569_c2_g1_i3	NA	NA	NA	NA	-0.019786501	unbias	0.550930908	Ovary_mean	0.0585	0.1019	1.7436
TRINITY_DN123572_c2_g1_i2	NA	NA	NA	NA	0.059587747	unbias	0.592721087	Brain_mmean	0.052	0.0645	1.2403
TRINITY_DN123573_c0_g1_i3	NA	NA	NA	NA	-0.030605585	unbias	0.808454771	Brain_mmean	0.0194	0.0273	1.4056
TRINITY_DN123577_c1_g2_i2	NA	NA	NA	NA	-0.164719476	unbias	0.535156185	Brain_fmean	0.0358	0.0705	1.9668
TRINITY_DN123581_c0_g1_i2	NA	NA	NA	NA	-0.160128804	unbias	0.285392831	Brain_fmean	0.1957	0.1589	0.8124
TRINITY_DN123588_c0_g1_i1	NA	NA	NA	NA	0.013891851	unbias	0.279016669	Testis_mean	0.1263	0.1842	1.458
TRINITY_DN123589_c1_g2_i1	NA	NA	NA	NA	-0.106607597	unbias	0.500559622	Brain_fmean	0.1768	0.3173	1.7949
TRINITY_DN123592_c1_g1_i3	abl2	Chr04	89688293	89688293	-0.266373621	unbias	0.909777536	Brain_fmean	0.0697	0.0713	1.0223
TRINITY_DN123593_c0_g5_i2	NA	NA	NA	NA	0.087609886	unbias	0.419110735	Ovary_mean	0.0366	0.0594	1.6231
TRINITY_DN123593_c1_g3_i2	NA	NA	NA	NA	0.086353087	unbias	0.348207879	Brain_mmean	0.0173	0.0242	1.4041
TRINITY_DN123597_c2_g1_i2	NA	NA	NA	NA	-0.048449189	unbias	0.470616861	Brain_fmean	0.0312	0.0396	1.2694
TRINITY_DN123597_c2_g3_i3	NA	NA	NA	NA	-0.0420399	unbias	0.427112926	Brain_fmean	0.0278	0.023	0.8268
TRINITY_DN123597_c3_g1_i3	NA	NA	NA	NA	-0.004599902	unbias	0.665507218	Ovary_mean	0.0489	0.0888	1.8157
TRINITY_DN123601_c1_g5_i1	supt3h	Chr05	143695348	143695348	-0.43005604	unbias	0.549917467	Ovary_mean	0.1627	0.3	1.8434
TRINITY_DN123602_c2_g2_i1	NA	NA	NA	NA	-0.080428905	unbias	0.176838041	G31_mmean	0.0743	0.1117	1.5033
