gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue	tau	tissue
TRINITY_DN124666_c0_g1_i1	Xetrov90026273m	scaffold_1375	2060	2060	1.045738096	1.045738096	unbias	0.455332261	Liver_mmean	0.455332261	Liver_mmean
TRINITY_DN124667_c1_g2_i1	NA	NA	NA	NA	-0.140919419	0.140919419	unbias	0.585130496	Ovary_mean	0.585130496	Ovary_mean
TRINITY_DN124669_c1_g1_i2	NA	NA	NA	NA	-0.096567797	0.096567797	unbias	0.4605754	Brain_mmean	0.4605754	Brain_mmean
TRINITY_DN124669_c3_g1_i1	NA	NA	NA	NA	-0.024643261	0.024643261	unbias	0.160883181	Brain_mmean	0.160883181	Brain_mmean
TRINITY_DN124669_c3_g2_i1	NA	NA	NA	NA	-0.088568675	0.088568675	unbias	0.219557602	G43_F_mean	0.219557602	G43_F_mean
TRINITY_DN124674_c1_g1_i1	NA	NA	NA	NA	0.777546746	0.777546746	unbias	0.248013099	Liver_mmean	0.248013099	Liver_mmean
TRINITY_DN124676_c4_g2_i1	NA	NA	NA	NA	0.656879087	0.656879087	unbias	0.214672101	Ovary_mean	0.214672101	Ovary_mean
TRINITY_DN124678_c1_g2_i1	NA	NA	NA	NA	-0.514309594	0.514309594	unbias	0.45089516	Brain_mmean	0.45089516	Brain_mmean
TRINITY_DN124678_c1_g4_i3	NA	NA	NA	NA	-0.287033298	0.287033298	unbias	0.350059041	Brain_mmean	0.350059041	Brain_mmean
TRINITY_DN124678_c1_g7_i1	NA	NA	NA	NA	-0.272261909	0.272261909	unbias	0.535692509	Brain_fmean	0.535692509	Brain_fmean
TRINITY_DN124679_c0_g1_i2	NA	NA	NA	NA	-0.468242371	0.468242371	unbias	0.194640583	Brain_mmean	0.194640583	Brain_mmean
TRINITY_DN124680_c0_g2_i3	NA	NA	NA	NA	0.304830888	0.304830888	unbias	0.76736309	Ovary_mean	0.76736309	Ovary_mean
TRINITY_DN124681_c0_g7_i1	NA	NA	NA	NA	-0.601680413	0.601680413	unbias	0.504100572	Brain_fmean	0.504100572	Brain_fmean
TRINITY_DN124683_c3_g3_i3	NA	NA	NA	NA	-0.198458475	0.198458475	unbias	0.29973717	Ovary_mean	0.29973717	Ovary_mean
TRINITY_DN124684_c0_g1_i2	NA	NA	NA	NA	-0.031415419	0.031415419	unbias	0.466222249	Brain_fmean	0.466222249	Brain_fmean
TRINITY_DN124686_c2_g1_i1	NA	NA	NA	NA	-0.490624944	0.490624944	unbias	0.452811229	Ovary_mean	0.452811229	Ovary_mean
TRINITY_DN124687_c3_g1_i1	NA	NA	NA	NA	0.29347101	0.29347101	unbias	0.225408856	G46_M_mean	0.225408856	G46_M_mean
TRINITY_DN124687_c4_g3_i2	NA	NA	NA	NA	0.050418229	0.050418229	unbias	0.111331213	Testis_mean	0.111331213	Testis_mean
TRINITY_DN124689_c0_g1_i1	NA	NA	NA	NA	-0.400318641	0.400318641	unbias	0.610408941	Liver_fmean	0.610408941	Liver_fmean
TRINITY_DN124691_c2_g2_i5	NA	NA	NA	NA	-0.502487881	0.502487881	unbias	0.32315598	Ovary_mean	0.32315598	Ovary_mean
TRINITY_DN124694_c2_g12_i2	NA	NA	NA	NA	-0.032260018	0.032260018	unbias	0.295306055	Ovary_mean	0.295306055	Ovary_mean
TRINITY_DN124696_c4_g1_i1	prtfdc1	Chr06	17440325	17440325	-0.024781382	0.024781382	unbias	0.597155862	Brain_fmean	0.597155862	Brain_fmean
TRINITY_DN124701_c0_g1_i1	klhl41	Chr09	63377893	63377893	0.289559256	0.289559256	unbias	0.514159032	Brain_fmean	0.514159032	Brain_fmean
TRINITY_DN124708_c2_g1_i1	NA	NA	NA	NA	-0.051477469	0.051477469	unbias	0.260983051	Ovary_mean	0.260983051	Ovary_mean
TRINITY_DN124711_c0_g1_i3	NA	NA	NA	NA	-0.454956532	0.454956532	unbias	0.569943042	Brain_fmean	0.569943042	Brain_fmean
TRINITY_DN124713_c1_g3_i1	NA	NA	NA	NA	-0.985677107	0.985677107	unbias	0.353475304	Brain_mmean	0.353475304	Brain_mmean
TRINITY_DN124713_c2_g3_i1	NA	NA	NA	NA	-0.403370651	0.403370651	unbias	0.289541678	Brain_fmean	0.289541678	Brain_fmean
TRINITY_DN124713_c2_g5_i2	NA	NA	NA	NA	0.017829219	0.017829219	unbias	0.461484786	Brain_fmean	0.461484786	Brain_fmean
TRINITY_DN124715_c0_g1_i2	LOC100493811-like	Chr02	52387280	52387280	0.032761324	0.032761324	unbias	0.345474168	Ovary_mean	0.345474168	Ovary_mean
TRINITY_DN124723_c2_g2_i1	NA	NA	NA	NA	-0.594214718	0.594214718	unbias	0.138031412	Brain_fmean	0.138031412	Brain_fmean
TRINITY_DN124723_c2_g3_i1	ikbkb	Chr03	120293061	120293061	-0.767211984	0.767211984	unbias	0.274904696	G46_F_mean	0.274904696	G46_F_mean
TRINITY_DN124726_c1_g2_i1	NA	NA	NA	NA	0.264414317	0.264414317	unbias	0.170152888	Liver_fmean	0.170152888	Liver_fmean
TRINITY_DN124727_c0_g2_i2	NA	NA	NA	NA	-0.769883704	0.769883704	unbias	0.586446658	Liver_fmean	0.586446658	Liver_fmean
TRINITY_DN124728_c6_g13_i2	NA	NA	NA	NA	-0.931418957	0.931418957	unbias	0.113722833	G23_fmean	0.113722833	G23_fmean
TRINITY_DN124728_c6_g3_i1	NA	NA	NA	NA	-1.053821241	1.053821241	unbias	0.370875074	G46_F_mean	0.370875074	G46_F_mean
TRINITY_DN124728_c6_g7_i1	NA	NA	NA	NA	0.64494158	0.64494158	unbias	0.449679642	Testis_mean	0.449679642	Testis_mean
TRINITY_DN124730_c0_g2_i13	NA	NA	NA	NA	-0.155232494	0.155232494	unbias	0.50873811	G23_fmean	0.50873811	G23_fmean
TRINITY_DN124731_c3_g1_i2	pou4f3	Chr03	30477346	30477346	-0.711211629	0.711211629	unbias	0.336130404	G23_fmean	0.336130404	G23_fmean
TRINITY_DN124732_c1_g2_i1	tex26	Chr02	151114321	151114321	-0.165685419	0.165685419	unbias	0.443291675	Ovary_mean	0.443291675	Ovary_mean
TRINITY_DN124733_c0_g1_i3	NA	NA	NA	NA	0.425049585	0.425049585	unbias	0.435939333	Ovary_mean	0.435939333	Ovary_mean
TRINITY_DN124734_c0_g1_i3	NA	NA	NA	NA	0.012963281	0.012963281	unbias	0.248694503	Brain_fmean	0.248694503	Brain_fmean
TRINITY_DN124734_c0_g2_i2	NA	NA	NA	NA	-0.11010756	0.11010756	unbias	0.305993871	Brain_fmean	0.305993871	Brain_fmean
TRINITY_DN124735_c0_g1_i2	galnt12	Chr06	38239674	38239674	0.834917897	0.834917897	unbias	0.398727916	Brain_mmean	0.398727916	Brain_mmean
TRINITY_DN124736_c1_g3_i2	nxf1	Chr04	41229906	41229906	0.694822103	0.694822103	unbias	0.759673767	G31_fmean	0.759673767	G31_fmean
TRINITY_DN124740_c0_g1_i1	NA	NA	NA	NA	-0.981734266	0.981734266	unbias	0.271112124	Liver_fmean	0.271112124	Liver_fmean
TRINITY_DN124741_c0_g1_i2	NA	NA	NA	NA	0.186444708	0.186444708	unbias	0.312256198	Brain_fmean	0.312256198	Brain_fmean
TRINITY_DN124742_c0_g1_i2	NA	NA	NA	NA	-0.418970446	0.418970446	unbias	0.29299202	Brain_fmean	0.29299202	Brain_fmean
TRINITY_DN124744_c0_g1_i1	NA	NA	NA	NA	0.832089238	0.832089238	unbias	0.468951956	G31_mmean	0.468951956	G31_mmean
TRINITY_DN124746_c11_g2_i1	ddr2	scaffold_356	36649	36649	0.064245793	0.064245793	unbias	0.713637493	Brain_fmean	0.713637493	Brain_fmean
TRINITY_DN124747_c0_g1_i2	rcn2	Chr07	76254321	76254321	0.220061876	0.220061876	unbias	0.331038241	Ovary_mean	0.331038241	Ovary_mean
TRINITY_DN124749_c0_g1_i1	NA	NA	NA	NA	-0.438444713	0.438444713	unbias	0.47635052	Ovary_mean	0.47635052	Ovary_mean
TRINITY_DN124750_c0_g1_i2	NA	NA	NA	NA	0.189203487	0.189203487	unbias	0.616786892	Brain_mmean	0.616786892	Brain_mmean
TRINITY_DN124751_c0_g1_i1	NA	NA	NA	NA	-0.130818895	0.130818895	unbias	0.316116258	G31_mmean	0.316116258	G31_mmean
TRINITY_DN124752_c3_g1_i1	pank3	Chr03	24166895	24166895	-0.027850647	0.027850647	unbias	0.353223008	Brain_fmean	0.353223008	Brain_fmean
TRINITY_DN124752_c5_g1_i1	NA	NA	NA	NA	0.552102709	0.552102709	unbias	0.848382685	Testis_mean	0.848382685	Testis_mean
TRINITY_DN124753_c0_g1_i2	NA	NA	NA	NA	-0.565222406	0.565222406	unbias	0.272468143	G31_mmean	0.272468143	G31_mmean
TRINITY_DN124754_c4_g1_i1	NA	NA	NA	NA	-0.284108968	0.284108968	unbias	0.346899582	Brain_fmean	0.346899582	Brain_fmean
TRINITY_DN124755_c2_g2_i3	NA	NA	NA	NA	0.612476484	0.612476484	unbias	0.207056745	Ovary_mean	0.207056745	Ovary_mean
TRINITY_DN124757_c5_g2_i1	NA	NA	NA	NA	0.050677877	0.050677877	unbias	0.533342084	Ovary_mean	0.533342084	Ovary_mean
TRINITY_DN124758_c0_g1_i3	NA	NA	NA	NA	-0.052363745	0.052363745	unbias	0.220003268	Ovary_mean	0.220003268	Ovary_mean
TRINITY_DN124760_c0_g2_i1	LOC101733250	scaffold_1446	10342	10342	0.475455522	0.475455522	unbias	0.256754446	Brain_mmean	0.256754446	Brain_mmean
TRINITY_DN124761_c0_g1_i1	NA	NA	NA	NA	-0.269268222	0.269268222	unbias	0.340843027	Ovary_mean	0.340843027	Ovary_mean
TRINITY_DN124763_c0_g3_i1	NA	NA	NA	NA	0.191885839	0.191885839	unbias	0.324826497	G43_F_mean	0.324826497	G43_F_mean
TRINITY_DN124764_c1_g1_i2	NA	NA	NA	NA	-0.910301435	0.910301435	unbias	0.654722668	Ovary_mean	0.654722668	Ovary_mean
TRINITY_DN124764_c1_g4_i1	NA	NA	NA	NA	-0.76166436	0.76166436	unbias	0.592338725	Brain_fmean	0.592338725	Brain_fmean
TRINITY_DN124765_c5_g3_i1	NA	NA	NA	NA	-0.017090431	0.017090431	unbias	0.446323234	Ovary_mean	0.446323234	Ovary_mean
TRINITY_DN124767_c0_g1_i1	trim59	Chr05	103438523	103438523	-0.491373339	0.491373339	unbias	0.393011395	Brain_fmean	0.393011395	Brain_fmean
TRINITY_DN124767_c6_g1_i6	polr3c	Chr08	116943783	116943783	-1.033249684	1.033249684	unbias	0.539550309	Liver_fmean	0.539550309	Liver_fmean
TRINITY_DN124768_c1_g3_i1	NA	NA	NA	NA	0.188781019	0.188781019	unbias	0.434755329	Ovary_mean	0.434755329	Ovary_mean
TRINITY_DN124769_c2_g1_i16	NA	NA	NA	NA	-0.240437798	0.240437798	unbias	0.6917185	G31_fmean	0.6917185	G31_fmean
TRINITY_DN124772_c1_g3_i1	38960	Chr02	108392478	108392478	-0.057461622	0.057461622	unbias	0.313633946	Brain_mmean	0.313633946	Brain_mmean
TRINITY_DN124776_c0_g4_i2	NA	NA	NA	NA	0.396316161	0.396316161	unbias	0.170706865	G23_mmean	0.170706865	G23_mmean
TRINITY_DN124777_c0_g2_i1	NA	NA	NA	NA	-0.449988344	0.449988344	unbias	0.265222608	G43_F_mean	0.265222608	G43_F_mean
TRINITY_DN124778_c3_g6_i1	NA	NA	NA	NA	1.552479964	1.552479964	unbias	0.685996608	Brain_mmean	0.685996608	Brain_mmean
TRINITY_DN124779_c1_g2_i2	NA	NA	NA	NA	-0.222178971	0.222178971	unbias	0.371425744	Brain_mmean	0.371425744	Brain_mmean
TRINITY_DN124780_c6_g1_i1	NA	NA	NA	NA	-0.041226348	0.041226348	unbias	0.272171499	Ovary_mean	0.272171499	Ovary_mean
TRINITY_DN124782_c0_g3_i3	NA	NA	NA	NA	0.412234002	0.412234002	unbias	0.187545871	G43_M_mean	0.187545871	G43_M_mean
TRINITY_DN124782_c0_g4_i1	NA	NA	NA	NA	-0.251032336	0.251032336	unbias	0.174759312	G23_mmean	0.174759312	G23_mmean
TRINITY_DN124783_c2_g1_i1	NA	NA	NA	NA	0.291658387	0.291658387	unbias	0.570707936	Liver_fmean	0.570707936	Liver_fmean
TRINITY_DN124784_c6_g4_i3	pqlc1.1	Chr06	28735730	28735730	-0.0893061	0.0893061	unbias	0.615716676	Ovary_mean	0.615716676	Ovary_mean
TRINITY_DN124784_c6_g7_i1	kctd2-like	Chr10	35743327	35743327	0.394338158	0.394338158	unbias	0.408352277	Brain_mmean	0.408352277	Brain_mmean
TRINITY_DN124787_c0_g1_i3	slmap	scaffold_87	607398	607398	-0.335524109	0.335524109	unbias	0.142727212	G43_M_mean	0.142727212	G43_M_mean
TRINITY_DN124787_c0_g2_i2	NA	NA	NA	NA	-0.003957304	0.003957304	unbias	0.156393443	G43_M_mean	0.156393443	G43_M_mean
TRINITY_DN124788_c6_g1_i6	NA	NA	NA	NA	0.215281439	0.215281439	unbias	0.394094379	Brain_fmean	0.394094379	Brain_fmean
TRINITY_DN124789_c0_g2_i1	NA	NA	NA	NA	0.267597274	0.267597274	unbias	0.306260311	G43_M_mean	0.306260311	G43_M_mean
TRINITY_DN124792_c0_g2_i1	NA	NA	NA	NA	-0.344611048	0.344611048	unbias	0.312526854	G23_fmean	0.312526854	G23_fmean
TRINITY_DN124793_c10_g1_i1	NA	NA	NA	NA	-0.002486323	0.002486323	unbias	0.462308278	Testis_mean	0.462308278	Testis_mean
TRINITY_DN124793_c7_g1_i1	NA	NA	NA	NA	-0.06541674	0.06541674	unbias	0.261218382	Brain_fmean	0.261218382	Brain_fmean
TRINITY_DN124794_c0_g1_i2	NA	NA	NA	NA	-0.447780931	0.447780931	unbias	0.362531469	Brain_fmean	0.362531469	Brain_fmean
TRINITY_DN124794_c0_g2_i1	NA	NA	NA	NA	-0.919449468	0.919449468	unbias	0.302756878	Brain_mmean	0.302756878	Brain_mmean
TRINITY_DN124801_c6_g3_i1	chad-like	Chr10	35289689	35289689	0.039195956	0.039195956	unbias	0.503551607	Ovary_mean	0.503551607	Ovary_mean
TRINITY_DN124806_c0_g2_i1	NA	NA	NA	NA	0.004808599	0.004808599	unbias	0.37147047	Ovary_mean	0.37147047	Ovary_mean
TRINITY_DN124806_c0_g5_i2	mrpl37	Chr04	87352833	87352833	-0.419786573	0.419786573	unbias	0.138985929	G43_F_mean	0.138985929	G43_F_mean
TRINITY_DN124808_c0_g1_i1	Xetrov90020983m	Chr08	57535772	57535772	-0.056470691	0.056470691	unbias	0.414089709	Brain_mmean	0.414089709	Brain_mmean
TRINITY_DN124809_c0_g2_i2	NA	NA	NA	NA	-0.654520768	0.654520768	unbias	0.464236344	Brain_fmean	0.464236344	Brain_fmean
TRINITY_DN124811_c0_g1_i4	cyb5d2	Chr02	97524900	97524900	-0.256919375	0.256919375	unbias	0.552922819	Liver_fmean	0.552922819	Liver_fmean
TRINITY_DN124812_c0_g1_i2	NA	NA	NA	NA	0.173122183	0.173122183	unbias	0.454163593	Ovary_mean	0.454163593	Ovary_mean
TRINITY_DN124814_c0_g1_i1	NA	NA	NA	NA	-0.125839244	0.125839244	unbias	0.640397742	Ovary_mean	0.640397742	Ovary_mean
TRINITY_DN124815_c0_g1_i1	NA	NA	NA	NA	1.048630265	1.048630265	unbias	0.861562401	Brain_mmean	0.861562401	Brain_mmean
TRINITY_DN124815_c0_g2_i2	slc25a46	Chr01	135394990	135394990	0.807530138	0.807530138	unbias	0.818581673	Brain_fmean	0.818581673	Brain_fmean
TRINITY_DN124815_c0_g3_i1	NA	NA	NA	NA	0.307508731	0.307508731	unbias	0.739706431	Brain_fmean	0.739706431	Brain_fmean
TRINITY_DN124817_c7_g3_i1	NA	NA	NA	NA	-0.252847088	0.252847088	unbias	0.365660789	G43_F_mean	0.365660789	G43_F_mean
TRINITY_DN124817_c8_g2_i5	NA	NA	NA	NA	0.365267416	0.365267416	unbias	0.446445578	Ovary_mean	0.446445578	Ovary_mean
TRINITY_DN124818_c1_g1_i2	tmem150b	Chr07	106307382	106307382	-0.237437458	0.237437458	unbias	0.430795962	Ovary_mean	0.430795962	Ovary_mean
TRINITY_DN124819_c0_g1_i3	loc398404	Chr09	15505396	15505396	-0.664896123	0.664896123	unbias	0.67919532	Testis_mean	0.67919532	Testis_mean
TRINITY_DN124825_c0_g3_i2	NA	NA	NA	NA	-0.2136738	0.2136738	unbias	0.255332239	Brain_mmean	0.255332239	Brain_mmean
TRINITY_DN124827_c1_g4_i6	NA	NA	NA	NA	1.040032056	1.040032056	unbias	0.68008621	Brain_fmean	0.68008621	Brain_fmean
TRINITY_DN124828_c1_g2_i1	atp6v0d1	Chr04	51693569	51693569	-0.019778269	0.019778269	unbias	0.347346745	Brain_fmean	0.347346745	Brain_fmean
TRINITY_DN124831_c8_g3_i6	erp29	Chr01	155038161	155038161	0.039964812	0.039964812	unbias	0.30466525	Ovary_mean	0.30466525	Ovary_mean
TRINITY_DN124832_c10_g1_i1	NA	NA	NA	NA	0.171593942	0.171593942	unbias	0.270165878	G23_fmean	0.270165878	G23_fmean
TRINITY_DN124832_c11_g3_i2	NA	NA	NA	NA	-0.087506224	0.087506224	unbias	0.457296478	Ovary_mean	0.457296478	Ovary_mean
TRINITY_DN124832_c6_g2_i5	NA	NA	NA	NA	0.524797062	0.524797062	unbias	0.496700033	Ovary_mean	0.496700033	Ovary_mean
TRINITY_DN124832_c6_g4_i1	NA	NA	NA	NA	0.401978184	0.401978184	unbias	0.551832065	Ovary_mean	0.551832065	Ovary_mean
TRINITY_DN124832_c7_g1_i3	NA	NA	NA	NA	0.167551751	0.167551751	unbias	0.459484095	Ovary_mean	0.459484095	Ovary_mean
TRINITY_DN124832_c9_g3_i2	NA	NA	NA	NA	-0.206510212	0.206510212	unbias	0.332271209	Ovary_mean	0.332271209	Ovary_mean
TRINITY_DN124833_c5_g1_i1	NA	NA	NA	NA	-0.612861118	0.612861118	unbias	0.377297083	Brain_fmean	0.377297083	Brain_fmean
TRINITY_DN124835_c0_g1_i5	NA	NA	NA	NA	0.347923907	0.347923907	unbias	0.33272671	Ovary_mean	0.33272671	Ovary_mean
TRINITY_DN124837_c4_g4_i2	NA	NA	NA	NA	-0.451540243	0.451540243	unbias	0.226498997	G43_F_mean	0.226498997	G43_F_mean
TRINITY_DN124838_c2_g3_i2	erbb2	Chr10	2913053	2913053	1.214226807	1.214226807	unbias	0.716682982	Brain_mmean	0.716682982	Brain_mmean
TRINITY_DN124838_c3_g1_i1	NA	NA	NA	NA	-0.710295907	0.710295907	unbias	0.396473266	Brain_mmean	0.396473266	Brain_mmean
TRINITY_DN124838_c4_g1_i1	NA	NA	NA	NA	-0.448372027	0.448372027	unbias	0.166046947	G43_M_mean	0.166046947	G43_M_mean
TRINITY_DN124838_c4_g3_i1	NA	NA	NA	NA	0.497708265	0.497708265	unbias	0.194034638	G23_fmean	0.194034638	G23_fmean
TRINITY_DN124845_c4_g1_i1	NA	NA	NA	NA	-0.216190668	0.216190668	unbias	0.231291062	Brain_fmean	0.231291062	Brain_fmean
TRINITY_DN124845_c4_g3_i1	NA	NA	NA	NA	-0.334215626	0.334215626	unbias	0.298848795	Liver_fmean	0.298848795	Liver_fmean
TRINITY_DN124848_c4_g1_i6	ccbl2	Chr04	95590114	95590114	-1.395435051	1.395435051	unbias	0.363114762	Brain_mmean	0.363114762	Brain_mmean
TRINITY_DN124852_c0_g1_i1	NA	NA	NA	NA	-0.416190501	0.416190501	unbias	0.208481501	G43_F_mean	0.208481501	G43_F_mean
TRINITY_DN124853_c1_g1_i1	wars2	scaffold_1854	17	17	-0.45047392	0.45047392	unbias	0.199737835	G27_mmean	0.199737835	G27_mmean
TRINITY_DN124855_c0_g11_i1	NA	NA	NA	NA	0.279231396	0.279231396	unbias	0.429166428	Ovary_mean	0.429166428	Ovary_mean
TRINITY_DN124855_c0_g3_i1	NA	NA	NA	NA	-0.182835724	0.182835724	unbias	0.491748176	Ovary_mean	0.491748176	Ovary_mean
TRINITY_DN124855_c0_g5_i2	NA	NA	NA	NA	-0.092938529	0.092938529	unbias	0.671320498	Ovary_mean	0.671320498	Ovary_mean
TRINITY_DN124855_c0_g8_i1	NA	NA	NA	NA	-1.302869626	1.302869626	unbias	0.631277407	Ovary_mean	0.631277407	Ovary_mean
TRINITY_DN124855_c0_g9_i1	NA	NA	NA	NA	-1.14403094	1.14403094	unbias	0.460386356	Ovary_mean	0.460386356	Ovary_mean
TRINITY_DN124856_c0_g1_i2	NA	NA	NA	NA	-0.130886367	0.130886367	unbias	0.312824122	Ovary_mean	0.312824122	Ovary_mean
TRINITY_DN124858_c0_g1_i1	cdh7	Chr06	87142667	87142667	-1.565738665	1.565738665	unbias	0.828939979	G43_M_mean	0.828939979	G43_M_mean
TRINITY_DN124860_c8_g1_i1	NA	NA	NA	NA	0.2419613	0.2419613	unbias	0.23622718	G23_mmean	0.23622718	G23_mmean
TRINITY_DN124862_c1_g2_i1	NA	NA	NA	NA	0.684318921	0.684318921	unbias	0.68453299	Ovary_mean	0.68453299	Ovary_mean
TRINITY_DN124866_c0_g1_i3	NA	NA	NA	NA	-0.868314666	0.868314666	unbias	0.573032933	Ovary_mean	0.573032933	Ovary_mean
TRINITY_DN124867_c0_g1_i3	NA	NA	NA	NA	-0.377736114	0.377736114	unbias	0.83307146	Liver_fmean	0.83307146	Liver_fmean
TRINITY_DN124873_c0_g1_i3	NA	NA	NA	NA	-0.348646935	0.348646935	unbias	0.380616273	Ovary_mean	0.380616273	Ovary_mean
TRINITY_DN124874_c1_g1_i1	Xetrov90019353m	Chr07	108127519	108127519	2.824940801	2.824940801	male	0.627456465	G27_fmean	0.627456465	G27_fmean
TRINITY_DN124874_c2_g2_i1	LOC100493599-like	Chr05	9658497	9658497	0.056972853	0.056972853	unbias	0.553134687	Ovary_mean	0.553134687	Ovary_mean
TRINITY_DN124875_c1_g1_i1	NA	NA	NA	NA	-4.172411036	4.172411036	female	0.58681927	Brain_fmean	0.58681927	Brain_fmean
TRINITY_DN124876_c0_g1_i2	NA	NA	NA	NA	-0.260036582	0.260036582	unbias	0.532107538	Brain_mmean	0.532107538	Brain_mmean
TRINITY_DN124879_c0_g1_i1	prdx2	scaffold_185	164402	164402	0.242001258	0.242001258	unbias	0.623539383	Brain_fmean	0.623539383	Brain_fmean
TRINITY_DN124880_c0_g1_i1	NA	NA	NA	NA	0.062391363	0.062391363	unbias	0.369406955	Brain_fmean	0.369406955	Brain_fmean
TRINITY_DN124881_c0_g1_i1	NA	NA	NA	NA	0.231256404	0.231256404	unbias	0.439857875	G23_fmean	0.439857875	G23_fmean
TRINITY_DN124883_c0_g1_i1	NA	NA	NA	NA	0.169267634	0.169267634	unbias	0.464079766	Ovary_mean	0.464079766	Ovary_mean
TRINITY_DN124884_c2_g1_i4	nt5c1a	Chr05	138126817	138126817	-0.196067128	0.196067128	unbias	0.549875116	Brain_mmean	0.549875116	Brain_mmean
TRINITY_DN124886_c0_g1_i1	NA	NA	NA	NA	-0.274994897	0.274994897	unbias	0.472209156	Ovary_mean	0.472209156	Ovary_mean
TRINITY_DN124890_c0_g1_i3	LOC100496726	Chr01	52351562	52351562	0.765097272	0.765097272	unbias	0.208861282	Testis_mean	0.208861282	Testis_mean
TRINITY_DN124890_c0_g3_i1	NA	NA	NA	NA	-0.601675534	0.601675534	unbias	0.34242154	Brain_fmean	0.34242154	Brain_fmean
TRINITY_DN124893_c2_g2_i3	NA	NA	NA	NA	-0.371907635	0.371907635	unbias	0.512474382	Brain_fmean	0.512474382	Brain_fmean
TRINITY_DN124894_c7_g3_i3	NA	NA	NA	NA	1.214108836	1.214108836	unbias	0.439437026	Brain_fmean	0.439437026	Brain_fmean
TRINITY_DN124896_c0_g1_i2	NA	NA	NA	NA	0.228720312	0.228720312	unbias	0.5719105	Brain_fmean	0.5719105	Brain_fmean
TRINITY_DN124897_c0_g1_i3	NA	NA	NA	NA	1.202046619	1.202046619	unbias	0.562819219	Testis_mean	0.562819219	Testis_mean
TRINITY_DN124898_c0_g2_i15	kmt2a	Chr07	85002433	85002433	0.16308753	0.16308753	unbias	0.688521844	Brain_fmean	0.688521844	Brain_fmean
TRINITY_DN124899_c2_g7_i4	NA	NA	NA	NA	0.014505085	0.014505085	unbias	0.274367621	Ovary_mean	0.274367621	Ovary_mean
TRINITY_DN124900_c0_g3_i1	NA	NA	NA	NA	1.105350342	1.105350342	unbias	0.63376983	Liver_mmean	0.63376983	Liver_mmean
TRINITY_DN124901_c4_g2_i5	nsun2	Chr06	60059090	60059090	-0.622968197	0.622968197	unbias	0.408926562	Ovary_mean	0.408926562	Ovary_mean
TRINITY_DN124903_c5_g2_i1	col9a3	scaffold_418	49828	49828	-0.173813043	0.173813043	unbias	0.206934512	Brain_mmean	0.206934512	Brain_mmean
TRINITY_DN124904_c0_g1_i2	NA	NA	NA	NA	-1.399668054	1.399668054	unbias	0.572416184	Brain_fmean	0.572416184	Brain_fmean
TRINITY_DN124905_c0_g2_i2	NA	NA	NA	NA	-1.347700162	1.347700162	unbias	0.35542744	Brain_mmean	0.35542744	Brain_mmean
TRINITY_DN124905_c0_g4_i1	NA	NA	NA	NA	0.029359538	0.029359538	unbias	0.591142006	Brain_fmean	0.591142006	Brain_fmean
TRINITY_DN124906_c0_g1_i2	xrcc4	Chr01	168535733	168535733	0.35143187	0.35143187	unbias	0.339204584	Ovary_mean	0.339204584	Ovary_mean
TRINITY_DN124909_c0_g1_i1	NA	NA	NA	NA	-2.25118241	2.25118241	unbias	0.484553171	Liver_fmean	0.484553171	Liver_fmean
TRINITY_DN124909_c0_g3_i3	NA	NA	NA	NA	-0.144579131	0.144579131	unbias	0.36281946	G46_M_mean	0.36281946	G46_M_mean
TRINITY_DN124909_c0_g4_i1	vps13b	Chr06	113372992	113372992	0.066447677	0.066447677	unbias	0.244488184	G43_F_mean	0.244488184	G43_F_mean
TRINITY_DN124910_c0_g2_i1	foxp2	Chr03	57707405	57707405	0.195663585	0.195663585	unbias	0.311059359	Brain_mmean	0.311059359	Brain_mmean
TRINITY_DN124910_c1_g1_i1	LOC100492713	Chr10	31128083	31128083	-0.194654089	0.194654089	unbias	0.448094989	Liver_fmean	0.448094989	Liver_fmean
TRINITY_DN124911_c0_g2_i4	dcc-like	Chr01	190629590	190629590	0.382746155	0.382746155	unbias	0.332674946	Ovary_mean	0.332674946	Ovary_mean
TRINITY_DN124912_c0_g2_i2	NA	NA	NA	NA	0.053247136	0.053247136	unbias	0.625975028	Brain_fmean	0.625975028	Brain_fmean
TRINITY_DN124912_c0_g3_i1	NA	NA	NA	NA	0.27956206	0.27956206	unbias	0.60760609	Brain_fmean	0.60760609	Brain_fmean
TRINITY_DN124913_c0_g1_i4	NA	NA	NA	NA	-0.481846946	0.481846946	unbias	0.622898128	Ovary_mean	0.622898128	Ovary_mean
TRINITY_DN124915_c2_g1_i1	NA	NA	NA	NA	-0.221697304	0.221697304	unbias	0.276131886	Testis_mean	0.276131886	Testis_mean
TRINITY_DN124917_c0_g1_i1	NA	NA	NA	NA	-0.376228044	0.376228044	unbias	0.344961801	Brain_mmean	0.344961801	Brain_mmean
TRINITY_DN124918_c5_g2_i2	tmem39a	Chr02	2077667	2077667	-0.279573726	0.279573726	unbias	0.317219733	Brain_mmean	0.317219733	Brain_mmean
TRINITY_DN124921_c5_g2_i7	gle1-like	Chr08	4208561	4208561	-0.061526177	0.061526177	unbias	0.130415161	Brain_mmean	0.130415161	Brain_mmean
TRINITY_DN124922_c6_g3_i1	NA	NA	NA	NA	-0.075383579	0.075383579	unbias	0.495306014	Liver_fmean	0.495306014	Liver_fmean
