gid	gname	chr	start	end	logFC.XYliver.XXliver	abslogFC.XYliver.Xxliver	bias	tau	tissue	tau	tissue	dNdS	dN	dS
TRINITY_DN122356_c1_g4_i9	NA	NA	NA	NA	0.079570648	0.079570648	unbias	0.709332108	Brain_fmean	0.709332108	Brain_fmean	0.0769	0.0962	1.2507
TRINITY_DN122360_c1_g1_i1	NA	NA	NA	NA	-0.935292218	0.935292218	unbias	0.678426039	Brain_fmean	0.678426039	Brain_fmean	0.0676	0.0739	1.0935
TRINITY_DN122360_c1_g2_i1	b3gnt4	Chr01	153302330	153302330	0.729481895	0.729481895	unbias	0.565944684	Brain_fmean	0.565944684	Brain_fmean	0.0876	0.1432	1.6349
TRINITY_DN122364_c3_g4_i2	NA	NA	NA	NA	0.283517182	0.283517182	unbias	0.217205174	Ovary_mean	0.217205174	Ovary_mean	0.1188	0.172	1.4486
TRINITY_DN122365_c0_g2_i1	NA	NA	NA	NA	-1.338922736	1.338922736	unbias	0.494829216	G27_fmean	0.494829216	G27_fmean	0.0837	0.1248	1.4899
TRINITY_DN122367_c0_g1_i3	NA	NA	NA	NA	-0.057148761	0.057148761	unbias	0.297402033	Ovary_mean	0.297402033	Ovary_mean	0.0346	0.0472	1.3652
TRINITY_DN122371_c0_g1_i1	NA	NA	NA	NA	-0.112789155	0.112789155	unbias	0.369910392	Ovary_mean	0.369910392	Ovary_mean	0.054	0.0991	1.8361
TRINITY_DN122374_c1_g5_i1	mmrn1	Chr01	68973451	68973451	-0.690842749	0.690842749	unbias	0.475118524	Ovary_mean	0.475118524	Ovary_mean	0.0872	0.1467	1.6824
TRINITY_DN122381_c0_g2_i8	NA	NA	NA	NA	0.306129	0.306129	unbias	0.344807016	Ovary_mean	0.344807016	Ovary_mean	0.0732	0.1318	1.8015
TRINITY_DN122384_c0_g3_i2	NA	NA	NA	NA	-0.108818193	0.108818193	unbias	0.56826746	Brain_mmean	0.56826746	Brain_mmean	0.1193	0.1762	1.4769
TRINITY_DN122391_c0_g1_i1	NA	NA	NA	NA	0.306060558	0.306060558	unbias	0.476260185	G43_M_mean	0.476260185	G43_M_mean	0.1594	0.2515	1.5782
TRINITY_DN122399_c0_g1_i2	NA	NA	NA	NA	-0.857634296	0.857634296	unbias	0.463273654	Ovary_mean	0.463273654	Ovary_mean	0.0657	0.0826	1.2575
TRINITY_DN122408_c1_g2_i10	setdb2	Chr02	146344296	146344296	0.280077848	0.280077848	unbias	0.851439851	Brain_mmean	0.851439851	Brain_mmean	0.0199	0.038	1.9074
TRINITY_DN122414_c0_g1_i3	NA	NA	NA	NA	-0.788227281	0.788227281	unbias	0.668480241	Ovary_mean	0.668480241	Ovary_mean	0.0535	0.075	1.403
TRINITY_DN122415_c4_g3_i4	NA	NA	NA	NA	0.605571538	0.605571538	unbias	0.350889089	G27_fmean	0.350889089	G27_fmean	0.1078	0.1425	1.3218
TRINITY_DN122426_c0_g1_i3	tmem63c	Chr08	61552057	61552057	0.106176014	0.106176014	unbias	0.575227634	Ovary_mean	0.575227634	Ovary_mean	0.1268	0.2109	1.6634
TRINITY_DN122427_c0_g2_i8	NA	NA	NA	NA	-0.168734622	0.168734622	unbias	0.19246779	Ovary_mean	0.19246779	Ovary_mean	0.0061	0.0063	1.0257
TRINITY_DN122431_c8_g2_i2	LOC101730452	Chr10	20152861	20152861	0.269511792	0.269511792	unbias	0.668171279	Ovary_mean	0.668171279	Ovary_mean	0.1133	0.2097	1.8514
TRINITY_DN122434_c0_g2_i5	NA	NA	NA	NA	0.869727392	0.869727392	unbias	0.131462682	Liver_mmean	0.131462682	Liver_mmean	0.0921	0.1785	1.9386
TRINITY_DN122435_c0_g1_i2	mthfd2l	scaffold_51	96148	96148	-0.693619086	0.693619086	unbias	0.689294783	Ovary_mean	0.689294783	Ovary_mean	0.0633	0.0945	1.4918
TRINITY_DN122437_c0_g1_i2	NA	NA	NA	NA	0.729215542	0.729215542	unbias	0.105862599	Ovary_mean	0.105862599	Ovary_mean	0.0788	0.1118	1.4201
TRINITY_DN122440_c5_g1_i1	ppt1	Chr02	86695526	86695526	0.925121479	0.925121479	unbias	0.349406636	G43_F_mean	0.349406636	G43_F_mean	0.0925	0.1617	1.749
TRINITY_DN122441_c1_g1_i2	lars2-like	Chr06	63482736	63482736	0.210900517	0.210900517	unbias	0.09527858	G23_mmean	0.09527858	G23_mmean	0.0668	0.0959	1.4365
TRINITY_DN122446_c0_g1_i4	NA	NA	NA	NA	-0.452793348	0.452793348	unbias	0.232423971	Brain_mmean	0.232423971	Brain_mmean	0.1419	0.2288	1.6123
TRINITY_DN122446_c0_g2_i3	NA	NA	NA	NA	0.487872797	0.487872797	unbias	0.558433994	Brain_mmean	0.558433994	Brain_mmean	0.1027	0.0961	0.9362
TRINITY_DN122453_c4_g1_i3	NA	NA	NA	NA	-0.42354702	0.42354702	unbias	0.327774164	Brain_fmean	0.327774164	Brain_fmean	0.0429	0.0234	0.5465
TRINITY_DN122453_c4_g2_i1	NA	NA	NA	NA	-0.429275491	0.429275491	unbias	0.501451813	Ovary_mean	0.501451813	Ovary_mean	0.0812	0.1071	1.3197
TRINITY_DN122455_c0_g1_i1	cul2	Chr06	13412995	13412995	-0.087534557	0.087534557	unbias	0.379869537	Ovary_mean	0.379869537	Ovary_mean	0.0552	0.081	1.4677
TRINITY_DN122463_c5_g2_i1	neto1-like	scaffold_21	1970199	1970199	-0.701957129	0.701957129	unbias	0.658996674	Brain_mmean	0.658996674	Brain_mmean	0.0328	0.0398	1.2142
TRINITY_DN122463_c7_g3_i2	ccdc130	Chr03	129727207	129727207	0.907635135	0.907635135	unbias	0.63641312	Ovary_mean	0.63641312	Ovary_mean	0.135	0.2418	1.7906
TRINITY_DN122469_c0_g1_i1	phactr3	Chr10	839054	839054	-0.487107225	0.487107225	unbias	0.492729883	Ovary_mean	0.492729883	Ovary_mean	0.0655	0.1024	1.5622
TRINITY_DN122477_c0_g1_i1	cnn2	Chr03	128570048	128570048	0.02351911	0.02351911	unbias	0.433971106	Brain_mmean	0.433971106	Brain_mmean	0.0758	0.145	1.9122
TRINITY_DN122486_c8_g5_i1	NA	NA	NA	NA	0.232157179	0.232157179	unbias	0.377712644	G23_mmean	0.377712644	G23_mmean	0.0862	0.1386	1.6091
TRINITY_DN122487_c2_g1_i1	NA	NA	NA	NA	0.048232325	0.048232325	unbias	0.3005699	Testis_mean	0.3005699	Testis_mean	0.094	0.1573	1.6731
TRINITY_DN122495_c0_g1_i9	NA	NA	NA	NA	0.311487967	0.311487967	unbias	0.28970022	Brain_fmean	0.28970022	Brain_fmean	0.09	0.1269	1.4093
TRINITY_DN122501_c0_g1_i2	NA	NA	NA	NA	0.236362517	0.236362517	unbias	0.602791295	Ovary_mean	0.602791295	Ovary_mean	0.0835	0.1014	1.2137
TRINITY_DN122502_c0_g1_i1	NA	NA	NA	NA	0.562632384	0.562632384	unbias	0.104494186	G43_M_mean	0.104494186	G43_M_mean	0.0719	0.1075	1.4939
TRINITY_DN122504_c0_g1_i1	NA	NA	NA	NA	-0.113793558	0.113793558	unbias	0.403487056	G27_mmean	0.403487056	G27_mmean	0.1148	0.2206	1.9209
TRINITY_DN122506_c0_g2_i7	LOC100485425-like	Chr04	127401326	127401326	0.877607472	0.877607472	unbias	0.310866174	G27_fmean	0.310866174	G27_fmean	0.0686	0.0885	1.2909
TRINITY_DN122513_c0_g2_i2	igsf10	Chr05	106577328	106577328	0.313149094	0.313149094	unbias	0.460914941	Brain_fmean	0.460914941	Brain_fmean	0.1265	0.2021	1.5979
TRINITY_DN122514_c0_g2_i1	Xetrov90007883m	Chr03	44191362	44191362	0.105116622	0.105116622	unbias	0.300126888	Ovary_mean	0.300126888	Ovary_mean	0.068	0.1143	1.6808
TRINITY_DN122523_c0_g1_i1	LOC100495634	Chr05	137663597	137663597	0.023232253	0.023232253	unbias	0.416426303	Ovary_mean	0.416426303	Ovary_mean	0.1519	0.2269	1.4939
TRINITY_DN122525_c0_g1_i4	NA	NA	NA	NA	0.009203083	0.009203083	unbias	0.428378365	Brain_mmean	0.428378365	Brain_mmean	0.0747	0.0954	1.2758
TRINITY_DN122528_c0_g2_i1	sult1c4	scaffold_124	352949	352949	0.628321649	0.628321649	unbias	0.427662348	Brain_mmean	0.427662348	Brain_mmean	0.1324	0.2502	1.8887
TRINITY_DN122533_c0_g1_i1	NA	NA	NA	NA	-3.733733711	3.733733711	female	0.510644885	Liver_fmean	0.510644885	Liver_fmean	0.1012	0.1782	1.7608
TRINITY_DN122538_c1_g1_i1	NA	NA	NA	NA	0.086093303	0.086093303	unbias	0.375008516	Ovary_mean	0.375008516	Ovary_mean	0.0408	0.0422	1.0351
TRINITY_DN122549_c0_g1_i1	tcf19	Chr08	52757611	52757611	-0.042257411	0.042257411	unbias	0.152960505	G27_mmean	0.152960505	G27_mmean	0.0195	0.0361	1.8537
TRINITY_DN122557_c0_g1_i2	NA	NA	NA	NA	-0.425094707	0.425094707	unbias	0.282720402	Ovary_mean	0.282720402	Ovary_mean	0.1118	0.1806	1.6158
TRINITY_DN122558_c5_g1_i7	NA	NA	NA	NA	-0.074250225	0.074250225	unbias	0.602121055	Liver_fmean	0.602121055	Liver_fmean	0.1831	0.2481	1.355
TRINITY_DN122559_c1_g2_i1	NA	NA	NA	NA	-0.355438664	0.355438664	unbias	0.466902446	Brain_mmean	0.466902446	Brain_mmean	0.0547	0.0778	1.4237
TRINITY_DN122561_c0_g1_i3	NA	NA	NA	NA	0.977726896	0.977726896	unbias	0.493588164	Liver_mmean	0.493588164	Liver_mmean	0.1154	0.19	1.6462
TRINITY_DN122561_c0_g3_i2	Xetrov90023355m	Chr09	15916486	15916486	-0.59473315	0.59473315	unbias	0.654869335	Ovary_mean	0.654869335	Ovary_mean	0.0704	0.1008	1.4324
TRINITY_DN122562_c0_g1_i2	NA	NA	NA	NA	-0.908235023	0.908235023	unbias	0.673317402	Ovary_mean	0.673317402	Ovary_mean	0.1617	0.2265	1.4003
TRINITY_DN122563_c0_g4_i1	pou1f1	Chr02	18636309	18636309	-0.68031206	0.68031206	unbias	0.295561467	G46_F_mean	0.295561467	G46_F_mean	0.1616	0.2023	1.2521
TRINITY_DN122569_c0_g3_i1	NA	NA	NA	NA	0.644753702	0.644753702	unbias	0.637389117	Brain_mmean	0.637389117	Brain_mmean	0.0328	0.0634	1.9354
TRINITY_DN122572_c0_g1_i3	emc2	Chr06	116351853	116351853	0.972797514	0.972797514	unbias	0.23438619	Brain_fmean	0.23438619	Brain_fmean	0.1458	0.2465	1.6904
TRINITY_DN122574_c0_g1_i1	Xetrov90014472m	Chr05	101491038	101491038	-0.180991891	0.180991891	unbias	0.155546146	G23_fmean	0.155546146	G23_fmean	0.0669	0.0834	1.247
TRINITY_DN122580_c0_g1_i2	NA	NA	NA	NA	0.910874525	0.910874525	unbias	0.44986665	Liver_mmean	0.44986665	Liver_mmean	0.2007	0.2993	1.4917
TRINITY_DN122587_c0_g2_i1	NA	NA	NA	NA	0.191277305	0.191277305	unbias	0.346827501	Ovary_mean	0.346827501	Ovary_mean	0.0605	0.1087	1.7969
TRINITY_DN122590_c2_g1_i1	NA	NA	NA	NA	-0.745905325	0.745905325	unbias	0.582035209	Ovary_mean	0.582035209	Ovary_mean	0.0554	0.0624	1.126
TRINITY_DN122602_c0_g2_i3	NA	NA	NA	NA	0.075008548	0.075008548	unbias	0.472837692	Ovary_mean	0.472837692	Ovary_mean	0.132	0.1707	1.2936
TRINITY_DN122604_c0_g1_i1	NA	NA	NA	NA	-0.438463159	0.438463159	unbias	0.541002644	Ovary_mean	0.541002644	Ovary_mean	0.2196	0.3346	1.5235
TRINITY_DN122606_c2_g1_i2	NA	NA	NA	NA	0.353250296	0.353250296	unbias	0.261826381	Ovary_mean	0.261826381	Ovary_mean	0.0835	0.1048	1.2551
TRINITY_DN122611_c2_g3_i4	NA	NA	NA	NA	0.290166987	0.290166987	unbias	0.21234437	Ovary_mean	0.21234437	Ovary_mean	0.0552	0.0532	0.9634
TRINITY_DN122613_c0_g1_i3	NA	NA	NA	NA	-0.333077951	0.333077951	unbias	0.432276806	Ovary_mean	0.432276806	Ovary_mean	0.1074	0.1244	1.158
TRINITY_DN122624_c1_g1_i4	ogfod1	Chr04	54217951	54217951	0.048622865	0.048622865	unbias	0.39363874	Brain_fmean	0.39363874	Brain_fmean	0.2018	0.3838	1.9017
TRINITY_DN122624_c3_g1_i1	eif2a	Chr05	114973758	114973758	-0.070693607	0.070693607	unbias	0.388837762	Ovary_mean	0.388837762	Ovary_mean	0.0241	0.032	1.3283
TRINITY_DN122628_c3_g3_i1	scara3-like	scaffold_786	771	771	-0.132989092	0.132989092	unbias	0.506602078	Ovary_mean	0.506602078	Ovary_mean	0.0369	0.063	1.705
TRINITY_DN122630_c7_g1_i2	NA	NA	NA	NA	0.456511549	0.456511549	unbias	0.508746677	Brain_fmean	0.508746677	Brain_fmean	0.0137	0.0145	1.0568
TRINITY_DN122635_c5_g5_i6	NA	NA	NA	NA	0.352397356	0.352397356	unbias	0.169334317	G27_mmean	0.169334317	G27_mmean	0.0262	0.0314	1.1986
TRINITY_DN122646_c2_g1_i1	ca8	Chr06	102013719	102013719	-0.848386416	0.848386416	unbias	0.515054479	Ovary_mean	0.515054479	Ovary_mean	0.0523	0.029	0.5545
TRINITY_DN122649_c6_g1_i4	NA	NA	NA	NA	0.016362711	0.016362711	unbias	0.164239351	G23_mmean	0.164239351	G23_mmean	0.007	0.0058	0.8385
TRINITY_DN122654_c5_g1_i3	NA	NA	NA	NA	-0.030304119	0.030304119	unbias	0.514757092	Ovary_mean	0.514757092	Ovary_mean	0.138	0.1883	1.364
TRINITY_DN122654_c7_g8_i1	ptcd3	Chr01	11285961	11285961	1.771090352	1.771090352	unbias	0.697310373	Ovary_mean	0.697310373	Ovary_mean	0.0848	0.1448	1.7073
TRINITY_DN122655_c0_g1_i3	NA	NA	NA	NA	0.229852158	0.229852158	unbias	0.399993832	G23_fmean	0.399993832	G23_fmean	0.0865	0.1099	1.2704
TRINITY_DN122657_c4_g1_i1	morn4-like	Chr07	24838828	24838828	-0.262475829	0.262475829	unbias	0.550330141	Ovary_mean	0.550330141	Ovary_mean	0.11	0.1752	1.5922
TRINITY_DN122662_c0_g10_i3	NA	NA	NA	NA	0.044217011	0.044217011	unbias	0.433053114	Ovary_mean	0.433053114	Ovary_mean	0.2306	0.3058	1.3262
TRINITY_DN122671_c3_g1_i1	NA	NA	NA	NA	0.237981354	0.237981354	unbias	0.552239563	Brain_fmean	0.552239563	Brain_fmean	0.0963	0.1791	1.8593
TRINITY_DN122675_c1_g1_i1	NA	NA	NA	NA	-0.355329845	0.355329845	unbias	0.239985381	Brain_mmean	0.239985381	Brain_mmean	0.0553	0.106	1.9153
TRINITY_DN122676_c4_g6_i2	NA	NA	NA	NA	-0.745227697	0.745227697	unbias	0.567829362	Brain_mmean	0.567829362	Brain_mmean	0.0642	0.1097	1.7083
TRINITY_DN122676_c4_g8_i4	NA	NA	NA	NA	-0.025011531	0.025011531	unbias	0.32882162	Ovary_mean	0.32882162	Ovary_mean	0.0468	0.0799	1.7084
TRINITY_DN122698_c3_g2_i1	NA	NA	NA	NA	-0.10297436	0.10297436	unbias	0.217079177	Brain_fmean	0.217079177	Brain_fmean	0.0575	0.0723	1.2568
TRINITY_DN122701_c2_g2_i4	NA	NA	NA	NA	-0.706906409	0.706906409	unbias	0.397719341	G43_M_mean	0.397719341	G43_M_mean	0.0878	0.161	1.8335
TRINITY_DN122709_c0_g1_i1	NA	NA	NA	NA	0.110162178	0.110162178	unbias	0.44968927	Testis_mean	0.44968927	Testis_mean	0.0226	0.0311	1.3761
TRINITY_DN122712_c0_g1_i1	NA	NA	NA	NA	0.063879333	0.063879333	unbias	0.284071461	G43_M_mean	0.284071461	G43_M_mean	0.0822	0.1245	1.5159
TRINITY_DN122714_c15_g1_i1	srm-like	Chr07	39710550	39710550	-0.257252722	0.257252722	unbias	0.387592446	Ovary_mean	0.387592446	Ovary_mean	0.0355	0.0521	1.4684
TRINITY_DN122715_c2_g1_i2	NA	NA	NA	NA	-0.225709165	0.225709165	unbias	0.482013549	Ovary_mean	0.482013549	Ovary_mean	0.0619	0.0856	1.3838
TRINITY_DN122721_c0_g1_i1	itgb1	Chr06	14626625	14626625	0.591629679	0.591629679	unbias	0.322885261	Ovary_mean	0.322885261	Ovary_mean	0.0964	0.1522	1.5793
TRINITY_DN122725_c0_g1_i3	usp46	Chr08	25999899	25999899	-0.183110289	0.183110289	unbias	0.395929915	G23_fmean	0.395929915	G23_fmean	0.0654	0.0516	0.7886
TRINITY_DN122727_c0_g1_i1	NA	NA	NA	NA	0.643639731	0.643639731	unbias	0.760777736	Ovary_mean	0.760777736	Ovary_mean	0.1285	0.2412	1.8777
TRINITY_DN122730_c1_g2_i5	NA	NA	NA	NA	0.153280371	0.153280371	unbias	0.249784812	Brain_mmean	0.249784812	Brain_mmean	0.0247	0.0317	1.2831
TRINITY_DN122731_c0_g2_i1	NA	NA	NA	NA	0.221184831	0.221184831	unbias	0.465789189	Ovary_mean	0.465789189	Ovary_mean	0.0692	0.1185	1.7119
TRINITY_DN122739_c0_g2_i7	NA	NA	NA	NA	0.95801702	0.95801702	unbias	0.490221851	Brain_fmean	0.490221851	Brain_fmean	0.0168	0.027	1.6107
TRINITY_DN122740_c3_g1_i2	NA	NA	NA	NA	0.248031257	0.248031257	unbias	0.297862885	Brain_mmean	0.297862885	Brain_mmean	0.1105	0.1917	1.734
TRINITY_DN122741_c0_g2_i3	NA	NA	NA	NA	-0.170128045	0.170128045	unbias	0.46939998	Ovary_mean	0.46939998	Ovary_mean	0.0133	0.0239	1.7977
TRINITY_DN122745_c0_g1_i1	NA	NA	NA	NA	0.046206978	0.046206978	unbias	0.346322152	Brain_fmean	0.346322152	Brain_fmean	0.0909	0.1327	1.4594
TRINITY_DN122749_c0_g1_i3	NA	NA	NA	NA	-0.005187017	0.005187017	unbias	0.406667823	Ovary_mean	0.406667823	Ovary_mean	0.0633	0.0999	1.5775
TRINITY_DN122752_c0_g1_i2	NA	NA	NA	NA	-0.110703396	0.110703396	unbias	0.598590513	Ovary_mean	0.598590513	Ovary_mean	0.0242	0.0319	1.3193
TRINITY_DN122757_c0_g1_i4	NA	NA	NA	NA	-0.257020683	0.257020683	unbias	0.236131897	Testis_mean	0.236131897	Testis_mean	0.0292	0.0529	1.8115
TRINITY_DN122758_c4_g4_i1	NA	NA	NA	NA	0.213931502	0.213931502	unbias	0.077053022	Testis_mean	0.077053022	Testis_mean	0.1179	0.1752	1.4858
TRINITY_DN122760_c0_g2_i1	ripply2.1	Chr05	81152092	81152092	-1.355803866	1.355803866	unbias	0.381121849	G23_mmean	0.381121849	G23_mmean	0.0165	0.0163	0.9874
TRINITY_DN122767_c2_g2_i1	bod1l1	Chr01	17372725	17372725	0.437025464	0.437025464	unbias	0.587816158	Brain_fmean	0.587816158	Brain_fmean	0.1427	0.2333	1.6351
TRINITY_DN122768_c0_g1_i2	NA	NA	NA	NA	0.035756465	0.035756465	unbias	0.531669547	Brain_mmean	0.531669547	Brain_mmean	0.0078	0.0077	0.9926
TRINITY_DN122777_c0_g2_i2	NA	NA	NA	NA	0.651772939	0.651772939	unbias	0.290628328	G23_fmean	0.290628328	G23_fmean	0.1018	0.1794	1.7611
TRINITY_DN122777_c0_g3_i1	mamdc2	Chr01	117467899	117467899	0.351312217	0.351312217	unbias	0.742913047	Brain_mmean	0.742913047	Brain_mmean	0.1731	0.2025	1.1698
TRINITY_DN122781_c7_g1_i1	eif6	Chr10	6210596	6210596	-0.028558313	0.028558313	unbias	0.527107728	G43_M_mean	0.527107728	G43_M_mean	0.1973	0.1866	0.9458
TRINITY_DN122785_c0_g2_i2	NA	NA	NA	NA	-0.035336753	0.035336753	unbias	0.263984537	Ovary_mean	0.263984537	Ovary_mean	0.1049	0.0686	0.6539
TRINITY_DN122793_c0_g2_i2	NA	NA	NA	NA	-0.429537022	0.429537022	unbias	0.865365778	Brain_mmean	0.865365778	Brain_mmean	0.0414	0.0429	1.0356
TRINITY_DN122800_c1_g1_i1	NA	NA	NA	NA	0.26227334	0.26227334	unbias	0.117401921	G27_fmean	0.117401921	G27_fmean	0.0296	0.0527	1.7804
TRINITY_DN122805_c0_g1_i2	NA	NA	NA	NA	0.123451785	0.123451785	unbias	0.294614924	Ovary_mean	0.294614924	Ovary_mean	0.0496	0.064	1.29
TRINITY_DN122809_c1_g1_i1	NA	NA	NA	NA	0.444224082	0.444224082	unbias	0.435436439	Brain_mmean	0.435436439	Brain_mmean	0.0414	0.0517	1.2492
TRINITY_DN122829_c0_g4_i1	NA	NA	NA	NA	0.449424004	0.449424004	unbias	0.387604063	Testis_mean	0.387604063	Testis_mean	0.0184	0.0199	1.0842
TRINITY_DN122839_c0_g1_i1	NA	NA	NA	NA	0.63636275	0.63636275	unbias	0.54568765	Brain_mmean	0.54568765	Brain_mmean	0.1066	0.132	1.2388
TRINITY_DN122842_c2_g2_i1	NA	NA	NA	NA	0.326280836	0.326280836	unbias	0.482926793	Ovary_mean	0.482926793	Ovary_mean	0.2782	0.3384	1.2166
TRINITY_DN122850_c0_g1_i1	NA	NA	NA	NA	-0.183201389	0.183201389	unbias	0.190915619	Ovary_mean	0.190915619	Ovary_mean	0.0297	0.0305	1.028
TRINITY_DN122851_c0_g2_i1	NA	NA	NA	NA	-0.63458432	0.63458432	unbias	0.539504854	Ovary_mean	0.539504854	Ovary_mean	0.003	0.003	1.0022
TRINITY_DN122857_c0_g1_i1	NA	NA	NA	NA	0.272258642	0.272258642	unbias	0.696055852	Brain_mmean	0.696055852	Brain_mmean	0.0688	0.0644	0.936
TRINITY_DN122865_c0_g1_i1	NA	NA	NA	NA	0.111571118	0.111571118	unbias	0.426786564	Ovary_mean	0.426786564	Ovary_mean	0.0132	0.0154	1.169
TRINITY_DN122866_c0_g1_i1	NA	NA	NA	NA	-0.278371335	0.278371335	unbias	0.706389923	Brain_mmean	0.706389923	Brain_mmean	0.0326	0.0359	1.0994
TRINITY_DN122868_c1_g1_i4	gps1	Chr10	19431228	19431228	0.236408158	0.236408158	unbias	0.121746858	G27_mmean	0.121746858	G27_mmean	0.0358	0.0655	1.8315
TRINITY_DN122871_c1_g3_i3	NA	NA	NA	NA	0.181012495	0.181012495	unbias	0.291595144	Ovary_mean	0.291595144	Ovary_mean	0.0605	0.0742	1.2265
TRINITY_DN122876_c3_g1_i10	ccdc127	Chr06	69837431	69837431	0.871223399	0.871223399	unbias	0.167989045	Liver_mmean	0.167989045	Liver_mmean	0.0284	0.0381	1.342
TRINITY_DN122882_c0_g1_i2	NA	NA	NA	NA	0.784381021	0.784381021	unbias	0.374428654	G23_mmean	0.374428654	G23_mmean	0.1385	0.2447	1.767
TRINITY_DN122883_c0_g1_i1	NA	NA	NA	NA	0.552344755	0.552344755	unbias	0.456784483	Liver_mmean	0.456784483	Liver_mmean	0.104	0.1427	1.3713
TRINITY_DN122887_c4_g1_i2	NA	NA	NA	NA	-0.27743402	0.27743402	unbias	0.396077883	Brain_mmean	0.396077883	Brain_mmean	0.0159	0.0313	1.9701
TRINITY_DN122889_c8_g1_i4	NA	NA	NA	NA	-0.875156945	0.875156945	unbias	0.224791975	Testis_mean	0.224791975	Testis_mean	0.001	0.0006	0.5505
TRINITY_DN122891_c0_g2_i5	Xetrov90011013m	Chr04	37736758	37736758	-0.461376622	0.461376622	unbias	0.189094299	G23_fmean	0.189094299	G23_fmean	0.0383	0.037	0.9652
TRINITY_DN122892_c0_g1_i1	LOC100492550	Chr01	98813361	98813361	3.152822812	3.152822812	male	0.627635482	Ovary_mean	0.627635482	Ovary_mean	0.1426	0.1904	1.3351
TRINITY_DN122895_c0_g1_i2	NA	NA	NA	NA	-0.697621861	0.697621861	unbias	0.583584547	Ovary_mean	0.583584547	Ovary_mean	0.0942	0.122	1.2958
TRINITY_DN122898_c0_g1_i1	NA	NA	NA	NA	-0.030019821	0.030019821	unbias	0.239299307	Brain_fmean	0.239299307	Brain_fmean	0.1112	0.1607	1.4448
TRINITY_DN122914_c0_g1_i2	NA	NA	NA	NA	-0.563572034	0.563572034	unbias	0.568684626	Ovary_mean	0.568684626	Ovary_mean	0.0721	0.0949	1.3164
TRINITY_DN122928_c0_g1_i3	NA	NA	NA	NA	-0.166065392	0.166065392	unbias	0.268054444	Ovary_mean	0.268054444	Ovary_mean	0.0079	0.0084	1.0589
TRINITY_DN122933_c2_g4_i2	NA	NA	NA	NA	-0.098407694	0.098407694	unbias	0.270732555	Ovary_mean	0.270732555	Ovary_mean	0.0157	0.0193	1.2293
TRINITY_DN122933_c3_g1_i6	NA	NA	NA	NA	-0.026852392	0.026852392	unbias	0.576246502	Ovary_mean	0.576246502	Ovary_mean	0.0372	0.0567	1.5235
TRINITY_DN122933_c4_g2_i2	NA	NA	NA	NA	0.04121988	0.04121988	unbias	0.6283579	Ovary_mean	0.6283579	Ovary_mean	0.0515	0.0758	1.4708
TRINITY_DN122938_c2_g2_i1	NA	NA	NA	NA	0.425162016	0.425162016	unbias	0.247323362	Liver_fmean	0.247323362	Liver_fmean	0.1115	0.1848	1.6579
TRINITY_DN122939_c2_g3_i10	NA	NA	NA	NA	0.152113001	0.152113001	unbias	0.229392306	Ovary_mean	0.229392306	Ovary_mean	0.0314	0.0353	1.1247
TRINITY_DN122940_c0_g4_i1	hps4	Chr01	140208335	140208335	-0.318485943	0.318485943	unbias	0.733902765	Ovary_mean	0.733902765	Ovary_mean	0.053	0.0825	1.5565
TRINITY_DN122954_c0_g2_i1	kcnmb4	Chr03	49996161	49996161	-0.300185876	0.300185876	unbias	0.561408456	Ovary_mean	0.561408456	Ovary_mean	0.0558	0.0685	1.228
TRINITY_DN122956_c0_g1_i1	tspo	scaffold_214	91976	91976	0.566093628	0.566093628	unbias	0.56944287	Ovary_mean	0.56944287	Ovary_mean	0.1068	0.1894	1.7737
TRINITY_DN122956_c5_g1_i1	NA	NA	NA	NA	-0.873251832	0.873251832	unbias	0.498239256	Ovary_mean	0.498239256	Ovary_mean	0.1294	0.1854	1.4331
TRINITY_DN122956_c5_g2_i1	NA	NA	NA	NA	0.691243451	0.691243451	unbias	0.606270515	Ovary_mean	0.606270515	Ovary_mean	0.1057	0.157	1.4845
TRINITY_DN122960_c3_g1_i1	NA	NA	NA	NA	-0.092872476	0.092872476	unbias	0.775357829	Brain_fmean	0.775357829	Brain_fmean	0.0875	0.1193	1.3641
TRINITY_DN122960_c4_g2_i1	NA	NA	NA	NA	0.385886389	0.385886389	unbias	0.372248255	G46_M_mean	0.372248255	G46_M_mean	0.14	0.1748	1.2485
TRINITY_DN122961_c6_g7_i3	NA	NA	NA	NA	0.45437297	0.45437297	unbias	0.363455536	G23_fmean	0.363455536	G23_fmean	0.1375	0.2297	1.6702
TRINITY_DN122965_c0_g2_i3	NA	NA	NA	NA	-0.672038603	0.672038603	unbias	0.504134094	Ovary_mean	0.504134094	Ovary_mean	0.0566	0.1061	1.8746
TRINITY_DN122976_c0_g2_i2	NA	NA	NA	NA	0.296876914	0.296876914	unbias	0.516458729	G27_fmean	0.516458729	G27_fmean	0.1022	0.1924	1.8824
TRINITY_DN122985_c0_g1_i4	NA	NA	NA	NA	-0.51167852	0.51167852	unbias	0.406768461	Ovary_mean	0.406768461	Ovary_mean	0.1344	0.2273	1.6914
TRINITY_DN122990_c0_g2_i8	NA	NA	NA	NA	0.18006663	0.18006663	unbias	0.476520119	Ovary_mean	0.476520119	Ovary_mean	0.1071	0.1727	1.6133
TRINITY_DN122993_c0_g1_i2	NA	NA	NA	NA	-0.215605072	0.215605072	unbias	0.50616774	Brain_fmean	0.50616774	Brain_fmean	0.0512	0.0399	0.7788
