rbh	gid	dNdS	dN	dS	chrid	chrtype	twosexchr
RBH_pair_9511.fa.best.phy	TRINITY_DN134085_c3_g2_i2	0.0394	0.0627	1.5936	Chr02	Sexchr	Chr02
RBH_pair_3849.fa.best.phy	TRINITY_DN123539_c0_g1_i1	0.0466	0.0742	1.5936	Chr02	Sexchr	Chr02
RBH_pair_9943.fa.best.phy	TRINITY_DN134931_c2_g1_i1	0.2141	0.3413	1.594	Chr02	Sexchr	Chr02
RBH_pair_3333.fa.best.phy	TRINITY_DN122349_c0_g1_i2	0.0669	0.1067	1.5947	Chr02	Sexchr	Chr02
RBH_pair_3686.fa.best.phy	TRINITY_DN123172_c4_g1_i2	0.1095	0.1746	1.5948	Chr02	Sexchr	Chr02
RBH_pair_7674.fa.best.phy	TRINITY_DN130788_c9_g6_i1	0.0666	0.1063	1.5951	Chr02	Sexchr	Chr02
RBH_pair_10257.fa.best.phy	TRINITY_DN135669_c0_g2_i3	0.0462	0.0736	1.5953	Chr02	Sexchr	Chr02
RBH_pair_796.fa.best.phy	TRINITY_DN113124_c0_g1_i3	0.0639	0.1019	1.5957	Chr02	Sexchr	Chr02
RBH_pair_6862.fa.best.phy	TRINITY_DN129361_c4_g3_i2	0.1139	0.1818	1.5959	Chr02	Sexchr	Chr02
RBH_pair_7125.fa.best.phy	TRINITY_DN129825_c1_g2_i1	0.2375	0.3795	1.5982	Chr02	Sexchr	Chr02
RBH_pair_5203.fa.best.phy	TRINITY_DN126251_c5_g3_i3	0.0584	0.0933	1.5992	Chr02	Sexchr	Chr02
RBH_pair_10032.fa.best.phy	TRINITY_DN135127_c7_g1_i2	0.0512	0.0818	1.5994	Chr02	Sexchr	Chr02
RBH_pair_1065.fa.best.phy	TRINITY_DN114790_c0_g1_i1	0.0671	0.1074	1.5997	Chr02	Sexchr	Chr02
RBH_pair_2950.fa.best.phy	TRINITY_DN121417_c1_g1_i4	0.1394	0.2233	1.6011	Chr02	Sexchr	Chr02
RBH_pair_10490.fa.best.phy	TRINITY_DN136350_c0_g1_i6	0.0978	0.1569	1.6045	Chr02	Sexchr	Chr02
RBH_pair_1732.fa.best.phy	TRINITY_DN117731_c0_g1_i1	0.2157	0.3463	1.6057	Chr02	Sexchr	Chr02
RBH_pair_3230.fa.best.phy	TRINITY_DN122097_c0_g1_i2	0.1011	0.1624	1.6059	Chr02	Sexchr	Chr02
RBH_pair_6348.fa.best.phy	TRINITY_DN128390_c3_g1_i1	0.1535	0.2467	1.6074	Chr02	Sexchr	Chr02
RBH_pair_8637.fa.best.phy	TRINITY_DN132492_c0_g1_i1	0.0256	0.0413	1.6101	Chr02	Sexchr	Chr02
RBH_pair_5855.fa.best.phy	TRINITY_DN127482_c0_g1_i2	0.0523	0.0843	1.6125	Chr02	Sexchr	Chr02
RBH_pair_3412.fa.best.phy	TRINITY_DN122557_c0_g1_i2	0.1118	0.1806	1.6158	Chr02	Sexchr	Chr02
RBH_pair_9973.fa.best.phy	TRINITY_DN134988_c7_g3_i5	0.1916	0.3098	1.6171	Chr02	Sexchr	Chr02
RBH_pair_7428.fa.best.phy	TRINITY_DN130358_c0_g1_i2	0.1956	0.3163	1.6175	Chr02	Sexchr	Chr02
RBH_pair_9647.fa.best.phy	TRINITY_DN134371_c1_g3_i1	0.0836	0.1354	1.6193	Chr02	Sexchr	Chr02
RBH_pair_11159.fa.best.phy	TRINITY_DN90898_c0_g1_i1	0.267	0.4326	1.6201	Chr02	Sexchr	Chr02
RBH_pair_2582.fa.best.phy	TRINITY_DN120473_c0_g1_i2	0.1284	0.2082	1.6209	Chr02	Sexchr	Chr02
RBH_pair_11204.fa.best.phy	TRINITY_DN93345_c0_g1_i1	0.0035	0.0056	1.6231	Chr02	Sexchr	Chr02
RBH_pair_3876.fa.best.phy	TRINITY_DN123593_c0_g5_i2	0.0366	0.0594	1.6231	Chr02	Sexchr	Chr02
RBH_pair_2646.fa.best.phy	TRINITY_DN120649_c0_g2_i1	0.1223	0.1986	1.6238	Chr02	Sexchr	Chr02
RBH_pair_9788.fa.best.phy	TRINITY_DN134608_c3_g5_i2	0.0642	0.1043	1.6241	Chr02	Sexchr	Chr02
RBH_pair_2225.fa.best.phy	TRINITY_DN119433_c0_g1_i1	0.0921	0.1496	1.6243	Chr02	Sexchr	Chr02
RBH_pair_9214.fa.best.phy	TRINITY_DN133543_c6_g1_i3	0.0248	0.0403	1.6263	Chr02	Sexchr	Chr02
RBH_pair_9243.fa.best.phy	TRINITY_DN133588_c4_g3_i1	0.154	0.2506	1.6275	Chr02	Sexchr	Chr02
RBH_pair_2975.fa.best.phy	TRINITY_DN121481_c0_g2_i1	0.0419	0.0683	1.6288	Chr02	Sexchr	Chr02
RBH_pair_8244.fa.best.phy	TRINITY_DN131823_c4_g5_i1	0.1455	0.237	1.6293	Chr02	Sexchr	Chr02
RBH_pair_1678.fa.best.phy	TRINITY_DN117572_c0_g1_i1	0.0251	0.0409	1.6299	Chr02	Sexchr	Chr02
RBH_pair_3641.fa.best.phy	TRINITY_DN123051_c5_g1_i6	0.2245	0.366	1.63	Chr02	Sexchr	Chr02
RBH_pair_8848.fa.best.phy	TRINITY_DN132871_c1_g1_i1	0.0754	0.1229	1.6302	Chr02	Sexchr	Chr02
RBH_pair_8525.fa.best.phy	TRINITY_DN132302_c0_g5_i3	0.1054	0.172	1.6317	Chr02	Sexchr	Chr02
RBH_pair_9296.fa.best.phy	TRINITY_DN133682_c0_g2_i3	0.0228	0.0373	1.6331	Chr02	Sexchr	Chr02
RBH_pair_4680.fa.best.phy	TRINITY_DN125176_c0_g1_i1	0.0445	0.0727	1.6331	Chr02	Sexchr	Chr02
RBH_pair_4408.fa.best.phy	TRINITY_DN124651_c2_g3_i2	0.1052	0.1717	1.6331	Chr02	Sexchr	Chr02
RBH_pair_5481.fa.best.phy	TRINITY_DN126765_c0_g1_i1	0.1163	0.1899	1.6331	Chr02	Sexchr	Chr02
RBH_pair_7935.fa.best.phy	TRINITY_DN131259_c7_g1_i1	0.0601	0.0982	1.6336	Chr02	Sexchr	Chr02
RBH_pair_4520.fa.best.phy	TRINITY_DN124895_c1_g2_i1	0.0284	0.0464	1.6339	Chr02	Sexchr	Chr02
RBH_pair_3926.fa.best.phy	TRINITY_DN123664_c0_g1_i1	0.0446	0.0729	1.6342	Chr02	Sexchr	Chr02
RBH_pair_9143.fa.best.phy	TRINITY_DN133416_c3_g1_i1	0.1272	0.208	1.6348	Chr02	Sexchr	Chr02
RBH_pair_3515.fa.best.phy	TRINITY_DN122767_c2_g2_i1	0.1427	0.2333	1.6351	Chr02	Sexchr	Chr02
RBH_pair_9582.fa.best.phy	TRINITY_DN134219_c0_g1_i3	0.0583	0.0956	1.638	Chr02	Sexchr	Chr02
RBH_pair_4838.fa.best.phy	TRINITY_DN125485_c0_g1_i1	0.2313	0.3789	1.638	Chr02	Sexchr	Chr02
RBH_pair_6893.fa.best.phy	TRINITY_DN129430_c0_g1_i1	0.0575	0.0942	1.6388	Chr02	Sexchr	Chr02
RBH_pair_8307.fa.best.phy	TRINITY_DN131927_c6_g3_i1	0.0527	0.0864	1.6394	Chr02	Sexchr	Chr02
RBH_pair_4358.fa.best.phy	TRINITY_DN124538_c1_g1_i1	0.0879	0.1442	1.641	Chr02	Sexchr	Chr02
RBH_pair_760.fa.best.phy	TRINITY_DN112755_c0_g2_i1	0.035	0.0574	1.6416	Chr02	Sexchr	Chr02
RBH_pair_7063.fa.best.phy	TRINITY_DN129727_c0_g1_i1	0.1303	0.2139	1.6418	Chr02	Sexchr	Chr02
RBH_pair_6134.fa.best.phy	TRINITY_DN127994_c1_g1_i1	0.0532	0.0873	1.6419	Chr02	Sexchr	Chr02
RBH_pair_7878.fa.best.phy	TRINITY_DN131150_c0_g3_i3	0.2554	0.4198	1.6438	Chr02	Sexchr	Chr02
RBH_pair_10469.fa.best.phy	TRINITY_DN136232_c1_g2_i1	0.194	0.3194	1.646	Chr02	Sexchr	Chr02
RBH_pair_3649.fa.best.phy	TRINITY_DN123067_c1_g1_i1	0.1718	0.2831	1.6476	Chr02	Sexchr	Chr02
RBH_pair_109.fa.best.phy	TRINITY_DN103776_c0_g1_i1	0.2604	0.4291	1.6479	Chr02	Sexchr	Chr02
RBH_pair_6706.fa.best.phy	TRINITY_DN129074_c0_g1_i1	0.1419	0.234	1.6483	Chr02	Sexchr	Chr02
RBH_pair_4217.fa.best.phy	TRINITY_DN124286_c0_g1_i1	0.0957	0.1577	1.6487	Chr02	Sexchr	Chr02
RBH_pair_11325.fa.best.phy	TRINITY_DN97677_c0_g1_i1	0.0357	0.0588	1.649	Chr02	Sexchr	Chr02
RBH_pair_3123.fa.best.phy	TRINITY_DN121824_c0_g1_i3	0.1185	0.1955	1.6494	Chr02	Sexchr	Chr02
RBH_pair_8691.fa.best.phy	TRINITY_DN132595_c0_g1_i1	0.2213	0.3654	1.6514	Chr02	Sexchr	Chr02
RBH_pair_10443.fa.best.phy	TRINITY_DN136152_c0_g2_i2	0.0649	0.1073	1.6543	Chr02	Sexchr	Chr02
RBH_pair_1969.fa.best.phy	TRINITY_DN118559_c0_g2_i1	0.0602	0.0996	1.6552	Chr02	Sexchr	Chr02
RBH_pair_3944.fa.best.phy	TRINITY_DN123714_c0_g1_i4	0.0786	0.1302	1.6553	Chr02	Sexchr	Chr02
RBH_pair_7501.fa.best.phy	TRINITY_DN130486_c0_g2_i4	0.0136	0.0225	1.6561	Chr02	Sexchr	Chr02
RBH_pair_5841.fa.best.phy	TRINITY_DN127457_c0_g2_i2	0.0775	0.1284	1.6572	Chr02	Sexchr	Chr02
RBH_pair_4413.fa.best.phy	TRINITY_DN124660_c0_g1_i1	0.0535	0.0886	1.6574	Chr02	Sexchr	Chr02
RBH_pair_10495.fa.best.phy	TRINITY_DN136381_c0_g3_i4	0.1259	0.2086	1.6574	Chr02	Sexchr	Chr02
RBH_pair_6246.fa.best.phy	TRINITY_DN128194_c3_g11_i1	0.091	0.151	1.6586	Chr02	Sexchr	Chr02
RBH_pair_5042.fa.best.phy	TRINITY_DN125929_c0_g1_i1	0.0888	0.1474	1.6596	Chr02	Sexchr	Chr02
RBH_pair_9311.fa.best.phy	TRINITY_DN133708_c1_g2_i1	0.0524	0.0871	1.6618	Chr02	Sexchr	Chr02
RBH_pair_1400.fa.best.phy	TRINITY_DN116401_c0_g1_i1	0.0425	0.0708	1.6646	Chr02	Sexchr	Chr02
RBH_pair_3656.fa.best.phy	TRINITY_DN123090_c3_g1_i4	0.1679	0.2796	1.6654	Chr02	Sexchr	Chr02
RBH_pair_372.fa.best.phy	TRINITY_DN108930_c0_g1_i3	0.2597	0.433	1.6673	Chr02	Sexchr	Chr02
RBH_pair_6251.fa.best.phy	TRINITY_DN128203_c0_g1_i1	0.0022	0.0037	1.6692	Chr02	Sexchr	Chr02
RBH_pair_2563.fa.best.phy	TRINITY_DN120431_c0_g2_i2	0.0318	0.0532	1.6702	Chr02	Sexchr	Chr02
RBH_pair_5252.fa.best.phy	TRINITY_DN126335_c1_g3_i3	0.1354	0.2265	1.6721	Chr02	Sexchr	Chr02
RBH_pair_4030.fa.best.phy	TRINITY_DN123891_c0_g1_i1	0.0458	0.0766	1.6723	Chr02	Sexchr	Chr02
RBH_pair_6684.fa.best.phy	TRINITY_DN129034_c7_g7_i3	0.2782	0.4653	1.6724	Chr02	Sexchr	Chr02
RBH_pair_6360.fa.best.phy	TRINITY_DN128405_c2_g2_i1	0.1094	0.183	1.673	Chr02	Sexchr	Chr02
RBH_pair_6916.fa.best.phy	TRINITY_DN129474_c1_g1_i2	0.0693	0.1159	1.6738	Chr02	Sexchr	Chr02
RBH_pair_2789.fa.best.phy	TRINITY_DN121008_c0_g1_i1	0.0699	0.1169	1.6738	Chr02	Sexchr	Chr02
RBH_pair_8007.fa.best.phy	TRINITY_DN131380_c5_g1_i2	0.1994	0.3338	1.6739	Chr02	Sexchr	Chr02
RBH_pair_9438.fa.best.phy	TRINITY_DN133955_c2_g1_i1	0.049	0.0821	1.6753	Chr02	Sexchr	Chr02
RBH_pair_6294.fa.best.phy	TRINITY_DN128278_c6_g9_i1	0.1328	0.2226	1.6767	Chr02	Sexchr	Chr02
RBH_pair_3674.fa.best.phy	TRINITY_DN123138_c0_g1_i2	0.0302	0.0507	1.6781	Chr02	Sexchr	Chr02
RBH_pair_9802.fa.best.phy	TRINITY_DN134636_c1_g1_i2	0.0568	0.0954	1.6801	Chr02	Sexchr	Chr02
RBH_pair_3735.fa.best.phy	TRINITY_DN123295_c1_g1_i2	0.0715	0.1203	1.6819	Chr02	Sexchr	Chr02
RBH_pair_2276.fa.best.phy	TRINITY_DN119565_c0_g1_i1	0.1046	0.176	1.6821	Chr02	Sexchr	Chr02
RBH_pair_2125.fa.best.phy	TRINITY_DN119069_c0_g1_i2	0.0675	0.1135	1.6829	Chr02	Sexchr	Chr02
RBH_pair_6928.fa.best.phy	TRINITY_DN129503_c1_g1_i2	0.1101	0.1858	1.687	Chr02	Sexchr	Chr02
RBH_pair_7953.fa.best.phy	TRINITY_DN131284_c7_g2_i1	0.065	0.1096	1.6871	Chr02	Sexchr	Chr02
RBH_pair_634.fa.best.phy	TRINITY_DN111670_c0_g1_i1	0.1353	0.2288	1.6909	Chr02	Sexchr	Chr02
RBH_pair_1695.fa.best.phy	TRINITY_DN117619_c0_g1_i1	0.093	0.1574	1.6927	Chr02	Sexchr	Chr02
RBH_pair_349.fa.best.phy	TRINITY_DN108539_c0_g1_i2	0.0422	0.0714	1.6932	Chr02	Sexchr	Chr02
RBH_pair_3572.fa.best.phy	TRINITY_DN122919_c1_g3_i3	0.2328	0.3941	1.6933	Chr02	Sexchr	Chr02
RBH_pair_8031.fa.best.phy	TRINITY_DN131421_c0_g1_i4	0.0618	0.1046	1.694	Chr02	Sexchr	Chr02
RBH_pair_6102.fa.best.phy	TRINITY_DN127937_c0_g1_i4	0.2681	0.4545	1.6953	Chr02	Sexchr	Chr02
RBH_pair_5043.fa.best.phy	TRINITY_DN125935_c1_g1_i2	0.0338	0.0573	1.6954	Chr02	Sexchr	Chr02
RBH_pair_10660.fa.best.phy	TRINITY_DN168379_c0_g1_i1	0.1207	0.2047	1.6956	Chr02	Sexchr	Chr02
RBH_pair_2107.fa.best.phy	TRINITY_DN119027_c0_g1_i5	0.0742	0.1257	1.6957	Chr02	Sexchr	Chr02
RBH_pair_780.fa.best.phy	TRINITY_DN112907_c0_g2_i1	0.0792	0.1344	1.696	Chr02	Sexchr	Chr02
RBH_pair_2899.fa.best.phy	TRINITY_DN121282_c0_g1_i1	0.0958	0.1626	1.6979	Chr02	Sexchr	Chr02
RBH_pair_4289.fa.best.phy	TRINITY_DN124416_c2_g1_i1	0.0201	0.0341	1.6994	Chr02	Sexchr	Chr02
RBH_pair_8635.fa.best.phy	TRINITY_DN132485_c2_g2_i9	0.0889	0.1511	1.6998	Chr02	Sexchr	Chr02
RBH_pair_1779.fa.best.phy	TRINITY_DN117883_c0_g1_i1	0.0482	0.082	1.7006	Chr02	Sexchr	Chr02
RBH_pair_4360.fa.best.phy	TRINITY_DN124538_c2_g6_i1	0.0896	0.1524	1.7012	Chr02	Sexchr	Chr02
RBH_pair_10546.fa.best.phy	TRINITY_DN136686_c3_g1_i2	0.0925	0.1573	1.7012	Chr02	Sexchr	Chr02
RBH_pair_8561.fa.best.phy	TRINITY_DN132355_c6_g2_i1	0.1039	0.1767	1.7014	Chr02	Sexchr	Chr02
RBH_pair_600.fa.best.phy	TRINITY_DN111362_c0_g1_i1	0.1293	0.2201	1.7016	Chr02	Sexchr	Chr02
RBH_pair_8763.fa.best.phy	TRINITY_DN132708_c6_g3_i1	0.0937	0.1594	1.7017	Chr02	Sexchr	Chr02
RBH_pair_8340.fa.best.phy	TRINITY_DN131995_c1_g1_i1	0.0856	0.1457	1.7028	Chr02	Sexchr	Chr02
RBH_pair_1877.fa.best.phy	TRINITY_DN118271_c0_g1_i1	0.0846	0.1441	1.7034	Chr02	Sexchr	Chr02
RBH_pair_7005.fa.best.phy	TRINITY_DN129640_c0_g1_i1	0.2208	0.3761	1.7034	Chr02	Sexchr	Chr02
RBH_pair_3223.fa.best.phy	TRINITY_DN122083_c0_g2_i2	0.088	0.15	1.7046	Chr02	Sexchr	Chr02
RBH_pair_7926.fa.best.phy	TRINITY_DN131236_c0_g1_i1	0.0797	0.1358	1.7047	Chr02	Sexchr	Chr02
RBH_pair_6814.fa.best.phy	TRINITY_DN129273_c5_g3_i1	0.051	0.087	1.7053	Chr02	Sexchr	Chr02
RBH_pair_1033.fa.best.phy	TRINITY_DN114649_c0_g1_i2	0.0012	0.0021	1.7061	Chr02	Sexchr	Chr02
RBH_pair_6712.fa.best.phy	TRINITY_DN129085_c1_g2_i1	0.1555	0.2657	1.7081	Chr02	Sexchr	Chr02
RBH_pair_5123.fa.best.phy	TRINITY_DN126098_c0_g2_i6	0.1442	0.2464	1.7091	Chr02	Sexchr	Chr02
RBH_pair_66.fa.best.phy	TRINITY_DN102469_c0_g1_i1	0.1875	0.3205	1.7093	Chr02	Sexchr	Chr02
RBH_pair_2673.fa.best.phy	TRINITY_DN120710_c1_g1_i1	0.0969	0.1658	1.7103	Chr02	Sexchr	Chr02
RBH_pair_3133.fa.best.phy	TRINITY_DN121856_c0_g1_i1	0.0153	0.0262	1.7108	Chr02	Sexchr	Chr02
RBH_pair_1880.fa.best.phy	TRINITY_DN118281_c0_g1_i1	0.1003	0.1719	1.7135	Chr02	Sexchr	Chr02
RBH_pair_10411.fa.best.phy	TRINITY_DN136067_c0_g1_i1	0.1373	0.2353	1.7137	Chr02	Sexchr	Chr02
RBH_pair_1575.fa.best.phy	TRINITY_DN117151_c0_g2_i3	0.0367	0.0629	1.714	Chr02	Sexchr	Chr02
RBH_pair_2970.fa.best.phy	TRINITY_DN121465_c4_g2_i1	0.1415	0.2426	1.7147	Chr02	Sexchr	Chr02
RBH_pair_3841.fa.best.phy	TRINITY_DN123521_c1_g1_i2	0.1448	0.2484	1.7154	Chr02	Sexchr	Chr02
RBH_pair_6925.fa.best.phy	TRINITY_DN129499_c0_g1_i2	0.0766	0.1314	1.7167	Chr02	Sexchr	Chr02
RBH_pair_6842.fa.best.phy	TRINITY_DN129327_c0_g1_i2	0.1754	0.3011	1.7168	Chr02	Sexchr	Chr02
RBH_pair_7559.fa.best.phy	TRINITY_DN130581_c0_g1_i2	0.1353	0.2326	1.7186	Chr02	Sexchr	Chr02
RBH_pair_5269.fa.best.phy	TRINITY_DN126361_c3_g1_i1	0.0565	0.0971	1.7192	Chr02	Sexchr	Chr02
RBH_pair_5983.fa.best.phy	TRINITY_DN127721_c0_g1_i2	0.1101	0.1895	1.7206	Chr02	Sexchr	Chr02
RBH_pair_4665.fa.best.phy	TRINITY_DN125139_c1_g2_i1	0.0233	0.0401	1.7208	Chr02	Sexchr	Chr02
RBH_pair_1853.fa.best.phy	TRINITY_DN118194_c0_g1_i3	0.0788	0.1357	1.7225	Chr02	Sexchr	Chr02
RBH_pair_2165.fa.best.phy	TRINITY_DN119209_c1_g2_i1	0.0949	0.1636	1.7242	Chr02	Sexchr	Chr02
RBH_pair_4962.fa.best.phy	TRINITY_DN125723_c1_g4_i2	0.0318	0.0548	1.7243	Chr02	Sexchr	Chr02
RBH_pair_4574.fa.best.phy	TRINITY_DN124993_c2_g1_i4	0.1243	0.2145	1.7251	Chr02	Sexchr	Chr02
RBH_pair_1879.fa.best.phy	TRINITY_DN118280_c0_g1_i2	0.0714	0.1232	1.7263	Chr02	Sexchr	Chr02
RBH_pair_7672.fa.best.phy	TRINITY_DN130784_c3_g1_i5	0.0597	0.1032	1.7293	Chr02	Sexchr	Chr02
RBH_pair_4544.fa.best.phy	TRINITY_DN124940_c8_g1_i2	0.1329	0.2301	1.7306	Chr02	Sexchr	Chr02
RBH_pair_5213.fa.best.phy	TRINITY_DN126273_c0_g2_i4	0.079	0.1368	1.7323	Chr02	Sexchr	Chr02
RBH_pair_2946.fa.best.phy	TRINITY_DN121407_c0_g1_i1	0.1344	0.233	1.7334	Chr02	Sexchr	Chr02
RBH_pair_3303.fa.best.phy	TRINITY_DN122261_c0_g1_i1	0.0976	0.1693	1.7336	Chr02	Sexchr	Chr02
RBH_pair_3503.fa.best.phy	TRINITY_DN122740_c3_g1_i2	0.1105	0.1917	1.734	Chr02	Sexchr	Chr02
RBH_pair_11208.fa.best.phy	TRINITY_DN93605_c0_g1_i1	0.21	0.3647	1.737	Chr02	Sexchr	Chr02
RBH_pair_7432.fa.best.phy	TRINITY_DN130367_c5_g5_i2	0.0208	0.0362	1.7379	Chr02	Sexchr	Chr02
RBH_pair_1350.fa.best.phy	TRINITY_DN116179_c0_g1_i1	0.1107	0.1926	1.7396	Chr02	Sexchr	Chr02
RBH_pair_2079.fa.best.phy	TRINITY_DN118947_c0_g1_i5	0.0692	0.1204	1.7398	Chr02	Sexchr	Chr02
RBH_pair_2402.fa.best.phy	TRINITY_DN119938_c1_g2_i1	0.0883	0.1538	1.741	Chr02	Sexchr	Chr02
RBH_pair_3665.fa.best.phy	TRINITY_DN123119_c7_g4_i2	0.0726	0.1267	1.7448	Chr02	Sexchr	Chr02
RBH_pair_6803.fa.best.phy	TRINITY_DN129262_c0_g1_i1	0.0512	0.0894	1.7464	Chr02	Sexchr	Chr02
RBH_pair_4961.fa.best.phy	TRINITY_DN125723_c1_g1_i5	0.0399	0.0698	1.7481	Chr02	Sexchr	Chr02
RBH_pair_4775.fa.best.phy	TRINITY_DN125361_c0_g2_i1	0.0917	0.1602	1.7484	Chr02	Sexchr	Chr02
RBH_pair_8351.fa.best.phy	TRINITY_DN132014_c1_g4_i2	0.1462	0.2558	1.75	Chr02	Sexchr	Chr02
RBH_pair_5655.fa.best.phy	TRINITY_DN127077_c3_g1_i2	0.0875	0.1531	1.7504	Chr02	Sexchr	Chr02
RBH_pair_1555.fa.best.phy	TRINITY_DN117073_c0_g1_i1	0.0675	0.1184	1.7537	Chr02	Sexchr	Chr02
RBH_pair_1368.fa.best.phy	TRINITY_DN116290_c0_g1_i1	0.0392	0.0687	1.755	Chr02	Sexchr	Chr02
RBH_pair_7620.fa.best.phy	TRINITY_DN130683_c3_g1_i1	0.0855	0.1501	1.7554	Chr02	Sexchr	Chr02
RBH_pair_6396.fa.best.phy	TRINITY_DN128466_c0_g1_i1	0.1246	0.2192	1.7596	Chr02	Sexchr	Chr02
RBH_pair_1542.fa.best.phy	TRINITY_DN117018_c0_g1_i1	0.0431	0.0758	1.7598	Chr02	Sexchr	Chr02
RBH_pair_10007.fa.best.phy	TRINITY_DN135068_c0_g3_i4	0.1701	0.2997	1.7625	Chr02	Sexchr	Chr02
RBH_pair_832.fa.best.phy	TRINITY_DN113355_c0_g1_i2	0.0768	0.1356	1.7658	Chr02	Sexchr	Chr02
RBH_pair_8150.fa.best.phy	TRINITY_DN131641_c0_g3_i2	0.0184	0.0325	1.7666	Chr02	Sexchr	Chr02
RBH_pair_3556.fa.best.phy	TRINITY_DN122882_c0_g1_i2	0.1385	0.2447	1.767	Chr02	Sexchr	Chr02
RBH_pair_1060.fa.best.phy	TRINITY_DN114776_c0_g1_i3	0.1473	0.2605	1.7677	Chr02	Sexchr	Chr02
RBH_pair_1861.fa.best.phy	TRINITY_DN118222_c1_g1_i2	0.0709	0.1254	1.768	Chr02	Sexchr	Chr02
RBH_pair_83.fa.best.phy	TRINITY_DN103209_c0_g3_i2	0.1141	0.2017	1.7681	Chr02	Sexchr	Chr02
RBH_pair_858.fa.best.phy	TRINITY_DN113561_c0_g1_i1	0.1627	0.2879	1.7688	Chr02	Sexchr	Chr02
RBH_pair_303.fa.best.phy	TRINITY_DN107787_c0_g1_i1	0.0922	0.1632	1.7702	Chr02	Sexchr	Chr02
RBH_pair_1908.fa.best.phy	TRINITY_DN118360_c0_g1_i2	0.166	0.2942	1.7725	Chr02	Sexchr	Chr02
RBH_pair_8807.fa.best.phy	TRINITY_DN132782_c0_g1_i7	0.1599	0.2834	1.7727	Chr02	Sexchr	Chr02
RBH_pair_4066.fa.best.phy	TRINITY_DN123968_c0_g1_i1	0.0666	0.1181	1.7734	Chr02	Sexchr	Chr02
RBH_pair_8147.fa.best.phy	TRINITY_DN131632_c1_g1_i1	0.055	0.0979	1.7786	Chr02	Sexchr	Chr02
RBH_pair_2257.fa.best.phy	TRINITY_DN119519_c0_g1_i2	0.0387	0.0688	1.779	Chr02	Sexchr	Chr02
RBH_pair_8884.fa.best.phy	TRINITY_DN132942_c0_g1_i5	0.1217	0.2165	1.7795	Chr02	Sexchr	Chr02
RBH_pair_1738.fa.best.phy	TRINITY_DN117743_c3_g1_i2	0.039	0.0694	1.7797	Chr02	Sexchr	Chr02
RBH_pair_8252.fa.best.phy	TRINITY_DN131837_c0_g1_i2	0.1502	0.2674	1.78	Chr02	Sexchr	Chr02
RBH_pair_7911.fa.best.phy	TRINITY_DN131211_c3_g2_i1	0.0425	0.0757	1.7803	Chr02	Sexchr	Chr02
RBH_pair_11186.fa.best.phy	TRINITY_DN92573_c0_g1_i1	0.0689	0.1227	1.7804	Chr02	Sexchr	Chr02
RBH_pair_9738.fa.best.phy	TRINITY_DN134521_c1_g11_i1	0.2121	0.3776	1.7804	Chr02	Sexchr	Chr02
RBH_pair_1395.fa.best.phy	TRINITY_DN116391_c0_g1_i1	0.0535	0.0953	1.7805	Chr02	Sexchr	Chr02
RBH_pair_4890.fa.best.phy	TRINITY_DN125596_c2_g5_i4	0.128	0.228	1.782	Chr02	Sexchr	Chr02
RBH_pair_4998.fa.best.phy	TRINITY_DN125827_c1_g1_i1	0.0655	0.1168	1.7822	Chr02	Sexchr	Chr02
RBH_pair_3140.fa.best.phy	TRINITY_DN121879_c1_g1_i5	0.057	0.1016	1.7828	Chr02	Sexchr	Chr02
RBH_pair_1622.fa.best.phy	TRINITY_DN117339_c0_g2_i1	0.12	0.214	1.7833	Chr02	Sexchr	Chr02
RBH_pair_2296.fa.best.phy	TRINITY_DN119613_c0_g2_i1	0.0509	0.0908	1.7846	Chr02	Sexchr	Chr02
RBH_pair_5403.fa.best.phy	TRINITY_DN126615_c1_g1_i1	0.0762	0.1362	1.7871	Chr02	Sexchr	Chr02
RBH_pair_10221.fa.best.phy	TRINITY_DN135566_c1_g1_i3	0.0767	0.1373	1.7906	Chr02	Sexchr	Chr02
RBH_pair_1251.fa.best.phy	TRINITY_DN115612_c0_g2_i2	0.0317	0.0567	1.7925	Chr02	Sexchr	Chr02
RBH_pair_11179.fa.best.phy	TRINITY_DN92438_c0_g1_i1	0.1061	0.1902	1.7927	Chr02	Sexchr	Chr02
RBH_pair_2152.fa.best.phy	TRINITY_DN119159_c0_g3_i2	0.0282	0.0506	1.7928	Chr02	Sexchr	Chr02
RBH_pair_3025.fa.best.phy	TRINITY_DN121611_c0_g1_i3	0.0366	0.0656	1.7937	Chr02	Sexchr	Chr02
RBH_pair_7232.fa.best.phy	TRINITY_DN130021_c0_g3_i2	0.0812	0.1457	1.7942	Chr02	Sexchr	Chr02
RBH_pair_10892.fa.best.phy	TRINITY_DN55634_c0_g2_i1	0.1004	0.1801	1.7946	Chr02	Sexchr	Chr02
RBH_pair_620.fa.best.phy	TRINITY_DN111569_c0_g1_i1	0.1975	0.3546	1.7958	Chr02	Sexchr	Chr02
RBH_pair_10447.fa.best.phy	TRINITY_DN136167_c0_g1_i1	0.136	0.2442	1.7964	Chr02	Sexchr	Chr02
RBH_pair_7831.fa.best.phy	TRINITY_DN131067_c2_g1_i4	0.0548	0.0984	1.7969	Chr02	Sexchr	Chr02
RBH_pair_8536.fa.best.phy	TRINITY_DN132324_c0_g1_i2	0.0371	0.0667	1.7977	Chr02	Sexchr	Chr02
