gid	gname	chr	start	end	logFC.XY43.XX43	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN122698_c3_g2_i1	NA	NA	NA	NA	0.23270476	unbias	0.217079177	Brain_fmean	0.0575	0.0723	1.2568
TRINITY_DN122701_c2_g2_i4	casz1	Chr07	39083845	39083845	-0.007858044	unbias	0.397719341	G43_M_mean	0.0878	0.161	1.8335
TRINITY_DN122708_c1_g6_i3	LOC100125055	Chr09	8579921	8579921	0.067290838	unbias	0.58354388	Ovary_mean	0.2613	0.4739	1.8135
TRINITY_DN122709_c0_g1_i1	NA	NA	NA	NA	1.129433975	unbias	0.44968927	Testis_mean	0.0226	0.0311	1.3761
TRINITY_DN122712_c0_g1_i1	NA	NA	NA	NA	0.077591575	unbias	0.284071461	G43_M_mean	0.0822	0.1245	1.5159
TRINITY_DN122714_c15_g1_i1	NA	NA	NA	NA	-0.238517003	unbias	0.387592446	Ovary_mean	0.0355	0.0521	1.4684
TRINITY_DN122715_c2_g1_i2	NA	NA	NA	NA	-0.126715759	unbias	0.482013549	Ovary_mean	0.0619	0.0856	1.3838
TRINITY_DN122721_c0_g1_i1	NA	NA	NA	NA	-0.341510411	unbias	0.322885261	Ovary_mean	0.0964	0.1522	1.5793
TRINITY_DN122725_c0_g1_i3	mier1-like	Chr04	79838756	79838756	-0.327724423	unbias	0.395929915	G23_fmean	0.0654	0.0516	0.7886
TRINITY_DN122727_c0_g1_i1	NA	NA	NA	NA	-0.47795962	unbias	0.760777736	Ovary_mean	0.1285	0.2412	1.8777
TRINITY_DN122730_c1_g2_i5	slc26a1	Chr01	90427648	90427648	-0.072330395	unbias	0.249784812	Brain_mmean	0.0247	0.0317	1.2831
TRINITY_DN122731_c0_g2_i1	NA	NA	NA	NA	0.056293604	unbias	0.465789189	Ovary_mean	0.0692	0.1185	1.7119
TRINITY_DN122736_c0_g2_i2	NA	NA	NA	NA	0.272639212	unbias	0.723071918	Brain_fmean	0.0646	0.0701	1.0862
TRINITY_DN122739_c0_g2_i7	NA	NA	NA	NA	0.305105237	unbias	0.490221851	Brain_fmean	0.0168	0.027	1.6107
TRINITY_DN122740_c3_g1_i2	NA	NA	NA	NA	0.718012131	unbias	0.297862885	Brain_mmean	0.1105	0.1917	1.734
TRINITY_DN122741_c0_g2_i3	NA	NA	NA	NA	1.170032294	unbias	0.46939998	Ovary_mean	0.0133	0.0239	1.7977
TRINITY_DN122745_c0_g1_i1	LOC101734912	Chr06	65836553	65836553	0.261730496	unbias	0.346322152	Brain_fmean	0.0909	0.1327	1.4594
TRINITY_DN122749_c0_g1_i3	NA	NA	NA	NA	-0.399896063	unbias	0.406667823	Ovary_mean	0.0633	0.0999	1.5775
TRINITY_DN122752_c0_g1_i2	NA	NA	NA	NA	-0.525821169	unbias	0.598590513	Ovary_mean	0.0242	0.0319	1.3193
TRINITY_DN122753_c0_g1_i3	mmp13	Chr02	158768110	158768110	0.124300176	unbias	0.691693743	Brain_mmean	0.1259	0.2304	1.8303
TRINITY_DN122757_c0_g1_i4	NA	NA	NA	NA	-0.077872297	unbias	0.236131897	Testis_mean	0.0292	0.0529	1.8115
TRINITY_DN122758_c4_g4_i1	ccne1	Chr04	23270880	23270880	-0.227755643	unbias	0.077053022	Testis_mean	0.1179	0.1752	1.4858
TRINITY_DN122759_c0_g1_i2	NA	NA	NA	NA	-0.336195236	unbias	0.485856028	Brain_fmean	0.266	0.4003	1.5045
TRINITY_DN122760_c0_g2_i1	NA	NA	NA	NA	-0.240409644	unbias	0.381121849	G23_mmean	0.0165	0.0163	0.9874
TRINITY_DN122767_c2_g2_i1	LOC100498169	Chr05	5380152	5380152	0.250999085	unbias	0.587816158	Brain_fmean	0.1427	0.2333	1.6351
TRINITY_DN122768_c0_g1_i2	NA	NA	NA	NA	-0.281509602	unbias	0.531669547	Brain_mmean	0.0078	0.0077	0.9926
TRINITY_DN122777_c0_g2_i2	prpsap1	Chr10	36602865	36602865	0.483611926	unbias	0.290628328	G23_fmean	0.1018	0.1794	1.7611
TRINITY_DN122777_c0_g3_i1	fam26d-like	Chr05	69343102	69343102	-0.270367225	unbias	0.742913047	Brain_mmean	0.1731	0.2025	1.1698
TRINITY_DN122781_c7_g1_i1	NA	NA	NA	NA	0.226549502	unbias	0.527107728	G43_M_mean	0.1973	0.1866	0.9458
TRINITY_DN122785_c0_g2_i2	NA	NA	NA	NA	-0.259238289	unbias	0.263984537	Ovary_mean	0.1049	0.0686	0.6539
TRINITY_DN122800_c1_g1_i1	NA	NA	NA	NA	-0.259565647	unbias	0.117401921	G27_fmean	0.0296	0.0527	1.7804
TRINITY_DN122805_c0_g1_i2	NA	NA	NA	NA	0.111494975	unbias	0.294614924	Ovary_mean	0.0496	0.064	1.29
TRINITY_DN122807_c0_g1_i1	NA	NA	NA	NA	0.924018318	unbias	0.416250421	G27_mmean	0.0765	0.1123	1.4678
TRINITY_DN122809_c0_g1_i2	NA	NA	NA	NA	-0.098962331	unbias	0.703376075	Brain_fmean	0.0188	0.0225	1.1947
TRINITY_DN122809_c1_g1_i1	NA	NA	NA	NA	0.527066753	unbias	0.435436439	Brain_mmean	0.0414	0.0517	1.2492
TRINITY_DN122829_c0_g4_i1	NA	NA	NA	NA	0.171334974	unbias	0.387604063	Testis_mean	0.0184	0.0199	1.0842
TRINITY_DN122831_c0_g1_i3	NA	NA	NA	NA	-0.422606135	unbias	0.633060017	G43_F_mean	0.1071	0.1879	1.7536
TRINITY_DN122839_c0_g1_i1	NA	NA	NA	NA	1.005040038	unbias	0.54568765	Brain_mmean	0.1066	0.132	1.2388
TRINITY_DN122842_c2_g2_i1	NA	NA	NA	NA	0.623654698	unbias	0.482926793	Ovary_mean	0.2782	0.3384	1.2166
TRINITY_DN122848_c1_g1_i1	ttbk2	Chr08	85547927	85547927	0.080768733	unbias	0.728580751	Brain_fmean	0.0677	0.1007	1.4866
TRINITY_DN122850_c0_g1_i1	nlrc3	Chr09	14838458	14838458	-0.160540178	unbias	0.190915619	Ovary_mean	0.0297	0.0305	1.028
TRINITY_DN122851_c0_g2_i1	sptb	Chr08	87480260	87480260	0.472533088	unbias	0.539504854	Ovary_mean	0.003	0.003	1.0022
TRINITY_DN122857_c0_g1_i1	NA	NA	NA	NA	-0.107552053	unbias	0.696055852	Brain_mmean	0.0688	0.0644	0.936
TRINITY_DN122865_c0_g1_i1	NA	NA	NA	NA	-0.292231132	unbias	0.426786564	Ovary_mean	0.0132	0.0154	1.169
TRINITY_DN122866_c0_g1_i1	NA	NA	NA	NA	0.414529765	unbias	0.706389923	Brain_mmean	0.0326	0.0359	1.0994
TRINITY_DN122868_c1_g1_i4	frmd4b-like	Chr04	131223615	131223615	-0.380699372	unbias	0.121746858	G27_mmean	0.0358	0.0655	1.8315
TRINITY_DN122871_c1_g3_i3	ca14	Chr08	111966709	111966709	0.044420277	unbias	0.291595144	Ovary_mean	0.0605	0.0742	1.2265
TRINITY_DN122876_c3_g1_i10	NA	NA	NA	NA	0.496804938	unbias	0.167989045	Liver_mmean	0.0284	0.0381	1.342
TRINITY_DN122882_c0_g1_i2	NA	NA	NA	NA	-0.472639744	unbias	0.374428654	G23_mmean	0.1385	0.2447	1.767
TRINITY_DN122883_c0_g1_i1	NA	NA	NA	NA	-0.669544231	unbias	0.456784483	Liver_mmean	0.104	0.1427	1.3713
TRINITY_DN122887_c4_g1_i2	NA	NA	NA	NA	0.767902868	unbias	0.396077883	Brain_mmean	0.0159	0.0313	1.9701
TRINITY_DN122889_c8_g1_i4	NA	NA	NA	NA	-0.268247104	unbias	0.224791975	Testis_mean	0.001	0.0006	0.5505
TRINITY_DN122891_c0_g2_i5	NA	NA	NA	NA	0.136819023	unbias	0.189094299	G23_fmean	0.0383	0.037	0.9652
TRINITY_DN122892_c0_g1_i1	NA	NA	NA	NA	0.405844004	unbias	0.627635482	Ovary_mean	0.1426	0.1904	1.3351
TRINITY_DN122895_c0_g1_i2	NA	NA	NA	NA	-0.270344431	unbias	0.583584547	Ovary_mean	0.0942	0.122	1.2958
TRINITY_DN122898_c0_g1_i1	NA	NA	NA	NA	0.006459657	unbias	0.239299307	Brain_fmean	0.1112	0.1607	1.4448
TRINITY_DN122914_c0_g1_i2	LOC100497845-like	Chr04	91113105	91113105	0.40744842	unbias	0.568684626	Ovary_mean	0.0721	0.0949	1.3164
TRINITY_DN122919_c1_g3_i3	NA	NA	NA	NA	-1.929490808	unbias	0.782841429	Testis_mean	0.2328	0.3941	1.6933
TRINITY_DN122923_c0_g1_i8	LOC100216114	Chr02	82341014	82341014	-7.06E-05	unbias	0.718779945	Brain_mmean	0.0353	0.0523	1.4821
TRINITY_DN122928_c0_g1_i3	NA	NA	NA	NA	-0.241902804	unbias	0.268054444	Ovary_mean	0.0079	0.0084	1.0589
TRINITY_DN122933_c2_g4_i2	NA	NA	NA	NA	-0.098406386	unbias	0.270732555	Ovary_mean	0.0157	0.0193	1.2293
TRINITY_DN122933_c3_g1_i6	ppig	Chr09	63350551	63350551	-0.013632052	unbias	0.576246502	Ovary_mean	0.0372	0.0567	1.5235
TRINITY_DN122933_c4_g2_i2	NA	NA	NA	NA	-0.057476866	unbias	0.6283579	Ovary_mean	0.0515	0.0758	1.4708
TRINITY_DN122938_c2_g2_i1	NA	NA	NA	NA	-0.105434891	unbias	0.247323362	Liver_fmean	0.1115	0.1848	1.6579
TRINITY_DN122939_c1_g1_i1	NA	NA	NA	NA	-0.1542642	unbias	0.553838131	G27_mmean	0.0262	0.0405	1.5488
TRINITY_DN122939_c2_g3_i10	NA	NA	NA	NA	0.013263159	unbias	0.229392306	Ovary_mean	0.0314	0.0353	1.1247
TRINITY_DN122940_c0_g4_i1	NA	NA	NA	NA	-0.072658197	unbias	0.733902765	Ovary_mean	0.053	0.0825	1.5565
TRINITY_DN122949_c0_g1_i1	NA	NA	NA	NA	-0.004260452	unbias	0.456792414	G46_F_mean	0.0345	0.0577	1.6727
TRINITY_DN122952_c0_g1_i1	NA	NA	NA	NA	0.282807412	unbias	0.659550245	G43_M_mean	0.1876	0.2532	1.3497
TRINITY_DN122954_c0_g2_i1	NA	NA	NA	NA	0.494986392	unbias	0.561408456	Ovary_mean	0.0558	0.0685	1.228
TRINITY_DN122956_c0_g1_i1	Xetrov90030572m	scaffold_81	578357	578357	0.153808257	unbias	0.56944287	Ovary_mean	0.1068	0.1894	1.7737
TRINITY_DN122956_c5_g1_i1	NA	NA	NA	NA	0.201428122	unbias	0.498239256	Ovary_mean	0.1294	0.1854	1.4331
TRINITY_DN122956_c5_g2_i1	NA	NA	NA	NA	-0.49170173	unbias	0.606270515	Ovary_mean	0.1057	0.157	1.4845
TRINITY_DN122959_c0_g1_i3	NA	NA	NA	NA	0.301469609	unbias	0.659518512	Brain_mmean	0.0463	0.0491	1.0612
TRINITY_DN122960_c4_g2_i1	supt16h	Chr01	129648747	129648747	0.085078135	unbias	0.372248255	G46_M_mean	0.14	0.1748	1.2485
TRINITY_DN122961_c6_g7_i3	NA	NA	NA	NA	-0.226315986	unbias	0.363455536	G23_fmean	0.1375	0.2297	1.6702
TRINITY_DN122965_c0_g2_i3	NA	NA	NA	NA	-0.214455632	unbias	0.504134094	Ovary_mean	0.0566	0.1061	1.8746
TRINITY_DN122976_c0_g2_i2	dhh	Chr02	133216936	133216936	-0.173019826	unbias	0.516458729	G27_fmean	0.1022	0.1924	1.8824
TRINITY_DN122980_c0_g2_i2	NA	NA	NA	NA	0.313593997	unbias	0.636261671	Brain_fmean	0.0215	0.0166	0.7728
TRINITY_DN122985_c0_g1_i4	NA	NA	NA	NA	-0.141844225	unbias	0.406768461	Ovary_mean	0.1344	0.2273	1.6914
TRINITY_DN122990_c0_g2_i8	NA	NA	NA	NA	-0.015362039	unbias	0.476520119	Ovary_mean	0.1071	0.1727	1.6133
TRINITY_DN122993_c0_g1_i2	NA	NA	NA	NA	0.464423703	unbias	0.50616774	Brain_fmean	0.0512	0.0399	0.7788
TRINITY_DN122994_c0_g1_i1	NA	NA	NA	NA	0.086749001	unbias	0.308207643	Ovary_mean	0.0472	0.0618	1.3096
TRINITY_DN122996_c0_g5_i1	NA	NA	NA	NA	0.157571694	unbias	0.403390107	Ovary_mean	0.0833	0.1302	1.5625
TRINITY_DN122997_c0_g1_i2	NA	NA	NA	NA	0.404035669	unbias	0.43614001	Brain_mmean	0.0846	0.1459	1.725
TRINITY_DN123001_c0_g1_i3	NA	NA	NA	NA	-0.099544361	unbias	0.482028614	Brain_mmean	0.0903	0.138	1.5282
TRINITY_DN123005_c4_g3_i3	kctd10	Chr01	138303847	138303847	0.187833851	unbias	0.423656257	Testis_mean	0.0979	0.1915	1.9549
TRINITY_DN123006_c2_g6_i1	NA	NA	NA	NA	0.724098201	unbias	0.292399205	G23_mmean	0.0405	0.0789	1.9503
TRINITY_DN123008_c3_g1_i2	NA	NA	NA	NA	-0.405630786	unbias	0.120202404	Ovary_mean	0.1768	0.322	1.8211
TRINITY_DN123011_c1_g2_i1	slc35c2	Chr10	14366354	14366354	0.088303394	unbias	0.333678329	Brain_fmean	0.0522	0.0672	1.2873
TRINITY_DN123012_c1_g2_i1	pold2	Chr03	107699000	107699000	-0.203335616	unbias	0.388015216	Ovary_mean	0.0151	0.025	1.6562
TRINITY_DN123019_c0_g1_i7	NA	NA	NA	NA	-0.492198793	unbias	0.228808032	Ovary_mean	0.109	0.1807	1.6574
TRINITY_DN123028_c3_g1_i2	gad1-like	Chr09	62911797	62911797	0.197644181	unbias	0.274350858	Brain_mmean	0.0516	0.0821	1.5911
TRINITY_DN123030_c1_g1_i2	cyb561	Chr10	7711105	7711105	0.33181837	unbias	0.751321262	Liver_fmean	0.1427	0.2161	1.5146
TRINITY_DN123030_c2_g2_i1	NA	NA	NA	NA	-0.050738114	unbias	0.38080654	Brain_fmean	0.1564	0.0742	0.4746
TRINITY_DN123034_c0_g1_i1	NA	NA	NA	NA	-0.033613018	unbias	0.592743175	Ovary_mean	0.1239	0.2248	1.8145
TRINITY_DN123046_c0_g1_i1	NA	NA	NA	NA	-0.181287746	unbias	0.5565143	Ovary_mean	0.0473	0.0694	1.4695
TRINITY_DN123048_c0_g1_i8	NA	NA	NA	NA	0.165336466	unbias	0.356414482	Ovary_mean	0.0115	0.0085	0.7391
TRINITY_DN123049_c1_g1_i1	top1.2	Chr04	65111976	65111976	0.033527844	unbias	0.288982701	Ovary_mean	0.0907	0.1074	1.1833
TRINITY_DN123051_c5_g1_i6	NA	NA	NA	NA	0.783029963	unbias	0.469033633	G46_M_mean	0.2245	0.366	1.63
TRINITY_DN123054_c2_g2_i2	NA	NA	NA	NA	0.261644494	unbias	0.620482085	Brain_mmean	0.1098	0.2139	1.9484
TRINITY_DN123059_c0_g3_i4	NA	NA	NA	NA	-0.015760629	unbias	0.508436836	G43_M_mean	0.0487	0.0641	1.316
TRINITY_DN123061_c0_g2_i1	NA	NA	NA	NA	-0.467248974	unbias	0.441516993	Ovary_mean	0.1187	0.237	1.9973
TRINITY_DN123063_c0_g1_i4	NA	NA	NA	NA	-0.305454236	unbias	0.593011414	G27_mmean	0.0979	0.1761	1.7989
TRINITY_DN123065_c0_g4_i1	NA	NA	NA	NA	-0.174867003	unbias	0.581844236	G46_M_mean	0.1273	0.1512	1.1872
TRINITY_DN123070_c0_g1_i1	frs2	Chr03	49662502	49662502	2.122759737	unbias	0.722363024	G43_M_mean	0.1917	0.3333	1.7392
TRINITY_DN123075_c0_g1_i9	NA	NA	NA	NA	-0.025599754	unbias	0.263556774	Testis_mean	0.0615	0.0977	1.5896
TRINITY_DN123085_c0_g1_i1	ubald2	Chr10	36566110	36566110	-0.099905756	unbias	0.425654426	Ovary_mean	0.0378	0.0595	1.5725
TRINITY_DN123090_c3_g1_i4	NA	NA	NA	NA	0.233641422	unbias	0.256474971	Brain_fmean	0.1679	0.2796	1.6654
TRINITY_DN123093_c0_g2_i1	NA	NA	NA	NA	0.815561675	unbias	0.75291145	Brain_mmean	0.0694	0.082	1.1827
TRINITY_DN123103_c0_g1_i1	LOC100127860	Chr01	51606696	51606696	0.464111674	unbias	0.535107704	Brain_mmean	0.0424	0.0581	1.3724
TRINITY_DN123108_c4_g5_i4	NA	NA	NA	NA	0.213747916	unbias	0.331289579	Brain_mmean	0.0624	0.0363	0.5816
TRINITY_DN123115_c0_g1_i2	NA	NA	NA	NA	-0.126209843	unbias	0.419267078	Ovary_mean	0.0393	0.0494	1.2565
TRINITY_DN123119_c7_g4_i2	NA	NA	NA	NA	0.042651735	unbias	0.311653908	G23_mmean	0.0726	0.1267	1.7448
TRINITY_DN123123_c2_g1_i6	NA	NA	NA	NA	-0.84144001	unbias	0.666045117	Ovary_mean	0.1616	0.224	1.3862
TRINITY_DN123123_c3_g5_i1	NA	NA	NA	NA	-0.471501033	unbias	0.090065687	G27_fmean	0.1039	0.1455	1.4003
TRINITY_DN123128_c0_g2_i1	zar1	Chr01	29767993	29767993	-0.382037829	unbias	0.350977373	G23_fmean	0.0798	0.1308	1.6387
TRINITY_DN123130_c1_g1_i1	prkci	Chr05	107726975	107726975	0.366575429	unbias	0.342505345	G46_F_mean	0.0304	0.0208	0.6848
TRINITY_DN123133_c0_g1_i1	NA	NA	NA	NA	-0.355722164	unbias	0.454307784	Ovary_mean	0.0559	0.1116	1.9969
TRINITY_DN123134_c0_g1_i8	NA	NA	NA	NA	-0.107101228	unbias	0.556364706	Ovary_mean	0.0307	0.0361	1.1727
TRINITY_DN123135_c0_g1_i1	vopp1	Chr06	65599005	65599005	-1.002701088	unbias	0.10252402	G27_fmean	0.0393	0.0712	1.8118
TRINITY_DN123138_c0_g1_i2	NA	NA	NA	NA	-0.099268093	unbias	0.692367301	Brain_mmean	0.0302	0.0507	1.6781
TRINITY_DN123142_c0_g1_i2	NA	NA	NA	NA	-0.179589323	unbias	0.516312463	Ovary_mean	0.0189	0.0196	1.0367
TRINITY_DN123148_c0_g1_i2	NA	NA	NA	NA	-0.413354694	unbias	0.400615403	Brain_fmean	0.0688	0.1246	1.8118
TRINITY_DN123155_c2_g3_i10	clcn2-like	Chr05	111334928	111334928	0.206794605	unbias	0.627029556	Brain_mmean	0.0752	0.0452	0.6011
TRINITY_DN123158_c0_g1_i7	NA	NA	NA	NA	0.357244534	unbias	0.596562186	Brain_mmean	0.0468	0.0488	1.0418
TRINITY_DN123159_c2_g5_i1	NA	NA	NA	NA	0.035955276	unbias	0.461469628	Ovary_mean	0.047	0.0853	1.8148
TRINITY_DN123166_c4_g6_i1	NA	NA	NA	NA	-0.380853682	unbias	0.195044357	G23_fmean	0.1529	0.1111	0.7271
TRINITY_DN123168_c0_g1_i1	NA	NA	NA	NA	0.107418441	unbias	0.595389846	Ovary_mean	0.0985	0.1854	1.883
TRINITY_DN123172_c3_g2_i2	NA	NA	NA	NA	0.977102402	unbias	0.633317889	Ovary_mean	0.0329	0.0504	1.532
TRINITY_DN123172_c4_g1_i2	NA	NA	NA	NA	0.090023023	unbias	0.631406993	Brain_mmean	0.1095	0.1746	1.5948
TRINITY_DN123173_c2_g1_i4	NA	NA	NA	NA	0.211640014	unbias	0.61890167	Brain_mmean	0.1813	0.2923	1.6121
TRINITY_DN123178_c0_g1_i3	NA	NA	NA	NA	0.034405102	unbias	0.417188292	Testis_mean	0.0806	0.1316	1.6318
TRINITY_DN123183_c0_g1_i1	NA	NA	NA	NA	-0.75293219	unbias	0.771439657	Ovary_mean	0.1363	0.2473	1.8141
TRINITY_DN123188_c6_g3_i2	NA	NA	NA	NA	-0.263878934	unbias	0.539172977	Ovary_mean	0.0526	0.0683	1.2998
TRINITY_DN123189_c2_g7_i4	NA	NA	NA	NA	0.003772281	unbias	0.431177879	Ovary_mean	0.0466	0.082	1.7585
TRINITY_DN123190_c0_g1_i1	NA	NA	NA	NA	0.231996259	unbias	0.793513037	Brain_mmean	0.1317	0.2212	1.6804
TRINITY_DN123193_c0_g2_i5	NA	NA	NA	NA	0.09265214	unbias	0.311356085	Ovary_mean	0.0744	0.1221	1.6402
TRINITY_DN123199_c0_g1_i2	psmd3	scaffold_39	28660	28660	-0.24037712	unbias	0.655568932	G46_F_mean	0.0983	0.1001	1.0185
TRINITY_DN123200_c0_g3_i1	NA	NA	NA	NA	0.067149872	unbias	0.70374321	G27_mmean	0.0535	0.0821	1.5346
TRINITY_DN123201_c0_g1_i2	tnni2	Chr04	12564283	12564283	-0.157759466	unbias	0.511736363	Ovary_mean	0.0356	0.0644	1.8113
TRINITY_DN123203_c0_g2_i2	LOC100497938	Chr10	33266394	33266394	-0.302849531	unbias	0.639784964	Ovary_mean	0.1409	0.2628	1.8656
TRINITY_DN123204_c5_g4_i1	btg1	Chr03	46298958	46298958	-0.044893048	unbias	0.498020029	Ovary_mean	0.0111	0.0104	0.9337
TRINITY_DN123208_c0_g1_i1	NA	NA	NA	NA	0.842785367	unbias	0.764550713	G23_mmean	0.0457	0.0744	1.629
TRINITY_DN123213_c1_g3_i6	NA	NA	NA	NA	-0.231313785	unbias	0.384326197	Ovary_mean	0.0483	0.0613	1.2696
TRINITY_DN123217_c0_g2_i1	NA	NA	NA	NA	-0.59565376	unbias	0.263870126	Ovary_mean	0.0633	0.0769	1.2155
TRINITY_DN123223_c0_g1_i2	NA	NA	NA	NA	0.881971658	unbias	0.613883347	G43_M_mean	0.1159	0.2124	1.833
TRINITY_DN123229_c1_g2_i1	cbr3	Chr02	9369579	9369579	0.260850972	unbias	0.590626677	Ovary_mean	0.0406	0.0602	1.4831
TRINITY_DN123234_c0_g3_i1	NA	NA	NA	NA	0.686460517	unbias	0.644688311	Brain_fmean	0.001	0.0006	0.6025
TRINITY_DN123239_c0_g1_i2	NA	NA	NA	NA	0.180823396	unbias	0.150859847	Ovary_mean	0.027	0.0464	1.7174
TRINITY_DN123244_c1_g1_i7	NA	NA	NA	NA	-0.183367117	unbias	0.605238106	Brain_mmean	0.0615	0.0647	1.0508
TRINITY_DN123247_c0_g2_i5	NA	NA	NA	NA	-0.175663591	unbias	0.60176479	Brain_mmean	0.0693	0.0871	1.2575
TRINITY_DN123251_c6_g3_i2	actr2	Chr05	29456222	29456222	0.320187112	unbias	0.241713097	G43_M_mean	0.1331	0.2233	1.6774
TRINITY_DN123252_c0_g1_i2	NA	NA	NA	NA	1.035221868	unbias	0.700775747	Brain_fmean	0.0608	0.0667	1.0978
TRINITY_DN123254_c0_g1_i2	NA	NA	NA	NA	0.387359793	unbias	0.690371225	Brain_fmean	0.0848	0.1271	1.4989
TRINITY_DN123263_c0_g1_i4	LOC100488314	Chr07	113519924	113519924	0.018888051	unbias	0.394100615	Ovary_mean	0.0487	0.0838	1.7232
TRINITY_DN123268_c0_g1_i2	NA	NA	NA	NA	0.36164308	unbias	0.281696491	Brain_mmean	0.0632	0.1023	1.6178
TRINITY_DN123270_c0_g3_i6	NA	NA	NA	NA	-0.075200746	unbias	0.522655266	Brain_mmean	0.0107	0.0152	1.4191
TRINITY_DN123277_c3_g1_i2	NA	NA	NA	NA	-0.360543957	unbias	0.468482131	Testis_mean	0.1215	0.1676	1.3787
TRINITY_DN123280_c0_g1_i1	NA	NA	NA	NA	-0.083447629	unbias	0.445509696	Brain_mmean	0.1015	0.193	1.9016
TRINITY_DN123281_c5_g2_i1	NA	NA	NA	NA	-0.280749874	unbias	0.156418919	Ovary_mean	0.2039	0.3564	1.7479
TRINITY_DN123287_c0_g1_i4	NA	NA	NA	NA	0.038792312	unbias	0.678623261	Brain_mmean	0.0602	0.0849	1.4109
TRINITY_DN123288_c6_g1_i1	NA	NA	NA	NA	0.117475228	unbias	0.200781533	Testis_mean	0.0745	0.0931	1.2489
TRINITY_DN123291_c2_g4_i1	NA	NA	NA	NA	0.938938877	unbias	0.736236078	Brain_mmean	0.1182	0.1934	1.6361
TRINITY_DN123295_c1_g1_i2	NA	NA	NA	NA	-0.05569575	unbias	0.552984222	G43_M_mean	0.0715	0.1203	1.6819
TRINITY_DN123296_c1_g1_i2	NA	NA	NA	NA	-2.752975065	female	0.866458513	Testis_mean	0.2322	0.308	1.3264
TRINITY_DN123299_c0_g1_i4	NA	NA	NA	NA	0.032291862	unbias	0.528548022	Ovary_mean	0.0586	0.1052	1.7962
TRINITY_DN123302_c0_g3_i3	NA	NA	NA	NA	0.169646173	unbias	0.789579601	Brain_fmean	0.0487	0.054	1.1093
TRINITY_DN123309_c0_g1_i3	NA	NA	NA	NA	0.107992614	unbias	0.384152194	Ovary_mean	0.1296	0.2083	1.607
TRINITY_DN123314_c1_g1_i1	NA	NA	NA	NA	0.314339067	unbias	0.432029379	Brain_mmean	0.0554	0.076	1.3713
TRINITY_DN123315_c0_g1_i2	NA	NA	NA	NA	-0.064055456	unbias	0.262445756	G23_fmean	0.0509	0.0487	0.9557
TRINITY_DN123315_c1_g2_i1	gabpb1	Chr03	95053623	95053623	-0.529568422	unbias	0.123932502	Ovary_mean	0.053	0.0977	1.8433
TRINITY_DN123316_c1_g3_i5	NA	NA	NA	NA	0.662306171	unbias	0.656380187	Brain_mmean	0.1363	0.2205	1.6182
TRINITY_DN123319_c3_g3_i2	pnpla6	Chr08	300125	300125	-0.1942239	unbias	0.203791356	G23_fmean	0.0149	0.0208	1.3971
TRINITY_DN123319_c3_g4_i1	NA	NA	NA	NA	-0.541477334	unbias	0.668842264	Ovary_mean	0.0191	0.0266	1.3965
TRINITY_DN123320_c0_g2_i10	NA	NA	NA	NA	-0.134359694	unbias	0.666574701	Liver_fmean	0.1531	0.2509	1.6387
TRINITY_DN123320_c0_g3_i7	NA	NA	NA	NA	-0.232746749	unbias	0.612548163	Ovary_mean	0.0884	0.1329	1.5038
TRINITY_DN123323_c0_g4_i2	NA	NA	NA	NA	-0.119873555	unbias	0.42974889	Liver_fmean	0.1362	0.2392	1.7559
TRINITY_DN123327_c0_g1_i1	NA	NA	NA	NA	0.562963387	unbias	0.406997234	Brain_mmean	0.0668	0.1019	1.5254
TRINITY_DN123342_c1_g1_i1	NA	NA	NA	NA	0.540584472	unbias	0.38881912	Liver_mmean	0.0255	0.0434	1.6987
TRINITY_DN123343_c0_g2_i1	NA	NA	NA	NA	0.000151236	unbias	0.172110882	Ovary_mean	0.0293	0.0474	1.618
TRINITY_DN123348_c3_g1_i1	NA	NA	NA	NA	-2.040724572	unbias	0.539486584	Brain_fmean	0.1202	0.2252	1.8733
TRINITY_DN123354_c0_g1_i1	NA	NA	NA	NA	-0.104606589	unbias	0.609866088	G27_mmean	0.0531	0.1025	1.9318
TRINITY_DN123360_c0_g2_i1	nqo1	Chr04	62418080	62418080	-0.127327873	unbias	0.369946832	G46_M_mean	0.0869	0.075	0.8635
TRINITY_DN123361_c0_g1_i1	NA	NA	NA	NA	-0.047365296	unbias	0.476092844	Ovary_mean	0.1027	0.1833	1.7842
TRINITY_DN123366_c0_g2_i2	mta1	Chr08	95605833	95605833	0.293870851	unbias	0.281950468	Brain_mmean	0.0053	0.0053	1.0171
TRINITY_DN123367_c1_g1_i4	NA	NA	NA	NA	0.09634411	unbias	0.497498319	Ovary_mean	0.1063	0.1941	1.8255
TRINITY_DN123370_c0_g2_i1	ankmy2-like	Chr06	44660368	44660368	0.27596889	unbias	0.284677764	Testis_mean	0.1062	0.1939	1.8253
TRINITY_DN123371_c1_g1_i1	NA	NA	NA	NA	-0.47423275	unbias	0.319918989	G31_fmean	0.0276	0.0079	0.2849
TRINITY_DN123377_c2_g3_i1	racgap1	Chr02	145665361	145665361	0.240709624	unbias	0.511575942	Ovary_mean	0.0192	0.0214	1.1146
TRINITY_DN123378_c6_g4_i9	NA	NA	NA	NA	0.274184702	unbias	0.348440268	Brain_fmean	0.0517	0.0793	1.5329
TRINITY_DN123382_c0_g1_i1	NA	NA	NA	NA	-0.693644293	unbias	0.471717566	Ovary_mean	0.0862	0.1249	1.4484
