gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb
TRINITY_DN107990_c0_g1_i1	1.53E-06	6.87E-06	34.38497718	2	5.103706483	21.43977787	4.422218054	47.09226899	5.557418331	17.28417625	4.111379942	36.51065106	5.19024549	33.72701966	5.075832933	13.71730168	3.777924813	43.18642487	5.432505985	16.28017865	4.025044626	16.19482205	4.017460711	NA	NA	NA	NA	5.920789231	-1.206767703	1	female
TRINITY_DN108026_c0_g1_i1	0.069778611	0.11308135	1.884935271	2	0.914514982	0.784610581	-0.349951304	0.496865891	-1.009071588	2.065962242	1.046813887	1.436122432	0.522178747	1.19360759	0.255328615	5.189835908	2.375688924	0.244779335	-2.030446328	2.119629894	1.08381238	0.918787623	-0.122196673	NA	NA	NA	NA	1.773220124	1.098999371	1	male
TRINITY_DN108039_c0_g1_i2	8.53E-06	3.35E-05	38.60039416	2	5.270543674	182.5077904	7.511814237	8.115364411	3.020655879	150.7274011	7.235797902	18.20109691	4.185953494	17.00247757	4.087673083	105.8326251	6.725640626	59.64240525	5.898266534	64.61427544	6.013781034	100.976244	6.65787211	znf438	Chr06	15087516	15087516	5.308407734	2.056280141	1	male
TRINITY_DN108052_c0_g1_i1	2.66E-08	1.59E-07	12.13289627	2	3.600852075	0	NA	11.08530967	3.470577168	0.049391208	-4.339601935	6.170774704	2.625451623	0.095594663	-3.386926114	0.060457892	-4.047925513	1.699021668	0.764704252	0	NA	0.401370801	-1.316992428	hap1	Chr10	1919847	1919847	2.011837599	-5.903093829	5	female
TRINITY_DN108068_c0_g1_i3	3.32E-35	2.11E-33	0.307640053	2	-1.700684749	29.8438335	4.899360959	0.804314337	-0.314168658	23.79853415	4.57280081	1.435036928	0.521087862	0.751404397	-0.412338537	43.69631545	5.449439729	0.513648065	-0.961147885	35.19682575	5.137373419	32.86356163	5.038416938	NA	NA	NA	NA	4.746746416	5.402008561	5	male
TRINITY_DN108081_c0_g2_i1	0.109693184	0.167151518	0.900507527	2	-0.15118976	16.19305585	4.017303362	0.671424587	-0.574702727	0.318194182	-1.652020638	15.87812975	3.988969085	12.98420933	3.698686259	0.421946795	-1.244867	24.2768875	4.601511563	0.068782439	-3.861815916	0.861920298	-0.214373626	NA	NA	NA	NA	3.107359043	-1.673471257	1	female
TRINITY_DN108095_c0_g1_i1	3.08E-07	1.56E-06	0.678142874	2	-0.560338836	3.552897961	1.828996255	0.344746348	-1.536392826	2.824112533	1.497797577	0.474496115	-1.07553182	0.414087448	-1.271992623	1.99032964	0.993007391	0.566127153	-0.820801974	3.052371158	1.6099304	1.796572033	0.845246781	NA	NA	NA	NA	1.237279484	2.397007441	1	male
TRINITY_DN108126_c0_g2_i2	3.18E-09	2.20E-08	4.606375123	2	2.203631903	13.47779751	3.752512851	4.641653594	2.214638859	15.36832524	3.941888051	5.022629246	2.328442784	3.445611073	1.784759865	17.87786196	4.160102308	3.98969954	1.996280103	27.37782209	4.774935779	15.50035367	3.954229229	NA	NA	NA	NA	4.240626981	2.043561267	1	male
TRINITY_DN108146_c0_g2_i1	0.232959048	0.315761277	0	2	NA	20.19917999	4.336224821	7.194144903	2.846823218	0	NA	0	NA	21.30231466	4.412938294	16.29998499	4.026798731	0	NA	23.79184573	4.572395293	19.69184613	4.299526467	NA	NA	NA	NA	2.307679774	1.552459708	1	male
TRINITY_DN108152_c0_g3_i4	8.22E-15	1.17E-13	3.363459029	2	1.749945685	30.65054482	4.937840813	0.223027303	-2.164707759	18.77450245	4.23070277	2.164682464	1.114155412	0.395876348	-1.33687822	67.66525999	6.080343425	1.652174321	0.724365914	117.1441231	6.872140768	51.99339457	5.700256445	NA	NA	NA	NA	6.396928061	5.183029095	5	male
TRINITY_DN108157_c0_g2_i1	0.004706967	0.01054615	0.132299335	2	-2.918122285	0.563453446	-0.827631679	0.403540737	-1.309213776	0.771341133	-0.374559048	0.639348448	-0.645325674	0.248816536	-2.006845727	2.017088809	1.012274605	0.247399297	-2.015086694	0.97010584	-0.043785939	0.633151187	-0.65937806	NA	NA	NA	NA	0.922620695	1.561023108	1	male
TRINITY_DN108162_c0_g1_i1	1.81E-11	1.73E-10	0	2	NA	0.816307861	-0.292814744	0	NA	2.149424515	1.103950446	0	NA	0	NA	3.553851901	1.829383561	0	NA	0	NA	2.650465212	1.406245605	NA	NA	NA	NA	0.927683115	8.813156266	7	male
TRINITY_DN108186_c0_g2_i5	1.60E-05	5.97E-05	0.184795226	2	-2.436000608	2.154962303	1.107662632	0.026841154	-5.21940949	0.58301216	-0.778402121	0.258602192	-1.951193591	0.225679238	-2.147654395	1.027645811	0.03934311	0.493666332	-1.018391838	2.752425581	1.460703557	1.231819541	0.30079092	NA	NA	NA	NA	1.296543018	2.670105629	1	male
TRINITY_DN108191_c0_g1_i1	0.009151514	0.019091748	3.837885808	2	1.940311786	5.513289695	2.46291341	3.298219682	1.721687494	6.29625425	2.6544938	1.790244088	0.840156303	1.952907468	0.965623594	6.076676563	2.603282505	4.592318836	2.199222809	9.527207753	3.252053449	5.794399065	2.534659048	psat1	Chr01	120348962	120348962	2.91032198	1.09581837	1	male
TRINITY_DN108208_c0_g1_i3	3.02E-82	8.86E-80	802.866507	2	9.64901632	2.846394058	1.509135404	378.7965683	8.565279451	0.653971287	-0.6127008	479.714811	8.906033173	590.3070113	9.205321667	2.201378525	1.138407237	626.2145875	9.290513306	3.180728039	1.669357023	3.321504357	1.731836807	NA	NA	NA	NA	6.763403059	-7.907084367	7	female
TRINITY_DN108227_c2_g1_i1	0.004842335	0.010816146	0.21774593	2	-2.199282342	0.772803678	-0.371826134	0.24598918	-2.023333236	0.705287803	-0.503716004	0.205399378	-2.283496282	0.310239932	-1.688543703	0.549382827	-0.864116281	0.282766761	-1.822315552	0.609834098	-0.713511276	0.405252169	-1.303108187	NA	NA	NA	NA	0.436259627	1.265045265	1	male
TRINITY_DN108245_c0_g1_i2	0.000184214	0.000565115	0	2	NA	142.4057001	7.153863084	0	NA	89.42846115	6.482662146	0	NA	0	NA	4.448263584	2.153242278	10.24309803	3.35658022	34.42747703	5.105488554	161.9944308	7.339800405	NA	NA	NA	NA	4.089609556	5.290480944	5	male
TRINITY_DN108276_c0_g2_i1	1.17E-75	2.87E-73	1.564467873	2	0.645672033	242.3342239	7.920854355	0.706956348	-0.500306958	96.00370751	6.585018216	0.862751985	-0.212982207	0.743007236	-0.428551834	114.7326202	6.842131819	0.731387375	-0.451292371	110.7338542	6.790952548	161.0568713	7.331426403	NA	NA	NA	NA	7.17761571	7.285309695	7	male
TRINITY_DN108303_c0_g1_i1	1.18E-12	1.31E-11	0.361591853	2	-1.467565922	3.269431614	1.709039847	0.210082103	-2.250974832	3.673342076	1.877093252	0.522878194	-0.935453189	0.30911319	-1.693792879	3.700451588	1.887701342	0.060372814	-4.049957142	3.99489947	1.998159199	3.059254237	1.613180006	NA	NA	NA	NA	2.395515281	3.552918694	3	male
TRINITY_DN108305_c0_g1_i1	2.53E-10	2.05E-09	1.271369606	2	0.346383504	0.222826034	-2.166010294	2.010785842	1.007759436	0.083192266	-3.587406776	2.460063304	1.29869544	1.20761421	0.272159638	0.025458119	-5.295730362	0.88053954	-0.183540306	0	NA	0.112675068	-3.149759774	NA	NA	NA	NA	0.436301099	-4.18340806	3	female
TRINITY_DN108305_c0_g2_i1	0.002040701	0.004979258	0.650379978	2	-0.62064525	0.879340322	-0.18550647	1.228063837	0.296385557	0.041037796	-4.606902939	1.21352116	0.279199265	1.270831598	0.345772867	0.075349198	-3.730264034	0.977310244	-0.033111481	0	NA	0.111162651	-3.16925595	NA	NA	NA	NA	0.1162862	-2.315731865	1	female
TRINITY_DN108382_c0_g3_i1	0.00178717	0.004424289	1.847136554	2	0.885290525	2.185228628	1.127784229	0.691913668	-0.531336055	4.122223504	2.043422729	0.698371201	-0.517934028	0.498649688	-1.003901447	1.892196148	0.920061648	1.81796787	0.862326702	5.346482188	2.418589957	4.652594119	2.218035335	NA	NA	NA	NA	0.850052797	1.697365574	1	male
TRINITY_DN108384_c0_g1_i2	0.032039458	0.057411451	5.216874059	2	2.383185606	2.257956825	1.1750179	2.975519491	1.573141568	1.124013149	0.168658913	3.573083673	1.837169699	3.589544443	1.84380076	3.439653946	1.782263427	8.327896932	3.057952214	1.89518379	0.922337764	2.588005478	1.371840671	NA	NA	NA	NA	1.031478361	-1.060425776	1	female
TRINITY_DN108410_c0_g1_i1	1.26E-09	9.29E-09	0.879370387	2	-0.185457145	7.35659545	2.879038258	0.127726868	-2.96886606	7.934594455	2.988156487	0	NA	0	NA	4.924136175	2.29987066	0.146823176	-2.76784838	2.806660568	1.488854598	13.07623821	3.708875659	NA	NA	NA	NA	2.064830763	4.957045366	3	male
TRINITY_DN108427_c0_g3_i5	2.17E-12	2.33E-11	119.6520707	2	6.902701554	59.66411288	5.898791527	267.5520578	8.063675815	32.16883394	5.007591737	177.5116712	7.471770073	122.5463706	6.937183947	19.25861526	4.267432069	146.9365889	7.199049878	26.821705	4.745329044	32.50405211	5.022547677	NA	NA	NA	NA	6.587827832	-2.299274528	1	female
TRINITY_DN108429_c0_g1_i1	0.004814734	0.010760886	63.67667152	2	5.992693021	19.38528317	4.276889904	15.74153059	3.97650392	14.20893489	3.828726508	18.25456896	4.190185698	23.43234013	4.550429135	13.38645062	3.74270158	43.72378859	5.450346508	17.32449457	4.114741358	13.40627381	3.7448364	NA	NA	NA	NA	4.815292273	-1.099479237	1	female
TRINITY_DN108429_c0_g2_i1	1.16E-09	8.60E-09	37.08387943	2	5.21272027	18.72703721	4.227050765	51.5736158	5.688561291	12.63839973	3.659741896	36.27480032	5.180895768	52.20357944	5.706076826	13.61787687	3.767429889	36.5568177	5.192068583	8.759295481	3.130814837	14.65034082	3.872862322	NA	NA	NA	NA	5.94082865	-1.641254156	1	female
TRINITY_DN108434_c0_g2_i2	1.97E-09	1.41E-08	1.140284229	2	0.189393478	0.474372585	-1.075907459	8.013658639	3.002461056	0.487045234	-1.037872327	7.201162859	2.848229895	4.606160645	2.203564728	0.487778297	-1.035702526	2.006379637	1.004594611	0.803972581	-0.314781795	0.269857197	-1.889731931	NA	NA	NA	NA	3.821039407	-3.168191234	3	female
TRINITY_DN108436_c0_g1_i2	4.24E-09	2.87E-08	261.0001274	2	8.027906701	84.81852545	6.406307497	178.3972889	7.478949881	71.91704241	6.168261786	194.3342806	7.602396605	152.1128585	7.248998303	44.59912108	5.478943374	233.1985776	7.865415179	88.83744233	6.473095953	61.92218613	5.952384501	NA	NA	NA	NA	7.230912246	-1.546252816	1	female
TRINITY_DN108450_c0_g1_i2	0.000895018	0.002364632	48.30524627	2	5.594107979	46.63707188	5.543405306	71.84527062	6.166821286	36.4915978	5.189492416	71.11720705	6.152126762	91.41768725	6.514401416	16.27018856	4.024159066	38.6327894	5.271753943	10.34796855	3.371275669	31.66500821	4.984817548	NA	NA	NA	NA	6.42563874	-1.185381359	1	female
TRINITY_DN108450_c0_g4_i1	0.001138046	0.002944977	143.565358	2	7.165563862	80.80538542	6.336379542	92.09895649	6.525112905	91.50378931	6.515759584	122.4166223	6.935655657	128.8867265	7.009959884	36.10338432	5.174062176	110.862374	6.792625997	20.84059385	4.381324482	55.21078354	5.786878171	lig4	Chr02	114361671	114361671	6.644280114	-1.085054759	1	female
TRINITY_DN108491_c0_g1_i1	0.017895007	0.034534761	4.731165747	2	2.242195704	17.39979964	4.120998788	1.359446595	0.443019477	1.181132391	0.240170683	0.60450664	-0.726169909	0.351697452	-1.507593212	9.898025881	3.307140815	4.20725848	2.072880455	1.531916764	0.615337911	9.844419056	3.299306072	NA	NA	NA	NA	1.830429581	1.797334695	1	male
TRINITY_DN108540_c0_g1_i1	4.00E-06	1.66E-05	3.067312196	2	1.616975014	5.685026106	2.507166974	1.871189189	0.903955431	6.95460307	2.797968176	2.270198744	1.182818603	2.228824158	1.1562828	11.30442015	3.498815087	1.852205817	0.88924442	8.024330048	3.004380947	8.991120953	3.168500993	NA	NA	NA	NA	2.852057541	1.861019352	1	male
TRINITY_DN108541_c0_g1_i1	1.18E-23	3.84E-22	57.70250385	2	5.850562017	9.224881957	3.20553045	64.2179482	6.004904666	11.02117295	3.462205869	49.12079175	5.61826191	54.07108321	5.756785353	11.52862315	3.527148319	49.00242597	5.61478127	9.380667079	3.229690519	9.652318526	3.270875525	NA	NA	NA	NA	6.229506298	-2.427446322	1	female
TRINITY_DN108551_c0_g1_i2	0.004578747	0.010288499	0.317090596	2	-1.657033003	0.794391924	-0.332077139	0.208610226	-2.261118215	0.395449088	-1.338436128	0.267981835	-1.899792883	0.366742445	-1.447160849	0.473969669	-1.077133356	0.348799009	-1.519532154	1.132639741	0.179689056	1.093503797	0.12895823	NA	NA	NA	NA	1.078129442	1.345816136	1	male
TRINITY_DN108553_c0_g1_i1	0.000396279	0.001128652	0.438557626	2	-1.189161671	1.124130283	0.168809249	0.2229488	-2.16521566	1.678779512	0.747412762	0.620536031	-0.688413113	0.12496958	-3.000351137	1.580715309	0.660577558	0.597990487	-0.741805561	1.423658492	0.509603113	1.923923819	0.944051674	nek1	Chr01	40766102	40766102	0.069039787	1.904528724	1	male
TRINITY_DN108556_c0_g1_i1	0.008655535	0.018171308	5.137713434	2	2.361126423	4.199413719	2.070187927	4.17896113	2.06314434	1.485335595	0.570788929	9.516560677	3.250440272	3.992786524	1.99739594	1.767638627	0.821823363	5.240457988	2.389692901	2.782672016	1.476470873	1.899966235	0.92597378	NA	NA	NA	NA	1.644070474	-1.235949738	1	female
TRINITY_DN10856_c0_g2_i1	4.56E-06	1.88E-05	1.345509951	2	0.428153061	4.952224386	2.308076685	0.608012998	-0.717825929	6.999470219	2.80724573	1.171585224	0.228461903	0.766821982	-0.3830364	7.112877482	2.830433314	1.922020026	0.942623368	5.481202761	2.454492504	3.935109842	1.976403907	NA	NA	NA	NA	0.785891295	2.28636257	1	male
TRINITY_DN108604_c0_g1_i1	0.01118707	0.022806822	20.0308442	2	4.32415132	13.60135454	3.76567843	31.6939789	4.986136884	7.538586819	2.914294102	15.40330305	3.945167847	8.91649396	3.156476542	8.715046491	3.123508361	19.11667926	4.256760031	6.925708519	2.79196167	8.650319682	3.11275345	NA	NA	NA	NA	3.05844425	-1.070368362	1	female
TRINITY_DN108615_c0_g2_i1	0.000209734	0.000636054	1.972051621	2	0.979697317	6.065819817	2.600702644	0.601517132	-0.733322267	4.877768743	2.286221361	1.802995114	0.850395487	1.685843199	0.753470357	7.036885201	2.814936977	0.691449318	-0.532304587	3.16320836	1.661388589	4.482926869	2.164440965	NA	NA	NA	NA	0.34489566	1.892055052	1	male
TRINITY_DN108618_c0_g1_i2	3.67E-05	0.000128908	2.733063322	2	1.450518886	9.963878885	3.316707485	2.778805576	1.474464897	7.883489484	2.978834354	3.059716124	1.613397808	2.43177108	1.282007424	6.272421004	2.649022396	2.607560683	1.382700827	7.476889473	2.902438207	9.342678923	3.223836288	lepre1	Chr07	68539357	68539357	2.780954131	1.575530115	1	male
TRINITY_DN108668_c0_g1_i1	1.63E-12	1.79E-11	5.03767856	2	2.332759071	0.619195218	-0.691533765	18.89150404	4.239665661	0.924707982	-0.112930253	9.57052983	3.258598795	11.0739821	3.46910219	0.601321733	-0.733790993	3.593837239	1.845525072	0.59966845	-0.737763024	0.469656949	-1.09032074	slc35c1	Chr04	5695930	5695930	2.459780475	-3.864104527	3	female
TRINITY_DN108672_c0_g3_i2	1.20E-13	1.51E-12	0.33066407	2	-1.596561804	5.737415559	2.520401016	0	NA	3.894669765	1.961501005	0.143960711	-2.796252962	0.188449351	-2.407751268	2.562432647	1.357514084	0	NA	6.945602523	2.796099852	3.956186719	1.984110518	NA	NA	NA	NA	0.674439371	4.942162612	3	male
TRINITY_DN108683_c0_g1_i2	0.002598005	0.006198286	4.528346573	2	2.178984378	0	NA	3.006782568	1.588220545	1.224559052	0.292262347	2.836544955	1.504134729	0.711025189	-0.492027425	0.549609859	-0.863520211	2.160202141	1.111166319	0.952944422	-0.06953602	0.773982947	-0.369626315	rusc2	scaffold_794	41026	41026	0.469649033	-1.903732333	1	female
TRINITY_DN108688_c0_g1_i1	1.59E-07	8.43E-07	7.245146173	2	2.857014797	3.758170974	1.910030702	20.85259392	4.382154951	4.480124552	2.163538841	14.59474151	3.867376754	18.24742019	4.189620606	3.163816963	1.661666138	12.24566763	3.614199526	2.809557736	1.490343048	3.333984513	1.737247403	NA	NA	NA	NA	3.504191059	-2.054246154	1	female
TRINITY_DN108703_c0_g3_i1	3.20E-05	0.000113831	0.874805838	2	-0.192965247	4.657169717	2.219453458	0	NA	1.448964818	0.535022566	1.071176853	0.099196691	1.028284454	0.040239412	14.78018757	3.885592673	1.917051426	0.938889039	8.644746475	3.111823654	7.326549475	2.873133904	ppp4r1l	scaffold_249	131927	131927	1.490779735	2.896489894	1	male
TRINITY_DN108703_c0_g5_i1	0.044835995	0.07706667	0	2	NA	6.199765365	2.632213617	1.998099496	0.998628424	3.954256984	1.983406634	0	NA	1.026662554	0.037962071	0	NA	0	NA	1.876328528	0.907912453	2.612497644	1.385429736	NA	NA	NA	NA	0.268391518	2.285416295	1	male
TRINITY_DN108703_c0_g8_i1	0.02070038	0.039210796	12.47678114	2	3.641173879	7.701119203	2.945068128	7.501050635	2.907092681	5.750437176	2.523671641	6.23498803	2.64038679	10.85149258	3.439821588	2.111667175	1.078382466	15.85022927	3.986431804	4.350650996	2.12123129	5.841266284	2.546281154	sh2d3c-like	Chr08	2323004	2323004	2.363462121	-1.063489245	1	female
TRINITY_DN108709_c0_g1_i2	2.03E-06	8.92E-06	386.8121253	2	8.595489209	1559.263116	10.60664868	214.4008186	7.744166604	1450.095279	10.50193198	177.7357656	7.473590213	194.4346115	7.603141247	849.7707315	9.730929844	338.2086263	8.401769647	248.2307125	7.955537815	1002.938924	9.970018037	NA	NA	NA	NA	9.276070398	1.941489836	1	male
TRINITY_DN108714_c0_g1_i1	0.000224436	0.000676252	18.58658653	2	4.216189935	1.769197447	0.823095066	3.90986136	1.967117452	3.585740713	1.84227117	6.975873953	2.802373972	6.940054502	2.794946993	1.848070861	0.886020075	11.48574145	3.521772086	3.182036981	1.669950602	1.789238356	0.839345591	LOC101734605	Chr03	82842692	82842692	1.056214515	-1.975472233	1	female
TRINITY_DN108717_c0_g1_i5	4.64E-16	7.69E-15	42.00877964	2	5.392618971	0.941247903	-0.087353349	15.0462251	3.911329674	1.124529937	0.169322069	27.95352967	4.804958557	10.6103483	3.40740011	1.376494158	0.460998487	28.08237954	4.811593281	0.911564971	-0.133582608	0.761528049	-0.393030919	mapk8ip3	Chr09	16648701	16648701	2.5341617	-4.55535968	3	female
TRINITY_DN108717_c0_g3_i1	0.00606196	0.013227375	5.232303262	2	2.387446161	3.352917726	1.745417083	6.816089017	2.768944177	2.985095708	1.577777188	5.90851031	2.562794435	6.94235539	2.795425221	2.593119901	1.374688915	3.503524693	1.808807064	2.060711048	1.043142225	2.28233554	1.190510907	NA	NA	NA	NA	2.432445435	-1.089729241	1	female
TRINITY_DN108737_c0_g1_i6	4.18E-06	1.73E-05	46.05007029	2	5.525131453	162.5854095	7.345053985	24.58091633	4.619466793	50.97644998	5.671759002	21.89699278	4.452660846	16.73085467	4.06443924	52.98411474	5.727487982	28.59236369	4.837557985	105.1919444	6.716880417	111.3972254	6.799569489	NA	NA	NA	NA	4.902391062	1.795714012	1	male
TRINITY_DN108742_c0_g1_i1	7.19E-06	2.86E-05	7.618954471	2	2.929593034	34.71154736	5.117343773	2.96673321	1.568875195	20.97877094	4.390858254	8.098548562	3.017663368	3.395177655	1.763487066	19.06228829	4.25264941	9.188827059	3.199880715	19.3157842	4.271708346	25.50427881	4.672667401	NA	NA	NA	NA	3.7009193	1.904734008	1	male
TRINITY_DN108890_c1_g4_i1	0.074634094	0.119865107	4.517451303	2	2.175509049	1.034381906	0.048768944	0.592652669	-0.754741251	1.544749018	0.627372456	0.570993641	-0.808453416	2.865223609	1.518647735	1.024220324	0.034526092	7.834484692	2.969838386	1.335682568	0.417577184	2.266547956	1.180496686	NA	NA	NA	NA	0.310858871	-1.206327115	1	female
TRINITY_DN108930_c0_g1_i3	1.36E-07	7.24E-07	15.13350503	2	3.91967426	2.204861807	1.140688236	17.96388644	4.167027602	1.119534044	0.1628984	15.01920313	3.908736365	3.313948311	1.7285511	1.330073616	0.411506097	3.354478678	1.746088574	0.811425362	-0.301469699	2.229837784	1.156938761	NA	NA	NA	NA	3.547111327	-2.833300561	1	female
TRINITY_DN108932_c0_g1_i1	3.24E-07	1.63E-06	79.7413502	2	6.317256128	19.84640425	4.31080574	85.83504672	6.42349492	51.66921532	5.691233069	72.94699885	6.18877672	91.42459452	6.514510418	16.10513524	4.00944887	68.99549495	6.108430259	27.80112891	4.797071562	27.93393849	4.803947093	NA	NA	NA	NA	7.64378475	-1.480020018	1	female
TRINITY_DN108938_c0_g1_i1	0.091223983	0.142798575	0.126774747	2	-2.9796607	2.09970686	1.070187927	2.062344454	1.044285313	4.479583539	2.163364613	2.152555391	1.106050362	1.192131976	0.253543959	4.729335184	2.241637394	1.185341688	0.245302992	1.888241725	0.917043464	0.758389884	-0.398988374	rtn2	Chr08	49503759	49503759	0.353955229	1.05738416	1	male
TRINITY_DN108991_c0_g1_i1	0.001282579	0.003276523	2.336141652	2	1.224127755	1.433049932	0.519088879	4.046706508	2.01674822	0.993627624	-0.009222812	4.520366322	2.176439691	3.772284888	1.915438634	1.590495985	0.66947673	1.921364792	0.942131456	0.892194215	-0.164570301	0.931681972	-0.102090517	NA	NA	NA	NA	0.947271442	-1.481746301	1	female
TRINITY_DN108997_c0_g1_i1	3.39E-12	3.53E-11	14.14262655	2	3.821978175	89.20276783	6.47901657	10.60769978	3.407039945	51.74794232	5.693429592	1.648663564	0.721297024	3.10510107	1.634640228	42.66020886	5.414819124	6.53338546	2.707830759	105.0725354	6.715241807	64.53928958	6.012105792	socs3-like.1	Chr07	103921321	103921321	6.708358189	3.295472325	3	male
TRINITY_DN109025_c0_g1_i1	1.66E-05	6.19E-05	1.501135198	2	0.586053917	4.341080688	2.118054238	1.017506089	0.025037428	5.00957764	2.324688974	1.960640814	0.971325261	0.285171548	-1.810098046	4.508847582	2.172758742	0.974693617	-0.036979298	14.52353635	3.860320874	5.787154419	2.53285414	NA	NA	NA	NA	0.827315777	2.526345303	1	male
TRINITY_DN109035_c0_g1_i1	2.49E-08	1.49E-07	0.587847235	2	-0.766486807	4.520388016	2.176446614	1.045950173	0.064814126	7.010405577	2.809497912	0.863764265	-0.211290463	2.261392215	1.177211234	12.87175469	3.686136831	0.343522591	-1.541523117	16.16431133	4.014740139	7.560712396	2.918522176	NA	NA	NA	NA	1.40439944	3.227584308	3	male
TRINITY_DN109035_c0_g2_i1	4.69E-05	0.0001613	1.389939998	2	0.475022605	4.275306738	2.096027932	0.847921741	-0.237996978	10.80497138	3.433623346	4.810831627	2.266286308	2.019965134	1.014330391	20.06437174	4.326564078	0.324897872	-1.6219418	13.85468928	3.792302451	7.317091795	2.871270358	NA	NA	NA	NA	1.784484602	2.555680211	1	male
TRINITY_DN109047_c0_g1_i1	1.46E-05	5.49E-05	1.739931447	2	0.799030465	0.178991404	-2.482037791	1.845967331	0.884377021	0.334132871	-1.581506177	1.877310604	0.908667366	1.422741113	0.508673168	0.36809936	-1.441832854	2.033541109	1.023994156	0.433366953	-1.206338952	0.633566369	-0.658432339	NA	NA	NA	NA	0.168204881	-2.185553331	1	female
TRINITY_DN109050_c0_g1_i1	2.97E-16	5.03E-15	4.276077955	2	2.096288154	0.158086038	-2.661218139	27.8521012	4.799714265	0.354129239	-1.497652129	22.86362889	4.5149825	23.30369043	4.542486537	0.505722094	-0.983583287	8.902076257	3.154141859	0.306201361	-1.7074474	0	NA	NA	NA	NA	NA	2.228670162	-5.823206272	5	female
TRINITY_DN109077_c0_g1_i1	2.79E-11	2.59E-10	10.0104769	2	3.323438801	4.196596833	2.06921987	14.99322205	3.906238547	4.15079629	2.05338813	12.15295695	3.603235475	18.27427792	4.191742496	2.429962773	1.280934212	12.15555656	3.603544046	2.085324105	1.060271627	2.77757497	1.473825852	NA	NA	NA	NA	4.955161745	-2.112134938	1	female
TRINITY_DN109099_c0_g2_i2	3.97E-28	1.75E-26	11.18038599	2	3.482898091	0	NA	9.397139867	3.232221722	0.175581666	-2.509785886	8.209997698	3.037381817	7.093974931	2.826594232	0	NA	10.1051868	3.337024086	0.056931911	-4.134618663	0.118903339	-3.072138866	NA	NA	NA	NA	2.723964149	-7.018575647	7	female
TRINITY_DN109106_c0_g1_i1	2.67E-08	1.60E-07	0.794099563	2	-0.332608193	1.774513254	0.82742335	0.313985042	-1.671232263	5.533955879	2.468311142	0.288104928	-1.795333757	0.527994486	-0.921405232	2.528288147	1.338160896	0.567173532	-0.818137886	7.682941474	2.941658764	3.114183775	1.638854084	ttc18-like	Chr09	8376312	8376312	1.90569156	3.047139783	3	male
TRINITY_DN109134_c0_g1_i1	0.018710206	0.035932769	8.502911251	2	3.08795688	9.902072465	3.307730507	6.618997543	2.726612735	22.65113024	4.501511134	4.598453264	2.201148678	8.745352041	3.12851646	23.70390312	4.56705273	13.04330882	3.705237993	13.69971923	3.776074421	14.78292573	3.88585992	fbxo9	Chr05	114246870	114246870	2.751611739	1.028681564	1	male
TRINITY_DN109149_c0_g2_i1	0.010621719	0.021772303	0.111944494	2	-3.159144524	1.059474728	0.083349175	0.682908399	-0.550236017	1.318518928	0.398918282	0.414265377	-1.271372845	0.574186379	-0.800408988	0.544707678	-0.876445892	0.305281397	-1.711788416	1.496342499	0.581440433	0.892896769	-0.163434705	NA	NA	NA	NA	0.569358539	1.331228912	1	male
TRINITY_DN1091_c0_g1_i1	1.29E-07	6.90E-07	0	2	NA	3.935494927	1.97654508	0	NA	2.712590698	1.439671376	0.250667264	-1.996154496	0	NA	2.075236688	1.05327589	0.89722259	-0.15646215	3.518202696	1.814838604	5.051633614	2.336750007	NA	NA	NA	NA	0.142255938	3.872638838	3	male
TRINITY_DN109203_c0_g1_i1	0.008060896	0.017075476	6.25916597	2	2.645970432	7.041836037	2.815951636	3.930658495	1.974771024	15.77444836	3.979517649	3.246007731	1.698666436	5.403217125	2.433818657	14.0337881	3.810832579	6.526472418	2.706303421	8.155597238	3.02779053	8.516557036	3.090270314	NA	NA	NA	NA	3.177825222	1.077200864	1	male
TRINITY_DN109239_c0_g1_i1	0.000503534	0.001404517	0.906439442	2	-0.141717456	1.559782239	0.641344629	0.335130974	-1.577203063	2.256590208	1.174144452	0.322883309	-1.63091523	0.422664973	-1.242413536	2.004826871	1.003477657	0.674163085	-0.568830463	2.360302156	1.238971559	1.084497534	0.117026773	NA	NA	NA	NA	0.176193706	1.811477324	1	male
TRINITY_DN109245_c0_g1_i1	0.000468207	0.00131492	2.116789355	2	1.081877712	5.008475078	2.324371415	1.076108631	0.105823722	3.739835799	1.902974929	0.829425013	-0.26981654	0.180957481	-2.466277343	4.921124471	2.298988007	3.958388756	1.984913307	18.91706389	4.241616281	10.89020042	3.4449586	NA	NA	NA	NA	0.846693027	2.396529123	1	male
TRINITY_DN109253_c0_g1_i1	3.09E-13	3.72E-12	6.83644562	2	2.773246439	0.101096997	-3.306187951	28.15100179	4.815114358	0.150978556	-2.727584442	20.87181487	4.383484148	20.82016351	4.379909494	0.92403543	-0.113979925	5.892684742	2.558925084	0	NA	0	NA	NA	NA	NA	NA	2.775968309	-5.838673841	5	female
