gid	A12FL1	base	logA12FL1	A12ML1	logA12ML1	A15ML1	logA15ML1	A17FL1	logA17FL1	A17ML1	logA17ML1	A2FL1	logA2FL1	A7FL1	logA7FL1	A8FL1	logA8FL1	A8ML1	logA8ML1	gname	chr	start	end	logCPM	logFC.XYliver.XXliver	PV.XYliver.XXliver	FDR.XYliver.XXliver	meanXY	log2meanXY	group1	meanXX	log2meanXX	group2	cutoff
TRINITY_DN109189_c0_g1_i1	0.939553419	2	-0.089952905	1.925524814	0.945251715	4.215785571	2.075801489	1.014227466	0.020381249	2.428284336	1.279937362	0.530285915	-0.915157666	0.372801294	-1.423521227	0.059890721	-4.061523689	1.458064283	0.544054326	NA	NA	NA	NA	0.536793191	2.135694867	0.00041725	0.037963775	2.506914751	1.325970485	meanmale	0.583351763	-0.777314709	meanfemale	FC1
TRINITY_DN112525_c0_g1_i1	7.798925422	2	2.963275355	13.85206444	3.792029099	16.62208172	4.055029169	2.229415086	1.156665251	20.86559997	4.383054499	1.483545977	0.569049638	0.790817058	-0.338584104	4.093063943	2.033181205	7.187039294	2.845397574	asmtl	Chr02	34679028	34679028	2.733816706	2.161334502	8.51E-05	0.011675253	14.63169636	3.871034996	meanmale	3.279153497	1.713367431	meanfemale	FC1
TRINITY_DN131346_c3_g1_i2	2.479372664	2	1.309975133	23.86641618	4.57691004	9.046061385	3.177289786	1.610813647	0.6877896	0.514219105	-0.959544883	1.684418568	0.752250684	2.05699338	1.040537151	3.154507888	1.657414958	9.824279285	3.296351574	NA	NA	NA	NA	4.042118505	2.282220094	0.000144878	0.017803989	10.81274399	3.434674125	meanmale	2.197221229	1.135745795	meanfemale	FC1
TRINITY_DN116300_c0_g1_i1	3.922455559	2	1.971757102	9.713425879	3.279980217	34.46685713	5.107137847	2.803200801	1.487075092	13.11789512	3.71346434	0.333101245	-1.585967349	10.67845492	3.416631012	0.67717078	-0.562408373	18.62307603	4.219019482	Xetrov90028034m	scaffold_316	172984	172984	3.722808618	2.382084772	0.000385921	0.036886679	18.98031354	4.246439521	meanmale	3.682876661	1.880872255	meanfemale	FC1
TRINITY_DN117920_c0_g1_i5	3.603442472	2	1.849375813	8.550948986	3.096084539	8.935324458	3.159520117	5.101146836	2.350821629	25.66556961	4.681762374	1.623464322	0.69907568	1.05353256	0.075234902	3.300385744	1.722634654	20.19359487	4.335825857	NA	NA	NA	NA	2.659401722	2.441376366	1.24E-06	0.00039226	15.83635948	3.985177927	meanmale	2.936394387	1.55409488	meanfemale	FC1
TRINITY_DN133435_c0_g5_i1	1.063255949	2	0.088488927	3.433640855	1.779739147	5.240695523	2.389758293	2.223063612	1.152549231	6.495260082	2.699387295	0.1970038	-2.343704637	0.856553746	-0.223384321	0.1601978	-2.64207376	4.26120012	2.091259807	NA	NA	NA	NA	2.512616482	2.452094984	2.29E-05	0.004423659	4.857699145	2.28030284	meanmale	0.900014981	-0.151818791	meanfemale	FC1
TRINITY_DN87581_c0_g1_i1	1.663068151	2	0.73384729	7.763347757	2.956678914	3.938385127	1.977604196	0.432188821	-1.210266339	3.794103124	1.923758892	0	NA	1.613043771	0.689785588	0.612504021	-0.70720878	5.384767132	2.428883956	NA	NA	NA	NA	0.192732048	2.490140702	3.63E-05	0.006336985	5.220150785	2.384119117	meanmale	0.864160953	-0.210461113	meanfemale	FC1
TRINITY_DN129964_c1_g5_i2	1.2812204	2	0.357518674	3.34184912	1.740646599	3.527702629	1.818728953	0.953465969	-0.068746648	3.043743872	1.605846963	0	NA	0.231077201	-2.11355317	0.482594735	-1.051115919	3.655234405	1.869963927	NA	NA	NA	NA	0.226302132	2.548743967	2.69E-05	0.005036855	3.392132507	1.762235057	meanmale	0.589671661	-0.761771593	meanfemale	FC1
TRINITY_DN132978_c0_g1_i2	0.389517545	2	-1.360239782	6.176158036	2.626709669	0.781896708	-0.354950061	0.3116684	-1.681916207	0.918403591	-0.122799812	0.376049832	-1.411004243	0.496202779	-1.01099828	0.339769847	-1.557370269	1.240775543	0.311242155	dopey2	Chr02	9291954	9291954	2.065083753	2.556362532	1.00E-05	0.002151171	2.27930847	1.188659478	meanmale	0.382641681	-1.385557076	meanfemale	FC1
TRINITY_DN142384_c0_g1_i1	4.448206379	2	2.153223725	22.79043318	4.510356441	17.7414635	4.149053118	3.660587245	1.87207511	25.2164488	4.656293212	1.611728435	0.68860868	1.242026036	0.312695416	7.372186952	2.882092657	21.78859435	4.445501222	NA	NA	NA	NA	2.311135639	2.570256684	2.05E-07	8.63E-05	21.88423496	4.451826638	meanmale	3.666947009	1.874618761	meanfemale	FC1
TRINITY_DN127904_c4_g1_i1	0.441507432	2	-1.179490372	2.649851172	1.405911333	3.608337898	1.851334444	0.258157068	-1.953678997	1.353900435	0.437121648	1.04124868	0.058314667	0.33785448	-1.565526109	0.209065026	-2.257976358	3.56991108	1.83588814	taok3	Chr01	156808132	156808132	1.740974483	2.621237956	5.44E-07	0.000201866	2.795500146	1.483158027	meanmale	0.457566537	-1.127631283	meanfemale	FC1
TRINITY_DN96852_c0_g2_i1	9.553967446	2	3.256099961	27.99319825	4.807004421	18.75507696	4.229209278	13.44220471	3.748697875	32.88021881	5.039147995	0.912755596	-0.131699486	0.533092076	-0.907543357	0.618522074	-0.693103011	44.83989829	5.486711101	NA	NA	NA	NA	2.937811116	2.652243532	0.000382691	0.036763581	31.11709808	4.959640255	meanmale	5.01210838	2.325446395	meanfemale	FC1
TRINITY_DN129489_c0_g1_i5	0.337764173	2	-1.565911787	0.582918188	-0.778634678	5.124956096	2.357539646	0.311836708	-1.681137329	0.597284707	-0.743509312	0.086956227	-3.523566846	0.218664162	-2.193211306	0.353551463	-1.500007866	0.418413143	-1.256999925	NA	NA	NA	NA	1.823699388	2.677352689	9.85E-05	0.012939809	1.680893034	0.749313746	meanmale	0.261754547	-1.93316244	meanfemale	FC1
TRINITY_DN121831_c0_g1_i1	214.754401	2	7.746543887	433.2860849	8.759176095	660.7956204	9.368060315	50.86405272	5.668574512	936.8042457	9.871603804	65.54447946	6.034402368	52.68986631	5.719453614	45.05327776	5.493560165	295.5950967	8.207478528	frmd8	Chr04	38983942	38983942	8.678868271	2.771942266	1.17E-07	5.13E-05	581.6202619	9.183933967	meanmale	85.78121545	6.422591535	meanfemale	FC1
TRINITY_DN124874_c1_g1_i1	0.334915365	2	-1.57813153	1.078592411	0.109149788	1.717449814	0.780267942	0.111903334	-3.159675075	3.929511983	1.974350151	0.819116708	-0.287859073	0.094921146	-3.397126671	0.158590964	-2.656617522	1.715983282	0.779035497	Xetrov90019353m	Chr07	108127519	108127519	0.712397445	2.824940801	1.86E-05	0.003700872	2.110384373	1.077574147	meanmale	0.303889503	-1.717906586	meanfemale	FC1
TRINITY_DN123466_c0_g1_i2	0.193762776	2	-2.367636655	2.410953757	1.26960398	4.16077423	2.056852008	0.194222507	-2.364217701	0.93002307	-0.104661591	0.135398239	-2.88471912	0.373428241	-1.421097057	0.412882265	-1.276197645	0.124096159	-3.010469633	NA	NA	NA	NA	1.356108534	2.826820412	5.25E-05	0.008126081	1.906461804	0.930973299	meanmale	0.261938806	-1.932147617	meanfemale	FC1
TRINITY_DN129430_c0_g1_i1	2.32327212	2	1.216158144	46.81968469	5.549043313	31.14953388	4.96113867	5.925462593	2.566927788	15.03353365	3.910112251	6.169164422	2.625075098	3.081582738	1.623671527	0.568399767	-0.815022132	10.76283179	3.427985808	NA	NA	NA	NA	5.385731566	2.836859147	4.64E-07	0.000175677	25.941396	4.697189775	meanmale	3.613576328	1.853467292	meanfemale	FC1
TRINITY_DN93825_c0_g1_i2	0.030119198	2	-5.053172835	3.580132005	1.840012783	2.973193131	1.57201318	0.246557059	-2.020006537	2.979670094	1.575152606	1.104956994	0.14399022	0.370476813	-1.432544843	0.024958864	-5.324303918	1.147752805	0.198811958	NA	NA	NA	NA	1.688909683	2.904174817	7.64E-05	0.010873964	2.670187009	1.416994815	meanmale	0.355413786	-1.492022591	meanfemale	FC1
TRINITY_DN122892_c0_g1_i1	0.625102441	2	-0.677835459	1.080917688	0.112256666	5.171425403	2.370561986	1.781852769	0.833378135	5.396495768	2.432022893	0.095552471	-3.387563008	0.403051457	-1.310964058	0.550378613	-0.861503685	12.74237093	3.671561835	LOC100492550	Chr01	98813361	98813361	2.45382808	3.152822812	2.26E-06	0.000668413	6.097802447	2.608313071	meanmale	0.69118755	-0.532642151	meanfemale	FC3
TRINITY_DN117521_c0_g1_i1	0.167029103	2	-2.581828596	3.480153311	1.799150862	0.56209594	-0.8311117	0.976648191	-0.034089128	2.805973513	1.488501391	0	NA	0.044183165	-4.500359422	0	NA	1.560044349	0.641587043	NA	NA	NA	NA	0.46461221	3.196010304	0.000406766	0.037551488	2.102066778	1.071877132	meanmale	0.237572092	-2.072955587	meanfemale	FC3
TRINITY_DN121044_c0_g1_i1	1.816219645	2	0.860938686	8.478272344	3.08377031	7.198632854	2.84772294	1.415966917	0.501787558	10.69776635	3.419237694	0.246778077	-2.018713859	0.368332148	-1.440920774	0.234118272	-2.094690559	8.097201144	3.017423316	elp2	Chr06	61012013	61012013	2.87132367	3.422606114	6.65E-10	4.34E-07	8.617968173	3.107364511	meanmale	0.816283012	-0.292681933	meanfemale	FC3
TRINITY_DN130177_c4_g1_i1	0.049276093	2	-4.342968318	1.161346331	0.21579827	0.663306969	-0.592251411	0.115250352	-3.117156938	1.195717348	0.257876396	0	NA	0.146640343	-2.769646029	0.081667203	-3.614099372	0.883654094	-0.178446357	slc5a11-like	Chr09	13427778	13427778	0.489791789	3.473940594	1.07E-09	6.72E-07	0.976006186	-0.034889995	meanmale	0.078566798	-3.668101324	meanfemale	FC3
TRINITY_DN130651_c1_g2_i1	2.563896733	2	1.358338155	105.0892196	6.71547087	0.575211512	-0.797835545	1.599098639	0.677258933	1.595247904	0.673780638	4.180420628	2.063648112	1.424244329	0.510196662	1.841340213	0.880756209	2.490454799	1.316409227	NA	NA	NA	NA	2.454401005	3.533389114	0.000391561	0.037051431	27.43753345	4.778084147	meanmale	2.321800108	1.215305907	meanfemale	FC3
TRINITY_DN127236_c4_g6_i1	4.210504898	2	2.073993243	6.574496634	2.716880441	7.646995663	2.934893056	0	NA	208.8324529	7.706202116	14.22078571	3.829929272	5.250670339	2.39250162	2.492226772	1.317435348	48.08999115	5.587664756	NA	NA	NA	NA	3.50875595	3.693907945	9.81E-05	0.012939809	67.78598409	6.082917225	meanmale	5.234837544	2.388172325	meanfemale	FC3
TRINITY_DN129354_c0_g1_i2	0.278070481	2	-1.846477494	1.10414025	0.142923438	1.130732679	0.177257896	0	NA	1.29760887	0.375855586	0	NA	0.041375389	-4.595083314	0.05760714	-4.117608555	0.818107243	-0.289638121	ccdc135	Chr04	28065592	28065592	0.154846418	3.799982639	1.76E-08	9.02E-06	1.087647261	0.121343383	meanmale	0.075410602	-3.727176971	meanfemale	FC3
TRINITY_DN130291_c2_g1_i1	0.168400442	2	-2.57003217	1.811883097	0.857489875	4.155879561	2.055153845	0	NA	1.571672812	0.652300911	0	NA	0.300684939	-1.733675488	0.27909666	-1.841163235	3.302990449	1.723772798	dlx3	Chr10	9665319	9665319	0.195591112	3.900855771	1.75E-09	1.07E-06	2.71060648	1.438668904	meanmale	0.149636408	-2.739503042	meanfemale	FC3
TRINITY_DN124380_c13_g1_i1	0	2	NA	0.09826014	-3.347249895	1.129447569	0.1756173	0.953179413	-0.069180303	0.357979894	-1.482049534	0.117262851	-3.092182057	0.038048336	-4.716022829	0.039731151	-4.653585601	15.26139093	3.931814551	Xetrov90008305m	Chr03	68392753	68392753	1.553500426	4.205536924	0.000450036	0.0397987	4.211769633	2.074460782	meanmale	0.22964435	-2.121898711	meanfemale	FC3
TRINITY_DN123704_c2_g4_i2	0.198896231	2	-2.329912157	4.891425496	2.290254967	3.012016645	1.590729743	0.290745207	-1.782172686	16.33533854	4.029924449	0.790479537	-0.339199979	0.039459583	-4.66348048	0.247228896	-2.01608072	1.393261426	0.478465985	NA	NA	NA	NA	2.065927622	4.389597627	1.02E-08	5.53E-06	6.408010527	2.679899031	meanmale	0.313361891	-1.673638037	meanfemale	FC3
TRINITY_DN128940_c2_g1_i1	0.54498288	2	-0.875717185	7.005947976	2.808580275	2.334191643	1.222923015	0.579383565	-0.787409334	5.733644642	2.519452492	0.181757419	-2.459913841	0.255557989	-1.968277403	0.041055523	-4.606279876	16.32538932	4.029045492	NA	NA	NA	NA	2.35618885	4.625186163	4.23E-13	4.01E-10	7.849793395	2.972673062	meanmale	0.320547475	-1.640940048	meanfemale	FC3
TRINITY_DN134012_c5_g2_i1	0.513292639	2	-0.962146524	8.731136367	3.126169434	5.757872993	2.525535966	0.240104901	-2.058263243	11.88052493	3.570526677	0.251076314	-1.993802161	0.733201714	-0.447717936	0.255210009	-1.970243184	33.94244239	5.085018475	NA	NA	NA	NA	2.223960208	5.118567006	2.44E-16	3.55E-13	15.07799417	3.914382182	meanmale	0.398577115	-1.3267073	meanfemale	FC5
TRINITY_DN113348_c0_g3_i1	0.533103934	2	-0.907511267	14.20309141	3.828133072	6.877122691	2.781805084	0.311715134	-1.681699894	6.965604884	2.80024864	0.325958723	-1.617238811	0.10576399	-3.241079586	0	NA	11.95000053	3.578938777	NA	NA	NA	NA	1.2830432	5.372521516	1.11E-17	1.90E-14	9.998954879	3.321791736	meanmale	0.255308356	-1.969122368	meanfemale	FC5
TRINITY_DN179330_c0_g1_i1	0.364643091	2	-1.455443036	0.653888478	-0.612883493	24.08218864	4.589894608	0.852852607	-0.229631663	30.96907932	4.952756589	0	NA	0.108513854	-3.204048851	0.339939732	-1.556649102	0.408690018	-1.290921088	NA	NA	NA	NA	3.281901957	5.415179576	2.76E-07	0.000113613	14.02846161	3.810295188	meanmale	0.333189857	-1.585150683	meanfemale	FC5
TRINITY_DN126089_c1_g1_i2	0.082656352	2	-3.596730497	12.90235029	3.689561986	0.44814652	-1.157957601	0.032220404	-4.955881606	0.077142756	-3.696325501	0.202156146	-2.306458029	0.005466142	-7.515261346	0.011415801	-6.452824099	0.679365837	-0.557739423	NA	NA	NA	NA	3.002635141	5.704305392	8.36E-07	0.000277445	3.526751351	1.818380771	meanmale	0.066782969	-3.902217298	meanfemale	FC5
TRINITY_DN131507_c1_g1_i1	0	2	NA	0	NA	9.635424179	3.268348179	0	NA	6.852939326	2.776722914	0	NA	0.027485779	-5.185170821	0	NA	5.124152964	2.357313543	NA	NA	NA	NA	1.282101141	8.292111058	9.98E-12	8.58E-09	5.403129117	2.433821859	meanmale	0.005497156	-7.481090378	meanfemale	FC7
TRINITY_DN135864_c0_g11_i1	0	2	NA	4.059738066	2.021386648	8.063119429	3.011338091	0	NA	9.402454535	3.233037425	0	NA	0	NA	0	NA	6.280056675	2.650777579	NA	NA	NA	NA	1.921024505	10.05841231	3.99E-33	3.78E-29	6.951342176	2.797312317	meanmale	0	-13.28771238	meanfemale	FC7
