gid	Am2_463	base	logAm2_463	Am2_464	logAm2_464	Am4_461	logAm4_461	Am6_462	logAm6_462	Am6_464	logAm6_464	gname	chr	start	end	logCPM	logFC.XY46.XX46	PV.XY46.XX46	FDR.XY46.XX46	meanXY	meanXX	log2meanXY	male	female	log2meanXX	cutoff
TRINITY_DN111588_c1_g2_i1	0.178432215	2	-2.486551985	6.176182252	2.626715325	0.253024319	-1.982652041	0.109046619	-3.196983055	5.950658169	2.573049246	NA	NA	NA	NA	0.827799751	-4.972864332	1.58E-14	5.39E-13	0.180167718	6.063420211	-2.471787033	meanmale	meanfemale	2.600155602	FC3
TRINITY_DN47771_c0_g1_i1	0.156937143	2	-2.671741253	4.904033601	2.293968864	0.133526046	-2.904806909	0.047955087	-4.382172328	2.321078415	1.214795263	NA	NA	NA	NA	0.271809107	-4.941982303	3.58E-11	8.64E-10	0.112806092	3.612556008	-3.146804764	meanmale	meanfemale	1.85305989	FC3
TRINITY_DN112243_c0_g1_i1	0.496538828	2	-1.010021558	13.29946349	3.733296142	0.241410088	-2.05044213	0.260103001	-1.94284505	6.829472404	2.771774131	NA	NA	NA	NA	1.857773331	-4.935110583	2.52E-18	1.21E-16	0.332683972	10.06446795	-1.587342143	meanmale	meanfemale	3.331213336	FC3
TRINITY_DN117798_c2_g1_i1	0.232991296	2	-2.101652035	6.12317442	2.614279779	0.088104365	-3.504642693	0.09492648	-3.397045603	2.252227924	1.171352835	NA	NA	NA	NA	0.485529111	-4.930084147	7.11E-11	1.66E-09	0.138674047	4.187701172	-2.849190309	meanmale	meanfemale	2.066192948	FC3
TRINITY_DN98315_c0_g1_i3	0.390105023	2	-1.35806552	11.03811863	3.464422391	0.347716401	-1.524016978	0.476815621	-1.068496594	14.06036679	3.813562325	NA	NA	NA	NA	2.519211141	-4.90618476	8.47E-26	6.50E-24	0.404879015	12.54924271	-1.304080942	meanmale	meanfemale	3.649539898	FC3
TRINITY_DN122919_c1_g3_i3	0.463753011	2	-1.108571446	11.23094087	3.489406889	0.246607913	-2.019709002	0.425125288	-1.234040017	11.41459285	3.512807496	cd36	Chr03	69540028	69540028	3.307633521	-4.891035187	1.08E-28	9.74E-27	0.378495404	11.32276686	-1.401271197	meanmale	meanfemale	3.501167378	FC3
TRINITY_DN127094_c2_g4_i3	0.243528591	2	-2.037836936	5.209839052	2.381238804	0.138133477	-2.855865092	0.074414728	-3.748268005	3.707687779	1.890519761	NA	NA	NA	NA	0.931461433	-4.888180697	5.57E-14	1.79E-12	0.152025599	4.458763416	-2.716665154	meanmale	meanfemale	2.156676008	FC3
TRINITY_DN111329_c0_g1_i2	0.252708081	2	-1.984456296	12.21822414	3.610962707	0.12286306	-3.024876875	0.39712985	-1.332317291	3.329217011	1.735182914	nos3	Chr06	361	361	2.452307675	-4.883984732	1.30E-14	4.48E-13	0.257566997	7.773720576	-1.956420332	meanmale	meanfemale	2.95862381	FC3
TRINITY_DN98982_c0_g1_i2	0.640469467	2	-0.6427983	32.97119223	5.04313415	0.893075527	-0.163145906	1.109008918	0.149270967	20.58556166	4.363560907	kpna1	scaffold_327	13306	13306	4.66450015	-4.882112446	4.39E-37	5.42E-35	0.880851304	26.77837695	-0.182865821	meanmale	meanfemale	4.743002003	FC3
TRINITY_DN108668_c0_g1_i1	0.114513681	2	-3.126408127	6.330959766	2.662424227	0.194862207	-2.359473784	0.209950815	-2.251876706	4.350333636	2.121126048	fkbpl	Chr08	54065238	54065238	1.26766909	-4.830071634	3.10E-16	1.23E-14	0.173108901	5.340646701	-2.529415025	meanmale	meanfemale	2.417041462	FC3
TRINITY_DN128272_c5_g1_i4	0.391771946	2	-1.351914002	23.87237569	4.57727024	1.30554003	0.384646694	0.448924743	-1.155454481	18.80291691	4.23288458	NA	NA	NA	NA	3.465461824	-4.823442251	1.90E-21	1.12E-19	0.71541224	21.3376463	-0.482951649	meanmale	meanfemale	4.415335901	FC3
TRINITY_DN126545_c0_g3_i5	10.50014109	2	3.392336808	212.5289125	7.731515309	6.719426265	2.748338054	2.838301747	1.505027974	169.5837538	7.405854155	hla-drb1	Chr08	51404035	51404035	6.165294835	-4.814448198	2.21E-23	1.46E-21	6.685956367	191.0563332	2.741155518	meanmale	meanfemale	7.577855026	FC3
TRINITY_DN126786_c0_g1_i1	0.495089503	2	-1.014238734	26.35128029	4.719801153	1.103233297	0.141737905	0.583523545	-0.777137225	16.08035517	4.007227367	NA	NA	NA	NA	3.92738162	-4.810286839	2.96E-26	2.37E-24	0.727282115	21.21581773	-0.459214642	meanmale	meanfemale	4.407075181	FC3
TRINITY_DN124336_c0_g2_i1	0.050841575	2	-4.297847466	3.177435115	1.667862665	0.100933662	-3.308520692	0.077677984	-3.686350431	1.474391759	0.560119912	NA	NA	NA	NA	1.234847135	-4.809148921	3.39E-14	1.12E-12	0.076484407	2.325913437	-3.706805508	meanmale	meanfemale	1.217859431	FC3
TRINITY_DN118157_c1_g1_i1	7.460774744	2	2.899325451	265.6884609	8.053591761	9.448527795	3.240089556	8.832353801	3.142797964	219.4357355	7.77765468	NA	NA	NA	NA	7.029943373	-4.79145185	2.60E-38	3.45E-36	8.580552113	242.5620982	3.101087294	meanmale	meanfemale	7.922210923	FC3
TRINITY_DN181076_c0_g1_i1	0.532317549	2	-0.909640966	30.81141263	4.945392923	0.996399984	-0.005203096	0.943425735	-0.084019139	16.70290228	4.062026901	NA	NA	NA	NA	3.503310808	-4.788743062	6.20E-25	4.42E-23	0.824047756	23.75715746	-0.279025083	meanmale	meanfemale	4.570296395	FC3
TRINITY_DN135334_c1_g1_i2	0	2	NA	16.69900246	4.061690019	0	NA	1.025521527	0.036357776	3.309090557	1.726434773	NA	NA	NA	NA	1.605118365	-4.780873057	6.44E-06	7.19E-05	0.341840509	10.00404651	-1.548182749	meanmale	meanfemale	3.322526186	FC3
TRINITY_DN131258_c0_g1_i1	0.248439113	2	-2.009035773	12.38150518	3.630114804	0.422756422	-1.242101424	0.328965996	-1.603989629	6.724355143	2.749395922	NA	NA	NA	NA	2.55712834	-4.768956958	5.76E-22	3.57E-20	0.333387177	9.552930162	-1.584296806	meanmale	meanfemale	3.25595842	FC3
TRINITY_DN127929_c1_g1_i2	4.177774971	2	2.062734786	160.6753927	7.328005188	6.947540159	2.796502269	4.642172681	2.21480019	131.893009	7.043224286	uqcrfs1	Chr04	23989119	23989119	5.286360374	-4.758407285	4.89E-40	6.98E-38	5.25582927	146.2842009	2.393945861	meanmale	meanfemale	7.192631138	FC3
TRINITY_DN126594_c0_g1_i4	1.535063685	2	0.61829851	58.17874267	5.862420213	1.650457344	0.722865853	1.72224782	0.784292752	32.02525002	5.001137929	NA	NA	NA	NA	5.643431242	-4.757977301	8.29E-37	1.01E-34	1.63592295	45.10199635	0.710192986	meanmale	meanfemale	5.495122586	FC3
TRINITY_DN119209_c1_g2_i1	2.829011071	2	1.500297823	84.97240659	6.40892252	2.232573563	1.158707713	2.630957258	1.395587811	55.07417531	5.783304082	NA	NA	NA	NA	4.853963789	-4.749591455	9.30E-40	1.30E-37	2.564180631	70.02329095	1.358554157	meanmale	meanfemale	6.129765022	FC3
TRINITY_DN136189_c1_g1_i5	2.744622392	2	1.456607675	40.33784332	5.334062047	0.889597475	-0.168775402	0.718860721	-0.476215819	34.33882265	5.10176867	mtrf1	Chr02	129102323	129102323	2.292192802	-4.748772168	1.15E-19	6.06E-18	1.451026863	37.33833299	0.53717365	meanmale	meanfemale	5.222589477	FC3
TRINITY_DN126507_c0_g1_i2	0.062290732	2	-4.004838664	5.14071763	2.36196977	0.158995539	-2.652941807	0.164962212	-2.599792512	2.11952596	1.083741637	NA	NA	NA	NA	3.154852359	-4.746469234	4.12E-19	2.10E-17	0.128749494	3.630121795	-2.956241219	meanmale	meanfemale	1.860057695	FC3
TRINITY_DN82182_c0_g1_i1	0.267451378	2	-1.902651458	24.42939883	4.610546456	1.213623046	0.279320387	0.40862392	-1.291154436	12.56474704	3.651309721	NA	NA	NA	NA	1.825254061	-4.746248675	2.42E-15	8.95E-14	0.629899448	18.49707294	-0.66657753	meanmale	meanfemale	4.209232884	FC3
TRINITY_DN100904_c0_g1_i1	0.460084079	2	-1.120030561	12.23878703	3.613388676	0.17397824	-2.52302122	0.281174636	-1.830461636	4.091642427	2.032680072	NA	NA	NA	NA	0.474489076	-4.73466241	3.40E-10	7.28E-09	0.305078985	8.165214729	-1.712272475	meanmale	meanfemale	3.029508495	FC3
TRINITY_DN125454_c3_g1_i1	0.868152283	2	-0.203979966	38.39706936	5.262924297	1.477291349	0.56295438	1.002169684	0.003126801	22.00584482	4.459814854	NA	NA	NA	NA	4.578433001	-4.716268033	9.04E-33	9.84E-31	1.115871105	30.20145709	0.158299673	meanmale	meanfemale	4.916551027	FC3
TRINITY_DN122373_c0_g2_i1	0.276400321	2	-1.855168804	5.093654321	2.348701055	0.078389435	-3.673196963	0.056306201	-4.150562375	1.763417392	0.818373994	NA	NA	NA	NA	0.94952114	-4.715465903	1.98E-10	4.36E-09	0.137031986	3.428535857	-2.86636298	meanmale	meanfemale	1.777634689	FC3
TRINITY_DN126578_c1_g1_i7	3.50400636	2	1.809005394	92.47794307	6.531037404	2.543365724	1.34673893	2.667713279	1.415603617	62.19196203	5.958656227	bche	Chr08	101052554	101052554	6.0479445	-4.713034011	2.28E-37	2.89E-35	2.905028454	77.33495255	1.538601956	meanmale	meanfemale	6.273050567	FC3
TRINITY_DN127990_c0_g1_i1	0.077316831	2	-3.693073683	2.378857122	1.250268624	0.043855396	-4.511101826	0.118128038	-3.081576662	2.040371896	1.028832134	NA	NA	NA	NA	0.598746987	-4.712424001	5.93E-13	1.74E-11	0.079766755	2.209614509	-3.646261092	meanmale	meanfemale	1.143859988	FC3
TRINITY_DN105578_c0_g1_i1	0.079602808	2	-3.651036867	2.39816645	1.261931796	0.06020272	-4.054027519	0.210809134	-2.245990717	4.062888955	2.022505934	NA	NA	NA	NA	1.661863474	-4.703992967	9.88E-16	3.76E-14	0.116871554	3.230527703	-3.095770368	meanmale	meanfemale	1.691814504	FC3
TRINITY_DN128381_c1_g2_i2	0.594871395	2	-0.749350288	6.863547871	2.77895452	0.168710487	-2.567378441	0	NA	5.290339635	2.403360345	NA	NA	NA	NA	0.69966465	-4.700152692	1.22E-10	2.78E-09	0.254527294	6.076943753	-1.973541022	meanmale	meanfemale	2.603369679	FC3
TRINITY_DN113362_c0_g2_i1	0.150130699	2	-2.735709083	6.567880441	2.715427865	0.255469907	-1.968774736	0.321126753	-1.638785234	7.096611111	2.82713025	NA	NA	NA	NA	1.247936476	-4.699957593	3.96E-16	1.55E-14	0.242242453	6.832245776	-2.04488094	meanmale	meanfemale	2.77238099	FC3
TRINITY_DN120873_c2_g2_i1	0.380992057	2	-1.392167174	7.20428713	2.848855682	0.216105047	-2.210195329	0.15522569	-2.68756075	5.634819298	2.494369346	NA	NA	NA	NA	1.395212049	-4.692226994	4.06E-16	1.58E-14	0.250774265	6.419553214	-1.994963612	meanmale	meanfemale	2.682495366	FC3
TRINITY_DN129285_c0_g1_i3	0.123376247	2	-3.018863428	7.651306568	2.935706129	0.192447926	-2.377459971	0.395849221	-1.336977083	5.348926645	2.419249419	NA	NA	NA	NA	2.431883104	-4.687914515	1.26E-20	7.07E-19	0.237224465	6.500116607	-2.075067266	meanmale	meanfemale	2.700487794	FC3
TRINITY_DN125143_c3_g4_i3	0.07280978	2	-3.77972394	4.200348306	2.070508966	0.144546224	-2.790397173	0.133490362	-2.905192512	2.322610047	1.215746954	NA	NA	NA	NA	1.214427065	-4.682222835	1.52E-14	5.20E-13	0.116948789	3.261479177	-3.094818091	meanmale	meanfemale	1.705570651	FC3
TRINITY_DN79505_c0_g1_i1	0.557924606	2	-0.841857915	17.37235095	4.118721098	0.608584883	-0.716469597	0.655708947	-0.608872515	14.48701932	3.856688888	NA	NA	NA	NA	4.239887691	-4.675327817	1.79E-38	2.40E-36	0.607406145	15.92968514	-0.719029092	meanmale	meanfemale	3.993654902	FC3
TRINITY_DN117339_c0_g2_i1	0.330123908	2	-1.598920471	9.152003237	3.194087562	0.296481992	-1.753983615	0.269001469	-1.894314044	6.31851191	2.659584825	NA	NA	NA	NA	2.848068656	-4.667991936	1.47E-25	1.08E-23	0.29853579	7.735257574	-1.743541021	meanmale	meanfemale	2.951467983	FC3
TRINITY_DN119517_c0_g1_i1	1.151892611	2	0.204006223	33.36795469	5.060391353	0.971682469	-0.041443155	0.848367808	-0.237238217	17.62733473	4.139742449	NA	NA	NA	NA	4.461323219	-4.667224528	1.69E-32	1.82E-30	0.990647629	25.49764471	-0.013410485	meanmale	meanfemale	4.67229774	FC3
TRINITY_DN117624_c0_g1_i1	0.178344663	2	-2.487260051	4.687022618	2.228671757	0.202320132	-2.305288212	0.054496556	-4.197691131	2.844570499	1.508210837	NA	NA	NA	NA	1.710287733	-4.66514899	5.67E-16	2.19E-14	0.145053784	3.765796559	-2.784345916	meanmale	meanfemale	1.912993373	FC3
TRINITY_DN121732_c0_g1_i1	0.215119805	2	-2.216787742	4.178073732	2.062837952	0.12201954	-3.034815898	0	NA	1.372451391	0.456755053	myf6	Chr03	43029921	43029921	0.748369652	-4.663305461	4.90E-09	9.05E-08	0.112379782	2.775262562	-3.152262396	meanmale	meanfemale	1.472676251	FC3
TRINITY_DN134780_c2_g1_i3	1.147138502	2	0.198039588	53.45119126	5.740150196	1.551612203	0.633768027	1.563901656	0.645149793	19.66573903	4.297612498	NA	NA	NA	NA	5.40352741	-4.658626588	6.28E-26	4.89E-24	1.42088412	36.55846515	0.506890432	meanmale	meanfemale	5.192137543	FC3
TRINITY_DN127557_c3_g1_i1	0.230333601	2	-2.118203208	4.473557273	2.161422487	0.182908682	-2.450804539	0.112612402	-3.150562375	4.315028922	2.109370229	mettl22	Chr09	35084843	35084843	2.297990925	-4.639601885	3.22E-23	2.10E-21	0.175284895	4.394293098	-2.511403594	meanmale	meanfemale	2.135663931	FC3
TRINITY_DN126672_c0_g1_i2	0.047493326	2	-4.396131397	2.328879908	1.219636247	0.080817019	-3.629197052	0.043537429	-4.521599975	0.743738457	-0.427132722	NA	NA	NA	NA	0.748367818	-4.637775515	1.68E-10	3.75E-09	0.057282591	1.536309183	-4.12324307	meanmale	meanfemale	0.619562491	FC3
TRINITY_DN126311_c2_g1_i1	0	2	NA	4.791106971	2.260359025	0.277102439	-1.851508686	0.29855909	-1.743911601	6.403592557	2.678881516	NA	NA	NA	NA	0.614193583	-4.633231807	2.54E-12	6.92E-11	0.191887176	5.597349764	-2.380918145	meanmale	meanfemale	2.484769675	FC3
TRINITY_DN123382_c0_g1_i1	4.422121528	2	2.144738674	132.3187295	7.047873477	5.03171237	2.331049455	4.444512888	2.15202531	102.0669286	6.673371674	NA	NA	NA	NA	6.806664093	-4.632639716	1.45E-36	1.76E-34	4.632782262	117.1928291	2.211910019	meanmale	meanfemale	6.872741716	FC3
TRINITY_DN127143_c0_g2_i1	0.126908667	2	-2.978137496	3.864007567	1.950097919	0	NA	0.206823057	-2.273531066	1.766551959	0.820936183	NA	NA	NA	NA	0.798980756	-4.626838288	1.16E-09	2.31E-08	0.111243908	2.815279763	-3.166905469	meanmale	meanfemale	1.493329539	FC3
TRINITY_DN129243_c2_g1_i1	0.450503746	2	-1.150388993	19.867349	4.312327474	0.528102021	-0.921111432	0.477220875	-1.067270943	4.598698802	2.20122571	NA	NA	NA	NA	3.383994702	-4.625508962	8.23E-16	3.15E-14	0.485275547	12.2330239	-1.042826666	meanmale	meanfemale	3.612720958	FC3
TRINITY_DN132659_c0_g1_i2	3.073349009	2	1.619811608	90.20973647	6.495211249	2.822833916	1.497144249	2.154730861	1.107507679	40.34660709	5.334375451	NA	NA	NA	NA	6.742530364	-4.58293117	4.44E-26	3.51E-24	2.683637929	65.27817178	1.424243797	meanmale	meanfemale	6.028530958	FC3
TRINITY_DN113820_c0_g1_i1	1.612566582	2	0.68935873	60.40963015	5.916706649	1.984671415	0.988900173	1.933811161	0.951446921	29.54072371	4.884633266	tasp1	Chr05	33375064	33375064	5.241197213	-4.5794477	7.92E-32	8.30E-30	1.843683053	44.97517693	0.882668912	meanmale	meanfemale	5.49106026	FC3
TRINITY_DN136526_c4_g4_i1	2.047499272	2	1.033862939	59.84011365	5.90304101	2.042419379	1.030279132	2.890942795	1.531540062	53.97157099	5.754127776	NA	NA	NA	NA	5.361025495	-4.57870979	2.02E-40	2.95E-38	2.326953815	56.90584232	1.218504575	meanmale	meanfemale	5.830507407	FC3
TRINITY_DN33369_c0_g1_i1	11.30500023	2	3.498889116	238.4141363	7.89732597	7.62226851	2.930220431	7.756228748	2.955355352	192.6844432	7.590096287	NA	NA	NA	NA	5.688616814	-4.578667711	3.35E-38	4.43E-36	8.894499163	215.5492898	3.152929592	meanmale	meanfemale	7.751874668	FC3
TRINITY_DN133025_c0_g2_i6	0.20052817	2	-2.318123176	15.42445088	3.947147224	0.299867702	-1.737601953	0.902415738	-0.148135867	7.602133401	2.926404342	NA	NA	NA	NA	4.015307853	-4.57768225	2.31E-16	9.30E-15	0.46760387	11.51329214	-1.096332729	meanmale	meanfemale	3.525241046	FC3
TRINITY_DN132480_c0_g2_i5	0.852407182	2	-0.230385346	21.44568078	4.422615209	0.894474197	-0.16088823	0.911641498	-0.133461497	21.48955034	4.42556339	NA	NA	NA	NA	5.267920814	-4.565611906	5.28E-45	8.44E-43	0.886174292	21.46761556	-0.174174828	meanmale	meanfemale	4.424096773	FC3
TRINITY_DN125586_c2_g1_i4	3.946821961	2	1.980691442	106.1976315	6.73060778	2.001265002	1.000912218	6.249404679	2.643718765	89.44968879	6.483004558	fkbp15	scaffold_389	85738	85738	5.384061596	-4.56193536	1.19E-25	8.88E-24	4.065830547	97.82366015	2.023585572	meanmale	meanfemale	6.612113015	FC3
TRINITY_DN120485_c1_g3_i1	0	2	NA	4.947888556	2.306813006	0.27580497	-1.85827964	0.247634295	-2.013716967	4.347779124	2.12027865	NA	NA	NA	NA	1.574185821	-4.556338704	3.01E-15	1.11E-13	0.174479755	4.64783384	-2.518041827	meanmale	meanfemale	2.216589533	FC3
TRINITY_DN95685_c0_g2_i1	0	2	NA	6.883479891	2.783138093	0.520616704	-0.941706493	0	NA	2.555254954	1.353467245	NA	NA	NA	NA	0.433509641	-4.537651236	3.24E-07	4.53E-06	0.173538901	4.719367423	-2.525837896	meanmale	meanfemale	2.238624065	FC3
TRINITY_DN131492_c6_g1_i2	7.535037672	2	2.913614725	179.8344869	7.490525903	6.410998501	2.680549071	6.422685231	2.683176593	137.8651008	7.107113489	NA	NA	NA	NA	6.35645317	-4.522730192	5.90E-38	7.67E-36	6.789573801	158.8497939	2.763342264	meanmale	meanfemale	7.311520316	FC3
TRINITY_DN127961_c1_g14_i2	0.202872529	2	-2.301354572	5.461671921	2.449342655	0.253159898	-1.981879203	0.024796602	-5.333713755	2.094436202	1.066561939	NA	NA	NA	NA	1.275617061	-4.520638905	1.25E-10	2.84E-09	0.160276343	3.778054062	-2.640466748	meanmale	meanfemale	1.917681532	FC3
TRINITY_DN112287_c0_g1_i1	0.489137007	2	-1.031689475	20.80172495	4.378631261	0.533551281	-0.906301156	0.781816846	-0.355097424	7.550699034	2.916610213	NA	NA	NA	NA	3.27669296	-4.519658117	3.46E-18	1.63E-16	0.601501711	14.17621199	-0.733119424	meanmale	meanfemale	3.825410355	FC3
TRINITY_DN125009_c0_g1_i1	0.332844709	2	-1.58707886	19.6069592	4.293293903	0.767766612	-0.381260272	0.69160721	-0.531975186	8.558466113	3.097352253	NA	NA	NA	NA	4.026782955	-4.510002899	1.30E-21	7.78E-20	0.597406177	14.08271266	-0.742974467	meanmale	meanfemale	3.815863597	FC3
TRINITY_DN126214_c1_g1_i4	0.067836212	2	-3.881800578	5.21790189	2.383469818	0.346300473	-1.529903737	0.12437176	-3.007269152	3.973807747	1.990522077	NA	NA	NA	NA	0.838275369	-4.505690484	5.21E-12	1.37E-10	0.179502815	4.595854819	-2.477118133	meanmale	meanfemale	2.200364615	FC3
TRINITY_DN128099_c4_g2_i2	0.480444122	2	-1.057559447	10.48406937	3.3901269	0.367304061	-1.444953248	0.306383397	-1.706589976	7.135990021	2.835113598	NA	NA	NA	NA	3.4398385	-4.503384249	1.18E-25	8.78E-24	0.384710527	8.810029696	-1.37777983	meanmale	meanfemale	3.139163257	FC3
TRINITY_DN116451_c0_g2_i3	0.219166921	2	-2.189898027	15.21445989	3.927371214	0.223767238	-2.15992927	0.99116433	-0.012803826	7.271013103	2.862156395	NA	NA	NA	NA	2.724443034	-4.494165466	1.92E-13	5.89E-12	0.47803283	11.2427365	-1.064516627	meanmale	meanfemale	3.490934159	FC3
TRINITY_DN134297_c1_g1_i1	0.147033342	2	-2.76578475	12.58201421	3.653290992	0.25019929	-1.998850399	0.808718311	-0.306290818	7.333953843	2.874591186	exosc9	Chr01	57467351	57467351	0.83327794	-4.489024016	3.53E-11	8.53E-10	0.401983648	9.957984027	-1.31443243	meanmale	meanfemale	3.315868189	FC3
TRINITY_DN132277_c2_g1_i1	0.404043982	2	-1.30741575	7.270197913	2.861994638	0.130960276	-2.932798827	0.123463216	-3.017846818	2.326694155	1.21828158	NA	NA	NA	NA	2.10691896	-4.488467729	1.24E-12	3.50E-11	0.219489158	4.798446034	-2.18712127	meanmale	meanfemale	2.262597333	FC3
TRINITY_DN133319_c2_g2_i1	1.906752216	2	0.931117376	63.3233407	5.984665464	2.026336652	1.018873881	2.236816799	1.161447101	30.18995825	4.915996857	NA	NA	NA	NA	5.776454958	-4.482114694	7.07E-30	6.73E-28	2.056635222	46.75664948	1.040356078	meanmale	meanfemale	5.547102732	FC3
TRINITY_DN128047_c0_g2_i1	0.176714519	2	-2.500507517	5.674963001	2.504610987	0.230541469	-2.116901814	0.377989046	-1.403583669	6.334095383	2.663138593	pnmt	Chr10	3017738	3017738	3.129206386	-4.457855533	7.72E-24	5.21E-22	0.261748345	6.004529192	-1.93319661	meanmale	meanfemale	2.586075157	FC3
TRINITY_DN120155_c0_g1_i1	1.423901842	2	0.509849696	37.3219298	5.22195168	1.264164834	0.338184588	1.30529973	0.384381124	22.15446522	4.469525597	NA	NA	NA	NA	4.626803787	-4.457811083	3.45E-34	3.91E-32	1.331122135	29.73819751	0.412751328	meanmale	meanfemale	4.894250152	FC3
TRINITY_DN131094_c4_g2_i3	0.1591866	2	-2.651209197	5.718735085	2.515696076	0.238045956	-2.070687975	0.274166541	-1.866875578	4.372959312	2.128609925	NA	NA	NA	NA	3.168289419	-4.435846349	1.60E-24	1.13E-22	0.223799699	5.045847199	-2.159075506	meanmale	meanfemale	2.33512511	FC3
TRINITY_DN119475_c1_g2_i1	9.638299399	2	3.268778617	306.9585345	8.261899972	21.61211416	4.433768303	8.522174154	3.091221534	272.7522735	8.091447412	NA	NA	NA	NA	7.501811581	-4.419398252	1.44E-21	8.57E-20	13.25752924	289.855404	3.728750907	meanmale	meanfemale	8.179190071	FC3
TRINITY_DN109646_c1_g1_i3	2.452746841	2	1.294398335	69.29931042	6.114769091	2.796969878	1.483864717	2.919860048	1.545899221	49.582831	5.631768741	NA	NA	NA	NA	5.901857425	-4.418703379	3.33E-37	4.17E-35	2.723192256	59.44107071	1.445351816	meanmale	meanfemale	5.893390625	FC3
TRINITY_DN115713_c0_g1_i1	0.853207564	2	-0.229031339	17.60023027	4.137522399	0.791924001	-0.33656611	0.284414805	-1.81393153	10.09955523	3.336219855	NA	NA	NA	NA	3.207138147	-4.413865884	2.45E-18	1.18E-16	0.643182123	13.84989275	-0.636476498	meanmale	meanfemale	3.791813316	FC3
TRINITY_DN140343_c0_g1_i1	0.401177067	2	-1.317688957	7.457395433	2.898671843	0.303405762	-1.720679611	0.163449568	-2.613082531	5.118971018	2.355853838	kiaa1524	Chr02	100067652	100067652	0.343015474	-4.41198045	4.04E-11	9.67E-10	0.289344132	6.288183226	-1.788643185	meanmale	meanfemale	2.652666198	FC3
TRINITY_DN136189_c1_g3_i2	5.407217814	2	2.434886472	48.9841456	5.614242971	1.53353205	0.616858318	1.755544104	0.811918241	71.78858715	6.1656826	NA	NA	NA	NA	4.202363195	-4.377582895	1.38E-18	6.74E-17	2.898764656	60.38636638	1.535487978	meanmale	meanfemale	5.916153348	FC3
TRINITY_DN115228_c0_g1_i1	0	2	NA	5.223751556	2.385086283	0.154083868	-2.69821227	0.276691533	-1.853649598	1.733104537	0.793358677	NA	NA	NA	NA	0.037966945	-4.36223538	2.37E-08	3.91E-07	0.1435918	3.478428047	-2.798950357	meanmale	meanfemale	1.798476953	FC3
TRINITY_DN116961_c0_g1_i1	5.056744662	2	2.338208932	93.89952977	6.553046028	5.151178568	2.364902553	5.529022735	2.467024504	125.7548919	6.974470712	NA	NA	NA	NA	6.356421937	-4.35455786	7.63E-37	9.33E-35	5.245648655	109.8272108	2.391148684	meanmale	meanfemale	6.779093045	FC3
TRINITY_DN133914_c2_g1_i10	2.15068889	2	1.104798845	30.67331276	4.938912083	0.813271065	-0.298191809	1.095305536	0.131333366	23.38852075	4.547728714	NA	NA	NA	NA	1.982644718	-4.348438333	2.57E-17	1.12E-15	1.353088497	27.03091676	0.436362818	meanmale	meanfemale	4.756543874	FC3
TRINITY_DN115297_c0_g1_i2	0.398014041	2	-1.329108768	13.70016366	3.776121222	0.541824481	-0.884102515	0.87566871	-0.191542934	12.09632848	3.596497317	NA	NA	NA	NA	2.08056402	-4.334354377	1.97E-19	1.02E-17	0.605169077	12.89824607	-0.724351448	meanmale	meanfemale	3.689114178	FC3
TRINITY_DN115634_c1_g1_i5	0.453954732	2	-1.139379655	11.63926658	3.540928248	0.514981386	-0.957407808	0.47779398	-1.065539418	8.249792744	3.044357876	NA	NA	NA	NA	3.353226139	-4.327695953	1.85E-25	1.35E-23	0.482243366	9.944529662	-1.051867571	meanmale	meanfemale	3.313917646	FC3
TRINITY_DN121708_c0_g1_i1	0.424185555	2	-1.237232602	10.40987956	3.379881472	0.481210238	-1.055260758	0.518471404	-0.947663675	9.149797979	3.19373989	NA	NA	NA	NA	3.647160546	-4.324157075	1.83E-28	1.65E-26	0.474622399	9.77983877	-1.074843972	meanmale	meanfemale	3.289825433	FC3
TRINITY_DN118842_c0_g1_i2	0.72429903	2	-0.465342652	13.89645669	3.796645167	0.494868813	-1.01488197	0.533187592	-0.907284888	9.59522538	3.262316694	NA	NA	NA	NA	4.207931537	-4.314727176	1.09E-30	1.08E-28	0.584118478	11.74584104	-0.775420105	meanmale	meanfemale	3.554090395	FC3
TRINITY_DN112243_c1_g1_i1	0.890849075	2	-0.16674706	25.86755678	4.693071891	1.313791566	0.393736409	0.979976306	-0.029181227	17.67071533	4.143288538	NA	NA	NA	NA	1.681845341	-4.286556358	1.88E-16	7.59E-15	1.061538982	21.76913606	0.086293251	meanmale	meanfemale	4.444218875	FC3
TRINITY_DN129609_c0_g2_i1	0.192005506	2	-2.380780412	5.261418861	2.395451907	0.054454362	-4.198808571	0.293354415	-1.76928339	2.060199616	1.042784129	NA	NA	NA	NA	0.044519215	-4.276849095	1.55E-08	2.65E-07	0.179938094	3.660809239	-2.473625896	meanmale	meanfemale	1.872202007	FC3
TRINITY_DN10201_c0_g1_i1	0.612536393	2	-0.707132533	9.687163123	3.276074236	0.383383012	-1.383141683	0.296893488	-1.751982645	7.044101981	2.816415796	senp8	Chr03	82450240	82450240	3.365430667	-4.275431453	2.51E-22	1.57E-20	0.430937631	8.365632552	-1.214114268	meanmale	meanfemale	3.064491877	FC3
