gid	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	A10FO1	base	logA10FO1	A15MT1	logA15MT1	A17FO1	logA17FO1	A17MT1	logA17MT1	A2FO2	logA2FO2	A6FO1	logA6FO1	A6MT1	logA6MT1	A8FO2	logA8FO2	A8MT1	logA8MT1	A12MT1	logA12MT1	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY	group1	meanXX	group2
TRINITY_DN121368_c0_g1_i1	1.25E-07	6.72E-07	0.75613264	2	-0.403288762	0.213909818	-2.224925394	1.871831038	0.904450215	0.203288628	-2.298398582	2.082524499	1.058333468	1.517619187	0.601809824	0.346595574	-1.528674863	0.730036492	-0.453959514	0.15066474	-2.730586272	0.098333146	-3.34617839	NA	NA	NA	NA	1.803067463	-2.726242009	1	female	-2.302878254	meanmale	0.476878077	meanfemale
TRINITY_DN133091_c3_g1_i2	7.47E-15	1.07E-13	8.066224414	2	3.011893544	1.826341066	0.868956211	10.61450514	3.407965208	1.517151397	0.60136506	11.20324968	3.485845364	15.01185325	3.908030187	1.83622095	0.876739667	6.224778749	2.63802256	1.238122257	0.308153779	1.223656898	0.291199096	LOC100145332	Chr04	15675407	15675407	4.397601551	-2.725811266	1	female	0.61202076	meanmale	3.353919197	meanfemale
TRINITY_DN126180_c0_g1_i1	2.55E-07	1.31E-06	15.15293336	2	3.921525198	1.707282123	0.771701479	3.930240385	1.974617555	1.092711517	0.12791257	14.13666311	3.821369714	2.996106141	1.583088734	1.309680895	0.389215341	11.26449712	3.493711004	2.007750695	1.005580139	1.171636136	0.228524595	LOC101730334	scaffold_1131	41	41	2.924261511	-2.725032426	1	female	0.543903911	meanmale	3.2473485	meanfemale
TRINITY_DN116728_c0_g1_i2	7.68E-05	0.000253776	0.436368869	2	-1.196379913	0	NA	1.331016633	0.4125286	0.289107874	-1.790320193	0.641186712	-0.641183568	2.891041741	1.531589439	0.147452462	-2.761678184	0.828758402	-0.270976503	0.31247499	-1.678187372	0.130521947	-2.937635681	NA	NA	NA	NA	0.013340716	-2.722615991	1	female	-2.506258774	meanmale	0.293693564	meanfemale
TRINITY_DN119864_c0_g2_i1	0.000270735	0.000799971	6.321041712	2	2.660162335	1.108907685	0.149139268	5.400496004	2.433091916	0.40339583	-1.309731924	5.39932644	2.432779444	4.766721645	2.252997381	0.74067215	-0.433093003	0.308991414	-1.694361345	1.046400623	0.065435305	0	NA	NA	NA	NA	NA	2.889740843	-2.720286288	1	female	-0.599516156	meanmale	2.150369723	meanfemale
TRINITY_DN133526_c0_g3_i4	0.00173817	0.004314823	2.386862479	2	1.255115447	0.891708539	-0.165355862	0.76636121	-0.383903555	0	NA	8.121892302	3.021815897	0.429568757	-1.219039027	0.815029436	-0.29507593	1.908701293	0.932591342	0.143931311	-2.796547623	0.150301589	-2.734067833	NA	NA	NA	NA	0.038640664	-2.719786147	1	female	-1.320867473	meanmale	1.445078938	meanfemale
TRINITY_DN131777_c4_g5_i2	3.64E-08	2.13E-07	25.45100159	2	4.669650528	4.333935329	2.115677626	14.40876485	3.848874765	2.299373974	1.201241127	17.69112725	4.144954072	8.98310236	3.167213773	1.720018597	0.782424164	8.901206191	3.154000847	1.214996765	0.280952473	1.960828663	0.971463478	NA	NA	NA	NA	2.672157042	-2.719702557	1	female	1.205349135	meanmale	3.915247484	meanfemale
TRINITY_DN96008_c0_g1_i1	2.05E-13	2.52E-12	125.3035604	2	6.969283598	31.21540553	4.964186303	102.0790831	6.673543465	18.28192198	4.192345844	99.57023114	6.637642574	123.3772385	6.94693245	9.903724335	3.307971158	137.8845715	7.107317226	5.939030561	2.570227456	25.22722457	4.656909589	NA	NA	NA	NA	6.917953347	-2.718800977	1	female	4.178998324	meanmale	6.878272122	meanfemale
TRINITY_DN127874_c5_g1_i1	9.47E-08	5.19E-07	16.12488345	2	4.011216828	1.628465832	0.70351345	31.38996649	4.972231584	3.126800215	1.644687042	35.44378139	5.147460624	35.63834208	5.155358318	4.146346484	2.051840678	14.01952779	3.809365852	7.885554931	2.979212286	3.058551929	1.612848771	NA	NA	NA	NA	2.454130072	-2.717444074	1	female	1.988864207	meanmale	4.729193832	meanfemale
TRINITY_DN130735_c0_g1_i2	5.48E-24	1.86E-22	59.26183853	2	5.88903148	9.108460987	3.187207309	52.76431085	5.721490533	6.376220046	2.672701418	52.86653019	5.724282736	58.60351567	5.872915311	6.844285961	2.774900038	57.32188797	5.841014222	11.40821123	3.512000694	9.123065302	3.189518644	NA	NA	NA	NA	5.924579465	-2.717298188	1	female	3.099656877	meanmale	5.811566504	meanfemale
TRINITY_DN130730_c9_g1_i3	5.76E-15	8.36E-14	23.19894831	2	4.535987499	9.610284945	3.264579208	62.80961781	5.972913586	4.706130163	2.234541223	34.96375042	5.12778804	40.762253	5.349161889	3.88125144	1.956521899	44.15915404	5.464640629	5.411173066	2.435941384	7.910933777	2.983847995	NA	NA	NA	NA	5.444406453	-2.716325206	1	female	2.656280048	meanmale	5.36383145	meanfemale
TRINITY_DN132830_c9_g3_i5	7.43E-28	3.21E-26	79.51312136	2	6.31312105	16.14441274	4.012963058	100.8744231	6.656416613	14.56362382	3.864297476	80.16888989	6.324970592	87.52897888	6.451688835	9.808991492	3.294104814	69.46760814	6.118268519	9.24108728	3.208062605	13.92066765	3.799156501	NA	NA	NA	NA	7.397028551	-2.7160872	1	female	3.670824091	meanmale	6.383889227	meanfemale
TRINITY_DN79505_c0_g1_i1	2.73E-21	7.24E-20	52.98699423	2	5.727566385	9.427482978	3.23687264	52.75196581	5.721152952	7.321096201	2.872059682	52.48941127	5.713954511	61.89803518	5.95182171	8.77588166	3.133544072	49.29056349	5.623239569	4.017279419	2.00621881	11.67581926	3.545451878	NA	NA	NA	NA	6.454806348	-2.711896097	1	female	3.043276587	meanmale	5.751771498	meanfemale
TRINITY_DN125288_c1_g2_i1	3.25E-06	1.38E-05	3.127364995	2	1.644947606	0	NA	5.087530445	2.346965523	1.105053891	0.144116728	5.446224484	2.445256449	5.346966531	2.418720646	1.127211896	0.172758742	4.386121276	2.132945703	0.716621859	-0.480716044	0.249446311	-2.003198761	NA	NA	NA	NA	0.026245373	-2.711600375	1	female	-0.644381987	meanmale	2.226182205	meanfemale
TRINITY_DN166410_c0_g1_i1	5.54E-21	1.43E-19	60.43031437	2	5.917200542	12.67413418	3.663815289	64.50727705	6.011390015	10.88053062	3.44367701	71.72258705	6.164355622	62.35385586	5.962406872	8.983011722	3.167199216	51.80871455	5.695122884	7.34996779	2.877737928	7.675271113	2.940217712	NA	NA	NA	NA	5.277555054	-2.71029792	1	female	3.249852316	meanmale	5.958022513	meanfemale
TRINITY_DN124358_c3_g1_i1	2.79E-05	0.00010015	0.680928607	2	-0.55442455	0.526714207	-0.924907721	5.698367749	2.51054873	0.323892703	-1.626412129	1.693213265	0.759763696	9.246495938	3.208906744	0.382305238	-1.387203128	1.224359746	0.292027518	0.540110005	-0.888674822	1.002693004	0.003879961	NA	NA	NA	NA	2.494789083	-2.709603558	1	female	-0.848808714	meanmale	1.890941992	meanfemale
TRINITY_DN130067_c1_g1_i1	0.000141227	0.000442696	0.564455851	2	-0.82506735	0.148393659	-2.752498649	4.272388524	2.095042849	0.387820182	-1.366540212	0.8055017	-0.312040461	7.792047713	2.962002511	0.452110359	-1.145253121	0.464237944	-1.10706365	0.598808158	-0.739834218	0.450223846	-1.151285624	NA	NA	NA	NA	2.397430318	-2.708926833	1	female	-1.29487584	meanmale	1.474994762	meanfemale
TRINITY_DN132533_c5_g1_i1	3.55E-14	4.72E-13	10.42421773	2	3.381867218	2.316369838	1.211865616	22.26284405	4.476566002	2.411747098	1.27007863	18.3516067	4.197834473	23.45706406	4.551950549	1.640070854	0.713758143	13.11797812	3.713473469	3.538760587	1.82324416	3.497416169	1.806289477	NA	NA	NA	NA	4.663552173	-2.707462897	1	female	1.422756641	meanmale	4.131164888	meanfemale
TRINITY_DN135135_c3_g2_i1	7.21E-17	1.30E-15	66.71050864	2	6.059842136	13.44716001	3.749229608	86.07894093	6.427588423	6.994085896	2.806135514	36.70557931	5.197927467	67.81786346	6.083593429	9.535982854	3.253381642	65.04948453	6.02346572	7.993485354	2.99882469	11.34853591	3.50443428	NA	NA	NA	NA	5.037483752	-2.707323353	1	female	3.302165487	meanmale	6.010613708	meanfemale
TRINITY_DN122094_c3_g3_i1	0.018610574	0.035750558	6.802594154	2	2.76608502	1.064774238	0.090547571	6.086473022	2.60560646	1.553157087	0.635203752	0.615108813	-0.701086449	0.912557578	-0.132012506	0	NA	2.568628627	1.36099832	0	NA	0	NA	NA	NA	NA	NA	2.712066435	-2.706273209	1	female	-0.933225328	meanmale	1.764334451	meanfemale
TRINITY_DN131601_c5_g1_i1	2.25E-16	3.86E-15	11.56810884	2	3.532081126	2.019170158	1.013762494	15.5078415	3.95492599	2.225678013	1.154244894	13.85302086	3.792128707	14.59062648	3.866969925	2.299600503	1.201383251	19.88451275	4.313573306	2.1727713	1.119536328	2.917203827	1.544586192	NA	NA	NA	NA	4.490261717	-2.705033634	1	female	1.218461762	meanmale	3.914652736	meanfemale
TRINITY_DN116680_c0_g4_i1	0.002903273	0.006839791	54.82564459	2	5.776778964	1.083591631	0.115821156	3.592046543	1.844806044	3.930008923	1.974532588	25.46444544	4.670412394	0	NA	4.173880267	2.061389216	47.7139242	5.57633844	5.097181821	2.349699816	6.418644967	2.682268764	NA	NA	NA	NA	3.062943727	-2.701907577	1	female	2.049896116	meanmale	4.71804988	meanfemale
TRINITY_DN156248_c0_g1_i1	4.05E-08	2.35E-07	5.194935984	2	2.377105971	0.664410284	-0.589853691	7.851445734	2.972958331	0.992232297	-0.011250177	6.23498803	2.64038679	4.440982885	2.150879011	0.910915252	-0.134611257	4.430605264	2.147503798	0.48259322	-1.051120448	1.175888899	0.233751757	NA	NA	NA	NA	0.786607014	-2.701476607	1	female	-0.242451008	meanmale	2.49331213	meanfemale
TRINITY_DN107251_c0_g1_i2	9.80E-05	0.000317203	1.17569447	2	0.233513193	0.289768463	-1.787027507	0.647492964	-0.627063579	0.086548217	-3.530352091	4.318821326	2.110637632	0.502531603	-0.992713768	0.238365828	-2.068750668	0.973314008	-0.039022776	0.392882567	-1.347829941	0.175830521	-2.507742577	ccdc82-like	Chr02	161125555	161125555	0.497627236	-2.701419079	1	female	-2.078386235	meanmale	0.607551302	meanfemale
TRINITY_DN122165_c7_g2_i1	5.69E-08	3.22E-07	7.675208712	2	2.940205982	2.690384149	1.427812184	12.57257267	3.652207987	1.255571156	0.328343792	14.01592022	3.808994563	9.477415831	3.244493739	1.229517369	0.298092116	4.983546418	2.317172766	1.139924163	0.188937848	1.190376237	0.251417632	NA	NA	NA	NA	1.519308004	-2.70133475	1	female	0.586168681	meanmale	3.284667037	meanfemale
TRINITY_DN104666_c0_g2_i1	0.000238946	0.000715222	0.454960642	2	-1.13618635	0.038445337	-4.701047564	1.585971932	0.665367239	0.057414381	-4.122444045	0.827672707	-0.27286771	0.388931149	-1.362413312	0.122987814	-3.023412719	2.962519472	1.566824637	0.260630548	-1.939921906	0.505450835	-0.984357326	NA	NA	NA	NA	0.737357496	-2.699500342	1	female	-2.343104385	meanmale	0.315115418	meanfemale
TRINITY_DN118209_c0_g1_i1	4.74E-10	3.70E-09	11.72079115	2	3.550998049	1.635155102	0.709427488	8.375597579	3.066192127	1.17213384	0.229137313	7.040506651	2.815679252	5.955119913	2.574130559	1.584218891	0.663771686	12.14785878	3.602630137	1.330215017	0.411659463	1.256794993	0.329749338	NA	NA	NA	NA	2.745586998	-2.698262679	1	female	0.481095925	meanmale	3.177610858	meanfemale
TRINITY_DN129121_c4_g9_i1	2.24E-05	8.18E-05	31.47685697	2	4.976219587	2.193973207	1.133545908	10.39609769	3.377970191	2.612333529	1.385339104	8.510465197	3.089237994	3.684928516	1.881636633	1.680125247	0.748568784	1.757412821	0.813453124	0.689119355	-0.537174217	1.379270117	0.463905023	NA	NA	NA	NA	3.165178045	-2.696574067	1	female	0.774893968	meanmale	3.480943939	meanfemale
TRINITY_DN182190_c0_g1_i1	0.001067888	0.002777765	10.76740185	2	3.428598268	1.592277702	0.671091972	6.255778177	2.645189357	0	NA	3.641406204	1.864495684	3.45176395	1.787333809	2.28698769	1.1934486	3.370815425	1.753097632	0	NA	0	NA	bloc1s4	Chr06	29570259	29570259	0.330230674	-2.695799279	1	female	-0.365958679	meanmale	2.458784391	meanfemale
TRINITY_DN126421_c2_g1_i1	1.52E-25	5.78E-24	75.09736975	2	6.230690474	16.10974936	4.009862143	67.99229105	6.087299278	12.55321705	3.64998523	69.36393822	6.116113906	84.3683414	6.398629835	10.336274	3.369644314	89.78686228	6.488432458	8.21793399	3.038775742	12.90474099	3.68982928	NA	NA	NA	NA	6.846597119	-2.695716004	1	female	3.58790297	meanmale	6.272804447	meanfemale
TRINITY_DN124832_c6_g4_i1	6.04E-11	5.36E-10	18.55069519	2	4.213401348	2.374768458	1.247786856	10.9788907	3.456660388	1.467511567	0.553371875	11.97897075	3.58243205	15.14831265	3.921085198	2.469946706	1.304479913	16.66531146	4.058776375	3.013633793	1.591504116	1.987588207	0.991018887	NA	NA	NA	NA	3.107505629	-2.69460023	1	female	1.178102539	meanmale	3.874259533	meanfemale
TRINITY_DN129133_c1_g9_i1	4.83E-08	2.77E-07	15.76453936	2	3.97861111	1.286207867	0.363123819	10.68558969	3.417594621	1.760757771	0.81619645	10.88674612	3.444500914	13.63149862	3.768872273	3.918684286	1.970369345	16.30698143	4.027417846	1.86846956	0.90185706	1.083981352	0.116339938	NA	NA	NA	NA	1.628252795	-2.693710914	1	female	0.988208527	meanmale	3.750088826	meanfemale
TRINITY_DN207462_c0_g1_i1	4.31E-16	7.18E-15	31.17973509	2	4.962536766	4.656951194	2.219385762	25.9160405	4.695773412	2.444475443	1.289524912	21.38011098	4.418197437	29.98636636	4.906234807	5.310081984	2.408734135	22.45691898	4.489088103	4.465436512	2.158801211	3.217520325	1.685949262	NA	NA	NA	NA	4.749514167	-2.691663005	1	female	2.006834097	meanmale	4.710609987	meanfemale
TRINITY_DN127341_c11_g1_i1	2.52E-14	3.42E-13	30.340492	2	4.923172575	8.357203294	3.063020231	29.86651806	4.900457148	6.509703172	2.702591761	37.23826001	5.218713758	41.88169223	5.38824783	4.396291916	2.136287185	34.68821512	5.116373704	2.329108736	1.219777994	5.53323932	2.468124324	NA	NA	NA	NA	4.783150397	-2.691452799	1	female	2.439678793	meanmale	5.121145382	meanfemale
TRINITY_DN123796_c0_g1_i1	1.94E-20	4.82E-19	71.39107089	2	6.157671738	12.99356785	3.699725724	62.46055608	5.964873508	10.82459934	3.436241721	51.94808189	5.698998576	77.04063867	6.267547758	9.173062204	3.197403423	66.19491179	6.04864842	5.30585863	2.407586237	12.84655887	3.68331006	caps2-like	Chr03	51586031	51586031	6.005994045	-2.691430853	1	female	3.354569143	meanmale	6.040172478	meanfemale
TRINITY_DN130280_c0_g1_i1	2.81E-22	8.14E-21	47.20928001	2	5.560998575	9.434166766	3.237895103	44.05766499	5.461321131	5.85235914	2.549018306	43.90572039	5.456337013	58.98431292	5.882259411	7.243245471	2.856636269	38.57140089	5.26945964	4.385593684	2.132772156	9.130035633	3.190620491	NA	NA	NA	NA	6.242524471	-2.69097221	1	female	2.849835199	meanmale	5.54057834	meanfemale
TRINITY_DN117667_c0_g1_i1	0.005892544	0.012901377	2.258208899	2	1.175178951	0.348461989	-1.520926803	2.495656187	1.319419196	0	NA	0	NA	6.630744122	2.729170783	0.849326183	-0.235609369	2.409774431	1.268898108	0.787436975	-0.344763637	0	NA	NA	NA	NA	NA	0.293288951	-2.687791135	1	female	-1.332262148	meanmale	1.464133287	meanfemale
TRINITY_DN107294_c0_g1_i2	2.18E-05	7.99E-05	5.077842572	2	2.344215668	0.790430189	-0.339290046	6.249739781	2.643796122	0	NA	2.181643978	1.125415688	3.655480851	1.870061194	0.505722094	-0.983583287	1.405590988	0.491176847	0.918604082	-0.1224849	0.639507145	-0.644967617	NA	NA	NA	NA	0.290627089	-2.687657092	1	female	-0.808556858	meanmale	1.893035823	meanfemale
TRINITY_DN132190_c0_g1_i1	1.06E-07	5.76E-07	3.799920803	2	1.925969351	0.664099425	-0.590528845	10.27344732	3.360848463	0.457739104	-1.12740255	8.488024097	3.085428752	9.560718613	3.25711906	1.470790019	0.556591291	3.381329509	1.757590613	1.484207469	0.569692772	1.343244266	0.42572168	stambp	Chr03	107402831	107402831	2.73260661	-2.682945372	1	female	0.116519208	meanmale	2.827979148	meanfemale
TRINITY_DN129794_c1_g1_i1	3.07E-16	5.19E-15	125.0698971	2	6.966590781	17.07628896	4.093922576	83.55244016	6.384610058	16.01106124	4.00099703	62.39605172	5.963382836	64.50147936	6.011260344	13.92293669	3.799391638	90.77238504	6.50418156	7.329241577	2.873663917	12.36355224	3.628021406	NA	NA	NA	NA	5.386622181	-2.682331985	1	female	3.737764209	meanmale	6.413772626	meanfemale
TRINITY_DN123093_c0_g2_i1	4.76E-06	1.95E-05	0.186741939	2	-2.420882127	0.073640798	-3.763350929	0.680358069	-0.555633866	0.178710004	-2.484307698	0.497972009	-1.005863444	0.651861897	-0.617361746	0.04206771	-4.571142904	0.509259884	-0.973526019	0.035659241	-4.809580194	0.055856233	-4.16213791	NA	NA	NA	NA	0.507098312	-2.682275223	1	female	-3.693634208	meanmale	-0.984677256	meanfemale
TRINITY_DN89994_c0_g1_i1	8.83E-06	3.46E-05	2.299998813	2	1.201633117	0	NA	1.893065785	0.920724546	0.290251497	-1.784624587	3.290140044	1.718148993	3.651504359	1.868490953	0.888214437	-0.171020074	2.048090385	1.034279385	0.250968837	-1.99441986	0.393114756	-1.346977577	NA	NA	NA	NA	0.121482843	-2.682165299	1	female	-1.455574339	meanmale	1.398711479	meanfemale
TRINITY_DN101833_c0_g1_i1	6.56E-16	1.06E-14	125.264266	2	6.968831107	20.22022873	4.337727412	93.70196044	6.550007327	9.229632499	3.206273204	106.6865784	6.737234881	106.6960341	6.737362742	15.96405756	3.996755481	135.1865664	7.078807987	31.22801737	4.964769072	12.09292798	3.596091692	NA	NA	NA	NA	6.332043442	-2.681386346	1	female	4.149509183	meanmale	6.826639763	meanfemale
TRINITY_DN98058_c0_g1_i1	4.12E-05	0.000143078	1.274282251	2	0.349684867	0.241203439	-2.051677618	1.399258189	0.484662191	0.270160451	-1.888111602	3.328693904	1.734956211	0.261442252	-1.935435779	0.137788788	-2.859469595	1.548887205	0.631232086	0.4087946	-1.290551956	0.182951786	-2.450464595	NA	NA	NA	NA	0.466858962	-2.681061836	1	female	-2.009961132	meanmale	0.6439603	meanfemale
TRINITY_DN134468_c2_g2_i4	4.14E-09	2.81E-08	1.297297293	2	0.37550913	0.194048738	-2.365509044	1.5312641	0.614723129	0.171241297	-2.545897427	1.772310794	0.825631618	2.523970931	1.335695295	0.419219866	-1.25422101	1.882195946	0.912416828	0.324605105	-1.623242406	0.267609356	-1.901799539	NA	NA	NA	NA	2.30898662	-2.680288426	1	female	-1.860164489	meanmale	0.849204908	meanfemale
TRINITY_DN132530_c6_g5_i1	7.86E-09	5.08E-08	20.47993701	2	4.356139373	3.005085047	1.587405821	30.5076797	4.931100553	2.804876849	1.487937429	15.13700649	3.92000802	10.99316697	3.45853516	2.575006991	1.364576349	12.9884631	3.699158824	3.456002056	1.789104076	2.089398918	1.063087965	NA	NA	NA	NA	2.216044959	-2.680215971	1	female	1.478285344	meanmale	4.171635236	meanfemale
TRINITY_DN136521_c1_g3_i1	8.46E-11	7.32E-10	16.95525253	2	4.083660367	2.58684755	1.371195035	8.892859189	3.152647342	2.691577836	1.428452146	10.13629527	3.341458551	11.27690286	3.495298989	1.531046794	0.614518377	24.55056869	4.617684538	2.915969355	1.543975558	1.672620837	0.742110441	NA	NA	NA	NA	4.033865802	-2.678775305	1	female	1.188851878	meanmale	3.844232548	meanfemale
TRINITY_DN124764_c1_g1_i2	3.65E-23	1.13E-21	60.28954081	2	5.913835836	9.935960607	3.312659454	49.96580607	5.642869224	6.867583451	2.779802536	61.71920999	5.94764769	39.28858716	5.296038383	6.346960548	2.666065875	45.50372757	5.507912828	8.406380616	3.071484779	8.890505063	3.15226538	NA	NA	NA	NA	6.048651623	-2.676579033	1	female	3.016064455	meanmale	5.68238998	meanfemale
TRINITY_DN7453_c0_g1_i1	1.02E-06	4.74E-06	53.47168669	2	5.74070328	3.684985539	1.881658958	10.02879439	3.326076278	3.363047342	1.749769088	14.91720886	3.898905715	11.982552	3.582863296	5.145722303	2.363373602	38.62954477	5.271632771	3.370511479	1.752967539	4.76193008	2.251546437	NA	NA	NA	NA	2.623697124	-2.673998634	1	female	2.023375784	meanmale	4.689637838	meanfemale
TRINITY_DN43827_c0_g1_i1	1.06E-07	5.78E-07	6.848846824	2	2.775861094	1.08032411	0.111464203	5.942163967	2.570988415	0.887347584	-0.17242876	6.082814839	2.604739089	2.576137437	1.365209563	0.493712862	-1.018255865	7.257481231	2.859468936	1.255506371	0.32826935	0.874049344	-0.194213366	NA	NA	NA	NA	1.414533999	-2.673510521	1	female	-0.122981317	meanmale	2.521450027	meanfemale
TRINITY_DN131333_c1_g1_i2	2.91E-10	2.34E-09	15.75968575	2	3.978166862	12.35639992	3.627186565	86.27528005	6.430875347	5.350302589	2.419620486	54.12331462	5.75817829	103.2887529	6.690539358	9.222203608	3.205111518	37.56051473	5.231144929	8.355469633	3.06272092	10.72173698	3.422466744	NA	NA	NA	NA	5.251925089	-2.673466704	1	female	3.201841241	meanmale	5.892430119	meanfemale
TRINITY_DN121255_c0_g1_i1	4.32E-12	4.45E-11	17.96881799	2	4.167423605	3.512150752	1.812354771	15.88656986	3.989735754	2.346472596	1.230493612	17.55085795	4.133469651	20.61485597	4.365612476	2.984863885	1.577665144	32.50592211	5.022630675	4.952904931	2.308274929	2.741844781	1.455146901	Xetrov90018420m	Chr07	64862465	64862465	4.03199855	-2.67319301	1	female	1.725849061	meanmale	4.385810973	meanfemale
TRINITY_DN129005_c2_g2_i2	9.95E-27	4.09E-25	44.10489833	2	5.462866987	10.48227077	3.389879376	64.6394283	6.014342533	8.250888857	3.044549547	57.69778619	5.85044406	56.47134871	5.819447183	7.582326605	2.922640601	56.13170341	5.810743936	8.017906974	3.003225679	9.62193639	3.266327262	dcaf7	Chr10	7932105	7932105	6.31107259	-2.672155183	1	female	3.136054514	meanmale	5.802429329	meanfemale
TRINITY_DN118785_c0_g1_i2	0.003838079	0.008803077	11.07779415	2	3.46959873	0.488400999	-1.033861944	8.115099921	3.020608859	0.243126502	-2.040220932	18.82737066	4.234759629	0.411741227	-1.280190184	0.148800934	-2.748544513	11.7408919	3.553470102	0.472998921	-1.080091202	6.832746074	2.772465513	cdca7l	Chr06	42345533	42345533	2.603746928	-2.671143592	1	female	0.711331629	meanmale	3.326922644	meanfemale
TRINITY_DN128858_c0_g1_i1	1.89E-22	5.55E-21	104.6072636	2	6.708839221	22.7451462	4.507486803	112.1211516	6.808914657	15.06666862	3.913288554	75.91747644	6.246360132	96.51915594	6.592743394	12.02353811	3.587789588	81.19798248	6.343371976	8.717533541	3.12392001	15.54903476	3.95875312	cdc25a	Chr06	5115156	5115156	7.202352033	-2.669506188	1	female	3.889520682	meanmale	6.555704299	meanfemale
TRINITY_DN132872_c5_g3_i5	3.41E-22	9.77E-21	40.72243275	2	5.347751845	12.30487263	3.621157819	78.88093759	6.301604795	9.107469635	3.18705028	65.85911565	6.041311235	87.58970183	6.452689353	8.59949757	3.104252372	48.26960295	5.593043055	10.00038038	3.321982971	10.33382855	3.369302948	NA	NA	NA	NA	6.396456675	-2.668704879	1	female	3.331892885	meanmale	6.005949162	meanfemale
TRINITY_DN130458_c1_g1_i3	8.05E-29	3.73E-27	68.91541974	2	6.106754915	16.21010533	4.01882156	104.9489102	6.713543375	15.60840154	3.964250893	89.70680183	6.487145474	94.59044367	6.563622533	14.22528228	3.830385376	87.21541383	6.446511224	11.24663273	3.491421214	12.88251616	3.687342497	NA	NA	NA	NA	7.462599944	-2.667689017	1	female	3.810925047	meanmale	6.476956737	meanfemale
TRINITY_DN129992_c0_g1_i1	6.46E-06	2.59E-05	0.299172253	2	-1.740951718	0.540211205	-0.888404531	2.449444537	1.292454625	0.166914418	-2.582819515	3.712129759	1.892247141	1.346066794	0.428750001	0.357548741	-1.483788172	2.594822429	1.375635814	0.252567364	-1.985259864	0.339101719	-1.560209997	NA	NA	NA	NA	2.456605772	-2.666629629	1	female	-1.593490804	meanmale	1.056879774	meanfemale
TRINITY_DN127900_c2_g1_i2	1.30E-07	6.94E-07	26.99793781	2	4.754777309	1.990001641	0.99276962	11.11673825	3.474661645	1.33734347	0.41937004	6.645982077	2.732482402	11.3600841	3.50590161	3.228510183	1.690868577	18.48009623	4.207900364	1.445434127	0.531502862	3.723205937	1.896545416	fam160a1-like	Chr01	46847698	46847698	2.8587995	-2.666614746	1	female	1.229587352	meanmale	3.899201515	meanfemale
TRINITY_DN127392_c2_g1_i1	1.43E-10	1.20E-09	4.47393557	2	2.16154448	1.525443256	0.609228515	14.06358261	3.813892254	0.776625512	-0.364708995	11.73789731	3.553102087	8.250496631	3.044480964	1.457644375	0.543638785	4.795063432	2.2615499	1.723560186	0.785391678	1.285602496	0.362444635	NA	NA	NA	NA	4.153517325	-2.666582734	1	female	0.43709472	meanmale	3.115082383	meanfemale
TRINITY_DN127961_c1_g14_i2	1.51E-05	5.67E-05	20.95578927	2	4.389276954	4.716957004	2.23785645	12.58593014	3.653739935	0.491464021	-1.024842291	23.19223444	4.535569917	18.78636814	4.231614281	1.102900963	0.141303247	20.91576296	4.38651872	8.180272925	3.032148978	0.776574986	-0.364802857	NA	NA	NA	NA	4.079620416	-2.666162815	1	female	1.61057439	meanmale	4.269580563	meanfemale
TRINITY_DN115286_c0_g1_i1	1.10E-15	1.73E-14	140.1262924	2	7.130583869	39.82815551	5.315716763	180.4370165	7.495351526	14.82600759	3.89005825	99.74639028	6.640192728	129.9770594	7.022113204	14.33580649	3.841551163	142.1836062	7.151611321	15.58815335	3.962378124	25.427061	4.668292812	phpt1	scaffold_389	14246	14246	5.806620176	-2.663563912	1	female	4.459506164	meanmale	7.113681467	meanfemale
TRINITY_DN129662_c1_g7_i1	2.72E-05	9.79E-05	2.881724059	2	1.526932196	0.136367306	-2.874430295	0.82038723	-0.28562306	0.203651342	-2.295826774	1.881917703	0.91220354	0.394158843	-1.343150953	0.249281831	-2.00415036	1.684004375	0.751895886	0.396200595	-1.335697048	0.206868048	-2.273217265	NA	NA	NA	NA	0.264307363	-2.661818777	1	female	-2.067492331	meanmale	0.615923263	meanfemale
TRINITY_DN128644_c0_g2_i5	0.000429906	0.001216747	4.34428945	2	2.11912023	0	NA	0.942292947	-0.08575245	0.460516182	-1.118676243	2.912704659	1.542359423	1.28744812	0.364514298	0.187900092	-2.411962322	3.384919255	1.75912142	1.327299623	0.40849408	0.069302239	-3.850954226	NA	NA	NA	NA	0.94759082	-2.65968615	1	female	-1.289461766	meanmale	1.36425354	meanfemale
TRINITY_DN134860_c0_g1_i4	2.40E-07	1.24E-06	6.187590725	2	2.629377774	0.485069598	-1.043736334	1.932823225	0.950709695	0.395129663	-1.339601939	3.99213827	1.99716169	4.429219377	2.147052455	1.007631528	0.010968169	2.962396755	1.566764874	0.85413196	-0.227469117	0.267580534	-1.901954929	NA	NA	NA	NA	2.111530432	-2.657550742	1	female	-0.732143862	meanmale	1.963819468	meanfemale
