Group	ID	BLAST	PERC	LENG	GAP1	GAP2	QS	QE	DBS	DBE	Evalue	score
Not_anno	TRINITY_DN61917_c0_g2_i1	NM_031266.2	99.938	1609	1	0	1	1609	1643	35	0	2966
Not_anno	TRINITY_DN52451_c0_g1_i1	AK294666.1	100	1110	0	0	1	1110	1321	212	0	2050
Not_anno	TRINITY_DN80093_c0_g1_i2	NM_004515.3	100	1544	0	0	1	1544	1593	50	0	2852
Not_anno	TRINITY_DN50152_c0_g1_i1	HM005646.1	99.941	1701	0	1	1	1701	1706	7	0	3134
Not_anno	TRINITY_DN36681_c0_g2_i1	NM_004728.3	100	3039	0	0	1	3039	3106	68	0	5613
Not_anno	TRINITY_DN90880_c0_g2_i1	XR_001747860.1	100	994	0	0	1	994	2362	1369	0	1836
Not_anno	TRINITY_DN44985_c0_g1_i1	NM_001330624.1	100	1881	0	0	1	1881	3268	1388	0	3474
Not_anno	TRINITY_DN63724_c0_g2_i1	XM_017029980.1	100	1331	0	0	1	1331	3092	1762	0	2459
Not_anno	TRINITY_DN63755_c0_g1_i1	BC114946.1	100	1202	0	0	2	1203	1205	4	0	2220
Not_anno	TRINITY_DN82512_c0_g2_i1	NM_001330700.1	100	1309	0	0	1	1309	4528	3220	0	2418
Not_anno	TRINITY_DN85489_c0_g3_i1	NM_001033.4	100	1735	0	0	1	1735	1924	190	0	3205
Not_anno	TRINITY_DN66024_c0_g1_i1	NM_016497.3	99.85	665	1	0	1	665	686	22	0	1223
Not_anno	TRINITY_DN66064_c0_g1_i1	XM_017024448.1	100	992	0	0	1	992	2900	1909	0	1832
Not_anno	TRINITY_DN76069_c0_g1_i1	NG_029078.1	100	1028	0	0	1	1028	60698	59671	0	1899
Not_anno	TRINITY_DN67542_c0_g1_i1	NM_139215.2	100	1352	0	0	1	1352	1376	25	0	2497
Not_anno	TRINITY_DN44368_c0_g2_i1	NM_031966.3	100	1499	0	0	1	1499	1654	156	0	2769
Not_anno	TRINITY_DN65451_c0_g1_i1	NM_002809.3	100	964	0	0	1	964	1826	863	0	1781
Not_anno	TRINITY_DN13724_c0_g1_i1	NM_001404.4	100	1455	0	0	1	1455	1548	94	0	2687
Not_anno	TRINITY_DN25323_c0_g1_i1	D13315.1	99.9	1001	1	0	1	1001	1011	11	0	1844
Not_anno	TRINITY_DN51806_c0_g2_i1	XM_004055667.2	100	1015	0	0	1	1015	2754	1740	0	1875
Not_anno	TRINITY_DN27358_c0_g2_i1	AH007040.2	100	557	0	0	1	557	5534	4978	0	1029
Not_anno	TRINITY_DN25415_c0_g2_i1	BC043346.2	100	1549	0	0	1	1549	1976	428	0	2861
Not_anno	TRINITY_DN25447_c0_g1_i1	NM_012325.2	100	978	0	0	1	978	1043	66	0	1807
Not_anno	TRINITY_DN71326_c0_g2_i1	NM_001026.4	100	553	0	0	12	564	615	63	0	1022
Not_anno	TRINITY_DN9156_c0_g1_i1	AK026926.1	100	633	0	0	1	633	1216	584	0	1170
Not_anno	TRINITY_DN87722_c1_g1_i1	XM_017018734.1	100	2690	0	0	1	2690	5615	2926	0	4968
Not_anno	TRINITY_DN96985_c0_g1_i1	XM_005262404.3	100	2538	0	0	1	2538	3002	465	0	4687
Not_anno	TRINITY_DN67118_c0_g2_i1	NM_001329434.1	100	975	0	0	1	975	5968	4994	0	1801
Not_anno	TRINITY_DN68642_c0_g1_i1	NM_003142.4	100	1416	0	0	1	1416	1544	129	0	2615
Not_anno	TRINITY_DN97473_c0_g2_i1	XM_001173392.2	100	686	0	0	1	686	1632	947	0	1267
Not_anno	TRINITY_DN97496_c0_g1_i1	BC020493.1	100	1488	0	0	1	1488	1488	1	0	2748
Not_anno	TRINITY_DN34177_c0_g1_i1	NM_003292.2	100	1208	0	0	1	1208	7442	6235	0	2231
Not_anno	TRINITY_DN78663_c0_g2_i1	NM_006816.2	100	1170	0	0	1	1170	1392	223	0	2161
Not_anno	TRINITY_DN61599_c0_g1_i1	KJ892087.1	100	1027	0	0	1	1027	1380	354	0	1897
Not_anno	TRINITY_DN69655_c0_g2_i1	EU794616.1	99.902	1016	1	0	1	1016	2026	1011	0	1871
Not_anno	TRINITY_DN88312_c0_g3_i1	KJ897930.1	100	1154	0	0	1	1154	1378	225	0	2132
Not_anno	TRINITY_DN69831_c0_g2_i1	NM_005956.3	99.946	1850	1	0	1	1850	3431	1582	0	3411
Not_anno	TRINITY_DN94238_c0_g1_i1	BC006849.1	99.921	1262	1	0	1	1262	1262	1	0	2326
Not_anno	TRINITY_DN82446_c0_g1_i1	NR_027166.1	99.884	865	0	1	1	864	933	69	0	1591
Not_anno	TRINITY_DN25097_c0_g1_i1	NM_002815.3	100	1058	0	0	40	1097	1099	42	0	1954
Not_anno	TRINITY_DN73483_c0_g1_i1	NM_001618.3	99.972	3605	1	0	1	3605	3625	21	0	6652
Not_anno	TRINITY_DN59157_c0_g1_i1	CR749256.1	99.374	479	3	0	1	479	3394	2916	0	869
Not_anno	TRINITY_DN59149_c0_g1_i1	NM_003755.4	100	1070	0	0	1	1070	1102	33	0	1977
Not_anno	TRINITY_DN46240_c0_g1_i1	NM_001032293.2	100	1751	0	0	1	1751	1802	52	0	3234
Not_anno	TRINITY_DN84416_c0_g1_i1	XM_011516557.1	99.456	919	5	0	1	919	2495	1577	0	1670
Not_anno	TRINITY_DN93339_c0_g1_i1	NM_006826.3	100	2119	0	0	1	2119	2217	99	0	3914
Not_anno	TRINITY_DN75020_c0_g1_i1	BC019580.1	100	757	0	0	1	757	2452	1696	0	1399
Not_anno	TRINITY_DN44602_c0_g1_i1	AB209595.1	99.905	2104	0	2	1	2103	4714	2612	0	3873
Not_anno	TRINITY_DN21583_c0_g2_i1	NM_000979.3	100	650	0	0	10	659	883	234	0	1201
Not_anno	TRINITY_DN61377_c0_g2_i1	NM_012094.4	99.881	839	0	1	1	838	858	20	0	1543
Not_anno	TRINITY_DN37077_c0_g1_i1	NM_024098.3	100	1699	0	0	1	1699	1953	255	0	3138
Not_anno	TRINITY_DN3972_c0_g1_i1	NM_001959.3	99.757	823	0	2	1	821	1118	296	0	1507
Not_anno	TRINITY_DN60830_c0_g2_i1	NG_046742.1	100	612	0	0	1	612	22969	22358	0	1131
Not_anno	TRINITY_DN75532_c0_g1_i1	NM_033222.4	100	1489	0	0	1	1489	1594	106	0	2750
Not_anno	TRINITY_DN75500_c1_g2_i1	AK025331.1	100	594	0	0	1	594	2010	1417	0	1098
Not_anno	TRINITY_DN73105_c0_g1_i1	NM_001270472.1	100	1232	0	0	1	1232	3002	1771	0	2276
Not_anno	TRINITY_DN81846_c0_g1_i1	NG_029642.1	100	739	0	0	1	739	21646	20908	0	1365
Not_anno	TRINITY_DN24803_c0_g2_i1	XM_005268856.1	99.91	1114	1	0	1	1114	2990	1877	0	2052
Not_anno	TRINITY_DN24863_c0_g1_i1	NG_005427.7	99.86	715	0	1	1	715	849	136	0	1314
Not_anno	TRINITY_DN56861_c0_g1_i1	BC087845.1	100	1565	0	0	1	1565	1884	320	0	2891
Not_anno	TRINITY_DN56824_c0_g1_i1	NM_002624.3	100	581	0	0	1	581	683	103	0	1074
Not_anno	TRINITY_DN89910_c0_g1_i1	XM_005257632.1	100	1950	0	0	1	1950	5103	3154	0	3602
Not_anno	TRINITY_DN89910_c0_g2_i1	XM_011525165.1	100	1192	0	0	1	1192	3048	1857	0	2202
Not_anno	TRINITY_DN49766_c0_g1_i1	HM005637.1	100	1933	0	0	2	1934	2224	292	0	3570
Not_anno	TRINITY_DN49797_c0_g2_i1	NM_001144831.1	100	797	0	0	1	797	1439	643	0	1472
Not_anno	TRINITY_DN50075_c0_g1_i1	XM_017004502.1	100	892	0	0	1	892	1743	852	0	1648
Not_anno	TRINITY_DN10853_c0_g1_i1	NM_001313858.1	99.951	2040	1	0	1	2040	2228	189	0	3762
Not_anno	TRINITY_DN64492_c0_g2_i1	D63880.1	100	1169	0	0	1	1169	1914	746	0	2159
Not_anno	TRINITY_DN98033_c0_g2_i1	NM_002080.3	99.818	2193	3	1	1	2193	2434	243	0	4026
Not_anno	TRINITY_DN64077_c0_g1_i1	AB073391.1	99.967	3002	1	0	1	3002	4095	1094	0	5539
Not_anno	TRINITY_DN64077_c0_g2_i1	AB385266.1	100	1087	0	0	4	1090	1118	32	0	2008
Not_anno	TRINITY_DN96401_c0_g2_i1	NM_030810.4	99.931	1441	1	0	1	1441	1594	154	0	2656
Not_anno	TRINITY_DN81335_c0_g1_i1	XM_017028039.1	99.638	553	1	1	1	553	2684	2133	0	1009
Not_anno	TRINITY_DN127233_c1_g2_i1	NM_001079524.1	100	1741	0	0	10	1750	1860	120	0	3216
Not_anno	TRINITY_DN181489_c0_g1_i1	NM_003133.5	100	745	0	0	1	745	1466	722	0	1376
Not_anno	TRINITY_DN137326_c0_g1_i1	AL358512.9	100	849	0	0	1	849	43575	44423	0	1568
Not_anno	TRINITY_DN133773_c6_g4_i1	AK290397.1	99.935	1547	1	0	1	1547	1556	10	0	2852
Not_anno	TRINITY_DN154016_c0_g1_i1	NG_051953.1	99.922	1287	1	0	1	1287	35362	34076	0	2372
Not_anno	TRINITY_DN132616_c0_g3_i1	XM_017002744.1	100	950	0	0	1	950	1552	603	0	1755
Not_anno	TRINITY_DN143957_c0_g1_i1	NM_003133.5	100	714	0	0	1	714	714	1	0	1319
Not_anno	TRINITY_DN137464_c0_g1_i1	NM_007103.3	99.928	1384	1	0	1	1384	1486	103	0	2551
Not_anno	TRINITY_DN101453_c0_g1_i1	NM_004739.3	99.956	2278	1	0	1	2278	2557	280	0	4202
Not_anno	TRINITY_DN116102_c0_g3_i1	AC275490.1	99.42	1034	6	0	1	1034	42087	41054	0	1877
Not_anno	TRINITY_DN151793_c0_g1_i1	NG_033266.2	99.923	1304	1	0	1	1304	28781	30084	0	2403
Not_anno	TRINITY_DN151716_c0_g1_i1	XM_011537045.2	100	1292	0	0	1	1292	2637	1346	0	2386
Not_anno	TRINITY_DN158106_c0_g1_i1	XM_006713435.2	100	963	0	0	2	964	1807	845	0	1779
Not_anno	TRINITY_DN109173_c0_g3_i2	XM_017002812.1	100	1469	0	0	1	1469	1676	208	0	2713
Not_anno	TRINITY_DN135100_c1_g6_i1	XM_017017749.1	100	1875	0	0	1	1875	3094	1220	0	3463
Not_anno	TRINITY_DN135100_c1_g7_i1	BC026302.1	100	908	0	0	1	908	1424	517	0	1677
Not_anno	TRINITY_DN179695_c0_g1_i1	NM_001255.2	100	1513	0	0	1	1513	1656	144	0	2795
Not_anno	TRINITY_DN168198_c0_g1_i1	BC110399.1	99.929	1405	0	1	1	1405	1432	29	0	2588
Not_anno	TRINITY_DN186691_c0_g1_i1	NM_001014.4	99.837	614	1	0	1	614	652	39	0	1129
Not_anno	TRINITY_DN106039_c0_g1_i1	NM_005915.5	100	1194	0	0	1	1194	2936	1743	0	2206
Not_anno	TRINITY_DN198676_c0_g1_i1	NM_016333.3	100	658	0	0	1	658	9055	8398	0	1216
Not_anno	TRINITY_DN154117_c0_g1_i1	NM_004074.2	100	480	0	0	1	480	485	6	0	887
Not_anno	TRINITY_DN120797_c1_g2_i1	BC001747.1	100	1243	0	0	1	1243	1404	162	0	2296
Not_anno	TRINITY_DN110624_c0_g2_i1	NM_001042539.2	99.823	1133	0	1	1	1133	2757	1627	0	2080
Not_anno	TRINITY_DN110624_c0_g3_i4	XM_006721047.3	100	1018	0	0	1	1018	1282	265	0	1881
Not_anno	TRINITY_DN108642_c0_g2_i1	L21936.1	99.94	1655	1	0	1	1655	2242	588	0	3051
Not_anno	TRINITY_DN105825_c0_g1_i2	AB590105.1	100	1510	0	0	1	1510	1535	26	0	2789
Not_anno	TRINITY_DN134228_c1_g2_i1	NM_001077489.3	100	1365	0	0	1	1365	1920	556	0	2521
Not_anno	TRINITY_DN134228_c1_g3_i1	NM_080426.3	100	1368	0	0	1	1368	1923	556	0	2527
Not_anno	TRINITY_DN181720_c0_g1_i1	AK074933.1	100	1679	0	0	1	1679	3216	1538	0	3101
Not_anno	TRINITY_DN181625_c0_g1_i1	NM_032796.3	99.903	1027	1	0	1	1027	1266	240	0	1892
Not_anno	TRINITY_DN108113_c0_g1_i1	XR_001737556.1	99.058	743	7	0	1	743	1690	948	0	1334
Not_anno	TRINITY_DN107049_c0_g1_i1	KT923687.1	98.822	594	7	0	4	597	669	76	0	1059
Not_anno	TRINITY_DN137542_c0_g1_i1	XM_011528132.1	100	1086	0	0	1	1086	1238	153	0	2006
Not_anno	TRINITY_DN101963_c0_g2_i1	NM_018127.6	99.944	1777	1	0	1	1777	1817	41	0	3277
Not_anno	TRINITY_DN141609_c0_g1_i1	NM_001291411.1	100	1001	0	0	1	1001	5889	4889	0	1849
Not_anno	TRINITY_DN110159_c0_g4_i1	NM_152926.2	100	1791	0	0	1	1791	1863	73	0	3308
Not_anno	TRINITY_DN155375_c0_g1_i1	XM_017008879.1	100	1351	0	0	1	1351	1539	189	0	2495
Not_anno	TRINITY_DN121530_c2_g1_i1	NM_001960.5	99.9	997	1	0	1	997	1245	249	0	1836
Not_anno	TRINITY_DN129273_c5_g4_i1	XM_005271113.4	100	2262	0	0	3	2264	2289	28	0	4178
Not_anno	TRINITY_DN130652_c1_g3_i1	BC032613.1	100	1345	0	0	1	1345	3394	2050	0	2484
Not_anno	TRINITY_DN136811_c0_g1_i1	NM_032737.3	99.961	2582	1	0	1	2582	2607	26	0	4763
Not_anno	TRINITY_DN124326_c0_g1_i1	XM_017030288.1	97.1	931	23	4	3	931	1481	553	0	1567
Not_anno	TRINITY_DN180364_c0_g1_i1	NM_014814.2	100	1304	0	0	3	1306	1435	132	0	2409
Not_anno	TRINITY_DN134033_c9_g1_i1	AH002819.2	100	924	0	0	1	924	3937	3014	0	1707
Not_anno	TRINITY_DN193759_c0_g1_i1	NM_007209.3	99.153	472	0	1	1	468	472	1	0	846
Not_anno	TRINITY_DN180116_c0_g1_i1	NM_000801.4	100	979	0	0	1	979	1049	71	0	1808
Not_anno	TRINITY_DN137053_c0_g1_i1	BC101493.1	100	815	0	0	1	815	865	51	0	1506
Not_anno	TRINITY_DN137078_c0_g1_i1	BC014009.2	99.93	1428	1	0	1	1428	1480	53	0	2632
Not_anno	TRINITY_DN101899_c0_g1_i2	NM_031989.4	99.931	1445	1	0	1	1445	1667	223	0	2663
Not_anno	TRINITY_DN134398_c2_g1_i1	BC104643.1	100	917	0	0	1	917	933	17	0	1694
Not_anno	TRINITY_DN164895_c0_g1_i1	XM_005245208.2	100	1063	0	0	1	1063	1412	350	0	1964
Not_anno	TRINITY_DN108087_c0_g1_i1	XM_011531161.2	97.691	996	23	0	4	999	1702	707	0	1712
Not_anno	TRINITY_DN165733_c0_g1_i1	NM_006667.4	99.941	1700	1	0	1	1700	1755	56	0	3134
Not_anno	TRINITY_DN123398_c4_g3_i2	NM_181891.2	100	1499	0	0	1	1499	1916	418	0	2769
Not_anno	TRINITY_DN138522_c0_g1_i1	NM_001293.2	99.921	1263	1	0	1	1263	1317	55	0	2327
Not_anno	TRINITY_DN133905_c2_g1_i1	NM_001904.3	100	2581	0	0	1	2581	2653	73	0	4767
Not_anno	TRINITY_DN195903_c0_g1_i1	NM_002792.3	99.902	1020	1	0	9	1028	1026	7	0	1879
Not_anno	TRINITY_DN136909_c0_g1_i1	NM_001022.3	100	567	0	0	1	567	856	290	0	1048
Not_anno	TRINITY_DN135709_c2_g4_i1	XM_017006985.1	100	1332	0	0	1	1332	5071	3740	0	2460
Not_anno	TRINITY_DN164933_c0_g1_i1	NM_003677.4	99.873	788	1	0	1	788	817	30	0	1450
Not_anno	TRINITY_DN179978_c0_g1_i1	EF011621.1	99.921	1262	0	1	1	1261	1367	106	0	2324
Not_anno	TRINITY_DN125885_c4_g4_i1	NR_037926.1	99.749	398	0	1	1	397	4303	3906	0	728
Not_anno	TRINITY_DN165395_c0_g1_i1	NM_018947.5	100	1025	0	0	2	1026	1135	111	0	1893
Not_anno	TRINITY_DN170329_c0_g1_i1	BC007723.2	100	533	0	0	1	533	533	1	0	985
Not_anno	TRINITY_DN126126_c1_g3_i1	NM_002128.5	100	749	0	0	1	749	785	37	0	1384
Not_anno	TRINITY_DN187391_c0_g1_i1	NM_006118.3	100	1065	0	0	1	1065	1160	96	0	1967
Not_anno	TRINITY_DN152269_c0_g1_i1	HM005676.1	99.838	1234	0	1	1	1232	1325	92	0	2266
Not_anno	TRINITY_DN122335_c0_g3_i1	AK074935.1	100	1436	0	0	1	1436	1449	14	0	2652
Not_anno	TRINITY_DN122389_c1_g2_i1	BC053988.1	100	653	0	0	1	653	2627	1975	0	1206
Not_anno	TRINITY_DN138755_c0_g1_i1	NM_007065.3	100	1304	0	0	1	1304	1375	72	0	2409
Not_anno	TRINITY_DN106700_c0_g1_i1	NM_003368.4	97.391	1878	43	4	51	1924	2467	592	0	3192
Not_anno	TRINITY_DN193342_c0_g1_i1	NM_018840.4	100	845	0	0	1	845	985	141	0	1561
Not_anno	TRINITY_DN117634_c0_g2_i1	AK024985.1	100	2359	0	0	38	2396	2380	22	0	4357
Not_anno	TRINITY_DN168661_c0_g1_i1	BC001015.2	100	498	0	0	1	498	568	71	0	920
Not_anno	TRINITY_DN123593_c1_g1_i1	NM_004500.3	100	1720	0	0	1	1720	1788	69	0	3177
Not_anno	TRINITY_DN195698_c0_g1_i1	BC016354.1	100	860	0	0	1	860	872	13	0	1589
Not_anno	TRINITY_DN195602_c0_g1_i1	BC035499.2	100	1276	0	0	1	1276	1289	14	0	2357
Not_anno	TRINITY_DN131905_c3_g1_i1	XM_017027422.1	100	1393	0	0	1	1393	3701	2309	0	2573
Not_anno	TRINITY_DN132763_c3_g3_i1	NM_005809.5	100	919	0	0	1	919	1012	94	0	1698
Not_anno	TRINITY_DN167146_c0_g1_i1	XM_017016910.1	100	1134	0	0	1	1134	4225	3092	0	2095
Not_anno	TRINITY_DN152151_c0_g1_i1	NM_001010858.2	99.875	1598	1	1	1	1597	1905	308	0	2939
Not_anno	TRINITY_DN118778_c0_g1_i1	KJ411911.1	99.202	752	1	2	209	955	1304	553	0	1351
Not_anno	TRINITY_DN181800_c0_g1_i1	NM_001286572.2	100	894	0	0	1	894	4208	3315	0	1652
Not_anno	TRINITY_DN166548_c0_g1_i1	HM005433.1	100	1241	0	0	1	1241	1268	28	0	2292
Not_anno	TRINITY_DN167046_c0_g1_i1	XM_006711915.2	99.916	1184	1	0	1	1184	4326	3143	0	2182
Not_anno	TRINITY_DN140091_c0_g1_i1	NM_001282578.2	100	1018	0	0	2	1019	2108	1091	0	1881
Not_anno	TRINITY_DN179719_c0_g1_i1	NM_002812.4	100	888	0	0	1	888	1100	213	0	1640
Not_anno	TRINITY_DN142593_c0_g1_i1	BC015500.1	100	651	0	0	1	651	651	1	0	1203
Not_anno	TRINITY_DN122611_c2_g2_i1	NM_002094.3	99.958	2355	1	0	1	2355	2644	290	0	4344
Not_anno	TRINITY_DN131292_c2_g5_i1	XR_001738680.1	99.881	840	1	0	1	840	4353	3514	0	1546
Not_anno	TRINITY_DN196729_c0_g1_i1	BC002393.1	100	694	0	0	1	694	707	14	0	1282
Not_anno	TRINITY_DN184038_c0_g1_i1	NM_004905.2	100	1653	0	0	1	1653	1653	1	0	3053
Not_anno	TRINITY_DN194939_c0_g1_i1	NM_002793.3	99.552	892	1	1	1	889	924	33	0	1622
Not_anno	TRINITY_DN127567_c6_g4_i1	NM_004152.3	100	935	0	0	1	935	982	48	0	1727
Not_anno	TRINITY_DN112540_c0_g3_i1	KF429754.1	100	606	0	0	1	606	2310	1705	0	1120
Not_anno	TRINITY_DN132568_c0_g2_i1	NM_000992.2	99.132	691	0	1	16	706	695	11	0	1238
Not_anno	TRINITY_DN193595_c0_g1_i1	NM_004541.3	100	341	0	0	1	341	424	84	5.30E-177	630
Not_anno	TRINITY_DN171229_c0_g1_i1	NM_078468.2	100	862	0	0	1	862	887	26	0	1592
Not_anno	TRINITY_DN158995_c0_g1_i1	BC002344.2	100	894	0	0	1	894	909	16	0	1652
Not_anno	TRINITY_DN126715_c0_g1_i1	BC008714.2	100	1037	0	0	11	1047	1050	14	0	1916
Not_anno	TRINITY_DN123448_c1_g2_i6	HG512583.1	100	679	0	0	1	679	7846	7168	0	1254
Not_anno	TRINITY_DN103197_c0_g1_i2	NM_001113202.1	100	835	0	0	4	838	1033	199	0	1543
Not_anno	TRINITY_DN156353_c0_g1_i1	KJ906375.1	100	501	0	0	1	501	650	150	0	926
Not_anno	TRINITY_DN193688_c0_g1_i1	KP240928.1	99.889	901	1	0	1	901	13753	14653	0	1659
Not_anno	TRINITY_DN193476_c0_g1_i1	NM_001780.5	100	850	0	0	1	850	995	146	0	1570
Not_anno	TRINITY_DN193443_c0_g1_i1	NM_004872.4	99.306	1009	5	2	1	1008	1251	244	0	1823
Not_anno	TRINITY_DN194884_c0_g1_i1	XM_011526889.1	100	852	0	0	1	852	1012	161	0	1574
Not_anno	TRINITY_DN153416_c0_g1_i1	BC068554.1	100	610	0	0	1	610	2767	2158	0	1127
Not_anno	TRINITY_DN139875_c0_g1_i1	NM_002883.3	100	1372	0	0	1	1372	1441	70	0	2534
Not_anno	TRINITY_DN190275_c0_g1_i1	NM_014829.3	100	1115	0	0	1	1115	1801	687	0	2060
Not_anno	TRINITY_DN134497_c1_g3_i1	XM_017018729.1	98.574	1753	25	0	1	1753	2982	1230	0	3099
Not_anno	TRINITY_DN100697_c0_g2_i1	AK123360.1	100	992	0	0	3	994	2021	1030	0	1832
Not_anno	TRINITY_DN194386_c0_g1_i1	NM_003860.3	100	685	0	0	1	685	1104	420	0	1266
Not_anno	TRINITY_DN194354_c0_g1_i1	NM_015932.5	100	637	0	0	1	637	742	106	0	1177
Not_anno	TRINITY_DN165574_c0_g1_i1	NM_004896.4	99.923	1295	0	1	1	1294	1380	86	0	2385
Not_anno	TRINITY_DN165562_c0_g1_i1	NM_017838.3	100	813	0	0	1	813	848	36	0	1502
Not_anno	TRINITY_DN131583_c4_g1_i1	NM_002948.3	100	1997	0	0	1	1997	2313	317	0	3688
Not_anno	TRINITY_DN140209_c0_g1_i1	NM_003089.5	99.926	1354	1	0	3	1356	1666	313	0	2495
Not_anno	TRINITY_DN182176_c0_g1_i1	XM_017029289.1	100	1876	0	0	1	1876	4433	2558	0	3465
Not_anno	TRINITY_DN115504_c0_g1_i1	BC015559.1	99.785	931	0	1	1	929	1227	2157	0	1707
Not_anno	TRINITY_DN152005_c0_g1_i1	NM_001328682.1	100	1072	0	0	1	1072	3566	2495	0	1980
Not_anno	TRINITY_DN104020_c2_g2_i1	BC021212.1	100	514	0	0	1	514	2824	2311	0	950
Not_anno	TRINITY_DN167276_c0_g1_i1	NR_026581.1	100	1066	0	0	3	1068	1425	360	0	1969
Not_anno	TRINITY_DN106190_c0_g4_i1	NM_001417.6	99.32	3531	4	4	1	3516	3712	187	0	6370
Not_anno	TRINITY_DN165941_c0_g1_i1	NM_016139.3	100	732	0	0	1	732	894	163	0	1352
Not_anno	TRINITY_DN105569_c0_g2_i1	NM_014394.2	99.94	1674	1	0	1	1674	1807	134	0	3086
Not_anno	TRINITY_DN153245_c0_g1_i1	BC028607.1	100	806	0	0	1	806	2239	1434	0	1489
Not_anno	TRINITY_DN125999_c6_g3_i1	HM005434.1	96.689	1057	33	2	1	1056	1076	21	0	1757
Not_anno	TRINITY_DN125941_c2_g1_i1	NM_001282578.2	99.55	667	3	0	1	667	1135	469	0	1216
Not_anno	TRINITY_DN166824_c0_g1_i1	NM_002805.5	99.926	1349	1	0	12	1360	1352	4	0	2486
Not_anno	TRINITY_DN140349_c0_g1_i1	NM_006713.3	100	621	0	0	1	621	659	39	0	1147
Not_anno	TRINITY_DN165067_c0_g1_i1	NM_000175.4	100	2218	0	0	1	2218	2290	73	0	4096
Not_anno	TRINITY_DN154999_c0_g1_i1	NM_001164817.1	100	1086	0	0	1	1086	1209	124	0	2006
Not_anno	TRINITY_DN157882_c0_g1_i1	NM_000117.2	100	948	0	0	1	948	1053	106	0	1751
Not_anno	TRINITY_DN196376_c0_g1_i1	BC062439.1	100	1128	0	0	1	1128	1142	15	0	2084
Not_anno	TRINITY_DN196377_c0_g1_i1	BC094817.1	99.874	794	1	0	1	794	875	82	0	1461
Not_anno	TRINITY_DN104559_c0_g1_i2	NM_002823.4	100	1198	0	0	1	1198	1207	10	0	2213
Not_anno	TRINITY_DN138281_c0_g1_i1	NM_006445.3	100	2185	0	0	1	2185	2283	99	0	4036
Not_anno	TRINITY_DN142789_c0_g1_i1	EU794616.1	100	793	0	0	1	793	943	151	0	1465
Not_anno	TRINITY_DN154861_c0_g1_i1	NM_001170544.1	99.848	1318	2	0	1	1318	1474	157	0	2423
Not_anno	TRINITY_DN101274_c0_g1_i2	NM_004537.6	99.872	1561	0	2	1	1560	3529	1970	0	2870
Not_anno	TRINITY_DN128699_c1_g2_i1	XM_017028039.1	99.509	611	2	1	24	633	1872	1262	0	1110
Not_anno	TRINITY_DN103814_c0_g1_i1	NM_005762.2	99.959	2450	1	0	7	2456	2959	510	0	4519
Not_anno	TRINITY_DN184145_c0_g1_i1	AF419845.1	100	1057	0	0	1	1057	1095	39	0	1953
Not_anno	TRINITY_DN122048_c0_g1_i1	XM_017001117.1	99.519	2285	5	4	23	2304	2773	492	0	4154
Not_anno	TRINITY_DN122021_c2_g5_i1	AK304552.1	100	376	0	0	1	376	385	10	0	695
Not_anno	TRINITY_DN129669_c3_g1_i1	NM_002166.4	100	705	0	0	1	705	1106	402	0	1303
Not_anno	TRINITY_DN138081_c0_g1_i1	NM_000386.3	100	1551	0	0	1	1551	1966	416	0	2865
Not_anno	TRINITY_DN166742_c0_g1_i1	NM_001330523.1	99.908	1087	1	0	1	1087	1677	591	0	2002
Not_anno	TRINITY_DN115749_c0_g2_i1	NM_001078171.1	99.638	1106	4	0	1	1106	1172	67	0	2021
Not_anno	TRINITY_DN180447_c0_g1_i1	NM_000937.4	99.899	988	1	0	1	988	4949	3962	0	1820
Not_anno	TRINITY_DN100851_c0_g1_i1	NM_001291157.1	99.927	1369	1	0	1	1369	5542	4174	0	2523
Not_anno	TRINITY_DN100851_c0_g2_i1	NM_001291157.1	99.947	3802	2	0	1	3802	4201	400	0	7011
Not_anno	TRINITY_DN100825_c1_g1_i1	AC270227.1	99.848	1975	2	1	1	1974	99420	101394	0	3629
Not_anno	TRINITY_DN183010_c0_g1_i1	XM_001152516.4	99.868	760	1	0	1	760	950	191	0	1399
Not_anno	TRINITY_DN137228_c0_g1_i1	NM_002720.2	100	1278	0	0	1	1278	1320	43	0	2361
Not_anno	TRINITY_DN151867_c0_g1_i1	XR_946766.2	100	1135	0	0	1	1135	1354	220	0	2097
Not_anno	TRINITY_DN151869_c0_g1_i1	NM_014501.2	100	981	0	0	1	981	1161	181	0	1812
Not_anno	TRINITY_DN137805_c0_g1_i1	AK022537.1	100	1213	0	0	1	1213	1229	17	0	2241
Not_anno	TRINITY_DN138452_c0_g1_i1	XM_005248501.1	100	1188	0	0	1	1188	1216	29	0	2194
Not_anno	TRINITY_DN138433_c0_g1_i1	NM_001168.2	99.9	999	1	0	4	1002	1073	75	0	1840
Not_anno	TRINITY_DN151175_c0_g1_i1	XM_011540477.2	100	796	0	0	1	796	2483	1688	0	1471
Not_anno	TRINITY_DN195546_c0_g1_i1	AH001426.2	100	932	0	0	1	932	4828	3897	0	1722
Not_anno	TRINITY_DN152630_c0_g1_i1	AC239413.3	100	898	0	0	1	898	19441	20338	0	1659
Not_anno	TRINITY_DN137182_c0_g1_i1	NM_006585.3	100	1809	0	0	1	1809	1969	161	0	3341
Not_anno	TRINITY_DN137138_c0_g1_i1	NM_021210.4	100	651	0	0	1	651	665	15	0	1203
