G23,G27,G31,G43,G46
,,,TRINITY_DN77563_c0_g2_i1,TRINITY_DN115573_c4_g2_i2
,,,TRINITY_DN77871_c0_g2_i1,TRINITY_DN115577_c5_g2_i2
,,,TRINITY_DN78456_c0_g2_i1,TRINITY_DN115578_c1_g1_i10
,,,TRINITY_DN78504_c0_g1_i1,TRINITY_DN115580_c1_g1_i2
,,,TRINITY_DN78809_c0_g1_i1,TRINITY_DN115581_c0_g1_i2
,,,TRINITY_DN79129_c0_g2_i1,TRINITY_DN115583_c4_g1_i4
,,,TRINITY_DN79294_c0_g1_i2,TRINITY_DN115585_c16_g1_i3
,,,TRINITY_DN79601_c0_g1_i1,TRINITY_DN115585_c3_g1_i1
,,,TRINITY_DN79700_c0_g2_i1,TRINITY_DN115586_c4_g1_i7
,,,TRINITY_DN80327_c1_g1_i1,TRINITY_DN115587_c2_g1_i2
,,,TRINITY_DN80634_c0_g1_i1,TRINITY_DN115591_c2_g1_i1
,,,TRINITY_DN81196_c0_g1_i1,TRINITY_DN115592_c0_g1_i1
,,,TRINITY_DN81306_c0_g1_i1,TRINITY_DN115593_c1_g1_i3
,,,TRINITY_DN81314_c0_g1_i1,TRINITY_DN115594_c0_g1_i7
,,,TRINITY_DN81626_c0_g1_i2,TRINITY_DN115594_c0_g5_i1
,,,TRINITY_DN82264_c0_g1_i1,TRINITY_DN115598_c0_g1_i2
,,,TRINITY_DN82376_c0_g2_i1,TRINITY_DN115598_c0_g2_i1
,,,TRINITY_DN82441_c0_g1_i1,TRINITY_DN115598_c0_g3_i2
,,,TRINITY_DN82453_c0_g1_i1,TRINITY_DN115598_c0_g5_i1
,,,TRINITY_DN8252_c0_g2_i1,TRINITY_DN115606_c6_g5_i2
,,,TRINITY_DN83161_c0_g2_i1,TRINITY_DN115607_c0_g1_i2
,,,TRINITY_DN83402_c0_g1_i1,TRINITY_DN115609_c1_g1_i1
,,,TRINITY_DN83541_c0_g1_i1,TRINITY_DN115610_c3_g1_i3
,,,TRINITY_DN84047_c1_g1_i1,TRINITY_DN115611_c4_g1_i1
,,,TRINITY_DN84382_c0_g1_i1,TRINITY_DN115611_c6_g3_i1
,,,TRINITY_DN85739_c0_g1_i1,TRINITY_DN115612_c2_g3_i2
,,,TRINITY_DN85841_c0_g2_i1,TRINITY_DN115612_c2_g8_i1
,,,TRINITY_DN86043_c0_g1_i1,TRINITY_DN115613_c0_g1_i1
,,,TRINITY_DN88159_c0_g1_i2,TRINITY_DN115615_c12_g1_i3
,,,TRINITY_DN8819_c0_g1_i1,TRINITY_DN115618_c2_g1_i2
,,,TRINITY_DN88631_c1_g1_i1,TRINITY_DN115621_c1_g1_i10
,,,TRINITY_DN89146_c0_g1_i1,TRINITY_DN115623_c7_g1_i1
,,,TRINITY_DN89744_c0_g2_i1,TRINITY_DN115624_c4_g2_i2
,,,TRINITY_DN90959_c0_g3_i1,TRINITY_DN115626_c0_g1_i1
,,,TRINITY_DN92018_c0_g2_i1,TRINITY_DN115627_c0_g1_i1
,,,TRINITY_DN92447_c0_g1_i1,TRINITY_DN115633_c0_g2_i2
,,,TRINITY_DN92684_c1_g1_i1,TRINITY_DN115634_c1_g1_i3
,,,TRINITY_DN92692_c0_g2_i1,TRINITY_DN115637_c0_g1_i4
,,,TRINITY_DN93990_c0_g1_i1,TRINITY_DN115637_c0_g2_i2
,,,TRINITY_DN94294_c0_g1_i2,TRINITY_DN115638_c2_g8_i1
,,,TRINITY_DN94767_c0_g1_i1,TRINITY_DN115642_c9_g1_i1
,,,TRINITY_DN94788_c0_g1_i1,TRINITY_DN115645_c0_g1_i12
,,,TRINITY_DN94807_c0_g1_i1,TRINITY_DN115653_c1_g1_i1
,,,TRINITY_DN95146_c0_g1_i1,TRINITY_DN115653_c1_g4_i1
,,,TRINITY_DN95338_c0_g1_i2,TRINITY_DN115655_c0_g1_i1
,,,TRINITY_DN95346_c0_g1_i1,TRINITY_DN115656_c0_g1_i1
,,,TRINITY_DN95368_c0_g2_i1,TRINITY_DN115656_c1_g1_i1
,,,TRINITY_DN95434_c0_g2_i2,TRINITY_DN115658_c1_g7_i1
,,,TRINITY_DN95652_c0_g1_i2,TRINITY_DN115659_c0_g1_i5
,,,TRINITY_DN95789_c0_g1_i1,TRINITY_DN115665_c3_g1_i1
,,,TRINITY_DN9596_c0_g1_i1,TRINITY_DN115667_c6_g3_i3
,,,TRINITY_DN9607_c0_g1_i1,TRINITY_DN115667_c6_g6_i1
,,,TRINITY_DN96125_c0_g2_i1,TRINITY_DN115668_c0_g2_i2
,,,TRINITY_DN96616_c0_g1_i1,TRINITY_DN115672_c5_g1_i6
,,,TRINITY_DN96984_c0_g2_i1,TRINITY_DN115673_c3_g1_i1
,,,TRINITY_DN97207_c0_g2_i1,TRINITY_DN115675_c1_g1_i2
,,,TRINITY_DN97282_c0_g1_i1,TRINITY_DN115683_c3_g1_i9
,,,TRINITY_DN97299_c0_g4_i1,TRINITY_DN115686_c10_g1_i3
,,,TRINITY_DN97587_c0_g1_i2,TRINITY_DN115696_c0_g1_i2
,,,TRINITY_DN97747_c0_g1_i2,TRINITY_DN115698_c6_g4_i1
,,,TRINITY_DN97851_c0_g1_i1,TRINITY_DN115698_c6_g5_i1
,,,TRINITY_DN97920_c0_g1_i1,TRINITY_DN115700_c2_g1_i2
,,,TRINITY_DN97962_c1_g1_i2,TRINITY_DN115703_c1_g1_i1
,,,TRINITY_DN98091_c0_g1_i1,TRINITY_DN115703_c4_g3_i1
,,,TRINITY_DN98155_c0_g1_i1,TRINITY_DN115705_c1_g1_i1
,,,TRINITY_DN98158_c0_g1_i1,TRINITY_DN115705_c3_g3_i1
,,,TRINITY_DN98228_c0_g1_i1,TRINITY_DN115708_c7_g1_i3
,,,TRINITY_DN98231_c1_g2_i1,TRINITY_DN115712_c4_g1_i1
,,,TRINITY_DN98263_c0_g3_i1,TRINITY_DN115712_c8_g1_i5
,,,TRINITY_DN99042_c0_g1_i1,TRINITY_DN115713_c7_g2_i1
,,,TRINITY_DN99070_c0_g1_i1,TRINITY_DN115718_c5_g2_i4
,,,TRINITY_DN99081_c2_g1_i1,TRINITY_DN115722_c1_g1_i2
,,,TRINITY_DN99417_c0_g2_i1,TRINITY_DN115722_c1_g2_i1
,,,TRINITY_DN99528_c0_g2_i1,TRINITY_DN115725_c2_g2_i12
,,,TRINITY_DN99585_c0_g1_i1,TRINITY_DN115726_c3_g1_i1
,,,TRINITY_DN99585_c1_g1_i1,TRINITY_DN115731_c0_g1_i3
,,,TRINITY_DN99632_c0_g2_i1,TRINITY_DN115732_c3_g1_i1
,,,TRINITY_DN99920_c1_g1_i1,TRINITY_DN115732_c4_g1_i2
,,,TRINITY_DN99997_c0_g1_i1,TRINITY_DN115732_c4_g3_i1
,,,,TRINITY_DN115732_c4_g5_i1
,,,,TRINITY_DN115741_c4_g5_i2
,,,,TRINITY_DN115744_c8_g2_i1
,,,,TRINITY_DN115745_c6_g1_i3
,,,,TRINITY_DN115747_c0_g1_i7
,,,,TRINITY_DN115752_c0_g1_i3
,,,,TRINITY_DN115754_c0_g1_i11
,,,,TRINITY_DN115755_c2_g2_i7
,,,,TRINITY_DN115756_c1_g1_i1
,,,,TRINITY_DN115760_c2_g1_i2
,,,,TRINITY_DN115761_c6_g2_i3
,,,,TRINITY_DN115761_c6_g3_i1
,,,,TRINITY_DN115761_c6_g4_i2
,,,,TRINITY_DN115762_c2_g2_i1
,,,,TRINITY_DN115770_c8_g1_i1
,,,,TRINITY_DN115771_c1_g1_i3
,,,,TRINITY_DN115772_c7_g1_i2
,,,,TRINITY_DN115774_c5_g4_i2
,,,,TRINITY_DN115775_c0_g1_i1
,,,,TRINITY_DN115776_c0_g1_i1
,,,,TRINITY_DN115778_c1_g1_i2
,,,,TRINITY_DN115779_c0_g2_i1
,,,,TRINITY_DN115779_c0_g4_i1
,,,,TRINITY_DN115781_c2_g3_i1
,,,,TRINITY_DN115783_c8_g5_i1
,,,,TRINITY_DN115784_c1_g1_i3
,,,,TRINITY_DN115784_c2_g1_i2
,,,,TRINITY_DN115790_c3_g1_i2
,,,,TRINITY_DN115799_c6_g2_i7
,,,,TRINITY_DN115800_c2_g1_i1
,,,,TRINITY_DN115800_c2_g6_i1
,,,,TRINITY_DN115802_c2_g1_i4
,,,,TRINITY_DN115804_c4_g1_i2
,,,,TRINITY_DN115806_c2_g7_i2
,,,,TRINITY_DN115808_c4_g2_i3
,,,,TRINITY_DN115809_c1_g2_i2
,,,,TRINITY_DN115809_c2_g5_i1
,,,,TRINITY_DN115809_c2_g6_i1
,,,,TRINITY_DN115811_c2_g1_i1
,,,,TRINITY_DN115811_c3_g2_i1
,,,,TRINITY_DN115823_c0_g1_i5
,,,,TRINITY_DN115824_c0_g1_i1
,,,,TRINITY_DN115825_c6_g1_i1
,,,,TRINITY_DN115830_c5_g1_i2
,,,,TRINITY_DN115834_c1_g1_i1
,,,,TRINITY_DN115834_c1_g6_i2
,,,,TRINITY_DN115839_c2_g2_i5
,,,,TRINITY_DN115840_c2_g1_i3
,,,,TRINITY_DN115840_c2_g2_i1
,,,,TRINITY_DN115840_c3_g1_i1
,,,,TRINITY_DN115841_c0_g1_i2
,,,,TRINITY_DN115846_c1_g3_i1
,,,,TRINITY_DN115848_c7_g1_i6
,,,,TRINITY_DN115851_c9_g1_i1
,,,,TRINITY_DN115854_c0_g1_i12
,,,,TRINITY_DN115857_c5_g1_i2
,,,,TRINITY_DN115857_c5_g3_i1
,,,,TRINITY_DN115863_c6_g1_i1
,,,,TRINITY_DN115863_c6_g5_i1
,,,,TRINITY_DN115865_c5_g2_i1
,,,,TRINITY_DN115869_c3_g1_i1
,,,,TRINITY_DN115870_c0_g1_i1
,,,,TRINITY_DN115870_c2_g1_i2
,,,,TRINITY_DN115873_c4_g3_i5
,,,,TRINITY_DN115879_c0_g1_i2
,,,,TRINITY_DN115880_c7_g4_i3
,,,,TRINITY_DN115882_c1_g4_i1
,,,,TRINITY_DN115884_c0_g1_i2
,,,,TRINITY_DN115894_c0_g1_i3
,,,,TRINITY_DN115896_c0_g1_i1
,,,,TRINITY_DN115898_c2_g2_i3
,,,,TRINITY_DN115899_c0_g1_i2
,,,,TRINITY_DN115902_c4_g1_i3
,,,,TRINITY_DN115903_c0_g1_i3
,,,,TRINITY_DN115905_c5_g1_i5
,,,,TRINITY_DN115905_c5_g3_i1
,,,,TRINITY_DN115909_c0_g1_i6
,,,,TRINITY_DN115914_c5_g3_i1
,,,,TRINITY_DN115915_c4_g1_i2
,,,,TRINITY_DN115916_c4_g3_i2
,,,,TRINITY_DN115918_c1_g1_i1
,,,,TRINITY_DN115918_c3_g1_i5
,,,,TRINITY_DN115918_c4_g1_i8
,,,,TRINITY_DN115918_c5_g1_i2
,,,,TRINITY_DN115919_c1_g1_i9
,,,,TRINITY_DN115920_c1_g1_i2
,,,,TRINITY_DN115922_c6_g1_i1
,,,,TRINITY_DN115923_c6_g1_i1
,,,,TRINITY_DN115924_c0_g4_i2
,,,,TRINITY_DN115924_c0_g5_i1
,,,,TRINITY_DN115927_c4_g1_i2
,,,,TRINITY_DN115946_c7_g4_i1
,,,,TRINITY_DN115952_c3_g1_i1
,,,,TRINITY_DN115952_c3_g2_i2
,,,,TRINITY_DN115952_c4_g1_i1
,,,,TRINITY_DN115955_c1_g1_i1
,,,,TRINITY_DN115957_c6_g1_i8
,,,,TRINITY_DN115962_c0_g1_i10
,,,,TRINITY_DN115964_c0_g1_i5
,,,,TRINITY_DN115965_c1_g1_i1
,,,,TRINITY_DN115969_c3_g1_i5
,,,,TRINITY_DN115975_c4_g1_i3
,,,,TRINITY_DN115978_c10_g1_i2
,,,,TRINITY_DN115979_c1_g1_i2
,,,,TRINITY_DN115980_c6_g1_i1
,,,,TRINITY_DN115981_c1_g1_i1
,,,,TRINITY_DN115982_c0_g1_i1
,,,,TRINITY_DN115985_c4_g1_i1
,,,,TRINITY_DN115986_c4_g2_i10
,,,,TRINITY_DN115988_c2_g1_i7
,,,,TRINITY_DN115991_c1_g1_i7
,,,,TRINITY_DN115992_c0_g1_i8
,,,,TRINITY_DN115994_c2_g1_i2
,,,,TRINITY_DN115994_c5_g3_i1
,,,,TRINITY_DN116005_c5_g1_i1
,,,,TRINITY_DN116007_c0_g4_i1
,,,,TRINITY_DN116008_c0_g1_i4
,,,,TRINITY_DN116009_c3_g2_i3
,,,,TRINITY_DN116017_c2_g1_i2
,,,,TRINITY_DN116018_c0_g1_i1
,,,,TRINITY_DN116023_c0_g1_i1
,,,,TRINITY_DN116026_c4_g1_i1
,,,,TRINITY_DN116026_c5_g3_i1
,,,,TRINITY_DN116027_c3_g4_i3
,,,,TRINITY_DN116031_c4_g1_i1
,,,,TRINITY_DN116031_c5_g1_i4
,,,,TRINITY_DN116031_c6_g1_i1
,,,,TRINITY_DN116035_c0_g1_i2
,,,,TRINITY_DN116036_c3_g1_i1
,,,,TRINITY_DN116036_c3_g2_i1
,,,,TRINITY_DN116037_c9_g2_i1
,,,,TRINITY_DN116039_c5_g1_i1
,,,,TRINITY_DN116039_c7_g10_i1
,,,,TRINITY_DN116040_c2_g3_i1
,,,,TRINITY_DN116043_c0_g1_i1
,,,,TRINITY_DN116043_c0_g2_i6
,,,,TRINITY_DN116044_c6_g2_i7
,,,,TRINITY_DN116047_c6_g1_i1
,,,,TRINITY_DN116048_c1_g1_i2
,,,,TRINITY_DN116055_c8_g1_i4
,,,,TRINITY_DN116057_c4_g5_i2
,,,,TRINITY_DN116058_c5_g1_i3
,,,,TRINITY_DN116058_c6_g3_i1
,,,,TRINITY_DN116060_c10_g1_i8
,,,,TRINITY_DN116060_c10_g3_i1
,,,,TRINITY_DN116062_c4_g4_i9
,,,,TRINITY_DN116066_c0_g1_i2
,,,,TRINITY_DN116070_c0_g1_i4
,,,,TRINITY_DN116073_c0_g1_i3
,,,,TRINITY_DN116077_c2_g1_i12
,,,,TRINITY_DN116078_c5_g1_i1
,,,,TRINITY_DN116078_c5_g2_i4
,,,,TRINITY_DN116081_c5_g1_i3
,,,,TRINITY_DN116081_c6_g1_i5
,,,,TRINITY_DN116083_c9_g1_i1
,,,,TRINITY_DN116085_c2_g2_i1
,,,,TRINITY_DN116086_c7_g1_i1
,,,,TRINITY_DN116088_c3_g1_i2
,,,,TRINITY_DN116088_c3_g2_i1
,,,,TRINITY_DN116089_c0_g1_i3
,,,,TRINITY_DN116090_c10_g1_i2
,,,,TRINITY_DN116099_c10_g2_i3
,,,,TRINITY_DN116101_c5_g1_i5
,,,,TRINITY_DN116103_c7_g2_i1
,,,,TRINITY_DN116106_c0_g1_i7
,,,,TRINITY_DN116110_c2_g11_i1
,,,,TRINITY_DN116110_c2_g5_i2
,,,,TRINITY_DN116111_c0_g2_i10
,,,,TRINITY_DN116115_c6_g1_i2
,,,,TRINITY_DN116118_c1_g1_i6
,,,,TRINITY_DN116121_c0_g2_i1
,,,,TRINITY_DN116124_c4_g1_i1
,,,,TRINITY_DN116126_c0_g1_i1
,,,,TRINITY_DN116130_c4_g1_i1
,,,,TRINITY_DN116130_c5_g1_i2
,,,,TRINITY_DN116131_c1_g2_i3
,,,,TRINITY_DN116133_c1_g1_i6
,,,,TRINITY_DN116143_c0_g2_i3
,,,,TRINITY_DN116144_c0_g1_i1
,,,,TRINITY_DN116145_c0_g1_i1
,,,,TRINITY_DN116148_c0_g1_i2
,,,,TRINITY_DN116151_c2_g1_i4
,,,,TRINITY_DN116151_c3_g2_i1
,,,,TRINITY_DN116158_c3_g1_i1
,,,,TRINITY_DN116163_c4_g1_i1
,,,,TRINITY_DN116163_c5_g2_i1
,,,,TRINITY_DN116165_c10_g1_i4
,,,,TRINITY_DN116171_c0_g1_i2
,,,,TRINITY_DN116172_c2_g1_i2
,,,,TRINITY_DN116179_c0_g1_i1
,,,,TRINITY_DN116180_c0_g1_i6
,,,,TRINITY_DN116183_c0_g1_i11
,,,,TRINITY_DN116184_c9_g2_i1
,,,,TRINITY_DN116186_c6_g1_i2
,,,,TRINITY_DN116187_c3_g1_i3
,,,,TRINITY_DN116188_c4_g1_i2
,,,,TRINITY_DN116188_c5_g1_i1
,,,,TRINITY_DN116191_c4_g1_i2
,,,,TRINITY_DN116192_c3_g1_i1
,,,,TRINITY_DN116194_c2_g2_i2
,,,,TRINITY_DN116196_c0_g1_i1
,,,,TRINITY_DN116197_c2_g1_i9
,,,,TRINITY_DN116201_c1_g1_i1
,,,,TRINITY_DN116204_c1_g2_i5
,,,,TRINITY_DN116207_c0_g1_i3
,,,,TRINITY_DN116208_c6_g1_i1
,,,,TRINITY_DN116208_c7_g1_i2
,,,,TRINITY_DN116208_c8_g1_i2
,,,,TRINITY_DN116209_c0_g1_i9
,,,,TRINITY_DN116210_c2_g4_i1
,,,,TRINITY_DN116214_c0_g1_i3
,,,,TRINITY_DN116215_c6_g1_i2
,,,,TRINITY_DN116217_c6_g2_i1
,,,,TRINITY_DN116218_c6_g1_i2
,,,,TRINITY_DN116221_c1_g4_i1
,,,,TRINITY_DN116222_c1_g1_i2
,,,,TRINITY_DN116231_c0_g1_i3
,,,,TRINITY_DN116233_c1_g1_i2
,,,,TRINITY_DN116240_c1_g1_i2
,,,,TRINITY_DN116240_c2_g1_i7
,,,,TRINITY_DN116241_c4_g1_i1
,,,,TRINITY_DN116244_c3_g1_i5
,,,,TRINITY_DN116246_c3_g2_i3
,,,,TRINITY_DN116246_c5_g2_i4
,,,,TRINITY_DN116250_c1_g1_i3
,,,,TRINITY_DN116254_c0_g3_i1
,,,,TRINITY_DN116256_c0_g1_i1
,,,,TRINITY_DN116258_c0_g1_i24
,,,,TRINITY_DN116266_c8_g1_i1
,,,,TRINITY_DN116279_c7_g2_i6
,,,,TRINITY_DN116280_c0_g1_i2
,,,,TRINITY_DN116283_c0_g3_i1
,,,,TRINITY_DN116286_c7_g1_i9
,,,,TRINITY_DN116287_c4_g1_i1
,,,,TRINITY_DN116295_c2_g1_i1
,,,,TRINITY_DN116298_c0_g1_i1
,,,,TRINITY_DN116307_c1_g1_i3
,,,,TRINITY_DN116310_c0_g1_i6
,,,,TRINITY_DN116310_c0_g2_i1
,,,,TRINITY_DN116310_c0_g4_i1
,,,,TRINITY_DN116313_c5_g3_i3
,,,,TRINITY_DN116316_c0_g1_i2
,,,,TRINITY_DN116317_c1_g2_i1
,,,,TRINITY_DN116326_c0_g1_i1
,,,,TRINITY_DN116331_c0_g2_i2
,,,,TRINITY_DN116331_c2_g1_i1
,,,,TRINITY_DN116332_c0_g3_i2
,,,,TRINITY_DN116333_c1_g1_i1
,,,,TRINITY_DN116334_c5_g6_i2
,,,,TRINITY_DN116338_c0_g1_i1
,,,,TRINITY_DN116339_c4_g1_i4
,,,,TRINITY_DN116340_c5_g3_i3
,,,,TRINITY_DN116343_c4_g1_i11
,,,,TRINITY_DN116344_c0_g1_i1
,,,,TRINITY_DN116346_c2_g7_i1
,,,,TRINITY_DN116347_c0_g1_i2
,,,,TRINITY_DN116352_c3_g1_i1
,,,,TRINITY_DN116355_c3_g1_i2
,,,,TRINITY_DN116358_c0_g1_i1
,,,,TRINITY_DN116359_c8_g1_i1
,,,,TRINITY_DN116360_c2_g1_i1
,,,,TRINITY_DN116364_c8_g1_i1
,,,,TRINITY_DN116367_c5_g1_i4
,,,,TRINITY_DN116369_c0_g1_i1
,,,,TRINITY_DN116372_c1_g2_i1
,,,,TRINITY_DN116374_c1_g1_i11
,,,,TRINITY_DN116375_c6_g1_i4
,,,,TRINITY_DN116376_c0_g2_i2
,,,,TRINITY_DN116377_c0_g1_i4
,,,,TRINITY_DN116377_c0_g2_i4
,,,,TRINITY_DN116381_c0_g1_i1
,,,,TRINITY_DN116382_c7_g1_i5
,,,,TRINITY_DN116385_c6_g1_i10
,,,,TRINITY_DN116386_c2_g1_i1
,,,,TRINITY_DN116386_c2_g3_i2
,,,,TRINITY_DN116388_c0_g1_i3
,,,,TRINITY_DN116390_c5_g1_i1
,,,,TRINITY_DN116390_c7_g1_i3
,,,,TRINITY_DN116395_c3_g1_i4
,,,,TRINITY_DN116399_c1_g2_i3
,,,,TRINITY_DN116399_c2_g1_i3
,,,,TRINITY_DN116402_c4_g1_i1
,,,,TRINITY_DN116411_c4_g1_i1
,,,,TRINITY_DN116413_c6_g1_i13
,,,,TRINITY_DN116414_c5_g1_i4
,,,,TRINITY_DN116417_c0_g1_i2
,,,,TRINITY_DN116419_c6_g1_i4
,,,,TRINITY_DN116423_c0_g1_i1
,,,,TRINITY_DN116433_c7_g2_i1
,,,,TRINITY_DN116434_c0_g2_i8
,,,,TRINITY_DN116436_c0_g1_i3
,,,,TRINITY_DN116438_c0_g1_i4
,,,,TRINITY_DN116441_c2_g1_i2
,,,,TRINITY_DN116441_c4_g1_i3
,,,,TRINITY_DN116441_c5_g1_i11
,,,,TRINITY_DN116441_c5_g2_i3
,,,,TRINITY_DN116444_c0_g1_i5
,,,,TRINITY_DN116446_c2_g1_i1
,,,,TRINITY_DN116448_c2_g1_i8
,,,,TRINITY_DN116453_c10_g1_i1
,,,,TRINITY_DN116453_c6_g1_i2
,,,,TRINITY_DN116455_c5_g2_i2
,,,,TRINITY_DN116464_c0_g1_i3
,,,,TRINITY_DN116464_c0_g5_i3
,,,,TRINITY_DN116466_c1_g1_i6
,,,,TRINITY_DN116469_c0_g1_i2
,,,,TRINITY_DN116470_c1_g1_i5
,,,,TRINITY_DN116470_c2_g3_i1
,,,,TRINITY_DN116472_c3_g1_i6
,,,,TRINITY_DN116473_c3_g1_i1
,,,,TRINITY_DN116476_c1_g2_i6
,,,,TRINITY_DN116482_c0_g1_i1
,,,,TRINITY_DN116487_c1_g1_i1
,,,,TRINITY_DN116490_c2_g3_i1
,,,,TRINITY_DN116493_c6_g1_i1
,,,,TRINITY_DN116501_c2_g1_i2
,,,,TRINITY_DN116506_c2_g1_i1
,,,,TRINITY_DN116506_c2_g2_i1
,,,,TRINITY_DN116507_c3_g1_i4
,,,,TRINITY_DN116510_c0_g1_i12
,,,,TRINITY_DN116511_c5_g1_i5
,,,,TRINITY_DN116517_c2_g1_i3
,,,,TRINITY_DN116517_c4_g5_i1
,,,,TRINITY_DN116522_c0_g1_i5
,,,,TRINITY_DN116525_c0_g1_i5
,,,,TRINITY_DN116530_c1_g1_i6
,,,,TRINITY_DN116532_c5_g1_i2
,,,,TRINITY_DN116533_c2_g1_i1
,,,,TRINITY_DN116533_c3_g1_i2
,,,,TRINITY_DN116533_c3_g2_i1
,,,,TRINITY_DN116534_c0_g1_i6
,,,,TRINITY_DN116535_c3_g1_i1
,,,,TRINITY_DN116537_c3_g3_i6
,,,,TRINITY_DN116539_c0_g3_i2
,,,,TRINITY_DN116543_c1_g1_i9
,,,,TRINITY_DN116548_c0_g1_i1
,,,,TRINITY_DN116549_c3_g1_i4
,,,,TRINITY_DN116556_c0_g1_i4
,,,,TRINITY_DN116558_c8_g3_i3
,,,,TRINITY_DN116567_c1_g1_i4
,,,,TRINITY_DN116569_c6_g6_i2
,,,,TRINITY_DN116572_c5_g1_i5
,,,,TRINITY_DN116575_c2_g2_i4
,,,,TRINITY_DN116578_c1_g2_i1
,,,,TRINITY_DN116578_c1_g5_i5
,,,,TRINITY_DN116578_c1_g7_i2
,,,,TRINITY_DN116579_c7_g6_i1
,,,,TRINITY_DN116582_c0_g1_i4
,,,,TRINITY_DN116583_c2_g1_i2
,,,,TRINITY_DN116590_c2_g1_i1
,,,,TRINITY_DN116590_c7_g1_i4
,,,,TRINITY_DN116590_c7_g3_i3
,,,,TRINITY_DN116590_c7_g4_i1
,,,,TRINITY_DN116591_c1_g1_i1
,,,,TRINITY_DN116592_c7_g1_i3
,,,,TRINITY_DN116594_c0_g1_i2
,,,,TRINITY_DN116595_c1_g1_i1
,,,,TRINITY_DN116602_c2_g4_i1
,,,,TRINITY_DN116604_c3_g1_i1
,,,,TRINITY_DN116617_c4_g1_i5
,,,,TRINITY_DN116617_c4_g2_i2
,,,,TRINITY_DN116617_c4_g3_i5
,,,,TRINITY_DN116617_c4_g4_i1
,,,,TRINITY_DN116618_c5_g2_i1
,,,,TRINITY_DN116618_c6_g1_i1
,,,,TRINITY_DN116620_c6_g1_i3
,,,,TRINITY_DN116621_c3_g1_i2
,,,,TRINITY_DN116621_c3_g5_i1
,,,,TRINITY_DN116622_c5_g6_i1
,,,,TRINITY_DN116623_c1_g4_i1
,,,,TRINITY_DN116626_c0_g1_i1
,,,,TRINITY_DN116633_c11_g5_i1
,,,,TRINITY_DN116636_c1_g3_i6
,,,,TRINITY_DN116636_c1_g5_i3
,,,,TRINITY_DN116639_c4_g1_i1
,,,,TRINITY_DN116640_c0_g1_i2
,,,,TRINITY_DN116644_c0_g1_i2
,,,,TRINITY_DN116645_c3_g1_i1
,,,,TRINITY_DN116645_c4_g2_i1
,,,,TRINITY_DN116645_c4_g6_i1
,,,,TRINITY_DN116648_c2_g3_i2
,,,,TRINITY_DN116648_c2_g4_i1
,,,,TRINITY_DN116649_c3_g1_i5
,,,,TRINITY_DN116654_c7_g3_i4
,,,,TRINITY_DN116658_c5_g1_i3
,,,,TRINITY_DN116660_c0_g1_i1
,,,,TRINITY_DN116662_c5_g2_i2
,,,,TRINITY_DN116664_c7_g2_i3
,,,,TRINITY_DN116666_c9_g3_i4
,,,,TRINITY_DN116667_c8_g1_i9
,,,,TRINITY_DN116667_c8_g2_i1
,,,,TRINITY_DN116668_c3_g1_i13
,,,,TRINITY_DN116670_c0_g1_i1
,,,,TRINITY_DN116672_c0_g2_i1
,,,,TRINITY_DN116672_c0_g3_i2
,,,,TRINITY_DN116675_c1_g1_i1
,,,,TRINITY_DN116675_c2_g1_i2
,,,,TRINITY_DN116678_c6_g2_i1
,,,,TRINITY_DN116683_c0_g1_i1
,,,,TRINITY_DN116686_c3_g1_i3
,,,,TRINITY_DN116686_c3_g4_i1
,,,,TRINITY_DN116688_c0_g1_i1
,,,,TRINITY_DN116689_c0_g1_i11
,,,,TRINITY_DN116690_c0_g1_i1
,,,,TRINITY_DN116691_c5_g2_i1
,,,,TRINITY_DN116696_c0_g1_i3
,,,,TRINITY_DN116698_c2_g2_i5
,,,,TRINITY_DN116698_c2_g8_i1
,,,,TRINITY_DN116699_c0_g2_i4
,,,,TRINITY_DN116700_c2_g1_i1
,,,,TRINITY_DN116703_c6_g3_i1
,,,,TRINITY_DN116703_c6_g4_i1
,,,,TRINITY_DN116708_c0_g1_i1
,,,,TRINITY_DN116711_c3_g1_i1
,,,,TRINITY_DN116712_c3_g1_i5
,,,,TRINITY_DN116714_c0_g1_i1
,,,,TRINITY_DN116716_c1_g1_i3
,,,,TRINITY_DN116718_c3_g4_i2
,,,,TRINITY_DN116722_c2_g1_i1
,,,,TRINITY_DN116724_c0_g2_i1
,,,,TRINITY_DN116726_c0_g1_i9
,,,,TRINITY_DN116734_c2_g1_i7
,,,,TRINITY_DN116734_c2_g3_i3
,,,,TRINITY_DN116738_c1_g1_i3
,,,,TRINITY_DN116741_c5_g2_i3
,,,,TRINITY_DN116742_c5_g1_i1
,,,,TRINITY_DN116743_c2_g1_i2
,,,,TRINITY_DN116749_c0_g1_i2
,,,,TRINITY_DN116750_c10_g3_i2
,,,,TRINITY_DN116752_c3_g1_i1
,,,,TRINITY_DN116753_c4_g1_i6
,,,,TRINITY_DN116755_c2_g1_i1
,,,,TRINITY_DN116757_c3_g1_i1
,,,,TRINITY_DN116757_c3_g2_i1
,,,,TRINITY_DN116757_c3_g3_i1
,,,,TRINITY_DN116759_c4_g1_i1
,,,,TRINITY_DN116765_c3_g1_i1
,,,,TRINITY_DN116765_c3_g3_i2
,,,,TRINITY_DN116765_c4_g1_i3
,,,,TRINITY_DN116769_c2_g1_i4
,,,,TRINITY_DN116774_c0_g1_i2
