gid	cutoff	bias	log2RPKM	sex	gname	chr	chr_all	start	end	target_id	length	eff_length
TRINITY_DN132416_c2_g1_i5	FC1	female	3.362521187	meanmale	c4orf29	Chr01	Chr01	54793723	54793723	TRINITY_DN132416_c2_g1_i5	2082	1865.83
TRINITY_DN132431_c5_g1_i1	FC1	female	-2.041649992	meanmale	LOC100489122	Chr01	Chr01	69273876	69273876	TRINITY_DN132431_c5_g1_i1	4861	4644.83
TRINITY_DN132489_c2_g2_i5	FC1	female	6.697193434	meanmale	plin2	Chr01	Chr01	106859421	106859421	TRINITY_DN132489_c2_g2_i5	1803	1586.83
TRINITY_DN132634_c4_g1_i1	FC1	female	1.908362664	meanmale	gtpbp3-like	Chr01	Chr01	101308420	101308420	TRINITY_DN132634_c4_g1_i1	2240	2023.83
TRINITY_DN132703_c8_g1_i1	FC1	female	1.968357587	meanmale	serinc5	Chr01	Chr01	163662902	163662902	TRINITY_DN132703_c8_g1_i1	3856	3639.83
TRINITY_DN132717_c3_g1_i4	FC1	female	1.688548072	meanmale	fam172a	Chr01	Chr01	171646628	171646628	TRINITY_DN132717_c3_g1_i4	2638	2421.83
TRINITY_DN132727_c1_g2_i3	FC1	female	0.963429684	meanmale	Xetrov90002192m	Chr01	Chr01	114381330	114381330	TRINITY_DN132727_c1_g2_i3	5609	5392.83
TRINITY_DN132830_c9_g3_i5	FC1	female	3.670824091	meanmale	jade1	Chr01	Chr01	54589520	54589520	TRINITY_DN132830_c9_g3_i5	3510	3293.83
TRINITY_DN132851_c3_g3_i1	FC1	female	4.385713632	meanmale	rnf4	Chr01	Chr01	11979280	11979280	TRINITY_DN132851_c3_g3_i1	1545	1328.83
TRINITY_DN132871_c2_g2_i2	FC1	female	3.376178467	meanmale	wdr41	Chr01	Chr01	164687306	164687306	TRINITY_DN132871_c2_g2_i2	2460	2243.83
TRINITY_DN132887_c1_g1_i2	FC1	female	3.977783361	meanmale	suds3	Chr01	Chr01	156928872	156928872	TRINITY_DN132887_c1_g1_i2	1669	1452.83
TRINITY_DN133002_c6_g5_i3	FC1	female	2.615465865	meanmale	tbc1d14-like	Chr01	Chr01	20379605	20379605	TRINITY_DN133002_c6_g5_i3	3306	3089.83
TRINITY_DN133037_c0_g1_i2	FC1	female	3.816841772	meanmale	naf1	Chr01	Chr01	42692844	42692844	TRINITY_DN133037_c0_g1_i2	2500	2283.83
TRINITY_DN133048_c2_g2_i1	FC1	female	3.128461275	meanmale	ankrd37	Chr01	Chr01	35248675	35248675	TRINITY_DN133048_c2_g2_i1	1051	834.835
TRINITY_DN133052_c1_g1_i6	FC1	female	4.151188794	meanmale	LOC100487964	Chr01	Chr01	80157397	80157397	TRINITY_DN133052_c1_g1_i6	2387	2170.83
TRINITY_DN133053_c7_g1_i2	FC1	female	4.509238704	meanmale	ncapg	Chr01	Chr01	23327161	23327161	TRINITY_DN133053_c7_g1_i2	3624	3407.83
TRINITY_DN133091_c3_g1_i2	FC1	female	0.61202076	meanmale	ermp1	Chr01	Chr01	114677820	114677820	TRINITY_DN133091_c3_g1_i2	3587	3370.83
TRINITY_DN133256_c3_g3_i1	FC1	female	2.837802359	meanmale	ugcg	Chr01	Chr01	95778004	95778004	TRINITY_DN133256_c3_g3_i1	2671	2454.83
TRINITY_DN133282_c1_g1_i2	FC1	female	3.625408218	meanmale	nelfa	Chr01	Chr01	12542971	12542971	TRINITY_DN133282_c1_g1_i2	2497	2280.83
TRINITY_DN133420_c3_g1_i1	FC1	female	2.627060355	meanmale	hgsnat	Chr01	Chr01	77083186	77083186	TRINITY_DN133420_c3_g1_i1	2905	2688.83
TRINITY_DN133456_c1_g2_i2	FC1	female	3.139852527	meanmale	lysmd3	Chr01	Chr01	170846159	170846159	TRINITY_DN133456_c1_g2_i2	1365	1148.83
TRINITY_DN133473_c0_g7_i11	FC1	female	1.415030964	meanmale	c9orf156	Chr01	Chr01	95342010	95342010	TRINITY_DN133473_c0_g7_i11	2394	2177.83
TRINITY_DN133490_c0_g3_i3	FC1	female	0.863274323	meanmale	mast3-like	Chr01	Chr01	85017763	85017763	TRINITY_DN133490_c0_g3_i3	5814	5597.83
TRINITY_DN133494_c5_g6_i3	FC1	female	4.915479321	meanmale	sgta	Chr01	Chr01	80308197	80308197	TRINITY_DN133494_c5_g6_i3	2348	2131.83
TRINITY_DN133539_c0_g1_i1	FC1	female	4.632742671	meanmale	ppat	Chr01	Chr01	31660752	31660752	TRINITY_DN133539_c0_g1_i1	2894	2677.83
TRINITY_DN133549_c7_g2_i2	FC1	female	3.578718167	meanmale	ift81	Chr01	Chr01	153958425	153958425	TRINITY_DN133549_c7_g2_i2	2560	2343.83
TRINITY_DN133567_c0_g4_i2	FC1	female	6.207652627	meanmale	LOC100486206-like	Chr01	Chr01	167665994	167665994	TRINITY_DN133567_c0_g4_i2	785	569.039
TRINITY_DN133572_c0_g1_i1	FC1	female	2.632209211	meanmale	Xetrov90000522m	Chr01	Chr01	20771304	20771304	TRINITY_DN133572_c0_g1_i1	2722	2505.83
TRINITY_DN133657_c2_g1_i6	FC1	female	-0.549068769	meanmale	nsg1	Chr01	Chr01	18625008	18625008	TRINITY_DN133657_c2_g1_i6	2413	2196.83
TRINITY_DN133718_c3_g2_i1	FC1	female	5.90806039	meanmale	ddt	Chr01	Chr01	144502925	144502925	TRINITY_DN133718_c3_g2_i1	684	468.158
TRINITY_DN133919_c5_g3_i1	FC1	female	4.007667235	meanmale	gpn3	Chr01	Chr01	154172513	154172513	TRINITY_DN133919_c5_g3_i1	2133	1916.83
TRINITY_DN134165_c3_g2_i1	FC1	female	4.252347596	meanmale	plbd2	Chr01	Chr01	133777750	133777750	TRINITY_DN134165_c3_g2_i1	2503	2286.83
TRINITY_DN134374_c0_g2_i5	FC1	female	3.508863883	meanmale	slc30a9	Chr01	Chr01	27983571	27983571	TRINITY_DN134374_c0_g2_i5	3438	3221.83
TRINITY_DN134419_c0_g3_i4	FC1	female	2.356569602	meanmale	irf2	Chr01	Chr01	35632416	35632416	TRINITY_DN134419_c0_g3_i4	3730	3513.83
TRINITY_DN134442_c2_g3_i3	FC1	female	1.208711432	meanmale	36219	Chr01	Chr01	159613457	159613457	TRINITY_DN134442_c2_g3_i3	2207	1990.83
TRINITY_DN134492_c1_g7_i3	FC1	female	-2.247337652	meanmale	klb	Chr01	Chr01	26974623	26974623	TRINITY_DN134492_c1_g7_i3	4663	4446.83
TRINITY_DN134524_c2_g2_i1	FC1	female	5.780698831	meanmale	qdpr	Chr01	Chr01	16477747	16477747	TRINITY_DN134524_c2_g2_i1	1192	975.835
TRINITY_DN134546_c3_g7_i2	FC1	female	4.538579328	meanmale	pja2-like	Chr01	Chr01	135727530	135727530	TRINITY_DN134546_c3_g7_i2	2969	2752.83
TRINITY_DN134577_c1_g1_i2	FC1	female	1.544803766	meanmale	bcr	Chr01	Chr01	143946646	143946646	TRINITY_DN134577_c1_g1_i2	4572	4355.83
TRINITY_DN134690_c6_g1_i4	FC1	female	3.145130802	meanmale	marveld2	Chr01	Chr01	167456191	167456191	TRINITY_DN134690_c6_g1_i4	2296	2079.83
TRINITY_DN134864_c1_g1_i1	FC1	female	3.416474905	meanmale	manba-like	Chr01	Chr01	64203660	64203660	TRINITY_DN134864_c1_g1_i1	2900	2683.83
TRINITY_DN134982_c7_g1_i1	FC1	female	0.900817123	meanmale	aasdh-like	Chr01	Chr01	31594777	31594777	TRINITY_DN134982_c7_g1_i1	4019	3802.83
TRINITY_DN134986_c0_g1_i1	FC1	female	4.82865816	meanmale	tbc1d10a	Chr01	Chr01	131942891	131942891	TRINITY_DN134986_c0_g1_i1	2562	2345.83
TRINITY_DN134992_c0_g2_i5	FC1	female	5.624238253	meanmale	paip2b	Chr01	Chr01	8039015	8039015	TRINITY_DN134992_c0_g2_i5	2382	2165.83
TRINITY_DN135178_c2_g1_i1	FC1	female	1.228663386	meanmale	LOC100489307	Chr01	Chr01	130258024	130258024	TRINITY_DN135178_c2_g1_i1	3244	3027.83
TRINITY_DN135189_c5_g3_i1	FC1	female	-0.302389005	meanmale	Xetrov90003730m	Chr01	Chr01	188782517	188782517	TRINITY_DN135189_c5_g3_i1	4239	4022.83
TRINITY_DN135220_c0_g4_i2	FC1	female	2.253107486	meanmale	hps5	Chr01	Chr01	176601537	176601537	TRINITY_DN135220_c0_g4_i2	4095	3878.83
TRINITY_DN135242_c0_g2_i3	FC1	female	5.044575036	meanmale	naa35	Chr01	Chr01	122534185	122534185	TRINITY_DN135242_c0_g2_i3	2623	2406.83
TRINITY_DN135405_c1_g2_i2	FC1	female	1.625246305	meanmale	sowahb	Chr01	Chr01	94515141	94515141	TRINITY_DN135405_c1_g2_i2	4125	3908.83
TRINITY_DN135433_c0_g2_i2	FC1	female	2.281117217	meanmale	tjp3-like	Chr01	Chr01	74416130	74416130	TRINITY_DN135433_c0_g2_i2	3300	3083.83
TRINITY_DN135443_c0_g3_i1	FC1	female	1.260786209	meanmale	sema6a	Chr01	Chr01	162837690	162837690	TRINITY_DN135443_c0_g3_i1	8199	7982.83
TRINITY_DN135508_c3_g1_i4	FC1	female	4.105596566	meanmale	chic2	Chr01	Chr01	30765806	30765806	TRINITY_DN135508_c3_g1_i4	741	525.093
TRINITY_DN135609_c7_g3_i1	FC1	female	1.722969245	meanmale	ccdc125	Chr01	Chr01	167501051	167501051	TRINITY_DN135609_c7_g3_i1	1992	1775.83
TRINITY_DN135638_c10_g1_i1	FC1	female	2.859365516	meanmale	cep120	Chr01	Chr01	160685156	160685156	TRINITY_DN135638_c10_g1_i1	3352	3135.83
TRINITY_DN135643_c4_g1_i1	FC1	female	4.158422122	meanmale	cetn4	Chr01	Chr01	56529228	56529228	TRINITY_DN135643_c4_g1_i1	1508	1291.83
TRINITY_DN135788_c4_g1_i1	FC1	female	3.233258431	meanmale	wfs1	Chr01	Chr01	19412425	19412425	TRINITY_DN135788_c4_g1_i1	4294	4077.83
TRINITY_DN135811_c0_g1_i3	FC1	female	1.67299922	meanmale	atp8a1	Chr01	Chr01	28181203	28181203	TRINITY_DN135811_c0_g1_i3	5888	5671.83
TRINITY_DN135901_c2_g2_i1	FC1	female	1.420655612	meanmale	lhfpl2-like	Chr01	Chr01	164183285	164183285	TRINITY_DN135901_c2_g2_i1	4420	4203.83
TRINITY_DN135999_c2_g9_i12	FC1	female	5.128689628	meanmale	sppl3	Chr01	Chr01	143400992	143400992	TRINITY_DN135999_c2_g9_i12	2922	2705.83
TRINITY_DN136052_c0_g1_i3	FC1	female	2.686497428	meanmale	ubox5	Chr01	Chr01	6358205	6358205	TRINITY_DN136052_c0_g1_i3	2591	2374.83
TRINITY_DN136052_c0_g2_i1	FC1	female	3.040088619	meanmale	fastkd5	Chr01	Chr01	6365286	6365286	TRINITY_DN136052_c0_g2_i1	2517	2300.83
TRINITY_DN136097_c2_g6_i5	FC1	female	2.020422841	meanmale	LOC100490649	Chr01	Chr01	129940491	129940491	TRINITY_DN136097_c2_g6_i5	3936	3719.83
TRINITY_DN136158_c6_g3_i1	FC1	female	4.311473967	meanmale	utp15	Chr01	Chr01	166491083	166491083	TRINITY_DN136158_c6_g3_i1	3059	2842.83
TRINITY_DN136513_c0_g2_i1	FC1	female	1.779478102	meanmale	spr	Chr01	Chr01	10753033	10753033	TRINITY_DN136513_c0_g2_i1	1385	1168.83
TRINITY_DN152513_c0_g1_i1	FC1	female	0.748853093	meanmale	pcgf3	Chr01	Chr01	98517274	98517274	TRINITY_DN152513_c0_g1_i1	1376	1159.83
TRINITY_DN18217_c1_g1_i1	FC1	female	4.753968729	meanmale	oxa1l	Chr01	Chr01	128276275	128276275	TRINITY_DN18217_c1_g1_i1	1657	1440.83
TRINITY_DN48650_c0_g2_i1	FC1	female	1.444980162	meanmale	nudt12-like	Chr01	Chr01	137154567	137154567	TRINITY_DN48650_c0_g2_i1	1768	1551.83
TRINITY_DN68190_c0_g1_i1	FC1	female	4.14381705	meanmale	fkbp8	Chr01	Chr01	87448898	87448898	TRINITY_DN68190_c0_g1_i1	2962	2745.83
TRINITY_DN77366_c0_g1_i1	FC1	female	3.114328277	meanmale	thtpa	Chr01	Chr01	127662126	127662126	TRINITY_DN77366_c0_g1_i1	1630	1413.83
TRINITY_DN78364_c0_g1_i1	FC1	female	-1.001295057	meanmale	LOC100487003	Chr01	Chr01	125324459	125324459	TRINITY_DN78364_c0_g1_i1	1842	1625.83
TRINITY_DN81421_c0_g2_i1	FC1	female	4.406662855	meanmale	cdk7	Chr01	Chr01	163626702	163626702	TRINITY_DN81421_c0_g2_i1	1353	1136.83
TRINITY_DN86639_c0_g1_i1	FC1	female	1.224102895	meanmale	tmem129	Chr01	Chr01	13302596	13302596	TRINITY_DN86639_c0_g1_i1	1859	1642.83
TRINITY_DN92463_c0_g1_i2	FC1	female	3.323976534	meanmale	rnf126	Chr01	Chr01	86710924	86710924	TRINITY_DN92463_c0_g1_i2	2347	2130.83
TRINITY_DN95955_c0_g1_i1	FC1	female	4.36398219	meanmale	pias4	Chr01	Chr01	74184291	74184291	TRINITY_DN95955_c0_g1_i1	2876	2659.83
TRINITY_DN96807_c0_g1_i1	FC1	female	0.867025261	meanmale	c4orf47	Chr01	Chr01	35229000	35229000	TRINITY_DN96807_c0_g1_i1	1352	1135.83
TRINITY_DN98498_c0_g1_i1	FC1	female	4.312551996	meanmale	ddx49	Chr01	Chr01	100443086	100443086	TRINITY_DN98498_c0_g1_i1	2056	1839.83
TRINITY_DN104136_c0_g1_i1	FC3	female	1.749804961	meanfemale	not	Chr01	Chr01	10478571	10478571	TRINITY_DN104136_c0_g1_i1	1384	1167.83
TRINITY_DN108434_c0_g2_i2	FC3	female	2.199634407	meanfemale	siglec1	Chr01	Chr01	8069004	8069004	TRINITY_DN108434_c0_g2_i2	5524	5307.83
TRINITY_DN114052_c0_g1_i1	FC3	female	6.458412662	meanfemale	rhof	Chr01	Chr01	153580211	153580211	TRINITY_DN114052_c0_g1_i1	1253	1036.83
TRINITY_DN114443_c0_g1_i1	FC3	female	4.343717244	meanfemale	pcsk4	Chr01	Chr01	80419484	80419484	TRINITY_DN114443_c0_g1_i1	2496	2279.83
TRINITY_DN114768_c0_g1_i1	FC3	female	4.83487704	meanfemale	abhd8	Chr01	Chr01	101190060	101190060	TRINITY_DN114768_c0_g1_i1	2663	2446.83
TRINITY_DN115184_c0_g1_i1	FC3	female	5.359295189	meanfemale	LOC100492669	Chr01	Chr01	82749838	82749838	TRINITY_DN115184_c0_g1_i1	939	722.911
TRINITY_DN115713_c0_g1_i1	FC3	female	5.608885325	meanfemale	tada2b	Chr01	Chr01	20365262	20365262	TRINITY_DN115713_c0_g1_i1	1562	1345.83
TRINITY_DN116915_c0_g1_i3	FC3	female	4.655509267	meanfemale	tstd2	Chr01	Chr01	95169014	95169014	TRINITY_DN116915_c0_g1_i3	2326	2109.83
TRINITY_DN116978_c0_g1_i1	FC3	female	3.633258915	meanfemale	LOC733556	Chr01	Chr01	51640120	51640120	TRINITY_DN116978_c0_g1_i1	992	775.86
TRINITY_DN118258_c0_g1_i2	FC3	female	3.664113777	meanfemale	rtdr1	Chr01	Chr01	143794010	143794010	TRINITY_DN118258_c0_g1_i2	1070	853.835
TRINITY_DN118610_c0_g1_i2	FC3	female	3.341576062	meanfemale	LOC101734664	Chr01	Chr01	152353361	152353361	TRINITY_DN118610_c0_g1_i2	1274	1057.83
TRINITY_DN119683_c0_g3_i1	FC3	female	3.377999575	meanfemale	depdc1b	Chr01	Chr01	176690855	176690855	TRINITY_DN119683_c0_g3_i1	1807	1590.83
TRINITY_DN119755_c1_g2_i1	FC3	female	6.48349576	meanfemale	klf4	Chr01	Chr01	108567020	108567020	TRINITY_DN119755_c1_g2_i1	2849	2632.83
TRINITY_DN120025_c0_g1_i4	FC3	female	5.956412506	meanfemale	c19orf44-like	Chr01	Chr01	100150869	100150869	TRINITY_DN120025_c0_g1_i4	2605	2388.83
TRINITY_DN120254_c0_g1_i1	FC3	female	5.093919868	meanfemale	homez	Chr01	Chr01	127437443	127437443	TRINITY_DN120254_c0_g1_i1	2330	2113.83
TRINITY_DN121089_c2_g2_i1	FC3	female	3.489572859	meanfemale	gadd45b-like	Chr01	Chr01	80232562	80232562	TRINITY_DN121089_c2_g2_i1	1177	960.835
TRINITY_DN121505_c1_g3_i1	FC3	female	6.268246922	meanfemale	elovl7	Chr01	Chr01	176647919	176647919	TRINITY_DN121505_c1_g3_i1	1779	1562.83
TRINITY_DN122851_c0_g2_i1	FC3	female	5.372536992	meanfemale	abhd17b	Chr01	Chr01	118177523	118177523	TRINITY_DN122851_c0_g2_i1	2442	2225.83
TRINITY_DN123387_c2_g2_i2	FC3	female	5.362935649	meanfemale	ocln	Chr01	Chr01	167368970	167368970	TRINITY_DN123387_c2_g2_i2	2742	2525.83
TRINITY_DN123745_c1_g1_i5	FC3	female	0.819934613	meanfemale	lingo2	Chr01	Chr01	110621695	110621695	TRINITY_DN123745_c1_g1_i5	4527	4310.83
TRINITY_DN124265_c0_g1_i2	FC3	female	9.177864798	meanfemale	mrpl1	Chr01	Chr01	91224097	91224097	TRINITY_DN124265_c0_g1_i2	1446	1229.83
TRINITY_DN124336_c0_g2_i1	FC3	female	3.949596383	meanfemale	trim23	Chr01	Chr01	175024225	175024225	TRINITY_DN124336_c0_g2_i1	2383	2166.83
TRINITY_DN124409_c0_g1_i1	FC3	female	0.069007223	meanfemale	shc3	Chr01	Chr01	125590501	125590501	TRINITY_DN124409_c0_g1_i1	2501	2284.83
TRINITY_DN124497_c3_g1_i2	FC3	female	6.171647062	meanfemale	LOC100497142-like	Chr01	Chr01	140348648	140348648	TRINITY_DN124497_c3_g1_i2	2025	1808.83
TRINITY_DN124715_c0_g1_i2	FC3	female	7.275458404	meanfemale	LOC100135405	Chr01	Chr01	146451221	146451221	TRINITY_DN124715_c0_g1_i2	908	691.958
TRINITY_DN124768_c1_g3_i1	FC3	female	7.43568832	meanfemale	plk2	Chr01	Chr01	177581313	177581313	TRINITY_DN124768_c1_g3_i1	2683	2466.83
TRINITY_DN125252_c4_g8_i1	FC3	female	5.380940227	meanfemale	pgpep1	Chr01	Chr01	82082017	82082017	TRINITY_DN125252_c4_g8_i1	1325	1108.83
TRINITY_DN125701_c1_g11_i1	FC3	female	-0.606736685	meanfemale	wscd2	Chr01	Chr01	155701574	155701574	TRINITY_DN125701_c1_g11_i1	3968	3751.83
TRINITY_DN125710_c0_g2_i2	FC3	female	5.585828297	meanfemale	rasgef1b	Chr01	Chr01	88441809	88441809	TRINITY_DN125710_c0_g2_i2	2203	1986.83
TRINITY_DN126031_c3_g1_i1	FC3	female	6.590232075	meanfemale	dnajb14	Chr01	Chr01	65029186	65029186	TRINITY_DN126031_c3_g1_i1	2880	2663.83
TRINITY_DN127345_c0_g1_i2	FC3	female	3.574635378	meanfemale	hpse	Chr01	Chr01	88798881	88798881	TRINITY_DN127345_c0_g1_i2	2237	2020.83
TRINITY_DN127351_c3_g3_i1	FC3	female	7.263095201	meanfemale	tpgs1	Chr01	Chr01	86538887	86538887	TRINITY_DN127351_c3_g3_i1	964	747.911
TRINITY_DN127474_c0_g1_i3	FC3	female	6.425772766	meanfemale	f2rl1-like	Chr01	Chr01	164954524	164954524	TRINITY_DN127474_c0_g1_i3	1933	1716.83
TRINITY_DN129277_c0_g2_i1	FC3	female	3.436745594	meanfemale	LOC100495295	Chr01	Chr01	147079676	147079676	TRINITY_DN129277_c0_g2_i1	4006	3789.83
TRINITY_DN129561_c4_g1_i11	FC3	female	0.920899118	meanfemale	tdo2	Chr01	Chr01	44561624	44561624	TRINITY_DN129561_c4_g1_i11	1530	1313.83
TRINITY_DN129730_c0_g1_i2	FC3	female	4.779180611	meanfemale	LOC100036702	Chr01	Chr01	110127078	110127078	TRINITY_DN129730_c0_g1_i2	3806	3589.83
TRINITY_DN129784_c1_g7_i1	FC3	female	7.164804009	meanfemale	LOC100487939	Chr01	Chr01	65386604	65386604	TRINITY_DN129784_c1_g7_i1	2170	1953.83
TRINITY_DN129884_c3_g1_i1	FC3	female	3.606729223	meanfemale	hcn1	Chr01	Chr01	181104515	181104515	TRINITY_DN129884_c3_g1_i1	2923	2706.83
TRINITY_DN130066_c0_g1_i1	FC3	female	5.890156458	meanfemale	LOC100492954	Chr01	Chr01	12568075	12568075	TRINITY_DN130066_c0_g1_i1	1996	1779.83
TRINITY_DN130196_c2_g2_i1	FC3	female	4.14057713	meanfemale	p2rx4	Chr01	Chr01	153862618	153862618	TRINITY_DN130196_c2_g2_i1	4896	4679.83
TRINITY_DN130370_c3_g2_i1	FC3	female	0.107474789	meanfemale	ggt1	Chr01	Chr01	144154082	144154082	TRINITY_DN130370_c3_g2_i1	2377	2160.83
TRINITY_DN130457_c5_g2_i1	FC3	female	3.155132256	meanfemale	b3gnt4	Chr01	Chr01	153302330	153302330	TRINITY_DN130457_c5_g2_i1	2170	1953.83
TRINITY_DN130709_c2_g1_i1	FC3	female	4.081851617	meanfemale	rnf38	Chr01	Chr01	97731465	97731465	TRINITY_DN130709_c2_g1_i1	2711	2494.83
TRINITY_DN131068_c1_g7_i3	FC3	female	7.779761747	meanfemale	ltb4dh	Chr01	Chr01	103075036	103075036	TRINITY_DN131068_c1_g7_i3	2019	1802.83
TRINITY_DN131222_c0_g2_i4	FC3	female	7.031625448	meanfemale	vldlr	Chr01	Chr01	115822994	115822994	TRINITY_DN131222_c0_g2_i4	3861	3644.83
TRINITY_DN131496_c5_g1_i2	FC3	female	9.265190016	meanfemale	cdo1	Chr01	Chr01	163360099	163360099	TRINITY_DN131496_c5_g1_i2	1879	1662.83
TRINITY_DN132837_c1_g8_i1	FC3	female	1.276929139	meanfemale	c1qtnf3	Chr01	Chr01	186237856	186237856	TRINITY_DN132837_c1_g8_i1	1120	903.835
TRINITY_DN132891_c7_g2_i3	FC3	female	4.775335081	meanfemale	lpar1	Chr01	Chr01	103413667	103413667	TRINITY_DN132891_c7_g2_i3	3538	3321.83
TRINITY_DN133320_c2_g3_i2	FC3	female	5.502068139	meanfemale	gcnt1	Chr01	Chr01	119734390	119734390	TRINITY_DN133320_c2_g3_i2	2702	2485.83
TRINITY_DN134591_c2_g1_i2	FC3	female	4.100187855	meanfemale	ccdc68	Chr01	Chr01	189998238	189998238	TRINITY_DN134591_c2_g1_i2	2454	2237.83
TRINITY_DN135615_c0_g1_i2	FC3	female	5.836863139	meanfemale	lonrf1	Chr01	Chr01	31681950	31681950	TRINITY_DN135615_c0_g1_i2	3884	3667.83
TRINITY_DN135743_c0_g2_i1	FC3	female	3.79649015	meanfemale	LOC100127860	Chr01	Chr01	51606696	51606696	TRINITY_DN135743_c0_g2_i1	599	383.501
TRINITY_DN136252_c8_g2_i1	FC3	female	7.358551256	meanfemale	pus1	Chr01	Chr01	148124216	148124216	TRINITY_DN136252_c8_g2_i1	1462	1245.83
TRINITY_DN152373_c0_g1_i1	FC3	female	1.781333571	meanfemale	ltb4r2	Chr01	Chr01	130063011	130063011	TRINITY_DN152373_c0_g1_i1	1841	1624.83
TRINITY_DN98815_c0_g1_i1	FC3	female	2.524335571	meanfemale	LOC100495756-like	Chr01	Chr01	83427263	83427263	TRINITY_DN98815_c0_g1_i1	954	737.911
TRINITY_DN104136_c0_g1_i1	FC3	female	-1.700393686	meanmale	not	Chr01	Chr01	10478571	10478571	TRINITY_DN104136_c0_g1_i1	1384	1167.83
TRINITY_DN108434_c0_g2_i2	FC3	female	-0.986487205	meanmale	siglec1	Chr01	Chr01	8069004	8069004	TRINITY_DN108434_c0_g2_i2	5524	5307.83
TRINITY_DN114052_c0_g1_i1	FC3	female	3.182363776	meanmale	rhof	Chr01	Chr01	153580211	153580211	TRINITY_DN114052_c0_g1_i1	1253	1036.83
TRINITY_DN114443_c0_g1_i1	FC3	female	-0.632104351	meanmale	pcsk4	Chr01	Chr01	80419484	80419484	TRINITY_DN114443_c0_g1_i1	2496	2279.83
TRINITY_DN114768_c0_g1_i1	FC3	female	0.287633528	meanmale	abhd8	Chr01	Chr01	101190060	101190060	TRINITY_DN114768_c0_g1_i1	2663	2446.83
TRINITY_DN115184_c0_g1_i1	FC3	female	2.018775212	meanmale	LOC100492669	Chr01	Chr01	82749838	82749838	TRINITY_DN115184_c0_g1_i1	939	722.911
TRINITY_DN115713_c0_g1_i1	FC3	female	2.32043101	meanmale	tada2b	Chr01	Chr01	20365262	20365262	TRINITY_DN115713_c0_g1_i1	1562	1345.83
TRINITY_DN116915_c0_g1_i3	FC3	female	0.272990486	meanmale	tstd2	Chr01	Chr01	95169014	95169014	TRINITY_DN116915_c0_g1_i3	2326	2109.83
TRINITY_DN116978_c0_g1_i1	FC3	female	-0.510121925	meanmale	LOC733556	Chr01	Chr01	51640120	51640120	TRINITY_DN116978_c0_g1_i1	992	775.86
TRINITY_DN118258_c0_g1_i2	FC3	female	0.5673759	meanmale	rtdr1	Chr01	Chr01	143794010	143794010	TRINITY_DN118258_c0_g1_i2	1070	853.835
TRINITY_DN118610_c0_g1_i2	FC3	female	0.101789176	meanmale	LOC101734664	Chr01	Chr01	152353361	152353361	TRINITY_DN118610_c0_g1_i2	1274	1057.83
TRINITY_DN119683_c0_g3_i1	FC3	female	-0.333174212	meanmale	depdc1b	Chr01	Chr01	176690855	176690855	TRINITY_DN119683_c0_g3_i1	1807	1590.83
TRINITY_DN119755_c1_g2_i1	FC3	female	2.555437659	meanmale	klf4	Chr01	Chr01	108567020	108567020	TRINITY_DN119755_c1_g2_i1	2849	2632.83
TRINITY_DN120025_c0_g1_i4	FC3	female	2.525557202	meanmale	c19orf44-like	Chr01	Chr01	100150869	100150869	TRINITY_DN120025_c0_g1_i4	2605	2388.83
TRINITY_DN120254_c0_g1_i1	FC3	female	1.477819739	meanmale	homez	Chr01	Chr01	127437443	127437443	TRINITY_DN120254_c0_g1_i1	2330	2113.83
TRINITY_DN121089_c2_g2_i1	FC3	female	-0.650303502	meanmale	gadd45b-like	Chr01	Chr01	80232562	80232562	TRINITY_DN121089_c2_g2_i1	1177	960.835
TRINITY_DN121505_c1_g3_i1	FC3	female	1.773820145	meanmale	elovl7	Chr01	Chr01	176647919	176647919	TRINITY_DN121505_c1_g3_i1	1779	1562.83
TRINITY_DN122851_c0_g2_i1	FC3	female	2.200133207	meanmale	abhd17b	Chr01	Chr01	118177523	118177523	TRINITY_DN122851_c0_g2_i1	2442	2225.83
TRINITY_DN123387_c2_g2_i2	FC3	female	1.531206526	meanmale	ocln	Chr01	Chr01	167368970	167368970	TRINITY_DN123387_c2_g2_i2	2742	2525.83
TRINITY_DN123745_c1_g1_i5	FC3	female	-3.466759061	meanmale	lingo2	Chr01	Chr01	110621695	110621695	TRINITY_DN123745_c1_g1_i5	4527	4310.83
TRINITY_DN124265_c0_g1_i2	FC3	female	6.017331618	meanmale	mrpl1	Chr01	Chr01	91224097	91224097	TRINITY_DN124265_c0_g1_i2	1446	1229.83
TRINITY_DN124336_c0_g2_i1	FC3	female	0.488359011	meanmale	trim23	Chr01	Chr01	175024225	175024225	TRINITY_DN124336_c0_g2_i1	2383	2166.83
TRINITY_DN124409_c0_g1_i1	FC3	female	-3.860756882	meanmale	shc3	Chr01	Chr01	125590501	125590501	TRINITY_DN124409_c0_g1_i1	2501	2284.83
TRINITY_DN124497_c3_g1_i2	FC3	female	2.194081356	meanmale	LOC100497142-like	Chr01	Chr01	140348648	140348648	TRINITY_DN124497_c3_g1_i2	2025	1808.83
TRINITY_DN124715_c0_g1_i2	FC3	female	4.243896341	meanmale	LOC100135405	Chr01	Chr01	146451221	146451221	TRINITY_DN124715_c0_g1_i2	908	691.958
TRINITY_DN124768_c1_g3_i1	FC3	female	4.139245787	meanmale	plk2	Chr01	Chr01	177581313	177581313	TRINITY_DN124768_c1_g3_i1	2683	2466.83
