gid	gname	chr	logCPM	logFC.XYtestis.XXovary	abslogFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	tau	tissue	bias	dNdS	dN	dS	stage
TRINITY_DN125977_c0_g1_i1	NA	NA	4.081329472	-1.017660216	1.017660216	0.004310875	0.00975362	0.430655297	Ovary_mean	female	0.0337	0.0497	1.4733	gonad
TRINITY_DN125987_c0_g1_i2	NA	NA	6.348256487	-2.415381568	2.415381568	4.64E-18	9.33E-17	0.439993515	Ovary_mean	female	0.0433	0.0845	1.9501	gonad
TRINITY_DN125988_c0_g3_i1	NA	NA	3.188068834	-1.488814824	1.488814824	0.000194848	0.000594667	0.483770409	Ovary_mean	female	0.0518	0.0845	1.6309	gonad
TRINITY_DN125995_c6_g3_i1	trim44	Chr04	1.956687514	-1.35655327	1.35655327	0.013237325	0.026458231	0.497235334	G23_mean	female	0.0609	0.0603	0.9891	gonad
TRINITY_DN125997_c0_g3_i2	NA	NA	5.759989984	-2.295374672	2.295374672	2.45E-17	4.59E-16	0.497794641	Ovary_mean	female	0.1754	0.1968	1.1219	gonad
TRINITY_DN126011_c0_g1_i2	iqcg	Chr05	5.816518269	-1.12511255	1.12511255	0.008548104	0.017969179	0.462702072	Ovary_mean	female	0.0945	0.1381	1.4618	gonad
TRINITY_DN126025_c7_g3_i1	NA	NA	6.469892911	-3.549638144	3.549638144	4.25E-36	2.77E-34	0.623884171	Ovary_mean	female	0.2241	0.386	1.7225	gonad
TRINITY_DN126027_c4_g1_i1	NA	NA	4.748877538	-1.276191923	1.276191923	0.002438998	0.005849239	0.550018517	Brain_mean	female	0.0418	0.0625	1.497	gonad
TRINITY_DN126027_c6_g2_i1	NA	NA	5.83318333	-1.341703968	1.341703968	0.00000128	0.00000586	0.455186364	Ovary_mean	female	0.073	0.1069	1.4651	gonad
TRINITY_DN126031_c3_g1_i1	mc3r	Chr10	7.269590333	-3.199728426	3.199728426	3.11E-37	2.14E-35	0.592822472	Ovary_mean	female	0.0833	0.1303	1.5636	gonad
TRINITY_DN126038_c0_g1_i2	NA	NA	5.016055126	-1.872592176	1.872592176	4.89E-09	3.27E-08	0.51544556	Ovary_mean	female	0.0537	0.062	1.156	gonad
TRINITY_DN126047_c5_g5_i7	psmg2	Chr06	6.326209801	-1.713487048	1.713487048	0.0000001	0.000000546	0.485767786	Ovary_mean	female	0.1051	0.1112	1.0575	gonad
TRINITY_DN126051_c2_g2_i3	NA	NA	4.347141802	-2.743380301	2.743380301	4.40E-16	7.32E-15	0.686709484	Ovary_mean	female	0.1561	0.2574	1.6493	gonad
TRINITY_DN126060_c0_g1_i1	NA	NA	1.557360248	-6.335917777	6.335917777	1.72E-17	3.27E-16	0.76250528	Brain_mean	female	0.0359	0.0674	1.879	gonad
TRINITY_DN126072_c1_g1_i1	NA	NA	5.335817795	-2.316339289	2.316339289	8.86E-14	1.13E-12	0.535329987	Ovary_mean	female	0.0304	0.0402	1.323	gonad
TRINITY_DN126078_c0_g1_i1	NA	NA	5.446307953	-7.278131892	7.278131892	3.62E-43	3.34E-41	0.86741228	Ovary_mean	female	0.189	0.3196	1.6912	gonad
TRINITY_DN126079_c0_g1_i1	cyct	Chr09	5.747743995	-1.459473537	1.459473537	0.00000857	0.0000336	0.457454618	Ovary_mean	female	0.1226	0.1743	1.4211	gonad
TRINITY_DN126113_c4_g2_i1	NA	NA	5.534459668	-2.465320097	2.465320097	7.28E-19	1.56E-17	0.595398096	Ovary_mean	female	0.0109	0.0196	1.8058	gonad
TRINITY_DN126122_c4_g2_i1	NA	NA	2.985416214	-1.9258984	1.9258984	0.00000331	0.000014	0.351052061	Ovary_mean	female	0.0941	0.129	1.3704	gonad
TRINITY_DN126127_c0_g2_i3	NA	NA	5.689393455	-1.34595695	1.34595695	0.000014	0.0000528	0.380344835	Brain_mean	female	0.116	0.1691	1.4572	gonad
TRINITY_DN126133_c2_g1_i1	NA	NA	5.939625374	-1.606827953	1.606827953	1.01E-08	6.44E-08	0.501691188	Ovary_mean	female	0.0359	0.0353	0.9825	gonad
TRINITY_DN126138_c0_g2_i2	NA	NA	6.249891935	-1.014061243	1.014061243	0.0000699	0.000232832	0.34599431	Ovary_mean	female	0.0152	0.0205	1.3472	gonad
TRINITY_DN126149_c5_g2_i2	NA	NA	3.575401767	-3.610450827	3.610450827	7.76E-16	1.25E-14	0.532300955	Ovary_mean	female	0.163	0.2997	1.8391	gonad
TRINITY_DN126158_c0_g1_i1	NA	NA	6.531919442	-1.782159379	1.782159379	0.000000272	0.00000139	0.604338081	Ovary_mean	female	0.1067	0.1869	1.751	gonad
TRINITY_DN126161_c0_g2_i4	tdrd7	Chr01	7.682970874	-1.192745805	1.192745805	0.00000208	0.00000912	0.424536335	Ovary_mean	female	0.0218	0.0322	1.4786	gonad
TRINITY_DN126178_c1_g1_i1	NA	NA	6.456986779	-2.155985343	2.155985343	8.49E-15	1.21E-13	0.53466751	Ovary_mean	female	0.0806	0.1539	1.9085	gonad
TRINITY_DN126188_c5_g4_i5	NA	NA	4.573815742	-1.199030726	1.199030726	0.00013683	0.000429928	0.298093527	Ovary_mean	female	0.0874	0.123	1.4074	gonad
TRINITY_DN126222_c0_g1_i1	NA	NA	5.153909233	-2.299958913	2.299958913	4.72E-14	6.19E-13	0.519605312	Ovary_mean	female	0.0727	0.1013	1.3931	gonad
TRINITY_DN126256_c6_g2_i1	Xetrov90016634m	Chr06	5.047788277	-4.430637147	4.430637147	3.85E-23	1.19E-21	0.708376062	Ovary_mean	female	0.0215	0.029	1.3531	gonad
TRINITY_DN126284_c5_g1_i3	NA	NA	7.542385532	-1.925830224	1.925830224	5.99E-17	1.09E-15	0.236649883	Ovary_mean	female	0.0569	0.0917	1.6123	gonad
TRINITY_DN126296_c0_g1_i4	NA	NA	3.219036456	-2.523763517	2.523763517	8.42E-09	5.41E-08	0.736449105	Brain_mean	female	0.03	0.0425	1.4144	gonad
TRINITY_DN126300_c1_g4_i5	lrrc70	Chr01	0.902696313	-1.918013595	1.918013595	0.0000151	0.000057	0.701828153	Brain_mean	female	0.0828	0.1016	1.2262	gonad
TRINITY_DN126301_c0_g1_i2	slc12a6	Chr01	7.312166917	-1.48079241	1.48079241	0.000000321	0.00000162	0.305540802	Ovary_mean	female	0.1084	0.1262	1.1637	gonad
TRINITY_DN126307_c1_g2_i2	NA	NA	5.011606741	-1.419126588	1.419126588	0.00000211	0.00000924	0.387118875	Ovary_mean	female	0.1372	0.2338	1.704	gonad
TRINITY_DN126308_c0_g2_i9	scel-like	Chr02	6.9252757	-1.484591004	1.484591004	2.88E-09	0.00000002	0.14795054	G23_mean	female	0.0517	0.0711	1.3755	gonad
TRINITY_DN126312_c0_g1_i4	NA	NA	7.832586441	-3.107286918	3.107286918	4.63E-18	9.32E-17	0.635186839	Ovary_mean	female	0.1612	0.3023	1.8748	gonad
TRINITY_DN126314_c2_g1_i2	NA	NA	5.306823731	-1.4631576	1.4631576	0.000000307	0.00000156	0.514223037	Ovary_mean	female	0.0584	0.0827	1.4166	gonad
TRINITY_DN126315_c5_g1_i1	NA	NA	1.375464937	-3.568034289	3.568034289	0.000000051	0.000000292	0.660024997	Brain_mean	female	0.0429	0.0469	1.0914	gonad
TRINITY_DN126318_c8_g2_i4	NA	NA	5.216353219	-1.902668852	1.902668852	1.08E-10	9.24E-10	0.445962589	Ovary_mean	female	0.0813	0.1343	1.6529	gonad
TRINITY_DN126330_c1_g2_i1	NA	NA	6.467433077	-1.933696993	1.933696993	3.89E-14	5.16E-13	0.353908143	Ovary_mean	female	0.128	0.2552	1.9938	gonad
TRINITY_DN126356_c1_g3_i1	NA	NA	5.18430795	-3.637093486	3.637093486	7.86E-18	1.54E-16	0.580417239	Ovary_mean	female	0.073	0.071	0.9714	gonad
TRINITY_DN126357_c1_g1_i2	esf1	Chr05	6.060020324	-1.525591893	1.525591893	7.05E-10	5.38E-09	0.348693704	Ovary_mean	female	0.0648	0.1064	1.6433	gonad
TRINITY_DN126357_c1_g2_i4	NA	NA	5.563879687	-1.015857345	1.015857345	0.000440537	0.001243756	0.385674605	Ovary_mean	female	0.042	0.0468	1.1147	gonad
TRINITY_DN126359_c3_g1_i4	Xetrov90007307m	Chr03	3.692978644	-2.187389059	2.187389059	0.00000306	0.000013	0.73737121	Ovary_mean	female	0.2418	0.3464	1.4326	gonad
TRINITY_DN126394_c1_g1_i1	mrpl36	Chr06	6.354883396	-1.806810261	1.806810261	8.86E-13	1.00E-11	0.512035172	Ovary_mean	female	0.0665	0.1085	1.631	gonad
TRINITY_DN126404_c1_g2_i1	gpr179	Chr10	1.192936661	-3.479005158	3.479005158	2.47E-09	1.74E-08	0.689186037	G23_mean	female	0.0396	0.0397	1.0024	gonad
TRINITY_DN126405_c0_g1_i1	NA	NA	8.9181264	-1.060596448	1.060596448	0.000161443	0.000500088	0.411194674	Ovary_mean	female	0.0156	0.0282	1.8135	gonad
TRINITY_DN126408_c2_g1_i1	c9orf9	Chr08	2.848791179	-5.233661636	5.233661636	2.70E-14	3.65E-13	0.612620481	Brain_mean	female	0.0767	0.1173	1.5287	gonad
TRINITY_DN126410_c3_g1_i3	NA	NA	9.219893581	-3.181282166	3.181282166	1.48E-14	2.05E-13	0.552648125	Ovary_mean	female	0.2241	0.4171	1.8618	gonad
TRINITY_DN126421_c2_g1_i1	NA	NA	6.846597119	-2.695716004	2.695716004	1.52E-25	5.78E-24	0.571518795	Ovary_mean	female	0.0457	0.0808	1.7687	gonad
TRINITY_DN126425_c1_g1_i3	NA	NA	7.174303659	-1.926710141	1.926710141	7.40E-09	4.79E-08	0.624564403	Ovary_mean	female	0.0962	0.1554	1.6157	gonad
TRINITY_DN126429_c0_g1_i1	NA	NA	6.937750837	-1.862656877	1.862656877	1.94E-11	1.85E-10	0.487715332	Ovary_mean	female	0.0532	0.066	1.2421	gonad
TRINITY_DN126447_c0_g1_i1	rin2	Chr05	6.789084226	-2.518012674	2.518012674	7.74E-24	2.56E-22	0.570405642	Ovary_mean	female	0.1231	0.2104	1.7095	gonad
TRINITY_DN126452_c0_g2_i3	cd53	Chr02	5.026183235	-1.129802555	1.129802555	0.000241099	0.000721189	0.430034163	Ovary_mean	female	0.1979	0.357	1.8036	gonad
TRINITY_DN126470_c0_g1_i1	disp1	Chr05	4.269059486	-1.00114248	1.00114248	0.002767718	0.00655604	0.517127303	Brain_mean	female	0.1032	0.148	1.4344	gonad
TRINITY_DN126495_c0_g1_i1	ptgs2	Chr04	3.382651956	-6.314254405	6.314254405	1.58E-19	3.61E-18	0.689016294	Ovary_mean	female	0.1806	0.2549	1.4117	gonad
TRINITY_DN126507_c0_g1_i2	kif5b	Chr06	5.263894895	-2.443067062	2.443067062	7.50E-15	1.08E-13	0.772453077	Ovary_mean	female	0.0435	0.0441	1.0156	gonad
TRINITY_DN126514_c1_g1_i1	elac1	Chr01	5.027770405	-1.778779886	1.778779886	1.84E-09	1.32E-08	0.540463955	Ovary_mean	female	0.009	0.0077	0.849	gonad
TRINITY_DN126523_c5_g1_i1	NA	NA	6.669423407	-1.266739013	1.266739013	0.000000356	0.00000178	0.260812766	Ovary_mean	female	0.1711	0.3319	1.94	gonad
TRINITY_DN126533_c3_g2_i1	rtfdc1	scaffold_113	5.595088683	-1.985859239	1.985859239	1.28E-14	1.78E-13	0.428057186	Ovary_mean	female	0.1156	0.153	1.324	gonad
TRINITY_DN126534_c2_g2_i1	NA	NA	3.684476155	-1.266937658	1.266937658	0.000884748	0.00234079	0.385184807	Ovary_mean	female	0.0968	0.1222	1.2623	gonad
TRINITY_DN126534_c3_g1_i1	kl	Chr02	3.348285642	-2.037234813	2.037234813	0.00000117	0.00000536	0.531274204	Ovary_mean	female	0.1322	0.2268	1.7149	gonad
TRINITY_DN126535_c1_g2_i4	NA	NA	4.150176568	-2.072495494	2.072495494	4.92E-10	3.82E-09	0.540396256	Brain_mean	female	0.1722	0.1756	1.0199	gonad
TRINITY_DN126536_c5_g1_i1	LOC100497185	Chr02	6.911475015	-2.056877838	2.056877838	1.02E-13	1.29E-12	0.35414714	Ovary_mean	female	0.0626	0.115	1.8362	gonad
TRINITY_DN126551_c0_g2_i5	NA	NA	7.048018321	-1.997458808	1.997458808	2.07E-12	2.23E-11	0.361156843	Ovary_mean	female	0.0186	0.0255	1.375	gonad
TRINITY_DN126559_c1_g4_i2	NA	NA	8.007895184	-1.332027031	1.332027031	5.76E-09	0.000000038	0.284740203	Ovary_mean	female	0.0604	0.1189	1.9696	gonad
TRINITY_DN126564_c5_g2_i1	fam185a	Chr03	4.598278795	-3.37946675	3.37946675	3.72E-12	3.86E-11	0.674712455	Ovary_mean	female	0.0328	0.0442	1.3461	gonad
TRINITY_DN126577_c0_g1_i1	NA	NA	6.840680578	-1.314456122	1.314456122	0.000000217	0.00000112	0.514958527	Ovary_mean	female	0.0886	0.1473	1.6618	gonad
TRINITY_DN126589_c3_g1_i2	secisbp2l	Chr03	3.336187421	-1.216280813	1.216280813	0.004210561	0.00955156	0.481367202	Ovary_mean	female	0.0798	0.159	1.9918	gonad
TRINITY_DN126600_c0_g1_i1	NA	NA	6.157301894	-1.288393532	1.288393532	0.00000302	0.0000128	0.487068552	Ovary_mean	female	0.0881	0.1674	1.9005	gonad
TRINITY_DN126605_c1_g1_i1	NA	NA	2.488125891	-1.292787175	1.292787175	0.002724334	0.006466853	0.646050639	Ovary_mean	female	0.1089	0.1935	1.7778	gonad
TRINITY_DN126616_c6_g6_i2	NA	NA	6.867531918	-1.730939135	1.730939135	6.44E-15	9.30E-14	0.405587377	Ovary_mean	female	0.0256	0.0323	1.2626	gonad
TRINITY_DN126619_c1_g3_i3	NA	NA	6.763673534	-1.756699833	1.756699833	8.94E-10	6.74E-09	0.446622317	Ovary_mean	female	0.0688	0.0837	1.2167	gonad
TRINITY_DN126623_c2_g1_i1	NA	NA	2.461510381	-2.485189367	2.485189367	0.000331435	0.000962561	0.667857112	Brain_mean	female	0.0555	0.0627	1.1303	gonad
TRINITY_DN126629_c0_g1_i1	NA	NA	6.932355131	-2.612009651	2.612009651	6.13E-25	2.24E-23	0.304593019	Ovary_mean	female	0.057	0.0928	1.6283	gonad
TRINITY_DN126639_c0_g1_i1	NA	NA	5.871431461	-1.147763977	1.147763977	0.000009	0.0000352	0.442958264	Ovary_mean	female	0.0852	0.145	1.7022	gonad
TRINITY_DN126647_c0_g1_i1	NA	NA	3.720816547	-1.015311977	1.015311977	0.014787625	0.029171811	0.66873653	Ovary_mean	female	0.0158	0.0242	1.5301	gonad
TRINITY_DN126660_c0_g3_i5	abcc4	Chr02	3.71653006	-1.127488161	1.127488161	0.001672661	0.00417056	0.367496666	Ovary_mean	female	0.1233	0.1799	1.4592	gonad
TRINITY_DN126691_c0_g1_i1	NA	NA	5.153385718	-1.813541193	1.813541193	2.05E-10	1.68E-09	0.478269677	Ovary_mean	female	0.049	0.0561	1.1435	gonad
TRINITY_DN126692_c6_g4_i1	NA	NA	7.187197341	-2.850564007	2.850564007	3.62E-17	6.71E-16	0.459777514	Ovary_mean	female	0.065	0.0485	0.7463	gonad
TRINITY_DN126693_c0_g1_i1	fam91a1	scaffold_81	5.192204841	-1.517086947	1.517086947	0.000000736	0.0000035	0.67951254	Ovary_mean	female	0.1093	0.1941	1.7762	gonad
TRINITY_DN126701_c6_g2_i1	LOC100489738	Chr08	5.967419876	-1.598901877	1.598901877	4.90E-10	3.82E-09	0.424343228	Ovary_mean	female	0.009	0.0078	0.8568	gonad
TRINITY_DN126721_c4_g1_i3	NA	NA	6.021739946	-1.100252134	1.100252134	0.00031078	0.000907598	0.377887701	Ovary_mean	female	0.09	0.1096	1.2179	gonad
TRINITY_DN126722_c0_g1_i1	NA	NA	4.838507625	-1.255663359	1.255663359	0.000366445	0.001052316	0.337869401	Ovary_mean	female	0.0809	0.1168	1.4437	gonad
TRINITY_DN126729_c2_g1_i2	LOC100327245	Chr08	6.067173075	-8.425840933	8.425840933	4.56E-78	1.20E-75	0.874467516	Ovary_mean	female	0.1025	0.1457	1.4211	gonad
TRINITY_DN126754_c2_g1_i1	NA	NA	6.041880153	-1.565394455	1.565394455	0.000000228	0.00000118	0.536912661	Ovary_mean	female	0.0659	0.1034	1.5674	gonad
TRINITY_DN126765_c0_g1_i1	NA	NA	3.560807876	-2.891080365	2.891080365	0.000000437	0.00000216	0.271637667	Ovary_mean	female	0.1163	0.1899	1.6331	gonad
TRINITY_DN126783_c1_g5_i3	NA	NA	5.616495782	-7.454659856	7.454659856	9.79E-57	1.48E-54	0.870326524	Ovary_mean	female	0.046	0.0703	1.529	gonad
TRINITY_DN126798_c3_g1_i1	NA	NA	5.348469123	-1.470757091	1.470757091	0.0000014	0.00000632	0.240922933	Ovary_mean	female	0.0823	0.1075	1.3067	gonad
TRINITY_DN126820_c0_g1_i3	NA	NA	6.935795921	-1.210144893	1.210144893	4.26E-08	0.000000247	0.260983006	Ovary_mean	female	0.0409	0.0722	1.7647	gonad
TRINITY_DN126838_c0_g1_i1	NA	NA	7.21309243	-1.992753228	1.992753228	3.37E-16	5.68E-15	0.432756408	Ovary_mean	female	0.052	0.0686	1.3203	gonad
TRINITY_DN126839_c0_g2_i1	NA	NA	6.938731949	-2.755791097	2.755791097	2.41E-24	8.41E-23	0.513520026	Ovary_mean	female	0.1516	0.19	1.2536	gonad
TRINITY_DN126862_c0_g1_i6	LOC100489375	Chr08	3.134797187	-1.398629764	1.398629764	0.000244516	0.000730053	0.615607621	Ovary_mean	female	0.039	0.0515	1.3209	gonad
TRINITY_DN126890_c0_g2_i1	NA	NA	4.280398735	-1.518693055	1.518693055	0.0003505	0.00101142	0.388700109	Ovary_mean	female	0.1413	0.2067	1.4624	gonad
TRINITY_DN126891_c4_g1_i3	NA	NA	2.207313864	-3.270950878	3.270950878	8.58E-08	0.000000474	0.458193008	Liver_mean	female	0.0949	0.1583	1.6691	gonad
TRINITY_DN126897_c0_g2_i1	ucma	Chr03	6.070772846	-1.873128313	1.873128313	2.46E-13	2.99E-12	0.451688359	Ovary_mean	female	0.08	0.0898	1.1228	gonad
TRINITY_DN126899_c2_g1_i1	NA	NA	5.16658894	-1.048505091	1.048505091	0.001714035	0.004261945	0.579659215	Ovary_mean	female	0.1762	0.3009	1.7082	gonad
TRINITY_DN126907_c4_g3_i1	NA	NA	2.711063024	-1.246763956	1.246763956	0.017809122	0.034386666	0.437135427	Ovary_mean	female	0.0139	0.0173	1.2443	gonad
TRINITY_DN126910_c4_g1_i1	c18orf25	Chr01	6.662019492	-1.848251484	1.848251484	2.60E-11	2.42E-10	0.433691752	Ovary_mean	female	0.1798	0.1189	0.6611	gonad
TRINITY_DN126911_c6_g1_i1	Xetrov90024097m	Chr09	6.703653773	-1.391885008	1.391885008	9.46E-08	0.000000518	0.366251039	Ovary_mean	female	0.0196	0.0264	1.345	gonad
TRINITY_DN126924_c1_g2_i3	NA	NA	1.653858582	-1.545168608	1.545168608	0.004172771	0.009471549	0.423767087	G43_M_mean	female	0.0837	0.1616	1.9305	gonad
TRINITY_DN126931_c1_g2_i7	NA	NA	2.086309966	-1.451494955	1.451494955	0.025725716	0.047338675	0.587459333	Brain_mean	female	0.0377	0.0446	1.183	gonad
TRINITY_DN126932_c0_g1_i10	NA	NA	4.80129616	-5.397640127	5.397640127	7.22E-31	3.68E-29	0.609086837	Brain_mean	female	0.0875	0.136	1.5541	gonad
TRINITY_DN126935_c6_g3_i3	NA	NA	4.870286885	-2.341024119	2.341024119	2.68E-14	3.62E-13	0.65041396	Ovary_mean	female	0.0444	0.0649	1.4626	gonad
TRINITY_DN126944_c2_g6_i2	NA	NA	5.625078774	-1.626741919	1.626741919	3.86E-09	2.63E-08	0.25343546	Ovary_mean	female	0.0363	0.0505	1.3881	gonad
TRINITY_DN126945_c0_g1_i2	NA	NA	7.002254033	-1.451992891	1.451992891	5.41E-08	0.000000308	0.399317204	Ovary_mean	female	0.1222	0.2162	1.7684	gonad
TRINITY_DN126960_c0_g7_i1	NA	NA	5.080969785	-2.18746136	2.18746136	1.39E-08	8.68E-08	0.558095411	Ovary_mean	female	0.0925	0.1015	1.0972	gonad
TRINITY_DN126975_c0_g1_i1	Xetrov90024460m	Chr09	6.10040034	-1.591957049	1.591957049	2.01E-09	1.43E-08	0.431189175	Ovary_mean	female	0.0361	0.0373	1.0323	gonad
TRINITY_DN127008_c0_g1_i1	NA	NA	5.093288084	-1.140423222	1.140423222	0.000103827	0.000334618	0.566756035	Ovary_mean	female	0.168	0.2455	1.461	gonad
TRINITY_DN127021_c5_g1_i1	NA	NA	6.969951947	-1.295370242	1.295370242	0.00000505	0.0000206	0.528721697	Ovary_mean	female	0.0373	0.0589	1.5819	gonad
TRINITY_DN127023_c0_g1_i3	NA	NA	4.652390841	-1.053963219	1.053963219	0.002695536	0.006405235	0.546296668	Brain_mean	female	0.0092	0.0167	1.8241	gonad
TRINITY_DN127028_c1_g1_i1	snta1	Chr10	4.412955215	-1.777947092	1.777947092	0.000000344	0.00000172	0.628766823	Ovary_mean	female	0.1249	0.1043	0.835	gonad
TRINITY_DN127028_c2_g1_i2	NA	NA	6.781174498	-1.582864375	1.582864375	3.88E-11	3.52E-10	0.451887931	Ovary_mean	female	0.0898	0.1213	1.3513	gonad
TRINITY_DN127049_c0_g3_i1	NA	NA	2.244819956	-4.24226016	4.24226016	5.39E-14	7.04E-13	0.747083699	Brain_mean	female	0.0405	0.0474	1.169	gonad
TRINITY_DN127067_c5_g2_i2	NA	NA	5.320199817	-2.035775175	2.035775175	6.27E-11	5.55E-10	0.369014102	Brain_mean	female	0.0277	0.0363	1.3117	gonad
TRINITY_DN127070_c0_g1_i3	NA	NA	7.017257027	-2.337941643	2.337941643	7.05E-18	1.38E-16	0.763323771	Ovary_mean	female	0.1381	0.2172	1.5734	gonad
TRINITY_DN127094_c2_g3_i3	NA	NA	1.873978182	-2.020049072	2.020049072	0.00308322	0.007219996	0.711085571	Brain_mean	female	0.019	0.0212	1.1169	gonad
TRINITY_DN127096_c0_g1_i2	NA	NA	6.469446587	-4.144286486	4.144286486	6.10E-51	7.69E-49	0.493720711	Ovary_mean	female	0.0461	0.0881	1.9118	gonad
TRINITY_DN127109_c0_g1_i3	NA	NA	7.366125499	-1.488623215	1.488623215	4.41E-10	3.46E-09	0.265218731	Ovary_mean	female	0.0369	0.0433	1.1736	gonad
TRINITY_DN127129_c2_g3_i1	mmrn1	Chr01	8.015767678	-9.38226151	9.38226151	7.01E-147	3.95E-143	0.87539592	Ovary_mean	female	0.1346	0.2598	1.9303	gonad
TRINITY_DN127136_c1_g1_i2	NA	NA	1.467365754	-1.330719415	1.330719415	0.00233755	0.005628083	0.854677574	Brain_mean	female	0.0184	0.0251	1.3619	gonad
TRINITY_DN127150_c4_g6_i2	NA	NA	6.564361172	-3.673161641	3.673161641	6.42E-43	5.84E-41	0.433269323	Ovary_mean	female	0.0072	0.0054	0.7473	gonad
TRINITY_DN127156_c7_g3_i1	tnfrsf19	Chr02	2.946180232	-1.444424015	1.444424015	0.005245983	0.011622251	0.586938326	Ovary_mean	female	0.1279	0.2123	1.6596	gonad
TRINITY_DN127173_c7_g1_i3	NA	NA	6.677997138	-1.902394163	1.902394163	2.50E-14	3.39E-13	0.369139357	Ovary_mean	female	0.0413	0.0663	1.6069	gonad
TRINITY_DN127174_c0_g1_i1	NA	NA	5.576922918	-1.883409466	1.883409466	2.60E-13	3.16E-12	0.24361818	Ovary_mean	female	0.1541	0.2537	1.6458	gonad
TRINITY_DN127185_c2_g2_i3	NA	NA	7.177436222	-1.368093771	1.368093771	8.23E-09	0.000000053	0.364693666	Ovary_mean	female	0.0274	0.0129	0.4685	gonad
TRINITY_DN127187_c0_g1_i1	NA	NA	7.376840529	-2.096828604	2.096828604	1.47E-15	2.29E-14	0.290004087	Ovary_mean	female	0.0207	0.0264	1.2727	gonad
TRINITY_DN127209_c2_g4_i3	LOC100493636-like	Chr03	4.978048243	-1.016994356	1.016994356	0.000959301	0.002518543	0.598045533	Ovary_mean	female	0.1877	0.2343	1.2486	gonad
TRINITY_DN127225_c3_g5_i1	NA	NA	6.666228968	-2.074353933	2.074353933	4.99E-17	9.12E-16	0.376570603	Ovary_mean	female	0.0317	0.0351	1.1046	gonad
TRINITY_DN127231_c1_g2_i1	LOC101730713-like	scaffold_39	3.313103605	-1.595825687	1.595825687	0.0000418	0.000144894	0.527173054	Ovary_mean	female	0.1574	0.2908	1.8478	gonad
TRINITY_DN127233_c1_g1_i5	NA	NA	8.760818572	-1.650772882	1.650772882	1.52E-10	1.27E-09	0.336679502	Ovary_mean	female	0.0376	0.0599	1.5918	gonad
TRINITY_DN127247_c0_g1_i4	NA	NA	7.349076462	-2.019982834	2.019982834	1.61E-15	2.49E-14	0.371429605	Ovary_mean	female	0.0474	0.0609	1.2839	gonad
TRINITY_DN127259_c0_g1_i1	NA	NA	4.036482913	-1.573414655	1.573414655	0.0000612	0.000206078	0.602584972	Brain_mean	female	0.0627	0.0798	1.2716	gonad
TRINITY_DN127273_c0_g3_i2	NA	NA	8.680548338	-1.092288203	1.092288203	0.0000233	0.000085	0.3470318	Ovary_mean	female	0.0489	0.0709	1.4494	gonad
TRINITY_DN127280_c7_g2_i1	NA	NA	4.702464381	-2.083421812	2.083421812	0.000000279	0.00000142	0.621753498	Ovary_mean	female	0.1449	0.2262	1.561	gonad
TRINITY_DN127312_c0_g1_i1	NA	NA	5.414068084	-1.180673209	1.180673209	0.000051	0.000174114	0.463690927	Ovary_mean	female	0.0924	0.1172	1.2675	gonad
TRINITY_DN127319_c1_g1_i1	NA	NA	3.788199844	-4.872302848	4.872302848	7.80E-24	2.58E-22	0.49686618	G27_mean	female	0.1335	0.1962	1.4694	gonad
TRINITY_DN127335_c2_g3_i2	NA	NA	6.256617533	-1.013235827	1.013235827	0.0000495	0.000169384	0.373638367	Ovary_mean	female	0.052	0.0911	1.7537	gonad
TRINITY_DN127341_c11_g1_i1	NA	NA	4.783150397	-2.691452799	2.691452799	2.52E-14	3.42E-13	0.696907457	Ovary_mean	female	0.0825	0.1434	1.7384	gonad
TRINITY_DN127345_c0_g1_i2	NA	NA	3.903435453	-3.009920316	3.009920316	8.94E-13	1.01E-11	0.550084031	Ovary_mean	female	0.1227	0.2114	1.7222	gonad
TRINITY_DN127351_c3_g3_i1	NA	NA	6.381305446	-3.089042291	3.089042291	5.51E-16	9.05E-15	0.523236434	Ovary_mean	female	0.1249	0.2495	1.9985	gonad
TRINITY_DN127372_c5_g1_i6	ppih	Chr07	5.845461569	-1.364235517	1.364235517	0.00000976	0.0000379	0.341088765	Ovary_mean	female	0.1222	0.1946	1.5921	gonad
TRINITY_DN127375_c0_g1_i1	NA	NA	7.860443345	-2.00668511	2.00668511	4.97E-17	9.11E-16	0.279389725	Ovary_mean	female	0.0587	0.0804	1.3692	gonad
TRINITY_DN127392_c2_g1_i1	NA	NA	4.153517325	-2.666582734	2.666582734	1.43E-10	1.20E-09	0.581188498	Brain_mean	female	0.1006	0.1214	1.2073	gonad
TRINITY_DN127394_c2_g3_i1	NA	NA	4.798912148	-1.889996644	1.889996644	0.00074307	0.001996862	0.337032369	G43_M_mean	female	0.0499	0.0441	0.8854	gonad
TRINITY_DN127398_c4_g2_i1	NA	NA	6.422971315	-2.84054547	2.84054547	7.84E-31	3.98E-29	0.539186016	Ovary_mean	female	0.0348	0.0544	1.5665	gonad
TRINITY_DN127401_c0_g1_i1	NA	NA	6.209143778	-1.223330607	1.223330607	0.00000281	0.000012	0.413778821	Ovary_mean	female	0.0118	0.0099	0.8434	gonad
TRINITY_DN127409_c0_g1_i4	NA	NA	3.429014048	-2.181389049	2.181389049	6.46E-09	4.23E-08	0.70738272	Ovary_mean	female	0.1149	0.1139	0.9916	gonad
