gid	gname	chr	start	end	logCPM	logFC.XYtestis.XXovary	PV.XYtestis.XXovary	FDR.XYtestis.XXovary	tau	tissue	bias
TRINITY_DN129065_c4_g8_i1	nf2	Chr01	132339470	132339470	3.112098757	2.548291362	1.28E-08	8.04E-08	0.183316174	G31_mean	male
TRINITY_DN129066_c0_g2_i4	NA	NA	NA	NA	6.161505665	1.152435135	2.49E-06	1.07E-05	0.274527841	Testis_mean	male
TRINITY_DN129070_c5_g1_i1	NA	NA	NA	NA	0.869601553	2.066535102	0.000214892	0.000650297	0.297774273	Brain_mean	male
TRINITY_DN129070_c6_g4_i4	NA	NA	NA	NA	5.999418183	4.925035092	3.58E-24	1.24E-22	0.56008628	Testis_mean	male
TRINITY_DN129076_c0_g1_i1	NA	NA	NA	NA	4.398713761	6.78703531	1.40E-32	7.77E-31	0.639549723	Brain_mean	male
TRINITY_DN129083_c0_g1_i3	NA	NA	NA	NA	4.173282094	2.378439691	4.91E-13	5.78E-12	0.629876525	Brain_mean	male
TRINITY_DN129085_c1_g2_i1	NA	NA	NA	NA	3.554960874	1.009881534	0.017122318	0.033219772	0.466062321	Brain_mean	male
TRINITY_DN129095_c5_g3_i1	NA	NA	NA	NA	0.78723184	2.49400852	0.00011705	0.000373659	0.282351093	G43_F_mean	male
TRINITY_DN129096_c0_g3_i4	kif2c	Chr04	72603297	72603297	2.350985436	3.012733607	1.28E-10	1.08E-09	0.347813213	Brain_mean	male
TRINITY_DN129120_c0_g1_i1	NA	NA	NA	NA	0.588375134	5.035399441	4.56E-14	6.00E-13	0.758864744	Testis_mean	male
TRINITY_DN129120_c0_g4_i1	NA	NA	NA	NA	3.887731447	2.504207007	4.31E-07	2.13E-06	0.625215038	Testis_mean	male
TRINITY_DN129120_c0_g5_i1	NA	NA	NA	NA	5.488302436	1.943779163	1.44E-05	5.42E-05	0.487413314	Testis_mean	male
TRINITY_DN129125_c0_g1_i2	NA	NA	NA	NA	2.886456352	1.331957321	0.015103548	0.029724858	0.578317409	Brain_mean	male
TRINITY_DN129125_c0_g4_i1	NA	NA	NA	NA	1.781850389	2.184294273	2.23E-05	8.15E-05	0.587738145	Brain_mean	male
TRINITY_DN129128_c4_g1_i5	NA	NA	NA	NA	5.859929226	2.727526662	1.24E-20	3.12E-19	0.245965738	Testis_mean	male
TRINITY_DN129130_c0_g1_i1	NA	NA	NA	NA	0.301911706	1.380175926	0.006614565	0.014315482	0.262205381	Brain_mean	male
TRINITY_DN129130_c5_g1_i2	NA	NA	NA	NA	1.799117138	2.276786967	0.000182664	0.000560818	0.233651379	Brain_mean	male
TRINITY_DN129134_c7_g1_i2	NA	NA	NA	NA	3.616844717	6.060190345	7.33E-29	3.42E-27	0.320065009	G43_M_mean	male
TRINITY_DN129138_c3_g1_i1	NA	NA	NA	NA	4.040963084	1.068662619	0.001955209	0.004791389	0.676075101	Brain_mean	male
TRINITY_DN129141_c5_g2_i3	NA	NA	NA	NA	4.598663589	1.22108648	0.002388122	0.005737596	0.317975659	G23_mean	male
TRINITY_DN129145_c5_g2_i2	Xetrov90018025m	Chr07	38476446	38476446	8.006426481	1.27903712	9.96E-06	3.86E-05	0.184920757	Testis_mean	male
TRINITY_DN129145_c6_g2_i2	NA	NA	NA	NA	3.087504505	1.245109146	0.00073702	0.001981784	0.309066012	G46_M_mean	male
TRINITY_DN129149_c1_g5_i1	NA	NA	NA	NA	2.113208106	1.532474547	0.000749049	0.002010775	0.371395672	Brain_mean	male
TRINITY_DN129153_c9_g2_i1	ctf1	scaffold_288	35903	35903	1.990583776	1.052963236	0.01433224	0.028390142	0.349232811	G23_mean	male
TRINITY_DN129153_c9_g4_i2	NA	NA	NA	NA	2.32264305	1.453092294	0.001065187	0.002772338	0.26523765	G43_M_mean	male
TRINITY_DN129162_c4_g5_i5	kcnj4	Chr04	112062451	112062451	1.84279262	1.578904968	0.00174954	0.00433923	0.235985894	G43_M_mean	male
TRINITY_DN129162_c5_g1_i2	LOC100497703	Chr07	24329767	24329767	7.077477317	3.49157231	1.47E-17	2.82E-16	0.190305639	Brain_mean	male
TRINITY_DN129167_c5_g9_i1	NA	NA	NA	NA	2.195704413	1.523060357	0.004059962	0.009249923	0.243534333	G43_F_mean	male
TRINITY_DN129168_c1_g3_i1	sfrp4	Chr06	80859061	80859061	4.477776073	2.078005489	9.26E-11	7.98E-10	0.233387544	G23_mean	male
TRINITY_DN129171_c3_g1_i2	NA	NA	NA	NA	4.464358386	1.170890372	0.000111861	0.00035831	0.192660024	G23_mean	male
TRINITY_DN129179_c0_g1_i1	NA	NA	NA	NA	2.70815108	2.406660944	5.86E-05	0.000198014	0.453847519	Testis_mean	male
TRINITY_DN129185_c2_g3_i2	NA	NA	NA	NA	3.931782817	2.90100124	1.75E-12	1.91E-11	0.349901037	G23_mean	male
TRINITY_DN129192_c0_g3_i1	NA	NA	NA	NA	3.404223767	3.232094886	1.94E-06	8.55E-06	0.354294725	Liver_mean	male
TRINITY_DN129193_c4_g1_i1	mok	Chr08	76657416	76657416	9.041799861	1.272449974	1.21E-06	5.54E-06	0.149439588	G23_mean	male
TRINITY_DN129193_c4_g2_i2	NA	NA	NA	NA	2.194409249	2.8708188	1.07E-09	7.99E-09	0.425805802	Brain_mean	male
TRINITY_DN129195_c4_g3_i1	NA	NA	NA	NA	3.840484321	1.640500587	3.64E-06	1.52E-05	0.224748986	Liver_mean	male
TRINITY_DN129196_c5_g2_i2	NA	NA	NA	NA	1.403288048	3.524651982	6.84E-08	3.83E-07	0.686883333	Brain_mean	male
TRINITY_DN129199_c2_g2_i11	NA	NA	NA	NA	0.705348293	1.323776498	0.006958235	0.014962552	0.522329547	Brain_mean	male
TRINITY_DN129202_c2_g8_i1	NA	NA	NA	NA	2.768893393	1.432113022	0.000297344	0.000871972	0.163826245	Brain_mean	male
TRINITY_DN129213_c0_g2_i1	NA	NA	NA	NA	1.673852976	3.892831008	1.14E-07	6.18E-07	0.398585047	Brain_mean	male
TRINITY_DN129226_c1_g1_i1	cel-like.1	Chr08	7200652	7200652	2.820970149	1.944545908	5.26E-07	2.56E-06	0.310203677	Brain_mean	male
TRINITY_DN129233_c0_g2_i1	dennd3	Chr06	130510178	130510178	3.530540377	1.021610559	0.018895864	0.036224186	0.248545942	G43_F_mean	male
TRINITY_DN129239_c8_g1_i2	NA	NA	NA	NA	2.841779025	1.414214844	0.000500787	0.001397719	0.353481151	Brain_mean	male
TRINITY_DN129246_c5_g2_i1	lemd3	Chr03	48305931	48305931	0.996127183	1.152514154	0.018809858	0.036087286	0.393026285	G43_F_mean	male
TRINITY_DN129246_c6_g9_i1	NA	NA	NA	NA	0.902722987	2.007529436	0.000121957	0.000387898	0.444592532	Brain_mean	male
TRINITY_DN129249_c1_g10_i1	NA	NA	NA	NA	2.211132209	2.017249384	2.20E-05	8.05E-05	0.287490933	Testis_mean	male
TRINITY_DN129262_c0_g1_i1	NA	NA	NA	NA	3.237558443	3.738144178	2.27E-11	2.13E-10	0.408406017	Brain_mean	male
TRINITY_DN129263_c4_g1_i3	NA	NA	NA	NA	0.180447544	3.06974684	0.000225282	0.000678644	0.472482661	G31_mean	male
TRINITY_DN129264_c1_g1_i1	ogdhl	Chr07	42092020	42092020	10.22194488	1.450542342	0.00010429	0.00033592	0.061457069	Testis_mean	male
TRINITY_DN129266_c0_g1_i2	NA	NA	NA	NA	0.878365838	1.391140428	0.004234987	0.009599247	0.352580514	Brain_mean	male
TRINITY_DN129267_c4_g1_i1	NA	NA	NA	NA	1.751269232	2.075802144	4.14E-05	0.000143794	0.235075404	G43_M_mean	male
TRINITY_DN129273_c5_g3_i1	NA	NA	NA	NA	7.06358275	1.495164203	2.61E-09	1.83E-08	0.125792111	G23_mean	male
TRINITY_DN129273_c5_g5_i1	NA	NA	NA	NA	1.22940297	1.80830143	0.000126014	0.000398999	0.522226585	Brain_mean	male
TRINITY_DN129273_c5_g6_i1	camk2g	Chr07	51965497	51965497	6.285951797	1.275348692	3.41E-06	1.44E-05	0.27600935	G23_mean	male
TRINITY_DN129274_c2_g3_i1	NA	NA	NA	NA	1.47220815	2.571576152	3.31E-06	1.40E-05	0.612482619	Brain_mean	male
TRINITY_DN129280_c0_g2_i5	atp1b4-like	Chr08	24828563	24828563	2.776605539	2.692508992	1.38E-08	8.58E-08	0.241026126	Brain_mean	male
TRINITY_DN129281_c3_g1_i4	NA	NA	NA	NA	1.457572324	1.923171491	4.16E-05	0.000144388	0.616323277	Brain_mean	male
TRINITY_DN129281_c4_g3_i3	NA	NA	NA	NA	3.20315175	1.239808663	0.003556704	0.008220391	0.162160457	Brain_mean	male
TRINITY_DN129283_c0_g1_i2	NA	NA	NA	NA	4.287632217	1.307743931	0.00266892	0.006350684	0.243560919	Brain_mean	male
TRINITY_DN129284_c0_g1_i1	NA	NA	NA	NA	1.921505673	1.072100014	0.02268121	0.042456695	0.501168047	Brain_mean	male
TRINITY_DN129285_c0_g1_i3	NA	NA	NA	NA	5.672940781	3.005981008	3.92E-16	6.56E-15	0.830160648	Testis_mean	male
TRINITY_DN129289_c0_g1_i19	LOC100496663	Chr05	107921390	107921390	3.686863816	2.446677617	1.36E-05	5.17E-05	0.529838952	Brain_mean	male
TRINITY_DN129290_c0_g1_i1	mtmr6-like	Chr02	153396409	153396409	0.641246806	3.767973488	6.51E-11	5.75E-10	0.778882006	Brain_mean	male
TRINITY_DN129292_c0_g3_i1	NA	NA	NA	NA	0.980139539	1.073146001	0.022832509	0.042704477	0.377106034	Brain_mean	male
TRINITY_DN129294_c9_g2_i1	pdzd2	Chr01	187673939	187673939	0.904401723	2.672630992	0.007564591	0.016142375	0.386418721	Testis_mean	male
TRINITY_DN129307_c0_g4_i4	NA	NA	NA	NA	3.571884171	3.142291521	1.60E-10	1.33E-09	0.699613777	Brain_mean	male
TRINITY_DN129308_c13_g3_i2	NA	NA	NA	NA	8.787674072	2.078829181	2.10E-14	2.88E-13	0.112532315	G27_mean	male
TRINITY_DN129311_c0_g1_i1	NA	NA	NA	NA	2.262253555	2.070184344	0.00283254	0.006690618	0.340620752	Brain_mean	male
TRINITY_DN129311_c0_g2_i1	NA	NA	NA	NA	1.525942286	2.751683933	6.44E-09	4.22E-08	0.324672908	Brain_mean	male
TRINITY_DN129311_c0_g3_i1	fzd3	scaffold_63	419941	419941	0.385258343	2.508130396	0.012945375	0.02594826	0.618456379	Brain_mean	male
TRINITY_DN129311_c0_g5_i2	NA	NA	NA	NA	4.242782948	2.587763276	1.89E-12	2.04E-11	0.341090317	Brain_mean	male
TRINITY_DN129312_c5_g6_i1	NA	NA	NA	NA	1.686149357	2.892323111	1.10E-06	5.09E-06	0.224717313	G43_F_mean	male
TRINITY_DN129319_c1_g1_i1	LOC733753	Chr05	34081989	34081989	2.658337089	2.50957711	2.27E-07	1.17E-06	0.745919134	Brain_mean	male
TRINITY_DN129324_c1_g1_i2	NA	NA	NA	NA	2.272058837	2.072727375	6.89E-06	2.75E-05	0.347918405	Testis_mean	male
TRINITY_DN129324_c1_g2_i2	mettl13	Chr04	97434901	97434901	0.75058444	2.03306753	3.13E-05	0.000111577	0.315931203	Brain_mean	male
TRINITY_DN129325_c2_g2_i1	NA	NA	NA	NA	0.723566902	1.542062963	0.002133009	0.005177608	0.35193507	Brain_mean	male
TRINITY_DN129329_c6_g1_i3	NA	NA	NA	NA	2.963689572	1.076816352	0.00456963	0.01027006	0.282741142	Brain_mean	male
TRINITY_DN129329_c6_g2_i1	rhoj-like	Chr08	81238951	81238951	2.072262578	1.081741071	0.015872033	0.031096227	0.289235261	Brain_mean	male
TRINITY_DN129335_c5_g1_i1	NA	NA	NA	NA	5.530362416	1.628222139	0.000108495	0.000348717	0.157280145	G43_M_mean	male
TRINITY_DN129335_c5_g2_i1	NA	NA	NA	NA	4.76104543	1.142087978	0.005696566	0.012516023	0.160553129	G43_F_mean	male
TRINITY_DN129348_c0_g1_i1	NA	NA	NA	NA	3.9085273	2.698492303	1.14E-09	8.45E-09	0.577960765	Brain_mean	male
TRINITY_DN129350_c3_g1_i4	NA	NA	NA	NA	4.489655195	2.02156806	1.66E-06	7.39E-06	0.384471354	Liver_mean	male
TRINITY_DN129361_c3_g1_i1	NA	NA	NA	NA	3.716442024	1.149374192	0.004796047	0.010725498	0.2058347	G43_F_mean	male
TRINITY_DN129367_c1_g4_i3	NA	NA	NA	NA	2.270433521	2.067808396	5.87E-05	0.000198176	0.277596934	G31_mean	male
TRINITY_DN129370_c1_g3_i2	NA	NA	NA	NA	2.894263601	3.648824765	2.56E-14	3.47E-13	0.356316515	Brain_mean	male
TRINITY_DN129376_c0_g1_i1	NA	NA	NA	NA	5.262681572	1.448432851	3.46E-07	1.73E-06	0.236026994	Liver_mean	male
TRINITY_DN129386_c0_g2_i11	elf1	Chr02	129003239	129003239	5.144825387	2.596270722	4.47E-12	4.59E-11	0.265770811	Brain_mean	male
TRINITY_DN129390_c0_g2_i4	NA	NA	NA	NA	3.393984288	1.767898745	0.000242836	0.000725421	0.598944549	Testis_mean	male
TRINITY_DN129398_c7_g1_i4	LOC100491399	Chr10	2505265	2505265	5.077858174	1.084381374	0.00113843	0.002945633	0.227511459	G23_mean	male
TRINITY_DN129398_c8_g2_i1	NA	NA	NA	NA	3.979440464	5.395662833	1.99E-19	4.49E-18	0.9000546	Testis_mean	male
TRINITY_DN129401_c5_g1_i1	NA	NA	NA	NA	4.160054592	1.482297787	0.004336438	0.00980261	0.453888101	Liver_mean	male
TRINITY_DN129408_c6_g2_i2	Xetrov90000594m	Chr01	27050817	27050817	3.100630418	1.04088093	0.01390001	0.027611538	0.237548212	G31_mean	male
TRINITY_DN129420_c0_g1_i2	cnst-like	Chr05	40817526	40817526	5.422332836	1.324450035	5.64E-05	0.000191013	0.196308944	G46_F_mean	male
TRINITY_DN129422_c6_g1_i2	sigirr	Chr04	13992438	13992438	4.366208396	3.506565264	1.64E-10	1.36E-09	0.201737076	G43_M_mean	male
TRINITY_DN129426_c1_g2_i6	NA	NA	NA	NA	1.329065843	1.807854424	0.002521742	0.006030368	0.431384473	Brain_mean	male
TRINITY_DN129427_c0_g8_i10	NA	NA	NA	NA	4.629038623	1.393504033	2.67E-05	9.64E-05	0.402104731	Liver_mean	male
TRINITY_DN129434_c4_g1_i1	NA	NA	NA	NA	1.779994608	1.370019852	0.00224081	0.005419454	0.547036943	Brain_mean	male
TRINITY_DN129434_c4_g5_i1	NA	NA	NA	NA	5.044081108	1.147951487	0.001087122	0.002823888	0.215922769	Testis_mean	male
TRINITY_DN129442_c0_g2_i3	NA	NA	NA	NA	3.052666497	2.983994603	4.60E-07	2.26E-06	0.526717698	Brain_mean	male
TRINITY_DN129448_c0_g2_i2	NA	NA	NA	NA	4.744318833	7.357351936	1.23E-25	4.71E-24	0.619840088	Testis_mean	male
TRINITY_DN129452_c0_g1_i5	NA	NA	NA	NA	5.629848289	3.69390233	6.09E-10	4.68E-09	0.644875462	Brain_mean	male
TRINITY_DN129461_c6_g1_i2	lrrc8e	Chr03	123775664	123775664	2.764150444	2.16982816	3.89E-05	0.000135691	0.220234026	G43_M_mean	male
TRINITY_DN129471_c4_g1_i1	NA	NA	NA	NA	1.41103045	2.41913755	0.000110696	0.000354833	0.373844354	Brain_mean	male
TRINITY_DN129473_c0_g1_i4	NA	NA	NA	NA	9.908214789	2.494847864	4.07E-06	1.69E-05	0.156190927	Testis_mean	male
TRINITY_DN129479_c10_g1_i1	NA	NA	NA	NA	4.679971363	1.514003323	6.78E-05	0.000226456	0.20096432	G23_mean	male
TRINITY_DN129479_c5_g1_i1	NA	NA	NA	NA	2.04253066	1.488733444	0.000869813	0.002305601	0.277118089	Brain_mean	male
TRINITY_DN129482_c0_g1_i2	NA	NA	NA	NA	1.163652149	3.914631433	1.48E-10	1.24E-09	0.849673587	Brain_mean	male
TRINITY_DN129483_c3_g3_i1	c3orf58	Chr05	117090884	117090884	2.418702916	5.784311505	3.91E-15	5.78E-14	0.671160975	Testis_mean	male
TRINITY_DN129484_c5_g1_i1	NA	NA	NA	NA	0.939097682	2.506453056	0.007341637	0.015708208	0.643515672	Testis_mean	male
TRINITY_DN129484_c5_g4_i1	NA	NA	NA	NA	1.283675067	1.029302756	0.02550389	0.04697263	0.530369407	Testis_mean	male
TRINITY_DN129484_c5_g5_i1	NA	NA	NA	NA	2.069807934	1.375135268	0.007569719	0.016151788	0.48597	Testis_mean	male
TRINITY_DN129486_c1_g1_i4	NA	NA	NA	NA	1.856625972	1.994302776	5.58E-05	0.000189451	0.865154618	Brain_mean	male
TRINITY_DN129506_c3_g8_i2	cfap45	Chr08	115240803	115240803	4.094065384	2.776891392	2.11E-10	1.72E-09	0.304822291	Testis_mean	male
TRINITY_DN129508_c1_g3_i2	NA	NA	NA	NA	1.617108922	1.853097538	0.000308592	0.00090191	0.311058686	G43_M_mean	male
TRINITY_DN129508_c2_g3_i2	NA	NA	NA	NA	2.451512435	1.22298307	0.002571617	0.006139224	0.449415815	G23_mean	male
TRINITY_DN129514_c0_g1_i1	NA	NA	NA	NA	4.539511137	1.547023784	6.06E-07	2.93E-06	0.356294393	Testis_mean	male
TRINITY_DN129520_c2_g10_i1	NA	NA	NA	NA	5.133035293	1.128013192	7.21E-05	0.000239305	0.194645196	Brain_mean	male
TRINITY_DN129527_c5_g2_i1	NA	NA	NA	NA	3.406621797	1.338122133	0.000417872	0.001185214	0.249946489	G23_mean	male
TRINITY_DN129535_c6_g1_i1	phyhipl	Chr07	7750855	7750855	1.338093327	1.932313575	0.000455161	0.001280672	0.720427765	Brain_mean	male
TRINITY_DN129536_c0_g3_i1	NA	NA	NA	NA	0.814981188	2.057401375	5.51E-05	0.000187088	0.25202863	G43_M_mean	male
TRINITY_DN129538_c1_g1_i3	prmt8	Chr03	13801562	13801562	5.355265341	2.249481743	2.10E-11	1.99E-10	0.394245121	Brain_mean	male
TRINITY_DN129540_c3_g1_i3	NA	NA	NA	NA	4.046415419	1.073687398	0.0029302	0.006898186	0.131409757	Brain_mean	male
TRINITY_DN129542_c3_g1_i1	NA	NA	NA	NA	1.705313556	2.00433981	4.66E-05	0.000160379	0.230573038	G43_F_mean	male
TRINITY_DN129543_c14_g4_i1	NA	NA	NA	NA	0.159651114	1.743533655	0.020811868	0.039395515	0.426450612	G23_mean	male
TRINITY_DN129543_c4_g3_i1	NA	NA	NA	NA	2.94685566	5.48673382	2.45E-07	1.26E-06	0.883641859	Brain_mean	male
TRINITY_DN129549_c5_g1_i1	NA	NA	NA	NA	1.070450053	1.151650178	0.025145548	0.046414953	0.295267397	G46_F_mean	male
TRINITY_DN129549_c6_g1_i1	NA	NA	NA	NA	10.62963749	2.060983687	4.84E-09	3.24E-08	0.122214503	Testis_mean	male
TRINITY_DN129553_c0_g1_i2	NA	NA	NA	NA	2.473989069	1.371559521	0.00066051	0.001796179	0.234788693	G43_M_mean	male
TRINITY_DN129555_c0_g1_i1	NA	NA	NA	NA	2.062717047	1.238798465	0.024204852	0.044947029	0.286840642	G43_M_mean	male
TRINITY_DN129555_c1_g1_i6	NA	NA	NA	NA	0.361244331	3.292260003	4.23E-08	2.45E-07	0.417054156	G23_mean	male
TRINITY_DN129559_c0_g1_i2	NA	NA	NA	NA	4.526243822	2.027836953	5.73E-05	0.000194012	0.587828832	Brain_mean	male
TRINITY_DN129562_c1_g1_i2	NA	NA	NA	NA	3.564372961	2.382605197	2.39E-08	1.44E-07	0.218219732	Testis_mean	male
TRINITY_DN129565_c0_g2_i1	NA	NA	NA	NA	0.521860149	2.737357528	3.96E-06	1.65E-05	0.343722334	Brain_mean	male
TRINITY_DN129572_c0_g1_i1	NA	NA	NA	NA	3.064347161	1.999778933	1.20E-05	4.58E-05	0.393916985	Testis_mean	male
TRINITY_DN129576_c6_g13_i1	NA	NA	NA	NA	5.076590039	2.330021979	7.88E-13	9.02E-12	0.309577948	Testis_mean	male
TRINITY_DN129576_c6_g4_i1	NA	NA	NA	NA	3.288197868	3.073319295	3.34E-11	3.07E-10	0.248764896	Testis_mean	male
TRINITY_DN129586_c4_g3_i1	NA	NA	NA	NA	3.268778107	5.678978516	2.80E-30	1.40E-28	0.595381607	Testis_mean	male
TRINITY_DN129589_c0_g3_i1	NA	NA	NA	NA	2.787459557	1.529433113	0.001075843	0.002796522	0.511758392	Brain_mean	male
TRINITY_DN129590_c0_g1_i1	NA	NA	NA	NA	2.953590955	1.755619013	0.000188955	0.000578009	0.767550841	Brain_mean	male
TRINITY_DN129591_c1_g1_i3	NA	NA	NA	NA	0.105251509	1.954813198	0.005592367	0.012302661	0.280901041	G43_M_mean	male
TRINITY_DN129591_c1_g3_i1	NA	NA	NA	NA	1.539727733	1.815483751	0.000168058	0.000519369	0.299243604	G43_M_mean	male
TRINITY_DN129592_c1_g1_i1	NA	NA	NA	NA	3.284866983	3.743157259	3.82E-10	3.03E-09	0.370856553	G43_F_mean	male
TRINITY_DN129597_c1_g4_i1	LOC100497746	Chr10	36585170	36585170	3.825491276	2.208781805	1.07E-09	7.97E-09	0.261247231	Testis_mean	male
TRINITY_DN129604_c0_g1_i1	gzf1	Chr05	20804045	20804045	2.384707042	2.577213885	1.45E-06	6.55E-06	0.673916569	Brain_mean	male
TRINITY_DN129608_c0_g1_i2	txnl4a	Chr06	28824843	28824843	5.595462299	1.470975699	1.28E-06	5.85E-06	0.239566368	Brain_mean	male
TRINITY_DN129610_c0_g1_i1	nmt1	Chr06	21329361	21329361	0.901449441	4.019346366	1.63E-11	1.57E-10	0.830119385	Brain_mean	male
TRINITY_DN129612_c2_g2_i7	NA	NA	NA	NA	6.025418317	1.569994434	1.29E-09	9.49E-09	0.264796032	Brain_mean	male
TRINITY_DN129616_c8_g1_i1	NA	NA	NA	NA	3.520450391	2.414465513	6.36E-06	2.55E-05	0.26579449	Brain_mean	male
TRINITY_DN129621_c4_g1_i1	NA	NA	NA	NA	4.989317385	2.779393648	5.47E-20	1.30E-18	0.195118797	Brain_mean	male
TRINITY_DN129624_c0_g1_i1	NA	NA	NA	NA	2.924358608	2.946115549	4.91E-11	4.41E-10	0.350298919	G23_mean	male
TRINITY_DN129631_c6_g13_i1	NA	NA	NA	NA	3.689353846	1.494189506	0.000383559	0.001096995	0.227427577	Brain_mean	male
TRINITY_DN129631_c6_g2_i1	uchl3	Chr02	123347309	123347309	6.805387278	1.602207158	3.49E-12	3.63E-11	0.127907686	Brain_mean	male
TRINITY_DN129633_c3_g2_i1	NA	NA	NA	NA	4.537072292	1.542479067	0.001017369	0.002658309	0.805723045	Testis_mean	male
TRINITY_DN129634_c0_g1_i4	NA	NA	NA	NA	7.923398642	1.105432137	1.32E-05	5.01E-05	0.103669274	G23_mean	male
TRINITY_DN129639_c7_g1_i1	NA	NA	NA	NA	1.599654454	3.333656839	6.58E-06	2.64E-05	0.480023002	Brain_mean	male
TRINITY_DN129640_c0_g1_i1	NA	NA	NA	NA	3.671107915	2.016034537	2.26E-06	9.81E-06	0.555479528	Testis_mean	male
TRINITY_DN129642_c1_g2_i1	NA	NA	NA	NA	2.267324353	1.501123051	0.000550569	0.00152403	0.370240377	Brain_mean	male
TRINITY_DN129643_c0_g1_i2	NA	NA	NA	NA	3.417671471	1.638963433	0.000471138	0.001322164	0.448582291	Testis_mean	male
TRINITY_DN129651_c0_g5_i7	NA	NA	NA	NA	1.561550912	3.026849423	0.002255497	0.005452053	0.363098846	Testis_mean	male
TRINITY_DN129653_c0_g1_i1	NA	NA	NA	NA	1.412455823	2.7440517	6.35E-08	3.57E-07	0.665466756	Brain_mean	male
TRINITY_DN129653_c1_g2_i1	ak1	Chr08	2452531	2452531	1.560402473	1.899059871	0.00049175	0.001375216	0.315195286	G46_M_mean	male
TRINITY_DN129653_c1_g3_i2	NA	NA	NA	NA	1.61356895	1.727489856	0.001210035	0.003112347	0.199540457	Testis_mean	male
TRINITY_DN129655_c0_g1_i1	NA	NA	NA	NA	3.561262406	2.111191216	0.006750984	0.014569405	0.69129801	Testis_mean	male
TRINITY_DN129656_c4_g3_i2	NA	NA	NA	NA	9.161718552	5.805854332	1.22E-56	1.82E-54	0.583648121	Testis_mean	male
TRINITY_DN129656_c5_g3_i1	NA	NA	NA	NA	11.06954846	1.783943164	1.88E-09	1.34E-08	0.066077534	Testis_mean	male
TRINITY_DN129661_c1_g7_i2	LOC100493336	Chr09	46295541	46295541	0.231749283	1.630594586	0.017685318	0.034173943	0.442812661	Brain_mean	male
TRINITY_DN129662_c1_g2_i1	NA	NA	NA	NA	8.07428983	1.876464309	6.09E-07	2.94E-06	0.081004039	G23_mean	male
TRINITY_DN129662_c1_g4_i1	NA	NA	NA	NA	7.536354158	2.315293942	4.08E-07	2.02E-06	0.101865504	Testis_mean	male
TRINITY_DN129667_c3_g1_i1	NA	NA	NA	NA	1.827363954	2.689729797	1.42E-06	6.42E-06	0.470498172	Brain_mean	male
TRINITY_DN129669_c2_g2_i1	NA	NA	NA	NA	1.017452886	2.695567877	3.28E-05	0.000116158	0.372460739	G46_M_mean	male
TRINITY_DN129670_c3_g2_i2	NA	NA	NA	NA	4.887038266	2.971101819	1.05E-19	2.45E-18	0.264195747	G43_F_mean	male
TRINITY_DN129671_c1_g9_i1	NA	NA	NA	NA	3.500149852	1.736796503	0.018534651	0.035625945	0.361296495	Brain_mean	male
TRINITY_DN129673_c1_g4_i5	NA	NA	NA	NA	8.145696149	1.583549843	4.91E-07	2.40E-06	0.308183722	G23_mean	male
TRINITY_DN129675_c0_g1_i1	NA	NA	NA	NA	1.710892777	2.357106023	2.60E-07	1.33E-06	0.477248417	Brain_mean	male
TRINITY_DN129680_c1_g2_i6	NA	NA	NA	NA	5.821867247	1.632350685	2.16E-06	9.43E-06	0.499750528	Testis_mean	male
TRINITY_DN129682_c1_g3_i8	NA	NA	NA	NA	4.296553984	2.280236093	7.54E-10	5.73E-09	0.199132864	Testis_mean	male
TRINITY_DN129684_c6_g1_i2	NA	NA	NA	NA	7.656718658	2.754639263	4.47E-13	5.27E-12	0.445960067	Testis_mean	male
TRINITY_DN129684_c8_g1_i7	NA	NA	NA	NA	3.320250687	3.376535234	3.16E-13	3.80E-12	0.43713372	Testis_mean	male
TRINITY_DN129684_c8_g4_i1	NA	NA	NA	NA	2.049171947	2.149824117	0.00028846	0.000847903	0.662168293	Brain_mean	male
TRINITY_DN129692_c0_g1_i2	LOC100492337-like	Chr10	5330114	5330114	6.279625567	2.790172584	3.79E-16	6.36E-15	0.154722588	Testis_mean	male
TRINITY_DN129692_c1_g1_i2	NA	NA	NA	NA	3.356846259	4.220896293	4.85E-09	3.25E-08	0.487621413	Brain_mean	male
TRINITY_DN129698_c3_g1_i2	NA	NA	NA	NA	3.100031042	3.388577426	0.000910495	0.002403271	0.379958412	G43_M_mean	male
TRINITY_DN129699_c2_g3_i2	NA	NA	NA	NA	1.101593455	1.677610182	0.004525791	0.010177616	0.857582056	Testis_mean	male
TRINITY_DN129699_c2_g6_i1	NA	NA	NA	NA	5.292137136	3.222545824	8.25E-29	3.81E-27	0.248933183	G43_F_mean	male
TRINITY_DN129703_c3_g3_i1	NA	NA	NA	NA	3.192797542	2.474777319	3.23E-10	2.58E-09	0.228128242	G23_mean	male
TRINITY_DN129711_c1_g1_i1	stam2	Chr09	70760777	70760777	1.453736	2.095826551	1.05E-05	4.07E-05	0.243506698	Liver_mean	male
TRINITY_DN129715_c1_g3_i1	NA	NA	NA	NA	1.051243115	1.345768268	0.001894363	0.004656443	0.685750525	Brain_mean	male
TRINITY_DN129720_c0_g1_i2	NA	NA	NA	NA	0.816740446	1.819706928	0.000253327	0.000753865	0.557030822	Brain_mean	male
TRINITY_DN129729_c0_g2_i2	NA	NA	NA	NA	2.601819865	3.1026265	1.91E-07	9.98E-07	0.627159928	G27_mean	male
