"gid"	"gname"	"chr"	"start"	"end"	"logCPM"	"logFC.M46.SR46"	"PV.M46.SR46"	"FDR.M46.SR46"	"Am2_463"	"Am4_461"	"Am5_461"	"Am6_462"	"ratio"
"5790"	"TRINITY_DN121903_c1_g4_i1"	"yif1b"	"Chr08"	56120295	56120295	2.44590371166768	-0.231860804194814	0.633670204216944	0.999996699921271	2.35567941684411	2.34446771184203	2.61320693736889	2.44945851166802	0.963339495925351
"5794"	"TRINITY_DN121909_c0_g2_i1"	"hook1"	"Chr04"	77204793	77204793	2.57677832920907	1.65438162386801	0.00669298441138039	0.519441898527813	2.18853765801601	3.26084837290886	1.22379730438603	2.87662347860944	1.31764479759174
"5808"	"TRINITY_DN121930_c2_g3_i1"	"nlgn4x"	"Chr02"	30006707	30006707	3.31865706421335	0.23078908142737	0.598418639321906	0.999996699921271	3.40505663065656	3.51302650053446	3.14400385791828	3.18204063647021	1.03272789718821
"5813"	"TRINITY_DN121933_c2_g4_i3"	"drp2"	"Chr08"	17114799	17114799	5.66081328500363	0.0565393517959283	0.892997113797498	0.999996699921271	5.53111246742538	5.87186823702962	5.6184014273213	5.59733743890976	1.00521292079752
"5821"	"TRINITY_DN121941_c0_g2_i2"	"siah2"	"Chr05"	114901357	114901357	5.89094263630144	-0.419184112975959	0.313812366913486	0.999996699921271	5.86722883875026	5.78241148537442	6.19280593333398	5.66633187920928	0.957292900780717
"5825"	"TRINITY_DN121944_c1_g4_i7"	"zmym4"	"Chr02"	56393008	56393008	4.44508217254358	-0.0812545986633573	0.841711558885787	0.999996699921271	4.44569560959847	4.61760604406318	4.50530652326304	4.17574241161084	0.988698063026494
"5827"	"TRINITY_DN121948_c0_g1_i1"	"tmem39b"	"Chr02"	82395230	82395230	3.61540084806504	0.0520967353915316	0.902411561853075	0.999996699921271	3.76993898345803	3.47698492879874	3.57602432931164	3.62654377512077	1.00669706519222
"5831"	"TRINITY_DN121956_c0_g1_i6"	"znf507"	"Chr04"	21520780	21520780	2.20827422547978	-0.231938273950674	0.650132929243907	0.999996699921271	1.83309992966715	2.16355638581155	2.37558465988266	2.37812456731745	0.958474925425894
"5841"	"TRINITY_DN121970_c0_g1_i6"	"acbd3"	"Chr05"	4414111	4414111	7.16126391108212	0.100389163095683	0.833723817150841	0.999996699921271	7.25914185091537	7.09401491047649	7.08537226711485	7.19932424133488	1.0091929355876
"5846"	"TRINITY_DN121979_c0_g4_i2"	"eri1"	"Chr01"	79076927	79076927	4.13022209698253	0.210411324097508	0.605309972926897	0.999996699921271	4.22348918152567	4.15577670885309	3.97045942918268	4.16063869839322	1.02745433636054
"5849"	"TRINITY_DN121983_c0_g2_i3"	"fgf9"	"Chr02"	154422899	154422899	4.7774226180785	-0.135033358165608	0.743187314583878	0.999996699921271	4.91898466244741	4.35508707565841	4.87680438181181	4.88895382136123	0.981751619342271
"5852"	"TRINITY_DN121987_c0_g1_i4"	"LOC100497487"	"Chr10"	23068428	23068428	1.01497055393507	-0.17908217829213	0.783701833546286	0.999996699921271	0.594527334729543	1.36675596660918	1.13938384256256	0.795260471040044	0.954055941281215
"5860"	"TRINITY_DN122003_c2_g1_i5"	"atxn1-like"	"Chr06"	48256436	48256436	0.787878768542075	0.104419343823077	0.87261665731208	0.999996699921271	0.652776631088626	0.985755072043845	0.712582783053062	0.763621505590109	1.02015298373457
"5866"	"TRINITY_DN122019_c1_g5_i3"	"gpr87"	"Chr05"	106702898	106702898	0.648177736191577	0.0416930325346457	0.952062521493907	0.999996699921271	1.09228275740418	0.502847541030452	0.622164003115268	0.317331167489646	1.00357777101114
"5868"	"TRINITY_DN122021_c0_g2_i1"	"LOC100489521"	"Chr01"	102150360	102150360	6.86473973972225	1.0507601600755	0.0763303670270677	0.999996699921271	7.39492542096547	7.31618180052527	6.01470830782593	6.20893714966256	1.09907990700326
"5875"	"TRINITY_DN122023_c2_g2_i2"	"phtf2-like"	"Chr03"	68806394	68806394	6.0868273731074	0.0634620188463633	0.887632176764183	0.999996699921271	6.35560882419688	5.82962056909669	6.03893878924597	6.07518034316564	1.00493465731042
"5879"	"TRINITY_DN122029_c0_g1_i1"	"tmtc3"	"Chr03"	45031788	45031788	3.82453171252881	0.396955056170258	0.369784782749602	0.999996699921271	4.20900276196179	3.61189586938384	3.51869919996233	3.86511414918624	1.05246089758067
"5880"	"TRINITY_DN122030_c1_g3_i2"	"hoxc8"	"Chr02"	142911661	142911661	2.78967197505333	-0.137782795244543	0.765052455941807	0.999996699921271	2.84225333420319	2.81048781898256	2.89002100104868	2.60036698576655	0.978783299612099
"5883"	"TRINITY_DN122034_c0_g3_i2"	"pxn"	"Chr01"	143026286	143026286	4.67201124699477	0.227749075379074	0.570767067772644	0.999996699921271	4.54130733888019	4.82894674571387	4.49896855096891	4.78838355072838	1.02703259111259
"5897"	"TRINITY_DN122053_c1_g2_i1"	"hspbp1"	"Chr07"	106179346	106179346	5.74925064581422	-0.230511693730816	0.617774141046945	0.999996699921271	5.68732703229549	5.15114440772135	5.91825718966234	6.07920213054148	0.970870284727418
"5901"	"TRINITY_DN122068_c0_g1_i1"	"mcur1"	"Chr06"	85979194	85979194	0.174087352629793	-0.1984153881507	0.784497087899668	0.999996699921271	0.404181312530233	0.0422382414468185	0.310948504939424	-0.0818056438715993	0.952309493669646
"5906"	"TRINITY_DN122073_c0_g1_i1"	"sorl1"	"Chr07"	88174319	88174319	2.93154547346889	0.261777513328599	0.573429451397991	0.999996699921271	3.13568916195222	3.0065268543109	2.73326155309146	2.82390968901107	1.03995121098822
"5928"	"TRINITY_DN122097_c0_g1_i2"	"ctnnal1"	"Chr06"	61288653	61288653	4.47846977432426	-0.193951877963967	0.61997110597988	0.999996699921271	4.46207743726837	4.4741405806027	4.62072167084132	4.34296021848363	0.976534388106916
"5931"	"TRINITY_DN122100_c0_g1_i3"	"LOC100485936"	"Chr10"	37793960	37793960	3.71189269830753	-0.00151589272178585	0.997227862696541	0.999996699921271	3.3707604460458	3.91437775224508	3.7137530886067	3.788581058915	0.996947123116206
"5935"	"TRINITY_DN122110_c0_g1_i1"	"mif"	"Chr01"	144581816	144581816	5.68725140500654	0.306237543731976	0.475939719249278	0.999996699921271	5.56941952763602	5.70759687302954	5.45229434776228	5.96734167154439	1.03246184353458
"5937"	"TRINITY_DN122116_c1_g1_i2"	"cpe"	"Chr01"	41986099	41986099	2.66531176889226	-0.340699550891287	0.466456358336607	0.999996699921271	2.55210955728366	2.61706234762656	2.90926724783424	2.54560935369702	0.948603573147071
"5938"	"TRINITY_DN122117_c0_g3_i3"	"LOC733841"	"Chr10"	2907670	2907670	3.40227399854437	0.01291929205382	0.975916549049803	0.999996699921271	3.54235142735468	3.26084837290886	3.39217412071658	3.40349200764407	1.00142586747001
"5939"	"TRINITY_DN122118_c0_g1_i1"	"LOC100485974-like"	"Chr10"	34380664	34380664	4.18056973313036	0.689237297939194	0.158288971891407	0.999996699921271	4.09807664630802	4.81457797305853	3.63886551844132	3.88730417648376	1.08600324468017
"5952"	"TRINITY_DN122135_c0_g2_i3"	"Xetrov90018212m"	"Chr07"	50883831	50883831	0.0611563989827654	-0.12568322085972	0.864387918294295	0.999996699921271	0.184848610779158	-0.0599574993822765	0.147678705951153	-0.0254443175025464	0.969926994951057
"5958"	"TRINITY_DN122144_c0_g2_i1"	"jagn1"	"Chr04"	127702283	127702283	3.61741849759989	-0.145759875180471	0.726855648725933	0.999996699921271	3.50330895327098	3.52631329111417	3.72465833833156	3.69942254524316	0.97991839896701
"5963"	"TRINITY_DN122146_c0_g9_i1"	"npb"	"Chr10"	19953484	19953484	3.00823365147078	0.591430612087517	0.22318840394751	0.999996699921271	3.4631804461491	2.96158860166934	2.54921272880904	2.92747889255535	1.09149920651709
"5969"	"TRINITY_DN122154_c0_g1_i1"	"aqp12a"	"Chr05"	126246567	126246567	4.09554044416555	-0.384893074506842	0.347084193986326	0.999996699921271	3.80246705101145	3.83117143189755	4.37293381078632	4.28005799998828	0.949997594720983
"5972"	"TRINITY_DN122157_c0_g1_i2"	"mrpl42"	"Chr03"	46707717	46707717	1.73147839648409	-0.197793148189761	0.722494925974562	0.999996699921271	1.5864516644943	1.9953958390446	1.87301809143472	1.37917415105627	0.960362328066006
"5976"	"TRINITY_DN122161_c0_g2_i1"	"atp9a"	"Chr10"	27059965	27059965	0.0352423252814519	-0.339495857861604	0.688561751287738	0.999996699921271	0.594527334729543	0.0422382414468185	0.271830418505768	-1.25889658620922	0.878143124009024
"5993"	"TRINITY_DN122187_c0_g1_i1"	"tmem187"	"Chr08"	12186013	12186013	4.20945091418851	0.134913900423859	0.74753539661052	0.999996699921271	4.42495322371086	4.29166122268874	4.10730123983942	3.97625574486903	1.01591854638581
"5996"	"TRINITY_DN122190_c1_g1_i1"	"arl6ip6-like"	"Chr09"	70571951	70571951	2.75637306647062	0.349362479968302	0.463707690728799	0.999996699921271	2.90351256957904	2.78123001439142	2.49079021939809	2.82390968901107	1.0561533024039
"6000"	"TRINITY_DN122194_c5_g5_i2"	"gnb1l"	"Chr01"	146232743	146232743	0.7463272012807	-0.920029958314986	0.156801259663858	0.999996699921271	-0.073913060229421	0.823012590642393	1.34182224817592	0.442496951606235	0.81117105099854
"6001"	"TRINITY_DN122195_c2_g1_i1"	"ptgr2"	"Chr08"	85428706	85428706	1.66890634328751	-0.268785404543263	0.647117582809836	0.999996699921271	1.72864542401643	0.985755072043845	1.85988859912869	1.92819618289797	0.94341986413846
"6008"	"TRINITY_DN122200_c2_g4_i2"	"ywhab"	"Chr10"	5528168	5528168	3.02532233586468	-0.154099096210716	0.731872871199742	0.999996699921271	2.77827713658677	3.16782578912609	3.13857779463711	2.97660251163262	0.975829441550765
"6014"	"TRINITY_DN122211_c0_g1_i1"	"egfr"	"Chr06"	65503114	65503114	1.8643005295493	0.435496332017031	0.444151323198259	0.999996699921271	2.1486104974469	2.11747681647888	1.5359238450211	1.55580976927363	1.07787893395949
"6020"	"TRINITY_DN122217_c0_g1_i1"	"enpep"	"Chr01"	58901065	58901065	2.79555772065057	-0.362329407127148	0.451275311177357	0.999996699921271	2.69756164744404	2.30389595474713	3.05463837550868	3.00393997718011	0.942494069172536
"6022"	"TRINITY_DN122220_c0_g1_i3"	"trim63"	"Chr02"	51080256	51080256	2.06713072111968	0.609806887739623	0.291975514215694	0.999996699921271	2.64112807189876	1.74566558226569	1.60049717908919	2.09001134753538	1.10614247139612
"6025"	"TRINITY_DN122222_c0_g3_i5"	"fez2"	"Chr05"	52982416	52982416	2.88896969777087	-0.105307177712181	0.821287921858501	0.999996699921271	3.0623715437158	2.55790843359886	2.96551180785617	2.92747889255535	0.9824547371279
"6033"	"TRINITY_DN122233_c0_g1_i1"	"fbxl3"	"Chr02"	122897129	122897129	2.75444717718458	-0.120610244660437	0.843310039817226	0.999996699921271	3.40505663065656	1.66786986476786	2.84408871505165	2.6269856475886	0.957346686641342
"6034"	"TRINITY_DN122236_c0_g1_i1"	"rrs1"	"Chr06"	104046564	104046564	1.33759718125513	0.897825988478782	0.184146118484875	0.999996699921271	1.97683962743609	1.40562100782568	0.652937562510282	1.05254344816687	1.19134539831706
"6045"	"TRINITY_DN122247_c0_g7_i1"	"p2ry10"	"Chr08"	44313302	44313302	0.484505864517538	0.413831946201325	0.566949172348919	0.999996699921271	0.913230584044068	0.269936128361787	0.19026081266137	0.520288048862459	1.09804207628477
"6052"	"TRINITY_DN122253_c0_g1_i1"	"traf3ip1"	"Chr09"	55587915	55587915	1.72214072875471	0.102773697049556	0.859077806471654	0.999996699921271	2.06527998740785	1.28573645596738	1.6470985173962	1.80926688009679	1.01375254704122
"6054"	"TRINITY_DN122255_c0_g2_i1"	"LOC100495255"	"Chr06"	16749115	16749115	1.03010099490063	-0.252644148267982	0.709361732525701	0.999996699921271	0.103644451427006	1.34692363918005	1.20315244963437	1.10398141009801	0.927704420874696
"6082"	"TRINITY_DN122305_c6_g7_i1"	"prr16"	"Chr01"	161564908	161564908	0.692594266397179	0.0468515238798565	0.949279670802837	0.999996699921271	-0.171621428381782	1.22183884051293	0.652937562510282	0.664315460826466	0.981123503418287
"6084"	"TRINITY_DN122307_c0_g3_i5"	"arl6"	"Chr02"	16603699	16603699	1.62496431234416	-0.0517719987177067	0.925553841125917	0.999996699921271	1.72864542401643	1.53395202107249	1.66230368455271	1.57416479723108	0.990597510893628
"6087"	"TRINITY_DN122311_c0_g1_i1"	"tcp11l1"	"Chr04"	9323597	9323597	1.23579752507256	0.413323920100585	0.500809841051623	0.999996699921271	1.2887590151164	1.53395202107249	0.929192627447784	1.12902860771093	1.08454508120347
"6092"	"TRINITY_DN122320_c0_g1_i4"	"ifi30"	"Chr01"	84909967	84909967	2.51177791013784	-0.193478868337883	0.693673575764389	0.999996699921271	2.48955808796195	2.21916026871921	2.6518081711822	2.64446242837922	0.968198456230121
"6093"	"TRINITY_DN122325_c0_g1_i2"	"psmc2"	"Chr03"	68236426	68236426	2.80892834327198	0.416497697601826	0.377166314744846	0.999996699921271	2.90351256957904	2.95505304013143	2.49079021939809	2.8467375574337	1.06680928333644
"6094"	"TRINITY_DN122326_c0_g1_i2"	"disp2"	"Chr08"	94327706	94327706	3.44465676169034	-0.054624018819504	0.899715521533966	0.999996699921271	3.4631804461491	3.17908609139772	3.48488938434086	3.61772263602044	0.990918470944444
"6099"	"TRINITY_DN122335_c0_g1_i1"	"LOC100489782"	"Chr02"	62569009	62569009	4.57850436334165	0.0090027516610438	0.984222543923351	0.999996699921271	5.04123072407244	4.03702939506648	4.57123372304168	4.4952040065655	0.994321430362789
"6104"	"TRINITY_DN122337_c2_g7_i1"	"dusp13"	"Chr07"	57693581	57693581	7.47632183711795	0.482437923222806	0.346804826295326	0.999996699921271	7.81125943833694	7.29531350541419	7.10045204819247	7.5958499149437	1.0433988557926
"6113"	"TRINITY_DN122349_c0_g1_i2"	"arhgef18-like"	"Chr01"	84157660	84157660	4.05050835543258	-0.158032976517745	0.692413788202588	0.999996699921271	3.83427785888961	4.11238374451474	4.16715205805479	4.06329217039289	0.979070393006166
"6119"	"TRINITY_DN122355_c6_g2_i1"	"arvcf"	"Chr01"	146462404	146462404	4.19117636852491	-0.43272697488429	0.289511504333291	0.999996699921271	4.16964572478391	4.22259996844064	4.50108430364742	3.78069962416266	0.94566933444885
"6128"	"TRINITY_DN122367_c0_g1_i3"	"vti1b"	"Chr02"	48996884	48996884	5.83454351164918	-0.007617859359767	0.985627902649708	0.999996699921271	5.91561191869272	5.70175302030342	5.84018354900159	5.87226929279746	0.998915315835193
"6131"	"TRINITY_DN122372_c0_g2_i1"	"LOC100496797-like"	"Chr10"	35410564	35410564	1.35622192552921	-0.325798568081956	0.589243549808826	0.999996699921271	1.2887590151164	1.55138750749818	1.58462277760707	0.886215775713954	0.934703507240415
"6132"	"TRINITY_DN122373_c0_g1_i2"	"kcnv2"	"Chr01"	115809921	115809921	0.406091354158264	0.0271905503083742	0.968756481148387	0.999996699921271	0.261724612501391	0.466547540713249	0.386139615651349	0.48191675533414	1.00426422457672
"6150"	"TRINITY_DN122396_c0_g1_i1"	"tysnd1"	"Chr07"	34702872	34702872	2.18211495856761	-0.00830698303144506	0.987131572195771	0.999996699921271	1.88262156721687	2.34446771184203	2.18870417215918	2.25837573634986	0.995404242706434
"6152"	"TRINITY_DN122404_c0_g1_i1"	"myzap"	"Chr03"	89838708	89838708	0.0372553022791279	0.403517743135859	0.611146278291818	0.999996699921271	0.017595551159279	0.538256560556805	-0.247575430867129	-0.332244486070727	1.09437396698975
"6153"	"TRINITY_DN122406_c2_g1_i2"	"rtn3"	"Chr04"	41097297	41097297	2.1605768424767	-0.151725014405717	0.786554800311177	0.999996699921271	2.08656817937585	2.55790843359886	2.27035939184421	1.53721820249069	0.964627903806459
"6154"	"TRINITY_DN122408_c1_g1_i1"	"hltf"	"Chr05"	118820149	118820149	0.330476539279293	1.03980205153121	0.188411517865649	0.999996699921271	0.96011966415274	0.391086946527921	-0.429036350695506	0.180265639375179	1.2907243772741
"6180"	"TRINITY_DN122440_c5_g1_i1"	"med17"	"Chr02"	162546524	162546524	5.56042096276744	0.403924759593142	0.373151213672551	0.999996699921271	5.3045962964147	5.94953992401889	5.24826098442099	5.62621228193175	1.04248770533593
"6184"	"TRINITY_DN122445_c11_g2_i1"	"podxl2"	"Chr04"	124297957	124297957	0.757269325632345	0.231280110918486	0.731198974844049	0.999996699921271	0.762661645306556	0.502847541030452	0.590719691514623	1.10398141009801	1.04683374634995
"6187"	"TRINITY_DN122446_c0_g2_i3"	"mboat1"	"Chr06"	47429669	47429669	1.43961307447923	-0.0879677696311719	0.880883882909011	0.999996699921271	1.21334812978837	1.68376823421084	1.50251997354025	1.2931466340861	0.979515616073553
"6191"	"TRINITY_DN122453_c4_g2_i1"	"kcnip4-like"	"Chr01"	22625130	22625130	2.85495837549237	-0.202372552849023	0.654694344134097	0.999996699921271	2.85471504311748	2.89486117952592	3.00182578821553	2.64446242837922	0.969409121730898
"6194"	"TRINITY_DN122454_c0_g2_i2"	"LOC100491633"	"Chr06"	134400774	134400774	3.56781762406993	-0.333224768273081	0.46268661153758	0.999996699921271	3.04072058372006	3.84890625970945	3.80905407063251	3.41880735798238	0.950077512837942
"6197"	"TRINITY_DN122458_c2_g6_i2"	"rce1"	"Chr04"	36438615	36438615	10.1250633037706	-0.293368406911795	0.535498094103061	0.999996699921271	10.1292593258419	9.87681008588524	10.339289515087	10.1179597755456	0.978718113925365
"6206"	"TRINITY_DN122469_c0_g1_i1"	"baiap2l1"	"Chr09"	20190435	20190435	3.46877894497565	0.200072611620979	0.641670714770207	0.999996699921271	3.61007095740997	3.39244041994017	3.31730514930073	3.54048197246418	1.02823523397714
"6207"	"TRINITY_DN122471_c0_g2_i1"	"slc39a1-like.1"	"Chr03"	97498254	97498254	3.73208282321921	0.102753304345858	0.815931418037534	0.999996699921271	4.07695884004442	3.53510365293257	3.65415724512493	3.60438896635909	1.01157367230901
"6221"	"TRINITY_DN122483_c0_g2_i1"	"slc22a31-like"	"Chr04"	61145578	61145578	0.815487291022356	0.306665139831288	0.658535291315866	0.999996699921271	0.470459911960734	0.703331834464289	0.590719691514623	1.31513919248702	1.05619846007845
"6222"	"TRINITY_DN122484_c0_g1_i4"	"arsd"	"Chr02"	38727829	38727829	2.69837186071517	0.297281102960633	0.566993664315	0.999996699921271	2.71133174161906	3.13928441842067	2.47365411939445	2.3357206429141	1.0415894291136
"6225"	"TRINITY_DN122487_c1_g1_i6"	"Xetrov90007040m"	"Chr03"	311168	311168	3.11526041766121	0.54982398933377	0.271299439291818	0.999996699921271	3.66062834943633	3.10427231128808	2.68940343502123	2.82390968901107	1.07982006454562
"6226"	"TRINITY_DN122487_c2_g1_i1"	"mapkbp1"	"Chr08"	84732883	84732883	4.53578167200932	-0.130066488066568	0.748233978848865	0.999996699921271	4.18945844778734	4.69612620831751	4.63235038854828	4.57027573456102	0.98226667400305
"6228"	"TRINITY_DN122490_c3_g2_i5"	"tmigd1"	"Chr02"	24499929	24499929	4.11128028166919	0.780941909533262	0.453690300237218	0.999996699921271	4.2892331936424	5.20859384325787	3.49341640973263	0.442496951606235	0.974843188191529
"6230"	"TRINITY_DN122493_c0_g1_i1"	"pde4d-like"	"Chr01"	177335252	177335252	1.08985352330865	1.41642412017199	0.128500046499973	0.999996699921271	2.37310959501516	0.538256560556805	0.0118284471772275	0.227415951567645	1.28166661922616
"6235"	"TRINITY_DN122500_c0_g1_i2"	"Xetrov90013833m"	"Chr05"	60376339	60376339	3.75246005362375	0.0908182344128241	0.863265405773868	0.999996699921271	4.18453071711069	2.85329121393387	3.68426287327325	3.97625574486903	0.998243200702215
"6250"	"TRINITY_DN122523_c0_g1_i1"	"Xetrov90004847m"	"Chr02"	53354833	53354833	2.59319464201974	0.183377270310884	0.724003396667102	0.999996699921271	2.1486104974469	2.73619977328635	2.45631203039183	2.9059028464175	1.02298377849913
"6258"	"TRINITY_DN122533_c0_g1_i1"	"ccnk"	"Chr08"	69621088	69621088	2.56418134783212	0.698369345092409	0.171420006600744	0.999996699921271	2.62666788116861	2.61706234762656	2.02190355365993	2.86920983802488	1.12008725713579
"6265"	"TRINITY_DN122545_c0_g1_i4"	"nsmaf"	"Chr06"	101523665	101523665	1.72567097787148	0.169743535587517	0.762891822712575	0.999996699921271	1.85807322163692	1.46202329363928	1.60049717908919	1.9423959810284	1.02920753766207
"6277"	"TRINITY_DN122566_c2_g1_i1"	"derl2"	"Chr02"	98093103	98093103	1.71457803234547	-0.62864427813991	0.240555656900359	0.999996699921271	1.49388204676031	1.74566558226569	2.14607540947259	1.31513919248702	0.89187715227244
"6285"	"TRINITY_DN122573_c0_g1_i1"	"npff"	"Chr02"	143948394	143948394	3.47060854317715	-0.0426098840358443	0.923613706522525	0.999996699921271	3.53462700122775	3.10427231128808	3.50189333226771	3.68260285127051	0.991428732707473
"6287"	"TRINITY_DN122574_c0_g1_i1"	"dhrs7"	"Chr08"	82431172	82431172	6.64471405527075	0.166310454107696	0.718831511352366	0.999996699921271	6.71213288787697	6.56560485283172	6.51834441802888	6.76844571820181	1.01608368365387
"6293"	"TRINITY_DN122578_c0_g1_i3"	"shc3"	"Chr01"	125590501	125590501	0.578552977194093	0.372522694531525	0.603003136763599	0.999996699921271	0.814617030735873	0.933521105213043	0.310948504939424	0.131522140390968	1.07946420967
"6300"	"TRINITY_DN122586_c1_g1_i5"	"LOC100490260"	"Chr08"	6359371	6359371	2.15431125876286	-0.491293149986493	0.336507145697844	0.999996699921271	1.75547657246024	2.28317403360719	2.49928254146854	1.9423959810284	0.917921958684637
"6305"	"TRINITY_DN122591_c2_g4_i1"	"nsun6"	"Chr06"	19826775	19826775	4.33933233218849	-0.173165296105157	0.661366427508	0.999996699921271	4.17462447237818	4.30457142951157	4.4668541831372	4.39293090912263	0.978327432037114
"6322"	"TRINITY_DN122613_c2_g2_i1"	"scaper"	"Chr03"	80708276	80708276	4.66599274471547	-0.192118661328518	0.624194222111756	0.999996699921271	4.78866406782258	4.51470347532305	4.80669063196426	4.52852954983629	0.976845526375451
"6328"	"TRINITY_DN122624_c0_g1_i1"	"nrde2"	"Chr08"	65684380	65684380	3.15195846349323	-0.335028576589873	0.488740862875205	0.999996699921271	3.43025410949954	2.41283349732809	3.39217412071658	3.17002314095025	0.945014874038993
"6347"	"TRINITY_DN122639_c0_g1_i4"	"LOC100496795-like"	"Chr07"	104636220	104636220	2.8404239499648	0.03168176116319	0.947029954302235	0.999996699921271	2.77827713658677	3.13350775594563	2.81716981874063	2.57324794555278	1.00172501748066
"6349"	"TRINITY_DN122644_c2_g2_i1"	"clcn6-like"	"Chr07"	54133556	54133556	4.09368186835421	-0.0380429293905441	0.929012930889068	0.999996699921271	4.4415709217703	3.86990422709653	4.12112336768333	3.86883626981175	0.992158719259723
"6355"	"TRINITY_DN122649_c5_g2_i5"	"LOC100488795-like"	"Chr08"	8617034	8617034	4.09024476580516	-0.0335170065748422	0.934605828627136	0.999996699921271	3.87766654640041	4.04320472018527	4.11561039753596	4.29119639640302	0.994223339765218
"6360"	"TRINITY_DN122654_c6_g1_i3"	"LOC100498263"	"Chr08"	19459739	19459739	2.63600188116768	-0.212333236485152	0.660081046231251	0.999996699921271	2.56733266379843	2.33443123601914	2.78973908387951	2.8007147983684	0.96554564065296
"6364"	"TRINITY_DN122657_c2_g1_i4"	"rcvrn.2"	"Chr07"	98241266	98241266	0.0448120777205545	0.948851533936324	0.228517967515649	0.999996699921271	0.334710582069217	0.227181110642608	-0.636650167143991	0.131522140390968	1.28696103194175
"6365"	"TRINITY_DN122657_c3_g1_i1"	"cenpm"	"Chr04"	105778900	105778900	6.8875640991354	0.216872965205034	0.651858454506002	0.999996699921271	6.8677892191713	6.84284760054957	6.72208513829037	7.09235504210727	1.02044203163414
"6379"	"TRINITY_DN122676_c4_g8_i4"	"osgin2"	"Chr06"	111290869	111290869	4.04286825074249	-0.257167100630257	0.51900087121227	0.999996699921271	4.12404649561546	3.94438318399149	4.22973100253709	3.84257747944829	0.967125387127173
"6382"	"TRINITY_DN122677_c3_g3_i2"	"sowaha"	"Chr03"	28493685	28493685	1.51347985285759	0.361532621402312	0.537588003126778	0.999996699921271	1.42869527579874	1.60246424710245	1.24415089591285	1.72962817724429	1.06988539624006
"6385"	"TRINITY_DN122678_c0_g1_i1"	"sfxn2"	"Chr07"	20774054	20774054	2.68993288012191	0.208513674625059	0.676152694120426	0.999996699921271	3.04072058372006	2.46895991470506	2.53276059196323	2.66173002727179	1.03084584479592
"6392"	"TRINITY_DN122691_c0_g1_i1"	"LOC100145131"	"Chr09"	9072501	9072501	2.71742152631981	-0.0801837806797296	0.86737145510555	0.999996699921271	2.82968304498382	2.4032630767887	2.77582562120492	2.82390968901107	0.985985165815089
"6393"	"TRINITY_DN122693_c0_g1_i1"	"Xetrov90001099m"	"Chr01"	59453619	59453619	3.10984476560755	-0.0691872256186253	0.878000658569877	0.999996699921271	3.3087074721699	3.11016698762275	3.16016066538854	2.82390968901107	0.988383802002659
"6399"	"TRINITY_DN122703_c0_g1_i3"	"ets2"	"Chr02"	7880019	7880019	3.18766171016342	0.0378791061138887	0.930611576023989	0.999996699921271	2.98512750072382	3.27665913256439	3.16016066538854	3.30252609617806	1.00409677414874
"6400"	"TRINITY_DN122705_c1_g1_i1"	"sgk1"	"Chr05"	35035159	35035159	3.99407856299955	-0.360731725746697	0.413928069428427	0.999996699921271	3.33562906734337	4.03393179179325	4.25502510448986	4.17574241161084	0.948635150658177
"6413"	"TRINITY_DN122720_c0_g1_i1"	"LOC101731851"	"Chr10"	24679645	24679645	1.3736835611131	1.01897778633125	0.134741450693838	0.999996699921271	2.04367295950014	1.08487043485972	0.590719691514623	1.46035926753081	1.22084663184188
"6417"	"TRINITY_DN122725_c0_g1_i3"	"iqcg"	"Chr05"	110532259	110532259	3.80768362793198	0.216651673702772	0.6233201488635	0.999996699921271	4.17958609736359	3.61604457857044	3.64270367225578	3.72429003147585	1.02701063258906
"6423"	"TRINITY_DN122736_c0_g2_i2"	"LOC100491270-like"	"Chr04"	92983703	92983703	2.35223748772251	-0.154813073174493	0.756877237661825	0.999996699921271	2.08656817937585	2.34446771184203	2.46500913256921	2.46920817033368	0.973076188794794
"6425"	"TRINITY_DN122740_c1_g1_i1"	"katna1"	"Chr05"	61731653	61731653	0.251279931897608	0.542053075568377	0.472969118500132	0.999996699921271	0.261724612501391	0.572817291617679	-0.138156558565863	0.227415951567645	1.13971175690959
"6430"	"TRINITY_DN122744_c1_g2_i4"	"faxdc2"	"Chr03"	9456018	9456018	0.190377895922776	3.01088604367741	0.00204647168482091	0.216459713903336	-0.073913060229421	0.73419559662709	-2.02919067270309	0.763621505590109	2.53465615364295
"6432"	"TRINITY_DN122746_c3_g1_i3"	"sp5l"	"Chr02"	137812167	137812167	6.49211256189553	-0.448912414610429	0.312005152494492	0.999996699921271	6.22251244927339	6.54779854476435	6.81473013874407	6.30753766702481	0.956522386904257
"6434"	"TRINITY_DN122749_c0_g1_i3"	"igsf10"	"Chr05"	106577328	106577328	3.8301531018966	0.159611370749736	0.701017534989516	0.999996699921271	3.72313124282985	3.92444906204662	3.71009960985968	3.94486127719131	1.02089967526222
"6449"	"TRINITY_DN122766_c0_g1_i1"	"mettl1"	"Chr02"	138695608	138695608	0.621859240098593	1.09143598033382	0.148008300636401	0.999996699921271	1.2887590151164	0.639549947644782	-0.19182890606812	0.48191675533414	1.28690424109391
"6451"	"TRINITY_DN122766_c0_g3_i1"	"LOC100135405"	"Chr01"	146451221	146451221	0.977344261116105	0.61120811287718	0.371437479268076	0.999996699921271	1.52540317751276	0.823012590642393	0.525697196959408	0.915303057317907	1.13429384341914
