gid	gname	chr	start	end	logFC.XYbrain.XXrain	bias	tau	tissue
TRINITY_DN121783_c1_g5_i2	NA	NA	NA	NA	0.011877042	unbias	0.325704898	Brain_mean
TRINITY_DN121784_c0_g5_i1	NA	NA	NA	NA	0.015687097	unbias	0.77980149	Brain_mean
TRINITY_DN121785_c0_g1_i1	NA	NA	NA	NA	-0.398382679	unbias	0.323551755	G43_F_mean
TRINITY_DN121785_c0_g2_i1	NA	NA	NA	NA	0.174305019	unbias	0.552776802	Ovary_mean
TRINITY_DN121787_c0_g1_i1	NA	NA	NA	NA	0.092927313	unbias	0.613526658	Ovary_mean
TRINITY_DN121789_c0_g1_i2	kcnj9	Chr07	114561161	114561161	0.051239533	unbias	0.248212741	G23_mean
TRINITY_DN121790_c0_g1_i3	LOC100488020	scaffold_124	580805	580805	0.060072288	unbias	0.263834927	G46_M_mean
TRINITY_DN121790_c0_g6_i1	NA	NA	NA	NA	0.092993568	unbias	0.349344981	G46_M_mean
TRINITY_DN121791_c0_g1_i1	NA	NA	NA	NA	-0.222759835	unbias	0.617231206	Brain_mean
TRINITY_DN121793_c0_g1_i2	NA	NA	NA	NA	-0.876568475	unbias	0.862041111	Brain_mean
TRINITY_DN121794_c0_g1_i2	NA	NA	NA	NA	-0.189106922	unbias	0.568075486	G43_M_mean
TRINITY_DN121795_c0_g2_i1	NA	NA	NA	NA	0.785990198	unbias	0.375613795	G27_mean
TRINITY_DN121796_c1_g1_i1	NA	NA	NA	NA	0.027546294	unbias	0.282597368	Ovary_mean
TRINITY_DN121796_c1_g2_i1	tmem259	Chr01	81416115	81416115	0.140731898	unbias	0.330018069	Ovary_mean
TRINITY_DN121797_c0_g1_i2	NA	NA	NA	NA	0.193852377	unbias	0.682261499	G46_M_mean
TRINITY_DN121799_c0_g1_i2	NA	NA	NA	NA	-0.183582421	unbias	0.88352743	Brain_mean
TRINITY_DN121800_c0_g1_i2	ndnl2	Chr08	8610298	8610298	0.637798735	unbias	0.371100299	Brain_mean
TRINITY_DN121801_c0_g1_i2	NA	NA	NA	NA	0.322110246	unbias	0.241470856	G43_M_mean
TRINITY_DN121802_c5_g4_i3	NA	NA	NA	NA	-0.024294171	unbias	0.228392214	Brain_mean
TRINITY_DN121803_c0_g1_i2	ttc38	scaffold_214	78008	78008	-0.242486281	unbias	0.846179648	Brain_mean
TRINITY_DN121803_c0_g2_i1	NA	NA	NA	NA	0.031757996	unbias	0.854549095	Brain_mean
TRINITY_DN121804_c0_g1_i2	NA	NA	NA	NA	-0.052956287	unbias	0.577247973	Brain_mean
TRINITY_DN121805_c0_g1_i2	NA	NA	NA	NA	0.193373229	unbias	0.318687582	Ovary_mean
TRINITY_DN121806_c0_g1_i1	wipf2-like	scaffold_39	510438	510438	-0.100010972	unbias	0.256524085	G43_M_mean
TRINITY_DN121812_c0_g1_i2	mrpl39	Chr02	14525117	14525117	0.072122411	unbias	0.156908546	G43_M_mean
TRINITY_DN121812_c0_g2_i2	NA	NA	NA	NA	0.284617459	unbias	0.162678949	G43_M_mean
TRINITY_DN121813_c0_g2_i2	poll	Chr07	22466910	22466910	-0.20584715	unbias	0.415955712	Brain_mean
TRINITY_DN121814_c0_g1_i1	NA	NA	NA	NA	-0.276493161	unbias	0.679626259	Brain_mean
TRINITY_DN121815_c3_g1_i1	NA	NA	NA	NA	-0.619527335	unbias	0.575225633	Brain_mean
TRINITY_DN121815_c5_g2_i6	NA	NA	NA	NA	-0.23168951	unbias	0.359137396	Ovary_mean
TRINITY_DN121816_c0_g1_i2	NA	NA	NA	NA	-0.088772336	unbias	0.326797712	Brain_mean
TRINITY_DN121816_c1_g1_i1	NA	NA	NA	NA	0.251000419	unbias	0.735498112	Brain_mean
TRINITY_DN121816_c1_g3_i1	tpmt	Chr06	49004691	49004691	-0.088302979	unbias	0.918747938	Brain_mean
TRINITY_DN121816_c2_g2_i3	uvssa	Chr01	13985998	13985998	-0.104890468	unbias	0.263375776	Brain_mean
TRINITY_DN121817_c0_g1_i2	NA	NA	NA	NA	0.024723152	unbias	0.421624998	G23_mean
TRINITY_DN121818_c2_g2_i4	NA	NA	NA	NA	0.014749337	unbias	0.43433145	G31_mean
TRINITY_DN121818_c2_g3_i1	NA	NA	NA	NA	-0.180598795	unbias	0.894932044	Brain_mean
TRINITY_DN121818_c3_g1_i1	NA	NA	NA	NA	-0.740747353	unbias	0.610627493	G43_M_mean
TRINITY_DN121819_c0_g1_i1	NA	NA	NA	NA	0.196718273	unbias	0.176510154	Testis_mean
TRINITY_DN121820_c0_g1_i2	pcnxl4	Chr08	82445145	82445145	-0.196752907	unbias	0.573146234	Ovary_mean
TRINITY_DN121821_c2_g2_i4	entpd2	scaffold_1427	2327	2327	0.582681933	unbias	0.311499305	G27_mean
TRINITY_DN121821_c2_g3_i1	NA	NA	NA	NA	0.186511943	unbias	0.374223253	G23_mean
TRINITY_DN121821_c2_g4_i2	NA	NA	NA	NA	-0.43320372	unbias	0.379659252	Liver_mean
TRINITY_DN121823_c0_g1_i2	NA	NA	NA	NA	-0.317724965	unbias	0.591276153	Ovary_mean
TRINITY_DN121824_c0_g1_i3	tcf25	Chr04	63579990	63579990	-0.072988598	unbias	0.343216474	G23_mean
TRINITY_DN121826_c1_g2_i4	NA	NA	NA	NA	-0.08890773	unbias	0.144840616	G43_M_mean
TRINITY_DN121826_c2_g12_i1	NA	NA	NA	NA	0.119079736	unbias	0.491656459	G46_M_mean
TRINITY_DN121826_c2_g14_i2	NA	NA	NA	NA	0.172535943	unbias	0.20535487	Brain_mean
TRINITY_DN121826_c2_g4_i1	plek	Chr05	31001071	31001071	-0.12387948	unbias	0.424463195	G46_M_mean
TRINITY_DN121827_c0_g1_i1	NA	NA	NA	NA	-0.196939482	unbias	0.706693071	Testis_mean
TRINITY_DN121828_c1_g1_i1	NA	NA	NA	NA	-0.110316783	unbias	0.271839799	G43_F_mean
TRINITY_DN121829_c0_g3_i3	NA	NA	NA	NA	0.106858365	unbias	0.274665471	Brain_mean
TRINITY_DN121830_c0_g1_i1	NA	NA	NA	NA	-0.179511059	unbias	0.43152606	Ovary_mean
TRINITY_DN121831_c0_g1_i1	NA	NA	NA	NA	0.048867692	unbias	0.545013192	Liver_mean
TRINITY_DN121835_c0_g1_i2	NA	NA	NA	NA	-0.162003135	unbias	0.421504915	Testis_mean
TRINITY_DN121837_c1_g2_i1	NA	NA	NA	NA	0.542429736	unbias	0.402404714	G43_M_mean
TRINITY_DN121839_c0_g1_i1	NA	NA	NA	NA	-0.029970349	unbias	0.535034548	G46_M_mean
TRINITY_DN121839_c0_g3_i3	NA	NA	NA	NA	0.271564861	unbias	0.565266047	G46_M_mean
TRINITY_DN121841_c0_g2_i2	NA	NA	NA	NA	0.056805271	unbias	0.349466918	Testis_mean
TRINITY_DN121842_c0_g1_i5	NA	NA	NA	NA	0.118801688	unbias	0.393277159	Brain_mean
TRINITY_DN121843_c0_g1_i2	mycn	Chr05	136942812	136942812	-0.168768026	unbias	0.325666511	G43_F_mean
TRINITY_DN121844_c0_g2_i1	NA	NA	NA	NA	-0.024815792	unbias	0.338900878	Ovary_mean
TRINITY_DN121845_c0_g1_i1	ywhae	Chr02	39506581	39506581	-0.195217333	unbias	0.74808132	Brain_mean
TRINITY_DN121846_c0_g2_i2	NA	NA	NA	NA	-0.151907969	unbias	0.49606492	Brain_mean
TRINITY_DN121847_c0_g1_i2	NA	NA	NA	NA	0.732843273	unbias	0.298180475	Liver_mean
TRINITY_DN121849_c0_g1_i5	LOC100145581	Chr01	134198372	134198372	-0.442765801	unbias	0.419438813	Testis_mean
TRINITY_DN121851_c0_g1_i1	NA	NA	NA	NA	-0.069551873	unbias	0.275717322	Brain_mean
TRINITY_DN121855_c0_g1_i2	NA	NA	NA	NA	-0.036305941	unbias	0.377855867	Ovary_mean
TRINITY_DN121856_c0_g1_i1	NA	NA	NA	NA	-0.117819829	unbias	0.433764122	Ovary_mean
TRINITY_DN121858_c0_g1_i1	NA	NA	NA	NA	-0.881916376	unbias	0.862713756	Brain_mean
TRINITY_DN121858_c0_g2_i2	NA	NA	NA	NA	-0.192152629	unbias	0.66537485	Brain_mean
TRINITY_DN121862_c1_g2_i3	NA	NA	NA	NA	0.218828876	unbias	0.505887319	Ovary_mean
TRINITY_DN121865_c0_g1_i1	NA	NA	NA	NA	0.158711191	unbias	0.596480877	Liver_mean
TRINITY_DN121866_c0_g1_i1	NA	NA	NA	NA	-0.34206016	unbias	0.603883899	Ovary_mean
TRINITY_DN121870_c0_g1_i1	fbxo18-like	Chr03	74808739	74808739	0.338350843	unbias	0.310334368	Ovary_mean
TRINITY_DN121872_c1_g2_i3	NA	NA	NA	NA	0.054006117	unbias	0.674173894	Brain_mean
TRINITY_DN121873_c0_g1_i4	NA	NA	NA	NA	-0.025839549	unbias	0.249389131	Ovary_mean
TRINITY_DN121874_c0_g1_i1	NA	NA	NA	NA	0.328608383	unbias	0.325714305	Brain_mean
TRINITY_DN121875_c0_g1_i1	NA	NA	NA	NA	-0.190278406	unbias	0.456987127	Ovary_mean
TRINITY_DN121876_c0_g1_i1	NA	NA	NA	NA	-0.291742507	unbias	0.71864648	Brain_mean
TRINITY_DN121879_c1_g1_i5	naa30-like	Chr08	83577765	83577765	0.365151675	unbias	0.264895391	Ovary_mean
TRINITY_DN121880_c0_g4_i1	NA	NA	NA	NA	0.243856579	unbias	0.121545027	G46_F_mean
TRINITY_DN121881_c0_g1_i1	NA	NA	NA	NA	-0.201295468	unbias	0.379714174	Ovary_mean
TRINITY_DN121883_c0_g1_i1	NA	NA	NA	NA	-0.255376543	unbias	0.410614156	Testis_mean
TRINITY_DN121884_c0_g1_i1	NA	NA	NA	NA	0.101727285	unbias	0.92666435	Brain_mean
TRINITY_DN121884_c0_g2_i1	NA	NA	NA	NA	-0.194230431	unbias	0.861714384	Brain_mean
TRINITY_DN121884_c1_g2_i2	NA	NA	NA	NA	0.049288605	unbias	0.38027704	Brain_mean
TRINITY_DN121887_c2_g1_i1	snip1	Chr02	81411244	81411244	-0.129563878	unbias	0.270940047	Brain_mean
TRINITY_DN121888_c0_g2_i1	NA	NA	NA	NA	-0.17138896	unbias	0.511359896	Ovary_mean
TRINITY_DN121889_c0_g2_i1	NA	NA	NA	NA	0.298404565	unbias	0.626073867	Ovary_mean
TRINITY_DN121893_c0_g1_i6	NA	NA	NA	NA	0.051400277	unbias	0.245966136	Ovary_mean
TRINITY_DN121893_c1_g1_i1	lclat1	Chr05	3060827	3060827	-0.044887603	unbias	0.382543009	Ovary_mean
TRINITY_DN121895_c0_g2_i1	NA	NA	NA	NA	0.331587746	unbias	0.768794222	Testis_mean
TRINITY_DN121897_c0_g2_i1	NA	NA	NA	NA	-0.061341208	unbias	0.30024756	Brain_mean
TRINITY_DN121898_c0_g1_i1	NA	NA	NA	NA	-0.040920902	unbias	0.303252697	Testis_mean
TRINITY_DN121898_c1_g1_i1	NA	NA	NA	NA	0.444100326	unbias	0.679858448	Testis_mean
TRINITY_DN121900_c0_g1_i2	ddx39a	Chr03	124267947	124267947	0.127091988	unbias	0.462105526	Testis_mean
TRINITY_DN121901_c0_g1_i3	NA	NA	NA	NA	-0.013732983	unbias	0.536310592	Ovary_mean
TRINITY_DN121902_c0_g1_i2	tbc1d32	Chr05	49008599	49008599	-0.134391154	unbias	0.300358775	G27_mean
TRINITY_DN121903_c1_g10_i1	mospd3	scaffold_313	110458	110458	0.147581576	unbias	0.342707981	Ovary_mean
TRINITY_DN121903_c1_g4_i1	NA	NA	NA	NA	0.205812035	unbias	0.241855261	G46_F_mean
TRINITY_DN121904_c1_g2_i5	NA	NA	NA	NA	0.04169935	unbias	0.12821276	G43_M_mean
TRINITY_DN121907_c0_g1_i2	NA	NA	NA	NA	-0.006539532	unbias	0.767861448	Brain_mean
TRINITY_DN121907_c0_g3_i1	NA	NA	NA	NA	-0.310154522	unbias	0.583871114	Brain_mean
TRINITY_DN121908_c1_g2_i2	NA	NA	NA	NA	-0.059735182	unbias	0.182463455	G46_M_mean
TRINITY_DN121909_c0_g2_i1	NA	NA	NA	NA	-0.104022331	unbias	0.512827566	G31_mean
TRINITY_DN121909_c0_g4_i1	scnm1	Chr08	114695436	114695436	-0.273147016	unbias	0.443700528	G46_M_mean
TRINITY_DN121912_c1_g2_i1	NA	NA	NA	NA	0.00442688	unbias	0.359321351	Ovary_mean
TRINITY_DN121912_c2_g1_i2	NA	NA	NA	NA	-0.079155865	unbias	0.414021687	G43_M_mean
TRINITY_DN121913_c1_g1_i1	NA	NA	NA	NA	-0.063506438	unbias	0.12702075	Ovary_mean
TRINITY_DN121916_c2_g4_i8	zbtb21	Chr02	5614317	5614317	0.375284677	unbias	0.737964701	G27_mean
TRINITY_DN121916_c2_g5_i1	NA	NA	NA	NA	0.154537721	unbias	0.68683363	Ovary_mean
TRINITY_DN121918_c0_g1_i1	NA	NA	NA	NA	-0.066227173	unbias	0.58059648	Ovary_mean
TRINITY_DN121919_c8_g3_i5	znf593	Chr02	51154177	51154177	0.146794266	unbias	0.386312192	Ovary_mean
TRINITY_DN121919_c9_g3_i2	NA	NA	NA	NA	0.885952537	unbias	0.395334122	G43_M_mean
TRINITY_DN121921_c1_g2_i1	edar	Chr02	105608691	105608691	-0.244532559	unbias	0.512351204	G23_mean
TRINITY_DN121922_c0_g1_i8	NA	NA	NA	NA	0.173220704	unbias	0.357376406	G43_M_mean
TRINITY_DN121924_c0_g2_i2	acadm	Chr04	70823063	70823063	0.398677607	unbias	0.549883113	Testis_mean
TRINITY_DN121925_c0_g1_i1	ca3	Chr06	110349520	110349520	-0.10378489	unbias	0.208991068	Brain_mean
TRINITY_DN121927_c0_g2_i19	NA	NA	NA	NA	-0.216386986	unbias	0.316423316	Brain_mean
TRINITY_DN121929_c0_g1_i1	NA	NA	NA	NA	-0.34058916	unbias	0.506168016	Brain_mean
TRINITY_DN121930_c2_g3_i1	NA	NA	NA	NA	0.16362384	unbias	0.330387517	G27_mean
TRINITY_DN121930_c2_g6_i2	NA	NA	NA	NA	0.346875044	unbias	0.273402599	G43_M_mean
TRINITY_DN121931_c0_g1_i1	NA	NA	NA	NA	-0.046186342	unbias	0.656780336	Ovary_mean
TRINITY_DN121932_c0_g1_i1	NA	NA	NA	NA	0.263994713	unbias	0.207502947	Testis_mean
TRINITY_DN121933_c2_g2_i1	NA	NA	NA	NA	-0.155141778	unbias	0.482682928	Brain_mean
TRINITY_DN121933_c2_g4_i3	NA	NA	NA	NA	0.038108353	unbias	0.203491096	Brain_mean
TRINITY_DN121933_c2_g6_i1	NA	NA	NA	NA	-1.150055154	unbias	0.512462926	G43_M_mean
TRINITY_DN121933_c2_g7_i1	NA	NA	NA	NA	0.446624329	unbias	0.32905144	G43_F_mean
TRINITY_DN121933_c2_g8_i2	sirt3.2	Chr03	12609991	12609991	-0.075951143	unbias	0.749959708	Brain_mean
TRINITY_DN121933_c2_g9_i1	NA	NA	NA	NA	-0.235527342	unbias	0.754512702	Brain_mean
TRINITY_DN121935_c3_g1_i3	NA	NA	NA	NA	0.010575407	unbias	0.453676267	Ovary_mean
TRINITY_DN121938_c0_g2_i1	NA	NA	NA	NA	-0.104361089	unbias	0.515523944	Ovary_mean
TRINITY_DN121939_c0_g1_i1	NA	NA	NA	NA	-0.141009877	unbias	0.287067297	Testis_mean
TRINITY_DN121941_c0_g10_i1	NA	NA	NA	NA	0.421811458	unbias	0.279067124	G46_M_mean
TRINITY_DN121941_c0_g2_i2	lrrtm3	Chr07	29876161	29876161	0.390458698	unbias	0.386066692	G43_M_mean
TRINITY_DN121941_c0_g8_i2	pak2	Chr05	126265328	126265328	-0.048716775	unbias	0.28669484	G46_F_mean
TRINITY_DN121943_c0_g1_i2	NA	NA	NA	NA	0.04102568	unbias	0.406134234	Ovary_mean
TRINITY_DN121944_c0_g4_i1	sar1b	Chr03	17209373	17209373	1.825769587	unbias	0.422466945	Ovary_mean
TRINITY_DN121944_c1_g4_i7	asic5	Chr01	44585322	44585322	-0.103691611	unbias	0.359190358	Ovary_mean
TRINITY_DN121947_c0_g1_i2	negr1	Chr04	71677624	71677624	-0.03484546	unbias	0.218391196	Ovary_mean
TRINITY_DN121948_c0_g1_i1	NA	NA	NA	NA	0.234344944	unbias	0.260650244	Ovary_mean
TRINITY_DN121950_c0_g1_i1	NA	NA	NA	NA	-0.26243887	unbias	0.679347195	G43_M_mean
TRINITY_DN121952_c0_g1_i1	NA	NA	NA	NA	-0.346913839	unbias	0.7861131	Brain_mean
TRINITY_DN121953_c0_g1_i3	NA	NA	NA	NA	-0.222154523	unbias	0.565433466	Ovary_mean
TRINITY_DN121956_c0_g1_i6	NA	NA	NA	NA	-0.123256836	unbias	0.452406344	Ovary_mean
TRINITY_DN121957_c0_g1_i4	NA	NA	NA	NA	-0.265725794	unbias	0.528233193	Ovary_mean
TRINITY_DN121959_c0_g1_i5	NA	NA	NA	NA	0.217062075	unbias	0.513398277	G43_M_mean
TRINITY_DN121960_c3_g2_i1	NA	NA	NA	NA	-0.086623139	unbias	0.391419539	Brain_mean
TRINITY_DN121960_c4_g1_i1	NA	NA	NA	NA	-0.160124931	unbias	0.647438078	Brain_mean
TRINITY_DN121961_c0_g1_i1	NA	NA	NA	NA	-0.194455828	unbias	0.754058245	Brain_mean
TRINITY_DN121964_c1_g2_i5	NA	NA	NA	NA	-0.111039461	unbias	0.58818846	Brain_mean
TRINITY_DN121967_c1_g1_i1	NA	NA	NA	NA	0.524912906	unbias	0.436206062	G23_mean
TRINITY_DN121967_c1_g2_i1	NA	NA	NA	NA	-0.446388162	unbias	0.511931743	Brain_mean
TRINITY_DN121968_c0_g2_i2	NA	NA	NA	NA	0.001815195	unbias	0.174510111	Testis_mean
TRINITY_DN121970_c0_g1_i6	mmp23b	Chr07	70923653	70923653	0.007319141	unbias	0.158075965	G23_mean
TRINITY_DN121972_c0_g2_i1	sat1	Chr02	38778821	38778821	0.24037304	unbias	0.30549422	G46_M_mean
TRINITY_DN121972_c0_g3_i1	NA	NA	NA	NA	-1.218769967	unbias	0.188652632	G43_F_mean
TRINITY_DN121973_c0_g1_i2	NA	NA	NA	NA	-0.297606991	unbias	0.623110889	Ovary_mean
TRINITY_DN121976_c0_g1_i1	NA	NA	NA	NA	0.036388661	unbias	0.318696205	G43_F_mean
TRINITY_DN121977_c0_g1_i1	NA	NA	NA	NA	0.350259979	unbias	0.965312601	Brain_mean
TRINITY_DN121977_c0_g3_i5	rdh5	Chr02	133852237	133852237	0.378042054	unbias	0.716475033	Brain_mean
TRINITY_DN121978_c0_g1_i1	LOC101730736	Chr10	14919585	14919585	0.013802247	unbias	0.779106304	Brain_mean
TRINITY_DN121979_c0_g4_i2	rasa2	Chr05	125811958	125811958	0.87271105	unbias	0.385211132	G31_mean
TRINITY_DN121980_c0_g1_i4	trpc4	Chr02	148441889	148441889	0.029272974	unbias	0.794255739	Brain_mean
TRINITY_DN121981_c0_g1_i2	akap1-like	Chr02	101010361	101010361	0.053827725	unbias	0.575157794	Ovary_mean
TRINITY_DN121982_c0_g1_i2	NA	NA	NA	NA	-0.096267997	unbias	0.767316514	Brain_mean
TRINITY_DN121983_c0_g2_i3	NA	NA	NA	NA	-0.090991056	unbias	0.257818333	Ovary_mean
TRINITY_DN121985_c0_g1_i2	NA	NA	NA	NA	0.09951621	unbias	0.682194557	Brain_mean
TRINITY_DN121986_c0_g1_i2	NA	NA	NA	NA	-0.060457459	unbias	0.370025774	Ovary_mean
TRINITY_DN121988_c0_g1_i2	lemd3	Chr03	48305931	48305931	0.106747599	unbias	0.183216929	G46_M_mean
TRINITY_DN121989_c0_g1_i2	NA	NA	NA	NA	0.357376908	unbias	0.607619241	Ovary_mean
TRINITY_DN121990_c1_g1_i1	NA	NA	NA	NA	-0.651166555	unbias	0.794070217	Ovary_mean
TRINITY_DN121993_c0_g1_i1	NA	NA	NA	NA	0.16292682	unbias	0.68489346	Ovary_mean
TRINITY_DN121996_c0_g2_i1	NA	NA	NA	NA	0.176645771	unbias	0.229281734	Ovary_mean
TRINITY_DN121998_c0_g1_i2	NA	NA	NA	NA	0.233304481	unbias	0.356330016	Brain_mean
TRINITY_DN121998_c0_g3_i1	NA	NA	NA	NA	0.843542834	unbias	0.570520938	Brain_mean
TRINITY_DN122000_c1_g3_i2	NA	NA	NA	NA	0.259786902	unbias	0.704582677	Ovary_mean
TRINITY_DN122002_c0_g1_i2	NA	NA	NA	NA	0.346290863	unbias	0.308467493	Brain_mean
TRINITY_DN122003_c2_g1_i5	NA	NA	NA	NA	-0.100221574	unbias	0.454650895	Testis_mean
TRINITY_DN122006_c0_g2_i1	NA	NA	NA	NA	-0.226329411	unbias	0.949993899	Brain_mean
TRINITY_DN122006_c0_g3_i1	aadac	Chr05	106456019	106456019	-0.326592433	unbias	0.941777995	Brain_mean
TRINITY_DN122007_c0_g1_i1	NA	NA	NA	NA	-0.697928868	unbias	0.475012996	G46_F_mean
TRINITY_DN122008_c0_g1_i2	NA	NA	NA	NA	-0.381238749	unbias	0.396024	G43_F_mean
TRINITY_DN122011_c0_g2_i2	prr15	Chr06	31630171	31630171	0.028967277	unbias	0.598588678	Ovary_mean
TRINITY_DN122012_c0_g1_i1	phf8	Chr08	8505281	8505281	-0.006741382	unbias	0.789799559	Brain_mean
TRINITY_DN122013_c0_g1_i2	NA	NA	NA	NA	0.188658356	unbias	0.325582124	G23_mean
TRINITY_DN122014_c0_g1_i1	NA	NA	NA	NA	-0.018918503	unbias	0.481132624	Brain_mean
TRINITY_DN122017_c0_g1_i4	NA	NA	NA	NA	-0.061205144	unbias	0.802904316	Brain_mean
TRINITY_DN122021_c1_g1_i1	NA	NA	NA	NA	-0.066575829	unbias	0.778131603	Brain_mean
TRINITY_DN122021_c2_g11_i2	NA	NA	NA	NA	-0.217906193	unbias	0.664618918	Brain_mean
TRINITY_DN122021_c2_g12_i1	hoga1	Chr07	24794514	24794514	-3.686787126	female	0.447150745	G27_mean
TRINITY_DN122021_c2_g13_i1	zp2	Chr09	18845774	18845774	0.066012183	unbias	0.478271552	G46_M_mean
TRINITY_DN122021_c2_g15_i2	NA	NA	NA	NA	-0.570064028	unbias	0.885907444	Brain_mean
TRINITY_DN122022_c0_g1_i1	NA	NA	NA	NA	0.253149196	unbias	0.381238438	G46_M_mean
TRINITY_DN122023_c2_g2_i2	NA	NA	NA	NA	0.151670761	unbias	0.275701942	Testis_mean
TRINITY_DN122024_c0_g1_i1	NA	NA	NA	NA	-0.091891342	unbias	0.24872368	Ovary_mean
TRINITY_DN122025_c0_g1_i3	mturn	Chr06	72716999	72716999	1.244302844	male	0.490070409	Ovary_mean
TRINITY_DN122027_c0_g1_i2	NA	NA	NA	NA	-0.018399453	unbias	0.300987108	Ovary_mean
TRINITY_DN122029_c0_g1_i1	NA	NA	NA	NA	-0.414033472	unbias	0.278396658	Ovary_mean
TRINITY_DN122030_c1_g3_i2	NA	NA	NA	NA	0.077384964	unbias	0.436483728	Brain_mean
TRINITY_DN122030_c1_g4_i2	NA	NA	NA	NA	0.115655406	unbias	0.515160487	Brain_mean
TRINITY_DN122032_c1_g1_i1	NA	NA	NA	NA	0.002369315	unbias	0.95442442	Brain_mean
TRINITY_DN122032_c1_g2_i1	vangl2	Chr08	113935030	113935030	0.120779444	unbias	0.926466292	Brain_mean
TRINITY_DN122033_c1_g1_i8	NA	NA	NA	NA	0.138259029	unbias	0.229038071	Brain_mean
TRINITY_DN122034_c0_g3_i2	NA	NA	NA	NA	-0.504715348	unbias	0.452079214	Ovary_mean
TRINITY_DN122038_c0_g1_i2	NA	NA	NA	NA	0.271468509	unbias	0.295947665	G46_M_mean
TRINITY_DN122039_c0_g3_i1	NA	NA	NA	NA	0.194830101	unbias	0.695411447	Brain_mean
TRINITY_DN122040_c4_g2_i1	NA	NA	NA	NA	-0.056460433	unbias	0.283509371	Brain_mean
TRINITY_DN122042_c0_g1_i1	NA	NA	NA	NA	0.088315436	unbias	0.099161559	G46_F_mean
TRINITY_DN122042_c0_g2_i1	NA	NA	NA	NA	0.057521098	unbias	0.139801097	G46_F_mean
TRINITY_DN122043_c1_g1_i1	NA	NA	NA	NA	-0.028683635	unbias	0.77165836	Brain_mean
TRINITY_DN122043_c1_g2_i2	NA	NA	NA	NA	0.160622038	unbias	0.94690416	Brain_mean
TRINITY_DN122044_c0_g3_i2	tspan2	Chr02	66403265	66403265	-0.564771276	unbias	0.627755167	G43_F_mean
TRINITY_DN122045_c0_g1_i1	NA	NA	NA	NA	-0.128255821	unbias	0.876163281	Brain_mean
TRINITY_DN122046_c0_g1_i1	NA	NA	NA	NA	0.332707691	unbias	0.582407136	G27_mean
TRINITY_DN122047_c4_g2_i1	LOC101733905	Chr09	3137512	3137512	-0.035973534	unbias	0.161643795	G43_M_mean
TRINITY_DN122048_c0_g1_i1	NA	NA	NA	NA	-5.128877245	female	0.908655677	Ovary_mean
TRINITY_DN122048_c0_g2_i2	NA	NA	NA	NA	0.024148016	unbias	0.202095674	G23_mean
TRINITY_DN122049_c0_g1_i1	NA	NA	NA	NA	0.081110592	unbias	0.208710989	Ovary_mean
TRINITY_DN122051_c3_g10_i1	NA	NA	NA	NA	0.186984613	unbias	0.881036024	Brain_mean
TRINITY_DN122053_c1_g2_i1	fam120b	Chr05	39928378	39928378	-1.198206076	unbias	0.557910843	G46_M_mean
TRINITY_DN122055_c1_g1_i1	NA	NA	NA	NA	0.076736705	unbias	0.511139362	Brain_mean
TRINITY_DN122057_c0_g2_i1	Xetrov90026986m	scaffold_199	135342	135342	0.58644002	unbias	0.823720466	Brain_mean
TRINITY_DN122062_c1_g1_i1	NA	NA	NA	NA	0.163214763	unbias	0.357339205	Brain_mean
TRINITY_DN122066_c0_g1_i1	eogt	Chr04	131516355	131516355	0.047508496	unbias	0.604117938	Brain_mean
TRINITY_DN122068_c0_g1_i1	NA	NA	NA	NA	0.31532272	unbias	0.686015802	Ovary_mean
TRINITY_DN122070_c0_g1_i1	NA	NA	NA	NA	-0.082985024	unbias	0.230843983	Testis_mean
TRINITY_DN122071_c0_g1_i3	NA	NA	NA	NA	-0.307180849	unbias	0.7365841	Brain_mean
TRINITY_DN122072_c1_g1_i1	NA	NA	NA	NA	0.304696639	unbias	0.546065287	G46_F_mean
TRINITY_DN122072_c1_g3_i3	rnls	Chr07	4556411	4556411	0.310630717	unbias	0.337157579	Ovary_mean
TRINITY_DN122073_c0_g2_i6	ercc1	Chr07	61925259	61925259	0.038354276	unbias	0.563769652	Ovary_mean
TRINITY_DN122074_c0_g1_i2	NA	NA	NA	NA	-0.488807984	unbias	0.707725234	Ovary_mean
TRINITY_DN122075_c3_g2_i3	LOC100486206-like	Chr01	167665994	167665994	0.321184357	unbias	0.259587103	Brain_mean
TRINITY_DN122077_c0_g1_i1	mrpl51	Chr07	16893922	16893922	0.127932271	unbias	0.289091303	Brain_mean
TRINITY_DN122077_c1_g1_i2	NA	NA	NA	NA	-0.630100692	unbias	0.181757125	Ovary_mean
TRINITY_DN122077_c2_g1_i1	NA	NA	NA	NA	0.232753204	unbias	0.306996182	G46_M_mean
TRINITY_DN122079_c1_g1_i2	sema4c	Chr03	108947934	108947934	0.120712087	unbias	0.739240698	Brain_mean
TRINITY_DN122080_c0_g3_i2	NA	NA	NA	NA	0.031938704	unbias	0.191762481	G23_mean
TRINITY_DN122080_c1_g1_i1	NA	NA	NA	NA	0.329314778	unbias	0.362950739	G23_mean
TRINITY_DN122082_c0_g1_i3	NA	NA	NA	NA	0.081474124	unbias	0.325126016	G23_mean
TRINITY_DN122083_c0_g2_i2	NA	NA	NA	NA	-0.442903464	unbias	0.477331681	Ovary_mean
