gid	gname	chr	start	end	logFC.XYbrain.XXrain	abslogFC.XYbrain.Xxrain	bias	tau	tissue	dNdS	dN	dS
TRINITY_DN122356_c1_g4_i9	NA	NA	NA	NA	-0.100345379	0.100345379	unbias	0.721768431	Brain_mean	0.0769	0.0962	1.2507
TRINITY_DN122360_c1_g1_i1	NA	NA	NA	NA	-0.057566153	0.057566153	unbias	0.666572722	Brain_mean	0.0676	0.0739	1.0935
TRINITY_DN122415_c4_g3_i4	LOC101734368	Chr02	52886226	52886226	0.226155721	0.226155721	unbias	0.314484267	G27_mean	0.1078	0.1425	1.3218
TRINITY_DN122427_c0_g2_i8	NA	NA	NA	NA	0.171312643	0.171312643	unbias	0.177463974	Ovary_mean	0.0061	0.0063	1.0257
TRINITY_DN122434_c0_g2_i5	Xetrov90018348m	Chr07	59538489	59538489	0.131595017	0.131595017	unbias	0.117374803	Ovary_mean	0.0921	0.1785	1.9386
TRINITY_DN122437_c0_g1_i2	NA	NA	NA	NA	-0.157051709	0.157051709	unbias	0.110045539	Ovary_mean	0.0788	0.1118	1.4201
TRINITY_DN122446_c0_g1_i4	LOC100494738	Chr10	16269108	16269108	0.258085683	0.258085683	unbias	0.173105933	Ovary_mean	0.1419	0.2288	1.6123
TRINITY_DN122446_c0_g2_i3	dhx38	Chr04	63264299	63264299	0.363983691	0.363983691	unbias	0.476548116	Brain_mean	0.1027	0.0961	0.9362
TRINITY_DN122463_c5_g2_i1	ankrd50	Chr01	55884569	55884569	0.498885802	0.498885802	unbias	0.667840517	Brain_mean	0.0328	0.0398	1.2142
TRINITY_DN122477_c0_g1_i1	stk31	Chr06	34492394	34492394	0.237590437	0.237590437	unbias	0.391763054	Brain_mean	0.0758	0.145	1.9122
TRINITY_DN122486_c8_g5_i1	NA	NA	NA	NA	-0.063332922	0.063332922	unbias	0.389644826	G23_mean	0.0862	0.1386	1.6091
TRINITY_DN122502_c0_g1_i1	NA	NA	NA	NA	0.353697042	0.353697042	unbias	0.092629366	G43_M_mean	0.0719	0.1075	1.4939
TRINITY_DN122504_c0_g1_i1	tapt1	Chr01	16782031	16782031	0.142060112	0.142060112	unbias	0.426771274	G27_mean	0.1148	0.2206	1.9209
TRINITY_DN122506_c0_g2_i7	NA	NA	NA	NA	0.320582888	0.320582888	unbias	0.267868034	G27_mean	0.0686	0.0885	1.2909
TRINITY_DN122549_c0_g1_i1	NA	NA	NA	NA	0.279640648	0.279640648	unbias	0.12414895	G27_mean	0.0195	0.0361	1.8537
TRINITY_DN122558_c5_g1_i7	NA	NA	NA	NA	1.016735958	1.016735958	unbias	0.570177922	Liver_mean	0.1831	0.2481	1.355
TRINITY_DN122563_c0_g4_i1	NA	NA	NA	NA	0.281298374	0.281298374	unbias	0.282684229	G46_F_mean	0.1616	0.2023	1.2521
TRINITY_DN122574_c0_g1_i1	NA	NA	NA	NA	0.056880026	0.056880026	unbias	0.151539478	G23_mean	0.0669	0.0834	1.247
TRINITY_DN122580_c0_g1_i2	NA	NA	NA	NA	0.323224493	0.323224493	unbias	0.437485799	Liver_mean	0.2007	0.2993	1.4917
TRINITY_DN122624_c1_g1_i4	NA	NA	NA	NA	-0.181890242	0.181890242	unbias	0.28913548	Brain_mean	0.2018	0.3838	1.9017
TRINITY_DN122630_c7_g1_i2	NA	NA	NA	NA	-0.123772299	0.123772299	unbias	0.482519198	Brain_mean	0.0137	0.0145	1.0568
TRINITY_DN122635_c5_g5_i6	NA	NA	NA	NA	0.06751737	0.06751737	unbias	0.169287213	G27_mean	0.0262	0.0314	1.1986
TRINITY_DN122646_c2_g1_i1	cacng7	Chr07	108251132	108251132	0.127128879	0.127128879	unbias	0.481275838	Ovary_mean	0.0523	0.029	0.5545
TRINITY_DN122649_c6_g1_i4	NA	NA	NA	NA	-0.034153621	0.034153621	unbias	0.158254588	G23_mean	0.007	0.0058	0.8385
TRINITY_DN122655_c0_g1_i3	NA	NA	NA	NA	0.158530248	0.158530248	unbias	0.420196492	G23_mean	0.0865	0.1099	1.2704
TRINITY_DN122662_c0_g10_i3	NA	NA	NA	NA	-0.122655662	0.122655662	unbias	0.401193009	Ovary_mean	0.2306	0.3058	1.3262
TRINITY_DN122675_c1_g1_i1	NA	NA	NA	NA	-0.041349004	0.041349004	unbias	0.196428638	Brain_mean	0.0553	0.106	1.9153
TRINITY_DN122676_c4_g6_i2	NA	NA	NA	NA	0.005525406	0.005525406	unbias	0.527531396	Brain_mean	0.0642	0.1097	1.7083
TRINITY_DN122701_c2_g2_i4	NA	NA	NA	NA	1.020163771	1.020163771	unbias	0.387904147	G43_M_mean	0.0878	0.161	1.8335
TRINITY_DN122721_c0_g1_i1	NA	NA	NA	NA	-0.054233386	0.054233386	unbias	0.291137758	Ovary_mean	0.0964	0.1522	1.5793
TRINITY_DN122725_c0_g1_i3	NA	NA	NA	NA	0.007130255	0.007130255	unbias	0.381587615	G23_mean	0.0654	0.0516	0.7886
TRINITY_DN122730_c1_g2_i5	NA	NA	NA	NA	0.03882377	0.03882377	unbias	0.222009826	Brain_mean	0.0247	0.0317	1.2831
TRINITY_DN122745_c0_g1_i1	NA	NA	NA	NA	-0.039116102	0.039116102	unbias	0.288706681	Brain_mean	0.0909	0.1327	1.4594
TRINITY_DN122758_c4_g4_i1	dnajb6	Chr06	9884065	9884065	-0.011833776	0.011833776	unbias	0.079353539	Testis_mean	0.1179	0.1752	1.4858
TRINITY_DN122767_c2_g2_i1	NA	NA	NA	NA	-0.217204567	0.217204567	unbias	0.519502934	Brain_mean	0.1427	0.2333	1.6351
TRINITY_DN122785_c0_g2_i2	slc22a15.2	Chr07	29624091	29624091	0.035267523	0.035267523	unbias	0.259827627	Ovary_mean	0.1049	0.0686	0.6539
TRINITY_DN122800_c1_g1_i1	NA	NA	NA	NA	0.140201205	0.140201205	unbias	0.137434129	G27_mean	0.0296	0.0527	1.7804
TRINITY_DN122839_c0_g1_i1	NA	NA	NA	NA	0.359130596	0.359130596	unbias	0.47726903	Ovary_mean	0.1066	0.132	1.2388
TRINITY_DN122842_c2_g2_i1	NA	NA	NA	NA	-0.073898382	0.073898382	unbias	0.484455569	Ovary_mean	0.2782	0.3384	1.2166
TRINITY_DN122866_c0_g1_i1	p2rx1	Chr02	97830639	97830639	0.214355583	0.214355583	unbias	0.702781287	Brain_mean	0.0326	0.0359	1.0994
TRINITY_DN122868_c1_g1_i4	LOC100498121-like	Chr02	85926804	85926804	0.096818703	0.096818703	unbias	0.130402427	G27_mean	0.0358	0.0655	1.8315
TRINITY_DN122883_c0_g1_i1	NA	NA	NA	NA	-0.279537094	0.279537094	unbias	0.488237713	Liver_mean	0.104	0.1427	1.3713
TRINITY_DN122887_c4_g1_i2	NA	NA	NA	NA	0.107242207	0.107242207	unbias	0.335585906	Brain_mean	0.0159	0.0313	1.9701
TRINITY_DN122889_c8_g1_i4	LOC100496630	Chr04	63474007	63474007	-0.106317542	0.106317542	unbias	0.221698454	Testis_mean	0.001	0.0006	0.5505
TRINITY_DN122898_c0_g1_i1	NA	NA	NA	NA	-0.077054079	0.077054079	unbias	0.196637633	Brain_mean	0.1112	0.1607	1.4448
TRINITY_DN122914_c0_g1_i2	NA	NA	NA	NA	0.013836511	0.013836511	unbias	0.54674466	Ovary_mean	0.0721	0.0949	1.3164
TRINITY_DN122933_c2_g4_i2	NA	NA	NA	NA	0.004093105	0.004093105	unbias	0.249262179	Ovary_mean	0.0157	0.0193	1.2293
TRINITY_DN122956_c5_g1_i1	NA	NA	NA	NA	0.093013972	0.093013972	unbias	0.46656487	Ovary_mean	0.1294	0.1854	1.4331
TRINITY_DN122961_c6_g7_i3	NA	NA	NA	NA	0.190121138	0.190121138	unbias	0.340949134	G23_mean	0.1375	0.2297	1.6702
TRINITY_DN122997_c0_g1_i2	neil3	Chr01	38056089	38056089	0.033294449	0.033294449	unbias	0.371429336	Brain_mean	0.0846	0.1459	1.725
TRINITY_DN123001_c0_g1_i3	NA	NA	NA	NA	0.347733956	0.347733956	unbias	0.426743361	Brain_mean	0.0903	0.138	1.5282
TRINITY_DN123008_c3_g1_i2	fam219b	Chr03	84300642	84300642	-0.093752511	0.093752511	unbias	0.130167008	Ovary_mean	0.1768	0.322	1.8211
TRINITY_DN123019_c0_g1_i7	NA	NA	NA	NA	-0.931760031	0.931760031	unbias	0.231762853	Ovary_mean	0.109	0.1807	1.6574
TRINITY_DN123028_c3_g1_i2	NA	NA	NA	NA	0.05698919	0.05698919	unbias	0.224463412	Brain_mean	0.0516	0.0821	1.5911
TRINITY_DN123061_c0_g2_i1	NA	NA	NA	NA	-0.218164411	0.218164411	unbias	0.43372039	Ovary_mean	0.1187	0.237	1.9973
TRINITY_DN123103_c0_g1_i1	NA	NA	NA	NA	0.012721507	0.012721507	unbias	0.490207678	Brain_mean	0.0424	0.0581	1.3724
TRINITY_DN123108_c4_g5_i4	NA	NA	NA	NA	0.047615971	0.047615971	unbias	0.303616964	Brain_mean	0.0624	0.0363	0.5816
TRINITY_DN123128_c0_g2_i1	NA	NA	NA	NA	-0.515427485	0.515427485	unbias	0.359705284	G23_mean	0.0798	0.1308	1.6387
TRINITY_DN123135_c0_g1_i1	trpm7	Chr03	94883286	94883286	0.07196588	0.07196588	unbias	0.096422636	G27_mean	0.0393	0.0712	1.8118
TRINITY_DN123148_c0_g1_i2	NA	NA	NA	NA	-0.102857832	0.102857832	unbias	0.377738196	Brain_mean	0.0688	0.1246	1.8118
TRINITY_DN123159_c2_g5_i1	NA	NA	NA	NA	0.424618929	0.424618929	unbias	0.450354616	Ovary_mean	0.047	0.0853	1.8148
TRINITY_DN123188_c6_g3_i2	NA	NA	NA	NA	0.150726261	0.150726261	unbias	0.515941309	Ovary_mean	0.0526	0.0683	1.2998
TRINITY_DN123203_c0_g2_i2	NA	NA	NA	NA	-0.185978991	0.185978991	unbias	0.601255814	Ovary_mean	0.1409	0.2628	1.8656
TRINITY_DN123234_c0_g3_i1	NA	NA	NA	NA	-0.676288431	0.676288431	unbias	0.574940694	Brain_mean	0.001	0.0006	0.6025
TRINITY_DN123316_c1_g3_i5	NA	NA	NA	NA	0.026577431	0.026577431	unbias	0.649535914	Brain_mean	0.1363	0.2205	1.6182
TRINITY_DN123360_c0_g2_i1	NA	NA	NA	NA	-1.066345184	1.066345184	unbias	0.358297652	G46_M_mean	0.0869	0.075	0.8635
TRINITY_DN123366_c0_g2_i2	NA	NA	NA	NA	-0.0121515	0.0121515	unbias	0.242146216	Brain_mean	0.0053	0.0053	1.0171
TRINITY_DN123387_c1_g1_i1	NA	NA	NA	NA	-0.053805921	0.053805921	unbias	0.309266756	Ovary_mean	0.0229	0.0274	1.1945
TRINITY_DN123387_c3_g1_i1	NA	NA	NA	NA	-0.090672248	0.090672248	unbias	0.456100901	Ovary_mean	0.0239	0.0364	1.5233
TRINITY_DN123401_c0_g2_i2	NA	NA	NA	NA	0.053873518	0.053873518	unbias	0.162784011	Brain_mean	0.0445	0.0768	1.7266
TRINITY_DN123415_c0_g1_i1	clpp	Chr03	129787873	129787873	-0.096731063	0.096731063	unbias	0.126214175	G23_mean	0.0352	0.0595	1.6933
TRINITY_DN123426_c1_g4_i1	NA	NA	NA	NA	0.17977506	0.17977506	unbias	0.194007891	G23_mean	0.0974	0.1812	1.8611
TRINITY_DN123437_c0_g1_i2	NA	NA	NA	NA	-0.225721862	0.225721862	unbias	0.395039658	Testis_mean	0.0957	0.1156	1.2076
TRINITY_DN123443_c0_g2_i1	ddc	Chr06	68654441	68654441	0.16914791	0.16914791	unbias	0.390288388	G27_mean	0.0683	0.1191	1.7448
TRINITY_DN123455_c2_g1_i1	barhl1	Chr08	6934577	6934577	-0.702094949	0.702094949	unbias	0.669383313	Liver_mean	0.0612	0.0914	1.4924
TRINITY_DN123487_c0_g1_i2	NA	NA	NA	NA	0.013975584	0.013975584	unbias	0.41144121	G23_mean	0.1433	0.2208	1.5414
TRINITY_DN123540_c2_g5_i1	NA	NA	NA	NA	0.055936031	0.055936031	unbias	0.434112547	Brain_mean	0.0518	0.0487	0.9405
TRINITY_DN123544_c7_g1_i3	NA	NA	NA	NA	0.049060875	0.049060875	unbias	0.179988133	Ovary_mean	0.1414	0.2226	1.5739
TRINITY_DN123572_c2_g1_i2	NA	NA	NA	NA	0.059587747	0.059587747	unbias	0.577459029	Brain_mean	0.052	0.0645	1.2403
TRINITY_DN123577_c1_g2_i2	NA	NA	NA	NA	-0.164719476	0.164719476	unbias	0.505667278	Brain_mean	0.0358	0.0705	1.9668
TRINITY_DN123593_c0_g5_i2	NA	NA	NA	NA	0.087609886	0.087609886	unbias	0.411111205	Ovary_mean	0.0366	0.0594	1.6231
TRINITY_DN123618_c0_g1_i3	ankdd1b	Chr01	165443585	165443585	-0.060975928	0.060975928	unbias	0.248089954	G43_M_mean	0.1282	0.2184	1.7032
TRINITY_DN123621_c0_g1_i2	NA	NA	NA	NA	0.12108201	0.12108201	unbias	0.199025872	Ovary_mean	0.102	0.1282	1.2567
TRINITY_DN123637_c0_g2_i2	NA	NA	NA	NA	0.411787982	0.411787982	unbias	0.300346206	Brain_mean	0.0528	0.0827	1.5652
TRINITY_DN123638_c0_g1_i1	NA	NA	NA	NA	0.67777406	0.67777406	unbias	0.374357631	Ovary_mean	0.1288	0.2193	1.7027
TRINITY_DN123678_c2_g6_i3	NA	NA	NA	NA	-0.057148971	0.057148971	unbias	0.799772988	Brain_mean	0.0971	0.1505	1.5505
TRINITY_DN123702_c4_g2_i2	capsl	Chr01	185311838	185311838	0.219228247	0.219228247	unbias	0.147667314	G46_M_mean	0.1435	0.2479	1.7277
TRINITY_DN123703_c0_g1_i1	NA	NA	NA	NA	0.282194249	0.282194249	unbias	0.468259491	Brain_mean	0.0484	0.0824	1.7021
TRINITY_DN123709_c0_g2_i1	NA	NA	NA	NA	-0.212065383	0.212065383	unbias	0.351139975	Ovary_mean	0.1561	0.2876	1.8422
TRINITY_DN123719_c0_g1_i4	endou	scaffold_1518	5662	5662	-0.124152292	0.124152292	unbias	0.141198157	G27_mean	0.0876	0.126	1.438
TRINITY_DN123752_c0_g4_i7	NA	NA	NA	NA	0.071052464	0.071052464	unbias	0.277319826	Ovary_mean	0.1081	0.1472	1.3615
TRINITY_DN123788_c0_g2_i3	NA	NA	NA	NA	0.375401099	0.375401099	unbias	0.259268435	G23_mean	0.0741	0.1201	1.6204
TRINITY_DN123806_c2_g2_i3	nrde2	Chr08	65684380	65684380	-0.132057858	0.132057858	unbias	0.232900702	Ovary_mean	0.1681	0.3272	1.946
TRINITY_DN123812_c0_g1_i9	NA	NA	NA	NA	0.052059812	0.052059812	unbias	0.162547017	G23_mean	0.041	0.0478	1.1652
TRINITY_DN123827_c2_g4_i4	NA	NA	NA	NA	0.229545597	0.229545597	unbias	0.123589155	G31_mean	0.0215	0.0341	1.585
TRINITY_DN123839_c0_g3_i1	NA	NA	NA	NA	-0.039937027	0.039937027	unbias	0.297392094	Brain_mean	0.0347	0.0664	1.9102
TRINITY_DN123845_c2_g1_i2	NA	NA	NA	NA	-0.019712575	0.019712575	unbias	0.231070601	Liver_mean	0.04	0.0514	1.2869
TRINITY_DN123852_c0_g1_i1	NA	NA	NA	NA	-0.04842225	0.04842225	unbias	0.159826587	Brain_mean	0.0398	0.0651	1.6351
TRINITY_DN123862_c0_g1_i3	NA	NA	NA	NA	0.666608727	0.666608727	unbias	0.493074978	G43_M_mean	0.022	0.0317	1.4424
TRINITY_DN123891_c0_g1_i1	NA	NA	NA	NA	-0.043790184	0.043790184	unbias	0.331813724	Liver_mean	0.0458	0.0766	1.6723
TRINITY_DN123892_c0_g1_i1	clec2d	Chr07	2179298	2179298	0.150836308	0.150836308	unbias	0.451470216	Brain_mean	0.061	0.0656	1.0756
TRINITY_DN123903_c0_g2_i4	NA	NA	NA	NA	0.644812395	0.644812395	unbias	0.560279107	Ovary_mean	0.1605	0.3205	1.9967
TRINITY_DN123914_c1_g2_i1	NA	NA	NA	NA	-0.071110683	0.071110683	unbias	0.458121785	Ovary_mean	0.067	0.1066	1.5898
TRINITY_DN123915_c3_g4_i1	sumf2	Chr02	94210484	94210484	0.640448333	0.640448333	unbias	0.411177757	G43_M_mean	0.179	0.3052	1.7055
TRINITY_DN123948_c0_g2_i1	NA	NA	NA	NA	-0.307676034	0.307676034	unbias	0.473480153	G27_mean	0.1417	0.2215	1.5626
TRINITY_DN123966_c0_g2_i1	gpr126	Chr05	53863685	53863685	0.379377005	0.379377005	unbias	0.192335347	Ovary_mean	0.0637	0.0945	1.4852
TRINITY_DN123968_c0_g1_i1	NA	NA	NA	NA	0.060550956	0.060550956	unbias	0.135029337	Brain_mean	0.0666	0.1181	1.7734
TRINITY_DN123969_c1_g6_i1	NA	NA	NA	NA	0.538984272	0.538984272	unbias	0.175457155	G43_M_mean	0.151	0.2562	1.6966
TRINITY_DN123990_c0_g1_i1	crim1	Chr05	43608681	43608681	0.040835745	0.040835745	unbias	0.424754113	Ovary_mean	0.1047	0.1181	1.1286
TRINITY_DN124031_c2_g5_i3	NA	NA	NA	NA	0.120135688	0.120135688	unbias	0.495186795	Ovary_mean	0.0224	0.033	1.4736
TRINITY_DN124057_c4_g2_i2	NA	NA	NA	NA	-0.109553956	0.109553956	unbias	0.311385753	Ovary_mean	0.0296	0.048	1.6209
TRINITY_DN124074_c0_g4_i2	NA	NA	NA	NA	0.061912283	0.061912283	unbias	0.67371039	Brain_mean	0.0826	0.0987	1.1944
TRINITY_DN124113_c0_g1_i4	NA	NA	NA	NA	0.005815756	0.005815756	unbias	0.449916917	Brain_mean	0.1144	0.2042	1.7841
TRINITY_DN124117_c6_g4_i3	NA	NA	NA	NA	-0.239726537	0.239726537	unbias	0.227534315	G23_mean	0.1387	0.188	1.3557
TRINITY_DN124138_c14_g3_i2	srebf2	Chr04	109775504	109775504	-0.095450424	0.095450424	unbias	0.162323374	Ovary_mean	0.1223	0.173	1.4145
TRINITY_DN124153_c8_g5_i1	NA	NA	NA	NA	0.005946431	0.005946431	unbias	0.422581593	Ovary_mean	0.0555	0.0713	1.2851
TRINITY_DN124167_c1_g2_i1	gde1	Chr09	25932397	25932397	0.037186263	0.037186263	unbias	0.174331716	G23_mean	0.0541	0.0753	1.3929
TRINITY_DN124211_c1_g2_i5	NA	NA	NA	NA	0.181107845	0.181107845	unbias	0.437352227	G23_mean	0.0241	0.0402	1.6645
TRINITY_DN124247_c3_g3_i1	NA	NA	NA	NA	0.071047668	0.071047668	unbias	0.423825131	Brain_mean	0.084	0.0937	1.1152
TRINITY_DN124276_c5_g2_i2	erp29	Chr01	155038161	155038161	0.496753863	0.496753863	unbias	0.215781191	G46_F_mean	0.1491	0.2426	1.6266
TRINITY_DN124291_c0_g1_i1	NA	NA	NA	NA	-0.21541098	0.21541098	unbias	0.294114598	G23_mean	0.054	0.0777	1.439
TRINITY_DN124302_c1_g8_i3	NA	NA	NA	NA	0.142387311	0.142387311	unbias	0.249025449	Brain_mean	0.0368	0.0565	1.5341
TRINITY_DN124337_c0_g1_i1	NA	NA	NA	NA	0.040769397	0.040769397	unbias	0.453595298	Ovary_mean	0.0337	0.0512	1.5178
TRINITY_DN124341_c2_g1_i1	NA	NA	NA	NA	0.480114395	0.480114395	unbias	0.28145918	G23_mean	0.2074	0.2548	1.2287
TRINITY_DN124347_c0_g1_i2	NA	NA	NA	NA	0.015768977	0.015768977	unbias	0.113280932	Ovary_mean	0.0282	0.0338	1.1994
TRINITY_DN124383_c0_g1_i1	NA	NA	NA	NA	-1.444207372	1.444207372	unbias	0.367789935	Ovary_mean	0.0499	0.0924	1.8526
TRINITY_DN124385_c5_g1_i3	NA	NA	NA	NA	0.190300423	0.190300423	unbias	0.091714358	Ovary_mean	0.0322	0.0559	1.7352
TRINITY_DN124394_c3_g1_i1	NA	NA	NA	NA	-0.120712086	0.120712086	unbias	0.308955723	Brain_mean	0.0656	0.1062	1.6186
TRINITY_DN124394_c4_g1_i1	NA	NA	NA	NA	0.076232005	0.076232005	unbias	0.111346862	Brain_mean	0.0814	0.1177	1.4459
TRINITY_DN124395_c0_g2_i2	NA	NA	NA	NA	-0.086961918	0.086961918	unbias	0.165143272	Ovary_mean	0.0339	0.0415	1.2254
TRINITY_DN124398_c0_g1_i2	nckap1-like	Chr09	56884073	56884073	0.119761189	0.119761189	unbias	0.501617877	G27_mean	0.1248	0.2385	1.9118
TRINITY_DN124406_c1_g1_i3	NA	NA	NA	NA	-0.208375635	0.208375635	unbias	0.427024607	Brain_mean	0.041	0.0379	0.924
TRINITY_DN124406_c1_g2_i1	NA	NA	NA	NA	0.174862109	0.174862109	unbias	0.269164388	G23_mean	0.0268	0.0333	1.2415
TRINITY_DN124406_c4_g1_i2	NA	NA	NA	NA	0.162462934	0.162462934	unbias	0.573194774	G23_mean	0.082	0.0928	1.1317
TRINITY_DN124422_c0_g1_i4	NA	NA	NA	NA	-0.511002057	0.511002057	unbias	0.480779163	G23_mean	0.15	0.2314	1.5433
TRINITY_DN124430_c0_g3_i2	NA	NA	NA	NA	0.137151824	0.137151824	unbias	0.096974133	G46_F_mean	0.0283	0.0387	1.3695
TRINITY_DN124434_c0_g1_i1	NA	NA	NA	NA	-0.097990725	0.097990725	unbias	0.422021354	Brain_mean	0.0362	0.0699	1.9327
TRINITY_DN124435_c1_g11_i3	NA	NA	NA	NA	0.043539488	0.043539488	unbias	0.202104091	Ovary_mean	0.0106	0.0134	1.2669
TRINITY_DN124466_c0_g1_i4	NA	NA	NA	NA	-0.104005584	0.104005584	unbias	0.113440157	Brain_mean	0.0056	0.0059	1.0417
TRINITY_DN124509_c0_g2_i1	NA	NA	NA	NA	0.28888178	0.28888178	unbias	0.559482459	Ovary_mean	0.0457	0.0674	1.4742
TRINITY_DN124515_c6_g4_i2	mkks	Chr05	22680242	22680242	-0.124396422	0.124396422	unbias	0.523095724	Brain_mean	0.0069	0.0103	1.4939
TRINITY_DN124518_c0_g1_i1	NA	NA	NA	NA	-0.042391679	0.042391679	unbias	0.274286555	Ovary_mean	0.108	0.1172	1.085
TRINITY_DN124530_c0_g1_i1	NA	NA	NA	NA	-0.094676416	0.094676416	unbias	0.276595054	Ovary_mean	0.0488	0.0923	1.8922
TRINITY_DN124552_c0_g1_i1	phax	Chr01	159776577	159776577	-0.277974445	0.277974445	unbias	0.256970622	Ovary_mean	0.0434	0.0598	1.3798
TRINITY_DN124580_c0_g5_i1	NA	NA	NA	NA	0.137089518	0.137089518	unbias	0.54318878	Ovary_mean	0.0656	0.0961	1.4638
TRINITY_DN124604_c0_g2_i2	npas4	Chr04	37603744	37603744	0.126067661	0.126067661	unbias	0.36324136	Liver_mean	0.1224	0.2163	1.7663
TRINITY_DN124616_c4_g6_i5	NA	NA	NA	NA	-0.062510711	0.062510711	unbias	0.341701898	Brain_mean	0.0476	0.0708	1.4858
TRINITY_DN124635_c1_g1_i7	NA	NA	NA	NA	-0.127853994	0.127853994	unbias	0.165907814	G43_M_mean	0.0339	0.0592	1.7444
TRINITY_DN124651_c2_g3_i2	NA	NA	NA	NA	0.046062274	0.046062274	unbias	0.240919718	Ovary_mean	0.1052	0.1717	1.6331
TRINITY_DN124651_c4_g1_i1	myo6-like	Chr05	82476622	82476622	0.379817387	0.379817387	unbias	0.555918209	Brain_mean	0.051	0.0661	1.2964
TRINITY_DN124661_c0_g1_i1	NA	NA	NA	NA	0.0683759	0.0683759	unbias	0.203562781	G23_mean	0.076	0.1054	1.3854
TRINITY_DN124669_c3_g1_i1	NA	NA	NA	NA	0.021259068	0.021259068	unbias	0.130476855	G23_mean	0.0028	0.0044	1.6023
TRINITY_DN124683_c3_g3_i3	NA	NA	NA	NA	0.23230322	0.23230322	unbias	0.296047371	Ovary_mean	0.0092	0.0164	1.7805
TRINITY_DN124701_c0_g1_i1	NA	NA	NA	NA	-0.372416789	0.372416789	unbias	0.47692183	Brain_mean	0.0532	0.0698	1.3119
TRINITY_DN124735_c0_g1_i2	NA	NA	NA	NA	0.161456137	0.161456137	unbias	0.333574361	Brain_mean	0.0651	0.0968	1.4872
TRINITY_DN124741_c0_g1_i2	NA	NA	NA	NA	-0.004959494	0.004959494	unbias	0.275891624	Brain_mean	0.1328	0.172	1.2955
TRINITY_DN124779_c1_g2_i2	NA	NA	NA	NA	0.65741061	0.65741061	unbias	0.316410469	Brain_mean	0.0857	0.1102	1.2858
TRINITY_DN124788_c6_g1_i6	NA	NA	NA	NA	-0.281621766	0.281621766	unbias	0.347297528	Brain_mean	0.0863	0.1363	1.5792
TRINITY_DN124806_c0_g2_i1	LOC100495369	Chr08	44143618	44143618	-0.481453631	0.481453631	unbias	0.384470633	Ovary_mean	0.1073	0.1409	1.3131
TRINITY_DN124838_c3_g1_i1	NA	NA	NA	NA	0.007124875	0.007124875	unbias	0.36694313	Brain_mean	0.0384	0.0403	1.0474
TRINITY_DN124860_c8_g1_i1	otud1	Chr06	18074802	18074802	-0.036685724	0.036685724	unbias	0.22412698	G23_mean	0.0625	0.09	1.4395
TRINITY_DN124881_c0_g1_i1	NA	NA	NA	NA	0.180895295	0.180895295	unbias	0.496354985	G23_mean	0.0158	0.0165	1.0437
TRINITY_DN124903_c5_g2_i1	NA	NA	NA	NA	0.063412869	0.063412869	unbias	0.202721031	Ovary_mean	0.0098	0.0097	0.9909
TRINITY_DN124924_c1_g1_i1	NA	NA	NA	NA	-0.342322571	0.342322571	unbias	0.322999027	Brain_mean	0.0842	0.1355	1.6099
TRINITY_DN124929_c0_g4_i8	NA	NA	NA	NA	-0.049076461	0.049076461	unbias	0.188120845	G43_M_mean	0.182	0.298	1.6375
TRINITY_DN124940_c8_g1_i2	NA	NA	NA	NA	0.544957498	0.544957498	unbias	0.309176872	G31_mean	0.1329	0.2301	1.7306
TRINITY_DN124959_c2_g3_i1	NA	NA	NA	NA	-0.123521035	0.123521035	unbias	0.31920992	G27_mean	0.0562	0.0805	1.4316
TRINITY_DN124983_c6_g5_i1	NA	NA	NA	NA	-0.073843476	0.073843476	unbias	0.199647679	Ovary_mean	0.0429	0.0393	0.9164
TRINITY_DN124984_c2_g1_i1	NA	NA	NA	NA	-0.069045836	0.069045836	unbias	0.539556027	Brain_mean	0.0442	0.0681	1.5418
TRINITY_DN124988_c3_g1_i2	NA	NA	NA	NA	0.071607595	0.071607595	unbias	0.499872751	Brain_mean	0.0462	0.0495	1.0716
TRINITY_DN124991_c2_g3_i3	NA	NA	NA	NA	0.163419007	0.163419007	unbias	0.403317031	G23_mean	0.0559	0.0747	1.3354
TRINITY_DN124993_c2_g1_i4	LOC100488314	Chr07	113519924	113519924	0.047073242	0.047073242	unbias	0.384447532	Brain_mean	0.1243	0.2145	1.7251
TRINITY_DN125001_c0_g1_i2	NA	NA	NA	NA	0.032659063	0.032659063	unbias	0.222199738	Brain_mean	0.0311	0.041	1.3197
TRINITY_DN125006_c1_g7_i3	NA	NA	NA	NA	-0.087146528	0.087146528	unbias	0.741711836	Brain_mean	0.0242	0.0374	1.5449
TRINITY_DN125031_c0_g1_i1	NA	NA	NA	NA	0.011547938	0.011547938	unbias	0.190854878	Ovary_mean	0.0344	0.0489	1.421
TRINITY_DN125032_c6_g4_i1	dzank1	Chr05	38723318	38723318	-0.565166462	0.565166462	unbias	0.300530391	Liver_mean	0.0951	0.1795	1.8866
TRINITY_DN125036_c1_g1_i3	NA	NA	NA	NA	0.139740476	0.139740476	unbias	0.578282094	Brain_mean	0.0566	0.0687	1.2148
TRINITY_DN125054_c2_g2_i3	NA	NA	NA	NA	0.073866309	0.073866309	unbias	0.092728437	Brain_mean	0.1184	0.0966	0.816
TRINITY_DN125079_c0_g1_i13	NA	NA	NA	NA	-0.043141375	0.043141375	unbias	0.212980363	Brain_mean	0.0116	0.0108	0.9328
